Biblical Problem / Historical Issue,Scholarly Debate,Evidence & Sources,Proposed Solution / Scholarly Trend,Category
Adam and the Fall,Widespread denial of historicity; implications for doctrine of sin,Genesis 2–3; Paul’s letters; Second Temple literature,Adamic narrative as archetype/myth; theological truth over literal history.,Origins / Doctrine
Authorship of Biblical Books,"Many books are pseudonymous; doubts over Mosaic authorship of Pentateuch, Pauline authorship of some letters",Pentateuch; Isaiah; Pauline Epistles; historical-critical analysis,Recognize literary conventions of pseudepigraphy; value theological message over strict authorship.,Textual Criticism
The Historical Jesus,Gospels shaped by faith communities; lack of non-Christian contemporary sources,Synoptic Gospels; Josephus; Tacitus,Historical Jesus reconstructed via critical methods (criteria of authenticity); full certainty elusive.,New Testament
Miracles and Supernatural Events,Modern skepticism; lack of corroborating evidence,Gospels; Acts; Josephus; Greco-Roman miracle accounts,"Miracles interpreted as theological narratives or symbolic acts, not empirical history.",Supernatural
Virgin Birth,Absent from earliest Christian writings; parallels in Greco-Roman myths,"Matthew, Luke; Isaiah 7:14 LXX; Greco-Roman sources",Virgin birth as theological motif expressing Jesus’ divine status; historicity debated.,Christology
Violence and Genocide in Joshua,Ethical problem of divinely commanded violence; archaeological ambiguity,Joshua; Judges; archaeological surveys; ANE conquest texts,Narratives reflect ancient warfare rhetoric; some see as theological allegory or hyperbole.,Ethics / Theology
Role of Women and Gender,Patriarchal bias in biblical texts; limited roles for women,Genesis 2–3; Pauline letters; Ruth; Esther,Feminist and critical readings highlight counter-narratives and marginalized voices.,Gender / Ethics
Slavery in the Bible,Endorsement or regulation of slavery; NT household codes,Exodus 21; Leviticus 25; Pauline letters,Contextualize as ancient institution; modern readings emphasize trajectory toward liberation and equality.,Ethics
Creation Accounts (Genesis 1–2),Contradictions between Genesis 1 and 2; parallels to other ANE creation myths,Genesis 1–2; Enuma Elish; Atrahasis Epic,"Multiple sources combined; theological focus on God as creator, not scientific account.",Origins / Cosmology
The Problem of Evil and Suffering,Theodicy: reconciling God’s goodness with evil; Job as test case,Job; Psalms; Ecclesiastes; Lamentations,"Diverse biblical responses: protest, trust, mystery; critical theory explores power and suffering.",Theodicy / Ethics
"Apocalyptic Prophecy (Daniel, Revelation)",Historical context vs. predictive prophecy; coded language for oppressed communities,Daniel; Revelation; intertestamental literature,Apocalyptic texts as resistance literature; symbolic critique of empire and power.,Prophecy / Critique
Canon Formation,Disputed books; criteria for inclusion/exclusion; influence of church politics,Early church councils; Dead Sea Scrolls; patristic writings,"Canon shaped by theological, liturgical, and political factors; critical theory highlights power dynamics.",Canon / Authority
Textual Transmission and Variants,Thousands of manuscript variants; no original autographs,Dead Sea Scrolls; Septuagint; Masoretic Text; NT papyri,Textual criticism reconstructs earliest attainable text; recognizes fluidity and development of scripture.,Textual Criticism
The Afterlife and Resurrection,Evolving concepts in OT and NT; Sheol vs. resurrection; Greco-Roman influences,Daniel 12; 1 Corinthians 15; 1 Enoch; Greco-Roman texts,Development from shadowy afterlife to bodily resurrection; influenced by intercultural exchange.,Eschatology
"Race, Ethnicity, and Universalism",Israel’s election vs. universal salvation; ethnic boundaries in OT and NT,Genesis 12; Isaiah 56; Acts 10; Galatians 3,Critical theory interrogates exclusion/inclusion; NT moves toward universalism in Christ.,Identity / Ethics
"Wealth, Poverty, and Social Justice",Prophetic critique of inequality; NT communalism vs. later church practice,Amos; Micah; Acts 2–4; James,"Emphasis on justice, care for poor; critical theory highlights economic power and systemic injustice.",Ethics / Justice
Historical Minimalism vs. Maximalism,Is the Bible a reliable historical source or largely a literary/theological construct?,Archaeological data; biblical texts; comparative ANE sources,"Most scholars now adopt a ""moderate"" approach, weighing literary, archaeological, and sociological data45.",Methodology / Historicity
Redaction Criticism and Editorial Layers,How much of the Bible is shaped by later editors/redactors?,"Source criticism, form criticism, redaction criticism",Recognition of layered composition; focus on editorial motives and community contexts7.,Textual Criticism
Archaeology vs. Textual Claims,Archaeological findings often contradict or fail to confirm biblical narratives,Excavation reports; surveys; biblical accounts,Dialogue between archaeology and text; neither is privileged absolutely; both are interpreted in context34.,Methodology / Historicity
Postcolonial and Liberation Readings,"How do power, empire, and colonialism shape biblical interpretation?","Critical theory, postcolonial studies, liberation theology","Emphasize voices of the marginalized, critique of empire, and the politics of interpretation.",Hermeneutics / Ethics
Reader-Response and Reception History,How have communities interpreted texts differently over time?,"Reception history, patristic writings, rabbinic literature","Focus on meaning as constructed in interpretive communities, not just original context.",Hermeneutics
Science and Evolution vs. Creation Narratives,How do Genesis and science relate?,"Genesis 1–2; scientific evidence (cosmology, evolution)","Many scholars see Genesis as theological, not scientific, text; others seek harmonization or reject one for the other3.",Science / Hermeneutics
The Role of Faith in Critical Scholarship,Can faith-based and critical approaches be reconciled?,Theological writings; historical-critical scholarship; church documents,"Ongoing debate; some advocate integration, others maintain strict separation7.",Methodology / Theology
Judas’ Betrayal:,"All four Gospels record Judas’ agreement to betray Jesus for thirty pieces of silver (Matt 26:14-16; Mark 14:10-11; Luke 22:3-6; John 13:2, 27).",,,
,"At the Last Supper, Jesus identifies Judas as the betrayer (Matt 26:21-25; Mark 14:18-21; Luke 22:21-23; John 13:21-30).",,,
Judas’ Death:,"Matthew 27:3-10: Judas, filled with remorse, returns the silver to the temple, hangs himself; priests buy the “Field of Blood.”",,,
,"Acts 1:16-20: Judas uses the money to buy a field, falls headlong, his body bursts open. The field is called Akeldama.",,,
,"The two accounts are often harmonized as Judas hanging himself and, after death, his body falling (possibly due to decomposition or being cut down), resulting in the described injuries.",,,
Trial Variations:,Luke uniquely includes Jesus being sent to Herod Antipas (Luke 23:6-12)1.,,,
,John emphasizes Jesus’ private dialogue with Pilate and omits the Sanhedrin trial details found in Synoptics.,,,
Pilate's Wife's Dream,"Matthew includes Pilate’s wife’s dream and Pilate washing his hands (Matt 27:19, 24).",,,
Crucifixion Details:,"The Gospels vary in the words spoken from the cross, the presence of the two thieves, and the reactions of bystanders.",,,
,John places Jesus’ death before the Passover meal; Synoptics place it after.,,,
