"Here is a comprehensive timeline table integrating the evolution of Yemo/Yama and their variants, the development of Satan/Ahriman/Devil, the role of chthonic (underworld) deities across Indo-European cultures, and the etymological roots and connections (or lack thereof) between Yama/Yemo and YHVH/Yahweh/Jehovah. This table also highlights the PIE (Proto-Indo-European) links between various underworld deities and motifs.",,,,,,,
Period / Date,Culture / Region,Yemo/Yama & Variants Development,Chthonic/Underworld Deities & Motifs,Devil/Satan/Ahriman Development,YHVH/Yahweh/Jehovah Development,Etymological Notes & PIE Links,References/Notes
c. 800 BCE–CE,Greek,-,"Hades: Ruler of the underworld; Persephone: Queen; Charon: Ferryman; Thanatos: Death; Erinyes: Furies; Hecate: Magic/necromancy; Judges: Minos, Rhadamanthys, Aiakos; Nyx: Night; Tartarus: Abyss; Moirae: Fates; Erebus: Darkness; Palici: Twin chthonic gods.",-,-,"Hades: Possibly Indo-European, parallels with Veles and Yama; chthonic gods linked to PIE earth/underworld goddess Dʰéǵʰōm.",123457910.0
Early Medieval,Slavic,-,"Veles: God of earth, waters, underworld, magic, cattle, music; opponent of Perun; associated with Nav (underworld).",-,-,"Veles: Possibly from PIE Welnos, parallels to Hades, Hermes, Odin, Yama.",610.0
1st c. CE,Early Christianity,-,-,Satan/Devil becomes central adversary in Christian theology.,-,-,8.0
5th–12th c. CE,Indian Tantric Buddhism,"Yamantaka (Vajrabhairava): Wrathful, buffalo-headed, multi-armed; subdues Yama.","Yamantaka as ""conqueror of death,"" many forms.",-,-,Yama/Yamantaka: IE death-conqueror motif.,8.0
Middle Ages,Christian (Europe),-,-,Devil/Satan entrenched in theology; St. Christopher as monstrous/dog-headed threshold guardian (Yama-like motif).,-,"St. Christopher: Guardian/psychopomp motif, parallels to Anubis, Yama, Veles.",8.0
Culture/Tradition,Underworld Ruler(s),Judge(s) of the Dead,PIE Connection,Notes,,,
Vedic/Hindu,Yama,Yama,Yes,"First mortal, judge of souls",,,
Iranian,Yima,Yima,Yes,King of paradise/afterlife,,,
Greek,"Hades, Persephone","Minos, Rhadamanthys, Aiakos",Yes,Hades as “Zeus of the Underworld”; judges reflect PIE motif,,,
Slavic,Veles,-,Yes,"Underworld, cattle, magic; opponent of thunder god",,,
Roman,Pluto/Dis,-,Yes,Direct adaptation of Greek Hades,,,
Norse,Hel,Hel,Yes,Ruler and judge of the dead,,,
Egyptian,"Osiris, Anubis",Osiris,No (not PIE),"Judge of the dead, psychopomp",,,
Jewish/Christian,-,-,No,"Sheol (Jewish), Satan/Devil (Christian) as later adversary, not judge",,,
Buddhist,"Yama, Yamantaka",Yama,Yes,"Judge of the dead, conqueror of death",,,
Date (BCE/CE),Peoples/Cultures,Religious Beliefs & Practices,"Key Events, Conflicts, and Schisms",Sources,,,
c. 3500–1200 BCE,Canaanites (Bronze Age),"Polytheistic: El, Baal, Asherah, etc.",Canaanite city-states dominate; religious syncretism common,125.0,,,
c. 1400–1200 BCE,"Proto-Israelites, Hebrews",Early Yahweh worship possibly emerges; shared Canaanite deities and customs,Proto-Israelites emerge within Canaanite society,159.0,,,
c. 1208 BCE,Israelites,Yahweh worship present; Canaanite deities persist,"""Israel"" mentioned on Merneptah Stele; Israelites appear in Canaan",125.0,,,
c. 1200–1000 BCE,"Israelites, Canaanites","Yahweh worship spreads; Asherah, Baal, and others still venerated",Archaeology: new highland villages with Israelite identity,125.0,,,
c. 1000–930 BCE,United Monarchy,"Yahweh as national god, but polytheistic practices endure",Formation of Israelite state; syncretism and idol worship reported in biblical texts,1259.0,,,
c. 930–722 BCE,"Israel (North), Judah (South)","Official Yahwism, but Asherah and Baal worship widespread","Prophetic and royal opposition to ""idolatry""; Asherah worship in temples; Elijah vs. prophets of Baal and Asherah",1259.0,,,
c. 850 BCE,"Israel, Moab",Yahweh’s name attested outside Israel,Moabite Stone (Mesha Stele) contains earliest known extra-biblical reference to Yahweh,49.0,,,
c. 800–600 BCE,"Israel, Judah","Moves toward monolatry/monotheism, but popular religion includes Asherah",Assyrian conquest of Israel (722 BCE); reforms in Judah begin,1259.0,,,
640–609 BCE,Judah,"Josiah’s reforms: centralization of Yahweh worship, purging of Asherah and Baal","Josiah removes Asherah from Temple, burns symbols, suppresses goddess worship",125.0,,,
586 BCE,"Judah, Exiles in Babylon",Monotheism solidifies among elite; popular religion still varied,Babylonian conquest; Temple destroyed; exile accelerates monotheistic Yahwism,12359.0,,,
539 BCE and after,Jews under Persian rule,Monotheism institutionalized; Asherah/Baal worship marginalized,Return from exile; Second Temple built; official suppression of earlier syncretism,12359.0,,,
c. 515 BCE–70 CE,Jews (Second Temple period),Yahweh becomes sole deity; Judaism revised and canonized,Yahweh as state god of Judah; monotheism established; avoidance of pronouncing the name,2369.0,,,
3rd c. BCE–1st c. CE,Jews (Hellenistic/Roman era),"Name YHWH (Tetragrammaton) not pronounced; ""Adonai"" or ""Elohim"" substituted","Greek and Latin translations use ""Kyrios"" and ""Dominus""; ""the LORD"" in English Bibles",34789.0,,,
6th–10th c. CE,Jewish scribes (Masoretes),"Vowel points of ""Adonai"" or ""Elohim"" added to YHWH, creating ""Yehovah""/""Jehovah"" in later Christian use","Jews avoid pronouncing YHWH; Christian scholars Latinize the name as ""Jehovah""",34789.0,,,
