Date_Label,Date_Sort,Tradition_System,Sub_Tradition,Entry_Type,Title_Event,Person_Visionary,Location,Source_Text,Description,Key_Motifs,Parallel_Systems,Scholarly_Source,Evidence_Tier,Notes
"c. 600 BCE",-600,OT Vision,Exilic Prophetic,Vision Episode,Ezekiel 1 – The Merkabah: Divine Chariot Vision (THE foundational text),Ezekiel,Tel Abib (Babylonia / modern Iraq),Ezekiel 1:1–28; cf. 10:1–22,"'The heavens were opened' (1:1): stormy wind from north; cloud and fire; four living creatures (cherubim) each with four faces (human-lion-ox-eagle) and four wings; wheels within wheels (ophanim); crystal firmament (raqia) above; sapphire throne above firmament; figure of a man (demut adam) on the throne; fire; gleaming metal (hashmal); rainbow; the kavod (divine glory); prophet falls on his face","Four living creatures; wheels within wheels (ophanim); four faces; crystal firmament; sapphire throne; divine glory (kavod); chariot; hashmal (gleaming metal); north wind; rainbow","Hekhalot (ALL major Hekhalot texts directly expand this vision; the 7 halls lead to the same throne room); NT Visions (Revelation 4–5: four living creatures clearly derived from here); Kundalini (merkabah as chariot of the divine self – Tier C); Isaiah 6 (throne vision cross-reference)","Halperin, 'The Faces of the Chariot: Development of Rabbinic Exegesis' (1988) – definitive; Greenberg, 'Ezekiel 1–20' (Anchor Bible 1983); Rowland, 'The Open Heaven' (1982)",A,"THE foundational Merkabah text; entire Hekhalot tradition is a commentary/expansion on Ezekiel 1; ophanim and hayyot terminology flows directly into Hekhalot; hashmal becomes a central Hekhalot technical term"
"c. 600–580 BCE",-598,OT Vision,Exilic Prophetic,Vision Episode,Ezekiel 8 – Spirit Transport to Temple; Vision of Abominations,Ezekiel,Tel Abib → Jerusalem (transported by spirit),Ezekiel 8:1–18,"Spirit lifts Ezekiel by lock of hair; transported to Jerusalem; sees figure of jealousy at gate; hole in wall reveals elders burning incense to idols; women weeping for Tammuz; 25 men with backs to temple worshipping sun; spirit-transport motif central","Spirit transport; hand of YHWH; flight by lock of hair; vision of temple abominations; bilocation","Hekhalot (spirit transport = model for Merkabah ascent methodology); NT Visions (Paul 'caught up' – 2 Cor 12 bodily ambiguity)","Block, 'The Book of Ezekiel Chapters 1–24' (NICOT 1997); Allen, 'Ezekiel 1–19' (WBC 1994)",A,"Spirit-transport motif is the Hekhalot yored ba-merkavah ('descender to the chariot') methodology"
"c. 600–520 BCE",-595,OT Vision,Post-Exilic Prophetic,Vision Episode,Zechariah 1–6 – Eight Night Visions with Angelic Interpreter,Zechariah,Jerusalem (post-Babylonian exile),Zechariah 1:7–6:8,"Eight night visions with an angelus interpres explaining each: horsemen; four horns and craftsmen; measuring Jerusalem; cleansing of high priest Joshua; menorah/lampstand with seven lamps; flying scroll; woman in ephah; four chariots from between two bronze mountains; four winds of heaven","Night visions; angelic interpreter; horsemen; four chariots; four winds as cosmic agents; cleansing of priest; menorah lampstand","Hekhalot (four chariots as cosmic merkabah; angelic mediator/interpreter figure; cleansed priest entering divine presence); NT Visions (Revelation's series of visions with interpreting angel); Daniel (night visions with angelic interpreter)","Meyers & Meyers, 'Zechariah 1–8' (Anchor Bible 1987); Petersen, 'Haggai and Zechariah 1–8' (OTL 1984)",A,"Zechariah 6:1–8 four-chariot passage directly parallels Ezekiel's merkabah and enters Hekhalot symbolism"
"c. 550–165 BCE",-550,OT Vision,Apocalyptic,Vision Episode,"Daniel 7 – Ancient of Days; Son of Man; Throne with Wheels of Fire","Daniel (pseudonymous)",Babylon (literary setting; actual composition Maccabean era),Daniel 7:1–28,"Four beasts from sea stirred by four winds; Ancient of Days enthroned – clothing white as snow; hair white as wool; throne is fiery flames; wheels of fire; river of fire; ten thousand times ten thousand serving; Son of Man comes on clouds of heaven; receives everlasting dominion","Ancient of Days; fiery throne; wheels of fire; river of fire; Son of Man on clouds; four beasts; four winds; heavenly court judgment","Hekhalot (throne with wheels of fire = merkabah; 'river of fire' appears verbatim in Hekhalot hymns; Ancient of Days = enthroned deity in 7th hall); OT Visions (Ezekiel 1 wheels directly cited); NT Visions (Revelation; Son of Man Christology in Mark 13:26; 14:62)","Collins, 'Daniel: A Commentary' (Hermeneia 1993); Rowland, 'The Open Heaven' (1982) pp. 94–113; Halperin, 'The Faces of the Chariot' (1988) pp. 99–114",A,"Critical structural link between OT theophany and Hekhalot; 'river of fire' and 'wheels of fire' are Hekhalot technical vocabulary"
"c. 300–200 BCE",-300,Hekhalot/Merkabah,Enochic Literature,Text,1 Enoch – Book of the Watchers and Heavenly Throne Vision,"Enoch (pseudonymous); attributed to antediluvian patriarch",Judea / diaspora,"1 Enoch 14:8–25 (throne vision); 1–36 (Book of Watchers); Ethiopic Enoch","Enoch's dream-vision journey to heaven; crystal walls; burning fire; 'great house built of crystals' with floor of fire; second house greater and all fire; throne of crystal with sun and stars; the Great Holy One enthroned; rivers of fire; attendant angels","Crystal house; throne of fire; rivers of fire; angelic attendants; heavenly tour; purification; overwhelm","Hekhalot (3 Enoch directly transforms Enoch into Metatron; crystal and fire motifs); OT Visions (Ezekiel 1 as direct template)","Nickelsburg, '1 Enoch: A Commentary on the Book of 1 Enoch' (Hermeneia 2001); Collins, 'The Apocalyptic Imagination' (1998) ch. 2; Dead Sea Scrolls fragments confirm c. 300–200 BCE date",A,"Ezekiel 1 → 1 Enoch 14 → Hekhalot Rabbati is the clearest literary genealogy in Merkabah tradition; 1 Enoch 14 IS a Merkabah text"
"c. 200–50 BCE",-200,Hekhalot/Merkabah,Dead Sea Scrolls,Text,Songs of the Sabbath Sacrifice – Celestial Temple Liturgy,"Qumran community (Yahad)",Qumran (Judean Desert),"Songs of the Sabbath Sacrifice (4Q400–407; 11Q17; Masada fragments; Newsom ed. 1985)","13 songs for 13 successive Sabbaths describing celestial temple and its angelic liturgy; seven heavenly sanctuaries (debir); angelic priests; angelic chariot-throne (merkabah); cherubim and ophanim; divine glory moving on the chariot; earliest evidence of Merkabah as practiced liturgy","Celestial temple; seven sanctuaries; angelic priests; ophanim; cherubim; merkabah; divine glory in motion; angelic hymns","Hekhalot (seven halls / sanctuaries; angelic hierarchies; hymns as technology); OT Visions (Ezekiel 1; Isaiah 6 trishagion); NT Visions (Revelation 4 heavenly throne room)","Newsom, 'Songs of the Sabbath Sacrifice: A Critical Edition' (1985); Davila, 'Liturgical Works' (2000) pp. 83–167; Elior, 'The Three Temples' (2004)",A,"Earliest liturgical / practical Merkabah text; links Hekhalot to actual Second Temple sectarian practice; angelology directly continuous with Hekhalot"
"c. 100 BCE–100 CE",-100,Hekhalot/Merkabah,Enochic Literature,Text,2 Enoch (Slavonic Enoch / Book of the Secrets of Enoch) – Seven-Heaven Tour,"Enoch (pseudonymous)",Egypt or diaspora Jewish community,"2 Enoch 1–68 (J and A recensions; Charlesworth OTP vol. 1 pp. 91–221)","Enoch ascends through seven heavens; each heaven described with inhabitants; second heaven: fallen angels; third: paradise; fifth: giant warriors; sixth: angels controlling stars; seventh: the Lord enthroned surrounded by ranks of angels; Enoch transformed and robed before the divine presence; receives divine secrets","Seven heavens; each heaven with distinct inhabitants; transformation; divine throne; robing of Enoch; cosmic secrets","Hekhalot (3 Enoch develops same architecture; Metatron figure emerges); OT Visions (Ezekiel; Isaiah foundation); NT Visions (2 Cor 12 'third heaven' – Tier B comparison)","Andersen, '2 Enoch' in Charlesworth OTP vol. 1 (1983) pp. 91–221; Orlov, 'The Enoch-Metatron Tradition' (2005)",B,"Date and provenance debated; likely 1st c. CE Jewish; Christian interpolations; seven-heaven schema fully developed"
"c. 800–600 BCE",-750,Kundalini/Subtle Body,Early Upanishadic,Origin Marker,Early Upanishads – Prana; Nadis; Brahman-Atman Identity,"Yajnavalkya; Aruni; Shvetaketu (principal figures)","Northern India (Videha; Kurukshetra; Pancala)","Brihadaranyaka Upanishad (c. 800–600 BCE); Chandogya Upanishad","Systematic descriptions of prana (life-force) and its five-fold division; nadis (subtle channels including sushumna, ida, pingala though not yet named so); atman as inner light; brahman as ultimate reality pervading all; meditation on inner self; 'This is you' (tat tvam asi)","Prana (5 pranas); nadis (subtle channels); inner light; atman-brahman identity; breath as divine medium","Hekhalot (inner ascent to divine; withdrawal into inner self); OT Visions (divine spirit/breath as vision vehicle); Kundalini (direct precursor: pranas and channels foundational)","Olivelle, 'The Early Upanishads' (1998) OUP; Flood, 'An Introduction to Hinduism' (1996) ch. 4",A,"Earliest systematic subtle-body precursors; kundalini as specific awakening not yet described but its infrastructure established"
"c. 70–200 CE",70,Hekhalot/Merkabah,Rabbinic Merkabah,School / Event,Talmudic Pardes Narrative – Four Who Entered Paradise,"Ben Azzai; Ben Zoma; Aher (Elisha ben Avuyah); Rabbi Akiva (the successful)","Palestine (rabbinic academies)","Talmud Bavli, Hagigah 14b–15b; Tosefta Hagigah 2:3–4; Yerushalmi Hagigah 2:1","Four sages entered the 'pardes' (orchard / paradise): Ben Azzai looked and died; Ben Zoma looked and was smitten; Aher cut the shoots (heterodoxy; 'two powers in heaven'); Akiva entered in peace and departed in peace; Merkabah study restricted to one alone with a wise teacher; tradition of dangerous divine visions","Pardes (paradise); four who entered; death; madness; heresy; Akiva's safe passage; restriction of esoteric knowledge; 'two powers in heaven' heresy","Hekhalot (same figures – Akiva; Ishmael – as protagonists of ascent; same dangers); OT Visions (Ezekiel as foundational); Kundalini (dangers of premature awakening / unguided serpent ascent – Tier C structural parallel)","Scholem, 'Jewish Gnosticism, Merkabah Mysticism, and Talmudic Tradition' (1960) pp. 14–19; Halperin, 'The Merkabah in Rabbinic Literature' (1980)",A,"Pardes narrative central to all Hekhalot research; tannaitic period (1st–2nd c. CE) core; restricted transmission parallel to both Tantric guru-lineage and esoteric yoga initiation"
"c. 28–33 CE",28,NT Vision,Gospel Synoptic,Vision Episode,Baptism of Jesus – Open Heavens; Spirit Descent; Divine Voice,Jesus; John the Baptist,Jordan River,"Mark 1:9–11; Matthew 3:13–17; Luke 3:21–22","Jesus baptized; heavens torn open (schizomenous ton ouranous); Spirit descends as dove; divine voice: 'You are my Son the Beloved'; triple theophanic structure: opened heaven / descending spirit / divine voice","Opened / torn heavens; divine voice; Spirit/dove descending; divine sonship declared; water","Hekhalot (heaven opening = entry to hekhal; divine voice as first contact); OT Visions (Ezekiel 1:1 'heavens were opened'; Isaiah 6 divine voice); NT Visions (Revelation 4 'door opened in heaven')","Dunn, 'Jesus and the Spirit' (1975); Allison, 'The New Moses: A Matthean Typology' (1993); Hurtado, 'Lord Jesus Christ' (2003) pp. 312–315",A,"'Heavens torn open' mirrors Ezekiel 1:1 exactly; programmatic theophany for NT vision tradition"
"c. 30–33 CE",30,NT Vision,Gospel Synoptic,Vision Episode,Transfiguration of Jesus – Luminous Transformation; Moses and Elijah,"Peter; James; John; Jesus; Moses; Elijah",High Mountain (Tabor or Hermon),"Mark 9:2–8; Matthew 17:1–9; Luke 9:28–36","Jesus transfigured (metamorphoo); face shines as the sun; garments become dazzling white; Moses and Elijah appear in glory and speak with Jesus; overshadowing cloud; divine voice; disciples fall on faces; only Jesus seen when vision ends","Luminous transformation; radiant face; dazzling garments; divine cloud; heavenly figures; divine voice; mountain","Hekhalot (transformation into glorious/angelic form = Enoch's transformation into Metatron in 3 Enoch; 'shining face' = Metatron's luminous face); OT Visions (Moses' shining face after Sinai Exod 34:29–35; Elijah's ascent; Sinai theophany); Kundalini (body radiance as sign of shakti awakening – Tier C)","Räisänen, 'The Messianic Secret' (1990); Hurtado, 'Lord Jesus Christ' (2003); Allison, 'The New Moses' (1993) pp. 243–248",A,"Transformation into radiant/angelic form is key Hekhalot motif; Moses-Elijah presence links to paradigmatic OT ascent figures"
"c. 33–36 CE",33,NT Vision,Acts Apostolic,Vision Episode,Stephen's Martyrdom Vision – Opened Heavens; Son of Man Standing,Stephen (protomartyr),Jerusalem,Acts 7:55–56,"Stephen, full of Holy Spirit, gazes intently into heaven; sees the glory of God (doxa theou) and Jesus standing (histanai) at the right hand of God; 'standing' is exceptional – Son of Man normally seated; vision coincides with martyrdom","Opened heavens; divine glory; Son of Man standing at right hand; Spirit-filled state; martyrdom","Hekhalot (heavenly throne; divine presence; Metatron stands/sits as 'Lesser YHWH' at right of throne – exact parallel); Daniel 7 (Son of Man vision); OT Visions (Isaiah 6 throne; 2 Chronicles 18:18 divine council)","Hurtado, 'Lord Jesus Christ' (2003) pp. 389–392; Rowland, 'The Open Heaven' (1982) pp. 362–367",A,"'Standing' of Son of Man discussed in Hekhalot research; Metatron's dual standing/seated role in 3 Enoch directly paralleled here"
"c. 35–37 CE",36,NT Vision,Acts Apostolic,Vision Episode,Paul's Damascus Road Vision – Blinding Heavenly Light; Voice,Saul / Paul,Road to Damascus,"Acts 9:3–6; 22:6–11; 26:12–18; Galatians 1:15–16","Sudden blinding light from heaven (brighter than the sun – Acts 26:13); Paul falls to ground; hears voice of Jesus speaking; companions stand speechless; blinded for three days; conversion and apostolic commissioning; three accounts in Acts vary in details","Blinding light; heavenly voice; prostration; commission; three-day blindness; companions hear but do not see","Hekhalot (blinding divine light in approach to Throne Room; prostration before kavod in Ezekiel 1:28; danger for the unprepared); OT Visions (Ezekiel prostration; Daniel fall to ground Dan 10:9); Kundalini (sudden overwhelming light / shaktipat – Tier C)","Segal, 'Paul the Convert: The Apostolate and Apostasy of Saul the Pharisee' (1990) – argues Merkabah ascent; Dunn, 'The Theology of Paul the Apostle' (1998)",A,"Segal argues Paul's conversion is a Merkabah-type mystical ascent experience; key scholarly connection between NT and Hekhalot tradition"
"c. 50–56 CE",51,NT Vision,Pauline Epistles,Vision Episode,Paul Caught Up to Third Heaven / Paradise – Inexpressible Revelations,"Paul ('a man in Christ' – self-referential)",Asia / Corinth,2 Corinthians 12:2–4,"Paul describes being 'caught up' (harpazō) to the third heaven; then caught up to paradise; heard arreta rhemata (inexpressible / unutterable words) not lawful to tell; bodily ambiguity: 'whether in body or out of body I do not know'","Ascent (harpazō); third heaven / paradise; inexpressible secret words; bodily ambiguity; fourteen years prior (c. 38 CE)","Hekhalot (ascent through heavenly halls ending in divine presence; forbidden / secret words = passwords and hymns in Hekhalot; bodily ambiguity in Merkabah ascent); 2 Enoch (seven-heaven ascent); OT Visions (Ezekiel transport; Isaiah throne); NT (Acts 22 commissioning vision)","Segal, 'Paul the Convert' (1990) pp. 34–71; Himmelfarb, 'Ascent to Heaven in Jewish and Christian Apocalypses' (1993) pp. 96–114; Rowland, 'The Open Heaven' (1982) pp. 376–386",A,"Himmelfarb and Segal both argue this IS a Jewish Merkabah-type ascent; 'inexpressible words' parallel to Hekhalot secrecy; most direct NT parallel to Hekhalot practice"
"c. 95 CE",95,NT Vision,Johannine Apocalyptic,Vision Episode,Revelation – John's Heavenly Throne Vision and Subsequent Visions,John of Patmos,Patmos Island (Aegean),"Revelation 1:9–22:21; esp. 1:12–20; 4:1–11; 5:1–14; 6–22","Series of apocalyptic visions: seven lampstands; Son of Man with white hair and eyes of fire; throne room vision (Rev 4) with enthroned figure like jasper and carnelian; rainbow; 24 elders with golden crowns; four living creatures (tetramorpha: lion-ox-human-eagle) with many eyes and wings saying 'Holy Holy Holy'; sea of glass; Lamb with seven eyes; opening of seven seals; trumpets; bowls","Open door in heaven; throne room; four living creatures; rainbow; sea of glass; 24 elders; trishagion; Lamb; scroll; seven seals; New Jerusalem","Hekhalot (throne room exactly parallels Hekhalot Rabbati 7th hall: four creatures = hayyot; 24 elders = angelic court; trishagion from Isaiah 6 appears in both); OT Visions (Ezekiel 1; Daniel 7; Isaiah 6 all synthesized in Revelation 4); Merkabah (kavod-throne imagery)","Rowland, 'The Open Heaven' (1982) – entire book; Collins, 'The Apocalyptic Imagination' (1998) ch. 8; Himmelfarb, 'Ascent to Heaven' (1993) pp. 102–118",A,"Revelation 4–7 is the NT functional equivalent of Hekhalot Rabbati's throne room; Rowland's 'open heaven' is the definitive study linking Revelation to Merkabah tradition"
"c. 200–400 CE",250,Hekhalot/Merkabah,Hekhalot Literature,Text,Hekhalot Zutarti (Lesser Palaces) – Ascent Technique and Passwords,"Rabbi Akiva (protagonist)",Palestine / Babylonia,Hekhalot Zutarti (Schäfer Synopse §335–426),"Fragmentary Hekhalot text focused on ascent methodology; mystical hymns; passwords (seals and names); visionary descriptions of the divine chariot and angelic beings; instructions for approach to the throne; dangers noted; earliest stratum of systematic Hekhalot practice","Ascent technique; passwords/seals; angelic beings; chariot vision; hymns; danger","OT Visions (Ezekiel 1 as explicit foundation); NT Visions (Paul's ascent – 2 Cor 12); Kundalini (systematic technique for inner ascent – structural Tier C parallel)","Schäfer, 'The Hidden and Manifest God' (1992); Halperin, 'The Faces of the Chariot' (1988) pp. 359–381; Davila, 'Descenders to the Chariot' (2001)",A,"Earliest fully developed Hekhalot text stratum; dates uncertain (200–500 CE range); 'descenders to the chariot' = practitioners of this tradition"
"c. 300–500 CE",400,Hekhalot/Merkabah,Hekhalot Literature,Text,Hekhalot Rabbati (Greater Palaces) – Seven Halls with Guardians,"Rabbi Ishmael; Rabbi Akiva; Rabbi Nehunya ben HaKanah",Palestine / Babylonia,"Hekhalot Rabbati (Schäfer Synopse §81–306)","Major Hekhalot text: seven heavenly halls (hekhalot); each guarded by increasingly formidable angelic gatekeepers requiring passwords and ritual seals; mystical hymns and prayers; dangers for the unworthy (marble vision test); culminates in vision of the Divine Throne (Kisse HaKavod) and Shekhinah; text includes 'Sar Torah' (Prince of Torah) tradition for gaining supernatural knowledge","Seven halls; angelic guardians; passwords; mystic hymns; purification; marble vision test; divine throne; Shekhinah; Sar Torah","OT Visions (Isaiah 6 throne; Ezekiel 1 chariot; Zechariah 6 four chariots); NT Visions (Revelation 4 throne room – structural twin); Kundalini (seven halls parallel seven chakras structurally – Tier C)","Schäfer, 'The Hidden and Manifest God: Some Major Themes in Early Jewish Mysticism' (1992); Elior, 'The Three Temples: On the Emergence of Jewish Mysticism' (2004); Scholem, 'Major Trends in Jewish Mysticism' (1941) ch. 2",A,"Core Hekhalot text; most studied in the tradition; seven-hall schema is the structural basis for the Kundalini parallel (seven chakras) though no genealogical link established"
