Show more,,,,,
Middle Ages,Christian (Europe),-,"Devil/Satan becomes entrenched in European life and theology. St. Christopher, sometimes depicted as a monstrous or dog-headed figure, echoes underworld guardian motifs.",1678.0,
Culture/Religion,Death/Underworld Figure(s),Devil/Adversary Figure(s),Notes,,
Proto-Indo-European,Yemo,-,"Primordial twin, slain for creation.",,
Vedic/Hindu,Yama,-,"God of death, judge of souls.",,
Zoroastrian,Yima,Ahriman (Angra Mainyu),Dualistic cosmology; Ahriman as cosmic adversary.,,
Jewish (First Temple),-,-,No Satan/devil; disasters from Yahweh or lesser gods.,,
Jewish (Second Temple),-,"Satan, Belial, Mastema, Azazel","Satan as member of divine court, later personified evil.",,
Christian (Early),-,Satan/Devil,"Satan becomes central adversary, source of evil.",,
Buddhist (India/Tibet),"Yama, Yamantaka, Bhairava",-,"Yamantaka as “Yama-slayer,” subdues death.",,
Medieval Christian,-,"Devil/Satan, St. Christopher",Devil entrenched in theology; St. Christopher as threshold guardian (Yama-like motif).,,
Period / Date,Culture / Region,Yemo / Yama & Variants Development,Devil / Satan / Ahriman Development,Description / Evolutionary Note,Related Figures / Parallels / References
c. 3000–2000 BCE,Proto-Indo-European,"Yemo: Primordial twin; slain by Manu, his body becomes the world.",No devil or adversary concept.,Foundational twin myth of creation; Yemo’s death forms the cosmos.,"Manu, Primordial Cow"
c. 1500 BCE,Indo-Iranian,"Yama (Vedic India): First mortal, king of the dead.
Yima (Avestan Iran): First king, ruler of paradise.",No personified evil; dualism not yet developed.,"Yemo splits into Yama and Yima, both rulers of the dead or paradise.","Manu, Gayomartan (Iranian)"
c. 1000 BCE,Vedic / Hindu,"Yama: God of death and justice, ruler of Naraka (underworld), judge of souls.",No Satan/devil; evil seen as impersonal or ascribed to gods’ wrath.,"Yama depicted riding a buffalo, carrying noose/mace; judge of souls.","Dharmaraja, Kala, Pluto, Hades"
c. 1000 BCE,Zoroastrian (Iran),"Yima: First king, ruler of paradise.","Ahriman (Angra Mainyu): Cosmic adversary, principle of evil opposing Ahura Mazda; early dualism.",Ahriman embodies cosmic evil and destruction; dualistic cosmology emerges.,"Ahura Mazda, Satan (later parallels)"
950–586 BCE,Israelite (First Temple),No Yama figure. Yahweh rules a pantheon; disasters attributed to Yahweh or lesser gods.,"No Satan as Yahweh’s opponent; angels unnamed, disasters from Yahweh or lesser gods.",Israelite religion was polytheistic; no concept of Satan as adversary.,"Psalm 82:1-2, Psalm 89:6-8; Niehr 1995; Smith 2004; Hess 2007"
8th–7th c. BCE,Israelite (Religious Reforms),-,Monolatric/henotheistic reforms under Hezekiah and Josiah; polytheistic practice persists; no devil figure yet.,"Move toward worship of Yahweh alone, but polytheism persisted.",Albertz 2009; Becking 2001
586–539 BCE,Babylonian Exile,-,Collapse of polytheistic pantheon; shift toward monotheism. Yahweh responsible for all events; theological crisis over suffering.,Trauma from exile prompts rethinking of divine justice and suffering.,Lamentations 5:20-22; Deuteronomists’ reinterpretation
539 BCE–70 CE,Second Temple Judaism,-,Satan emerges as a heavenly being (Zechariah 3:1-2; Job 1:6-12; 1 Chronicles 21:1). Not yet Yahweh’s opponent; member of divine court. Increased angelology and dualistic thinking under Hellenistic influence.,"Satan, Belial, Lucifer, Mastema, Azazel appear as agents explaining suffering and evil.",Biblical citations; scholarly consensus on Satan’s evolving role
c. 3rd–1st c. BCE,Jewish Apocalyptic,-,"Satan/Devil personified as cosmic evil; stories of fallen angels (e.g., Azazel, 1 Enoch).",Cosmic dualism and adversarial figures develop in apocalyptic literature.,"1 Enoch, Dead Sea Scrolls"
Early centuries CE,Buddhist (India/Tibet),"Yama: Judge of the dead.
Yamantaka (“Yama-slayer”): Wrathful deity who conquers Yama, symbolizing victory over death.",-,"Yamantaka (Vajrabhairava) depicted with buffalo head, multi-armed; many forms including Krishna Yamari, Rakta Yamari.","Vajrabhairava, Manjushri"
Early centuries CE,Chinese,Yanluo Wang (Yama): Ruler of the underworld in Chinese Buddhism and Daoism.,-,Adaptation of Yama as judge of the dead in East Asian traditions.,Ten Kings of Hell
Early centuries CE,Japanese,"Enma (Yama): Ruler of the afterlife, judge of souls.",-,"Japanese adaptation of Yama, often associated with Jizō, protector of souls.",Jizō (protector of souls)
1st c. CE,Early Christianity,-,"Satan/Devil becomes central adversary in Christian theology; explains evil, temptation, suffering. “Christianity cannot do without this character.”",Devil becomes personified ultimate evil and tempter.,Carl Braaten in Oldridge 2012; Muchembled 2003
5th–12th c. CE,Indian Tantric Buddhism,"Yamantaka (Vajrabhairava): Wrathful, buffalo-headed, multi-armed; subdues Yama. Many forms (Krishna Yamari, Rakta Yamari).",-,Yamantaka embodies conquest over death and ignorance; wrathful protector deity.,"Krishna Yamari, Rakta Yamari"
Middle Ages,Christian (Europe),-,"Devil/Satan entrenched in European theology and culture.
St. Christopher: Sometimes depicted as dog-headed (cynocephalus), linked to underworld guardianship and psychopomp roles, echoing Yama-like motifs.",St. Christopher’s monstrous depictions resonate with threshold guardian archetypes found in Yama and Anubis myths.,"Anubis, Hades (parallels); medieval legends"
Culture/Religion,Death/Underworld Figure(s),Devil/Adversary Figure(s),Notes,,
Proto-Indo-European,Yemo,-,"Primordial twin, slain for creation.",,
Vedic/Hindu,Yama,-,"God of death, judge of souls.",,
Zoroastrian,Yima,Ahriman (Angra Mainyu),Dualistic cosmology; Ahriman as cosmic adversary.,,
Jewish (First Temple),-,-,No Satan/devil; disasters from Yahweh or lesser gods.,,
Jewish (Second Temple),-,"Satan, Belial, Mastema, Azazel","Satan as member of divine court, later personified evil.",,
Christian (Early),-,Satan/Devil,"Satan becomes central adversary, source of evil.",,
Buddhist (India/Tibet),"Yama, Yamantaka, Bhairava",-,"Yamantaka as “Yama-slayer,” subdues death.",,
Medieval Christian,-,"Devil/Satan, St. Christopher",Devil entrenched in theology; St. Christopher as threshold guardian (Yama-like motif).,,
