Summary of Kabbalah Systems and Tree of Life Evolution,,,,,,,,,,
c. 2500–600 BCE,Mesopotamian Symbolism,–,"Sacred trees (date palm), cosmic mountains (Ziggurats), elemental associations",Varies,"Anu, Enlil, Enki, Ishtar","Epic of Gilgamesh, cylinder seals, temple architecture","Mesopotamia (Sumer, Akkad, etc.)",Mesopotamian Religion,No specific Kundalini concept,Sacred Tree depictions; Ziggurats as connection to the divine realm; possible influence on later Tree of Life concepts
c. 2500–600 BCE,Mesopotamian Sacred Tree,,,,,"Cylinder seals, palace reliefs","Sumer, Akkad, Babylon, Assyria","Sacred tree as axis mundi, symbol of divine order, fertility, and kingly power",,Proto-Tree of Life motif; stylized tree flanked by guardians; possible influence on later Jewish symbolism
c. 2000 BCE,Neolithic Platonic Solids,5.0,Stone models of regular polyhedra,Not specified,None,"Scottish petrospheres, museum records","Scotland, N. Europe",Prehistoric/Proto-geometric,Not applicable,
c. 1500–900 BCE,Vedic Mahābhūta,5.0,"Earth, Water, Fire, Air, Space (Ākāśa)",Not specified,"Agni, Vayu, etc.","Ṛgveda, Upanishads",Northern India,Vedic Hinduism,"Proto-Kundalini concepts (Tapas, heat)",
c. 1000 BCE,Asherah Tree/Pole,,,,,"Hebrew Bible, archaeological finds","Canaan, Israel","Sacred tree or wooden pole linked to goddess Asherah, fertility, and divine presence",,Asherah as a living tree/pillar; debated as an antecedent of later Tree of Life imagery
c. 1000 BCE (speculative),Asherah Tree (Canaanite),–,Sacred tree or pole representing the goddess Asherah,Not specified,Asherah,"Archaeological evidence, Hebrew Bible (polemical references)",Canaan (Levant),Canaanite Religion,No specific Kundalini concept,Possible link to later Tree of Life symbolism (speculative)
c. 600–400 BCE,Zoroastrian Elements,4.0,"Fire, Water, Earth, Air",Not specified,Ahura Mazda,Avesta,Persia (Iran),Zoroastrianism,No specific Kundalini concept,
c. 500–400 BCE,Jain Cosmology,5.0,"Earth, Water, Fire, Air, Space",Not specified,None,"Jain Āgamas, cosmological treatises",North/Central India,Jainism,No specific Kundalini concept,
c. 500–400 BCE,Sāṃkhya/Purusha System,5.0,"Earth, Water, Fire, Air, Space",Not specified,Purusha,"Sāṃkhya Kārikā, Upanishads",Northern India,"Sāṃkhya, Hinduism",No specific Kundalini concept,
c. 500–200 BCE,Jain Kālacakra (Time Wheel),6.0,Six aras (epochs) per half-cycle,Not specified,24 Tīrthaṅkaras per cycle,"Jain Āgamas, cosmology texts",North/Central India,Jainism,No specific Kundalini concept,
c. 450–350 BCE,Greco-Roman Elements,2025-04-05 00:00:00,"Earth, Water, Fire, Air (+Aether)",Not specified,None,"Empedocles, Plato, Aristotle","Greece, Rome",Greek Philosophy/Natural Science,No specific Kundalini concept,
c. 430–350 BCE,Platonic Solids (Greek),5.0,"Cube (Earth), Icosahedron (Water), Tetrahedron (Fire), Octahedron (Air), Dodecahedron (Aether/Universe)",Not specified,"Plato, Theaetetus","Plato's Timaeus, Proclus, Euclid","Athens, Greece",Platonic Philosophy,No direct Kundalini concept,
c. 400–100 BCE,Early Buddhist Elements,2025-04-05 00:00:00,"Earth, Water, Fire, Air (+Space)",Not specified,None,"Pāli Canon (Dīgha Nikāya, etc.)",Northern India,Early Buddhism,No specific Kundalini concept,
c. 300 BCE – 100 CE,Buddhist Stupa Elemental,5.0,"Earth, Water, Fire, Air, Space (symbolic architecture)","Yellow, White, Red, Green, None",Enlightened Mind symbolism,"Sanchi, Amaravati, Sarnath, etc.","India, Central Asia",Buddhism,No specific Kundalini concept,
c. 200–600 CE,Early Jewish Mysticism,,,,,"Sefer Yetzirah, Hekhalot texts","Israel, Babylonia","Mystical cosmology, angelology, divine throne (Merkavah), ten Sefirot as primordial numbers/forces",,Sefer Yetzirah: first mention of ten Sefirot (as numbers/emanations); no tree diagram yet
c. 200 BCE – 200 CE,Kabbalah (Proto-Kabbalistic Ideas),10 (potential),"Early mystical concepts, potential for later Sephirot development (speculative)",Varies,Early Jewish mystics,"Apocalyptic literature (e.g., Book of Daniel, Enoch), Dead Sea Scrolls (speculative)","Israel, Babylonia",Early Jewish Mysticism,No direct Kundalini concept,"(Speculative) Emergence of Proto-Kabbalistic Ideas, Influence from Babylonian cosmology"
c. 200 BCE – 200 CE,Kabbalah (Sephirot),10.0,"Sefirot (energy centers, not elements)",Various,"Ein Sof, angels","Sefer Yetzirah, Zohar (later)","Israel, Babylonia",Jewish Mysticism,No direct Kundalini concept,"Tree of Life (Sefirot); Origins in Babylonian/Egyptian Symbolism? The Sefirot as emanations of divine energy, structure of the universe. The Pillar systems"
c. 100–400 CE,Hermeticism (Elements),2025-04-05 00:00:00,"Earth, Water, Air, Fire (+Aether/Spirit)",Not specified,Hermes Trismegistus,"Hermetica, Corpus Hermeticum","Hellenistic Egypt, Europe","Hermeticism, Western Esotericism",No direct Kundalini concept,
c. 250–550 CE,"Neoplatonism (Hypostases, etc.)",3+,"The One, Nous, Soul (sometimes mapped to elements)",Not specified,"Plotinus, Proclus","Enneads, Elements of Theology","Roman Empire, Byzantium",Neoplatonism,No direct Kundalini concept,
c. 700-1200 CE,Early Śaiva Tantra (Āgamas),Variable,"Variable chakras/energy points, focus on deity emanation",Not specified,"Shiva, Shakti","Niśvāsatattvasaṃhitā, Netratantra","Kashmir, India",Early Śaiva Tantra,Early concepts of subtle energy channels (nāḍīs),
c. 900–1300 CE,Trika Shaivism,Variable,"Focus on Para Samvit (supreme consciousness), subtle body as expression of Shiva and Shakti",Not specified,"Shiva (Bhairava), Shakti (Bhairavi)","Mālinīvijayottaratantra, Tantrāloka (Abhinavagupta)","Kashmir, India",Kashmir Shaivism (Trika),"Kundalini as the power of consciousness, ascending to merge with Shiva",
c. 950–1100 CE,Hekhalot/Merkavah Mysticism,,,,,"Hekhalot Rabbati, 3 Enoch","Babylonia, Palestine","Mystical ascent to heavenly palaces, angelic hierarchies",,"No explicit Tree of Life, but focus on ascent and divine emanation"
c. 1000-1300 CE,Kaula Shaivism,Variable,"Emphasis on Kuṇḍalinī rising through specific chakras/energy centers, often linked to ritual practices",Not specified,"Kubjika, Kuleshvari","Kubjikāmatatantra, Jayadrathayāmala","Nepal, Kashmir, India",Kaula Shaivism,"Strong emphasis on Kundalini awakening through ritual, mantra, and yoga",
c. 1100–1400 CE,Jain Nadis and Chakras,9+,Chakras and nadis (energy centers),Not specified,None,"Jain yoga texts, commentaries",North/Central India,Jainism,No specific Kundalini concept,
c. 1150–1200 CE,Early Kabbalah (Provence),,,,,Sefer ha-Bahir,Provence (S. France),"Emanationist cosmology, Sefirot as divine attributes, mystical Torah interpretation",,"Bahir: Sefirot as divine qualities, roots of Tree of Life structure236"
c. 1000–1200 CE,Kubjikāmata Tantra,6+1,"Muladhara, Svadhisthana, Manipura, Anahata, Vishuddha, Ajna (+Sahasrara)",Not specified,"Dakinis, Shiva, Shakti",Kubjikāmata-tantra,"Kashmir, India",Hindu Tantra (Kaula),Kuṇḍalinī central; emphasis on ascent through chakras,
c. 1200–1300 CE,Spanish Kabbalah,,,,,Sefer ha-Zohar (Moses de Leon),Spain,"Mystical exegesis, Sefirot as dynamic emanations, Shekhinah, divine exile and redemption",,"Zohar: Sefirot system formalized, Tree of Life diagram emerges, ten Sefirot as interconnected spheres2346"
c. 1500–1600 CE,Ṣaṭ-Cakra-Nirūpaṇa,6+1,Standardized 6 chakras + Sahasrara,Modern: Rainbow colors,"Dakinis, Shiva, Shakti",Ṣaṭ-Cakra-Nirūpaṇa,"Bengal, India",Hindu Tantra (Śākta),Kuṇḍalinī rises through chakras to Sahasrara,
c. 1500–1572 CE,Safed/Mystical Renaissance,,,,,"Moses Cordovero, Isaac Luria, Yosef Caro, Hayyim Vital",Safed (Ottoman Palestine),"Systematization (Cordovero), Lurianic Kabbalah (Luria): Tzimtzum (contraction), Shevirat ha-Kelim (shattering of vessels), Tikkun Olam (repair)",,"Lurianic Tree of Life: complex diagrams, partzufim (divine faces), Sefirot as dynamic process for cosmic repair156"
17th–18th c.,Sabbateanism & Hasidism,,,,,"Shabbetai Zevi, Baal Shem Tov","Ottoman Empire, E. Europe","Messianic Kabbalah (Sabbateanism), popularization and spiritualization (Hasidism)",,"Hasidic Tree of Life: Sefirot as accessible spiritual path, focus on immanence and personal mystical experience26"
1880–1920 CE,Western 7-Chakra System,7.0,"Muladhara, Svadhisthana, Manipura, Anahata, Vishuddha, Ajna, Sahasrara","Red, Orange, Yellow, Green, Blue, Indigo, Violet/White","Shiva, Shakti, etc.","Theosophy, Leadbeater, Avalon","Britain, USA, Europe","Theosophy, Western Esotericism","Interpreted through a Western lens, often associated with psychological and spiritual development",
19th–21st c.,Modern/Academic Kabbalah,,,,,"Gershom Scholem, Aryeh Kaplan","Europe, Israel, USA","Historical-critical study, integration with psychology, New Age, and Western esotericism",,"Tree of Life adapted in Western occultism (Hermetic Qabalah), comparative studies with ancient Near Eastern motifs6"
20th–21st c.,7-Year Chakra Cycle,7.0,"Root to Crown, mapped to life cycles",As above,Not specified,"Modern New Age, Life Cycle Theories","USA, Europe","New Age, Western",Emphasis on aligning chakra energies for life stages,
20th–21st c.,22-Chakra System,22.0,Traditional 7 + higher/lower centers,Various,Not specified,Modern New Age sources,"USA, Europe","New Age, Western",Expansion of chakra system for greater energetic detail,
19th–21st c.,Western Esoteric Energy Centers,7+,"Chakras, Sefirot, planetary spheres, etc.",Various,Various,"Theosophy, New Age, Occult texts","Europe, America","Western Esotericism, New Age","Synthesis of various systems, with focus on personal development",
