"Comparative Table of Aladdin, Genie, and Hidden Prince Stories Across Cultures",,,,,
Date/Period,Culture/Tradition,Story/Tale,Key Details,Primary Sources,Secondary Sources
800-1000 CE,Persian,"""Turandokht"" (later ""Turandot"")",Story of a princess who sets riddles for her suitors. Contains elements of disguised princes and trials to win a royal bride.,"Ferdowsi's ""Shahnameh""","Javadi, H. (2005). ""Persian Literary Influence on English Literature"""
900-1000 CE,Arabic,"""The Queen of the Serpents""",Tale featuring a magic lamp with inscriptions that summon and command supernatural beings. Contains early lamp-spirit motifs.,"""The Thousand and One Nights""","Irwin, R. (1994). ""The Arabian Nights: A Companion"""
900-1100 CE,Japanese,"""The Tale of the Bamboo Cutter""",Features a mysterious child found in bamboo who is revealed to be of celestial origin. Contains themes of hidden nobility and supernatural origins.,"""Taketori Monogatari"" manuscript","Keene, D. (1999). ""Seeds in the Heart: Japanese Literature from Earliest Times to the Late Sixteenth Century"""
1100-1200 CE,French,"""Le Fresne"" (The Ash Tree Girl)","Marie de France's lay about a noble girl abandoned at birth, raised as a commoner, who eventually marries a nobleman. Early European hidden nobility tale.","Marie de France's ""Lais""","Kinoshita, S. & McCracken, P. (2012). ""Marie de France: A Critical Companion"""
1100-1300 CE,Welsh/Celtic,"""Hanes Taliesin"" (The Tale of Taliesin)","Story of a boy who accidentally gains magical knowledge and poetic ability, eventually serving at court. Contains themes of transformation and hidden wisdom/potential.","Medieval Welsh texts, including ""The Book of Taliesin""","Ford, P.K. (1992). ""Ystoria Taliesin"""
1200-1300 CE,Arabic,"""The Ebony Horse""",Tale of a mechanical flying horse and a prince who wins a princess. Contains elements of both hidden prince narratives and magical objects (though not genies specifically).,"""The Thousand and One Nights""","Marzolph, U. & van Leeuwen, R. (2004). ""The Arabian Nights Encyclopedia"""
1300-1400 CE,Persian,"""Haft Paykar"" (Seven Beauties)","Contains the tale of a foreign prince who disguises himself to court a princess. Features disguise, revelation of true identity, and royal marriage.","Nizami Ganjavi's ""Haft Paykar""","Meisami, J.S. (1995). ""The Haft Paykar: A Medieval Persian Romance"""
1300-1400 CE,Syrian/Mamluk,"""Ali Baba and the Forty Thieves""","Though not directly an Aladdin variant, shares motifs of hidden treasures, magic words for access, and a poor protagonist becoming wealthy.","Later additions to ""The Thousand and One Nights""","Mahdi, M. (1995). ""The Thousand and One Nights"""
1300-1400 CE,Syrian/Arab,"Early ""Aladdin"" prototypes","Scholars suggest early versions of the Aladdin narrative circulated in oral tradition, featuring a young man who acquires magical objects and rises from poverty.",Oral traditions (no extant manuscripts),"Zotenberg, H. (1888). ""Histoire d'Alâ al-Dîn ou la Lampe Merveilleuse"""
1400-1500 CE,Persian,"""Malik Muhammad and the Magic Ring""",A tale about a prince who acquires a ring with a genie that grants wishes and aids in his adventures. Contains direct parallels to Aladdin's ring.,Persian folk traditions,"Hanaway, W.L. (1970). ""Persian Popular Romances Before the Safavid Period"""
1400-1600 CE,Thai,"""Sang Thong"" (Golden Conch Shell)","A prince disguised in an ugly golden shell skin who is chosen by a princess despite his appearance. Contains hidden identity, magical transformation, and recognition of true worth.","Thai folk tradition, later documented in ""Sepha Sang Thong""","Tossa, W. (2008). ""Thai Tales: Folktales of Thailand"""
1500-1600 CE,Indian,"""The Story of Amir Hamza""","Extended epic featuring disguised princes, magical objects, supernatural beings (divs), and heroic quests. Influenced Persian and Arabic tale traditions.","""Dastan-e-Amir Hamza"" (Hamzanama)","Pritchett, F.W. (1991). ""The Romance Tradition in Urdu: Adventures from the Dastan of Amir Hamzah"""
1500-1600 CE,North African/Arabic,"""The Sealed Jars of Sulayman""",Moroccan and Egyptian folk traditions about fishermen discovering sealed jars containing jinn imprisoned by King Solomon.,Oral traditions documented by European travelers,"Doutte, E. (1909). ""Magie et Religion dans l'Afrique du Nord"""
1550-1555 CE,Italian,"""Puss in Boots""",Early version by Straparola featuring a poor miller's son who becomes a prince through his cat's cunning. Contains themes of hidden potential and social elevation.,"Straparola's ""The Facetious Nights""","Bottigheimer, R. (2002). ""Fairy Godfather: Straparola, Venice, and the Fairy Tale Tradition"""
1600-1700 CE,Italian/French,"""Sleeping Beauty""","Originally ""Sun, Moon, and Talia"" by Basile, later adapted by Perrault. Features a prince discovering a hidden princess and breaking a spell.","Basile's ""Pentamerone"" (1634-1636); Perrault's ""Histoires ou contes du temps passé"" (1697)","Zipes, J. (2006). ""Why Fairy Tales Stick: The Evolution and Relevance of a Genre"""
1600-1700 CE,French/Italian,"""Cinderella""","Though featuring a female protagonist, contains core motifs of hidden nobility, recognition, and rightful restoration to royal status.","Basile's ""Pentamerone"" (1634); Perrault's ""Cendrillon"" (1697)","Warner, M. (1994). ""From the Beast to the Blonde: On Fairy Tales and Their Tellers"""
1704-1710 CE,French/Syrian,"""The Story of Aladdin and the Magical Lamp""","Added to ""The Thousand and One Nights"" by Antoine Galland, who claimed to have heard it from Syrian storyteller Hanna Diyab. Set in China but with Islamic cultural elements. Features poor boy, magical lamp, jinni, princess, and evil magician.","Galland's ""Les Mille et Une Nuits""","Horta, P.L. (2017). ""Marvellous Thieves: Secret Authors of the Arabian Nights""; Bottigheimer, R. (2014). ""Magic Tales and Fairy Tale Magic"""
1750-1850 CE,Persian/Indian,"""The Tale of Hatim Tai""","Story cycle featuring a hero who completes seven quests, including obtaining a magic lamp with a jinn and other magical objects.","""Qissa-e Hatim Tai"" manuscripts","Pritchett, F.W. (2003). ""The Romance Tradition in Urdu: Adventures from the Dastan of Amir Hamzah"""
1800-1900 CE,German,"""The Frog Prince""",A royal transformed into an animal who must be accepted in lowly form before revealing true identity. Reverses the hidden prince motif.,"Grimm Brothers' ""Kinder- und Hausmärchen"" (1812)","Tatar, M. (2003). ""The Hard Facts of the Grimms' Fairy Tales"""
1800-1900 CE,Danish,"""The Ugly Duckling""","Metaphorical tale of hidden nobility/potential, with the duckling actually being a swan raised in the wrong family.",Hans Christian Andersen (1843),"Wullschlager, J. (2000). ""Hans Christian Andersen: The Life of a Storyteller"""
1800-1900 CE,Russian,"""The Tale of Prince Ivan, the Firebird, and the Grey Wolf""","Features a youngest son who proves his worth through magical adventures, aided by supernatural helpers.","Alexander Afanasyev's collection ""Russian Fairy Tales"" (1855-1863)","Propp, V. (1968). ""Morphology of the Folktale"""
1800-1900 CE,Ottoman Turkish,"""Keloğlan and the Jinn's Lamp""",Turkish variant featuring a bald boy who finds a magic lamp containing a jinn. Combines the Aladdin narrative with the Turkish trickster figure.,Ottoman folk traditions,"Başgöz, İ. (1998). ""Turkish Folklore and Oral Literature"""
1800-1900 CE,European/Global,"""Aladdin"" adaptations and derivatives","Following Galland's publication, Aladdin became widely adapted in European pantomimes, folk performances, and eventually early film. Its motifs influenced numerous subsequent works.","Various theatrical adaptations, chapbooks, and literary retellings","Warner, M. (2011). ""Stranger Magic: Charmed States and the Arabian Nights"""
1900-1950 CE,European/American,"""The Goose Girl""",A princess forced to exchange roles with her maid and serve as a goose girl until her true identity is revealed. Reverse of typical hidden prince narrative.,"Grimm Brothers' ""Kinder- und Hausmärchen""","Tatar, M. (2004). ""The Annotated Brothers Grimm"""
1940 CE,American/Global,"""The Thief of Bagdad"" (film)","Influential film adaptation combining elements of Aladdin, flying carpet tales, and other ""Arabian Nights"" stories. Features a genie in a bottle who grants three wishes.",Film by Alexander Korda,"Leaman, O. (2004). ""Islamic Aesthetics: An Introduction"""
1964 CE,American,"""I Dream of Jeannie"" (TV series)","Modern adaptation of the genie concept, featuring a female genie living in a decorative bottle who serves an astronaut master.",Television series,"Mittell, J. (2010). ""Television and American Culture"""
1992 CE,American/Global,"Disney's ""Aladdin""","Highly influential animated adaptation that cemented popular conceptions of genies in modern culture, including the blue color, wish limitations, and personality traits.",Animated film,"Telotte, J.P. (2010). ""Animating Space: From Mickey to WALL-E"""
1993 CE,American,"""Alladin"" (TV series)","Expanded the Disney Aladdin universe with additional genies, magical objects, and hidden identity narratives.",Animated television series,"Wells, P. (2002). ""Animation and America"""
2000-2020 CE,Global,"""Once Upon a Time"" (TV series)","Modern reimagining featuring a genie character and multiple hidden identity narratives, including princes and princesses under curses or in disguise.",Television series,"Greenhill, P. & Rudy, J.T. (2014). ""Channeling Wonder: Fairy Tales on Television"""
2019 CE,American/Global,"""Aladdin"" (live-action remake)","Updated version of the Disney animated film, featuring expanded mythology around genies and lamp magic.",Film,"Pão, S.M. (2020). ""Disney Live-Action Adaptations and Cultural Translation"""
