Graph Table: Angels & Demons in Abrahamic Traditions,,,,,,,,,,,
Name,Type,Rank/Role,Traditions,First Appearance (Text),Year (Est.),Alternative Names,Iconography,Feast Days,Cultural Adaptations,Description,Associated Texts
Michael,Archangel,Leader of Heavenly Host,"Jewish, Christian, Muslim",Book of Daniel (Hebrew Bible),~165 BCE,"Mikha’el (Hebrew), Mika’il (Islam)",Armored warrior w/ sword & scales,Sept 29 (Michaelmas),"Patron of police, soldiers",Protector of Israel; defeats Satan in Revelation.,"Dan 10:13, Rev 12:7, Quran 2:98"
Gabriel,Archangel,Divine Messenger,"Jewish, Christian, Muslim",Book of Daniel (Hebrew Bible),~165 BCE,"Jibril (Islam), Gavriel (Hebrew)",Holding a lily or scroll,March 24 (Annunciation),Islamic revelation angel,"Annunciator (e.g., to Mary in Luke). Called Jibril in Islam.","Dan 8:16, Luke 1:26, Quran 2:97"
Samael,Angel/Demon,"Accuser, Destroyer","Jewish, Christian",1 Enoch,~300–100 BCE,"Satanel, Sammael, Angel of Death","Serpent, dark wings, venomous",None,Gnostic demiurge,Often linked to Satan or the serpent.,"1 Enoch, Talmud, Zohar"
Azazel,Fallen Angel/Demon,Corrupter of Humanity,"Jewish, Christian",Book of Enoch,~300–100 BCE,"Azael, Azzael","Goat-headed, desert-bound",Yom Kippur (scapegoat),Occult knowledge,Taught forbidden arts; bound in desert.,"1 Enoch 8:1, Lev 16:8"
Iblis,Demon (Jinn),"Tempter, Refuser of Adam",Muslim,Quran,7th century CE,"Shaytan, Satan (Christian/Jewish)","Horned, fiery, serpent-like",None,Islamic theology,Refused to bow to Adam; analogous to Satan.,"Quran 7:11–18, 15:28–44"
Lilith,Demon,"Night Spirit, Adam’s ""first wife""","Jewish, Christian",Alphabet of Ben Sira,~700–1000 CE,"Lilitu (Akkadian), Lilit (Hebrew)","Long-haired, winged, seductive",None,Feminist reclaiming,Associated with infant mortality and seduction.,"Talmud, Zohar, Kabbalah"
Metatron,Archangel,Heavenly Scribe,"Jewish, Christian",3 Enoch (Merkabah),~5th century CE,"Lesser YHWH, Enoch transformed","Fiery, many-eyed, celestial scribe",None,Mystical Judaism,Transformed prophet Enoch into an angel.,"3 Enoch, Kabbalah"
Beelzebub,Demon,"""Lord of the Flies""","Christian, Jewish",New Testament,1st century CE,"Baal Zebub, Lord of Filth","Fly-headed, decaying",None,Demonology,Philistine god later demonized; prince of demons.,"Matt 12:24, Mark 3:22"
Harut & Marut,Fallen Angels,Testers of Humanity,Muslim,Quran,7th century CE,None,Two angels bound in Babylon,None,Islamic ethics,Taught magic in Babylon as a test.,Quran 2:102
Leviathan,Demon/Chaos Beast,Primordial Serpent,"Jewish, Christian",Hebrew Bible,~6th century BCE,"Lotan (Ugaritic), Tannin","Sea dragon, coiled serpent",None,Apocalyptic symbol,Symbol of chaos; eschatological foe.,"Job 41, Isa 27:1, Ps 74:14"
Raphael,Archangel,"Healer, Guide","Jewish, Christian, Muslim",Book of Tobit (Deuterocanon),~200 BCE,"Israfil (Islam), Rafa’il (Coptic)","Staff, fish, traveler’s cloak",Sept 29 (w/ Michael),Guardian of travelers,Healed Tobit’s blindness; guides souls.,"Tobit 12:15, 1 Enoch"
Uriel,Archangel,Angel of Repentance,"Jewish, Christian","1 Enoch, 4 Esdras",~300 BCE–100 CE,"Phanuel, Auriel","Flame, book, stern gaze",None,Esoteric Christianity,Watches over repentance; sometimes excluded.,"1 Enoch, 4 Esdras"
Asmodeus,Demon,King of Lust & Wrath,"Jewish, Christian, Muslim",Book of Tobit,~200 BCE,"Ashmedai (Talmud), Aeshma (Zoroastrian)","Three-headed (man, ram, bull)",None,Occult demonology,Killed Sarah’s husbands; bound by Raphael.,"Tobit 3:8, Testament of Solomon"
Mastema,Demon,Chief of Persecution,Jewish,Book of Jubilees,~150 BCE,"Satan, Belial","Shadowy, whispering tempter",None,Apocryphal Satan,Requests demons to test humanity.,Jubilees 10:8
Sandalphon,Archangel,Angel of Prayer,"Jewish, Christian","Talmud, Kabbalah",~3rd–6th cent. CE,None,"Giant, weaving prayers into crowns",None,Mystical Judaism,Twin of Metatron; gathers prayers.,Talmud (Chagigah 13b)
Belial,Demon,Lawless One,"Jewish, Christian",Dead Sea Scrolls,~2nd cent. BCE,"Beliar, Belyal","Corrupt nobleman, chains",None,Gnostic evil,Embodiment of wickedness; opposes divine law.,"2 Cor 6:15, DSS (War Scroll)"
Azrael,Angel of Death,Soul-Taker,"Jewish, Muslim","Talmud, Islamic tradition",~7th–9th cent. CE,Malak al-Maut (Islam),"Hooded, scroll of names",None,Sufi mysticism,Gently separates souls from bodies.,"Hadith, Kabbalah"
Jophiel,Archangel,Angel of Wisdom,"Christian, Jewish",Medieval angelology,~12th cent. CE,"Iophiel, Zophiel","Fiery sword, book of wisdom",None,Renaissance art,Teaches discernment; expelled Adam & Eve.,Pseudo-Dionysius
Leviathan & Behemoth,Chaos Beasts,Primordial Monsters,"Jewish, Christian",Hebrew Bible,~6th cent. BCE,None,"Sea serpent (Leviathan), land beast (Behemoth)",None,Apocalyptic battle,Will fight at the end of days.,"Job 40–41, 2 Esdras 6:52"
Name,,Rank,Appearance,Powers,First Attestation,Source Texts,,,,,
Paimon,,King of Hell,Camel-riding crowned man,"Teaches arts, sciences, secrets",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Baphomet,,Symbolic Idol,Goat-headed hermaphrodite,"Occult wisdom, duality",14th cent. (Templar trials),Dogme et Rituel de la Haute Magie,,,,,
Asmodeus,,King of Lust,"Three-headed (man, ram, bull)","Destroys marriages, teaches math",~200 BCE (Tobit),Testament of Solomon,,,,,
Astaroth,,Duke of Hell,Naked angel on a dragon,"Reveals past/future, sciences",15th cent. (Goetia),Pseudomonarchia Daemonum,,,,,
Belphegor,,Demon of Sloth,"Beard, phallic symbols","Invents laziness, fake riches",16th cent. (Christian lore),De Plancy’s Dictionnaire Infernal,,,,,
Vassago,,Prince of Hell,Old man with lion’s head,"Finds lost things, predicts war",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Marchosias,,Marquis of Hell,Wolf with gryphon wings,"Grants combat skills, loyal",17th cent. (Goetia),Ars Goetia,,,,,
Andras,,Marquis of Hell,Owl-headed warrior,"Sows discord, murder",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Ose,,President of Hell,Leopard-man,"Delusions, shapeshifting",17th cent. (Goetia),Pseudomonarchia Daemonum,,,,,
Zepar,,Duke of Hell,Soldier in red armor,"Causes love, infertility",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Name,Sefirah,Role,Appearance,First Attestation,Source Texts,,,,,,
Raziel,Chokmah (Wisdom),Keeper of divine secrets,"Blue flame, celestial book",~12th cent. (Zohar),Sefer Raziel HaMalakh,,,,,,
Tzaphkiel,Binah (Understanding),Angel of contemplation,"Veiled, throne-like",~13th cent. (Kabbalah),"Zohar, Sefer Yetzirah",,,,,,
Metatron,Keter (Crown),Heavenly scribe,"Fiery, many-eyed",~5th cent. (3 Enoch),Merkabah texts,,,,,,
Sandalphon,Malkuth (Kingdom),Angel of prayers,"Giant, weaving prayers",~3rd–6th cent. (Talmud),Talmud (Chagigah 13b),,,,,,
Haniel,Netzach (Victory),"Angel of Venus, grace","Rose-gold light, chalice",~12th cent. (Kabbalah),Sefer HaBahir,,,,,,
Camael,Geburah (Strength),Angel of divine justice,"Armored, flaming sword",~13th cent. (Kabbalah),Pseudo-Dionysius,,,,,,
Jophiel,Tiferet (Beauty),Angel of wisdom,"Fiery book, golden light",Medieval angelology,Christian mysticism,,,,,,
Azrael,Hod (Glory),Angel of death (Islam/Judaism),"Hooded, scroll of names",~7th–9th cent. (Sufi texts),"Hadith, Kabbalah",,,,,,
Raguel,Chesed (Mercy),Angel of fairness,"Scales, white robes",1 Enoch (~300 BCE),Book of Enoch,,,,,,
Sariel,Tipheret (Harmony),Angel of guidance,"Moon-crowned, silver wings",Dead Sea Scrolls,War Scroll (DSS),,,,,,
Name,Type,Role,Appearance,First Attestation,Source Texts,,,,,,
Iblis,Shaytan (Satan),Leader of rebellious jinn,"Horned, fiery-eyed",Quran (7th cent.),Quran 7:11–18,,,,,,
Ifrit,Noble Jinn,"Powerful, often malicious","Smoke/fire-formed, giant",Quran (7th cent.),Quran 27:39,,,,,,
Marid,Sea Jinn,"Most powerful, arrogant","Watery, shifting forms",Arabian Nights,Folklore,,,,,,
Hinn,Animalistic Jinn,"Haunt deserts, take animal forms","Dog-like, serpentine",Pre-Islamic poetry,Kitab al-Aghani,,,,,,
Ghoul,Shapeshifting Jinn,"Eats corpses, lures travelers","Hyena-woman, decayed",Arabian Nights,Hadith,,,,,,
Si’lat,Female Jinn,"Seductive, vampiric","Beautiful, hollow back",Pre-Islamic lore,Folklore,,,,,,
Qarinah,Personal Jinn,Twin/companion to humans,"Shadowy, whispering",Quran (43:36),Islamic theology,,,,,,
Shiqq,Deformed Jinn,"Half-formed, monstrous","One-armed, one-legged",Arabian Nights,Folklore,,,,,,
Palis,Possessing Jinn,"Causes madness, illness","Invisible, whispering",Medicine of the Prophet,Islamic exorcism texts,,,,,,
Jann,Earth Jinn,Guardians of nature,"Serpentine, earthy",Pre-Islamic poetry,Quran 15:27,,,,,,
Saint,Demon Fought,Battle Description,Iconography,Feast Day,Source Texts,,,,,,
St. Michael,Satan (Dragon),Casts Satan out of Heaven (Revelation),"Armored, spear vs. dragon",Sept 29 (Michaelmas),Revelation 12:7,,,,,,
St. George,Dragon (Tiamat?),Slays dragon terrorizing a city,"Knight on horse, lance",2025-04-23 00:00:00,Golden Legend,,,,,,
St. Anthony,Legion of Demons,Tempted in the desert by demonic visions,"Old man, pig, fire",2025-01-17 00:00:00,Life of St. Anthony,,,,,,
St. Margaret,Belial (Dragon),"Swallowed by dragon, bursts out",Emerging from dragon,2025-07-20 00:00:00,Golden Legend,,,,,,
St. Benedict,Satan (Raven),Crushes poisoned bread sent by demon,"Raven, broken cup",2025-07-11 00:00:00,Dialogues of Gregory the Great,,,,,,
St. Cyprian,All Demons,Ex-sorcerer who converted and exorcized,"Burning books, cross",Sept 26,Acts of Cyprian,,,,,,
St. Dunstan,Devil (Tongs),Pinched the Devil’s nose with tongs,"Blacksmith, tongs",2025-05-19 00:00:00,Medieval hagiography,,,,,,
St. Ignatius,Legion of Demons,Exorcized demons while martyred,"Lions, Eucharistic host",2025-10-17 00:00:00,Letters of Ignatius,,,,,,
St. Philomena,Demon of Lust,Broke chains of temptation,"Anchor, lily, palm",2025-08-11 00:00:00,*19th-century devotion*,,,,,,
St. Padre Pio,Satan (Apparitions),Physically fought demonic attacks,"Stigmata, crucifix",Sept 23,Modern Catholic records,,,,,,
