,,,,,
1903.0,Alpha et Omega,England,Esoteric Order,"A continuation of the Golden Dawn, formed after internal conflicts. Maintained similar magical practices.",
1904.0,Order of Alhambra,United States,Catholic Fraternal Organization,Founded in the United States.,
1907.0,A∴A∴ (Argenteum Astrum),England,Magical Order,Created by Aleister Crowley and George Cecil Jones. Focused on teaching magick and Thelema.,
1908.0,Ancient United Knights and Daughters of Africa,United States (African American),Fraternal Organization,Promoted racial unity and provided death benefits; leadership included both men and women.,
1910.0,Golden Age of Fraternalism ends,,Era,Conclusion of the period of rapid growth in fraternal society membership.,
1912.0,Gyro International,,Fraternal Service Organization,Established in the United States.,
1918.0,The Thule Society,Germany,Nationalist/Occult Society,Promoted extreme nationalism and anti-Semitism. Short-lived.,
1919.0,DeMolay International,,Masonic Youth Organization,Founded for young men.,
1919.0,Golden Seal Assurance Society,,Fraternal Insurance Society,Originally Order of the Golden Seal.,
1920.0,Job's Daughters International,,Masonic Youth Organization,Established for young women.,
1922.0,Order of the Amaranth,,Masonic-affiliated Organization,Established for both men and women.,
1922.0,Builders of the Adytum (B.O.T.A.),United States,Esoteric School/Order,"Created by Paul Foster Case. Teaches Hermetic Qabalah, astrology, and occult tarot. Focused on personal spiritual development.",
1924.0,Fraternity of the Inner Light,England,Esoteric Order,Formed by Dion Fortune after leaving the Alpha et Omega. Focused on Western esoteric traditions and psychic development.,
1925.0,Columbian Squires,,Youth Organization,Established as the official youth organization of the Knights of Columbus.,
1925.0,DeMolay International,,Masonic Youth Organization,Founded for young men.,
1931.0,International Order of the Rainbow for Girls,,Masonic Youth Organization,Founded for young women.,
1965.0,The Order of the Occult Hand,Journalism (Various),Playful/Professional Society,"Dedicated to sneaking the phrase ""it was as if an occult hand"" into published work; started by journalists.",
1977.0,Round Table,United Kingdom,Social Networking and Charitable Organization,Founded in the United Kingdom.,
2005.0,Fraternal Order of Moai,"Columbus, Ohio",Cultural Preservation Society,"Founded in Columbus, Ohio.",
Year (approx.),Organization,Location/Origin,Type,Connection to Listed Groups,Notable Information
1845.0,Order of United Americans,United States,Nativist Fraternal Order,Related to the rise of Nativism; some members later involved in the Know-Nothing Party.,Emphasized American-born citizens and anti-immigration sentiments.
1849.0,Order of the Star Spangled Banner,United States,Nativist Political Order,A secret order that evolved into the Know-Nothing Party; emerged from anxieties about immigration.,Advocated for restrictions on immigration and citizenship for naturalized citizens.
1850s,Know-Nothing Party,United States,Political Party/Order,Evolved from secret Nativist orders like the Order of the Star Spangled Banner and the Order of United Americans.,Also known as the American Party; advocated for stricter immigration laws and anti-Catholic policies.
1868.0,Benevolent and Protective Order of Elks (BPOE),United States,Fraternal Order,Similar structure and purpose to other fraternal orders of the era.,Known for its charitable activities and community involvement.
1869.0,Improved Order of Red Men,United States,Fraternal/Patriotic Order,Inspired by the Sons of Liberty and traditions of Native Americans.,Focused on American patriotism and rituals derived from perceptions of Native American culture.
1870s,The Grange (Patrons of Husbandry),United States,Agricultural/Fraternal Organization,Worked with other fraternal orders on issues affecting rural communities.,Advocated for farmers' rights and economic cooperation; also provided social and educational opportunities for members.
1877.0,Woodmen Circle,United States,Women's Auxiliary to Woodmen of the World,Auxiliary to the Woodmen of the World; provided benefits and social activities for women and children.,"Focused on family values, patriotism, and community service."
1879.0,Supreme Tribe of Ben-Hur,United States,Fraternal Benefit Society,Similar to other fraternal societies offering insurance benefits.,"Based on the novel Ben-Hur, known for its elaborate rituals and charitable activities."
1888.0,The National League of Colored Women,United States,Fraternal Organization,Founded in response to exclusion from other leagues.,"Focused on promoting racial unity, equality and leadership in the African American Community."
1890.0,Mystic Order of Veiled Prophets of the Enchanted Realm (The Shrine),United States,Masonic Appendant Body,An appendant body to Freemasonry.,"Known for its parades, philanthropy, and jovial atmosphere. Focuses on fun and fellowship in addition to charitable work."
1907.0,"Alpha Kappa Alpha Sorority, Inc.",United States,African American Sorority,Inspired by fraternal traditions and mutual aid societies.,"The first Greek-letter sorority established by African American college women. Focused on scholarship, sisterhood, and service."
1908.0,"Alpha Phi Alpha Fraternity, Inc.",United States,African American Fraternity,Inspired by fraternal traditions and mutual aid societies.,"The first Greek-letter fraternity established for African American men. Focused on scholarship, leadership, and service."
1911.0,"Kappa Alpha Psi Fraternity, Inc.",United States,African American Fraternity,Inspired by fraternal traditions and mutual aid societies.,Focused on achievement in every field of human endeavor.
1913.0,"Delta Sigma Theta Sorority, Inc.",United States,African American Sorority,Inspired by fraternal traditions and mutual aid societies.,Founded as a public service sorority focused on addressing issues facing the African American community.
1914.0,"Phi Beta Sigma Fraternity, Inc.",United States,African American Fraternity,Inspired by fraternal traditions and mutual aid societies.,"Focused on brotherhood, scholarship, and service."
1920.0,"Zeta Phi Beta Sorority, Inc.",United States,African American Sorority,"Sister organization to Phi Beta Sigma Fraternity, Inc.","Focused on scholarship, service, sisterhood, and finer womanhood."
