Modern Timeline of Freemasonry,,,,
100 BC,Formation of Roman collegium fabrorum,Roman craftsmen,Roman Republic,"Formal organization of Roman builder's guilds, direct predecessors to medieval masonic lodges."
50 BC,"Vitruvius compiles ""De Architectura""",Vitruvius,Roman Republic,"First comprehensive text on architecture and construction, codifying masonry knowledge that would influence all later Western building."
43.0,Roman masonry techniques introduced to Britain,Roman legions,Britain,Romans brought advanced masonry techniques and established the first stonemason guilds in Britain during their invasion and occupation.
118.0,Construction of Pantheon,"Emperor Hadrian, Roman architects","Rome, Italy","Completion of the Pantheon with its revolutionary concrete dome, establishing new standards in masonry and architectural design."
313.0,Edict of Milan,Emperor Constantine,Roman Empire,"The legalization of Christianity led to increased church construction throughout Europe, creating new demand for skilled stonemasons."
476.0,Fall of Western Roman Empire,Germanic tribes,"Rome, Italy","The collapse of Imperial Roman authority disrupted organized masonry guilds, leading to regionalization of building techniques."
537.0,Completion of Hagia Sophia,"Emperor Justinian, Isidore of Miletus, Anthemius of Tralles",Constantinople,Marked a pinnacle of Byzantine architecture and masonry techniques that would influence both Eastern and Western building traditions.
597.0,Augustine's mission to England,St. Augustine,"Canterbury, England",Arrival of continental masonry techniques for ecclesiastical buildings as part of the Christian mission to Anglo-Saxon England.
680.0,First stone churches in Anglo-Saxon England,Benedictine monks,"Northumbria, England","Benedict Biscop brought masons from Gaul to build stone churches in the Roman manner, introducing continental masonry to Britain."
768.0,Carolingian architectural revival,Charlemagne,"Aachen, Germany",Charlemagne's architectural program revived Roman masonry techniques and created new demand for organized stonemason guilds.
826.0,Formation of early craft guilds,Frankish craftsmen,Holy Roman Empire,"Early formation of craft associations under Louis the Pious, precursors to later mason guilds."
926.0,Early Masonic Assembly,Stonemasons,"York Minster, England","One of the earliest documented masonic assemblies, though evidence is disputed"
1015.0,Construction begins on Strasbourg Cathedral,Bishop Werner of Habsburg,Strasbourg,Initial construction of the Strasbourg Cathedral (Cathédrale Notre-Dame de Strasbourg) began with a Romanesque style building under the direction of Bishop Werner.
1078.0,Work begins on Tower of London,William the Conqueror,"London, England",Norman masons introduced new fortification techniques and established working practices that influenced English masonry.
1107.0,Formation of London Mason's Company,London stonemasons,"London, England","Early organization of London masons into a formal trade association, though not yet officially recognized."
1145.0,Suger's rebuilding of Saint-Denis,Abbot Suger,"Saint-Denis, France","The first major Gothic construction project, introducing revolutionary building techniques that would transform European masonry."
1176.0,Fire damages Strasbourg Cathedral,,Strasbourg,"A fire severely damaged the original Romanesque structure of Strasbourg Cathedral, necessitating extensive reconstruction."
1193.0,Charter of the Paris masons' guild,Philip II,"Paris, France","One of the earliest formal recognitions of a masons' guild, establishing regulations and privileges."
1212.0,First Latin Document Referencing Masons,Stonemasons,"London, England","Earliest official English document referring to masons as ""sculptores lapidum liberorum"" (sculptors of free stone)"
1220.0,Gothic reconstruction begins on Strasbourg Cathedral,Master craftsmen,Strasbourg,Work began on rebuilding the Strasbourg Cathedral in the new Gothic style that was becoming popular throughout France.
1225.0,Formation of Strasbourg Cathedral stonemason lodge,Master craftsmen,Strasbourg,One of the earliest organized stonemason lodges in the Rhineland formed specifically to work on the Strasbourg Cathedral construction project.
1235.0,First known use of architectural drawings,Master builders,Various European cathedrals,"The earliest surviving architectural drawings date from this period, showing the increasing sophistication of the mason's craft."
1240.0,Stonemason regulations established,Rhineland master builders,Rhineland region,"Early regulations for stonemason guilds were formally established throughout the Rhineland region, creating standards for craftsmanship."
1256.0,Livre des métiers compiled,Étienne Boileau,"Paris, France","The ""Book of Trades"" documented the regulations of Parisian craft guilds, including the stonemasons."
1265.0,Formation of French compagnonnage system,French craftsmen,France,"Development of the journeyman system for training masons and other craftsmen, with distinctive rituals and practices."
1272.0,Completion of Westminster Abbey nave,"Henry III, English master masons","London, England",Demonstrated the high level of English Gothic masonry and the organization of the London masons.
1277.0,Erwin von Steinbach appointed as Strasbourg Cathedral architect,Erwin von Steinbach,Strasbourg,Famous master builder Erwin von Steinbach became the Strasbourg Cathedral architect and began his innovative work on the west facade.
1277.0,Erwin von Steinbach appointed as Strasbourg Cathedral architect,Erwin von Steinbach,Strasbourg,Famous master builder Erwin von Steinbach became the Strasbourg Cathedral architect and began his innovative work on the west facade.
1278.0,"First Use of Term ""Lodge""",Vale Royal Abbey masons,"Cheshire, England","Original use of the word ""lodge"" indicating a workshop erected on the site of major construction"
1278.0,"First Use of Term ""Lodge""",Vale Royal Abbey masons,"Cheshire, England","Original use of the word ""lodge"" indicating a workshop erected on the site of major construction."
1284.0,First Strasbourg Cathedral Bauhütte records documented,Erwin von Steinbach,Strasbourg,"First documented records of the Strasbourg Cathedral Bauhütte (mason's lodge), which would later significantly influence the development of Freemasonry."
1284.0,First Strasbourg Cathedral Bauhütte records documented,Erwin von Steinbach,Strasbourg,"First documented records of the Strasbourg Cathedral Bauhütte (mason's lodge), which would later significantly influence the development of Freemasonry."
1290.0,First stone mason marks catalog,German master masons,"Regensburg, Germany",First systematic collection of mason's marks used to identify the work of individual
1318.0,Death of Strasbourg Cathedral master builder,Erwin von Steinbach,Strasbourg,"After Erwin von Steinbach's death, his son Johannes von Steinbach continued his father's work on the Strasbourg Cathedral."
1339.0,Johannes von Steinbach dies during Strasbourg Cathedral construction,Johannes von Steinbach,Strasbourg,"After Johannes' death, his brother-in-law took over the ongoing construction of the Strasbourg Cathedral."
1349.0,Strasbourg Cathedral work interrupted,,Strasbourg,The Black Death epidemic temporarily halted construction work on the Strasbourg Cathedral as the plague devastated the region.
1351.0,Statute of Labourers,Edward III,England,"Attempted to fix wages at pre-plague levels, affecting masons; Norman French term ""mestre mason de franche peer"" used"
1352.0,York Minster Lodge Regulations,Dean and Chapter of York Minster,"York, England","Earliest surviving records of lodge regulations, imposed by ecclesiastical authorities"
1356.0,Trade of Masons Regulations,London authorities,"London, England","Preamble states that unlike other trades, no body existed for regulation of masonry by masons themselves"
1365.0,Michael von Freiburg appointed to Strasbourg Cathedral project,Michael von Freiburg,Strasbourg,"New master builder takes charge of the Strasbourg Cathedral construction, bringing fresh ideas to the project."
1376.0,"First Use of ""Freemason""",London trade representatives,"London, England","First recorded use of ""freemason"" in English (immediately struck out and replaced with ""mason"") when four representatives elected to Common Council"
1389.0,Guild Ordinance,Richard II,England,Required guilds and fellowships to present their charters and letters patent to the king
1390.0,Regius Poem,Cathedral Builders,England,Earliest known Masonic manuscript documenting architectural knowledge
1391.0,Oxford Latin Document,Oxford authorities,"Oxford, England","Reference to ""magister lathomus liberarum petrarum"" (master mason of free stone)"
1419.0,Ulrich von Ensingen begins Strasbourg Cathedral spire,Ulrich von Ensingen,Strasbourg,"Famous master builder begins work on the iconic Strasbourg Cathedral spire, which would become one of the tallest in Christendom."
1425.0,Labourers Act,Parliament of Henry VI,England,"Banned the annual assemblies of masons, suggesting organized meetings were occurring"
1439.0,Regensburg Constitution for stonemasons,Jost Dotzinger,Regensburg,Important meeting of master masons from throughout the Holy Roman Empire established formal organization and rules for stonemason lodges across German territories.
1450.0,The Cooke Manuscript,Unknown author,England,"Set pattern for ""Gothic Constitutions"" with history and regulations of the craft"
1450.0,John Cadeby's Will,John Cadeby (mason),"Beverley, England","Inventory mentions silver-mounted girdles with letters B and I (Boaz and Jachin), suggesting emergence of masonic regalia"
1452.0,Strasbourg Cathedral lodge granted supremacy,Jost Dotzinger,Strasbourg,"The Strasbourg Cathedral lodge was officially recognized as the haupthütte (main lodge) with authority over all lodges in the Rhineland, Franconia, and parts of Bavaria."
1459.0,Ratisbon/Regensburg Assembly of stonemasons,Jost Dotzinger,Regensburg,"Historic assembly of German stonemasons formalized the ""Statutes and Regulations"" of the craft, establishing the Strasbourg Cathedral lodge as the Grand Lodge for all of German-speaking lands."
1482.0,Completion of Strasbourg Cathedral north tower,Johannes Hültz,Strasbourg,"The north tower and spire of the Strasbourg Cathedral were completed, reaching a height of 142 meters and making it the world's tallest building at that time."
1520.0,Major construction ends on Strasbourg Cathedral,Lorenz von Heilbronn,Strasbourg,"Major construction work on the Strasbourg Cathedral was largely complete, though the south tower remained unfinished according to the original plans."
1535.0,Early Scottish Lodges in France,Scottish masons,"Paris and Lyon, France","Two Scottish masonic lodges recorded in France, one in Paris and one in Lyon"
1539.0,Establishment of Principal Master of Work,Scottish Crown,Scotland,"Position of Principal Master of Work to the Crown established, bringing mason lodges under crown control"
1549.0,Suppression of Saints Day Parades,English Reformation,England,Craft performances of mystery plays about patron saints suppressed during Reformation
1598.0,Schaw Statutes,William Schaw,Scotland,"First set of regulations for governance of masons and their lodges, mentioning wardens, deacons, entered prentices and cowans"
1598.0,Strasbourg stonemason statutes revision,,Strasbourg,"The stonemason statutes were comprehensively revised and reissued in Strasbourg, adapting medieval practices to Renaissance realities."
1599.0,Earliest Confirmed Lodge Minutes,Lodge of Edinburgh (Mary's Chapel),"Edinburgh, Scotland",First documented records of lodge activities
1599.0,Second Schaw Statutes,William Schaw,Scotland,"Edinburgh designated as ""first and principal"" lodge and Kilwinning as ""second and head"" lodge of Scotland; directive for lodges to employ notaries as secretaries"
1602.0,First St Clair Charter,"William Schaw, William St Clair of Rosslyn",Scotland,Charter granting right to purchase patronage over Scottish masons to William St Clair of Rosslyn
1628.0,Second St Clair Charter,William St Clair (son),Scotland,Second charter granted to William St Clair's son following his father's flight after a scandal
1634.0,First Recorded Non-Mason Admissions,"Sir Anthony Alexander, Lord Alexander, Sir Alexander Strachan","Edinburgh, Scotland",First recorded admission of non-operative masons at Lodge of Edinburgh (Mary's Chapel) No. 1
1641.0,First Non-Operative Mason Initiation in England,Robert Moray,"Newcastle, England",Earliest documented initiation of a non-stonemason in England
1641.0,First English Soil Initiation,Sir Robert Moray,England,Earliest record of a man being initiated into speculative Freemasonry on English soil by members of the Lodge of Edinburgh
1646.0,Elias Ashmole Initiation,Elias Ashmole,"Warrington, England",Earliest well-documented English non-operative initiation
1646.0,Elias Ashmole Initiation,Elias Ashmole,"Warrington, England",Ashmole initiated into a lodge composed mainly or entirely of speculative or accepted masons
1666.0,London Mason Corporation Chartered,London masons,"London, England","Official charter granted to London masons, though the government had used the organization previously"
1682.0,First Freemason in America,John Skene (Scot),New Jersey,John Skene came to New Jersey and was dedicated by the Grand Lodge of New Jersey as the first Freemason resident in America.
1686.0,Plot's Natural History,Robert Plot,"Staffordshire, England",Publication containing passage about persons of quality being admitted to the society of free-masons
1688.0,Glorious Revolution,Jacobites,England,Created the Jacobite movement with later connections to Freemasonry
1688.0,James II's Flight to France,Stuart Monarchy,France,James II allegedly resided at Jesuit College of Clermont; later claimed his followers fabricated Masonic degrees for political purposes
1696.0,First Recorded Ritual,Operative lodge,"Edinburgh, Scotland","Edinburgh Register House manuscript provides first recorded masonic ritual, detailing signs, ""Mason's Word"" and catechism"
1707.0,Strasbourg Cathedral Bauhütte enters dormant period,,Strasbourg,The original Strasbourg Cathedral Bauhütte organization began to decline as cathedral building decreased throughout Europe.
1711.0,Trinity College Manuscript,Operative lodge,"Dublin, Ireland",Manuscript detailing similar ritual practices to the Edinburgh Register House document
1715.0,Early Masonic Lodges,John Moore (port collector),Philadelphia,Correspondence from John Moore indicates that Masonic Lodges were already meeting in Philadelphia.
1716.0,Pre-Grand Lodge Meeting,"Four London lodges and ""old Brothers""","Apple Tree Tavern, Covent Garden, England","Four lodges meet and agree to form a ""Grand Lodge"" the following year"
1717.0,Formation of First Grand Lodge,Anthony Sayer (first Grand Master),"Goose and Gridiron, St Paul's Churchyard, London",Grand Lodge of London and Westminster established at the Feast of St John the Baptist (June 24)
1718.0,Second Grand Master,George Payne,"London, England","George Payne, civil servant with commissioners of taxes, elected as Grand Master"
1719.0,Third Grand Master,John Theophilus Desaguliers,"London, England","Desaguliers, clergyman and scientist, elected Grand Master"
1720.0,Fourth Grand Master,George Payne (second term),"London, England",Payne serves second term and writes The General Regulations of a Free Mason
1721.0,First Noble Grand Master,"John Montagu, Duke of Montagu","London, England","First aristocrat to become Grand Master, bringing social prestige to the fraternity"
1721.0,Noble Grand Masters Begin,Nobility,"London, England",Beginning of era where all Grand Masters were members of nobility; installation parades begin
1723.0,Publication of Masonic Constitutions,James Anderson,England,"""The Constitutions of the Free-Masons"" codified rules and history"
1723.0,Anderson's Constitutions (First Edition),James Anderson,England,"First official history commissioned by Premier Grand Lodge of England, tracing Freemasonry to biblical times and fixing its English establishment at York under Edwin, Athelstan's son"
1723.0,Anderson's Constitutions (First Edition),James Anderson,England,"First official history commissioned by Premier Grand Lodge of England, tracing Freemasonry to biblical times"
1723.0,Anderson's Constitutions Published,"James Anderson, John Theophilus Desaguliers","London, England",Publication of The Constitutions of the Free-Masons for London and Westminster lodges
1725.0,Formation of Grand Lodge of Ireland,Irish Freemasons,Ireland,Second Grand Lodge established
1725.0,First Recorded Third Degree,Philo Musicae et Architecturae Societas Apollini,"London, England","Minutes record passing of Charles Cotton and Papillion Ball as Master Masons, showing emergence of third degree"
1725.0,Provincial Grand Lodges Established,Grand Lodge,"South Wales and Cheshire, England",Minutes mention lodges in ten provincial towns with Provincial Grand Lodges formed
1725.0,Irish Grand Lodge Founded,Irish Freemasons,Ireland,"Second Grand Lodge established, taking decades to unite all Irish lodges"
1725.0,York Grand Lodge,York Freemasons,"York, England","""The Ancient and Honourable Society and Fraternity of Freemasons"" assumes title ""The Grand Lodge of All England meeting in the City of York"""
1726.0,Scottish Master Mason Degree,Gabriel Porterfield,"Dumbarton, Scotland","Porterfield receives Master Mason degree at lodge Dumbarton Kilwinning, with minutes indicating others already held this degree"
1727.0,Carmick manuscript,,Philadelphia,"The Carmick manuscript, a handwritten copy of the ancient charges dated 1727 and headed ""The Constitutions of St. John's Lodge""."
1728.0,First Spanish Lodge,European Masons,"Madrid, Spain",First lodge chartered in Spain
1728.0,Master Mason Fees Recorded,Greenock Kilwinning Lodge,"Greenock, Scotland","First record of separate fees for initiation, passing and raising, confirming three-degree system"
1728.0,Claimed Grand Lodge of France Foundation,Duke of Wharton (claimed Grand Master),France,"Disputed date of first Grand Lodge in France, claimed by Grand Lodge of France"
1730.0,First Published Three Degrees,Samuel Pritchard,England,"""Masonry Dissected"" exposure shows first recognizable description of the three degrees of modern Freemasonry"
1730.0,Mention of Freemasonry,Benjamin Franklin,Pennsylvania,"Franklin wrote in the Pennsylvania Gazette (December 8) of several lodges of freemasons already existing in the ""province""."
1730.0,First Provincial Grand Master appointment,Colonel Daniel Coxe,"New York, New Jersey, Pennsylvania","Coxe was made Provincial Grand Master of these areas by the Grand Lodge of England, with effect from June 24 for two years."
1731.0,First French Lodge,European Masons,France,First lodge established in France
1731.0,Benjamin Franklin Initiated,Benjamin Franklin,"Philadelphia, USA",Notable American founding father joins Freemasonry
1731.0,First Warrant Practice,Irish Grand Lodge,Ireland,"Beginning of practice of recognizing lodge regularity by issuing warrants, first known example"
1731.0,First Italian Lodge,"English Lodge (""La Loggia degli Inglesi"")","Florence, Italy",First masonic lodge established in Italy
1731.0,Franklin joins lodge,Benjamin Franklin,Philadelphia,Franklin joined St. John's Lodge in Philadelphia and became Junior Grand Warden of the Grand Lodge of Philadelphia in 1732.
1731.0,First speculative Masonic lodge established in Strasbourg,Nobility and intellectuals,Strasbourg,"First documented ""speculative"" (non-operative) Masonic lodge established in Strasbourg, marking the shift from practical stonemasonry to symbolic Freemasonry."
1733.0,First American Lodge,Henry Price,"Boston, Massachusetts",Establishment of first official lodge in the American colonies
1733.0,First chartered lodge,Henry Price,Boston,"Price, Provincial Grand Master over North America for the Grand Lodge of England, granted a charter to Boston Freemasons, later named St. John's Lodge."
1734.0,American Reprint of Constitutions,Benjamin Franklin,"Philadelphia, USA",Franklin reprints Anderson's Constitutions and is elected Grand Master of Pennsylvania
1735.0,Irish-English Lodge Dispute,Irish lodge delegation,"London, England",Irish lodge members refused admission to Grand Lodge without written authority from Grand Master of Ireland
1736.0,Formation of Grand Lodge of Scotland,Scottish Freemasons,Scotland,Third Grand Lodge established
1736.0,Formation of Grand Lodge of Scotland,William St Clair (descendant),Scotland,St Clair surrenders his family's patronage over Scottish masons as Grand Lodge forms
1736.0,Grand Lodge of Scotland Formed,Scottish Freemasons,Scotland,Formation of the Grand Lodge of Scotland
1737.0,Ramsay's Oration,Andrew Michael Ramsay,France,Influential speech connecting Freemasonry to the Crusades
1737.0,Ramsay's Oration,Chevalier Ramsay,France,"Added Crusaders to Masonic lineage, claiming they revived the craft with secrets recovered in the Holy Land under Knights Hospitaller patronage"
1737.0,Ramsay's Oration,Chevalier Ramsay,France,"Added Crusaders to Masonic lineage, claiming they revived the craft with secrets from the Holy Land"
1738.0,Anderson's Constitutions (Revised Edition),James Anderson,England,"Expanded history listing Grand Masters since Augustine of Canterbury (""Austin the Monk"")"
1738.0,Anderson's Constitutions (Revised Edition),James Anderson,England,Expanded history listing Grand Masters since Augustine of Canterbury
1738.0,Updated Constitutions,James Anderson,"London, England",Expanded and updated version of Anderson's Constitutions published
1738.0,French Grand Lodge Date,French Freemasons,France,Date given by French histories for first Grand Lodge
1740.0,Anti-Masonic Mock Processions,Anti-masonic groups,"London, England",Mock processions ridiculing masonic installation parades begin
1743.0,English Grand Lodge of France,Count of Clermont (Grand Master),France,"Formation of ""The English Grand Lodge of France"" with Count of Clermont as grand master"
1743.0,Kilwinning Withdrawal,Lodge Mother Kilwinning,Scotland,"Offended by being recognized only as the second lodge in the constitution, Lodge Mother Kilwinning withdrew from the Grand Lodge of Scotland"
1744.0,First German Grand Lodge,Prussian Freemasons,"Berlin, Prussia","Lodge ""Of the Three Globes"" founded in Berlin, later becoming ""Grand National Mother Lodge"" in 1772"
1745.0,Anti-Masonic Work (attributed to Abbé Larudan),Anonymous/Abbé Larudan,France,Claimed Oliver Cromwell was the founder of Freemasonry
1747.0,End of Masonic Parades,Grand Lodge,"London, England",Masonic installation parades discontinued due to ridicule and anti-masonic activities
1751.0,"Formation of ""Antient"" Grand Lodge",Laurence Dermott and others,England,"Rival Grand Lodge formed, creating the ""Antients"" vs. ""Moderns"" schism"
1751.0,Formation of Antients Grand Lodge,Six unaffiliated lodges,"Turk's Head Tavern, Soho, London","Representatives established ""Most Ancient and Honourable Society of Free and Accepted Masons according to the Old Constitutions"" (Grand Lodge of the Antients)"
1752.0,George Washington Initiated,George Washington,"Fredericksburg, Virginia",Future first U.S. President joins Freemasonry
1752.0,Antients Begin Warranting Lodges,Antients Grand Lodge,"London, England","Practice of warranting lodges begins, not adopted by the Moderns for another two decades"
1752.0,George Washington's initiation,George Washington,Fredericksburg,Washington was initiated into the Lodge of Fredericksburg.
1754.0,Masonic Chapter of Clermont,Chevalier Bonneville,France,Established with Jacobite influences
1756.0,Publication of Ahiman Rezon,Laurence Dermott,"London, England","Dermott publishes the Antients' own book of constitutions, attacking the original Grand Lodge (now labeled ""the Moderns"")"
1756.0,First Scottish chartered lodge in America,,Boston,"The Lodge of St. Andrews in Boston became the first properly chartered ""Scottish"" lodge in America."
1758.0,Scottish charter,,Fredericksburg,The Lodge of Fredericksburg was chartered by the Grand Lodge of Scotland.
1760.0,Standardization of Working Tools,English Freemasons,England,"Square, compass, level, and plumb standardized as symbols"
1772.0,Illustrations of Masonry,William Preston,England,"Further expanded the Masonic creation myth, beginning his history with the Druids"
1772.0,Illustrations of Masonry,William Preston,England,"Further expanded the Masonic creation myth, beginning with the Druids"
1772.0,German Grand National Mother Lodge,Prussian Freemasons,"Berlin, Prussia","Lodge ""Of the Three Globes"" becomes ""Grand National Mother Lodge"""
1773.0,Formation of Grand Orient of France,French Freemasons,France,Establishment of influential French Masonic governing body
1773.0,Grand Orient Split,French Freemasons,France,Split between the Grand Lodge and the Grand Orient occurs
1780.0,Swedish Rite Established,King Gustav III,Sweden,Emergence of the Swedish Rite system of Freemasonry
1780.0,Development of Tracing Boards,European Freemasons,Europe,Creation of teaching aids for Masonic instruction
1782.0,Russia in Rite of Strict Observance,Ivan Schwarz,"Wilhelmsbad, Germany",Russia recognized as the 8th province of the Rite of Strict Observance at masonic congress
1784.0,Eclectic Rite Established,Duke Ferdinand of Brunswick,Germany,Formation of new Masonic rite
1784.0,Book of Constitutions,John Noorthouk,London,Made unsubstantiated claim that Charles II became a Freemason during exile in Netherlands
1784.0,African Lodge chartered,Prince Hall,Boston,"African Lodge No. 459 was chartered by the Moderns in England on September 29, enabling African Americans rejected by Boston lodges to form their own Masonic organization."
1789.0,Resolution of Antiquity Dispute,William Preston,"London, England","Preston and his brethren received back into the Moderns with feasting and fanfare, ending the schism"
1791.0,First African American Lodge,Prince Hall,"Boston, Massachusetts",African Lodge No. 459 chartered with Prince Hall as Master
1792.0,Duke of Kent initiation,Duke of Kent,,"The Duke of Kent was initiated with the Ritual of the ""Regime Rectifié""."
1794.0,Revolutionary period affects Strasbourg Masonry,,Strasbourg,"During the French Revolution, many Masonic lodges in the Rhineland and Strasbourg were temporarily closed or went underground despite their proximity to the Cathedral."
1797.0,Anti-Masonic Publication,John Robison,Scotland,"Publication of ""Proofs of a Conspiracy"" against Freemasonry"
1797.0,Proofs of a Conspiracy,John Robison,Scotland,Anti-Masonic work claiming Freemasonry was infiltrated by Illuminati; embellished Stuart connection
1799.0,Unlawful Societies Act,British Government,England,"Legislation requiring lodge registration but exempting Freemasonry from bans on secret societies, Government proposes act declaring any body administering secret oaths illegal, threatening Freemasonry"
1799.0,Joint Delegation to Prime Minister,"Duke of Atholl (Antients), Earl of Moira (Moderns)","London, England","Delegation representing Antients, Moderns, and Grand Lodge of Scotland meets with Prime Minister William Pitt"
1799.0,Masonic Exemption,British Parliament,England,"Freemasons specifically excluded from the Unlawful Societies Act, though required to return membership lists to local Clerk of the Peace"
1802.0,Semi-official status in France,Napoleon,France,"Napoleon gave Freemasonry semi-official status in France, with membership around 10,000."
1805.0,Grand Orient of Italy,Italian Freemasons,Italy,Creation of the first Italian Grand Lodge
1806.0,Freemasonry in Mexico,,Mexico,The first Masonic lodge was formally established in Mexico.
1807.0,Kilwinning Rejoins Scottish Grand Lodge,Lodge Mother Kilwinning,Scotland,"After 64 years of separation, Lodge Mother Kilwinning rejoins the Grand Lodge of Scotland"
1813.0,Union of Antients and Moderns,English Freemasons,England,Reconciliation of the two rival Grand Lodges and standardization of English regalia
1813.0,Union of Grand Lodges,"Duke of Sussex, Duke of Kent",England,"The Ancients and Moderns united to form the United Grand Lodge of England, with the Duke of Sussex as Grand Master."
1823.0,Emulation Lodge of Improvement,,England,This lodge helped standardize Masonic ritual following the union of the two grand lodges.
1826.0,Morgan Affair,William Morgan,"Batavia, New York",Disappearance of Morgan after threatening to expose Masonic secrets sparked anti-Masonic movement
1828.0,Anti-Masonic movement,Thurlow Weed,United States,An anti-Masonic political movement grew into the Anti-Masonic Party and made the ballot for presidency.
1830.0,Italian Freemasons flee,Italian Freemasons,Italy to Alexandria,"After the failure of the Italian revolution, Italian Freemasons were forced to flee and secretly set up an approved chapter of Scottish Rite in Alexandria."
