Biblical Prophets Timeline,,,,,,,
Zephaniah,c. 640 BCE,c. 620 BCE,Late Divided Monarchy,Book of Zephaniah,Likely historical figure,"Prophesied during Josiah's reforms; warned of ""day of the Lord""",Emphasized judgment leading to purification; advocated for religious reforms
Jeremiah,c. 627 BCE,c. 570 BCE,End of Judean Monarchy/Exile,"Book of Jeremiah, Lamentations",Historical figure with good evidence,Opposed false prophets; witnessed Jerusalem's fall; remained in land briefly before exile to Egypt,"""Weeping prophet""; concept of new covenant written on hearts; model of faithful witness despite rejection"
Habakkuk,c. 610 BCE,c. 600 BCE,End of Judean Monarchy,Book of Habakkuk,Likely historical figure,Questioned divine justice; received vision about faithful living,"Introduced concept of ""the righteous shall live by faith""; model for questioning God while maintaining faith"
Ezekiel,c. 593 BCE,c. 570 BCE,Babylonian Exile,Book of Ezekiel,Historical figure,Priest-prophet in Babylonian exile; dramatic symbolic actions; vision of dry bones,Established synagogue worship; transitional figure from national to individual responsibility; apocalyptic visions
Daniel,c. 605 BCE,c. 530 BCE,Babylonian Exile/Persian Period,Book of Daniel,Semi-legendary figure with some historical elements,Court figure in Babylon; interpreter of dreams; apocalyptic visions,"Developed apocalyptic tradition; vision of ""son of man""; model of faithful living in pagan society"
Haggai,c. 520 BCE,c. 515 BCE,Post-Exilic,Book of Haggai,Historical figure,Encouraged rebuilding of Jerusalem temple,Focused on temple reconstruction as central to community restoration
Zechariah,c. 520 BCE,c. 480 BCE,Post-Exilic,Book of Zechariah,Historical figure with later additions to text,Supported temple rebuilding; apocalyptic visions; Messianic prophecies,Messianic expectations; apocalyptic tradition; influenced New Testament imagery
Malachi,c. 460 BCE,c. 420 BCE,Post-Exilic,Book of Malachi,"Possibly pseudonymous (""messenger"")","Final Hebrew Bible prophet; criticized corrupt priesthood; predicted ""messenger"" before day of Lord","Closed prophetic canon; set stage for 400-year ""silence"" before John the Baptist"
John the Baptist,c. 7 BCE,c. 28-30 CE,Early Roman Period,"Gospels, Josephus' Antiquities",Historical figure with good evidence,Ascetic prophet in Judean wilderness; baptized for repentance; prepared way for Jesus,"Bridge between Old and New Testament prophetic traditions; identified as ""Elijah"" figure"
Jesus of Nazareth,c. 4 BCE,c. 30-33 CE,Early Roman Period,"New Testament, Josephus, Tacitus",Historical figure with good evidence,"Galilean teacher, healer, and prophet; claimed divine authority; crucified under Pontius Pilate",Central figure of Christianity; considered final and definitive prophet in Christian tradition
Agabus,c. 40 CE,c. 60 CE,Apostolic Era,"Acts 11:27-30, 21:10-11",Possibly historical figure,Christian prophet who predicted famine and Paul's arrest,Example of continuing prophetic role in early church
John of Patmos,c. 70 CE,c. 100 CE,Late Apostolic Era,Book of Revelation,Debated identification with John the Apostle,Exiled to Patmos; received apocalyptic visions,Culmination of biblical apocalyptic tradition; influential in Christian eschatology
Name,From,To,Era,Source Texts,Historicity,Life and Mission,Influence and Legacy
Eldad and Medad,c. 1300 BCE,c. 1300 BCE,Wilderness Period,Numbers 11:26-29,Legendary figures,Received spirit of prophecy in Israelite camp,Represent democratization of prophetic gift beyond official structures
Huldah,c. 640 BCE,c. 620 BCE,Late Judean Monarchy,"2 Kings 22:14-20, 2 Chronicles 34:22-28",Possibly historical figure,Female prophet consulted about discovered scroll of Law during Josiah's reign,Validated scriptural authority; rare example of female prophet consulted by king
Noadiah,c. 445 BCE,c. 440 BCE,Post-Exilic,Nehemiah 6:14,Possibly historical figure,Female prophet opposed to Nehemiah; labeled as false prophet,Example of contested prophetic authority during restoration
Hermes Trismegistus,Legendary figure with texts from c. 100-300 CE,Hellenistic/Roman,"Corpus Hermeticum, various Hermetic texts",Mythological figure blending Egyptian god Thoth and Greek god Hermes,Legendary sage and revealer of divine wisdom; not a biblical figure,Venerated by some Gnostic Christians and esoteric traditions; influenced mystical Christianity and Renaissance thought,
Anna,c. 100 BCE,c. 30 CE,Early Roman Period,Luke 2:36-38,Possibly historical figure,Elderly prophetess who recognized infant Jesus in temple,Example of continuing prophetic tradition recognizing Messiah; representation of faithful remnant
Daughters of Philip,c. 40 CE,c. 70 CE,Apostolic Era,Acts 21:8-9,Possibly historical figures,Four virgin daughters who prophesied; connected to early church,Evidence of women's prophetic roles in early Christian communities
