,,,,,,,
Approximate Date,Source Text / Artifact,Description of Maitreya,Teachings/Statements,Location in Text / Context,,,
1st-2nd c. CE,Amitābha/Amitāyus,Mahayana Buddhist (India/Central Asia),Larger Sukhāvatīvyūha Sūtra; Smaller Sukhāvatīvyūha Sūtra; Amitāyurdhyāna Sūtra,• Buddha of Infinite Light/Infinite Life<br>• Presides over Western Pure Land (Sukhāvatī)<br>• Salvation through faith/devotion<br>• Accessible through name invocation<br>• Former king who became buddha through vows,• Meditation mudrā<br>• Red/gold coloration<br>• Lotus throne<br>• Radiant light rays<br>• Measurement hand gesture,• Present buddha vs. Maitreya's future buddha<br>• Faith salvation vs. Maitreya's teaching role<br>• Both offer escape from samsara<br>• Immediate access vs. Maitreya's future advent<br>• Light symbolism connects to Mithra/Mitra,
2nd-3rd c. CE,Expanded Maitreya cult,Mahayana Buddhist (India/Central Asia),Lotus Sutra; Avatamsaka Sutra; Madhyamakāvatāra; Yogācārabhūmi Śāstra,• Bodhisattva of loving-kindness<br>• Teacher of dharma in Tuṣita now<br>• Will establish dharma-realm at advent<br>• Associated with future golden age<br>• Last buddha of this kalpa,"• Crown with stupa image<br>• Royal rather than monastic dress<br>• Seated in ""Western"" position<br>• Hand in teaching gesture","• Growing devotional aspect similar to Amitābha<br>• More elaborate eschatology than early versions<br>• Functions as present helper and future savior<br>• Loving-kindness emphasis connects to ""friendship"" root",
3rd-5th c. CE,Mile (Chinese Maitreya),Chinese Buddhist,Translations by Dharmarakṣa; Kumarajiva's Mile Xiasheng Jing; Faxian's pilgrimage records,• Future buddha awaiting rebirth<br>• Accessible now in Tuṣita Heaven<br>• Associated with salvation from current suffering<br>• Connected to Pure Land practices<br>• Messianic expectations adapted to Chinese context,"• Chinese royal attributes<br>• Sometimes seated ""Western"" style<br>• Depicted in Tang dynastic style<br>• Often flanked by attendants",• Syncretic with Chinese folk beliefs<br>• Imperial associations enhanced<br>• Salvation aspect emphasized over teaching<br>• Becomes part of triad with Amitābha and Vairocana<br>• Connected to political movements,
6th-8th c. CE,Miroku,Japanese Buddhist,Nihon Shoki accounts; Hōryū-ji sculptures; Tōdai-ji dedications,• Future buddha of Japan<br>• Imperial protector<br>• Guarantor of dharma transmission<br>• Associated with national prosperity,• Similar to Chinese iconography<br>• Adapted to Japanese aesthetic<br>• State-protection symbolism<br>• Connection to imperial regalia,"• National protective role enhanced<br>• Less revolutionary, more establishment<br>• Becomes part of state Buddhism<br>• Preserves future advent aspect<br>• Merged with local kami traditions",
10th c. CE,Budai/Hotei,Chinese Chan/Zen Buddhism,Chan/Zen records; Feng-hsüeh Yen-chao accounts; Temple inscriptions,"• Laughing monk incarnation of Maitreya<br>• Folk hero/eccentric sage<br>• Abundance and contentment figure<br>• Accessible, worldly bodhisattva<br>• Patron of children and poor","• Corpulent, laughing figure<br>• Cloth bag carrying worldly goods<br>• Semi-nude, exposing belly<br>• Often surrounded by children",• Radical reinterpretation of royal Maitreya<br>• Common person vs. cosmic ruler<br>• Present vs. future orientation<br>• Materiality vs. spirituality emphasis<br>• Joy rather than solemnity,
11th-14th c. CE,Tantric Maitreya,"Vajrayana Buddhist (Tibet, Nepal)",Kālacakra Tantra; Maitreya-Nātha texts; Atisha's commentaries; Tsongkhapa writings,• Meditation deity (yidam)<br>• Secret tantric form with consort<br>• Five-buddha-family member<br>• Connection to inner cycles of time<br>• Esoteric initiation figure,• Multi-armed/multi-headed forms<br>• In union with wisdom consort<br>• Wrathful aspects in some depictions<br>• Elaborate mandala placement,• Most esoteric transformation<br>• Initiation focus similar to Mithraic mysteries<br>• Time control element beyond earlier versions<br>• Microcosmic rather than macrocosmic emphasis<br>• Personal rather than universal salvation focus,
14th-20th c. CE,Messianic Maitreya movements,Syncretic Buddhist (East Asia),White Lotus texts; Taiping documents; Mahasanghika revival texts; Modern millenarian writings,• Revolutionary political figure<br>• Dynastic overthrower<br>• Social justice bringer<br>• End-times inaugurator<br>• Often connected to secret societies,• Hidden symbolism in texts<br>• Coded visual language<br>• Combination of political and religious imagery<br>• Apocalyptic art,• Most politically radical interpretation<br>• Direct intervention vs. teaching role<br>• Immediate rather than distant timeframe<br>• Connected to political/social suffering<br>• Revolutionary like Saoshyant but with class emphasis,
Event Category,Vedic Mitra,Persian/Zoroastrian Mithra,Roman Mithras,Early Buddhist Maitreya,Mahayana Maitreya,East Asian Maitreya,Syncretic/Folk Interpretations
Birth/Origin,• Born at dawn from cosmic waters<br>• Self-manifested from primordial light<br>• Created by Ahura Mazda as first spiritual yazata,• Born from primordial cosmic stone (petra genetrix)<br>• Emerged fully formed with torch and dagger<br>• Birth witnessed by shepherds,• Born from cosmic egg/lotus<br>• Descended from Tuṣita heaven by choice<br>• Born to royal parents King Subrahmā and Queen Brahmāvatī<br>• Birth accompanied by miraculous signs,• Previous life as monk Ajita<br>• Rebirth in Tuṣita heaven after countless meritorious lives<br>• Currently awaiting final rebirth,"• Born from lotus in Chinese traditions<br>• In Japanese myths, arrived over ocean<br>• Budai born as eccentric monk in 10th century China",• Born from union of sun and moon<br>• Emerged from sacred mountain<br>• Born from white lotus growing from cosmic waters,
Youth/Training,• No explicit youth narrative<br>• Established as fully formed deity<br>• Master of cosmic order from beginning,• Dwelling on mountain peak Hara Berezaiti<br>• Learning cosmic secrets from Ahura Mazda<br>• Developing vigilant gaze that sees all falsehoods,• No explicit youth narrative in surviving texts<br>• Possibly trained by Saturn/Kronos (fragmentary evidence),• Previous lifetimes spent perfecting paramitas<br>• Studying under Gautama Buddha<br>• Receiving prophecy of future buddhahood,• Countless previous lives cultivating merit<br>• Studying with previous buddhas<br>• Mastering all dharmas and perfections,"• Training in celestial academies<br>• Learning from cosmic buddhas<br>• In Budai form, wandering as eccentric monk",• Youth spent among celestial herdsmen<br>• Trained by ancient sages in primeval times<br>• Apprenticeship to cosmic smith/craftsman
Primary Trials,• Confronting cosmic forces of darkness (Vrtra)<br>• Establishing primordial covenant with humanity<br>• Measuring earth and sky (with Varuna),• Combat with wild bull of creation<br>• Battles with Angra Mainyu/Ahriman<br>• Confrontation with demons of drought<br>• Trial of maintaining cosmic order against chaos,• Capturing and sacrificing primordial bull<br>• Harvesting bull's blood and life-force<br>• Combat with solar deity (Sol) before alliance<br>• Ascent through planetary spheres,• Overcoming birth and death cycle<br>• Resisting Māra's temptations<br>• Abandoning divine pleasures for human realm<br>• Last struggle with ignorance before enlightenment,• Vow to save all beings before own liberation<br>• Confronting demons of this degenerate age<br>• Waiting with perfect patience for proper time<br>• Victory over the six realms of samsara,"• Contest with local deities in China/Japan<br>• Enduring human rejection and misunderstanding<br>• Walking among suffering beings<br>• As Budai, embracing poverty and ridicule",• Descent into underworld/hell realms<br>• Combat with world-eating serpent<br>• Crossing burning desert/frozen wasteland<br>• Riddle contest with cosmic sphinx
Major Victories,• Binding together sky and earth<br>• Defeating forces of cosmic darkness<br>• Establishing first sacrificial rites<br>• Securing cosmic waters and rainfall,"• Defeating Angra Mainyu's forces<br>• Establishing covenant with Ahura Mazda<br>• Victory over 99,999 demons<br>• Successfully judging souls on Chinvat Bridge",• Successful bull sacrifice creating life<br>• Cosmic feast with Sol confirming alliance<br>• Ascent to celestial sphere<br>• Establishment of mystery initiations,"• Achieving perfect enlightenment<br>• Turning wheel of dharma<br>• Converting millions of beings<br>• Establishing dharma for 60,000 years",• Attaining complete buddhahood<br>• Liberating beings in three great assemblies<br>• Establishing pure buddha-field<br>• Complete victory over Māra and ignorance,• Conversion of East Asian kingdoms<br>• Harmony with local deities<br>• Establishment of major temple complexes<br>• Integration into imperial systems,• Victory over death itself<br>• Taming of wild cosmic forces<br>• Liberation of imprisoned divine entities<br>• Establishment of golden age
Companions & Allies,• Varuna (cosmic partner)<br>• Aryaman (social order)<br>• Agni (sacrificial fire)<br>• The Adityas (solar deities),• Sraosha (divine obedience)<br>• Rashnu (justice)<br>• Verethraghna (victory)<br>• Ahura Mazda (supreme deity),"• Cautes and Cautopates (torch bearers)<br>• Sol (sun)<br>• Luna (moon)<br>• Saturn/Kronos (time)<br>• The lion, snake, dog, raven",• Śakra/Indra (king of gods)<br>• Brahma (creator deity)<br>• Previous buddha Gautama<br>• Countless bodhisattvas,• Avalokiteśvara (compassion)<br>• Mañjuśrī (wisdom)<br>• Samantabhadra (practice)<br>• Vairocana Buddha (cosmic buddha),• Local protective deities<br>• Imperial figures<br>• Pure Land buddhas<br>• Folk heroes and sages,"• Animal helpers (lion, tiger, deer)<br>• Star maidens and celestial nymphs<br>• Thunder gods and weather spirits<br>• Divine craftsmen and smiths"
Adversaries,• Vrtra (cosmic serpent)<br>• Forces of cosmic darkness (dasyus)<br>• Those who break oaths<br>• Dishonest humans,• Angra Mainyu/Ahriman (evil spirit)<br>• Drought demon Apaosha<br>• Deceivers and oath-breakers<br>• Forces of cosmic darkness,• Primordial bull (both adversary and victim)<br>• Saturn/Kronos (in some versions)<br>• Chaotic cosmic forces<br>• Time as limitation,• Māra (temptation/delusion)<br>• Ignorance and attachment<br>• Bad karma from past ages<br>• Defilements (kleśas),• Six realms of suffering<br>• Ignorance and delusion<br>• The demon king Pāpīyas<br>• False teachers in degenerate age,• Corrupt rulers and officials<br>• Local demons and malevolent spirits<br>• Political enemies of imperial patrons<br>• Heretical teachers,• World-destroying cosmic serpent<br>• Time lord who limits divine power<br>• Trickster figures who create illusions<br>• False saviors claiming divine authority
Current State/Activity,• Watching over oaths and contracts<br>• Maintaining cosmic order<br>• Sustaining friendly relations<br>• Rewarding the faithful,• Observing humanity from mountain peak<br>• Driving sun-chariot across sky<br>• Judging souls on Chinvat Bridge<br>• Awaiting final world renewal,• Present in mystery sanctuaries (mithraea)<br>• Accessible through ritual initiation<br>• Guiding worthy souls through planetary spheres<br>• Maintaining cosmic order through bull sacrifice,• Teaching in Tuṣita Heaven<br>• Awaiting proper time for descent<br>• Watching over dedicated followers<br>• Preparing final buddha incarnation,• Presiding over celestial buddha-field<br>• Sending emanations to suffering realms<br>• Accessible through meditation/visualization<br>• Inspiring dharma practice,"• As Budai, wandering among common people<br>• Protecting imperial systems<br>• Dwelling in major temple complexes<br>• Accessible through devotional practices",• Hidden within sacred mountains<br>• Disguised among ordinary humans<br>• Speaking through oracles and mystics<br>• Appearing in dreams to worthy devotees
Future Trials,• Final battle with forces of chaos<br>• Confrontation with world-dissolving time<br>• Maintaining truth through cosmic dissolution,• Final battle with Angra Mainyu<br>• Supporting Saoshyant in world renewal<br>• Trial of cosmic fire (molten metal ordeal)<br>• Separation of good from evil at world's end,• Eschatological return during cosmic dissolution<br>• Final bull sacrifice at end of all cycles<br>• Confrontation with ultimate time/death<br>• Leading worthy souls through final cosmos,• Descent from Tuṣita to polluted earth<br>• Confrontation with degenerate beings<br>• Final battle with Māra's forces<br>• Demonstration of truth to skeptical world,• Establishing dharma in age of five degenerations<br>• Converting skeptical beings<br>• Restoring true teaching after decline<br>• Final victory over cosmic ignorance,• Confronting corrupt political systems<br>• Overcoming cultural decline<br>• Revealing true identity to doubting world<br>• Separating true followers from false,• Breaking seven cosmic seals<br>• Opening gates between worlds<br>• Gathering scattered divine sparks<br>• Confronting cosmic demiurge
Promised Return/Advent,• Return at cosmic renewal phase<br>• Appearance during sacrifice<br>• Present at world transitions<br>• Manifests when truth is threatened,• Return with Saoshyant at frashkart (renewal)<br>• Advent at final cosmic battle<br>• Appearance at world judgment<br>• Return when cosmic order is threatened,• Second coming at end of current age<br>• Return during cosmic cataclysm<br>• Advent during celestial alignment<br>• Final revelation to all worthy initiates,"• Birth in Ketumati (future Varanasi)<br>• Appearance when human lifespan reaches 80,000 years<br>• Descent under nāga tree<br>• Advent after 5,670,000,000 years",• Arrival after complete dharma decline<br>• Appearance when suffering reaches peak<br>• Descent with celestial retinue<br>• Three great teaching assemblies,• Manifestation during political turbulence<br>• Advent in pure buddha-land on earth<br>• Appearance as imperial savior/revolutionary<br>• Return at cosmic cycle completion,• Return riding white horse/elephant<br>• Advent during celestial conjunction<br>• Appearance after seven signs fulfilled<br>• Birth from virgin/divine mother
Final Achievement,• Establishment of perfect cosmic order<br>• Universal friendship among all beings<br>• Perfect harmony between worlds<br>• Eternal covenant with humanity,• Support of Saoshyant's world renewal<br>• Universal judgment of all souls<br>• Creation of perfect mountain paradise<br>• Eternal victory over evil,• Liberation of all worthy initiates<br>• Universal cosmic harmony<br>• Transcendence of all initiates beyond time<br>• Perfect celestial order,"• Perfect enlightenment under nāga tree<br>• Dharma teaching to three great assemblies<br>• Establishment of dharma for 60,000 years<br>• Liberation of countless beings",• Creation of perfect buddha-field<br>• Liberation of all beings in three assemblies<br>• Restoration of perfect dharma<br>• Final demonstration of emptiness,• Unification of imperial and spiritual authority<br>• Cultural golden age<br>• Perfect harmony between humans and deities<br>• Establishment of pure land on earth,• Cosmic marriage of opposing forces<br>• Healing of divine-human separation<br>• Restoration of primordial unity<br>• Transcendence of cosmos beyond time
Special Powers,• All-seeing gaze<br>• Control of cosmic waters<br>• Binding oaths with unbreakable force<br>• Bestowing fertility and abundance,"• Thousand ears, ten thousand eyes<br>• Undeceivable judicial sight<br>• Control of cosmic light<br>• Power over oaths and contracts",• Bull-taming strength<br>• Cosmic knowledge<br>• Planetary ascension power<br>• Transmutation of elements,• Perfect wisdom and compassion<br>• Teaching that liberates all beings<br>• Recall of all past lives<br>• Creation of pure buddha-field,• Miracle powers (ṛddhi)<br>• Universal translation ability<br>• Creation of emanation bodies<br>• Divine eye seeing all realms,• Ability to appear in multiple forms<br>• Cultural adaptation skills<br>• Political prophecy powers<br>• Integration with local deities,• Shape-shifting abilities<br>• Control of elemental forces<br>• Time manipulation<br>• Reality reconfiguration
Sacred Sites,• Sacrificial grounds<br>• Ritual spaces<br>• Cosmic waters<br>• Mountain peaks,• Mountain peak Hara Berezaiti<br>• Fire temples<br>• Chinvat Bridge<br>• Ritual precincts,• Mithraea (cave temples)<br>• Underground sanctuaries<br>• Sacred spring sites<br>• Mountain tops,• Ketumati (future Varanasi)<br>• Tuṣita Heaven<br>• Dragon Flower Tree (nāga)<br>• Bamboo Grove,• Vulture Peak<br>• Jetavana Grove<br>• Various pure lands<br>• Sacred mountain sites,• Major temple complexes<br>• Imperial palace connections<br>• Silk Road sites<br>• Five-mountain systems,• Sacred caves worldwide<br>• Mountaintop shrines<br>• Underground chambers<br>• Celestial alignment sites
Ritual Connections,• Soma sacrifice<br>• Dawn prayers<br>• Covenant ceremonies<br>• Friendship rituals,• Yasna ceremony<br>• Mihr Yasht recitation<br>• Fire rituals<br>• Covenant ceremonies,• Tauroctony (bull sacrifice)<br>• Seven-grade initiation<br>• Ritual meals<br>• Cave ceremonies,• Buddha-recollection meditation<br>• Future dedication practices<br>• Aspiration for rebirth with Maitreya<br>• Statue consecration,• Visualization practices<br>• Mahayana dedication ceremonies<br>• Pure land aspirations<br>• Bodhisattva vows,• Imperial ceremonies<br>• Folk festivities<br>• Temple dedication rites<br>• New Year celebrations,• Secret initiations<br>• Cosmic timing ceremonies<br>• Symbolic death-rebirth rituals<br>• Astrological observances
Special Objects/Symbols,• Golden chariot<br>• Vajra weapon<br>• Soma vessel<br>• Ritual fire,• Barsom rods<br>• Golden chariot<br>• Club/mace<br>• Solar disc,• Dagger (to sacrifice bull)<br>• Torch (illumination)<br>• Phrygian cap<br>• Bull and scorpion,• Nāga tree<br>• Water vessel<br>• Dharma wheel<br>• Stupa crown,• Wish-fulfilling gem<br>• Lotus throne<br>• Dharma text<br>• Five-pronged crown,• Laughing face (Budai)<br>• Cloth sack<br>• Royal attributes<br>• Dragon flower,• Seven-sealed book<br>• Cosmic egg<br>• World tree<br>• Divine mirror
