Time Period,Event,People/Groups Involved,Details and Significance,Source(s),,
522 BCE,Revolt of Vahyazdâta,"Vahyazdâta, Darius I, Artavardiya","Vahyazdâta, claiming to be Bardiya, revolted in Persia. Many Persians sided with him, and he declared himself king. Understanding his support base can shed light on the legitimacy of Gaumata.",Behistun Inscription,,
522 BCE,Vahyazdâta's challenge to Darius,"Vahyazdâta, Darius I, Vivana","Vahyazdâta attempted to capture the Kabul Valley but was defeated by the satrap of Harahvatis, Vivana. Shows the geographical spread of the revolts and the key figures involved.",Buddha Prakash,,
522 BCE,Battle at Rakhâ,"Vahyazdâta, Artavardiya","Darius I sent Artavardiya with an army to suppress Vahyazdâta's rebellion. They fought at Rakhâ, where Artavardiya emerged victorious. Details of battles and military campaigns help to understand the consolidation of power.",Behistun Inscription,,
522 BCE,Vahyazdâta's army sent to Arachosia,"Vahyazdâta, Vivâna","Vahyazdâta sent an army against Vivâna, Darius's satrap in Arachosia. The rebels were defeated at Kapiša-kaniš. Geographical details of the conflict.",Behistun Inscription,,
522 BCE (September 29),Assassination of Gaumata,Darius the Great and six Persian nobles,Darius the Great and six Persian nobles assassinate Gaumata in a palace coup at Sikayauvati. Identifying the nobles involved and their motivations is crucial.,Behistun Inscription,,
522 BCE (October-December),Rebellions break out against Darius,,"Several rebellions break out against Darius across the empire, including in Elam, Media, and Persia. The widespread nature of these rebellions challenges Darius's legitimacy.","Behistun Inscription, Kent (1950)",,
522 BCE,Irdabama's economic empire,Irdabama (wealthiest businesswoman),"Oversaw wine/grain trade across 5 regions, employing 480+ workers. Used her seal to authenticate documents—unprecedented autonomy for a non-royal woman. No direct political role, but her wealth influenced court dynamics. Provides context on the economic landscape and influential figures outside of direct political power.",Persepolis Fortification Tablets;1,,
522 BCE,Gaumata's coup & female backlash,"Sisygambis (mother of Darius III), noblewomen","After Gaumata (impostor claiming to be Bardiya) seized power, noblewomen reportedly funded Darius I's counter-coup to restore ""true"" Achaemenid lineage. Their involvement was erased from official (Behistun) accounts. Highlights the potential influence of women and factions within the court.","25; Brosius, Women in Ancient Persia",,
521 BCE (March 12),Vahyazdata rises in Persia,Vahyazdata,"Vahyazdata, a Persian rebel claiming to be Bardiya, rises in Persia at the city of Tārvā in Yautiya district. Demonstrates continued resistance against Darius's rule.",Behistun Inscription,,
521 BCE (May 24),Battle of Rakhâ,,Battle of Rakhâ: Vahyazdata's forces are defeated by Darius' general Artavardiya. Further suppression of rebellions.,Behistun Inscription,,
521 BCE,Battle at Parga,"Vahyazdâta, Artavardiya","Vahyazdâta fled after his defeat at Rakhâ but gathered another army. He engaged Artavardiya again at Parga, where he was defeated and captured. Shows the persistence of the rebellion.",Behistun Inscription,,
521 BCE (July 15),Battle of Parga,,Battle of Parga: Vahyazdata is again defeated and captured by Artavardiya.,Behistun Inscription,,
521 BCE,Second battle in Arachosia,"Vahyazdâta's commander, Vivâna",The rebels regrouped but were defeated again at Gandutava. Their commander fled but was later captured and executed. Crushing of the rebellion in Arachosia.,Behistun Inscription,,
521 BCE (August-September),Execution of Vahyazdâta,,Vahyazdata and his chief supporters are executed by crucifixion in Uvâdaicaya. Suppressing dissent and solidifying power.,Behistun Inscription,,
521 BCE (December 29),Rebel forces defeated at Kapishkanish,,Rebel forces sent by Vahyazdata are defeated at Kapishkanish (Kandahar) by Darius' satrap Vivâna. Continuing to put down rebellions.,Behistun Inscription,,
521 BCE (February 21),Final battle at Gandutava,,Final battle at Gandutava: remaining rebels loyal to Vahyazdata are crushed by Vivâna.,Behistun Inscription,,
521 BCE (Spring),Last supporters of Vahyazdâta hunted down,,The last supporters of Vahyazdata flee to Arachosia but are hunted down and executed by Darius' forces. Eliminating remaining threats.,Behistun Inscription,,
521 BCE,Execution of Vahyazdâta and followers,"Vahyazdâta, Darius I",Vahyazdâta and his chief followers were crucified in Uvâdaicaya by order of Darius I. Public display of power and the consequences of rebellion.,Behistun Inscription,,
520 BCE onwards,Darius consolidates power,,"Darius consolidates power and executes further rivals, establishing his legitimacy over the Achaemenid throne.","Behistun Inscription, Kent (1950)",,
518 BCE,Atossa's political influence peaks,"Atossa, Darius I","Persuaded Darius to name their son Xerxes as heir over older half-brothers, exploiting her status as Cyrus' daughter. Greek sources (Aeschylus) later dramatized this as manipulative, but Persian records frame it as astute diplomacy. Highlights the continued influence of Cyrus's lineage through Atossa.","Aeschylus, The Persians;78",,
500 BCE,Settlement of Rohitas and Yautiya,"Rohitas, Yautiya, medieval rulers","The Rohitas, also known as Rohilas, settled in East Punjab, Rajasthan, and later in Rohilkhand, Uttar Pradesh, along with the Yautiya. Later settlements may reflect earlier migrations and alliances.","Buddha Prakash, Jodhpur inscription of Bauka",,
500 BCE,Rise of incest accusations,Anonymous noblewomen,"Greek historians (e.g., Ctesias) began alleging rampant mother-son and sibling marriages among Persian elites. Modern scholars argue these claims exaggerated limited royal practices to demonize Persians. Zoroastrian texts from later eras (Vendidad) later codified xwedodah (kin-marriage), but Achaemenid evidence is scarce. Understanding the context of these accusations is important.","36; Bigwood, Incestuous Marriage in Achaemenid Iran",,
480 BCE,Artaynte affair,"Artaynte (wife of Darius I's son Masistes), Xerxes I","Artaynte allegedly had an affair with Xerxes, leading Masistes to rebel. Xerxes executed Masistes and his sons, while Artaynte vanished from records. Herodotus uses this to frame Persian women as corrupting influences, masking deeper succession conflicts. These courtly intrigues highlight power dynamics and potential sources of instability.",Herodotus IX.108–113;5,,
336 BCE,Sisygambis' diplomatic role,Sisygambis (mother of Darius III),"After Darius III's defeat by Alexander, Sisygambis negotiated her family's safety. Refused to acknowledge Darius' corpse, declaring Alexander her ""true son."" Later Greek accounts painted her as traitorous, but Babylonian texts suggest pragmatic diplomacy. Provides a glimpse into later Achaemenid history and the role of women in diplomacy.","Quintus Curtius Rufus, History of Alexander;4",,
Post-Conquest,Expansion in North Africa,Cambyses II,Conquered Cyrenaica; Libyans and Greeks of Cyrene and Barca acknowledged his authority,Briant (2002),,
,,,,,,a
