Name,Date of Birth and Death,School,Teacher
Plato,427/428–348/347 BC,Founded Platonism,Socrates
Plotinus,204/5–270 AD,Neoplatonism,Ammonius Saccas
Plutarch,46–120 AD,Platonism,Ammonius
Plutarch of Athens,350–432 AD,Neoplatonism,Syrianus
Polemon,4th century BC,Platonism,Xenocrates
Porphyry of Tyre,234–305 AD,Neoplatonism,Plotinus
Priscian of Lydia,4th–5th century AD,Neoplatonism,Unknown
Priscus of Epirus,4th century AD,Neoplatonism,Unknown
Proclus Lycaeus,412–485 AD,Neoplatonism,Syrianus
Pseudo-Dionysius the Areopagite,5th–6th century AD,Neoplatonism,Unknown
Python of Aenus,4th century BC,Platonism,Unknown
Simplicius of Cilicia,490–560 AD,Neoplatonism,Ammonius Hermiae
Sopater of Apamea,5th century AD,Neoplatonism,Unknown
Sosipatra of Ephesus,4th century AD,Neoplatonism,Aedesius
Speusippus,407/6–339/8 BC,Platonism,Plato
Synesius,373–414 AD,Neoplatonism,Hypatia
Syrianus,5th century AD,Neoplatonism,Plutarch of Athens
Telecles of Phocis,4th century BC,Platonism,Unknown
Theodorus of Asine,5th century BC,Platonism,Unknown
Timaeus the Sophist,3rd century AD,Platonism,Unknown
Timolaus of Cyzicus,4th century BC,Platonism,Unknown
Xenocrates of Chalcedon,396/5–314/3 BC,Platonism,Plato
Zenodotus,2nd century BC,Platonism,Unknown
