Comprehensive Timeline of Avestan and Related Ancient Languages,,,
Time Period,Region/Area,Dynasty/Civilization,Event/Development
c. 50 BCE-200 CE,Eastern Mediterranean,Roman Empire,Koine Greek becomes dominant literary language; Hebrew primarily liturgical; Aramaic dialects flourish
224-651 CE,Greater Iran,Sasanian Empire,Formalization of Zoroastrianism as state religion; Aramaic script adapted for writing Middle Persian (Pahlavi)
c. 200-400 CE,Palestine/Babylonia,Late Roman/Sasanian periods,Palestinian and Babylonian Talmuds compiled in Aramaic with Hebrew elements
c. 300-400 CE,Sasanian Persia,Sasanian Empire,"Development of the specialized Avestan alphabet (Din dabireh - ""religion writing"") derived from Aramaic script"
c. 400-500 CE,Sasanian Persia,Sasanian Empire,Avestan corpus committed to writing after centuries of oral transmission; creation of the Sasanian Avesta
c. 500-600 CE,Sasanian Persia,Late Sasanian Empire,"Avestan no longer fully understood by Zoroastrian commentators, requiring Middle Persian commentaries (Zend)"
c. 600-800 CE,Middle East,Early Islamic period,Classical Arabic becomes dominant; Hebrew preserved as liturgical language; many Aramaic dialects decline
651-751 CE,Greater Iran,Early Islamic rule,Continued preservation of Avestan texts by Zoroastrian communities under Islamic rule
c. 750-950 CE,Near East,Abbasid Caliphate,Medieval Jewish Aramaic dialects flourish in scholarly contexts; Hebrew undergoes revival as literary language
c. 900-1000 CE,Greater Iran,Islamic period,Period after which substantial portions of Avestan literature were lost
c. 1000-1200 CE,Middle East,Various Islamic states,Aramaic gradually replaced by Arabic in most regions; surviving mainly in isolated communities
c. 1100-1200 CE,Western India (Gujarat),Indian kingdoms,First transcription of Avestan in Brahmi-based scripts by Parsi scholars like Neryosang Dhaval
