"Here is a comprehensive table of the major and minor East Asian Buddhist schools and sects you listed, with key information for each: approximate founding period, country of origin, doctrinal focus, and brief notes. This includes Chan/Zen, Pure Land, Vinaya, scholastic, syncretic, and modern movements from China, Vietnam, Korea, and Japan179.",,,,
School/Sect,Founded (Century),Country/Region,Doctrinal Focus/Type,Notes/Description
Jingak Order,20th CE,Korea,"Esoteric, Shingon syncretized","Modern, esoteric school"
Japanese Risshū,7th CE,Japan,"Vinaya, monastic discipline","Nara period, historical"
Jojitsu,7th CE,Japan,"Satyasiddhi, Abhidharma","Nara period, historical"
Kusha,7th CE,Japan,"Abhidharmakośa, Abhidharma","Nara period, historical"
Sanron,7th CE,Japan,"Madhyamaka, emptiness","Nara period, historical"
Hossō,7th CE,Japan,"Yogācāra, consciousness-only","Nara period, historical"
Kegon,8th CE,Japan,"Huayan, Avataṃsaka, esoteric",Syncretized with Shingon
Tendai,9th CE,Japan,"Tiantai, esoteric, Pure Land","Heian period, syncretic"
Shingon,9th CE,Japan,"Esoteric, mantra, ritual","Heian period, esoteric"
Kōyasan Shingon-shū,9th CE,Japan,Main Shingon school,Centered at Mount Kōya
Shingon Risshu,13th CE,Japan,Shingon-Vinaya syncretic,Syncretized with Risshū
Shingon-shu Buzan-ha,16th CE,Japan,Shingon sub-school,One of two main Shingon branches
Shingon-shū Chizan-ha,16th CE,Japan,Shingon sub-school,One of two main Shingon branches
Shinnyo-en,20th CE,Japan,"Lay-oriented, esoteric",New religious movement
Shugendo,10th CE,Japan,"Mountain asceticism, syncretic","Shinto, Taoism, Onmyōdō influences"
Rinzai,12th CE,Japan,"Linji Zen, kōan practice","Kamakura period, Zen"
Sōtō,13th CE,Japan,"Caodong Zen, silent illumination","Kamakura period, Zen"
Ōbaku,17th CE,Japan,"Linji Zen, Pure Land syncretic",Ming Chinese influence
Sanbo Kyodan,20th CE,Japan,Sōtō/Rinzai syncretic,Modern Zen school
White Plum Asanga,20th CE,USA/Japan,"Sōtō Zen, lay orientation",Founded by Taizan Maezumi
Ordinary Mind Zen School,20th CE,USA,"Sōtō Zen, lay orientation",Founded by Joko Beck
Zen Peacemakers,20th CE,USA,"Engaged Zen, social action",Founded by Bernie Glassman
Jōdo-shū,12th CE,Japan,"Pure Land, nembutsu","Kamakura period, founded by Hōnen"
Jōdo Shinshū,13th CE,Japan,"Pure Land, faith in Amida","Kamakura period, founded by Shinran"
Ji-shū,13th CE,Japan,"Pure Land, itinerant monks","Kamakura period, founded by Ippen"
Yūzū-nembutsu-shū,12th CE,Japan,"Pure Land, universal nembutsu",Founded by Ryōnin
Nichiren Buddhism,13th CE,Japan,"Lotus Sutra exclusive, chanting","Kamakura period, founded by Nichiren"
Nichiren Shū,19th CE,Japan,Mainstream Nichiren school,"Modern, inclusive"
Honmon Butsuryū-shū,19th CE,Japan,"Nichiren, lay-oriented","Modern, new religious movement"
Kempon Hokke,14th CE,Japan,"Nichiren, exclusive focus",Traditionalist Nichiren branch
Nichiren Shōshū,18th CE,Japan,"Nichiren, exclusive, lay/monastic",Soka Gakkai originated here
