c. 1500-500 BCE,"Tinia, Tin",Etruscan,Tinia,"Sky, thunder, lightning, chief deity","Etruscan artifacts, inscriptions",Etruria (Italy),"Jupiter, Zeus","Lightning bolts, eagle"
c. 1500-500 BCE,"Tengri, Tanrı",Turkic/Mongolic,Tengri,"Sky, supreme deity, creator","Archaeological evidence, folklore","Central Asia, Steppe","Tian (Chinese), Zeus, Dyaus","Sky, blue color"
c. 1300-700 BCE,"Tian, Shangdi",Chinese,Tian/Shangdi,"Heaven, supreme deity, cosmic order","Oracle bones, Zhou texts",China,"Tengri, Zeus, Dyaus","Heaven, circular symbols"
c. 1200-700 BCE,"Tarhunna, Teshub",Neo-Hittite,Storm God,"Storm, thunder, kingship",Neo-Hittite monuments,"Anatolia, Syria","Baal, Zeus, Indra","Bull, lightning, axe"
c. 1200-500 BCE,"Ukko, Perkele",Finnish,Ukko,"Thunder, harvest, sky","Finnish myth, Kalevala",Finland,"Thor, Perun, Perkūnas","Hammer (Ukonvasara), lightning"
c. 1000 BCE–present,Perkūnas,"Baltic (Lithuanian, Latvian)",Perkūnas,"Thunder, rain, oaks, serpent-slayer","Baltic myth, linguistics","Lithuania, Latvia","Perun, Thor, Indra","Axe, hammer, oak, chariot"
c. 1000 BCE–present,"Perun, Piorun, Piarun, Perkun",Slavic,Perun,"Thunder, lightning, war, serpent-slayer","Slavic myth, linguistics","Russia, Poland, Balkans","Perkūnas, Thor, Indra","Axe, hammer, chariot, oak"
c. 1000 BCE–present,"Þunraz, Thunor, Donar, Thor","Proto-Germanic, Old English, Old Norse, Old High German",Thor,"Thunder, lightning, protector, serpent-slayer","Norse sagas, Eddas, linguistics","Scandinavia, Germany, England","Perun, Perkūnas, Indra","Hammer (Mjölnir), chariot, goats, red beard"
c. 1000 BCE–present,"Taranis, Tonaros",Celtic,Taranis,"Thunder, sky, wheel, serpent-slayer","Celtic myth, linguistics","Gaul, Britain","Thor, Perun, Indra","Wheel, thunderbolt, chariot"
c. 1000 BCE–present,Perëndi,Albanian,Perëndi,"Sky, thunder, god","Albanian myth, linguistics",Balkans,"Perkūnas, Perun","Sky, thunder, light"
c. 1000-500 BCE,Teshub-Hadad,Syro-Anatolian,Teshub-Hadad,Syncretic storm god,Syro-Hittite monuments,"Syria, Southern Turkey","Baal, Teshub, Zeus","Bull, lightning, axe"
c. 1000-500 BCE,"Surya, Savitar, Aditya",Vedic/Hindu,Surya,"Solar deity, cosmic eye, light","Rigveda, Puranas",India,"Helios, Apollo, Ra","Solar disc, chariot, seven horses"
c. 1000-300 BCE,"Odin, Woden, Wotan",Germanic/Norse,Odin,"Wisdom, war, shamanic powers, poetry","Norse sagas, Eddas","Scandinavia, Germany","Mercury, Hermes, aspects of Zeus","Spear, eight-legged horse, ravens, one eye"
c. 900-400 BCE,Amun-Zeus,Greco-Egyptian,Amun-Zeus,Syncretic king of gods,Greek and Egyptian sources,"Egypt, Libya","Zeus, Amun, Jupiter","Ram horns, lightning"
c. 800 BCE–present,"Shiva, शिव, Mahadeva, Rudra, Shankara, Neelkantha, Tryambaka",Sanskrit/Hindu,Shiva,"Destruction, transformation, asceticism, trident, cosmic dance","Vedas, Puranas",India,"Rudra, Dionysus, Vishnu (Harihara), Brahma (Trimurti)","Trident (trishula), third eye, crescent moon"
c. 800 BCE–present,"Trishula, त्रिशूल, τρίαινα (Triaina), Tridentum","Sanskrit, Greek, Latin",Trident (weapon),"Destruction, cosmic power, sea/earth power","Iconography, Puranic texts, Greek myth","India, Greece, Rome","Shiva, Poseidon, Neptune",Three-pronged spear
c. 800 BCE–present,"Vishnu, विष्णु, Viṣṇu, Narayana, Hari, Krishna, Vasudeva, Trivikrama, Govinda, Padmanabha, Madhava, Keshava, Jagannatha",Sanskrit/Hindu,Vishnu,"Preservation, cosmic order, avatars, pervasiveness","Vedas, Puranas",India,"Krishna, Rama, Buddha, Shiva (Harihara), Brahma (Trimurti), Dattatreya","Four arms, chakra, conch, lotus, blue skin"
c. 800 BCE–present,"Brahma, ब्रह्मा, Brahman",Sanskrit/Hindu,Brahma,"Creation, cosmic order, Trimurti","Upanishads, Puranas",India,"Vishnu, Shiva (Trimurti), Dattatreya","Four heads, lotus, Vedas"
c. 800-200 BCE,Dionysus-Zagreus,Greek,Dionysus-Zagreus,"Twice-born, resurrection, mysticism","Orphic texts, Greek mysteries",Greece,"Osiris, Shiva, Jesus (later)","Bull, wine, ivy, dismemberment/rebirth"
c. 700-300 BCE,Zeus-Ammon,Greco-Egyptian,Zeus-Ammon,Syncretic king of gods,Greek and Egyptian sources,"Libya, Egypt, Greece","Zeus, Amun, Jupiter","Ram horns, lightning"
c. 700-300 BCE,Apollo-Helios,Greek,Apollo-Helios,"Solar, light, prophecy, healing",Greek religious texts,Greece,"Ra, Surya, Sol","Solar disc, lyre, bow"
c. 600-300 BCE,Sabazios,Thracian/Phrygian/Greek,Sabazios,"Sky father, horseman, hand of blessing",Archaeological evidence,"Balkans, Anatolia","Zeus, Jupiter, Yahweh","Hand of blessing, horse, serpent"
c. 600-100 BCE,Zeus Hypsistos,Greek/Anatolian,"Zeus Hypsistos (""Highest"")","Supreme deity, monotheistic aspects",Greek inscriptions,"Greece, Anatolia","Yahweh, Ahura Mazda","Throne, lightning, celestial symbols"
c. 500 BCE–present,"Trimurti (Brahma, Vishnu, Shiva), Dattatreya",Sanskrit/Hindu,Divine Trinity,"Creation, preservation, destruction, syncretic unity","Puranas, Epics",India,"Dattatreya (3-headed form), Harihara (Shiva-Vishnu)","Three heads, symbolic animals"
c. 500-100 BCE,Zeus-Ahura Mazda,Greco-Persian,Zeus-Ahura Mazda,"Supreme deity, light, cosmic order",Archaeological evidence,Asia Minor,"Zeus, Ahura Mazda","Light, celestial symbols"
c. 500-100 BCE,Jupiter Dolichenus,Roman/Syrian,Jupiter Dolichenus,"Sky, storm, military power","Roman inscriptions, temples","Syria, Rome","Jupiter, Baal, Hadad","Bull, double axe, lightning"
c. 400 BCE-400 CE,Serapis,Greco-Egyptian,Serapis,"Syncretic ruler of underworld, healing",Ptolemaic texts,Egypt,"Osiris, Apis, Pluto, Zeus","Bull, modius (grain measure), Cerberus"
c. 300 BCE–present,"Krishna, कृष्ण, Vasudeva, Govinda, Gopala, Keshava, Madhava",Sanskrit/Hindu,Krishna (Vishnu avatar),"Avatar, cosmic hero, messianic figure","Mahabharata, Bhagavad Gita",India,"Vishnu, Rama, Buddha","Flute, peacock feather, blue skin"
c. 300 BCE–present,"Rama, राम, Ramachandra, Raghava",Sanskrit/Hindu,Rama (Vishnu avatar),"Avatar, ideal king, dharma-restorer","Ramayana, Puranas",India,"Vishnu, Krishna, Buddha","Bow, arrow, blue skin"
c. 300 BCE-300 CE,Mithras,Roman/Persian,Mithras,"Solar, bull-slayer, salvation",Roman Mithraic temples,Roman Empire,"Sol Invictus, Apollo, Helios, Mithra","Bull-slaying, solar rays, torch"
c. 300 BCE-300 CE,Sol Invictus,Roman,Sol Invictus,"Unconquered Sun, cosmic power","Roman inscriptions, coins",Roman Empire,"Helios, Apollo, Mithras","Solar rays, crown, quadriga (four-horse chariot)"
c. 200 BCE-400 CE,Jupiter Optimus Maximus,Roman,Jupiter Optimus Maximus,"Supreme deity, state religion",Roman state records,Roman Empire,"Zeus, Amun-Ra","Eagle, lightning, throne"
c. 100 BCE-500 CE,Zeus-Sarapis,Greco-Egyptian,Zeus-Sarapis,"Syncretic ruler, cosmic power",Greco-Roman Egyptian artifacts,"Egypt, Mediterranean","Zeus, Serapis, Osiris","Modius, throne, Cerberus"
c. 100 BCE-400 CE,Jupiter-Ammon-Sarapis,Roman/Egyptian,Jupiter-Ammon-Sarapis,Supreme syncretic deity,Roman-Egyptian artifacts,Roman Egypt,"Jupiter, Ammon, Sarapis","Ram horns, modius, lightning"
c. 100-400 CE,Christ-Helios,Early Christian/Roman,Christ as Solar deity,"Savior, light of world, resurrection","Early Christian art, texts",Mediterranean,"Jesus, Sol Invictus, Apollo","Solar rays, chariot, resurrection"
c. 200-600 CE,Zeus-Theos-Hypsistos,Late Antique,Zeus-Theos-Hypsistos,"Supreme God, monotheistic aspects",Late Antique inscriptions,Eastern Mediterranean,"Yahweh, Christian God","Celestial symbols, throne"
c. 300-700 CE,Christ Pantocrator,Byzantine,Christ Pantocrator,"Ruler of All, cosmic power",Byzantine iconography,Eastern Mediterranean,"Zeus, Pantokrator","Book, blessing hand, halo, throne"
c. 500-1500 CE,Perun-Saint Elijah,Slavic Christian,Perun as St. Elijah,"Thunder, chariot, rain-bringer",Slavic Christian folklore,Eastern Europe,"Biblical Elijah, Perun","Chariot, lightning, mountain"
c. 500-1500 CE,Thor-Saint Olaf,Norse Christian,Thor aspects in St. Olaf,"Thunder, dragon-slayer",Norse Christian folklore,Scandinavia,"Thor, Biblical saints","Axe, dragon/serpent"
c. 600-1000 CE,Tengri-Allah,Turkic Islam,Syncretic sky deity,"Supreme deity, heaven",Early Turkic-Islamic texts,Central Asia,"Allah, Tengri","Sky, blue color, Islamic symbols"
c. 700-1500 CE,Harihara,Hindu,Harihara,Syncretic Vishnu-Shiva,"Temple sculptures, texts",India,"Vishnu, Shiva",Half Vishnu/half Shiva form
c. 700-1300 CE,Vairocana Buddha,Mahayana/Vajrayana Buddhism,Vairocana,"Cosmic Buddha, illumination","Buddhist texts, iconography","East Asia, Tibet",Cosmic aspect of Gautama Buddha,"Cosmic wheel (dharmachakra), sun"
c. 800-1800 CE,Avalokiteshvara-Guanyin,Buddhist,Avalokiteshvara/Guanyin,"Compassion, savior","Buddhist texts, iconography","China, East Asia",Bodhisattva of Compassion,"Multiple arms, lotus, water"
c. 1000-1800 CE,Perkūnas-Saint Michael,Baltic Christian,Perkūnas as St. Michael,"Dragon-slayer, divine warrior",Baltic Christian folklore,"Lithuania, Latvia","Biblical Michael, Perkūnas","Sword, dragon/serpent"
c. 1200-1800 CE,Quetzalcoatl-Santo Tomás,Mesoamerican/Christian,Quetzalcoatl as Apostle Thomas,"Cultural hero, civilizer",Colonial texts,Mexico,"Biblical Thomas, Quetzalcoatl","Feathered serpent, Christian symbols"
c. 1500-present,Santería Syncretism (Changó-Santa Barbara),Afro-Cuban,Changó/Shango as St. Barbara,"Thunder, lightning, justice",Santería tradition,Caribbean,"Yoruba Shango, St. Barbara","Double-headed axe, red/white colors"
c. 1500-present,Vodou Syncretism (Shango-St. John),Afro-Caribbean,Shango as St. John,"Thunder, fire, virility",Vodou tradition,"Haiti, Caribbean","Yoruba Shango, St. John","Thunder, fire, red colors"
c. 1500-present,Candomblé Syncretism (Xangô-St. Jerome),Afro-Brazilian,Xangô as St. Jerome,"Thunder, justice, virility",Candomblé tradition,Brazil,"Yoruba Shango, St. Jerome","Double-headed axe, red/white"
Date,Original Form/Name (Transliteration),Language/Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Evidence/Sources,Region,Syncretized / Related Deities / Figures,Iconography / Artistic Motifs
c. 4000–2500 BCE,*Dyēus,Proto-Indo-European,Sky Father (Dyēus),"Sky, daylight, sovereignty, order","Linguistics, comparative mythology",Pontic-Caspian,"Dyaus (Vedic), Zeus (Greek), Jupiter (Roman), Tiwaz (Germanic), Zio (Norse), Dīv (Iranian)","Sky, light, paternal figure"
c. 4000–2500 BCE,*Dyēus ph₂tḗr,Proto-Indo-European,"Sky Father (""Dyēus the Father"")","Paternal authority, cosmic order","Linguistics, comparative mythology",Pontic-Caspian,"Dyaus Pitar (Vedic), Zeus Pater (Greek), Jupiter (Roman), Diespiter (Latin)","Sky, light, fatherly motif"
c. 4000–2500 BCE,*Perkʷūnos,Proto-Indo-European,Thunder God (Perkʷūnos),"Thunder, lightning, rain, oaks, stone weapon, serpent-slayer","Linguistics, comparative mythology","Pontic-Caspian, Europe","Perkūnas (Baltic), Perun (Slavic), Fjörgyn (Norse), Parjanya (Vedic), Perëndi (Albanian)","Hammer, axe, oak, chariot, serpent/dragon"
c. 3500-3000 BCE,"Ra, Re, Atum-Ra",Ancient Egyptian,Ra,"Solar deity, creator, divine kingship","Pyramid Texts, Egyptian iconography",Egypt,"Atum, Amun-Ra, Horus, Khepri","Solar disc, falcon head, boat"
c. 3000-2000 BCE,–,Minoan/Pre-Greek Aegean,Pre-Dionysian Ecstatic Deity,"Fertility, vegetation, ecstatic rites, wine",Minoan iconography,Crete,Later Dionysus,"Minoan iconography depicts ecstatic, nature-oriented cults"
c. 3500-3000 BCE,"Horus, Hr, Hor",Ancient Egyptian,Horus,"Sky, kingship, solar aspects","Egyptian texts, iconography",Egypt,"Ra, Amun-Ra, Apollo","Falcon, Eye of Horus, solar disc"
c. 3000–1500 BCE,"*Tṛḫu-ent, *Tarhunt, *Tarḫunna","Anatolian (Hittite, Luwian)","Storm God (Tarhunt, Tarḫunna)","Conquering, storm, rain",Comparative linguistics,Anatolia,"Indra (Vedic), Perkʷūnos (PIE)","Axe, chariot, lightning"
c. 3000-2000 BCE,Enlil,Sumerian,Enlil,"Air, wind, storm god, chief deity",Sumerian cuneiform texts,Mesopotamia,"Baal, Zeus, Jupiter","Crown of horns, throne"
c. 3000-2000 BCE,Anu,Sumerian/Akkadian,Anu,"Sky god, kingship, cosmic order",Sumerian/Akkadian texts,Mesopotamia,"Zeus, Jupiter, Dyaus","Crown of horns, elevated throne"
c. 2500-500 BCE,"Baal, Ba'al Hadad",Canaanite/Phoenician,Baal,"Storm, fertility, kingship","Ugaritic texts, archaeology",Levant,"Zeus, Jupiter, Thor, Indra","Bull, lightning, club"
c. 2500-500 BCE,"Amun, Amun-Ra",Ancient Egyptian,"Amun, Amun-Ra","Solar, creator, king of gods, hidden one",Egyptian religious texts,Egypt,"Zeus, Jupiter, Ra","Ram-headed, solar disc, double plumes"
c. 2500-500 BCE,"Set, Seth, Sutekh",Ancient Egyptian,Set,"Storms, chaos, desert, foreign lands",Egyptian religious texts,Egypt,"Typhon (Greek), destructive aspects of storm gods","Animal-headed (Set animal), was-scepter"
c. 2000-1000 BCE,"Teshub, Tarhunz",Hurrian/Hittite,Teshub,"Storm, bull, war",Hurrian/Hittite texts,Anatolia,"Zeus, Baal, Indra","Bull, lightning, axe"
c. 2000–1000 BCE,"Dyaus, Dyaus Pitar",Vedic Sanskrit,Sky Father (Dyaus),"Sky, daylight, paternal, cosmic order","Rigveda, comparative linguistics",India,"Dyēus (PIE), Zeus, Jupiter","Sky, bull, light"
c. 2000–1000 BCE,Parjanya,Vedic Sanskrit,Rain/Thunder God (Parjanya),"Rain, thunder, fertility","Rigveda, comparative linguistics",India,"Perkūnas, Perun, Perëndi","Clouds, rain, thunderbolt"
c. 2000-1000 BCE,Varuna,Vedic Sanskrit,Varuna,"Cosmic law, water, celestial ocean",Rigveda,India,"Ahura Mazda, Uranus, Neptune","Water, cosmic law (rta), noose"
c. 2000-500 BCE,Marduk,Babylonian,Marduk,"Storm, creator, kingship, cosmic order","Enuma Elish, Babylonian texts",Mesopotamia,"Baal, Zeus, Jupiter, Indra","Dragon-slayer, lightning"
c. 1700-500 BCE,Ahura Mazda,Zoroastrian/Avestan,Ahura Mazda,"Supreme deity, wisdom, light, creator","Avesta, Zoroastrian texts",Persia/Iran,"Zeus, Varuna, Mithra","Light, fire, winged disc"
c. 1500–500 BCE,"इन्द्र (Indra), Inra, Innara","Vedic Sanskrit, Hittite",Indra,"Storm, thunder, king of gods, serpent-slayer","Rigveda, Hittite texts","India, Anatolia","Zeus, Thor, Perun, Taranis","Vajra (thunderbolt), elephant, chariot"
c. 1500–500 BCE,"Zeus, Ζεύς, Zeus Pater, Διός (Dios), Keraunos",Greek,Zeus,"Sky, thunder, king of gods, order, lightning","Homeric epics, Greek myth",Greece,"Jupiter, Indra, Thor, Perun","Lightning bolt, eagle, throne"
c. 1500–500 BCE,"Jupiter, Iuppiter, Diespiter, Jove, Tonans",Latin/Roman,Jupiter,"Sky, thunder, king of gods, justice, oaths","Roman myth, Latin texts",Italy,"Zeus, Indra, Thor, Perun","Lightning, eagle, scepter"
c. 1500-500 BCE,"Tinia, Tin",Etruscan,Tinia,"Sky, thunder, lightning, chief deity","Etruscan artifacts, inscriptions",Etruria (Italy),"Jupiter, Zeus","Lightning bolts, eagle"
c. 1500-500 BCE,"Tengri, Tanrı",Turkic/Mongolic,Tengri,"Sky, supreme deity, creator","Archaeological evidence, folklore","Central Asia, Steppe","Tian (Chinese), Zeus, Dyaus","Sky, blue color"
c. 1300-700 BCE,"Tian, Shangdi",Chinese,Tian/Shangdi,"Heaven, supreme deity, cosmic order","Oracle bones, Zhou texts",China,"Tengri, Zeus, Dyaus","Heaven, circular symbols"
c. 1200-700 BCE,"Tarhunna, Teshub",Neo-Hittite,Storm God,"Storm, thunder, kingship",Neo-Hittite monuments,"Anatolia, Syria","Baal, Zeus, Indra","Bull, lightning, axe"
c. 1200–900 BCE,–,"Post-Mycenaean Aegean, Thrace",Transitional Dionysus,"Transition, syncretism with local deities",Archaeological evidence,"Aegean, Thrace",Local fertility cults,Collapse of palace culture; Dionysian elements merge with local and Thracian fertility cults
c. 1200-500 BCE,"Ukko, Perkele",Finnish,Ukko,"Thunder, harvest, sky","Finnish myth, Kalevala",Finland,"Thor, Perun, Perkūnas","Hammer (Ukonvasara), lightning"
c. 1000 BCE–present,Perkūnas,"Baltic (Lithuanian, Latvian)",Perkūnas,"Thunder, rain, oaks, serpent-slayer","Baltic myth, linguistics","Lithuania, Latvia","Perun, Thor, Indra","Axe, hammer, oak, chariot"
c. 1000 BCE–present,"Perun, Piorun, Piarun, Perkun",Slavic,Perun,"Thunder, lightning, war, serpent-slayer","Slavic myth, linguistics","Russia, Poland, Balkans","Perkūnas, Thor, Indra","Axe, hammer, chariot, oak"
c. 1000 BCE–present,"Þunraz, Thunor, Donar, Thor","Proto-Germanic, Old English, Old Norse, Old High German",Thor,"Thunder, lightning, protector, serpent-slayer","Norse sagas, Eddas, linguistics","Scandinavia, Germany, England","Perun, Perkūnas, Indra","Hammer (Mjölnir), chariot, goats, red beard"
c. 1000 BCE–present,"Taranis, Tonaros",Celtic,Taranis,"Thunder, sky, wheel, serpent-slayer","Celtic myth, linguistics","Gaul, Britain","Thor, Perun, Indra","Wheel, thunderbolt, chariot"
c. 1000 BCE–present,Perëndi,Albanian,Perëndi,"Sky, thunder, god","Albanian myth, linguistics",Balkans,"Perkūnas, Perun","Sky, thunder, light"
c. 1000-500 BCE,Teshub-Hadad,Syro-Anatolian,Teshub-Hadad,Syncretic storm god,Syro-Hittite monuments,"Syria, Southern Turkey","Baal, Teshub, Zeus","Bull, lightning, axe"
c. 1000-500 BCE,"Surya, Savitar, Aditya",Vedic/Hindu,Surya,"Solar deity, cosmic eye, light","Rigveda, Puranas",India,"Helios, Apollo, Ra","Solar disc, chariot, seven horses"
c. 1000-300 BCE,"Odin, Woden, Wotan",Germanic/Norse,Odin,"Wisdom, war, shamanic powers, poetry","Norse sagas, Eddas","Scandinavia, Germany","Mercury, Hermes, aspects of Zeus","Spear, eight-legged horse, ravens, one eye"
c. 900-400 BCE,Amun-Zeus,Greco-Egyptian,Amun-Zeus,Syncretic king of gods,Greek and Egyptian sources,"Egypt, Libya","Zeus, Amun, Jupiter","Ram horns, lightning"
c. 800 BCE–present,"Shiva, शिव, Mahadeva, Rudra, Shankara, Neelkantha, Tryambaka",Sanskrit/Hindu,Shiva,"Destruction, transformation, asceticism, trident, cosmic dance","Vedas, Puranas",India,"Rudra, Dionysus, Vishnu (Harihara), Brahma (Trimurti)","Trident (trishula), third eye, crescent moon"
c. 800 BCE–present,"Trishula, त्रिशूल, τρίαινα (Triaina), Tridentum","Sanskrit, Greek, Latin",Trident (weapon),"Destruction, cosmic power, sea/earth power","Iconography, Puranic texts, Greek myth","India, Greece, Rome","Shiva, Poseidon, Neptune",Three-pronged spear
c. 800 BCE–present,"Vishnu, विष्णु, Viṣṇu, Narayana, Hari, Krishna, Vasudeva, Trivikrama, Govinda, Padmanabha, Madhava, Keshava, Jagannatha",Sanskrit/Hindu,Vishnu,"Preservation, cosmic order, avatars, pervasiveness","Vedas, Puranas",India,"Krishna, Rama, Buddha, Shiva (Harihara), Brahma (Trimurti), Dattatreya","Four arms, chakra, conch, lotus, blue skin"
c. 800 BCE–present,"Brahma, ब्रह्मा, Brahman",Sanskrit/Hindu,Brahma,"Creation, cosmic order, Trimurti","Upanishads, Puranas",India,"Vishnu, Shiva (Trimurti), Dattatreya","Four heads, lotus, Vedas"
c. 800-600 BCE,Dionysus,Archaic Greece,Dionysus,"Wine, fertility, theater, ritual madness","Homeric Hymns, Hesiod",Greece,Local fertility deities,"Dionysus appears in literary sources, but is marginal in Homeric epics"
c. 800-600 BCE,Apóllōn (Ἀπόλλων),Greek,Apollo,"""Destroyer""/""Purifier"" (folk etymology)","Homeric Hymns, Hesiod's Theogony, Plato's Cratylus",Panhellenic,"Phoebus, Paean (healer)",Unknown
c. 800-200 BCE,Dionysus-Zagreus,Greek,Dionysus-Zagreus,"Twice-born, resurrection, mysticism","Orphic texts, Greek mysteries",Greece,"Osiris, Shiva, Jesus (later)","Bull, wine, ivy, dismemberment/rebirth"
c. 700-300 BCE,Zeus-Ammon,Greco-Egyptian,Zeus-Ammon,Syncretic king of gods,Greek and Egyptian sources,"Libya, Egypt, Greece","Zeus, Amun, Jupiter","Ram horns, lightning"
c. 700-500 BCE,Dionysus (Bacchus),"Greece, Aegean, Magna Graecia",Dionysus,"Mystery cults, theater, civic festivals","Archaeological evidence, texts",Greece,Local deities,Dionysian Mysteries spread; introduction of dithyrambs and dramatic festivals
c. 700-400 BCE,Apollo Hylates,Cypriote Greek,Apollo variant,"""God of the wood""","Kourion sanctuary dedications, Cypriot inscriptions",Cyprus,"Reshef (Phoenician), woodland gods",Unknown
c. 700-400 BCE,Apollo Lykegenes,Greek/Anatolian,Apollo variant,"""Born in Lycia"", archery","Homeric epithets, Leto cults, archaeological evidence in Lycia",Lycia (SW Anatolia),Local Anatolian gods,Unknown
c. 700-400 BCE,Apollo Alasiôtas,Greek/Cypriot,Apollo variant,"""God of Alashiya""","Idalion bilingual dedications, archaeological finds",Cyprus,Local Cypriot gods,Unknown
c. 700-400 BCE,Apollo Gryneios,Greek/Aeolian,Apollo variant,Oracular deity,"Inscriptions, oracular remains at Gryneion","Gryneion (Aeolis, Asia Minor)",Local oracular deities,Unknown
c. 700-400 BCE,Apollo Nomios,Greek,Apollo variant,"""Of the pastures,"" shepherd deity","Arcadian cult sites, Pausanias",Arcadia,Arcadian pastoral gods,Unknown
c. 700-400 BCE,Apollo Carneios,Greek (Dorian),Apollo variant,"Pastoral, military god","Spartan festival Carneia, Pausanias, archaeological evidence","Sparta, Dorian Greece",Dorian pastoral gods,Unknown
