"Scythian, Saka and Related Steppe Tribes: Religious Elements",,,,,,,,
Animal Immolation,All steppe groups,Offerings to deities,"Ritual killing of sheep, cattle, goats; specific methods",Animal remains in ritual contexts; specialized butchery evidence,,,,
Sacred Prostitution,Some Scythian groups,Fertility cult,Ritual sexual practices associated with Argimpasa,Mentioned by Herodotus; possibly represented in some art,,,,
Enareism,Pontic Scythians,Cross-gender shamanism,Male priests adopting female attributes; special religious status,"Described by Herodotus as ""Enarees""",,,,
Ancestor Veneration,All steppe groups,Maintaining connection with dead,Offerings at burial sites; invocation of ancestral spirits,Repeated ritual activities at burial sites,,,,
Royal Consecration,Royal Scythians,Divine legitimacy,Special rituals establishing royal authority; possibly involving golden emblems,Described partially by Herodotus; special regalia in royal burials,,,,
Ritual Drinking,All steppe groups,Communion with deities,"Consumption of alcoholic beverages (kumis, mead, wine) in ceremonial context",Drinking sets in burials; residue analysis,,,,
Body Painting,Eastern Saka,Temporary ritual marking,Application of designs for specific ceremonies,Indirect evidence; comparative ethnography,,,,
Sun Worship,Massagetae,Honoring supreme deity,Ceremonies at dawn; possibly oriented structures,Mentioned by Herodotus; some burial orientations,,,,
Ritual Purification,All steppe groups,Cleansing before ceremonies,Sweat lodges; smoke purification; washing rituals,Archaeological evidence of structures; described by Herodotus,,,,
Weather Magic,Various groups,Controlling natural elements,Rituals to bring rain or clear weather,Circumstantial evidence from shamanic paraphernalia,,,,
Practitioner Type,Associated Tribes,Functions,Characteristics,Historical/Archaeological Evidence,,,,
Enarees,Pontic Scythians,"Divination, healing, mediation",Cross-gender shamans/priests; possibly eunuchs or transvestites,Described by Herodotus; possible grave goods associations,,,,
Royal Priests,Royal Scythians,"State rituals, legitimation",Conducted ceremonies for royal family and state occasions,Inferred from descriptions of royal ceremonies,,,,
War Shamans,Warrior class,"Battle magic, protection",Specialized in rituals for warfare; possibly tattoo specialists,Warrior burials with special ritual equipment,,,,
Female Priestesses,"Sarmatian, some Saka","Fertility cults, divination","Special status women; possibly connected to ""Amazon"" legends",Female burials with ritual objects,,,,
Tribal Elders,All steppe groups,"Ancestral knowledge, ceremony leaders",Respected older individuals with ritual knowledge,Elderly burials with special treatment,,,,
Diviners,All steppe groups,"Prophecy, interpretation",Specialists in reading omens and signs,Special equipment for divination practices,,,,
Healing Specialists,All steppe groups,"Medicine, spiritual healing",Knowledge of medicinal plants and healing rituals,Medical equipment in some burials,,,,
Sacred Kings,"Royal Scythians, elite clans",Divine representatives,Rulers with religious functions; mediators between people and gods,Royal burials with religious regalia,,,,
Space/Place,Associated Tribes,Functions,Characteristics,Archaeological Evidence,,,,
Kurgans,All steppe groups,"Burial monuments, ancestor cult",Earthen mounds over burial chambers; often with wooden structures,Thousands documented across Eurasia,,,,
Sacred Groves,Western Scythians,"Nature worship, offerings",Wooded areas with special status; no cutting permitted,Mentioned by Herodotus; difficult to verify archaeologically,,,,
Sanctuary of Ares,Pontic Scythians,War god worship,Brush-wood heap with iron sword (akinakes) as focal point,Described by Herodotus,,,,
Ritual Enclosures,Settled Scythians,Community ceremonies,Defined spaces for communal rituals,Some archaeological evidence from late Scythian settlements,,,,
Mountain Shrines,Eastern Saka,Worship of mountain spirits,High altitude locations with offerings,Archaeological evidence from Altai and Tian Shan,,,,
Domestic Hearths,All steppe groups,Daily worship of Tabiti,Central fireplace in dwellings with special status,Archaeological evidence from settlement and camp sites,,,,
Royal Burial Grounds,Royal Scythians,Elite ancestor veneration,Concentrated areas of royal kurgans,"Solokha, Chertomlyk, other royal Scythian cemetery areas",,,,
Border Markers,Territorial tribes,"Protection, boundary ritual",Sacred markers at territorial boundaries,Mentioned in historical sources; some stelae may serve this function,,,,
Water Sources,All steppe groups,Offerings to water deities,"Springs, river crossings, lakes with ritual significance",Votive deposits found in watery contexts,,,,
Belief/Concept,Associated Tribes,Description,Evidence,,,,,
Warrior Paradise,Warrior class,Special afterlife realm for those who die in battle,Warrior burials with full equipment; historical mentions,,,,,
Journey to Afterlife,All steppe groups,Soul travels to otherworld; needs equipment,Grave goods for journey; horse sacrifices for transport,,,,,
Continued Existence,All steppe groups,Dead continue form of life in another realm,"Food, drink, personal items in graves",,,,,
Ancestor Interaction,All steppe groups,Dead can influence living; require propitiation,Offerings at graves; ritual communication attempts,,,,,
Multiple Souls,Some eastern groups,Humans possess several souls with different destinations,Complex burial practices; comparative ethnography,,,,,
Heroization,Elite warriors,Exceptional individuals achieve special status after death,Elaborate monuments; continued ritual attention,,,,,
Dangerous Dead,All steppe groups,Some dead (especially those improperly buried) can harm living,Special treatment of some burials to contain spirits,,,,,
Cosmic Rebirth,Inferred from symbolism,Death as transformation rather than end,Solar and regenerative symbolism in funerary art,,,,,
Narrative,Associated Tribes,Content,Sources,,,,,
Targitaos Origin Myth,Royal Scythians,Heavenly fire causes golden implements to fall; only youngest son can handle them,Herodotus,,,,,
Heracles and Snake-Woman,Alternative Scythian origin,Heracles meets snake-woman; their three sons compete for succession,Herodotus,,,,,
Arimaspi and Griffins,Northern tribes,One-eyed people fight with griffins for gold,Aristeas via Herodotus,,,,,
Sacred King Cycles,Royal Scythians,Stories of divine kings and their deeds,Inferred from royal burial practices,,,,,
Animal Transformation Tales,All steppe groups,Stories of humans transforming into animals and vice versa,"Inferred from ""animal style"" art motifs",,,,,
War of the Gods,Cosmological narratives,Conflicts between deities establishing world order,Comparative Indo-Iranian mythology,,,,,
World Tree Myths,Eastern groups especially,Cosmic axis connecting three worlds; often with eagle at top,Decorative motifs; comparative mythology,,,,,
Cosmic Hunt,All steppe groups,Divine hunter pursues cosmic prey; often celestial in nature,Artistic motifs; comparative mythology,,,,,
Divine Twins,Indo-European heritage,Twin horsemen deities with saving functions,Artistic representations; comparative mythology,,,,,
Concept,Associated Tribes,Description,Evidence,,,,,
Tripartite Cosmos,All steppe groups,"Three-level universe: upper (sky), middle (earth), lower (underworld)",Artistic representations; burial practices,,,,,
Cosmic Axis,All steppe groups,Central column connecting cosmic levels (World Tree),Artistic motifs; tent pole symbolism,,,,,
Cardinal Directions,All steppe groups,Four directions with specific attributes and guardians,Burial orientations; ritual layouts,,,,,
Celestial Animals,All steppe groups,Stars and constellations as mythic creatures,Artistic representations; comparative mythology,,,,,
Cosmic Ocean,Cosmological concept,Waters surrounding the world disk,Artistic motifs; comparative mythology,,,,,
Sacred Mountains,Eastern groups,Mountains as cosmic pillars and divine dwelling places,Ritual focuses in mountainous regions,,,,,
Cyclical Time,Inferred cosmology,Time as repeating cycles rather than linear progression,Seasonal ritual cycles; artistic motifs,,,,,
Development,Region/Period,Description,Evidence,,,,,
Greek-Scythian Syncretism,"Black Sea region, 5th-3rd c. BCE",Blending of Greek and Scythian religious elements,Hybrid iconography on artifacts; adoption of Greek deities,,,,,
Buddhist Influence,"Indo-Scythian kingdoms, 2nd c. BCE-2nd c. CE",Adoption of Buddhist practices by Indo-Scythian rulers,Archaeological evidence of stupa patronage; coins with Buddhist symbols,,,,,
Zoroastrian Elements,"Eastern territories, 5th-3rd c. BCE",Influence of Persian state religion on some Saka groups,Fire altar evidence; possible dualistic elements,,,,,
Hindu Syncretism,"Western Kshatrapas, 1st-4th c. CE",Adoption of Hindu practices and iconography,Temple patronage; Sanskrit inscriptions,,,,,
Christian Influence,"Late Sarmatian/Alan groups, 3rd-5th c. CE",Gradual adoption of Christianity by western Iranian nomads,Burial practices; historical mentions,,,,,
Chinese Religious Influence,"Eastern Saka, 3rd c. BCE-3rd c. CE",Adoption of Chinese concepts in Tarim Basin,Hybrid artistic styles; burial practices,,,,,
Central Asian Synthesis,"Sogdiana, Bactria, 3rd c. BCE-5th c. CE","Complex blending of Iranian, Greek, Indian, and Chinese elements",Archaeological evidence from settled centers,,,,,
Name,Culture,Domain/Role,Notes,PIE Counterpart,,Greek Equivalent,,Notes
Tabiti,Scythian/Saka,"Fire, Hearth, Supreme Power","Supreme goddess, hearth/fire³⁴","*H₂édh-ti (PIE ""hearth goddess""), cognate with Greek Hestia and Roman Vesta",,Hestia,,"The most venerated goddess, associated with the hearth and royal power134."
Papaios,Scythian/Saka,"Sky, Father","Sky god, king of gods³⁴","*Dyḗus Ph₂tḗr (PIE ""Sky Father""), cognate with Greek Zeus, Roman Jupiter",,Zeus,,"Father of the gods, paired with Api134."
Api,Scythian/Saka,"Earth, Water, Mother",Earth/water mother³⁴,"*Dʰéǵʰōm (PIE ""earth""), cognate with Greek Gaia and related to PIE *h₂ep- (water)",,Gaia (Earth),,"Mother goddess, paired with Papaios134."
Goetosyrus,Scythian,"Sun, Oracles, Healing","Sun god, oracular³⁴","*Sóh₂wl̥ or *Séh₂ul (PIE ""sun""), related to Greek Apollo's solar aspects",,Apollo,,Sometimes called the Solar Horseman34.
Argimpasa/Artimpasa,Scythian,"Fertility, Sovereignty","Fertility, priesthood, sovereignty³⁴","Possibly related to *Perkʷunos' consort or *Pria (PIE ""beloved"")",,Aphrodite,,Complex goddess with power over fertility and priestly force134.
Scythian Ares (Mithras),Scythian,War,Only god with images/altars³⁴,*Māwort- (PIE war deity) or possibly Indo-Iranian *Mitra,,Ares,,"God of war, only Scythian god with images and altars134."
Thagimasadas,Scythian,"Water, Horses",Royal Scythians' deity³,Related to PIE *h₁eḱwos (horse) and *nep- (water) deities,,Poseidon,,Worshipped mainly by Royal Scythians3.
Targī̆tavah/Tarkā,Scythian,"Ancestor, Culture Hero",Forefather of kings¹,Related to PIE *terkʷ- (to turn) or hero motifs like *Trito,,,,
Borysthenēs,Scythian,River,Dnipro river god¹,PIE *dānu- (river) or general water deity concept,,,,
Indra (Sakra/Sakka),Saka,"Storms, War, King of Gods","Vedic influence, Saka chief god⁸",*Perkʷunos (PIE thunder god) or Indo-Aryan innovation,,,,
Varuna,Saka,"Sky, Water","Vedic deity, sometimes present⁸","*Woru-no- (PIE ""binder"") or related to *Wel- (seer) concepts",,,,
Hromi Daba,Saka,"Giving, Providence",Kushite Saka deity⁵,No direct PIE counterpart; likely local syncretism,,,,
