,,,
Ariobarzanes,266-250 BC,Son of Mithridates I,Expanded kingdom in central Black Sea region
Mithridates II,250-220 BC,Son of Ariobarzanes,Married Seleucid princess Laodice
Ariobarzanes II,220-185 BC,Son of Mithridates II,"Obscure reign, little information available"
Mithridates III,185-170 BC,Son of Ariobarzanes II,Expanded coastal territories
Pharnaces I,170-155 BC,Son of Mithridates III,"Captured Sinope, made it the Pontic capital"
Mithridates IV Philopator,155-150 BC,Son of Pharnaces I,Married his sister Laodice
Mithridates V Euergetes,150-120 BC,Son of Pharnaces I,"Father of Mithridates VI, allied with Rome"
Mithridates VI Eupator,120-63 BC,Son of Mithridates V,"""The Great,"" Rome's most formidable eastern enemy"
Year (BCE),Event,Context and Details,
135.0,Birth of Mithridates VI Eupator,"Born in Sinope, capital of the Kingdom of Pontus, to King Mithridates V Euergetes and Laodice VI. Claimed descent from both Persian royalty (Cyrus the Great and Darius I) and Macedonian lineage (Alexander the Great's generals).",
133 BC,"Kingdom of Pergamon bequeathed to Rome, becomes province of Asia",,
123 BC,Birth of Mithridates VI Eupator,,
120.0,Assassination of Mithridates V Euergetes,"The king was poisoned, likely at a banquet in Sinope. This created a power vacuum in the Pontic Kingdom. Some sources suggest Roman involvement, which may have contributed to Mithridates VI's later anti-Roman sentiment.",
120-116,Regency of Laodice VI,"Mithridates' mother became regent and favored his younger brother, Mithridates Chrestus (""the Good""). Young Mithridates VI was forced to flee the court, fearing assassination attempts.",
120-116,Period of exile,"Mithridates VI went into hiding in the mountainous regions of northern Anatolia. According to Plutarch and Justin, he lived among hunters and wilderness, developing his legendary immunity to poisons by gradually consuming small doses (mithridatism).",
116-113,Return and seizure of power,"Returned from exile and claimed the Pontic throne. According to ancient sources, he had developed both physical and intellectual prowess during his time in the wilderness.",
115 BC,"Mithridates VI seizes power, begins sole rule of Pontus",,
113.0,Consolidation of power,"Imprisoned his mother Laodice VI and brother Mithridates Chrestus. Both were eventually executed, leaving Mithridates VI as sole ruler of Pontus.",
113.0,Marriage to sister Laodice,"Following Persian and Egyptian royal traditions, Mithridates married his sister at age 16, establishing her as his first and principal wife.",
Year (BCE),Event,Context and Details,
113-110,Early consolidation of rule,Eliminated remaining opposition within Pontus. Began building a professional army modeled on Hellenistic military systems but incorporating troops from various cultures.,
111.0,Alliance with Armenia,"Established diplomatic ties with Tigranes the Great of Armenia, who later became his son-in-law. This alliance proved crucial in the wars against Rome.",
110-105,Black Sea campaigns,"Conquered territories around the Black Sea, including parts of the Crimean Peninsula and the Bosporan Kingdom.",
108.0,Conquest of Colchis,"Secured control of Colchis (modern western Georgia), gaining access to important trade routes and resources.",
107.0,Integration of Scythian territories,"Extended influence over Scythian tribes in the northern Black Sea region, incorporating their cavalry into his growing multinational army.",
105-102,Expansion into the Caucasus,"Campaigned in the Caucasus region, bringing various tribal groups under Pontic control or influence.",
104.0,Treaties with Greek cities,"Established favorable treaties with Greek city-states on the Black Sea coast, presenting himself as a protector of Hellenic culture against ""barbarian"" threats.",
102-101,Diplomatic efforts in the Aegean,Sent envoys to various Greek states and began positioning himself as a champion of Greek freedom against Roman expansion.,
100.0,Administrative reforms,"Implemented governmental reforms in Pontus, blending Persian, Hellenistic, and indigenous administrative systems.",
99-96,Consolidation of Black Sea territories,"Organized conquered territories into a coherent administrative system, establishing garrisons and tax collection.",
95.0,Territorial dispute with Bithynia,"First significant tension with Rome arose over control of Cappadocia, which Mithridates briefly occupied before Roman diplomatic pressure forced withdrawal.",
94-93,Secret preparations for conflict,Began large-scale military buildup while maintaining outward appearance of compliance with Roman wishes. Established diplomatic contacts with potential anti-Roman allies.,
92-90,Further expansion efforts,Continued territorial acquisitions while avoiding direct confrontation with Rome. Developed naval forces in the Black Sea.,
Year (BCE),Event,Context and Details,
89.0,Outbreak of First Mithridatic War,"After provocation by Nicomedes IV of Bithynia (a Roman ally), Mithridates invaded Bithynia and Cappadocia. His generals Archelaus and Neoptolemus defeated the local Roman forces commanded by Manius Aquillius and Quintus Oppius.",
88.0,Asiatic Vespers,"Ordered or encouraged the systematic killing of Romans and Italians throughout Asia Minor. Ancient sources claim 80,000-150,000 were killed in a single day, though modern historians consider these numbers exaggerated. This event deeply shocked the Roman Republic.",
88.0,Advance into Greece,"Mithridates' general Archelaus led Pontic forces into Greece, where many cities welcomed them as liberators from Roman rule. Athens became a center of pro-Pontic sentiment under the tyrant Aristion.",
88.0,Roman response,"The Senate assigned command against Mithridates to Lucius Cornelius Sulla, but political turmoil in Rome (conflict between Sulla and Gaius Marius) delayed the Roman military response.",
87.0,Sulla's campaign begins,"Sulla landed in Epirus with five legions and marched on Athens, beginning a prolonged siege of the city and its port, Piraeus.",
86.0,Fall of Athens,Sulla captured and sacked Athens in March. Archelaus withdrew to regroup with other Pontic forces.,
86.0,Battle of Chaeronea,"Sulla defeated Archelaus' numerically superior forces (reportedly 120,000 Pontic troops vs. 30,000 Romans) in Boeotia. Innovative Roman tactics overcame the Pontic advantage in cavalry and chariots.",
86.0,Battle of Orchomenus,Sulla achieved another decisive victory over Pontic reinforcements led by Archelaus. The Roman victory secured control of mainland Greece.,
85.0,Roman advance into Asia,"Lucius Licinius Lucullus, Sulla's quaestor, assembled a fleet and challenged Pontic naval dominance in the Aegean.",
85.0,Battle of the Amnias River,"In Asia Minor, Gaius Flavius Fimbria (leading the Marian faction's forces) defeated Mithridates' son Mithridates the Younger.",
85.0,Peace negotiations,"Facing defeat on multiple fronts and with his resources stretched thin, Mithridates entered peace negotiations with Sulla.",
85.0,Treaty of Dardanos,"Peace treaty signed between Sulla and Mithridates at Dardanos in the Troad. Mithridates agreed to withdraw to pre-war boundaries, surrender his fleet, and pay an indemnity of 2,000 talents. He was recognized as ""Friend and Ally of the Roman People.""",
Year (BCE),Event,Context and Details,
84-83,Rebuilding period,Mithridates rebuilt his military forces while maintaining outward friendship with Rome. Strengthened ties with Armenia through the marriage of his daughter Cleopatra to King Tigranes the Great.,
83-81,Second Mithridatic War,"Limited conflict with Lucius Licinius Murena, who was commanding Roman forces in Asia. Murena attacked Pontus without Senate authorization, claiming Mithridates was preparing for war. Mithridates successfully defended, and Sulla ordered Murena to cease hostilities.",
81-78,Consolidation and preparation,"Restored control over Black Sea territories while developing new military capabilities. Recruited military experts from across the Mediterranean world, including Roman deserters.",
78-74,Growing tensions,"Relations with Rome deteriorated following Sulla's death in 78 BCE. Dispute over Bithynia reignited when King Nicomedes IV died in 74 BCE, bequeathing his kingdom to Rome despite Mithridates' claims to the territory.",
Year (BCE),Event,Context and Details,
73.0,Outbreak of Third Mithridatic War,Mithridates invaded Bithynia after it became a Roman province. His forces rapidly overran the territory and moved into the Roman province of Asia.,
73.0,Roman response,The Senate assigned command to Lucius Licinius Lucullus in Cilicia and Marcus Aurelius Cotta in Bithynia.,
73.0,Siege of Chalcedon,Mithridates besieged Cotta at Chalcedon. The Roman fleet was destroyed in the harbor.,
73.0,Battle of Cyzicus,Lucullus relieved Cotta and trapped Mithridates' army at Cyzicus. A prolonged siege during winter led to starvation in the Pontic camp.,
72.0,Mithridates' retreat,Forced to withdraw from Cyzicus with heavy losses. Lucullus pursued the retreating Pontic forces.,
72.0,Naval battles,Series of Roman naval victories diminished Pontic control of the sea.,
71.0,Battle of Cabira,"Lucullus defeated Mithridates in Pontus. Mithridates was forced to flee to Armenia, seeking protection from his son-in-law Tigranes the Great.",
70-69,Roman invasion of Armenia,"After Tigranes refused to surrender Mithridates, Lucullus invaded Armenia with a relatively small force.",
69.0,Battle of Tigranocerta,"Lucullus achieved a remarkable victory over the much larger combined Armenian-Pontic forces led by Tigranes, capturing the Armenian capital Tigranocerta.",
68.0,Battle of Artaxata,Lucullus attempted to advance deeper into Armenia but faced increasing difficulties with supply lines and troop morale.,
68-67,Mithridates' return to Pontus,"Taking advantage of Roman disarray, Mithridates returned to Pontus with a new army. Defeated Roman commander Triarius at the Battle of Zela.",
67.0,Replacement of Lucullus,"Disaffection among Roman troops and political enemies in Rome led to Lucullus being replaced by Pompey, who was already in the east commanding against Mediterranean pirates under the Lex Gabinia.",
66.0,Pompey takes command,Gnaeus Pompeius Magnus (Pompey the Great) assumed command of the war against Mithridates under the extraordinary powers granted by the Lex Manilia.,
66.0,Battle of the Lycus,Decisive engagement where Pompey's forces routed Mithridates' army in a night attack. Mithridates narrowly escaped capture.,
65.0,Flight to Crimea,"After final defeat, Mithridates fled to his territories in the Crimean Bosporus, still controlling significant resources there.",
64.0,Final plans,"In the Crimea, Mithridates began raising a new army and conceived an ambitious plan to invade Italy from the north via the Danube, inspired by Hannibal's strategy.",
63.0,Rebellion of Pharnaces II,Mithridates' son Pharnaces led a rebellion against his father's increasingly harsh rule and seemingly suicidal war plans. Mithridates was besieged in Panticapaeum (modern Kerch).,
63.0,Death of Mithridates VI,"Facing capture, Mithridates attempted suicide by poison. According to legend, his long-term consumption of small doses of poison (mithridatism) had made him immune, forcing him to order his Gallic bodyguard Bituitus to run him through with a sword. He died at age 71-72.",
Year (BCE),Event,Context and Details,
63.0,Pompey's organization,"Pompey reorganized the eastern territories, creating new Roman provinces and client kingdoms. Pharnaces II was recognized as ruler of the Bosporan Kingdom but not Pontus, which became part of the Roman province of Bithynia et Pontus.",
63.0,Treatment of Mithridates' remains,"According to Appian, Pompey treated Mithridates' body with respect, ordering it to be buried in the royal tombs at Sinope, acknowledging him as ""the greatest king of his age.""",
63-47,Rule of Pharnaces II,Mithridates' son ruled the Bosporan Kingdom as a Roman client until attempting to reclaim his father's territories during the Roman Civil War.,
47.0,Battle of Zela,"Julius Caesar defeated Pharnaces II, famously reporting to Rome with ""Veni, vidi, vici"" (""I came, I saw, I conquered""). This ended the last serious threat from the Mithridatic dynasty.",
Area,Contribution,Details,
Medicine,Mithridatism and Theriac,"Mithridates' experiments with poisons and antidotes led to the development of ""mithridatium,"" a universal antidote containing dozens of ingredients that remained in use in European pharmacology until the 19th century.",
Linguistics,Multilingualism,"Reportedly spoke 22-25 languages, allowing him to communicate with subjects from all parts of his multinational kingdom without interpreters.",
Zoology and Botany,Toxicological research,"Conducted systematic research on plant and animal toxins, compiling one of antiquity's most extensive pharmacological collections.",
Governance,Multicultural administration,"Developed innovative systems for ruling diverse populations, blending Persian, Hellenistic, and local administrative models.",
Military Science,Mixed tactical systems,"Combined elements from various military traditions (Greek phalanx, Persian cavalry, Scythian archers, etc.) into a flexible tactical system.",
Person,Relationship,Significance,
Laodice VI,Mother,"Regent after Mithridates V's death; favored Mithridates' younger brother, forcing him into exile. Later imprisoned and executed by Mithridates VI.",
Mithridates Chrestus,Brother,Rival for the throne who was favored by their mother; executed by Mithridates VI.,
Laodice (sister-wife),Sister and first wife,Principal queen who bore several of his children. Eventually executed for alleged treason.,
Monime,Wife,"Greek wife from Miletus, famous for her beauty and intelligence. Committed suicide during the First Mithridatic War rather than be captured by Lucullus.",
Hypsicratea,Companion,"According to Plutarch, a loyal companion who dressed as a male soldier to accompany Mithridates in battle and his final flight.",
Tigranes the Great,Son-in-law and ally,King of Armenia who married Mithridates' daughter Cleopatra; key ally during the Third Mithridatic War.,
Pharnaces II,Son,Led the final rebellion against his father in 63 BCE; later ruled the Bosporan Kingdom as a Roman client.,
Lucius Cornelius Sulla,Roman enemy,Led the Roman forces in the First Mithridatic War; forced Mithridates to accept the Treaty of Dardanos.,
Lucius Licinius Lucullus,Roman enemy,Commanded against Mithridates in the Third Mithridatic War; invaded Armenia but was ultimately recalled due to military and political setbacks.,
Gnaeus Pompeius Magnus (Pompey),Roman enemy,"Replaced Lucullus and delivered the final defeat to Mithridates, driving him to the Crimea.",
Location,Modern Location,Significance in Mithridates' Story,
Sinope,"Sinop, Turkey",Capital of the Kingdom of Pontus; birthplace of Mithridates VI,
Pontus,Northern Turkey (Black Sea coast),Mithridates' core kingdom,
Cappadocia,Central Turkey,Repeatedly contested territory between Pontus and Rome,
Bithynia,Northwestern Turkey,Roman-allied kingdom whose inheritance dispute triggered the Third Mithridatic War,
Colchis,Western Georgia,Important region conquered early in Mithridates' expansion,
Crimean Bosporus,Crimean Peninsula,Final refuge of Mithridates; location of his death,
Panticapaeum,"Kerch, Crimea",Capital of the Bosporan Kingdom; site of Mithridates' suicide,
Athens,Greece,Major Greek city that supported Mithridates during the First Mithridatic War,
Chaeronea,Central Greece,Site of major battle between Sulla and Archelaus in 86 BCE,
Tigranocerta,"Near modern Silvan, Turkey",Capital of Armenia under Tigranes; captured by Lucullus in 69 BCE,
Cabira,"Near modern Niksar, Turkey",Site of important battle between Lucullus and Mithridates in 71 BCE,
Zela,"Zile, Turkey",Site of battles in both the Third Mithridatic War and later between Caesar and Pharnaces II,
