Period,Region(s) & Users,Script/Language Interaction,Religious & Cultural Contexts,Interaction with Other Scripts/Cultures
Zakkur Inscription,8th c. BCE,Syria,Royal inscription,Louvre Museum
Sefire Treaty Inscriptions,8th c. BCE,Syria,International treaties,"Damascus Museum, Beirut Museum"
Amherst Papyrus 63,4th c. BCE,Egypt,Religious anthology,Pierpont Morgan Library
Text,Date,Region,Description,Manuscript Sources
Nabataean Inscriptions,2nd c. BCE-4th c. CE,Petra/Hegra/Sinai,"Funerary, dedicatory texts",In situ at archaeological sites
Nabataean Legal Papyri,1st-2nd c. CE,Dead Sea region,Legal documents,"Jordan Museum, Israel Museum"
Hegra Tomb Inscriptions,1st c. BCE-1st c. CE,Hegra (Al-Hijr),Funerary texts with legal provisions,In situ at archaeological site
Text,Date,Region,Description,Manuscript Sources
Palmyrene Inscriptions,1st c. BCE-3rd c. CE,Palmyra,"Honorific, dedicatory, funerary","Palmyra Museum, Louvre, British Museum"
Palmyrene Tariff,137 CE,Palmyra,Tax regulations,Hermitage Museum
Palmyrene Tessarae,1st-3rd c. CE,Palmyra,Clay tokens with inscriptions,Various museums worldwide
Text,Date,Region,Description,Manuscript Sources
Hatran Inscriptions,1st c. BCE-3rd c. CE,Hatra (Iraq),Dedicatory inscriptions,"Iraq Museum, archaeological site"
Text,Date,Region,Description,Manuscript Sources
Bar Kokhba Letters,132-135 CE,Judean Desert,Administrative correspondence,"Israel Museum, Rockefeller Museum"
Aramaic Ostraca (various sites),7th c. BCE-3rd c. CE,Levant/Mesopotamia,Administrative records,Various archaeological museums
Aramaic Graffiti,8th c. BCE-3rd c. CE,Throughout Near East,Travelers' inscriptions,In situ at archaeological sites
Writing System,Date,Region,Description,Notable Examples
Hebrew Square Script,3rd c. BCE onward,Judea,Derived from Aramaic script,"Dead Sea Scrolls, modern Hebrew"
Kharosthi Script,3rd c. BCE-3rd c. CE,Gandhara,Used for Gandhari Prakrit,Gandharan Buddhist texts
Early Sogdian Script,2nd-8th c. CE,Central Asia,Derived from Aramaic,"Ancient Letters, Buddhist texts"
Mandaic Script,3rd c. CE onward,Mesopotamia,Used for Mandaic Aramaic,"Ginza Rba, ritual texts"
"Syriac Scripts (Estrangela, Serto, East Syriac)",1st c. CE onward,Syria/Mesopotamia,Variants of Aramaic script,"Peshitta, patristic texts"
Pahlavi Script,2nd c. BCE-9th c. CE,Iran,Middle Persian script,"Zoroastrian texts, inscriptions"
Old Turkic Script,8th-13th c. CE,Mongolia/Central Asia,Partly influenced by Sogdian,Orkhon inscriptions
Old Uyghur Script,9th-13th c. CE,Central Asia,Derived from Sogdian,Buddhist and Manichaean texts
Text,Date,Region,Description,Aramaic Influence
Greek New Testament,1st c. CE,Palestine/Syria,Christian scriptures,Aramaic terms and phrases preserved
Babylonian Talmud (Hebrew portions),3rd-6th c. CE,Babylonia,Rabbinic text,Hebrew portions contain Aramaic loanwords
Middle Persian Literature,3rd-7th c. CE,Persia,Zoroastrian texts,Numerous Aramaic heterograms
Arabic Quran,7th c. CE,Arabia,Islamic scripture,Contains Aramaic loanwords
Text,Date,Region,Description,Manuscript Sources
Syriac Medical Works,6th-13th c. CE,Syria/Mesopotamia,Translations of Greek medical texts,"British Library, Vatican Library"
Book of Medicines,9th c. CE,Northern Mesopotamia,Medical compendium,British Library
Book of Treasures (Job of Edessa),9th c. CE,Northern Mesopotamia,Scientific encyclopedia,British Library
Text,Date,Region,Description,Manuscript Sources
Syriac Aristotle Translations,6th-10th c. CE,Syria/Mesopotamia,Translations of Aristotle,"British Library, Vatican Library"
Book of Causes,9th c. CE,Baghdad,Philosophical text,Various European libraries
Treatise on the Soul (Ahudemmeh),6th c. CE,Northern Mesopotamia,Philosophical treatise,Vatican Library
Text,Date,Region,Description,Manuscript Sources
Grammar of Bar Hebraeus,13th c. CE,Northern Mesopotamia,Syriac grammar,Based on earlier traditions
Elias of Nisibis,11th c. CE,Northern Mesopotamia,Comparative lexicon,"Vatican Library, British Library"
Dialect Group,Time Period,Geographic Region,Major Text Representatives,
Old Aramaic,10th-7th c. BCE,Syria/Northern Mesopotamia,"Tell Fekheriye, Sefire, Zakkur inscriptions",
Imperial/Official Aramaic,7th-3rd c. BCE,Throughout Persian Empire,"Elephantine Papyri, Biblical Aramaic",
Hasmonaean Aramaic,2nd-1st c. BCE,Judea,Some Dead Sea Scrolls,
Nabataean Aramaic,2nd c. BCE-4th c. CE,"Petra, Negev, Sinai",Nabataean inscriptions,
Palmyrene Aramaic,1st c. BCE-3rd c. CE,Palmyra,Palmyrene inscriptions,
Hatran Aramaic,1st c. BCE-3rd c. CE,Hatra (Northern Iraq),Hatran inscriptions,
Judean Aramaic,1st c. BCE-2nd c. CE,Judea,"Dead Sea Scrolls, Bar Kokhba letters",
Galilean Aramaic,2nd-7th c. CE,Galilee,"Jerusalem Talmud, Palestinian Targums",
Babylonian Jewish Aramaic,3rd-6th c. CE,Babylonia,Babylonian Talmud,
Syriac,1st-14th c. CE,Edessa/Northern Mesopotamia,"Peshitta, patristic literature",
Mandaic,3rd c. CE onward,Southern Mesopotamia,"Ginza Rba, liturgical texts",
Christian Palestinian Aramaic,5th-13th c. CE,Palestine,Lectionaries,
Samaritan Aramaic,4th c. CE onward,Samaria,Samaritan Targum,
