"Comprehensive Table of Trials, Adventures, Events, and Tribulations of Mithras/Maitreya/Mitra",,,,,,,,
Event Category,Vedic Mitra,Persian/Zoroastrian Mithra,Roman Mithras,Early Buddhist Maitreya,Mahayana Maitreya,East Asian Maitreya,Syncretic/Folk Interpretations,
Special Powers,• All-seeing gaze<br>• Control of cosmic waters<br>• Binding oaths with unbreakable force<br>• Bestowing fertility and abundance,"• Thousand ears, ten thousand eyes<br>• Undeceivable judicial sight<br>• Control of cosmic light<br>• Power over oaths and contracts",• Bull-taming strength<br>• Cosmic knowledge<br>• Planetary ascension power<br>• Transmutation of elements,• Perfect wisdom and compassion<br>• Teaching that liberates all beings<br>• Recall of all past lives<br>• Creation of pure buddha-field,• Miracle powers (ṛddhi)<br>• Universal translation ability<br>• Creation of emanation bodies<br>• Divine eye seeing all realms,• Ability to appear in multiple forms<br>• Cultural adaptation skills<br>• Political prophecy powers<br>• Integration with local deities,• Shape-shifting abilities<br>• Control of elemental forces<br>• Time manipulation<br>• Reality reconfiguration,
Sacred Sites,• Sacrificial grounds<br>• Ritual spaces<br>• Cosmic waters<br>• Mountain peaks,• Mountain peak Hara Berezaiti<br>• Fire temples<br>• Chinvat Bridge<br>• Ritual precincts,• Mithraea (cave temples)<br>• Underground sanctuaries<br>• Sacred spring sites<br>• Mountain tops,• Ketumati (future Varanasi)<br>• Tuṣita Heaven<br>• Dragon Flower Tree (nāga)<br>• Bamboo Grove,• Vulture Peak<br>• Jetavana Grove<br>• Various pure lands<br>• Sacred mountain sites,• Major temple complexes<br>• Imperial palace connections<br>• Silk Road sites<br>• Five-mountain systems,• Sacred caves worldwide<br>• Mountaintop shrines<br>• Underground chambers<br>• Celestial alignment sites,
Ritual Connections,• Soma sacrifice<br>• Dawn prayers<br>• Covenant ceremonies<br>• Friendship rituals,• Yasna ceremony<br>• Mihr Yasht recitation<br>• Fire rituals<br>• Covenant ceremonies,• Tauroctony (bull sacrifice)<br>• Seven-grade initiation<br>• Ritual meals<br>• Cave ceremonies,• Buddha-recollection meditation<br>• Future dedication practices<br>• Aspiration for rebirth with Maitreya<br>• Statue consecration,• Visualization practices<br>• Mahayana dedication ceremonies<br>• Pure land aspirations<br>• Bodhisattva vows,• Imperial ceremonies<br>• Folk festivities<br>• Temple dedication rites<br>• New Year celebrations,• Secret initiations<br>• Cosmic timing ceremonies<br>• Symbolic death-rebirth rituals<br>• Astrological observances,
Special Objects/Symbols,• Golden chariot<br>• Vajra weapon<br>• Soma vessel<br>• Ritual fire,• Barsom rods<br>• Golden chariot<br>• Club/mace<br>• Solar disc,• Dagger (to sacrifice bull)<br>• Torch (illumination)<br>• Phrygian cap<br>• Bull and scorpion,• Nāga tree<br>• Water vessel<br>• Dharma wheel<br>• Stupa crown,• Wish-fulfilling gem<br>• Lotus throne<br>• Dharma text<br>• Five-pronged crown,• Laughing face (Budai)<br>• Cloth sack<br>• Royal attributes<br>• Dragon flower,• Seven-sealed book<br>• Cosmic egg<br>• World tree<br>• Divine mirror,
From Date,From Era,To Date,To Era,Cult/Deity,Location/Origin,Key Figures/Groups,Practices/Features,Notes/Significance
800.0,BCE,330.0,BCE,Apollo,"Greece (Delphi, Delos)","Oracular priests, worshippers","Oracles, music, healing, festivals",Major sanctuaries at Delphi and Delos; central to Greek religion124.
67.0,BCE,400.0,CE,Mithras,Cilicia → Roman Empire,"Soldiers, bureaucrats","Initiation, bull-slaying (tauroctony), banquets","First attested among pirates (67 BCE); flourished in Roman Empire, declined after Christianity6911."
200.0,BCE,400.0,CE,Attis,Phrygia → Roman Empire,"Galli priests, initiates","Ecstatic rites, castration, mourning/resurrection",Linked to Cybele; rites focused on death and rebirth; absorbed into Roman religious life.
220.0,CE,400.0,CE,Sol Invictus,Rome (Syrian influence),"Emperors (Aurelian), soldiers","Sun worship, public festivals, imperial cult",Official cult established by Aurelian (274 CE); symbol of unity and imperial power71012.
100.0,CE,2025.0,CE,Amida (Amitabha),India → East Asia,"Monks, Pure Land devotees","Chanting, visualization, faith in Amida’s vow",Central to Pure Land Buddhism; promise of rebirth in Western Paradise.
100.0,CE,2025.0,CE,Maitreya,India → Central/East Asia,"Monks, lay followers","Prophecy, iconography, devotional cult",Future Buddha; focus on hope and renewal in Buddhist eschatology.
200.0,CE,2025.0,CE,Vairocana,India → East Asia,Esoteric (Tantric) Buddhists,"Mandalas, rituals, cosmic Buddha veneration",Supreme cosmic Buddha in Mahayana and Vajrayana traditions.
