100.0,,600 CE,,Merkabah Mystics,"Palestine, Babylon","Rabbi Akiva, Rabbi Ishmael","Throne chariot visions, heavenly ascent techniques, divine names",Precursors to later Kabbalah
200.0,,700 CE,,Hekhalot Circle,Babylon,Various rabbis,"Heavenly palace journeys, angelic liturgy, magical names",Produced Hekhalot literature
100.0,,400 CE,,Ma'aseh Bereshit Group,Palestine,Tannaitic rabbis,"Cosmological speculation, creation mysteries",Early Jewish esoteric cosmology
,,,,,,,,
,,,,,,,,
200 BCE,,70 CE,,Essenes,"Dead Sea area, Judea",Teacher of Righteousness,"Ritual purity, communal property, apocalypticism",Dead Sea Scrolls community
150 BCE,,68 CE,,Qumran Community,"Qumran, Dead Sea",Unknown leaders,"Ritual baths, strict calendar, messianic expectations",Preserved significant library of texts
100 BCE,,100 CE,,Therapeutae,Egypt (near Alexandria),Unknown,"Asceticism, contemplative prayer, allegorical interpretation of scripture",Influenced early Christian monasticism
100 BCE,,100 CE,,Hellenistic Jews,"Diaspora (Alexandria, etc.)",Philo of Alexandria,Synthesis of Greek philosophy and Jewish theology,Bridged Jewish and Hellenistic thought
100 BCE,,100 CE,,Sadducees,Judea,Priestly aristocracy,"Temple-centric worship, rejection of oral Torah, denial of resurrection",Dominated Temple priesthood until 70 CE
100 BCE,,100 CE,,Pharisees,Judea,"Hillel, Shammai","Oral Torah, resurrection, ritual purity",Foundation for Rabbinic Judaism
100 BCE,,100 CE,,Zealots,Judea,Various revolutionary leaders,"Militant resistance to Roman rule, messianic fervor",Played key role in Jewish-Roman War
100 BCE,,100 CE,,Sicarii,Judea,Menahem ben Judah,"Assassination of Roman collaborators, radical anti-Roman stance",Known for violent resistance
100.0,,600 CE,,Merkabah Mystics,"Palestine, Babylon","Rabbi Akiva, Rabbi Ishmael","Throne chariot visions, heavenly ascent techniques, divine names",Precursors to later Kabbalah
200.0,,700 CE,,Hekhalot Circle,Babylon,Various rabbis,"Heavenly palace journeys, angelic liturgy, magical names",Produced Hekhalot literature
100.0,,400 CE,,Ma'aseh Bereshit Group,Palestine,Tannaitic rabbis,"Cosmological speculation, creation mysteries",Early Jewish esoteric cosmology
100.0,,400 CE,,Gnostic Jews,"Palestine, Egypt",Unknown,"Dualism, secret knowledge (gnosis), rejection of material world",Influenced early Christian Gnosticism
200.0,,600 CE,,Jewish Gnostics,"Palestine, Babylon",Unknown,"Mystical interpretations of Genesis, divine emanations",Linked to early Kabbalistic ideas
200.0,,600 CE,,Kabbalistic Circles,"Palestine, Babylon",Early Kabbalists,"Mystical interpretations of Torah, sefirot, divine emanations",Precursors to medieval Kabbalah
200.0,,600 CE,,Illuminationists,"Persia, Babylon",Mani (Manichaeism),"Dualism, light vs. darkness, asceticism",Influenced Jewish and Christian mysticism
200.0,,600 CE,,Jewish-Christian Sects,"Palestine, Syria","Ebionites, Nazarenes",Jewish observance combined with belief in Jesus as Messiah,Early Jewish-Christian syncretism
200.0,,600 CE,,Samaritan Sects,Samaria,Unknown,"Torah-centric worship, rejection of Jerusalem Temple",Maintained distinct Samaritan identity
200.0,,600 CE,,Karaites,"Babylon, Palestine",Anan ben David,"Rejection of Rabbinic Oral Torah, strict adherence to written Torah",Emerged as a rival to Rabbinic Judaism
200.0,,600 CE,,Jewish Magical Tradition,"Palestine, Babylon",Unknown,"Use of divine names, amulets, and incantations",Influenced later Jewish mysticism and magic
200.0,,600 CE,,Sefer Yetzirah Circle,"Palestine, Babylon",Unknown,"Speculation on creation, letters, and numbers",Early Kabbalistic text
200.0,,600 CE,,Hekhalot Literature,Babylon,Various rabbis,"Descriptions of heavenly palaces, angelic hierarchies",Foundation for Jewish mystical ascent traditions
200.0,,600 CE,,Shi'ur Qomah Mystics,"Palestine, Babylon",Unknown,Speculation on the divine form and measurements,Controversial mystical tradition
200.0,,600 CE,,Jewish Neoplatonists,"Alexandria, Babylon",Philo of Alexandria (earlier influence),Synthesis of Jewish theology and Neoplatonic philosophy,Influenced medieval Jewish philosophy
200.0,,600 CE,,Jewish Illuminationists,"Persia, Babylon",Unknown,"Focus on divine light, mystical ascent, and visionary experiences",Linked to broader mystical trends in the region
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,I'll reorganize the table with a row for each specific book/text while maintaining all the metadata for each entry. Here's the expanded table:,,,,
,,,,,,,,
Group/Section,,,,Text/Title,Time Period,Description,Influence/Legacy,
"Essenes, Qumran Community",,,,Pesher Nahum,Late Hasmonean or early Herodian period,Commentary on Nahum mentioning historical figures,Crucial for understanding Jewish movements during Hasmonean period3,
"Essenes, Qumran Community",,,,Genesis Apocryphon,200 BCE - 70 CE,Retelling of Genesis stories with additional details,Provides insight into Second Temple period biblical interpretation1,
"Essenes, Qumran Community",,,,Community Rule (1QS),200 BCE - 70 CE,"Details community organization, initiation procedures, and dualistic theology",Reveals sectarian structure and beliefs of the Qumran community,
"Essenes, Qumran Community",,,,War Scroll (1QM),200 BCE - 70 CE,Eschatological text describing final war between Sons of Light and Sons of Darkness,Shows apocalyptic expectations and military organization of the community,
"Essenes, Qumran Community",,,,Temple Scroll (11QT),200 BCE - 70 CE,Presents laws for the ideal Temple and reinterprets biblical legislation,Demonstrates sectarian legal interpretations and Temple ideology,
"Essenes, Qumran Community",,,,Damascus Document (CD),200 BCE - 70 CE,"Historical narrative and legal text of the ""New Covenant"" community",Links Qumran community to broader sectarian movement in Judea,
"Essenes, Qumran Community",,,,Pesharim (Biblical Commentaries),200 BCE - 70 CE,Contemporary interpretations of prophetic texts as referring to current events,"Pioneered ""this is that"" method of prophetic interpretation",
"Essenes, Qumran Community",,,,Songs of the Sabbath Sacrifice,200 BCE - 70 CE,Liturgical songs describing angelic worship in the heavenly Temple,Connected earthly and heavenly worship; influenced later mystical traditions,
"Essenes, Qumran Community",,,,Hodayot (Thanksgiving Hymns),200 BCE - 70 CE,Collection of hymns expressing gratitude to God and sectarian theology,Reveals spiritual outlook and personal devotion of community members,
"Essenes, Qumran Community",,,,Rule of the Congregation (1QSa),200 BCE - 70 CE,Regulations for the community in the eschatological age,Shows expectations for future messianic community organization,
"Essenes, Qumran Community",,,,Isaiah Scroll (1QIsa^a),200 BCE - 70 CE,Complete manuscript of the Book of Isaiah,Oldest complete biblical manuscript; important for textual criticism,
"Essenes, Qumran Community",,,,New Jerusalem Text,200 BCE - 70 CE,"Description of a new, idealized Jerusalem",Reflects eschatological hopes and architectural concepts4,
"Essenes, Qumran Community",,,,Pesher Isaiah,200 BCE - 70 CE,Commentary on Isaiah with apocalyptic themes,Discusses fate of Israel's enemies and end-time events9,
"Essenes, Qumran Community",,,,4QTohorot (Purities) A,200 BCE - 70 CE,Text on ritual purity laws,Demonstrates sectarian interpretations of purity regulations1,
"Essenes, Qumran Community",,,,4QHalakhah A and B,200 BCE - 70 CE,Legal texts on various religious laws,Provides insight into Qumran community's legal interpretations1,
"Essenes, Qumran Community",,,,Pesher on Habakkuk (1QpHab),84-63 BCE,Commentary interpreting Habakkuk's prophecies,Reflects sectarian worldview and eschatological expectations3,
Hellenistic Jews,,,,On the Creation (De Opificio Mundi),20 BCE - 50 CE,Philo's commentary on Genesis creation account using Platonic concepts,Established precedent for allegorical reading of scripture through Greek philosophy,
Hellenistic Jews,,,,Allegorical Interpretation (Legum Allegoriae),20 BCE - 50 CE,Philo's allegorical reading of early Genesis narratives,Developed method of finding philosophical meaning in biblical narratives,
Hellenistic Jews,,,,On Abraham (De Abrahamo),20 BCE - 50 CE,Philo's exposition of Abraham as philosophical exemplar,Portrayed biblical figures as embodiments of philosophical virtues,
Hellenistic Jews,,,,On the Life of Moses (De Vita Mosis),20 BCE - 50 CE,"Philo's biography of Moses as ideal leader, prophet, and lawgiver",Influenced later portrayals of Moses in Judaism and Christianity,
Hellenistic Jews,,,,Questions and Answers on Genesis,20 BCE - 50 CE,Philo's systematic commentary addressing difficulties in Genesis,Pioneered question-and-answer format for biblical exegesis,
Hellenistic Jews,,,,On the Special Laws (De Specialibus Legibus),20 BCE - 50 CE,Philo's explanation of Mosaic law through philosophical categories,Rationalized Jewish ritual practices for Greek audience,
Hellenistic Jews,,,,Every Good Man is Free (Quod Omnis Probus Liber Sit),20 BCE - 50 CE,Philo's philosophical treatise on freedom and virtue,Connected Stoic philosophy with Jewish ethical teachings,
Hellenistic Jews,,,,On the Contemplative Life (De Vita Contemplativa),20 BCE - 50 CE,"Philo's description of the Therapeutae, a contemplative Jewish community",Documented Jewish ascetic practices; influenced Christian monasticism,
"Essenes, Qumran Community",,,,Copper Scroll (3Q15),50-100 CE,List of 64 locations of hidden gold and silver treasures,Unique metal scroll; possible record of Temple or community wealth25,
Merkabah Mystics,,,,Re'uyot Yehezkel,100-600 CE,"""Visions of Ezekiel"" expanding on biblical chariot vision",Elaborated biblical visionary tradition,
Merkabah Mystics,,,,Masekhet Hekhalot,100-600 CE,"""Tractate of Palaces"" describing heavenly realm structure",Systematized cosmology of multiple heavens,
Merkabah Mystics,,,,Otzar ha-Kavod,100-600 CE,"""Treasury of Glory"" focusing on divine glory traditions",Developed concept of divine glory in mystical context,
Merkabah Mystics,,,,Sefer ha-Razim,100-600 CE,"""Book of Secrets"" with magical formulas and angelic hierarchies",Connected mysticism with practical magic and angelology,
Merkabah Mystics,,,,Harba de-Moshe,100-600 CE,"""Sword of Moses"" magical text with divine names",Developed practical application of mystical knowledge,
Sefer Yetzirah Circle,,,,Sefer Yetzirah (Short Version),200-600 CE,Concise text on creation through the 22 letters and 10 sefirot,Foundational text for Jewish mystical cosmology,
Sefer Yetzirah Circle,,,,Sefer Yetzirah (Long Version),200-600 CE,Expanded text with additional material on letters and creation,Elaborated cosmological system influenced medieval Kabbalah,
Sefer Yetzirah Circle,,,,Pseudo-Rabad Commentary on Sefer Yetzirah,200-600 CE,Early commentary attributed to Rabbi Abraham ben David,Interpreted Sefer Yetzirah through philosophical lens,
Sefer Yetzirah Circle,,,,Donnolo Commentary on Sefer Yetzirah,200-600 CE,Commentary by 10th century Italian Jewish physician Shabbetai Donnolo,Connected cosmology with medicine and natural philosophy,
Hekhalot Circle,,,,Hekhalot Rabbati,200-700 CE,"""Greater Palaces"" text describing ascent through heavenly realms",Established rituals and practices for heavenly ascent,
Hekhalot Circle,,,,Hekhalot Zutarti,200-700 CE,"""Lesser Palaces"" text with focus on mystical names and formulas",Developed use of divine names in mystical practice,
Hekhalot Circle,,,,Ma'aseh Merkabah,200-700 CE,"""Work of the Chariot"" text on visionary experiences",Connected rabbinic tradition with mystical practice,
Hekhalot Circle,,,,Sefer Hekhalot (3 Enoch),200-700 CE,Narrative of Enoch's transformation into angel Metatron,Developed concept of human transformation into angelic being,
Hekhalot Circle,,,,Merkavah Rabbah,200-700 CE,"""Great Chariot"" text with extensive hymns and liturgies",Expanded liturgical elements of mystical practice,
Shi'ur Qomah Mystics,,,,Sefer Raziel,200-600 CE,Compilation of mystical and magical traditions,Transmitted mystical traditions to medieval period,
Shi'ur Qomah Mystics,,,,Shi'ur Qomah proper,200-600 CE,Core text describing divine body measurements and names,Developed controversial anthropomorphic tradition,
Shi'ur Qomah Mystics,,,,Siddur Rabbah,200-600 CE,"""Great Prayer Book"" with mystical liturgies",Integrated mystical concepts into prayer tradition,
Shi'ur Qomah Mystics,,,,Sefer ha-Qomah,200-600 CE,Variant text on divine body measurements,Further elaborated divine anthropomorphism,
Shi'ur Qomah Mystics,,,,Cairo Genizah Shi'ur Qomah Fragments,200-600 CE,Fragmentary texts found in Cairo Genizah,Preserved early versions of mystical traditions,
Karaites,,,,Sefer ha-Mitzvot (Anan),8th century CE,"Anan ben David's ""Book of Precepts""",Established legal framework for Karaite Judaism,
Karaites,,,,Sefer Dinim,8th century CE,"Anan's ""Book of Laws"" on ritual and legal matters",Codified alternative to rabbinic legal tradition,
Karaites,,,,Commentary on Torah (Anan),8th century CE,Anan's biblical commentary emphasizing literal reading,Pioneered non-rabbinic biblical interpretation,
Karaites,,,,Al-Fasl (The Distinction),8th century CE,Treatise distinguishing Karaite from Rabbanite interpretation,Articulated polemical foundation of Karaite movement,
Karaites,,,,Anan ben David,8th century CE,"Founder of Karaite Judaism, rejected Rabbinic Oral Torah",Established Karaism as a rival to Rabbinic Judaism,
Karaites,,,,Aderet Eliyahu,14th century CE,Elijah Bashyazi's comprehensive Karaite legal code,Systematized mature Karaite legal tradition,
Karaites,,,,Eshkol ha-Kofer,14th century CE,Judah Hadassi's encyclopedic Karaite compendium,Preserved Karaite intellectual tradition and arguments,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Expanded Groups in Table Form,,,,
Location,,,,Time Period,Tradition/Group,Key Figures/Leaders,Practices/Beliefs,Influence/Legacy
Ancient Egypt,,,,1600-1500 BCE,Egyptian Mystery Schools,- Priests of Heliopolis (Ra cult),"Solar worship, creation myths, sacred geometry",Influenced solar symbolism in later traditions
,,,,,,- Priests of Thebes (Amun-Ra cult),"Afterlife rituals, divine kingship, oracles",Central to Egyptian state religion
,,,,,,- Priests of Memphis (Ptah cult),"Creation myths, craftsmanship, and sacred architecture",Linked to the Memphite Theology
,,,,,,- Priests of Osiris (Osirian cult),"Death/rebirth rituals, mummification, judgment of the dead",Foundation for later mystery traditions
"Eleusis, Greece",,,,1500-500 BCE,Eleusinian Mysteries,Hierophants of Demeter and Persephone,"Sacred dramas, agricultural cycles, afterlife teachings",Model for later mystery cults in the Greco-Roman world
Greece,,,,700-500 BCE,Orphic Mysteries,Orpheus (mythical founder),"Reincarnation, soul purification, asceticism","Influenced Plato, Pythagoras, and early Christian thought"
"Croton, Italy",,,,530 BCE,Pythagorean Brotherhood,Pythagoras,"Numerology, communal living, vegetarianism, reincarnation",Foundation for Western esotericism and scientific mysticism
Greece/Rome,,,,500-300 BCE,Dionysian Mysteries,- Maenads (female devotees),"Ecstatic rituals, wine, dance, and communion with Dionysus",Counter-culture to state religion; influenced art and theater
,,,,,,- Thyiades (mountain-dwelling devotees),"Wild, nature-based rituals",Emphasized liberation from societal norms
Island of Samothrace,,,,400-200 BCE,Samothracian Mysteries,Unknown initiates,"Maritime protection, initiation rites, chthonic deities",Popular among sailors and traders
Roman Empire,,,,300 BCE-400 CE,Mithraic Mysteries,Unknown priests,"Solar worship, bull sacrifice, seven grades of initiation",Rival to early Christianity; spread through Roman military
"Egypt, Syria, Asia Minor",,,,100-400 CE,Gnostic Schools,"Valentinus, Basilides, Mani","Dualism, divine spark, secret knowledge (gnosis) for salvation",Rediscovered in Nag Hammadi texts; influenced later esoteric traditions
"Alexandria, Egypt",,,,200-600 CE,Hermetic Orders,Hermes Trismegistus (mythical figure),"Alchemy, astrology, theurgy, ""as above, so below""",Corpus Hermeticum influenced Renaissance and Western esotericism
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,"Complete Timeline of Medieval Magic, Demonology, Necromancy, Grimoires, Angelology & Key Figures",,,,
Location,,,,Period,Event/Work/Person,Description,,
Persia,,,,Pre-5th Cent. BCE,Zoroastrianism (Avesta),Dualistic cosmology (Ahura Mazda vs. Angra Mainyu) influencing demonology.,,
Egypt/Greece,,,,4th Cent. BCE,Greek Magical Papyri (PGM),"Spells blending Egyptian, Greek, and Jewish magic.",,
Israel,,,,1st Cent. CE,Testament of Solomon,Solomon’s control over demons; early angel/demon hierarchy.,,
Egypt,,,,2nd Cent. CE,"Gnostic Texts (e.g., Pistis Sophia)",Esoteric Christian angelology and demonic archons.,,
Rome,,,,3rd Cent. CE,Plotinus (Neoplatonism),"Philosophical magic, theurgy (divine invocation).",,
Hippo (N. Africa),,,,4th Cent.,De Doctrina Christiana (Augustine),Condemned magic as demonic pact.,,
Byzantium,,,,6th Cent.,Cyranides (Greco-Egyptian),"Herbal, astral, and demonic magic compendium.",,
Arabia → Spain,,,,8th–9th Cent.,Picatrix (Ghayat al-Hakim),"Astral magic, planetary angels/demons.",,
Persia,,,,9th Cent.,Abu Ma’shar al-Balkhi (Astrologer),Astral magic influencing medieval grimoires.,,
France/England,,,,1000.0,Sworn Book of Honorius (Liber Juratus),"Angelic & demonic seals, early Solomonic magic.",,
France,,,,12th Cent.,Hugh of St. Victor,Condemned necromancy in Didascalicon.,,
Germany,,,,12th Cent.,Hildegard of Bingen (Liber Divinorum Operum),Christian visionary angelology.,,
Germany,,,,13th Cent.,Albertus Magnus (De Mirabilibus Mundi),Natural magic vs. demonic arts.,,
Sicily/Spain,,,,13th Cent.,Michael Scot (Liber Introductorius),Translated Arabic astral magic & necromancy.,,
Rome,,,,1258.0,Pope Alexander IV’s bull,Inquisition allowed to investigate magic.,,
