Complete Historical Table of Christian Schisms,,,,,,
Time Period,Schism Name,Core Differences/Practices,Key Texts,Key Figures/Groups,Description of Events,Outcome/Impact
1147-1321 CE,Cathar Schism,Dualist theology; rejection of sacraments,Cathar Rituals,Cathars of Languedoc,Albigensian Crusade suppression,Eliminated by Inquisition
1199 CE onward,Bosnian Church Schism,Bogomil-influenced national church,-,Bosnian Krstjani,Independent from both Rome and Constantinople,Disappeared after Ottoman conquest
1215 CE onward,Waldensian Schism,"Lay preaching, poverty, vernacular Bible",Waldensian Bible,Peter Waldo,Early reform movement,Survived as Protestant denomination
1378-1417 CE,Western Schism,Multiple rival popes (Rome/Avignon/Pisa),Council of Constance decrees,"Urban VI, Clement VII",Political division of papacy,Resolved via conciliarism
1415 CE onward,Bohemian Reformation,"Utraquism (lay communion), reform",Four Articles of Prague,"Jan Hus, Jerome of Prague",Pre-Reformation movement,Led to Hussite Wars
1516 CE onward,Swiss Reformation Schism,"Zwinglian reforms (iconoclasm, liturgy)",67 Articles (Zwingli),Huldrych Zwingli,Zurich reformation,Foundation of Reformed tradition
1525 CE onward,Anabaptist Schism,"Adult baptism, pacifism, separation",Schleitheim Confession,"Conrad Grebel, Menno Simons",Radical Reformation,Mennonite/Amish traditions
1529-1559 CE,English Reformation Schism,"Royal supremacy, Book of Common Prayer",Thirty-Nine Articles,"Henry VIII, Thomas Cranmer",Break from papal authority,Anglican Communion formed
1552 CE,Schism of 1552,Assyrian Church split over patriarchate,-,Shimun VIII Yohannan Sulaqa,Ottoman-era reorganization,Creation of Chaldean Catholic Church
1560 CE onward,Scottish Reformation Schism,Calvinist Presbyterianism,Scots Confession,John Knox,Abolition of papal jurisdiction,Church of Scotland established
1724 CE,Melkite-Orthodox Schism,Split over Catholic vs Orthodox allegiance,-,Cyril VI Tanas,Patriarchate division,Dual communion attempts later
1784 CE,Anglican-Methodist Schism,Revivalism vs establishment,Wesleyan Articles,John Wesley,Field preaching movement,Methodist denominations formed
1872 CE,Bulgarian Orthodox Schism,National church autocephaly,-,Bulgarian clergy,"""Phyletism"" controversy",Recognized 1945 by Constantinople
1879 CE,Old Catholic Church Schism,Rejection of Vatican I infallibility,Declaration of Utrecht,Ignaz von Döllinger,Liberal Catholic movement,In communion with Anglicans
1890s CE,Holiness Movement Schisms,Sanctification theology splits,-,Multiple groups,Post-Methodist revivalism,Pentecostalism roots
1902 CE,Philippine Independent Church,National Catholic church,-,Gregorio Aglipay,Anti-Spanish colonial movement,Later Anglican-affiliated
1913 CE onward,Liberal Catholic Movement,Esoteric Christianity,-,James Wedgwood,Theosophical influences,Small global presence
1917 CE,Watch Tower Society Schism,Leadership dispute after Russell's death,-,Joseph Rutherford,Reorganization of Bible Students,Became Jehovah's Witnesses
1920s CE,True Orthodox Movement,Opposition to ecumenism,-,Multiple groups,Russian diaspora divisions,Continued Old Calendarism
1920s-1930s CE,Fundamentalist-Modernist Controversy,Biblical literalism vs liberalism,The Fundamentals,J. Gresham Machen,Northern Baptist/Split,Evangelicalism formation
2009 CE,Anglican Church in North America Schism,LGBT ordination opposition,-,Robert Duncan,Conservative break from TEC/ACC,Ongoing realignment
2022 CE,United Methodist-Global Methodist Schism,Traditionalist split over sexuality,-,Global Methodist Church,Largest modern Protestant split,Ongoing denominational division
