c. 474 BCE,वरुण (Varuṇa),Vedic Sanskrit,Varuna,"Cosmic order, water, night sky, paired with Mitra","Rigveda, Brahmanas, Upanishads","India, Iran","Mitra, Surya, Rudra","Noose, water pot, chariot, celestial motifs",
c. 474 BCE,सवितृ (Savitr),Vedic Sanskrit,Savitr,"Solar deity, morning sun, inspirer of hymns","Rigveda, Gayatri mantra",India,"Surya, Mitra, Vishnu","Lotus, chariot, radiant rays",
c. 474 BCE,सूर्य (Sūrya),Vedic Sanskrit,Surya,"Sun god, chariot, health, cosmic order","Rigveda, Puranas, iconography",India,"Mitra, Savitr, Vishnu, Adityas","Chariot, solar disk, lotus, halo",
c. 100 BCE–200 CE,מִתְרָא (Mitra),"Nabataean, Hatran Aramaic",Mithra,"Solar, justice, protector, oath-keeper","Nabataean inscriptions, Hatran reliefs, Sogdian texts","Arabia, N. Mesopotamia","Iranian Mithra, Sol, Shamash","Solar disk, handshake, altar",
c. 100 BCE,मैत्रेय (Maitreya),"Sanskrit, Buddhist",Maitreya,"Future Buddha, messianic, loving-kindness, universal teacher, brings new Dharma age","Buddhist canonical texts (Mahāyāna Sūtras, Pali Canon), cave art, statuary","India, Central Asia, China","Mitra (etymological), Amida, Buddha Shakyamuni","Topknot (ushnisha), seated on throne, stupa, water flask",
c. 100 CE–present,מִיכָאֵל (Mikha’el),"Jewish, Christian Aramaic",Michael (Archangel),"Warrior, solar, healer, dragon-slayer, protector","Dead Sea Scrolls, Book of Daniel, Book of Enoch, Christian texts","Levant, Mesopotamia","Resheph, Mithra (functionally), Christ","Haloed archangel, sword, dragon, radiant cross",
c. 200 CE,מרן (Maran),"Syriac, Palmyrene Aramaic",“Our Lord” (title),"Lordly, divine, used for Mithra and later for Christ","Palmyrene inscriptions, Christian Syriac texts","Palmyra, Syria","Mithra, Christ, Baal","Inscriptional, no specific iconography",
c. 200 CE,"弥勒 (Mílè), 미륵 (Mireuk), Maitreya","Chinese, Korean, Japanese, Sanskrit",Maitreya,"Future Buddha, messianic, brings paradise, cosmic renewal, loving-kindness","Chinese Buddhist texts, Gandharan and East Asian statuary, murals","China, Korea, Japan, Central Asia","Amitābha, Vairocana, Mitra (etymological)","Topknot, seated Buddha, stupa, radiant halo, lotus throne",
c. 200 CE,"阿弥陀 (Amida), Amitābha (Sanskrit)","Sanskrit, Chinese, Japanese",Amida (Amitābha),"Buddha of Infinite Light, Pure Land, savior, grants rebirth in paradise, solar attributes","Pure Land sutras, East Asian Buddhist art, inscriptions","India, China, Japan, Korea","Amitāyus, Maitreya, Vairocana, Surya","Seated Buddha, radiant halo, lotus, mudra, Pure Land iconography",
c. 200 CE,Amitāyus (Sanskrit: अमितायुस्),"Sanskrit, Tibetan, Chinese",Amitāyus,"Buddha of Infinite Life, longevity, healing, closely identified with Amitābha","Mahāyāna and Vajrayāna texts, statuary, mandalas","India, Tibet, China, Mongolia","Amitābha, Maitreya, Avalokiteśvara","Seated Buddha, water flask, radiant halo, longevity vase",
c. 200 CE,Vairocana (Sanskrit: वैरोचन),"Sanskrit, Chinese, Japanese",Vairocana,"Cosmic Buddha, embodiment of the Dharma body, ""Great Sun Buddha"", universal light/wisdom","Mahāyāna, Vajrayāna texts, cave art (Longmen, Dunhuang, Tōdai-ji)","India, China, Japan, Korea","Amida, Maitreya, Surya, Dainichi Nyorai","Seated/standing Buddha, solar disk, cosmic throne, mudra",
c. 700 CE,大日如来 (Dainichi Nyorai),"Japanese, Chinese, Sanskrit",Dainichi Nyorai (Vairocana),"""Great Sun Buddha,"" cosmic Buddha, universal light and wisdom","Esoteric Buddhist texts, Tōdai-ji, Shingon iconography","Japan, China","Vairocana, Amida, Maitreya","Sun disk, lotus throne, cosmic mandala",
Date,Original Form/Name (Transliteration),Language/Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Evidence/Sources,Region,Syncretized / Related Deities / Figures,Iconography / Artistic Motifs,Period
c. 2500 BCE,mitrás (reconstructed),Proto-Indo-European,Proto-Mitra/Mithra,"Contract, cosmic order, solar associations","Comparative linguistics, PIE religion studies","Pontic-Caspian, Central Asia","Proto-Varuna, Proto-Surya","Solar disk, fire, chariot, ritual oaths",
c. 2000–1500 BCE,Etymology of Mithra,,,,"Derived from mitrám (""that which causes binding""), root mi- ""to bind"", suffix *-tra-"".",,,,Proto-Indo-Iranian Era
1500–1000 BCE,Proto-Indo-Iranian pantheon,Central Asia / Iranian plateau,,"Mithra (Miθra) emerges as a god of contracts, light, oaths in early Indo-Iranian traditions","Avesta (Yasht 10), Vedic hymns (""Mitra"")",,,,
c. 1500–1000 BCE,Vedic Mitra appears as a deity,,,,"Indic counterpart to Iranian Mithra; associated with contracts, friendship, and the Sun.",,,,Vedic Period
c. 1500–1000 BCE,Mithra not named in Gathas or Yasna Haptanghaiti,,,,Part of ahuric triad but not explicitly named; earlier theories about Zoroaster rejecting Mithra are now discredited.,,,,Traditional Zoroaster Era
c. 1400 BCE,𐎷𐎰𐎼 (mi-it-ra),Mitanni (Hurrian/Indo-Aryan),Mitra,"Oath, contract, divine witness, solar aspect","Mitanni treaties, cuneiform tablets",Northern Mesopotamia,"Varuna, Indra, Surya","Treaty formulas, solar motifs",
c. 1200 BCE,मित्र (Mitra),Vedic Sanskrit,Mitra,"God of contracts, friendship, truth, morning sun, Aditya","Rigveda, Atharvaveda, Brahmanas","India, Iran","Varuna, Surya, Savitr, Vishnu","Solar chariot, lotus, sunrise, ritual fire",
c. 1200 BCE,רֶשֶׁף (Resheph),"West Semitic, Aramaic",Resheph,"Plague, solar, warrior, protector","Ugaritic texts, Aramaic inscriptions, magical texts","Levant, Aram, Phoenicia","Apollo, Nergal, Shamash","Armed figure, solar disk, horses",
c. 1000 BCE,שמש (Shamash),"West Semitic, Aramaic",Shamash,"Sun god, justice, cosmic order","Aramaic magical texts, Palmyrene inscriptions, Hebrew Bible","Mesopotamia, Levant","Mithra, Surya, Helios","Solar disk, chariot, judge's staff",
1000–800 BCE,Composition of Yashts (Avesta),Eastern Iranian (Avestan),,"Mithra becomes a central yazata (divine being); strongly solar, judicial, and covenantal roles emphasized","Yasht 10: Mihr Yasht (dedicated to Mithra), Vendidad, Bundahishn",,,,
c. 1000–600 BCE,"Mithra described in Avesta (Yasht 10, Yasna 1, Khorda Avesta)",,,,"God of Covenant, Light, War, Truth; ""Mithra of Wide Pastures"", ""Thousand Ears"", protector of cattle and waters.",,,,Avestan Period
c. 900 BCE,𐬨𐬌𐬚𐬭𐬀 (Miθra),Avestan (Old Iranian),Mithra,"All-seeing, covenants, light, justice, solar attributes, warrior, protector","Avesta (Yasht 10), Zoroastrian texts","Iran, Central Asia","Ahura Mazda, Hvar Khshaita, Rashnu, Vohu Manah","Solar rays, chariot, judge, warrior, eye motif",
c. 900–500 BCE,—,"Scythian, Saka","Solar horse deity, divine twins","Solar horses, possibly divine twins (Ashvin-type) with protective/judicial roles","Herodotus (Histories 4.59–61); Pazyryk kurgans (Altai), Issyk burial art, gold plaques","Central Asia, Black Sea steppe","Mithra, Dioscuri, Ashvins","Twin warriors, solar horses, radiant halo",
800–600 BCE,Mithra-Varuna in Vedic texts,India (Vedic Aryans),,Mitra-Varuna pair appear as sky and moral order gods; Mitra shares attributes with later Mithra,Rig Veda – Book 1: Hymns to Mitra and Varuna,,,,
600–400 BCE,Zoroaster reforms Mazdean religion,Iran,,Zoroaster elevates Ahura Mazda; Mithra remains powerful but subordinate; dualistic structure established,"Gathas (Zoroaster's hymns), Middle Persian commentaries",,,,
550–330 BCE,Achaemenid Empire and royal Mithraism,Persian Empire,,Mithra included in imperial ideology alongside Ahura Mazda and Anahita; warrior and sun symbolism proliferate,"Behistun Inscription, Persepolis reliefs, Elamite and Old Persian inscriptions",,,,
522–486 BCE,Behistun inscription of Darius I,,,,"Invokes Ahura Mazda and ""the Other Gods"", but not Mithra by name.",,,,Achaemenid Empire
c. 500 BCE–300 CE,מִתְרָא (Mitra) / מראן מִתְרָא (Maran Mithra),Palmyrene Aramaic,Mithra (Maran Mithra),"Sun god, cosmic judge, mediator, savior, oath-keeper","Palmyrene inscriptions, temple dedications, J. Teixidor, Pantheon of Palmyra","Palmyra, Hatra, Syria","Iranian Mithra, Sol, Helios","Solar disk, altar, handshake, chariot, radiant crown",
c. 500 BCE,"Mehr, Mihr, Myhr","Middle Persian, Parthian, Sogdian",Mihr/Mithra,"Sun god, light, justice, protector, cosmic order","Sogdian and Parthian inscriptions, iconography, Persian texts","Iran, Central Asia","Shamash, Surya, Sol, Apollo","Solar disk, chariot, halo, judge's staff",
c. 500 BCE–present,תַּמּוּז (Tammuz),"Aramaic, West Semitic",Tammuz,"Dying-and-rising god, vegetation, seasonal rebirth","Aramaic magical texts, onomastics, Hebrew Bible, Ezekiel 8:14","Mesopotamia, Levant","Adonis, Osiris, Dionysus","Dying god, mourning women, rebirth imagery",
c. 300–100 BCE,—,Greco-Bactrian,Mithra-Apollo hybrid cults,Solar deity fused with Greek gods via Hellenistic syncretism,Greco-Bactrian coins of King Agathocles with Helios-Mithra type busts; temple ruins at Ai-Khanoum,Bactria (Afghanistan),"Apollo, Helios, Mithra","Radiant crown, solar globe, lyre",Hellenistic Period
c. 247 BCE–224 CE,"Royal names incorporating Mithra (e.g., Mithradates) in Parthia, Armenia, Anatolia",,,,Shows spread of Mithraic influence in royal dynasties.,,,,Parthian Period
c. 128–124 BCE,Coin of Artabanus II depicts king before Apollo-like god (thought to be Mithra),,,,Example of Mithraic iconography in Parthian culture.,,,,Parthian Period
c. 100 BCE,Μίθρας (Mithras),"Greek, Anatolian, Roman",Mithras,"Solar, cosmic mediator, bull-slayer (tauroctony), savior, initiator, justice, warrior","Archaeological finds (Mithraea), reliefs, inscriptions, Roman texts","Anatolia, Rome, Empire-wide","Helios, Sol Invictus, Apollo, Sabazios, Serapis","Tauroctony, radiant crown, banquet, cave, zodiac",
c. 80 CE,Earliest literary reference to Roman Mithraic mysteries by Statius,,,,Roman Mithraism attributed to Persian sources but is significantly different.,,,,Roman Empire
c. 120–150 CE,"Coinage of Kanishka I features ""Miiro"" (Greek Μιιρο), meaning Mithra",,,,Demonstrates Mithra’s influence on Indo-Iranian border cultures.,,,,Kushan Empire
c. 200 CE,Μίθρας-Ἥλιος (Mithras-Helios),Greco-Roman,Mithras-Helios,"Solar syncretism, cosmic ruler, initiatory light, judge","Iconography in Mithraea, inscriptions, Julian's Hymn to the Sun","Roman Empire, Asia Minor","Helios, Sol Invictus, Apollo","Solar rays, chariot, globe, radiant crown",
c. 474 BCE,मित्र (Mitra) (continued),"Sanskrit, Indian languages",Mitra,"Friendship, solar deity, guardian of dawn/day, Aditya","Later Vedic, Puranic texts, Indian languages","India, Nepal","Surya, Savitr, Vishnu, Adityas","Chariot, lotus, sun, halo",
c. 474 BCE,वरुण (Varuṇa),Vedic Sanskrit,Varuna,"Cosmic order, water, night sky, paired with Mitra","Rigveda, Brahmanas, Upanishads","India, Iran","Mitra, Surya, Rudra","Noose, water pot, chariot, celestial motifs",
c. 474 BCE,सवितृ (Savitr),Vedic Sanskrit,Savitr,"Solar deity, morning sun, inspirer of hymns","Rigveda, Gayatri mantra",India,"Surya, Mitra, Vishnu","Lotus, chariot, radiant rays",
c. 474 BCE,सूर्य (Sūrya),Vedic Sanskrit,Surya,"Sun god, chariot, health, cosmic order","Rigveda, Puranas, iconography",India,"Mitra, Savitr, Vishnu, Adityas","Chariot, solar disk, lotus, halo",
404–358 BCE,"Artaxerxes II invokes Mithra in royal inscriptions (Susa, Hamadan)",,,,First Achaemenid king to invoke Mithra and Anahita by name alongside Ahura Mazda.,,,,Achaemenid Empire
358–338 BCE,Artaxerxes III invokes Mithra in inscription at Persepolis,,,,"Appeals to ""Ahuramazda and the God Mithra preserve me, my country, and what has been built by me.""",,,,Achaemenid Empire
330–150 BCE,Alexander’s conquest and Hellenism,"Central Asia, Persia, India",,"Greek syncretism enables merging of Mithra with Apollo, Helios; Zoroastrian and Vedic elements begin to globalize","Hellenistic cultural diffusion, Seleucid administration",,,,
3rd c. BCE–3rd c. CE,—,Sarmatian,Warrior-solar deity,"Possibly Mithraic traits among mounted elite; light-bringer, protector","Archaeological: Filippovka kurgans, Roman authors (Lucian, Ammianus Marcellinus), Sarmatian banners","Steppe, Caucasus","Mithra, Sol, Resheph","Warrior god, solar halo, fire altars",Classical–Roman
2nd c. BCE,Parthians and Mithraic continuity,Parthian Empire (Iran),,Continuation of Iranian rituals; Mithra remains popular; temples and fire altars in Mithra's name found,"Coins, temple foundations, local inscriptions",,,,
c. 100 BCE–200 CE,מִתְרָא (Mitra),"Nabataean, Hatran Aramaic",Mithra,"Solar, justice, protector, oath-keeper","Nabataean inscriptions, Hatran reliefs, Sogdian texts","Arabia, N. Mesopotamia","Iranian Mithra, Sol, Shamash","Solar disk, handshake, altar",
c. 100 BCE,मैत्रेय (Maitreya),"Sanskrit, Buddhist",Maitreya,"Future Buddha, messianic, loving-kindness, universal teacher, brings new Dharma age","Buddhist canonical texts (Mahāyāna Sūtras, Pali Canon), cave art, statuary","India, Central Asia, China","Mitra (etymological), Amida, Buddha Shakyamuni","Topknot (ushnisha), seated on throne, stupa, water flask",
1st c. BCE,Tarsus and Cilician connections,Anatolia (Cilicia),,Tarsus becomes a key center of Mithraic adaptation; seafaring and mercantile spread via ports,"Archaeological finds, regional temple foundations, Strabo",,,,
1st c. CE,Earliest Roman Mithraic cults,"Rome, Mediterranean",,"Mithraism enters Roman military and merchant communities; mystery religion forms with secret rites, grades, iconography","Earliest Mithraea (temples) in Rome, Ostia, and Capua",,,,
1st–3rd c. CE,Mystery Cults,Greco-Roman,Comparative soteriological figures,"Mithra shared themes: initiation, soul ascent, salvation","Apuleius, Metamorphoses (11.23–30); Plutarch, On Isis and Osiris; Orphic hymns",Roman Empire,"Dionysus, Isis, Mithras","Banquet, soul ladder, mystic cave",Roman Empire
1st–3rd c. CE,Ratio / Solar Reason,Stoic / Roman,Cosmic Reason / Logos,"Mithras seen as rational force behind cosmos, linked to Stoic divine fire","Seneca, Naturales Quaestiones 1.1–6; Cicero, De Natura Deorum; Roman Mithraic art",Roman Empire,"Zeus, Mithras, Logos","Cosmos sphere, fire, sunburst motifs",Imperial Rome
1st–4th c. CE,Φωτεινὸς Λόγος (Logos),Greek / Roman,Neoplatonic Solar Logos,Mithras as intermediary between ineffable divine and material world,"Plotinus (Enneads 5.1–5.2); Porphyry, De antro nympharum; Julian's Hymn to King Helios",Roman Empire,"Logos, Helios, Mithras","Rays, cave, light shaft, cosmic ascent",Late Antiquity
1st–4th c. CE,—,Etruscan-Roman,Tages / Genius Loci,Regional “guardian” deities syncretized with Mithraic cultic imagery,"Etruscan votive inscriptions; Mithraea foundation layers (e.g., Vulci, Tarquinia); comparative iconography",Italy,"Lares, Mithras, Sol","Small protective figures, fire, radiant headgear",Early Roman Empire
98–117 CE,Emperor Trajan’s Eastern campaigns,"Dacia, Mesopotamia",,Expansion into East brings exposure to Iranian traditions; soldiers adopt Mithraic practices,"Military movement records, dedications in Mithraea",,,,
2nd–3rd century CE,Tauroctony reliefs and iconography in Roman Mithraism,,,,Depictions of Mithra slaying the bull become central in Roman tradition.,,,,Roman Empire
2nd–3rd c. CE,Μίθρας Πάνθεος (Mithras Pantheos),Greco-Roman,Mithras Pantheos,Composite god integrating multiple deities in single figure,Statue of Mithras Pantheos in Ostia Antica Museum; inscriptions in Rome and Capua Mithraea,Roman Empire,"Sol, Zeus, Serapis, Helios","Winged Mithras, animal heads, zodiac, caduceus",Roman Empire
c. 100 CE,Plutarch references Roman Mithraic mysteries,,,,Further evidence of Roman interest in Mithra.,,,,Roman Empire
c. 100 CE–present,מִיכָאֵל (Mikha’el),"Jewish, Christian Aramaic",Michael (Archangel),"Warrior, solar, healer, dragon-slayer, protector","Dead Sea Scrolls, Book of Daniel, Book of Enoch, Christian texts","Levant, Mesopotamia","Resheph, Mithra (functionally), Christ","Haloed archangel, sword, dragon, radiant cross",
120–250 CE,Mithraism spreads across empire,Roman Empire (West to East),,"Worship of Mithras reaches Britain, Gaul, Germany, Balkans, and North Africa; over 600 Mithraea discovered","Archaeological record, inscriptions, cult iconography",,,,
165–180 CE,Antonine Plague and mystery cults,Roman Empire,,"Societal instability increases appeal of mystery religions, including Mithraism, for salvation and order","Historical chronicles, Plague impact studies",,,,
3rd c. CE,Mithras as Sol Invictus rival,Roman Empire,,Mithras depicted with solar crown; religious competition with Sol Invictus and Christianity intensifies,"Iconography, imperial edicts, inscriptions",,,,
3rd century CE,Investiture relief of Ardashir II at Taq-e Bostan shows Mithra sanctifying the investiture,,,,"Mithra depicted with sun rays, standing on a lotus, holding barsom.",,,,Sassanid Empire
3rd–7th century CE,"Mithra (Mihryazd, Mihr Yazd) adopted as Manichaean angels",,,,"Mihryazd as ""Living Spirit"", Mihr Yazd as ""Messenger"", both savior figures.",,,,Manichaean Period
c. 3rd–7th century CE,Mithra as Sun God surpasses Narisaf as Third Messenger,,,,Cultic emphasis on Mithraic traits in Manichaean God.,,,,Parthian Manichaeism
c. 200 CE,מרן (Maran),"Syriac, Palmyrene Aramaic",“Our Lord” (title),"Lordly, divine, used for Mithra and later for Christ","Palmyrene inscriptions, Christian Syriac texts","Palmyra, Syria","Mithra, Christ, Baal","Inscriptional, no specific iconography",
c. 200 CE,"弥勒 (Mílè), 미륵 (Mireuk), Maitreya","Chinese, Korean, Japanese, Sanskrit",Maitreya,"Future Buddha, messianic, brings paradise, cosmic renewal, loving-kindness","Chinese Buddhist texts, Gandharan and East Asian statuary, murals","China, Korea, Japan, Central Asia","Amitābha, Vairocana, Mitra (etymological)","Topknot, seated Buddha, stupa, radiant halo, lotus throne",
c. 200 CE,"阿弥陀 (Amida), Amitābha (Sanskrit)","Sanskrit, Chinese, Japanese",Amida (Amitābha),"Buddha of Infinite Light, Pure Land, savior, grants rebirth in paradise, solar attributes","Pure Land sutras, East Asian Buddhist art, inscriptions","India, China, Japan, Korea","Amitāyus, Maitreya, Vairocana, Surya","Seated Buddha, radiant halo, lotus, mudra, Pure Land iconography",
c. 200 CE,Amitāyus (Sanskrit: अमितायुस्),"Sanskrit, Tibetan, Chinese",Amitāyus,"Buddha of Infinite Life, longevity, healing, closely identified with Amitābha","Mahāyāna and Vajrayāna texts, statuary, mandalas","India, Tibet, China, Mongolia","Amitābha, Maitreya, Avalokiteśvara","Seated Buddha, water flask, radiant halo, longevity vase",
c. 200 CE,Vairocana (Sanskrit: वैरोचन),"Sanskrit, Chinese, Japanese",Vairocana,"Cosmic Buddha, embodiment of the Dharma body, ""Great Sun Buddha"", universal light/wisdom","Mahāyāna, Vajrayāna texts, cave art (Longmen, Dunhuang, Tōdai-ji)","India, China, Japan, Korea","Amida, Maitreya, Surya, Dainichi Nyorai","Seated/standing Buddha, solar disk, cosmic throne, mudra",
274 CE,Emperor Aurelian elevates Sol Invictus,Rome,,Aurelian’s reform favors Sol Invictus; Mithraism is absorbed into state cult of the Unconquered Sun,"Coins, temples, inscriptions",,,,
4th–7th c. CE,"Mikra, Mihr Yazd","Sassanian, Manichaean",Mithra as savior-angel,Reinterpreted as “Living Spirit” or light-bringer in Manichaean texts,"Kephalaia of the Teacher, Manichaean Psalms (Codex Manichaicus Coloniensis)","Iran, Central Asia","Jesus, Mithra, Mihr Yazd","Radiant spirit, torch, barsom, cosmic judge",Sassanid–Manichaean
4th c. CE,Natalis Invicti (Dec 25),Roman,"Sol Invictus, Christ, Mithras",Shared birthdate/festival for solar deities and Christ,"Calendar of Philocalus (354 CE); Augustine, De Civitate Dei 2.11; Tertullian polemics",Rome,"Sol Invictus, Christ, Mithras","Birth in cave/stable, halo, divine child",Late Roman Empire
4th c. CE,Decline of Mithraism under Christianity,Roman Empire,,Christianization of empire leads to decline and persecution of Mithraic temples and rituals,"Church decrees, destruction of Mithraea, Christian writings (e.g., St. Jerome)",,,,
c. 700 CE,大日如来 (Dainichi Nyorai),"Japanese, Chinese, Sanskrit",Dainichi Nyorai (Vairocana),"""Great Sun Buddha,"" cosmic Buddha, universal light and wisdom","Esoteric Buddhist texts, Tōdai-ji, Shingon iconography","Japan, China","Vairocana, Amida, Maitreya","Sun disk, lotus throne, cosmic mandala",
Medieval period,"مهرگان (Mehregān), یلدا (Yalda)",Persian (Islamic period),Mithra (Mihr),"Festivals marking solar turning points, harvest, light over darkness","Biruni, Al-Athar al-Baqiyah; Zoroastrian calendar texts; folk customs","Iran, Central Asia","Mithra, Sun, Ahura Mazda","Fire altars, feasting, candles, sunrise",Medieval–Modern
19th–20th c. CE,Rediscovery of Mithraism,Europe,,Archaeological and academic resurgence of interest in Mithraism’s origins and connections to earlier Indo-Iranian traditions,"Excavations (e.g., Rome, London, Dura-Europos), works by Franz Cumont, David Ulansey",,,,
19th–20th c. CE,Mithraismus,Western European,Academic Mithraism,Rediscovery of Indo-Iranian roots; influence on modern esotericism,"Franz Cumont, Textes et Monuments; David Ulansey, The Origins of the Mithraic Mysteries",Europe,"Mithra, Logos, Sol","Tauroctony, cosmic cave, zodiac wheel",Modern Scholarship
1925 CE,"Adoption of Zoroastrian month-names; 7th month named ""Mihr""",,,,Reflects Mithra's continued cultural importance in Iran.,,,,Iranian Civil Calendar
20th–21st c. CE,Mitra in Modern Studies,Global,"Comparative deity, cultural archetype",Re-evaluation of Mithra’s role across traditions and symbols,"Mary Boyce, Zoroastrians; Payam Nabarz, The Mysteries of Mithras; Jungian analyses",Global,"Mithra, Christ, Buddha","Archetypes: judge, light-bringer, warrior",Contemporary
20th century,Reassessment of Mithra’s role in Zoroastrianism,,,,Early theories of Zoroaster’s rejection of Mithra are discarded; Mithra seen as major deity.,,,,Modern Scholarship
Ongoing,"Mithra’s legacy in festivals, calendar, and scholarship",,,,"Celebrated in Mehregan, Yalda; subject of continuing study and cultural memory.",,,,Modern Times
Date,Original Form/Name (Transliteration),Language/Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Evidence/Sources,Region,Syncretized / Related Deities / Figures,Iconography / Artistic Motifs,Period
2649–2130 BCE,"Akhet, Benben, Ra, Atum, Khepri",Ancient Egyptian (Old Kingdom),"Sun God (Ra), Pharaoh",Pyramids as solar symbols; king’s soul rises to join the sun; Akhet as the sun’s abode; Benben stone as solar origin; pharaoh as solar being,"Pyramid Texts, tomb reliefs, architecture","Saqqara, Sahara, Egypt","Ra, Atum, Khepri, Osiris (later)","Pyramids, solar disk, Akhet symbol, Benben stone, sun boats",Old Kingdom
2465–2323 BCE,"Sun temples, Ra",Ancient Egyptian (Dynasty 5),"Ra, Pharaoh",Solar cult at its height; kings build sun temples; offerings “solarized” before burial; king’s regnal names linked to Ra,"Sun temple ruins, reliefs","Abusir, Saqqara, Sahara","Ra, Osiris (emerging)","Sun temples, solar altars, solarized offerings, reliefs of king with sun and deities",Dynasty 5
2458–2446 BCE,Sahure,Ancient Egyptian,Pharaoh Sahure,"Triumph over enemies, solar symbolism in temple reliefs",Pyramid complex of Sahure,"Abusir, Saqqara","Ra, deified pharaoh","Reliefs: king, sun disk, offering bearers, solar motifs",Dynasty 5
2353–2323 BCE,"Unis, Pyramid Texts",Ancient Egyptian,"Pharaoh Unis, Osiris","Pyramid Texts focus on Osiris, still reference solar journey",Pyramid Texts,Saqqara,"Osiris, Ra","Pyramid texts, funerary spells, solar and Osirian motifs",Dynasty 5/6
2000–1500 BCE,Saka (Old Iranian),Eastern Iranian,Saka (tribal confederation / ethnonym),"Associated with sky gods, solar deities, warrior cults; possible link to Scythian solar beliefs","Old Persian inscriptions, Herodotus, archaeological finds","Central Asia, Eurasian Steppe","Scythian deities, Iranian Ahuras, Sun gods (Hvare-khshaeta)","Animal style art, warrior motifs, solar symbolism (sun disks)",Early 2nd millennium BCE onward
