Historical Timeline of Witch Hunts and Related Events,,,,,
Year,Event,Location,Key Figures,Literary Works,Additional Context
1590-1592 CE,North Berwick witch trials,Scotland,"King James VI of Scotland (later James I of England), Agnes Sampson, Dr. John Fian",Daemonologie (1597) by King James VI,"Series of witch trials in Scotland triggered by storms that nearly sank King James's ship. King James's personal involvement led to his book Daemonologie, further fueling witch hunts. About 70-200 people were accused and many executed."
1595-1597 CE,Trier witch trials,"Trier, Holy Roman Empire","Archbishop Johann VII von Schönenberg, Peter Binsfeld",Tractatus de Confessionibus Maleficorum et Sagarum by Peter Binsfeld,"One of the largest witch trials in European history. Hundreds were executed, including many wealthy and prominent citizens. Entire villages were nearly depopulated."
1596-1597 CE,Basque witch trials,Northern Spain,Pierre de Lancre,Tableau de l'inconstance des mauvais anges et démons by Pierre de Lancre,"Mass witch hunt in the Basque Country led by the French judge Pierre de Lancre. Approximately 7,000 cases investigated."
1600 CE,Execution of Giordano Bruno,"Rome, Papal States","Giordano Bruno, Pope Clement VIII",Various works by Bruno,"While not strictly a witch trial, Bruno was burned at the stake for heresy. His case exemplifies the period's religious intolerance and persecution of intellectual dissent."
1604 CE,Witchcraft Act,England,King James I,None,"James I's revision of the Elizabethan witchcraft law, making it more severe and explicitly connecting witchcraft with diabolism."
1609-1614 CE,Basque witch trials (Zugarramurdi),Spain,Inquisitor Alonso de Salazar Frías,Instructions by Alonso de Salazar Frías,"Spanish Inquisition investigation of alleged witch gatherings. Notable for Salazar's skeptical approach, which eventually limited Spanish witch hunts."
1612 CE,Pendle witch trials,"Lancashire, England","Roger Nowell (Justice of the Peace), Thomas Potts",The Wonderfull Discoverie of Witches in the Countie of Lancaster by Thomas Potts,"One of England's most famous witch trials, resulting in the execution of 10 people accused of witchcraft. Potts's detailed account became an influential text."
1616-1618 CE,Witch trials in Würzburg,Holy Roman Empire,Prince-Bishop Philipp Adolf von Ehrenberg,Hauber's Bibliotheca Magica (later documentation),"Mass witch hunt resulting in approximately 900 executions, including many children, clergy, and nobles."
1618-1648 CE,Thirty Years' War,Central Europe,Various monarchs and military leaders,None,"Devastating religious war that created economic hardship and social instability, contributing to increased witch-hunting activity in affected regions."
1620 CE,Plymouth Colony settled,"Massachusetts, USA","William Bradford, William Brewster",Of Plymouth Plantation by William Bradford,Founding of the Plymouth Colony by English Separatists; early European settlement in North America. The colony brought European concepts of witchcraft to the New World.
1623-1633 CE,Bamberg witch trials,"Prince-Bishopric of Bamberg, Holy Roman Empire",Prince-Bishop Johann Georg II Fuchs von Dornheim,None,"One of the largest and most notorious witch hunts in Germany with approximately 1,000 executions, including the mayor, Johannes Junius, whose letter to his daughter describing his torture survives."
1626 CE,Salem founded,"Massachusetts, USA",Roger Conant,None,"Establishment of Salem as an English settlement, which would later become infamous for its witch trials. Initially called Naumkeag, it was renamed Salem in 1629."
1628-1631 CE,Würzburg witch trials,"Prince-Bishopric of Würzburg, Holy Roman Empire",Prince-Bishop Philipp Adolf von Ehrenberg,Hauber's Bibliotheca Magica (later documentation),Second wave of trials resulting in approximately 160 more executions.
1631-1632 CE,Loudun possessions,"Loudun, France","Urbain Grandier, Cardinal Richelieu",The Devils of Loudun (1952) by Aldous Huxley,"Mass hysteria and accusations of demonic possession in a Ursuline convent, leading to the trial and execution of priest Urbain Grandier. The case had strong political motivations involving Cardinal Richelieu."
1641 CE,Witchcraft made a felony in Massachusetts,"Massachusetts, USA",Massachusetts Bay Colony leaders,Body of Liberties (legal code),"Legal framework established for prosecuting witchcraft in the American colonies, stating that ""If any man or woman be a WITCH, that is, hath or consulteth with a familiar spirit, they shall be put to death."""
1642-1646 CE,English Civil War,England,"Oliver Cromwell, King Charles I",None,Period of political instability and social upheaval that coincided with increased witch-hunting activity in England.
1644-1647 CE,Matthew Hopkins witch hunts,"East Anglia, England","Matthew Hopkins (self-proclaimed ""Witchfinder General"")",The Discovery of Witches by Matthew Hopkins,Most intense period of witch-hunting in English history. Hopkins and his associates were responsible for the deaths of 300-400 alleged witches in just three years.
1654-1656 CE,Swedish witch hunts begin,Northern Sweden,"Märet Jonsdotter, Johan Rosenhane",Instructions for Judges in Witchcraft Cases by Johan Rosenhane,"Beginning of intensive witch persecution in Sweden that would culminate in the ""Great Noise"" of 1668-1676."
1661-1662 CE,Isobel Gowdie confessions,Scotland,Isobel Gowdie,None,Famous detailed voluntary confessions of witchcraft and devil worship that have influenced modern concepts of witchcraft. Gowdie's fate is unknown.
1668-1676 CE,"The ""Great Noise"" (Stora oväsendet)",Sweden,"Märet Jonsdotter, Gertrud Svensdotter",None,Major witch panic in Sweden resulting in approximately 280 executions and 300 formal accusations. Began with children's testimony and ended when a boy admitted to lying.
1682 CE,Mora witch trial,Sweden,King Charles XI,None,Last major Swedish witch trial resulting in 15 executions before the king ordered a halt to the trials.
1682 CE,End of witch trials in France,France,King Louis XIV,Edict of 1682,"Royal edict decriminalizing witchcraft, though still punishing poisoners and fraudulent fortune-tellers."
1688 CE,"Goodwin children ""afflicted"" in Boston","Boston, USA","Goody Glover, Cotton Mather","Memorable Providences, Relating to Witchcrafts and Possessions by Cotton Mather",Four children exhibited strange behaviors attributed to witchcraft. Irish Catholic woman Goody Glover was executed. Cotton Mather's account of the case helped set the stage for the Salem witch trials.
1691 CE,Death of Elizabeth Parris,"Salem Village, USA",Elizabeth Parris (mother of Betty Parris),None,"Death of Rev. Samuel Parris's wife and mother of Betty Parris, contributing to household tensions that would play a role in the coming Salem witch trials."
1692-1693 CE,Salem witch trials,"Salem, Massachusetts, USA","Samuel Parris, Cotton Mather, Samuel Sewall, William Stoughton, Betty Parris, Abigail Williams, Tituba","The Wonders of the Invisible World by Cotton Mather, More Wonders of the Invisible World by Robert Calef","Most notorious American witch paniOver 200 people were accused, 19 were hanged, 1 was pressed to death, and 5 died in prison. The trials ended when Governor Phips disbanded the special court and later issued pardons."
1695 CE,Publication of More Wonders of the Invisible World,"Boston, USA",Robert Calef,More Wonders of the Invisible World,Critical account of the Salem witch trials that challenged Cotton Mather's defense of the proceedings.
1703 CE,Massachusetts General Court declaration,"Massachusetts, USA",Samuel Sewall,None,Official reversal of the attainders of those condemned during the Salem witch trials. Judge Samuel Sewall publicly apologized for his role in the trials.
1711 CE,Massachusetts Colony compensation,"Massachusetts, USA",Massachusetts Legislature,None,Massachusetts legislature awarded compensation to the survivors and families of victims of the Salem witch trials.
1712-1727 CE,Last witch executions in England,England,"Jane Wenham, Mary Hicks",None,Jane Wenham was convicted of witchcraft in 1712 but pardoned. Mary Hicks and her 9-year-old daughter were reportedly the last people executed for witchcraft in England in 1716.
1727 CE,Last witch trial in Scotland,"Dornoch, Scotland",Janet Horne,None,Janet Horne was the last person legally executed for witchcraft in the British Isles.
1736 CE,Witchcraft Act,Great Britain,Parliament,Witchcraft Act of 1736,Act repealed previous witchcraft statutes and replaced them with penalties for pretending to have magical powers. Effectively ended legal witch prosecutions in Britain.
1755 CE,Anna Maria Schwägelin trial,"Kempten, Holy Roman Empire",Anna Maria Schwägelin,None,Last known legal execution for witchcraft in Germany.
1775 CE,Last European witch execution,"Kempten, Switzerland",Anna Göldi,None,"Often cited as the last execution for witchcraft in Europe, though some scholars dispute this was technically a witchcraft case. Göldi was accused of poisoning and using supernatural means."
1782 CE,Criminal Code of Joseph II,Habsburg Monarchy,Emperor Joseph II,Constitutio Criminalis Josephina,"Removed witchcraft from the list of criminal offenses in the Habsburg territories, part of wider Enlightenment-era legal reforms."
1789-1799 CE,French Revolution,France,Various revolutionary leaders,Declaration of the Rights of Man and of the Citizen,Political revolution that further marginalized belief in witchcraft among the educated classes and eliminated many ecclesiastical courts that had prosecuted witchcraft.
1793-1794 CE,Reign of Terror,France,Maximilien Robespierre,None,"Period of mass executions during the French Revolution, sometimes compared to witch hunts for its targeting of ""enemies of the state."""
1828 CE,Last execution for witchcraft in Spain,"Seville, Spain",Unknown woman,None,A woman was reportedly burned at the stake for witchcraft in Seville. This was one of the last known executions for witchcraft in Western Europe.
1829 CE,Catholic Emancipation Act,United Kingdom,"Daniel O'Connell, Duke of Wellington",Catholic Relief Act 1829,"Act granting Catholic civil rights in the UK, marking a decline in the religious persecution that had often accompanied witch hunts."
1830s CE,Beginning of modern spiritualism,United States,"Fox sisters (Kate, Leah, Maggie)",Various spiritualist publications,"Modern spiritualist movement began, reclaiming some elements of folk beliefs related to communication with spirits."
1862 CE,Last witch trial in Germany,"Wemding, Bavaria",Anonymous woman,None,"Last recorded attempt at a witch trial in Germany, though the accused was not convicted."
1863 CE,Publication of The Witchcraft Delusion in New England,United States,Samuel Drake,The Witchcraft Delusion in New England,Important early historical study of the Salem witch trials.
1875-1947 CE,Life of Aleister Crowley,"England, United States",Aleister Crowley,Various works including Magick in Theory and Practice,Controversial occultist who contributed to modern reinterpretations of witchcraft and magic.
1899 CE,"Publication of Aradia, or the Gospel of the Witches","Italy, United States",Charles Godfrey Leland,"Aradia, or the Gospel of the Witches",Influential text claiming to preserve the religious beliefs of a surviving tradition of witches in Tuscany. Heavily influenced modern Wicca and neopaganism.
1917-1991 CE,Soviet Era,Soviet Union,"Vladimir Lenin, Joseph Stalin",None,"Period marked by political purges and show trials, often compared to witch hunts. During Stalin's Great Purge (1936-1938), over a million people were executed or sent to labor camps."
1921 CE,Publication of The Witch-Cult in Western Europe,United Kingdom,Margaret Murray,The Witch-Cult in Western Europe,"Academic work proposing that European witch trials targeted practitioners of a pre-Christian fertility religion. Though now discredited, Murray's thesis heavily influenced modern Wicca."
1936-1939 CE,Spanish Civil War,Spain,Francisco Franco,None,"Civil war accompanied by ideological purges comparable to witch hunts, resulting in tens of thousands of executions."
1937-1938 CE,Stalin's Great Purge,Soviet Union,Joseph Stalin,None,Mass political repression involving accusations of conspiracy and treason. Often compared to witch hunts due to forced confessions and the targeting of alleged hidden enemies.
1939-1945 CE,World War II and Holocaust,Europe,"Adolf Hitler, Nazi leadership",Mein Kampf,"Nazi persecution of Jews, Roma, homosexuals, and others using rhetoric of contamination and conspiracy similar to witch hunt discourse. The Holocaust resulted in approximately 6 million Jewish deaths and millions of other victims."
1947-1956 CE,McCarthy Era,United States,"Joseph McCarthy, House Un-American Activities Committee",None,"Period of intense fear of communist infiltration, leading to investigations and blacklisting of suspected communists. Commonly referred to as a ""witch hunt"" in modern discourse."
1950 CE,Repeal of the Witchcraft Act in Britain,United Kingdom,British Parliament,Fraudulent Mediums Act 1951,"Final repeal of the 1736 Witchcraft Act, replaced with laws targeting fraudulent claims to magical powers."
1951 CE,Publication of Witchcraft Today,United Kingdom,Gerald Gardner,Witchcraft Today,Book claiming to describe surviving witch traditions that became foundational to modern Wicca and the contemporary witchcraft revival.
1953 CE,"""The Crucible"" opens on Broadway","New York, USA",Arthur Miller,The Crucible,Play using the Salem witch trials as an allegory for McCarthyism. Became one of the most influential artistic interpretations of the witch hunts.
1960s-1970s CE,Growth of modern Wicca and neopaganism,"United States, United Kingdom","Gerald Gardner, Alex Sanders, Starhawk",Various works including The Spiral Dance by Starhawk,"Period of significant growth for modern witchcraft as a religious movement, reclaiming and redefining the term ""witch"" in positive terms."
1970s CE,"""Satanic Panic"" begins",United States,Various evangelical authors,Michelle Remembers by Michelle Smith and Lawrence Pazder,"Beginning of widespread fears about Satanic ritual abuse, often compared to historical witch hunts. Led to numerous false accusations and wrongful convictions."
1980-2025 CE,Modern witch hunts in Sub-Saharan Africa,"Democratic Republic of Congo, South Africa, Tanzania, Kenya, Nigeria, Ghana, Malawi, Central African Republic",Various local leaders,"Academic studies including Witchcraft, Violence, and Democracy in South Africa by Adam Ashforth","Ongoing incidents of witch-hunting in various African countries, resulting in thousands of deaths. Often targets elderly women, widows, and socially marginalized individuals. Complex interaction of traditional beliefs with modern economic and social pressures."
1980-1995 CE,Peak of the Satanic Panic,"United States, United Kingdom, Australia",Various accusers and law enforcement,Satan's Underground by Lauren Stratford,"Moral panic involving accusations of Satanic ritual abuse in day cares and other institutions. Led to high-profile cases like the McMartin Preschool trial, with accusations eventually discredited."
1986 CE,McMartin Preschool trial begins,"California, USA","Peggy McMartin Buckey, Ray Buckey",None,"Longest and most expensive criminal trial in American history at that time, involving accusations of ritual satanic abuse. All defendants were eventually acquitted."
1989 CE,Fall of the Berlin Wall,Germany,Various political leaders,None,"Beginning of the end of communist regimes in Eastern Europe, which had conducted political purges often compared to witch hunts."
1991 CE,End of Apartheid begins,South Africa,"Nelson Mandela, F.W. de Klerk",None,"Transition from apartheid system, which had used accusations of communism and terrorism in ways comparable to witch hunts to suppress opposition."
1992 CE,FBI report on Satanic Ritual Abuse,United States,Kenneth Lanning (FBI),Investigator's Guide to Allegations of Ritual Child Abuse,"Report finding no evidence of organized satanic abuse, helping to debunk the Satanic Panic."
1998-2002 CE,Second Congo War,Democratic Republic of Congo,Various military and political leaders,None,Conflict accompanied by accusations of witchcraft and ritualistic violence.
2004 CE,"Release of ""Witches in Exile"" documentary",Ghana,Allison Berg,Witches in Exile,"Documentary highlighting the plight of women accused of witchcraft in Northern Ghana who live in ""witch camps"" for protection."
2008 CE,Mob burns 11 accused witches,Kenya,Mob perpetrators,None,"Mass killing of elderly people accused of witchcraft in western Kenya, highlighting the ongoing nature of witch persecution."
2009 CE,Child Witchcraft accusations increase,"Nigeria, Democratic Republic of Congo",Various religious leaders,Academic studies including The Invention of Child Witches in the Democratic Republic of Congo by Filip De Boeck,"Growing phenomenon of children being accused of witchcraft, often linked to Pentecostal and revivalist churches."
2013 CE,Witchcraft Act repealed in Swaziland,Eswatini (formerly Swaziland),King Mswati III,None,"Repeal of colonial-era witchcraft law, though belief in witchcraft remains widespread."
2015 CE,UN Human Rights Council Resolution,Global,Various national representatives,Resolution A/HRC/RES/29/8,Resolution condemning violence and discrimination against people accused of witchcraft.
2018 CE,Mob kills woman accused of witchcraft,Papua New Guinea,Village mob,None,"Killing of woman accused of using sorcery in remote village, part of ongoing ""sanguma"" accusations in the country."
2019 CE,Ongoing witch hunts reported,"Nigeria, Tanzania, India, Nepal, Papua New Guinea",Various local actors,Various human rights reports,"Continued reports of witch-hunting violence in multiple countries, with elderly women particularly vulnerable."
2020 CE,COVID-19 related witch accusations,Multiple countries,Various accusers,"Academic studies including COVID-19, Witchcraft Accusations and Health Rights Violations in South-Eastern Nigeria","Pandemic linked to increased witchcraft accusations in some regions, with those accused of causing illness through supernatural means facing violence."
2022 CE,UN Expert Workshop on Witchcraft,Global,Ikponwosa Ero (UN Independent Expert),Report on the Expert Workshop on Witchcraft and Human Rights,International efforts to address ongoing witch hunts and develop practical solutions to protect vulnerable populations.
2023 CE,Anti-witchcraft accusations law,Malawi,Malawian Parliament,Witchcraft Act Amendment,"Strengthened legal protections for those accused of witchcraft, with increased penalties for making false accusations."
