Date,Stage/Variant,Form/Name,Language/Culture,Meaning/Interpretation,Evidence/Sources,Region,Syncretized/Related Deities/Figures
c. 800–600 BCE,Archaic Greek,Apóllōn (Ἀπόλλων),Greek,'Destroyer'/'Purifier' (folk etymology); see Plato's Cratylus 405a,Homeric Hymns; Hesiod's Theogony; Plato's Cratylus,Panhellenic,"Phoebus, Paean (healer)"
c. 750–500 BCE,Archaic Greek — Delphi,Apollo Pythios,Greek,'Pythian Apollo'; slayer of the Python; lord of the Delphic oracle; Pythian Games established 582 BCE,Homeric Hymn to Apollo (300–374); Pindar's Pythian Odes; Delphic inscriptions; Aeschylus (Eumenides),Delphi (Phocis),"Python (slain), Gaia (earlier oracle), Themis"
c. 750–400 BCE,Ionian — Didyma,Apollo Didymaeus,Greek/Ionian,Great oracle at Didyma; healing and prophecy through the Branchidae family of priests,"Didymaion inscriptions; Herodotus I.46, V.36; Strabo XIV.1.5","Didyma (Miletus, Ionia)","Branchidae priests, Leto, Artemis (Ephesus nearby)"
c. 700–300 BCE,Aeolia/Claros,Apollo Clarius,Greek/Aeolian,Oracle at Claros; prophetic vapours; prophecy in verse,Tacitus (Annals II.54); inscriptions at Claros; Iamblichus (De Mysteriis),Claros (near Colophon),"Artemis (shared sanctuary), Manto (daughter of Tiresias)"
c. 700–400 BCE,Cypro-Archaic,Apollo Hylates,Cypriote Greek,'God of the wood',Kourion sanctuary dedications; Cypriot inscriptions,Cyprus,"Reshef (Phoenician), woodland gods"
c. 700–400 BCE,Anatolian/Lycian,Apollo Lykegenes,Greek/Anatolian,'Born in Lycia'; archery; Anatolian birth myth of Leto,Homeric epithets (Iliad IV.101); Leto cults; archaeological evidence in Lycia,Lycia (SW Anatolia),"Leto, local Anatolian gods"
c. 700–400 BCE,Attic,Apollo Lykeios,Greek (Attic),'Wolf Apollo'; patron of youth and civic order; Lyceum in Athens named after him,Aristotle (Politics VII.1335b); Pausanias I.19.3; Lyceum inscriptions,Athens,"Arcadian Pan, civic deities"
c. 700–400 BCE,Cypriot,Apollo Alasiôtas,Greek/Cypriot,'God of Alashiya' (ancient Cyprus),Idalion bilingual dedications; archaeological finds,Cyprus,Local Cypriot gods
c. 700–400 BCE,Aeolian,Apollo Gryneios,Greek/Aeolian,Oracular deity at Gryneion; laurel grove sanctuary,Inscriptions; oracular remains at Gryneion; Pausanias I.21.9,"Gryneion (Aeolis, Asia Minor)",Local oracular deities
c. 700–400 BCE,Arcadian,Apollo Nomios,Greek,'Of the pastures'; shepherd deity; patron of herdsmen,Arcadian cult sites; Pausanias VIII.38.8,Arcadia,"Arcadian pastoral gods, Pan"
c. 700–400 BCE,Dorian,Apollo Carneios,Greek (Dorian),Pastoral and military god; associated with the Carneia festival (Sparta's main festival),Spartan Carneia festival; Pausanias III.13.3–5; archaeological evidence,"Sparta, Dorian Greece",Dorian pastoral gods
c. 700–400 BCE,Troad/Asia Minor,Apollo Smintheus,Greek/Anatolian,'Mouse Apollo'; plague-averting; mice sacred to Apollo in the Troad,Homer (Iliad I.37–39); temple at Chryse; coins; Anatolian cult sites,"Troad, Asia Minor",Anatolian mouse-cult traditions
c. 700–400 BCE,Delphi/Crete,Apollo Delphinios,Greek,"Linked to dolphins, sea, purification; Theseus myth; harbours and navigation",Delphic cult; Cretan inscriptions; Pausanias; Homeric Hymn to Apollo (216–386),"Delphi, Crete, Athens","Sea deities, Poseidon"
c. 700–400 BCE,Hyperborean (mythic),Apollo Hyperboreios,Greek (mythic),"Northern, shamanic, Scythian traits; the sun god's winter retreat to the Hyperboreans",Herodotus IV.32–35; Pindar (Olympian 3; Pythian 10); Hyperborean myth tradition,"North Aegean, Scythia","Shamanic northern deities, Abaris, Aristeas"
c. 700–300 BCE,Archaic/Classical Greek,Apollo Agyieus,Greek,"Protector of roads, doorways, city gates; represented as a conical pillar or baetyl",Aeschylus (Agamemnon 1081); Euripides (Ion 184–218); archaeological pillar dedications,Greece-wide,"Hermes (roads), Hestia (threshold)"
c. 700–300 BCE,Classical Greek,Apollo Alexikakos,Greek,'Averter of evil'; plague-averting; invoked after the Athenian plague (430 BCE); statue by Kalamis/Praxiteles,Pausanias I.3.4; Athenian cult records; Praxiteles' lost statue,Athens,"Asclepius, Paean"
c. 700–300 BCE,Dorian/Elis,Apollo Acesius (Akesios),Greek,'Healer'; healing aspect of Apollo; worshipped at Elis,Pausanias VI.24.6; healing sanctuary inscriptions,"Elis, Delphi","Asclepius (son of Apollo), Paean"
c. 600–550 BCE,Archaic — Oracular tradition,Aristeas of Proconnesus,Greek,Soul-traveller; Apollo's raven manifestation; appeared in multiple places simultaneously; author of Arimaspeia,Herodotus IV.13–15; Maximus of Tyre; Pindar fragment,"Proconnesus, Metapontum, Hyperborea","Apollo (raven), Hyperboreans"
c. 600–400 BCE,Archaic/Classical — Shaman tradition,Abaris the Hyperborean,Greek/Scythian,"Apollo's golden-arrow-riding shaman; healer, purifier, and prophet; travelled the world on Apollo's arrow",Herodotus IV.36; Himerius (Or. 3); Pindar fr. 270 (Bowra),"Scythia, Hyperborea, Greece","Apollo Hyperboreios, shamanic deities"
c. 600–323 BCE,Classical Greek,Phoebus Apollo,Attic Greek,'Radiant'; solar epithet; the canonical classical form,Delphi inscriptions; Pindar; Aeschylus; Euripides; Plato; Sophocles,"Delphi, Athens, Panhellenic","Helios, Mithras"
c. 600–200 BCE,Etruscan,Apulu,Etruscan,Solar-warrior; healing; adopted from Greek Apollo with local Etruscan traits,Etruscan mirrors; temple dedications; archaeological finds at Veii; Veii Apollo statue (c. 510 BCE),Etruria,"Local Etruscan gods, healing deities"
c. 400–100 BCE,Phoenician Cyprus,Apollo Mikal,Greek/Phoenician,"Fusion of Apollo with Reshef Mikal; healing, solar, apotropaic",Kition inscriptions; Hellenistic dedications; Phoenician-Greek syncretism,Phoenician Cyprus,Reshef (Levantine plague god)
c. 5th–3rd c. BCE,Hellenistic Syncretism,Apollo Mikal/Amyklos,Greek/Phoenician,"Fusion of Apollo and Reshef Mikal; healing, solar, apotropaic powers","Greek-Phoenician bilinguals (Kition, Idalion)",Cyprus,"Apollo, Reshef, Amyklos"
c. 4th–1st c. BCE,Greco-Egyptian,Apollo-Ra-Horakhty / Apollo-Horus,Greek/Egyptian,"Sun god, cosmic order; Herodotus identifies Apollo with Horus","Herodotus II.144, 156; Egyptian wall art; syncretic cults; Greco-Egyptian temples",Egypt,"Ra, Horus, Ra-Horakhty, Helios"
c. 323–30 BCE,Hellenistic,Apollo Helios,Greco-Egyptian,Solar syncretism; Apollo fully identified with Helios,Orphic Hymns; Julian's Hymn to Helios; solar iconography,"Egypt, Asia Minor","Sol Invictus, Serapis, Ra-Horakhty"
c. 3rd–1st c. BCE,Proto-Angelic,Mikal/Michael,Jewish/Second Temple,"'Who is like God?'; angelic protector, warrior; etymological link to Reshef Mikal","Book of Daniel (Dan 10:13, 21; 12:1)",Israel/Babylon,"Other archangels (Gabriel, Raphael), Canaanite warrior gods"
c. 200 BCE–100 CE,Apocalyptic Judaism,Michael (Archangel),Jewish/Apocalyptic,"Chief angel, defender of Israel, eschatological warrior",1 Enoch 9–10; Dead Sea Scrolls (1QM); Book of Daniel,Levant,"Gabriel, Raphael, Uriel, sons of God"
c. 200 BCE–200 CE,Gallo-Roman,Apollo Grannus,Gallo-Roman/Celtic,"Healing springs deity; solar, purification; Emperor Caracalla made a pilgrimage to his shrine (213 CE)",Inscriptions at Aquae Granni (Aachen); altar dedications at Grand (Vosges); CIL XIII,"Gaul, Germany, Britain","Celtic Belenus, Sirona (healing goddess), Mars Grannus"
c. 200 BCE–400 CE,Gallo-Roman/Celtic,Celtic Belenus,Celtic/Roman,"'Bright one' or 'brilliant'; solar, healing; linked to Beltane fire festival",Inscriptions across Gaul and Britain; Tertullian (Apol. 24); Ausonius (Comm. Prof. 4),"Gaul, Noricum, Britain","Apollo (Roman identification), Grannus, Borvo"
c. 100 BCE–400 CE,Romano-British/Celtic,Apollo Maponus,Romano-British/Celtic,"'Divine youth' (Maponos = 'great son'); music, prophecy, healing",Inscriptions at Corbridge and Ribchester; Hadrian's Wall dedications; Ravenna Cosmography,Northern Britain,"Mabon ap Modron (Welsh), Celtic youth deities"
433 BCE (temple founded),Roman Republican,Apollo Medicus,Roman,"Healer, plague-averting; first Apollo temple in Rome founded after plague",Livy IV.25.3; Ovid (Fasti); temple records in the Forum Holitorium,Rome,"Etruscan Apulu, Celtic Belenus"
c. 30 BCE–300 CE,Roman Imperial,Apollo,Roman,"Patron of Augustus; imperial symbol; laurel, poetry, sun",Augustus' Actium Monument; Virgil's Aeneid VI; Horace's Carmen Saeculare; Palatine sanctuary,"Rome, Empire-wide","Sol Invictus, Helios"
c. 1st c. BCE–4th c. CE,Roman Empire,Apollo/Sol Invictus,Roman,"Solar deity, cosmic ruler; Aurelian merges Apollo and Sol Invictus (274 CE); December 25 dies natalis Solis",Imperial coinage; Mithraea; Aurelian's solar reforms; December 25 festival records,Empire-wide,"Mithras, Sol Invictus, Helios"
c. 1st–4th c. CE,Roman Empire,Apollo-Mithras,Roman/Indo-Iranian,"Solar, savior, mediator; shared mystery cult features; Nemrut Dağ shows Apollo-Mithras-Hermes handshake",Mithraic iconography; Nemrut Dağ reliefs; Mithraea near Apollo temples,"Asia Minor, Rome","Mithras, Sol Invictus"
c. 2nd–4th c. CE,Roman Empire,Apollo-Serapis,Greco-Egyptian,"Solar, healing, afterlife; Serapis incorporates Apollo's healing and solar roles",Serapis cult; temple dedications; Greco-Egyptian iconography,"Egypt, Rome","Serapis, Osiris, Dionysus"
1st c. CE,Early Christianity,St. Paul (Paul the Apostle),Jewish/Christian,Apostle; debated at Corinth alongside Apollos; Apollo's cult was dominant in Corinth,Letters of Paul (1 Corinthians; Titus); Acts of the Apostles,Eastern Mediterranean,"Apollos, early Christian leaders"
1st c. CE,Early Christianity,Apollos (Ἀπολλώς),Jewish/Christian,Alexandrian evangelist; companion of Paul; name likely derived from Apollo,Acts 18:24–28; 19:1; 1 Cor 1:12; 3:4–6; 16:12; Titus 3:13; Clement of Rome,"Alexandria, Ephesus, Corinth, Crete","Paul, Peter, early Christian communities"
1st c. CE,Early Christianity,Apollyon (Ἀπολλύων),Greek/Christian,'Destroyer'; angel of the abyss; king of locusts; name alludes to Apollo (polemical),Revelation 9:11; Abaddon in Hebrew Bible (Job 26:6; 28:22; Ps. 88:11); Septuagint,Biblical/Apocalyptic,"Abaddon, Satan (some traditions), Apollo (etymology/allusion)"
1st c. CE,Early Christianity,Abaddon (אֲבַדּוֹן),Hebrew/Christian,'Destruction'; abyss; angel of death; equated with Apollyon in Revelation,Hebrew Bible; Septuagint; Revelation 9:11,"Israel, Jewish tradition","Apollyon, angel of the abyss"
1st c. CE,Roman Empire,Apollonius of Tyana,Greek/Roman,Pythagorean wonder-worker; healer; sage; explicitly compared to Christ by Porphyry and Philostratus,"Philostratus, Life of Apollonius of Tyana; inscriptions; finds at Tyana and Ephesus","Tyana (Cappadocia), Ephesus, Rome","Apollo (namesake), Pythagoras, Christ (comparisons)"
4th c. CE,Early Byzantine,St. Michael,Christian (Greek/Latin),"Patron of warriors, protector of the Church; converted Apollo sanctuaries into Michaelion churches",Michaelion church at Sosthenion (near Constantinople); hagiographies; Council of Laodicea (363 CE),"Byzantium, Europe","Christ, St. George, Odin (Germanic parallel)"
c. 4th–7th c. CE,Christianized Empire,St. Michael / Christ as Sol Iustitiae,Byzantine/Christian,"Apollo's solar and healing attributes absorbed into St. Michael (dragon-slayer, radiant healer) and Christ as Sol",Michaelion churches; conversion of Apollo sanctuaries; Christian solar imagery; mosaic iconography,"Byzantium, former Apollo sanctuaries","St. Michael, Christ (solar cross-halo), Apollo"
5th–8th c. CE,Medieval Christianity,St. Michael,"Christian (Latin, Greek)","Patron of warriors, plague-averting, dragon-slayer; Monte Gargano apparition (490 CE)",Monte Gargano shrine (Italy); Mont Saint-Michel (France); Gregory I (Dialogues),"Western Europe, France","St. George, local warrior saints"
6th–12th c. CE,Christian Syncretism,St. George,"Christian (Greek, Latin, Syriac)","Martyr, dragon-slayer, military saint; iconographically inherits Perseus/Bellerophon/Apollo traditions",Passio Georgii; Golden Legend; Byzantine and Crusader iconography,"Middle East, Europe","St. Michael, Perseus, Bellerophon, local heroes"
7th–15th c. CE,Islamic Tradition,Mikail (Michael),Islamic (Arabic),"Angel of mercy, sustenance, rain, intercessor; one of the four archangels in Islam",Qur'an 2:98; Hadith literature; Islamic angelology (Ibn Kathir),"Middle East, Islamic world","Jibril (Gabriel), Israfil, Azrael"
c. 2nd–7th c. CE,"Gandhara, Silk Road",Solar Buddha / Maitreya,Gandharan/Buddhist,"Solar savior; radiant halo; future Buddha; Apollo's iconographic features (knot, draped robe) transmit to Gandharan Buddhas",Gandharan sculpture: Apollo-knot topknot; radiant halos; Buddhist cave art at Kizil and Bamiyan; Silk Road transmission texts,"NW India, Central Asia, China","Maitreya, Vairocana, Amida, Surya"
c. 4th–10th c. CE,East Asia,Vairocana / Amida,Mahayana Buddhist,Cosmic sun Buddha (Vairocana = 'he who makes visible by radiance'); infinite light (Amida/Amitabha),"Buddhist texts; cave art (Kizil, Dunhuang); radiant iconography; ushnisha/topknot","China, Japan, Central Asia","Solar Buddhas, Surya, Apollo (artistic motifs)"
15th c. CE–present,Modern Comparative,Apollo-Bragi,Norse/Modern Comparative,Music and poetry syncretism; Bragi identified as Norse equivalent of Apollo in modern scholarship,Modern comparative mythology; Snorri Sturluson (Prose Edda); poetic sources,Scandinavia (modern analysis),Bragi
15th c. CE–present,Art History,Apollo Belvedere,European (Renaissance),Idealized classical Apollo statue (c. 120–140 CE Roman copy); canonical image of ideal male beauty,"Vatican Museums; Renaissance art history; Winckelmann (Geschichte der Kunst des Alterthums, 1764); iconographic analysis","Italy, Europe","Classical Apollo, solar/ideal beauty archetype"
