Name,Period,Teacher,School,School 2,Notes,Gender
Apollodorus of Athens,2nd century BC,Diogenes of Babylon,Stoic,,,
Apollodorus of Seleucia,2nd century BC,Diogenes of Babylon,Stoic,,,
Apollodorus the Epicurean,2nd century BC,Zeno of Sidon (school),Epicurean,,,
Apollonius Cronus,4th century BC,Eubulides,Megarian,,,
Apollonius of Tyana,1st century AD,Euxenus of Heracleia,Neopythagorean,,,
Apollonius of Tyre,1st century BC,Panaetius,Stoic,,,
Apuleius,c. 125 – c. 180,Gaius the Platonist (attributed),Middle Platonist,Platonic,,
Arcesilaus,c. 316 BC – c. 241 BC,Crantor; Polemon,Middle Academy,Platonic,,
Archedemus of Tarsus,2nd century BC,Diogenes of Babylon,Stoic,,,
Archelaus,5th century BC,Anaxagoras,Pluralist,,,
Archytas,5th / 4th century BC,Philolaus,Pythagorean,,,
Arete of Cyrene,4th century BC,Aristippus (father),Cyrenaic,,Daughter and student of Aristippus; mother and teacher of Aristippus the Younger; wrote 40 books according to Diogenes Laërtius,female
Arignote,6th / 5th century BC,Pythagoras (attributed father or teacher),Pythagorean,,,female
Aristarchus of Samos,4th / 3rd century BC,Strato of Lampsacus (attributed),Academic skeptic,"presented the first known model that placed the Sun at the center of the 
known universe with the Earth revolving around it.","presented the first known model that placed the Sun at the center of the 
known universe with the Earth revolving around it.",
Aristippus,5th / 4th century BC,Socrates; Protagoras (early influence),Cyrenaic,,,
Aristippus the Younger,4th century BC,Arete of Cyrene (mother),Cyrenaic,,,
Aristo of Alexandria,2nd /1st century BC,,Peripatetic,,,
Aristo of Ceos,3rd / 2nd century BC,Lyco of Troas,Peripatetic,,,
Aristo of Chios,4th / 3rd century BC,Zeno of Citium; Polemon,Stoic,,,
Aristoclea,fl. 6th century BC,,,,,
Aristocles of Messene,1st century AD?,,Peripatetic,,,
Aristocreon,3rd / 2nd century BC,Chrysippus (nephew),Stoic,,,
Aristonymus,fl. 4th century BC,Plato,Academy,Platonic,,
Aristotle,4th century BC,Plato,Peripatetic,,founder of Peripatetic school; student of Plato,
Aristotle of Cyrene,4th / 3rd century BC,Aristippus (school),Cyrenaic,,,
Aristotle of Mytilene,2nd century AD,,Peripatetic,,,
Aristoxenus,4th century BC,Aristotle; Xenophilus (Pythagorean),Peripatetic,,,
Arius Didymus,1st century BC,,Stoic,,,
Arrian of Nicomedia,c. 86–160 CE,Epictetus,Stoic,,Stoic philosopher and historian; compiled and edited the Discourses and Enchiridion of Epictetus; also wrote the Anabasis of Alexander,
Asclepiades of Phlius,4th / 3rd century BC,Stilpo; Menedemus,Eretrian,,,
Asclepiades the Cynic,4th century AD,,Cynic,,,
Asclepigenia,fl. 430,Plutarch of Athens (father),Neoplatonist,Platonic,,female
Asclepiodotus of Alexandria,fl. c. 550-600,Proclus Lycaeus,Neoplatonist,Platonic,,
Aspasia of Miletus,c. 470–400 BCE,Unknown,Sophist,,"Intellectual companion of Pericles; ran a school of philosophy and rhetoric in Athens; cited by Plato as Socrates' teacher of rhetoric and erotics (Menexenus, Symposium); first woman associated with Socratic circles",female
Aspasius,2nd century AD,,Peripatetic,,,
Athenaeus of Seleucia,1st century BC,,Peripatetic,,,
Athenodoros Cananites,1st century BC,Posidonius,Stoic,,,
Athenodoros Cordylion,2nd /1st century BC,,Stoic,,,
Athenodorus of Soli,3rd century BC,,Stoic,,,
Attalus,1st century BC / 1st century AD,Athenodoros Cananites (attributed),Stoic,,,
Atticus,fl. c. 175,,Middle Platonist,Platonic,,
Augustine of Hippo,354 – 430 AD,Ambrose of Milan; influenced by Plotinus and Porphyry,Neoplatonist,Platonic,Bishop of Hippo; synthesised Neoplatonism with Christian theology; author of Confessions and The City of God,
Averroes,1126–1198 CE,Ibn Tufayl,Islamic Platonist,Peripatetic,Andalusian-Arab philosopher; full name Ibn Rushd; known in Latin West as 'The Commentator' on Aristotle; his commentaries profoundly shaped Latin Scholasticism; wrote The Incoherence of the Incoherence against Al-Ghazali,
Avicenna,980–1037 CE,Al-Farabi (writings),Islamic Platonist,Peripatetic,Persian polymath; full name Ibn Sina; most influential Islamic philosopher; his Neoplatonist emanation cosmology shaped medieval Islamic and Jewish theology; developed the 'floating man' argument for the self-evident nature of the soul; wrote the Book of Healing and the Canon of Medicine,
Axiothea of Phlius,fl. 4th century BC,Plato,Academy,Platonic,,female
Bardaisan,154–222 CE,,Gnostic,Syriac,"Syriac philosopher, poet, and theologian; founded a dualist school in Edessa; wrote The Book of the Laws of the Countries; synthesised Chaldean astrology, Stoic cosmology, and Christian theology; a key transmitter of Greek philosophy into Syriac culture",
Basilides (Stoic),2nd century BC,Chrysippus,Stoic,,Denied the existence of incorporeal entities,
Basilides of Alexandria,fl. c. 117–138 CE,Matthias the Apostle (claimed),Gnostic,,Alexandrian Gnostic philosopher (distinct from Basilides the Stoic and Basilides the Epicurean); taught under Hadrian and Antoninus Pius; developed one of the first systematic Gnostic cosmologies with 365 heavens and the Abraxas deity; his son Isidore continued his school,
Basilides the Epicurean,3rd / 2nd century BC,Dionysius of Lamptrai,Epicurean,"Succeeded Dionysius of Lamptrai as the head of the Epicurean school at 
Athens","Succeeded Dionysius of Lamptrai as the head of the Epicurean school at 
Athens",
Batis of Lampsacus,3rd century BC,Epicurus (inner circle),Epicurean,,,
Benjamin Whichcote,1609–1683 CE,,Cambridge Platonist,,"English clergyman; considered the founding father of the Cambridge Platonist movement; provost of King's College Cambridge; his Aphorisms crystallised the group's core tenets: reason as the candle of the Lord, moral religion over dogma, latitude and toleration",
Bernard of Chartres,,,Medieval,,,
Berthold of Moosburg,c. 1300–1361 CE,Dietrich of Freiberg; Meister Eckhart,Medieval Platonist,Dominican,Dominican Neoplatonist; wrote the only surviving full medieval commentary on Proclus's Elementatio Theologica,
Bertrand Russell,1872–1970 CE,Alfred North Whitehead,Analytic Platonist,,"British mathematician, logician, and philosopher; co-wrote Principia Mathematica; early Platonist about universals; later moved to neutral monism",
Bessarion,c. 1403–1472 CE,Plethon,Neoplatonist,Byzantine,Byzantine cardinal and Platonic philosopher; student of Plethon; defended Plato against Aristotle in the controversy with George of Trebizond; brought Greek manuscripts to Italy; his library became the foundation of the Biblioteca Marciana in Venice; key figure in transmission of Greek philosophy to the Renaissance,
Bion of Borysthenes,4th / 3rd century BC,Crates of Thebes; Theodorus the Atheist; Theophrastus,Cynic,,"Once was a slave, later to be released",
Blaise Pascal,1623–1662 CE,,Renaissance Platonist,Augustinian,French mathematician and philosopher; Augustinian Christian with Platonic influences; wrote Pensées; developed early probability theory,
Boethius,c. 477–524 AD,influenced by Ammonius Hermiae and Aristotelian commentators,Neoplatonist,Platonic,Roman statesman and philosopher; author of The Consolation of Philosophy; executed under Theodoric,
Boethus of Sidon,1st century BC,Andronicus of Rhodes,Peripatetic,,,
Boethus of Sidon (Stoic),2nd century BC,Diogenes of Babylon,Stoic,,,
Bolus of Mendes,fl. 3rd century BC,,Pythagorean,,,
Bonaventure,1221–1274 CE,Alexander of Hales,Medieval Platonist,Scholastic,Franciscan theologian; synthesised Augustine and Aristotle with Neoplatonic elements; wrote Itinerarium Mentis in Deum; Doctor Seraphicus,
Brontinus,fl. 6th century BC,Pythagoras,Pythagorean,,,
Bryson of Achaea,fl. 330 BC,Stilpo; Clinomachus,Megarian,,,
Calcidius,fl. 4th century CE,,Middle Platonist,,Translated Plato's Timaeus into Latin with commentary; only substantial Latin translation of Plato before the Renaissance,
Calippus of Syracuse,died 351/0 BC,Plato; Eudoxus of Cnidus,Academy,Platonic,Athenian astronomer and mathematician; improved on Eudoxus' planetary model,
Callicles,5th century BCE,,Sophist?,,,
Calliphon,2nd century BC,,Peripatetic,,,
Calliphon of Croton,6th century BC,Pythagoras,Pythagorean,,,
Callistratus,fl. 3rd century AD,,Sophist,,,
Carneades of Carnea,c. 214 BC – 129/8 BC,Hegesinus of Pergamon; Diogenes of Babylon,New Academy,Platonic,Head of the New Academy; famous for arguing both sides of a case in Rome (155 BC),
Carneiscus,c. 300 BC,Epicurus,Epicurean,,,
Cassius Longinus,c. 213–273,Ammonius Saccos; Origen the Pagan,Middle Platonist,Platonic,Third-century rhetorician and philosopher; adviser to Queen Zenobia of Palmyra,
Cebes,c. 430–350 BC,Philolaus; then Socrates,Pythagorean,,,
Celsus,2nd century,Albinus or a Platonist,,,,
Cercidas,3rd century BC,Diogenes of Sinope (Cynic influence),Cynic,,,
Cercops,,Pythagoras,Pythagorean,,,
Chaerephon,,Socrates,Socratic,,,
Chaeron of Pellene,fl. 4th century BC,Plato,Academy,Platonic,Became tyrant of Pellene after studying with Plato,
Chamaeleon,350-275 B.C.,Aristotle (attributed),Peripatetic,,,
Charmadas,164 BC – c. 95 BC,Carneades of Carnea,New Academy,Platonic,Shared leadership of the Academy with Clitomachus and Aeschines around 110 BC,
Chrysanthius of Sardis,fl. 4th century,Aedesius,Neoplatonist,Platonic,Refused Julian's invitation to Antioch; remained in Sardis,
Chrysippus,279-206 B.C.,Cleanthes; Zeno of Citium,Stoic,,"Third head of the Stoic school; prolific systematiser of Stoic logic and ethics; said 'If Chrysippus had not existed, there would be no Stoa'",
Cicero,106–43 BCE,Philo of Larissa; Antiochus of Ascalon; Posidonius,New Academy,Eclectic,"Roman statesman and philosopher; Academic Skeptic; introduced Greek philosophy to Roman audiences; wrote De Natura Deorum, De Officiis, Tusculan Disputations",
Cleanthes,330-230 B.C.,Zeno of Citium,Stoic,,Second head of the Stoic school; author of the Hymn to Zeus; succeeded Zeno as scholarch,
Clearchus of Soli,4th-3rd century B.C. (fl. 320 B.C.),Aristotle,Peripatetic,,,
Cleinias of Tarentum,4th century B.C.,Archytas (attributed),Pythagorean,,,
Clement of Alexandria,c. 150 – c. 215,Pantaenus,Middle Platonist,Platonic,Head of the Catechetical School of Alexandria; synthesised Platonism and Christianity,
Cleomedes,,,Stoic,,,
Cleomenes,,,Cynic,,,
Clinomachus,4th century B.C.,Euclid of Megara,Megarian,,,
Clitomachus,187 BC – 109 BC,Carneades of Carnea,New Academy,Platonic,"Carthaginian-born head of the New Academy; prolific author, none of whose works survive",
Colotes,320-268 B.C.,Epicurus,Epicurean,,,
Coriscus of Scepsis,,,Old Academy,,,
Crantor,born c. 350 BC,Xenocrates of Chalcedon; Polemon,Academy,Platonic,First known commentator on Plato's Timaeus,
Crates of Athens,died 268–265 BC,Polemon,Academy,Platonic,Scholarch of the Old Academy after Polemon,
Crates of Mallus,fl. 2nd century B.C.,,Stoic,,,
Crates of Thebes,,Diogenes of Sinope,Cynic,,,
Cratippus of Pergamon,,,Peripatetic,,,
Cratylus,,Heraclitus,Ephesian,,,
Crescens the Cynic,,,Cynic,,,
Crinis,,Chrysippus (school),Stoic,,,
Crispin Wright,born 1942 CE,,Analytic Platonist,,British philosopher; neo-Fregean Platonist; defends abstractionism about numbers; wrote Frege's Conception of Numbers as Objects,
Cristoforo Landino,1425–1498 CE,Marsilio Ficino,Florentine Academy,,Florentine humanist and Platonist; wrote Disputationes Camaldulenses harmonising Plato with Virgil and Dante; professor at the Studio Fiorentino,
Critias,c. 460–403 BCE,Socrates; Gorgias,Sophist,,Athenian oligarch and writer; one of the Thirty Tyrants; student of Socrates and relative of Plato; wrote tragedies and elegies with philosophical content,
Crito of Athens,c. 469–399 BCE,Socrates,Socratic,,Wealthy friend and devoted disciple of Socrates; offered to finance his escape from prison; Plato's dialogue Crito is named after him,
Critolaus,,,Peripatetic,,,
Cronius,fl. 2nd century A.D.,Numenius of Apamea,Neopythagorean,,,
Damascius,"born c. 458, died after 538",Isidore of Alexandria; Marinus of Neapolis,Neoplatonist,Platonic,Last head of the Platonic Academy before Justinian's closure in 529 AD,
Damis,1st-2nd century A.D.,Apollonius of Tyana,Neopythagorean,,,
Damo,5th century B.C.,Pythagoras (father),Pythagorean,reportedly the daughter of Pythagoras and Theano,reportedly the daughter of Pythagoras and Theano,female
Dardanus of Athens,160-85 B.C.,Panaetius,Stoic,,one of the several leaders of Stoa after the death of Panaetius,
David the Invincible,fl. 6th century CE,Olympiodorus the Younger,Neoplatonist,Armenian,Armenian Neoplatonist; translated Greek philosophical texts into Armenian; wrote Prolegomena to Philosophy; known as 'the Invincible',
Demetrius Lacon,fl. late 2nd century B.C.,Protarchus of Bargylia,Epicurean,,,
Demetrius of Amphipolis,fl. 4th century BC,Plato,Academy,Platonic,,
Demetrius Phalereus,,Theophrastus,Peripatetic,,,
Demetrius the Cynic,,,Cynic,,,
Democrates,,,Pythagorean?,,,
Democritus,,Leucippus,"Presocratic, Atomist",,Co-founder of the atomic theory; held that everything is composed of indivisible atoms in the void,
Demonax,,Agathobulus; then Epictetus (influence),Cynic,,,
Dexippus,fl. 350,Iamblichus Chalcidensis,Neoplatonist,Platonic,,
Diagoras of Melos,,Democritus (influence),Sophist,,Known as 'Diagoras the Atheist'; allegedly denied the existence of the gods,
Dicaearchus,,Aristotle,Peripatetic,,,
Dio Chrysostom,,Musonius Rufus,Sophist,,,
Dio of Alexandria,fl. 1st century BC,Philo of Larissa,New Academy,Platonic,,
Diocles of Cnidus,fl. 3rd or 2nd century BC?,,Middle Academy,Platonic,,
Diodorus Cronus,,Apollonius Cronus,Megarian,,,
Diodorus of Adramyttium,fl. 1st century BC,Philo of Larissa,New Academy,Platonic,,
Diodorus of Aspendus,,,Pythagorean,,,
Diodorus of Tyre,,Critolaus,Peripatetic,,,
Diodotus,,,Stoic,,,
Diogenes of Apollonia,,Anaximenes (influence),Presocratic,,,
Diogenes of Babylon,,Chrysippus,Stoic,,,
Diogenes of Oenoanda,,,Epicurean,,,
Diogenes of Seleucia,,,Epicurean,,,
Diogenes of Sinope,,Antisthenes,Cynic,,,
Diogenes of Tarsus,,,Epicurean,,,
Dionysius of Chalcedon,,Clinomachus,Megarian,,,
Dionysius of Cyrene,,,Stoic,,,
Dionysius of Lamptrai,,Zeno of Sidon,Epicurean,,,
Dionysius the Renegade,,Zeno of Citium; Heraclides Ponticus,Stoic,,abandoned Stoicism for Cyrenaicism,
Dionysodorus,fl. c. 400 BCE,,Sophist,,Itinerant Sophist; brother of Euthydemus; appeared in Plato's Euthydemus as a master of misleading argumentation and word-play,
Diotima of Mantinea,,,,,,female
Diotimus,,,Stoic,,,
Domninus of Larissa,c. 420 – c. 480,Syrianus,Neoplatonist,Platonic,,
Duns Scotus,c. 1266–1308 CE,,Scholastic,,Scottish Franciscan philosopher; known as Doctor Subtilis; developed formal distinction and the univocity of being (ens commune applies to both God and creatures); precursor of Ockham; innovator in epistemology and metaphysics; beatified 1993,
Echecrates,,Philolaus; Eurytus,Pythagorean,,,
Ecphantus,,Hicetas,Pythagorean,,,
Edmund Husserl,1859–1938 CE,Franz Brentano; Carl Stumpf,Continental Platonist,Phenomenologist,German philosopher; founded phenomenology; his theory of ideal meanings and essences has strong Platonic affinities; wrote Logical Investigations and Ideas I,
Edward N. Zalta,born 1952 CE,,Analytic Platonist,,American philosopher; developed object theory to systematise Platonic abstract objects; principal editor of the Stanford Encyclopedia of Philosophy,
Elias of Alexandria,fl. 6th century CE,Olympiodorus the Younger,Neoplatonist,Armenian,Neoplatonist philosopher; probably the same as Elias bar Shinaya of the Armenian tradition; wrote commentaries on Porphyry's Isagoge and Aristotle's Categories; contemporary of Olympiodorus and David the Invincible,
Emanuel Swedenborg,1688–1772 CE,,Modern Platonist,,"Swedish scientist and mystic; claimed direct spiritual visions; wrote Heaven and Hell; his Neoplatonic metaphysics influenced Blake, Kant, and the New Church",
Empedocles,,Pythagoras (tradition); Parmenides (influence),"Presocratic, Pluralist",,,
Epicharmus of Kos,,Pythagoras,Pythagorean,,,
Epictetus,,Musonius Rufus,Stoic,"wrote *The Enchiridion*, a handbook of Stoic ethical advice","wrote *The Enchiridion*, a handbook of Stoic ethical advice",
Epicurus,,Nausiphanes; Pamphilus,Epicurean,"said that the purpose of philosophy was to attain tranquility characterized 
by *ataraxia*","said that the purpose of philosophy was to attain tranquility characterized 
by *ataraxia*",
Erastus of Scepsis,fl. 4th century BC,Plato,Academy,Platonic,,
Eratosthenes of Cyrene,c. 276–194 BCE,Ariston of Chios; Lysanias of Cyrene; Callimachus,Peripatetic,,Polymath; head of the Library of Alexandria; calculated the circumference of the Earth; also studied ethics and cosmology; called 'Beta' (the all-rounder),
Euaeon of Lampsacus,fl. 4th century BC,Plato,Academy,Platonic,,
Eubulides,,Euclid of Megara,Megarian,,,
Euclid of Megara,,Socrates,Megarian,,,
Eudemus of Rhodes,,Aristotle,Peripatetic,,,
Eudorus of Alexandria,,,Peripatetic,,,
Eudoxus of Cnidus,410/408 BC – 355/347 BC,Plato; Archytas of Tarentum,Academy,Platonic,,
Euenus,,,Sophist,,,
Euphantus,,Eubulides,Megarian,,,
Euphraeus,,Plato,,,,
Euphrates,,Musonius Rufus,Stoic,,,
Eurytus,,Philolaus,Pythagorean,,,
Eusebius of Myndus,fl. 4th century,Aedesius,Neoplatonist,Platonic,,
Eustathius of Cappadocia,c. 400,Aedesius; Sosipatra,Neoplatonist,Platonic,,
Euthydemus of Chios,fl. c. 400 BCE,,Sophist,,Itinerant Sophist; brother of Dionysodorus; appeared with his brother in Plato's dialogue Euthydemus; taught eristic argumentation for a fee,
Evander,fl. c. 215 – c. 205,Lacydes of Cyrene,Middle Academy,Platonic,,
Favorinus,,Dio Chrysostom; Plutarch,Academic skeptic,,,
Francesco Patrizi,1529–1597 CE,Marsilio Ficino (writings),Neoplatonist,Renaissance Platonist,Italian philosopher; the most systematic Renaissance Platonist; wrote Nova de Universis Philosophia (A New Universal Philosophy); proposed panpsychism and an infinite universe anticipating Bruno and Spinoza; clashed with Jesuit Aristotelians,
Gaius Marius Victorinus,c. 280–365 CE,,Neoplatonist,Christian,African rhetorician and Neoplatonist philosopher; converted to Christianity c. 355 CE; translated Porphyry and Plotinus into Latin; influenced Augustine,
Gaius the Platonist,fl. 2nd century,,Middle Platonist,Platonic,,
Geminus,,Posidonius,Stoic,,,
Gilbert of Poitiers,,,Medieval,,,
Giordano Bruno,1548–1600 CE,,Renaissance Platonist,Hermetic,"Italian philosopher and Dominican friar; synthesised Neoplatonism, Hermeticism, and Copernican cosmology; burned at the stake by the Inquisition for heresy",
Giovanni Pico della Mirandola,1463–1494 CE,Marsilio Ficino,Florentine Academy,Neoplatonist,"Renaissance polymath; proposed a universal synthesis of Platonism, Aristotelianism, Kabbalah, and Hermeticism; wrote the Oration on the Dignity of Man",
Gorgias,,Empedocles; Tisias,Sophist,,,
Gottlob Frege,1848–1925 CE,,Analytic Platonist,,German logician and philosopher; founded modern mathematical logic and philosophy of language; his Platonism posited abstract objects as real and mind-independent,
Gregory of Nyssa,c. 335–395 CE,Basil of Caesarea (brother),Neoplatonist,Christian,Bishop of Nyssa; one of the Cappadocian Fathers; deeply influenced by Origen and Neoplatonism; wrote Life of Moses and Homilies on the Song of Songs; developed apophatic theology and the concept of epektasis (perpetual spiritual ascent); canonised by both Catholic and Orthodox churches,
Hagnon of Tarsus,fl. 2nd century BC,Carneades of Carnea,New Academy,Platonic,,
Harpocration of Argos,fl. 2nd century CE,Atticus,Middle Platonist,,Student of Atticus; wrote a multi-volume commentary on Plato; known only through citations in later authors; contributed to the debate on the eternity of the world,
Hecataeus of Abdera,,Pyrrho (influence),Pyrrhonist,,,
Hecato of Rhodes,,Panaetius,Stoic,,,
Hegesias of Cyrene,,Aristippus (school),Cyrenaic,,,
Hegesinus of Pergamon,fl. c. 160 BC,Evander,Middle Academy,Platonic,,
Hegias,fl. c. 500,Proclus Lycaeus,Neoplatonist,Platonic,,
Heliodorus of Alexandria,fl. 5th century,Ammonius Hermiae (father),Neoplatonist,Platonic,,
Henry More,1614–1687 CE,,Cambridge Platonist,,English philosopher; Cambridge Platonist; corresponded with Descartes; developed concept of 'Spirit of Nature' as intermediary between God and matter,
Henry of Ghent,c. 1217–1293 CE,,Medieval Platonist,Scholastic,Franciscan-influenced secular theologian at Paris; known as 'Doctor Solemnis'; Augustinian Platonist who opposed strict Aristotelianism,
Heraclides Lembus,,,,,,
Heraclides of Aenus,fl. 4th century,Plato,Academy,Platonic,,
Heraclides Ponticus,387 BC – 312 BC,Plato; Speusippus,Academy,Platonic,,
Heraclitus,,,"Presocratic, Ephesian",,"claimed that ""You cannot step in the same river twice"" and ""All is fire.""",
Heraclius,,,Cynic,,,
Herillus of Carthage,,Zeno of Citium,Stoic,,,
Hermagoras of Amphipolis,,,Stoic,,,
Hermarchus,,Epicurus,Epicurean,,,
Hermias,born c. 410 – died c. 450,Syrianus,Neoplatonist,Platonic,,
Herminus,,,Peripatetic,,,
Hermippus of Smyrna,,,Peripatetic,,,
Hermodorus of Syracuse,fl. 4th century BC,Plato,Academy,Platonic,,
Hermotimus of Clazomenae,,,,,,
Hestiaeus of Perinthus,fl. 4th century BC,Plato,Academy,Platonic,,
Hicetas,,Philolaus (school),Pythagorean,,,
Hierius,fl c. 500,Proclus Lycaeus,Neoplatonist,Platonic,,
Hierocles (Stoic),,,Stoic,,,
Hierocles of Alexandria,fl. c. 430,Plutarch of Athens,Neoplatonist,Platonic,,
Hieronymus of Rhodes,,,Peripatetic,,,
Hildegard of Bingen,1098–1179 CE,Jutta of Sponheim,Mystical,Medieval Platonist,"German Benedictine abbess, mystic, and polymath; wrote Scivias (Know the Ways) recording her visions; Neoplatonic viriditas (greening power) of divine presence in nature; also wrote on medicine, music, cosmology, and natural history; first female Doctor of the Church",female
Himerius,,,Sophist,,,
Hipparchia of Maroneia,,Crates of Thebes (husband and teacher),Cynic,,,female
Hippasus,,Pythagoras,Pythagorean,,,
Hippias,,,Sophist,,,
Hippo,,,Presocratic,,,
Horus,,,Cynic,,,
Hypatia of Alexandria,born 350-370 – 415,Theon of Alexandria (father),Neoplatonist,Platonic,,female
Iamblichus Chalcidensis,c. 245 – c. 325,Anatolius of Laodicea; Porphyry of Tyre,Neoplatonist,Platonic,,
