Order,Location,Scripture References,Activities & Events,Companions,Approx. Date,Duration,Latitude/Longitude
24.0,Philippi (Macedonia),Acts 16:12-40,"Converted Lydia, imprisoned","Silas, Timothy, Luke",50–51 AD,Weeks,"41.0124°N, 24.2860°E"
25.0,"Amphipolis, Apollonia",Acts 17:1,Passed through,"Silas, Timothy",51 AD,Brief,"40.8436°N, 23.8547°E"
26.0,Thessalonica,Acts 17:1-9,"Preached, fled persecution","Silas, Timothy",51 AD,~3 weeks,"40.6401°N, 22.9444°E"
27.0,Berea,Acts 17:10-14,"Preached, Jews examined Scriptures","Silas, Timothy",51 AD,Weeks,"40.5236°N, 22.2034°E"
28.0,Athens,Acts 17:15-34,"Debated philosophers, Areopagus",(Alone),51 AD,Weeks,"37.9838°N, 23.7275°E"
29.0,Corinth,Acts 18:1-18,"Stayed 18 months, wrote letters","Silas, Timothy, Aquila/Priscilla",51–52 AD,~1.5 years,"37.9838°N, 23.7275°E"
30.0,Cenchrea,Acts 18:18,Departure port,"Priscilla, Aquila",52 AD,Brief,"37.8721°N, 23.9766°E"
31.0,Ephesus,Acts 18:19-21,Brief teaching,"Priscilla, Aquila",52 AD,Short,"37.9411°N, 27.3417°E"
32.0,"Caesarea, Jerusalem",Acts 18:22,Visited church,-,52 AD,Brief,"32.5018°N, 34.8917°E"
33.0,Return to Antioch,Acts 18:22,End of journey,-,52 AD,Short,"36.2021°N, 36.1605°E"
3rd Missionary Journey,Acts 18:23–21:17,"Strengthened churches, major stops","Timothy, Erastus, others",53–57 AD,~4 years,Various,
34.0,"Galatia, Phrygia",Acts 18:23,Strengthened disciples,-,53 AD,Months,"~39.0°N, 30.0°E"
35.0,Ephesus,Acts 19:1-41; 20:31,"Taught 2+ years, riots","Timothy, Erastus",54–57 AD,~3 years,"37.9411°N, 27.3417°E"
36.0,Macedonia,Acts 20:1-2,Encouraged churches,"Timothy, Titus",57 AD,Months,"~40.5°N, 22.9°E"
37.0,Greece (Corinth),Acts 20:2-3; Rom 16:1,"Stayed 3 months, wrote Romans","Timothy, others",57 AD,3 months,"37.9838°N, 23.7275°E"
38.0,Philippi,Acts 20:6,"Passover, sailed from here","Luke, others",57 AD,Short,"41.0124°N, 24.2860°E"
39.0,Troas,Acts 20:6-12,Raised Eutychus,"Luke, others",57 AD,1 week,"39.9576°N, 26.2389°E"
40.0,"Assos, Mitylene, Chios, Samos, Trogyllium",Acts 20:13-15,Travel stops,"Luke, others",57 AD,Days,Various
41.0,Miletus,Acts 20:15-38,Farewell to Ephesian elders,-,57 AD,Brief,"37.5305°N, 27.2746°E"
42.0,"Coos, Rhodes, Patara",Acts 21:1-2,Travel stops,"Luke, others",57 AD,Days,Various
43.0,"Tyre, Ptolemais, Caesarea",Acts 21:3-16,"Stayed with disciples, prophecy","Philip, Agabus, others",57 AD,Days–weeks,Various
44.0,Jerusalem (Final Visit),Acts 21:17-26,"Arrested, temple riot","James, elders",57 AD,Weeks,"31.7683°N, 35.2137°E"
Imprisonment & Voyage to Rome,Acts 21:27–28:31,"Trials, shipwreck, Rome","Luke, Aristarchus, others",57–62 AD,~5 years,Various,
45.0,Caesarea Maritima,Acts 23:23–26:32,Imprisoned 2 years,"Felix, Festus, Agrippa",57–59 AD,~2 years,"32.5018°N, 34.8917°E"
46.0,"Sidon, Myra, Cnidus, Crete",Acts 27:3-13,"Voyage to Rome, storms","Julius, Luke, others",59–60 AD,Weeks,Various
47.0,Malta (Shipwreck),Acts 28:1-10,"Miracles, winter stay","Luke, soldiers",60 AD,3 months,"35.8886°N, 14.4477°E"
48.0,"Syracuse, Rhegium, Puteoli",Acts 28:12-13,Travel to Rome,"Luke, others",60–61 AD,Days,Various
49.0,Rome,Acts 28:16-31,"House arrest, preaching","Luke, Jewish leaders",61–63 AD,~2 years,"41.9028°N, 12.4964°E"
Post-Acts (Possible 4th Journey),"Rom 15:24,28; Titus 1:5; 2 Tim 4:6-8","Further travels, tradition","Titus, Luke, others",63–67 AD,Unknown,Various,
50.0,Crete,Titus 1:5,Left Titus to organize church,Titus,63–64 AD,Brief,"35.2401°N, 25.1442°E"
51.0,Spain?,"Rom 15:24,28",Tradition (not in Acts),-,63–66 AD,Unknown,"40.4168°N, -3.7038°E"
52.0,"Macedonia, Asia, Nicopolis",1 Tim 1:3; Titus 3:12,"Further ministry, wintering","Timothy, Titus",63–66 AD,Months,Various
53.0,Rome (Final),2 Tim 4:6-8,"Imprisonment, martyrdom under Nero",Luke,66–67 AD,Months,"41.9028°N, 12.4964°E"
