Islamic and Related Holy Works Comprehensive Index,,,,,,,,,
ID,Title,Category,Status,Traditional Author,Date Written (Approx.),Oldest Manuscript (Approx.),Main Topics/Themes,Religious Traditions,Notes
17.0,Bihar al-Anwar,Hadith Encyclopedia,Authoritative,Muhammad Baqir Majlisi,1698 CE,17th century CE,Comprehensive Shia traditions,Shia Islam,110 volumes of hadith and commentary
18.0,Nahj al-Balagha,Sermons/Letters,Highly Regarded,Compiled by Sharif Razi (Ali's words),1015 CE,11th century CE,"Sermons, letters, sayings of Ali",Shia Islam,Revered collection of Ali ibn Abi Talib's words
19.0,Ihya Ulum al-Din,Theological Work,Influential,Abu Hamid al-Ghazali,1096-1097 CE,12th century CE,"Spirituality, ethics, religious practice","Sunni Islam, Sufism","Revival of Religious Sciences, major Sufi text"
20.0,Risalah al-Qushayriyya,Sufi Manual,Influential,Abu al-Qasim al-Qushayri,1045 CE,11th century CE,"Sufi principles, spiritual states",Sufism,Classic exposition of Sufi doctrine
21.0,Futuh al-Ghayb,Sufi Discourses,Influential,Abdul-Qadir Gilani,12th century CE,13th century CE,"Spiritual advice, mystical insights",Qadiri Sufi Order,Revelations of the Unseen
22.0,Al-Fath al-Rabbani,Sufi Discourses,Influential,Abdul-Qadir Gilani,12th century CE,13th century CE,Sermons on spiritual development,Qadiri Sufi Order,The Sublime Revelation
23.0,Masnavi,Mystical Poetry,Influential,Jalal ad-Din Muhammad Rumi,1258-1273 CE,13th century CE,"Mystical parables, spiritual journey",Sufism,Six books of spiritual couplets
24.0,Diwan-e Shams-e Tabrizi,Mystical Poetry,Influential,Jalal ad-Din Muhammad Rumi,13th century CE,13th century CE,"Divine love, union with God",Sufism,Collection of lyrical poems
25.0,Mantiq ut-Tayr,Mystical Poetry,Influential,Farid ud-Din Attar,1177 CE,12th century CE,"Spiritual journey, search for God",Sufism,"Conference of the Birds, allegory"
26.0,Fusus al-Hikam,Mystical Philosophy,Influential,Ibn Arabi,1229 CE,13th century CE,"Divine attributes, perfect human",Sufism,"Bezels of Wisdom, complex mystical theory"
27.0,Futuhat al-Makkiyya,Mystical Encyclopedia,Influential,Ibn Arabi,1231-1240 CE,13th century CE,Comprehensive mystical knowledge,Sufism,"Meccan Revelations, massive compendium"
28.0,Kashf al-Mahjub,Sufi Manual,Influential,Ali Hujwiri,1079 CE,11th century CE,"Sufi path, stations, states",Sufism,Earliest Persian treatise on Sufism
29.0,Fiqh Akbar,Theological Creed,Influential,Attributed to Abu Hanifa,767 CE,10th century CE,"Islamic beliefs, doctrine",Sunni Islam,Foundation of Sunni creed
30.0,Al-Aqidah al-Tahawiyyah,Theological Creed,Influential,Abu Ja'far al-Tahawi,933 CE,10th century CE,"Islamic creed, beliefs",Sunni Islam,Most widely accepted statement of Sunni creed
31.0,Risala of Imam Shafi'i,Legal Theory,Influential,Muhammad ibn Idris al-Shafi'i,820 CE,9th century CE,Principles of Islamic jurisprudence,Sunni Islam,Foundational text in Islamic legal theory
32.0,Kitab al-Kharaj,Legal/Economic,Influential,Abu Yusuf,798 CE,9th century CE,"Taxation, economic policy",Sunni Islam,Early treatise on Islamic governance
33.0,Al-Muwafaqat,Legal Theory,Influential,Al-Shatibi,1388 CE,14th century CE,Objectives of Islamic law,Sunni Islam,Established Maqasid al-Shariah theory
34.0,Tafsir al-Tabari,Quranic Exegesis,Influential,Ibn Jarir al-Tabari,923 CE,10th century CE,Comprehensive Quranic interpretation,Primarily Sunni Islam,First comprehensive Quranic commentary
35.0,Tafsir Ibn Kathir,Quranic Exegesis,Influential,Ibn Kathir,1373 CE,14th century CE,Traditional narrative interpretation,Primarily Sunni Islam,Popular traditional commentary
36.0,Al-Kashshaf,Quranic Exegesis,Influential,Al-Zamakhshari,1134 CE,12th century CE,"Linguistic, rational interpretation",Mu'tazila/Mainstream,Emphasis on Arabic rhetoric and grammar
37.0,Mafatih al-Ghayb,Quranic Exegesis,Influential,Fakhr al-Din al-Razi,1209 CE,13th century CE,"Philosophical, theological exegesis",Sunni Islam,"Also known as ""The Great Commentary"""
38.0,Sahifah al-Sajjadiyyah,Prayers Collection,Revered,Attributed to Ali ibn Husayn (Zayn al-Abidin),7th century CE,10th century CE,"Supplications, devotional prayers",Shia Islam,"""Psalms of the Household of Muhammad"""
39.0,Al-Sira al-Nabawiyya,Biography,Influential,Ibn Ishaq/Ibn Hisham,833 CE,9th century CE,Prophet Muhammad's life,All Islamic traditions,Earliest surviving comprehensive biography
40.0,Tabaqat al-Kubra,Biographical Work,Historical,Ibn Sa'd,845 CE,9th century CE,Biographies of early Muslims,All Islamic traditions,Important historical source
41.0,Tarikh al-Rusul wa-l-Muluk,Historical Work,Historical,Ibn Jarir al-Tabari,915 CE,10th century CE,Early Islamic history,All Islamic traditions,"""History of Prophets and Kings"""
42.0,Hayy ibn Yaqdhan,Philosophical Tale,Influential,Ibn Tufail,1185 CE,12th century CE,"Self-discovery, natural religion",Islamic philosophy,"""Self-taught Philosopher"" allegorical novel"
43.0,Tahafut al-Falasifa,Philosophical Work,Influential,Abu Hamid al-Ghazali,1095 CE,12th century CE,Critique of Greek philosophy,Islamic philosophy,"""Incoherence of the Philosophers"""
44.0,Tahafut al-Tahafut,Philosophical Work,Influential,Ibn Rushd (Averroes),1180 CE,12th century CE,Defense of philosophy,Islamic philosophy,"""Incoherence of the Incoherence"""
45.0,Fasl al-Maqal,Philosophical Work,Influential,Ibn Rushd (Averroes),1178 CE,12th century CE,Harmony of religion and philosophy,Islamic philosophy,On the compatibility of religion and philosophy
46.0,Kitab al-Shifa,Philosophical Work,Influential,Ibn Sina (Avicenna),1027 CE,11th century CE,Comprehensive philosophy,Islamic philosophy,"""Book of Healing,"" philosophical encyclopedia"
47.0,Muqaddimah,Historical/Sociological,Influential,Ibn Khaldun,1377 CE,14th century CE,"Social science, historiography",Islamic scholarship,Groundbreaking work on history and sociology
48.0,Mishkat al-Masabih,Hadith Collection,Influential,Al-Tabrizi,1340 CE,14th century CE,Refined hadith selection,Primarily Sunni Islam,Revision and expansion of earlier collection
49.0,Riyadh as-Salihin,Hadith Collection,Influential,Al-Nawawi,1270s CE,13th century CE,"Ethics, daily conduct",Primarily Sunni Islam,"""Gardens of the Righteous,"" practical guidance"
50.0,Kitab al-Tawhid,Theological Work,Influential,Muhammad ibn Abd al-Wahhab,1740s CE,18th century CE,"Divine unity, critique of practices",Salafi Islam,Foundational text of Wahhabism
51.0,Hujjat Allah al-Baligha,Theological Work,Influential,Shah Wali Allah,1760 CE,18th century CE,Philosophy of Islamic law,South Asian Islam,"""The Conclusive Argument from God"""
52.0,Mathnawi Ma'nawi,Mystical Poetry,Influential,Jalal ad-Din Muhammad Rumi,1258-1273 CE,13th century CE,"Spiritual journey, divine love",Sufism,"Same as ""Masnavi"" but alternate transliteration"
53.0,Jawahir al-Asrar,Sufi Work,Influential,Nizamuddin Auliya,14th century CE,14th century CE,"Spiritual insights, Sufi practices",Chishti Sufi Order,"""Jewels of Secrets"""
54.0,Gulistan,Ethical Literature,Influential,Saadi Shirazi,1258 CE,13th century CE,"Ethics, wisdom literature",Persian Islam,"""The Rose Garden,"" popular moral tales"
55.0,Bustan,Ethical Literature,Influential,Saadi Shirazi,1257 CE,13th century CE,Ethical teachings in verse,Persian Islam,"""The Orchard,"" companion to Gulistan"
56.0,Kimiya-yi Sa'ādat,Ethical Work,Influential,Abu Hamid al-Ghazali,1105 CE,12th century CE,Practical spirituality,"Sunni Islam, Sufism","""The Alchemy of Happiness"""
57.0,Fawa'id al-Fu'ad,Sufi Discourses,Influential,Amir Hasan Sijzi,1325 CE,14th century CE,Recorded conversations,Chishti Sufi Order,Conversations of Nizamuddin Auliya
58.0,Dala'il al-Khayrat,Prayer Book,Influential,Muhammad ibn Sulayman al-Jazuli,1453 CE,15th century CE,Prayers upon the Prophet,"Sunni Islam, Sufism",Most popular collection of Salawat
59.0,Kitab al-Hikam,Sufi Aphorisms,Influential,Ibn Ata Allah al-Iskandari,13th century CE,13th century CE,"Spiritual wisdom, maxims",Shadhili Sufi Order,"""The Book of Wisdom"""
60.0,Al-Tariqah al-Muhammadiyah,Sufi Manual,Influential,Muhammad ibn Ali al-Sanusi,1837 CE,19th century CE,"Sufi path, reformist views",Sanusi Sufi Order,"""The Muhammadan Way"""
61.0,Mathnawi-i-Naw,Mystical Poetry,Influential,Mir Dard,18th century CE,18th century CE,"Divine love, spirituality",Muhammad Sufi Order,"""New Mathnawi"""
62.0,Lawami,Sufi Commentary,Influential,Abd al-Rahman Jami,1470s CE,15th century CE,Commentary on Ibn Arabi,Naqshbandi Sufi Order,"""Flashes of Light"""
63.0,Nafahat al-Uns,Biographical Work,Influential,Abd al-Rahman Jami,1478 CE,15th century CE,Lives of Sufi saints,Sufism,"""Breaths of Fellowship"""
64.0,Al-Hikam al-Ataiyya,Sufi Aphorisms,Influential,Ibn Ata Allah al-Iskandari,13th century CE,13th century CE,Spiritual wisdom,Shadhili Sufi Order,"Alternate name for ""Kitab al-Hikam"""
65.0,Kashful Mahjoob,Sufi Manual,Influential,Ali Hujwiri,1079 CE,11th century CE,Sufi principles,Sufism,"Alternate transliteration of ""Kashf al-Mahjub"""
66.0,Sirr-e-Akbar,Translation Work,Influential,Dara Shikoh,1657 CE,17th century CE,Persian Upanishad translation,Sufi-Hindu interaction,"""The Great Secret,"" interfaith work"
67.0,Majma-ul-Bahrain,Comparative Religion,Influential,Dara Shikoh,1655 CE,17th century CE,Sufi-Hindu comparative study,Sufi-Hindu interaction,"""The Mingling of Two Oceans"""
68.0,Tuhfat ul-Muwahiddin,Theological Work,Influential,Raja Ram Mohan Roy,1804 CE,19th century CE,"Monotheism, religious reform",Islamic reform/Brahmo Samaj,"""Gift to Monotheists"""
69.0,Asrar at-Tanzil,Quranic Exegesis,Influential,Mirza Mazhar Jan-e-Janan,18th century CE,18th century CE,Mystical interpretation,Naqshbandi Sufi Order,"""Secrets of Revelation"""
70.0,Fayd al-Kashani,Quranic Exegesis,Influential,Muhsin Fayd Kashani,17th century CE,17th century CE,Philosophical commentary,Shia Islam,"Also known as ""Tafsir al-Safi"""
71.0,Jawami al-Kalim,Hadith Collection,Influential,Nawab Siddiq Hasan Khan,19th century CE,19th century CE,Concise prophetic sayings,Ahl-i Hadith movement,"""Comprehensive Words"""
72.0,Tuhfat al-Ahwadhi,Hadith Commentary,Influential,Abd al-Rahman Mubarakpuri,20th century CE,20th century CE,Commentary on Tirmidhi,Sunni Islam,"""The Masterpiece of the Wayfarer"""
73.0,Musannaf of Abd al-Razzaq,Hadith Collection,Historical,Abd al-Razzaq al-San'ani,827 CE,9th century CE,Early hadith compilation,All Islamic traditions,Pre-canonical hadith collection
74.0,Musannaf Ibn Abi Shaybah,Hadith Collection,Historical,Ibn Abi Shaybah,849 CE,9th century CE,Early juristic opinions,All Islamic traditions,Important early source
75.0,Kitab al-Asnam,Historical Work,Historical,Hisham ibn al-Kalbi,819-821 CE,Lost original,Pre-Islamic Arabian idols,Historical scholarship,"""Book of Idols"""
76.0,Asbab al-Nuzul,Quranic Context,Influential,Ali ibn Ahmad al-Wahidi,1075 CE,11th century CE,Contextual revelation causes,Quranic studies,"""Occasions of Revelation"""
77.0,Mushkil al-Athar,Hadith Study,Influential,Abu Ja'far al-Tahawi,933 CE,10th century CE,Reconciling problematic hadiths,Hanafi school,"Also called ""Sharh Ma'ani al-Athar"""
78.0,Rijal al-Kashi,Biographical Work,Influential,Al-Kashshi,10th century CE,10th century CE,Evaluation of hadith narrators,Shia Islam,Important for Shia hadith authentication
79.0,Kitab al-Irshad,Biographical Work,Influential,Al-Mufid,1022 CE,11th century CE,Lives of Twelve Imams,Shia Islam,"""Book of Guidance"""
80.0,Kitab al-Ghayba,Eschatological Work,Influential,Muhammad ibn Ibrahim al-Nu'mani,10th century CE,10th century CE,Occultation of the 12th Imam,Shia Islam,"""Book of Occultation"""
81.0,Sharh Nahj al-Balagha,Commentary,Influential,Ibn Abi al-Hadid,1258 CE,13th century CE,Commentary on Ali's words,Shia/Sunni scholarship,Major commentary on Nahj al-Balagha
82.0,Sahifa Hammam,Hadith Collection,Disputed,Hammam ibn Munabbih,7th century CE,8th century copies,Early hadith compilation,Historical scholarship,One of earliest written hadith collections
83.0,Sahifa al-Ridha,Hadith Collection,Influential,Attributed to Ali al-Ridha,9th century CE,10th century CE,Legal and theological issues,Shia Islam,Collection from 8th Shia Imam
84.0,Secret Book of John,Gnostic Text,Apocryphal,Unknown,2nd century CE,4th century CE,Gnostic creation myth,Historical/Comparative,Islamic-adjacent Gnostic influence
85.0,Gospel of Barnabas,Pseudepigraphical,Disputed,Unknown,14th-16th century CE,16th century CE,Jesus as precursor to Muhammad,Used by some Muslims,Medieval work with Islamic themes
86.0,Epistles of Wisdom,Religious Text,Canonical (Druze),Various Druze authors,1017-1043 CE,11th century CE,"Druze theology, cosmology",Druze,"""Rasa'il al-Hikma,"" Druze sacred texts"
87.0,Kitab al-Azif,Fiction/Folklore,Literary,Abdul Alhazred (fictional),Modern forgery,Modern forgery,Fictional ancient grimoire,None,"Lovecraft's fictional ""Necronomicon"""
88.0,Umm al-Kitab,Gnostic/Esoteric,Sectarian,Unknown,8th century CE,8th century CE,Esoteric cosmology,Early Shia extremist sects,"""Mother of the Book,"" heterodox text"
89.0,Kitab al-Fihrist,Bibliographical,Historical,Ibn al-Nadim,987 CE,10th century CE,Catalog of all known books,Scholarly,"""The Catalog,"" important historical source"
90.0,Ma'alim al-Tanzil,Quranic Exegesis,Influential,Al-Baghawi,1122 CE,12th century CE,Traditional interpretation,Sunni Islam,"""Landmarks of Revelation"""
91.0,Al-Jami li-Ahkam al-Qur'an,Quranic Exegesis,Influential,Al-Qurtubi,1273 CE,13th century CE,Legal interpretation,Sunni Islam,"""Compendium of Legal Rulings of the Quran"""
92.0,Al-Bahr al-Muhit,Quranic Exegesis,Influential,Abu Hayyan al-Gharnati,1344 CE,14th century CE,Linguistic analysis,Sunni Islam,"""The Vast Ocean"""
93.0,Tafsir al-Mizan,Quranic Exegesis,Influential,Allamah Tabataba'i,1973 CE,20th century CE,"Philosophical, social interpretation",Shia Islam,"""The Balance in the Interpretation of the Quran"""
94.0,Jawahir fi Tafsir al-Qur'an,Quranic Exegesis,Influential,Tantawi Jawhari,1940 CE,20th century CE,Scientific interpretation,Modern Islamic thought,"""Jewels in the Interpretation of the Quran"""
95.0,Fi Zilal al-Qur'an,Quranic Exegesis,Influential,Sayyid Qutb,1964 CE,20th century CE,"Social, political interpretation",Islamist thought,"""In the Shade of the Quran"""
96.0,Kitab al-Masahif,Quranic Studies,Historical,Ibn Abi Dawud,928 CE,10th century CE,Early Quranic manuscripts,Scholarly,"""Book of Codices"""
97.0,Al-Muwatta (Shaybani version),Hadith/Fiqh,Historical,Muhammad al-Shaybani,804 CE,9th century CE,Hanafi transmission of Muwatta,Hanafi school,Variant of Imam Malik's work
98.0,Al-Shifa,Biographical Work,Influential,Qadi Iyad,1143 CE,12th century CE,Prophet's characteristics,All Islamic traditions,"""Healing by Recognition of the Rights of the Chosen One"""
99.0,Qisas al-Anbiya,Narrative Work,Popular,Various/Al-Tha'labi,1000-1200 CE,12th century CE,Stories of prophets,Folk Islam,"""Tales of the Prophets"""
100.0,Ta'wil al-Ahadith,Exegetical Work,Esoteric,Ibn 'Arabi,13th century CE,13th century CE,Symbolic interpretation,Sufi esotericism,"""Interpretation of Traditions"""
