Comprehensive Index of Jewish Parables,,,,,,,
The Weeds (Tares),Enemy sows weeds among wheat; both grow together until harvest when they're separated,"Matthew 13:24-30, 36-43",~30,"Coexistence of good and evil, final judgment","Farmer, enemy, harvesters",The Dragnet,Influential in Christian eschatology and patience with evil
The Mustard Seed,Tiny seed grows into large tree; kingdom starts small but grows enormously,Matthew 13:31-32; Mark 4:30-32; Luke 13:18-19,~30,"Growth, humble beginnings, surprising outcomes","Gardener, birds",The Leaven,Core metaphor for Christian missionary expansion
The Leaven,Small amount of yeast works through dough; kingdom's pervasive influence,Matthew 13:33; Luke 13:20-21,~30,"Transformative power, hidden influence",Woman baker,The Mustard Seed,Foundational for understanding cultural influence of faith
The Hidden Treasure,"Man finds treasure in field, sells all to buy field; value of kingdom",Matthew 13:44,~30,"Sacrifice, value recognition, joy",Treasure finder,The Pearl of Great Price,Central to Christian conversion narrative tradition
The Pearl of Great Price,"Merchant finds perfect pearl, sells all to acquire it; supreme value of kingdom",Matthew 13:45-46,~30,"Single-minded pursuit, sacrifice",Merchant,The Hidden Treasure,Influenced Christian spiritual prioritization
The Dragnet,Net catches all kinds of fish; sorting the good from bad at judgment,Matthew 13:47-50,~30,"Final judgment, mixture of believers/nonbelievers","Fishermen, fish",The Weeds,Important in apocalyptic Christian thought
The Growing Seed,Seed grows automatically while farmer sleeps; kingdom's organic growth,Mark 4:26-29,~30,"Divine sovereignty, organic development","Farmer, seed",The Sower,Key to understanding progressive nature of spiritual growth
The Two Debtors,Creditor forgives two debtors different amounts; those forgiven much love much,Luke 7:41-43,~30,"Proportional gratitude, forgiveness","Creditor, two debtors",The Unforgiving Servant,Foundation for Christian understanding of forgiveness and love
The Good Samaritan,Despised Samaritan helps robbery victim after religious leaders pass by,Luke 10:30-37,~30,"Neighborliness, compassion across boundaries","Victim, priest, Levite, Samaritan",None direct,Transformed Western ethics of compassion; entered common vocabulary
The Prodigal Son,"Wayward son wastes inheritance, returns home to father's embrace",Luke 15:11-32,~30,"Divine forgiveness, jealousy, celebration of repentance","Father, prodigal son, elder brother","The Lost Sheep, The Lost Coin",Central to Christian theology of grace and reconciliation
The Lost Sheep,Shepherd leaves 99 sheep to find one lost; joy over finding it,Matthew 18:12-14; Luke 15:3-7,~30,"Divine pursuit, value of individual","Shepherd, sheep","The Lost Coin, The Prodigal Son",Core metaphor for evangelism and pastoral care
The Lost Coin,Woman searches diligently for lost coin; celebrates when found,Luke 15:8-10,~30,"Divine persistence, value of the lost","Woman, neighbors","The Lost Sheep, The Prodigal Son",Important in understanding divine search for humanity
The Unforgiving Servant,Forgiven debtor refuses to forgive smaller debt; punished by master,Matthew 18:23-35,~30,"Reciprocal forgiveness, hypocrisy","King, unforgiving servant, fellow servant",The Two Debtors,Crucial to Christian ethics of forgiveness
The Pharisee and the Tax Collector,Self-righteous prayer vs. humble confession; humility justified,Luke 18:9-14,~30,"Pride vs. humility, self-righteousness","Pharisee, tax collector",None direct,Shaped Christian prayer tradition and approach to confession
The Faithful Servant,Master returns unexpectedly; rewards prepared servant,Matthew 24:45-51; Luke 12:42-48,~30,"Watchfulness, faithfulness, accountability","Master, faithful/unfaithful servants",The Ten Virgins,Important for Christian leadership ethics
The Talents,Master entrusts different amounts to servants; rewards based on stewardship,Matthew 25:14-30,~30,"Stewardship, accountability, using gifts","Master, three servants",The Minas,Central to Christian teaching on gifts and abilities
The Minas (Pounds),Nobleman gives equal amount to servants; different returns,Luke 19:11-27,~30,"Faithful service, return on investment","Nobleman, servants, citizens",The Talents,Important in Christian business ethics
The Unmerciful Manager,Manager praised for shrewdness in handling debts,Luke 16:1-13,~30,"Shrewd use of resources, serving two masters","Rich man, manager, debtors",None direct,Complex parable influential in Christian financial ethics
The Rich Fool,Wealthy man builds bigger barns but dies before enjoying wealth,Luke 12:16-21,~30,"Greed, mortality, spiritual priorities",Rich man,None direct,Core teaching on materialism in Christian tradition
The Workers in the Vineyard,Workers hired at different times receive same pay; God's generosity,Matthew 20:1-16,~30,"Divine generosity, envy, equality","Landowner, workers",None direct,Challenged conventional notions of merit and reward
The Two Sons,"One son says no but obeys, other says yes but disobeys",Matthew 21:28-32,~30,"Actions vs. words, obedience","Father, two sons",None direct,Important in Christian emphasis on authentic faith
The Wicked Tenants,Tenants kill landowner's servants and son; judgment follows,Matthew 21:33-46; Mark 12:1-12; Luke 20:9-19,~30,"Rejection of prophets and Jesus, judgment","Landowner, tenants, son",The Wedding Feast,Key Christological parable in early church
The Friend at Midnight,Persistent friend receives bread at midnight due to persistence,Luke 11:5-8,~30,"Persistence in prayer, divine response","Homeowner, friend",The Persistent Widow,Foundational to Christian prayer theology
The Persistent Widow,Widow's persistence convinces unjust judge; God will respond,Luke 18:1-8,~30,"Persistence in prayer, justice, divine character","Judge, widow",The Friend at Midnight,Influenced Christian approaches to unanswered prayer
The Ten Virgins,"Five prepared with oil for bridegroom's delay, five unprepared",Matthew 25:1-13,~30,"Spiritual readiness, eschatological preparation","Bridegroom, ten virgins",The Faithful Servant,Central to Christian eschatological expectation
The Barren Fig Tree,Gardener pleads for one more year for fruitless tree,Luke 13:6-9,~30,"Divine patience, opportunity for repentance","Vineyard owner, gardener, fig tree",Cursing of the Fig Tree (miracle),Important in understanding divine forbearance
The Rich Man and Lazarus,Poor man in Abraham's bosom after death; rich man in torment,Luke 16:19-31,~30,"Wealth responsibility, eternal consequences, sufficiency of revelation","Rich man, Lazarus, Abraham",None direct,Profoundly influenced Christian views on wealth and afterlife
The Unprofitable Servants,Servants do what's required; no special thanks deserved,Luke 17:7-10,~30,"Duty, appropriate expectations, humility","Master, servants",None direct,Important corrective to transactional view of divine service
New Cloth on Old Garment,New cloth patch shrinks and tears old garment,Matthew 9:16; Mark 2:21; Luke 5:36,~30,"Incompatibility of old/new, transformation",Seamstress (implied),New Wine in Old Wineskins,Important in early church's break with Judaism
New Wine in Old Wineskins,New wine bursts old wineskins; new teachings need new forms,Matthew 9:17; Mark 2:22; Luke 5:37-38,~30,"Accommodation of new realities, transformation",Winemaker (implied),New Cloth on Old Garment,Fundamental in Christian institutional adaptation
The Strong Man,Strong man must be bound before his house can be plundered,Matthew 12:29; Mark 3:27; Luke 11:21-22,~30,"Spiritual warfare, divine power","Strong man, stronger man",None direct,Important in Christian demonology and spiritual warfare
The Wedding Feast,Those invited refuse to come; others from highways invited,Matthew 22:1-14; Luke 14:16-24,~30,"Divine invitation, rejection, inclusion of outsiders","King, son, guests",The Great Banquet,Central to Christian understanding of gospel invitation
The Wise and Foolish Builders,House on rock vs. house on sand; hearing vs. doing,Matthew 7:24-27; Luke 6:47-49,~30,"Applied knowledge, foundation, testing",Two builders,None direct,Foundational metaphor for authentic discipleship
The Unclean Spirit's Return,Evil spirit returns with seven worse spirits,Matthew 12:43-45; Luke 11:24-26,~30,"Spiritual vacuum, regression",Unclean spirit,None direct,Warning against superficial spiritual change
The Creditor and Two Debtors,Creditor forgives both large and small debts,Luke 7:41-43,~30,"Forgiveness, gratitude","Creditor, two debtors",The Unforgiving Servant,Important in Christian understanding of grace
The Speck and the Log,Cannot remove speck from another's eye with log in own,Matthew 7:3-5; Luke 6:41-42,~30,"Hypocrisy, self-examination, judgment",People with eye problems,None direct,Entered common vocabulary as critique of hypocrisy
The Good Samaritan,Despised Samaritan helps robbery victim after religious leaders pass by,Luke 10:30-37,~30,"Compassion, neighbor love across boundaries","Victim, priest, Levite, Samaritan",None direct,Transformed Western ethics of compassion
The Rich Fool,Wealthy man builds bigger barns but dies before enjoying wealth,Luke 12:16-21,~30,"Greed, mortality, spiritual priorities",Rich man,None direct,Core teaching on materialism in Christian tradition
The Barren Fig Tree,Gardener pleads for one more year for fruitless tree,Luke 13:6-9,~30,"Divine patience, opportunity for repentance","Vineyard owner, gardener, fig tree",Cursing of the Fig Tree (miracle),Important for understanding divine forbearance
The Great Banquet,"After invited guests refuse, poor and marginalized are invited",Luke 14:15-24,~30,"Divine invitation, rejection, inclusion of outcasts","Host, invited guests, poor",The Wedding Feast,Key to Christian understanding of inclusive gospel
The Lost Coin,Woman searches diligently for lost coin; celebrates when found,Luke 15:8-10,~30,"Divine persistence, value of the lost","Woman, neighbors","The Lost Sheep, The Prodigal Son",Important female imagery for divine activity
The Prodigal Son,"Wayward son wastes inheritance, returns home to father's embrace",Luke 15:11-32,~30,"Divine forgiveness, jealousy, celebration of repentance","Father, prodigal son, elder brother","The Lost Sheep, The Lost Coin",Central to Christian understanding of grace
The Dishonest Manager,Manager praised for shrewdness in handling debts,Luke 16:1-13,~30,"Shrewd use of resources, serving two masters","Rich man, manager, debtors",None direct,Complex parable with challenging ethical implications
The Rich Man and Lazarus,Poor man in Abraham's bosom after death; rich man in torment,Luke 16:19-31,~30,"Wealth responsibility, eternal consequences","Rich man, Lazarus, Abraham",None direct,Influential in Christian views on wealth and afterlife
The Unprofitable Servants,Servants do what's required; no special thanks deserved,Luke 17:7-10,~30,"Duty, appropriate expectations, humility","Master, servants",None direct,Important corrective to transactional view of service
The Persistent Widow,Widow's persistence convinces unjust judge; God will respond,Luke 18:1-8,~30,"Persistence in prayer, justice, divine character","Judge, widow",The Friend at Midnight,Shaped Christian prayer tradition
The Pharisee and the Tax Collector,Self-righteous prayer vs. humble confession; humility justified,Luke 18:9-14,~30,"Pride vs. humility, self-righteousness","Pharisee, tax collector",None direct,Fundamental to Christian understanding of justification
