Name/Title,Explicitly Named in Qur’an?,Qur’anic Reference(s) / Allusion,Notes on Identification
Iconoclasm,"21:57–58 (Abraham destroys idols), 37:83–98",Strong anti-idolatry stance; Abraham as proto-iconoclast.,
Angelic Hierarchies,"35:1, 66:6, 70:4, 74:31","Angels have ranks and duties (Gabriel, Michael, etc.); not as developed as in later Christian/Jewish texts.",
Covenant/Oath God,"2:40, 2:63, 5:7, 5:12, 33:15",God’s covenants with prophets and believers; emphasis on faithfulness to divine promises.,
Light/Sun God & Justice,"24:35 (“Light Verse”), 91 (The Sun)","God as “Light of the heavens and the earth”; sun as sign, not an object of worship.",
Astrological Structure,"15:16, 37:6–10, 67:5","Stars as adornments, for navigation, and as missiles against devils; astrology rejected as superstition.",
"Mythic Structure: Divine Twins, Sacrifice",5:27–31 (Cain & Abel),"Brothers, sacrifice story; not twins, but parallel to mythic sibling pairs.",
Dragon/Serpent Slayer,"7:107–117, 26:32–45 (Moses’ staff vs. Pharaoh’s magicians)","Moses’ staff becomes a serpent, swallows others; echoes of Near Eastern serpent-slaying myths.",
Birth from the Rock,No direct parallel,Not present in the Qur’an.,
Shared Meal/Banquet,5:112–115 (Table Spread/Ma’idah),Jesus’ disciples request a heavenly table; echoes Last Supper motif8.,
Apotheosis/Ascension,"4:158 (Jesus raised to God), 17:1 (Night Journey of Muhammad)",Jesus’ ascension; Muhammad’s mi‘raj (ascension to heaven)2.,
Cosmic Order & Judgment,"21:16–18, 51:47–49, 99:1–8",Universe created with order; Day of Judgment as cosmic reckoning.,
Solar/Helios References,"18:17–18 (Sun and the Sleepers), 91 (The Sun)","Sun as sign of God’s power, not a deity.",
Light as Divine Manifestation,24:35 (“Light Verse”),God’s light as the ultimate metaphor for divine presence and guidance.,
Jesus and the Twelve Disciples,"3:52, 5:111 (al-Hawariyyun, “the disciples”)","Disciples of Jesus mentioned, but not numbered or named8.",
The Last Supper,5:112–115,"The “Table Spread” episode; echoes Last Supper, but with distinct Islamic framing8.",
Jesus’ Resurrection,4:157–158,Qur’an denies crucifixion and resurrection; affirms Jesus’ ascension to God2.,
Virgin Birth Narrative,"3:45–47, 19:16–22",Mary conceives Jesus as a virgin by God’s command; highly emphasized8.,
Baptism,No direct parallel,"Ritual purity (wudu, ghusl) but not baptism as sacrament.",
Sacrificial Death,37:102–107 (Abraham’s near-sacrifice of son),"Substitutionary sacrifice, but not Jesus’ death; Qur’an denies Jesus’ crucifixion.",
Salvation/Deliverance,"21:69–70 (Abraham saved from fire), 26:65–66 (Moses and Israelites saved)",Deliverance of prophets and believers from peril.,
Three Sisters,No direct parallel,Not present in the Qur’an.,
Serpent Prince,No direct parallel,Not present in the Qur’an.,
Hidden Prince,12 (Joseph’s story),"Joseph hidden, then revealed as ruler in Egypt.",
Baby in Rock/Basket,"20:39–40, 28:7–13 (Moses in the basket)",Moses as infant set afloat and rescued; echoes hidden prince motif.,
Prophet,Arabic Name,Description,Mentioned in Surahs
Adam,آدم (Ādam),First human and prophet created by Allah,"Al-Baqarah, Al-A'raf, etc."
Idris,إدريس (Idrīs),Identified with Enoch in some traditions,"Maryam, Al-Anbiya"
Noah,نوح (Nūḥ),Built the Ark to save believers from the flood,Numerous surahs including Nuh
Hud,هود (Hūd),Sent to the people of 'Ad,"Al-A'raf, Hud, etc."
Salih,صالح (Ṣāliḥ),Sent to the people of Thamud,"Al-A'raf, Hud, etc."
Abraham,إبراهيم (Ibrāhīm),"Patriarch of monotheism, rebuilt the Kaaba",Many surahs including Ibrahim
Lot,لوط (Lūṭ),"Nephew of Abraham, sent to the people of Sodom","Al-A'raf, Hud, etc."
Ishmael,إسماعيل (Ismā'īl),"Son of Abraham, helped build the Kaaba","Al-Baqarah, Ibrahim, etc."
Isaac,إسحاق (Isḥāq),"Son of Abraham, father of Jacob","Al-Baqarah, Al-Imran, etc."
Jacob,يعقوب (Ya'qūb),"Son of Isaac, father of Joseph","Al-Baqarah, Al-Imran, etc."
Joseph,يوسف (Yūsuf),"Son of Jacob, known for his beauty and wisdom",Primarily in Surah Yusuf
Job,أيوب (Ayyūb),Known for his patience through trials,"Al-Anbiya, Sad"
Shu'ayb,شعيب (Shu'ayb),Sent to the people of Madyan,"Al-A'raf, Hud, etc."
Moses,موسى (Mūsā),"Received the Torah, led Israelites from Egypt",Many surahs
Aaron,هارون (Hārūn),"Brother of Moses, helped in his prophethood","Al-A'raf, Ta-Ha, etc."
Dhul-Kifl,ذو الكفل (Dhū al-Kifl),Often identified with Ezekiel,"Al-Anbiya, Sad"
David,داود (Dāwūd),"King of Israel, received the Psalms","Al-Baqarah, Sad, etc."
Solomon,سليمان (Sulaymān),"Son of David, king known for wisdom","Al-Baqarah, Al-Anbiya, etc."
Elias,إلياس (Ilyās),Sent to the people of Ba'albek,As-Saffat
Elisha,اليسع (Al-Yasa'),Successor to Elias,"Al-An'am, Sad"
Jonah,يونس (Yūnus),Swallowed by a whale,"Al-Anbiya, As-Saffat, etc."
Zechariah,زكريا (Zakariyyā),Father of John the Baptist,"Al-Imran, Maryam, etc."
John the Baptist,يحيى (Yaḥyā),"Son of Zechariah, cousin of Jesus","Al-Imran, Maryam, etc."
Jesus,عيسى (Īsā),"Born of virgin Mary, performed miracles",Many surahs
Muhammad,محمد (Muḥammad),Final prophet in Islam,"Muhammad, Al-Fath, etc."
Figure,Arabic Name,Description,Mentioned in Surahs
Mary,مريم (Maryam),"Mother of Jesus, revered virgin","Al-Imran, Maryam, etc."
Luqman,لقمان (Luqmān),Wise man known for his wisdom,Luqman
Dhul-Qarnayn,ذو القرنين (Dhū al-Qarnayn),Righteous ruler who built a barrier,Al-Kahf
Pharaoh,فرعون (Fir'awn),Tyrant who opposed Moses,Many surahs
Haman,هامان (Hāmān),Advisor to Pharaoh,"Al-Qasas, Al-'Ankabut, etc."
Qarun,قارون (Qārūn),Wealthy man who rebelled against Moses,"Al-Qasas, Al-'Ankabut, etc."
Aziz,عزيز (Azīz),Egyptian official who purchased Joseph,Yusuf
Wife of Aziz,إمرأة العزيز (Imra'at al-'Azīz),Attempted to seduce Joseph,Yusuf
Wife of Pharaoh,آسية (Āsiyah),Righteous woman who raised Moses,"Al-Qasas, At-Tahrim"
Zayd ibn Harithah,زيد بن حارثة (Zayd ibn Ḥārithah),Adopted son of Muhammad,Al-Ahzab
Abu Lahab,أبو لهب (Abū Lahab),Uncle and enemy of Muhammad,Al-Masad
Wife of Abu Lahab,أم جميل (Umm Jamīl),Enemy of Muhammad,Al-Masad
People of the Cave,أصحاب الكهف (Aṣḥāb al-Kahf),Sleepers who hid in a cave for years,Al-Kahf
Talut (Saul),طالوت (Ṭālūt),King of Israel,Al-Baqarah
Jalut (Goliath),جالوت (Jālūt),Giant defeated by David,Al-Baqarah
Uzair (Ezra),عزير (Uzayr),Jewish figure raised after 100 years of death,Al-Baqarah
Azar,آزر (Āzar),Father or uncle of Abraham,Al-An'am
War/Conflict,Description,Mentioned in Surahs,
Battle of Badr,First major battle between Muslims and Quraysh,"Al-Anfal, Al-Imran",
Battle of Uhud,Second major battle where Muslims initially retreated,Al-Imran,
Battle of the Trench (Khandaq),Defensive battle where Muslims dug a trench,Al-Ahzab,
Conquest of Mecca,Bloodless conquest of Mecca by Muslims,"Al-Fath, An-Nasr",
Battle of Hunayn,Battle against the tribes of Hawazin and Thaqif,At-Tawbah,
Expedition of Tabuk,Campaign to the north against Byzantine forces,At-Tawbah,
Event,People/Location,Description,Mentioned in Surahs
The Great Flood,People of Noah,Global flood destroying disbelievers,"Hud, Nuh, etc."
Destruction of 'Ad,People of Hud,Destroyed by violent wind for seven nights,"Al-A'raf, Hud, etc."
Destruction of Thamud,People of Salih,Destroyed by earthquake/thunderbolt,"Al-A'raf, Hud, etc."
Destruction of Sodom,People of Lot,Destroyed by rain of stones,"Al-A'raf, Hud, etc."
Destruction of Madyan,People of Shu'ayb,Destroyed by earthquake/thunderbolt,"Al-A'raf, Hud, etc."
Drowning of Pharaoh,Pharaoh and his army,Drowned in the Red Sea,"Al-Baqarah, Yunus, etc."
Event,People Involved,Description,Mentioned in Surahs
Trial of Abraham,"Abraham, Ishmael",Command to sacrifice his son,As-Saffat
Trial of Job,Job,"Tested with loss of wealth, family, health","Al-Anbiya, Sad"
Deception against Joseph,Brothers of Joseph,Threw him in a well and lied to their father,Yusuf
Seduction attempt,Wife of Aziz,Attempted to seduce Joseph,Yusuf
Plot against Moses,Pharaoh,Attempted to kill all male children,Al-Qasas
Deception of Iblis (Satan),"Adam, Eve, Iblis",Temptation to eat from the forbidden tree,"Al-Baqarah, Al-A'raf"
Hypocrites of Medina,Hypocrites,Pretended to be Muslim while plotting against them,"Al-Munafiqun, At-Tawbah"
Treaty violation,Quraysh tribes,Breaking of the Treaty of Hudaybiyyah,At-Tawbah
Event,Description,Mentioned in Surahs,
Creation,"Creation of heavens, earth, and humans",Many surahs,
Fall from Paradise,Adam and Eve's descent to Earth,"Al-Baqarah, Al-A'raf",
Night Journey and Ascension,Prophet Muhammad's journey to Jerusalem and heaven,Al-Isra,
Migration (Hijrah),Migration from Mecca to Medina,"Al-Anfal, At-Tawbah",
Treaty of Hudaybiyyah,Peace treaty between Muslims and Meccans,Al-Fath,
Changing of Qiblah,Direction of prayer changed from Jerusalem to Mecca,Al-Baqarah,
People of the Elephant,Abrahah's attempt to destroy the Kaaba,Al-Fil,
Event/Period,Judaism,Christianity,Islam
Beginning of faith,~1800-1500 BCE (Abraham/Moses),~30-33 CE (Ministry of Jesus),610-632 CE (Muhammad's revelations)
Sacred text formation,Torah (~1200-500 BCE)<br>Talmud (200-500 CE),New Testament (50-100 CE)<br>Canon finalized (~4th century CE),Quran (610-632 CE)<br>Compiled ~650 CE
Major historical periods,Patriarchal Age<br>Egyptian Bondage<br>Exodus & Wilderness<br>Conquest of Canaan<br>Judges Period<br>United Monarchy<br>Divided Kingdom<br>Babylonian Exile<br>Second Temple Period<br>Rabbinic Judaism,Apostolic Age<br>Persecution Period<br>Constantine's Conversion<br>Church Councils<br>Byzantine Era<br>Great Schism<br>Reformation<br>Modern Denominations,Pre-Islamic Period (Jahiliyyah)<br>Muhammad's Prophethood<br>Meccan Period<br>Medinan Period<br>Rightly Guided Caliphs<br>Umayyad Caliphate<br>Abbasid Caliphate<br>Ottoman Empire<br>Modern Nation States
Key prophetic eras,Abraham to Moses<br>Moses to David<br>Major & Minor Prophets<br>End of prophecy with Malachi,Old Testament prophets<br>John the Baptist<br>Jesus as final prophet/Messiah<br>Apostolic succession,Adam to Jesus (recognizes Biblical prophets)<br>Muhammad as final prophet<br>No prophets after Muhammad
Messianic expectations,Still awaiting the Messiah,Messiah came (Jesus)<br>Awaiting Second Coming,Jesus was a prophet but not divine<br>Awaiting Jesus' return & Mahdi
End times,Messianic age<br>Resurrection of dead<br>World to Come,Second Coming of Christ<br>Final Judgment<br>New Heaven & Earth,Signs of the Hour<br>Return of Jesus<br>Appearance of Mahdi<br>Dajjal (Antichrist)<br>Final Judgment
Doctrine,Judaism,Christianity,Islam
God,Monotheistic (Adonai/YHWH)<br>Indivisible unity,"Trinitarian monotheism<br>(Father, Son, Holy Spirit)",Strict monotheism (Allah)<br>Absolute unity (Tawhid)
Status of sacred texts,Torah - Written directly by God<br>Prophetic books - Divine inspiration<br>Oral Law - Authoritative interpretation,Bible divinely inspired<br>Levels of inspiration vary by denomination,Quran - literal word of God<br>Unchanged and perfect<br>Hadith - recorded sayings of Muhammad
Salvation,Through covenant relationship<br>Following commandments<br>Repentance (Teshuvah),Through faith in Jesus Christ<br>Grace and works (varies by denomination),Submission to Allah (Islam)<br>Faith and good deeds<br>Divine mercy
Prophets,Abraham to Malachi<br>Moses as greatest prophet,Old Testament prophets plus Jesus<br>Jesus as divine Son of God,Adam to Muhammad<br>Muhammad as final prophet<br>Jesus as prophet but not divine
Sin concept,Yetzer Hara (evil inclination)<br>No original sin<br>Individual accountability,Original sin from Adam & Eve<br>Sin as separation from God<br>Universal sinfulness,No original sin<br>Human weakness/forgetfulness<br>Individual accountability
Afterlife,Varied beliefs<br>World to Come (Olam Ha-Ba)<br>Resurrection at Messianic age,Heaven and Hell<br>Purgatory (Catholicism)<br>Eternal reward/punishment,Paradise (Jannah) and Hell (Jahannam)<br>Intermediate state (Barzakh)<br>Resurrection on Judgment Day
Angels/Demons,"Angels as messengers<br>Limited demonology<br>Satan as adversary, not fallen angel",Hierarchies of angels<br>Satan as fallen angel<br>Demons as fallen angels,Angels created from light<br>Jinn created from fire<br>Iblis (Satan) as fallen jinn
Messiah,Human descendant of David<br>Political/spiritual leader<br>Not divine,Jesus as divine Messiah<br>Savior of humanity<br>Divine and human nature,Jesus (Isa) was a prophet<br>Will return before Judgment Day<br>Not divine
Aspect,Judaism,Christianity,Islam
Abrahamic lineage,Through Isaac and Jacob,Through Isaac and Jacob,Primarily through Ishmael for Arabs<br>Recognition of Isaac's line
Tribal structure,12 tribes from Jacob's sons,Spiritual Israel includes Gentiles,Arabs trace lineage to Ishmael<br>Tribal identities important historically
Priesthood lineage,Cohenim from Aaron's line<br>Levites as temple servants,Priesthood of all believers<br>Clerical succession (some denominations),No formal priesthood<br>Religious scholars by knowledge not lineage
Matrilineal/Patrilineal,Jewishness passed through mother<br>Tribal affiliation through father,Spiritual inheritance through faith<br>Not biologically determined,Lineage traced through father<br>Tribal identity patrilineal
Jesus's lineage,Not emphasized,From David through Joseph (legal)<br>Mary (some traditions),Through Mary only<br>No divine sonship
Muhammad's lineage,Not applicable,Not applicable,From Abraham through Ishmael<br>Quraysh tribe<br>Hashemite clan
Key ancestral figures,"Abraham, Isaac, Jacob/Israel","Abraham, Isaac, Jacob, David, Jesus","Abraham, Ishmael, Muhammad"
Concept,Judaism,Christianity,Islam
Creation,God created ex nihilo<br>6 days (literal or symbolic)<br>Humanity as stewards,God created ex nihilo<br>6 days (literal or symbolic)<br>Creation through the Word/Logos,Allah created in 6 periods<br>Earth & heavens distinct<br>Throne above the heavens
Structure of cosmos,Heaven and Earth<br>Sheol/underworld<br>God transcends creation,Heaven(s) and Earth<br>Heaven as God's realm<br>Jesus seated at right hand of God,Seven heavens<br>Seven earths<br>Kursi (Footstool) and Arsh (Throne)
Human purpose,Partners with God<br>To observe the commandments<br>Tikkun Olam (repair the world),To glorify God<br>To be conformed to Christ<br>Eternal communion with God,To worship Allah<br>Khalifah (vicegerents)<br>Submit to divine will
Angels' role,Messengers<br>Limited interaction with humans<br>Not objects of worship,Messengers<br>Guardian angels<br>Hierarchies (some traditions),Created from light<br>Record deeds<br>Execute divine commands<br>Gabriel delivered revelation
End of cosmos,Messianic age<br>Renewal of creation<br>World to Come,New Heaven and New Earth<br>Passing away of current creation<br>Eternal Kingdom,Destruction on Judgment Day<br>New creation<br>Eternal Paradise/Hell
Divine interaction,Covenant relationship<br>Providence<br>Limited direct intervention,Incarnation (God became man)<br>Holy Spirit indwelling<br>Providence,No incarnation<br>Signs (ayat)<br>Guidance through revelation
Supernatural beings,Angels<br>Limited demonology,Angels<br>Demons<br>Satan as fallen angel,Angels<br>Jinn (good and evil)<br>Shayateen (devils)
System,Judaism,Christianity,Islam
Primary law source,Torah (Written Law)<br>Talmud (Oral Law)<br>Rabbinic responsa,Bible<br>Church tradition (varies)<br>Natural law,Quran<br>Sunnah (Hadith)<br>Scholarly consensus (Ijma)<br>Analogical reasoning (Qiyas)
Legal approach,Halakhah (Jewish Law)<br>Mitzvot (613 commandments)<br>Rabbinic interpretation,Varies by denomination<br>Moral law vs. ceremonial law<br>New Covenant principles,Sharia (Islamic Law)<br>Fiqh (jurisprudence)<br>Multiple legal schools (madhabs)
Ritual purity,Kosher dietary laws<br>Family purity laws<br>Separation of meat/dairy,Generally abandoned ritual purity<br>Some denominations maintain some practices,Halal dietary laws<br>Ritual washing (wudu)<br>Clean/unclean distinction
Worship practices,Prayers 3 times daily<br>Synagogue services<br>Holiday observances,Church services<br>Sacraments<br>Holiday observances,Prayers 5 times daily<br>Friday congregation (Jumu'ah)<br>Pilgrimage (Hajj)
Religious leadership,Rabbis as teachers<br>No centralized authority<br>Denominational structures,Priests/ministers/pastors<br>Hierarchical (many denominations)<br>Papal authority (Catholic),Imams as prayer leaders<br>Scholars (ulama)<br>No formal clergy or priesthood
Conversion process,Difficult conversion process<br>Discouragement of proselytizing<br>Born Jews automatically part of covenant,Baptism<br>Profession of faith<br>Active mission and evangelism,Shahada (declaration of faith)<br>Simple conversion process<br>Active dawah (invitation to Islam)
Calendar & holy days,"Lunar-solar calendar<br>Sabbath (weekly)<br>Major festivals (Passover, etc.)","Solar calendar<br>Sunday worship<br>Christmas, Easter, etc.","Lunar calendar (Hijri)<br>Friday congregation<br>Eid al-Fitr, Eid al-Adha"
Dietary restrictions,"Kosher laws<br>No pork, shellfish<br>Separation of meat and dairy",Few or no restrictions (most denominations)<br>Some maintain Old Testament restrictions,"Halal requirements<br>No pork<br>No blood, carrion<br>No alcohol"
Marriage & divorce,Marriage as contract<br>Divorce permitted<br>Ketubah (marriage contract),"Marriage as sacrament (many denominations)<br>Limited divorce views<br>One man, one woman",Marriage as contract<br>Divorce permitted but discouraged<br>Polygyny allowed (up to 4 wives)
Gender roles,Varies by denomination<br>Traditional distinct roles<br>Liberal equality,Varies by denomination<br>Traditional headship<br>Progressive equality,Complementary roles<br>Distinct responsibilities<br>Equal spiritual worth
Practice,Judaism,Christianity,Islam
Core obligations,613 Mitzvot (commandments)<br>Study of Torah<br>Acts of loving kindness,Great Commandment (Love God/neighbor)<br>Great Commission<br>Varies by denomination,Five Pillars:<br>- Shahada (declaration)<br>- Salat (prayer)<br>- Zakat (charity)<br>- Sawm (fasting)<br>- Hajj (pilgrimage)
Prayer,Shema morning and evening<br>Amidah (3 times daily)<br>Blessings throughout day,Lord's Prayer<br>Various formal/informal prayers<br>Liturgy (some denominations),Salat 5 times daily<br>Fixed positions and recitations<br>Du'a (supplication)
Holy days,"Shabbat (weekly)<br>Rosh Hashanah/Yom Kippur<br>Passover, Shavuot, Sukkot<br>Hanukkah, Purim","Sunday worship<br>Easter, Christmas<br>Holy Week<br>Saints' days (some traditions)",Friday prayer (Jumu'ah)<br>Eid al-Fitr<br>Eid al-Adha<br>Ramadan
Lifecycle events,Brit milah (circumcision)<br>Bar/Bat Mitzvah<br>Wedding<br>Funeral practices,Baptism<br>Confirmation/First Communion<br>Wedding<br>Funeral practices,Aqiqah (birth celebration)<br>Circumcision<br>Nikah (marriage)<br>Janazah (funeral)
Fasting,Yom Kippur<br>Other minor fast days<br>Dawn to nightfall,Lent (40 days)<br>Various practices<br>Not universally observed,Ramadan (month-long)<br>Dawn to sunset<br>Optional fasts throughout year
Pilgrimage,Temple in ancient times<br>No current obligation<br>Cultural visits to Jerusalem,"Pilgrimage sites (Jerusalem, Rome)<br>Not obligatory",Hajj to Mecca (once in lifetime)<br>Umrah (lesser pilgrimage)<br>Obligatory if able
Charity,Tzedakah (righteousness)<br>Obligation to give<br>Traditionally 10%,Tithing (10% traditional)<br>Almsgiving<br>Varies by denomination,Zakat (2.5% of wealth)<br>Obligatory charity<br>Sadaqah (voluntary charity)
Scripture study,Torah study daily<br>Communal reading on Sabbath<br>Lifelong obligation,Bible reading<br>Varies by denomination,Quran recitation<br>Memorization encouraged<br>Study of commentary
Aspect,Judaism,Christianity,Islam
Identity,Jewish teacher/false prophet<br>Not the Messiah<br>Human only,Son of God<br>Second person of Trinity<br>Messiah/Christ<br>Fully divine and human,"Prophet and Messenger<br>Born of virgin Mary<br>Human only, not divine<br>Called al-Masih (Messiah)"
Birth,Normal birth (if historical)<br>Not virgin birth,Virgin birth through Holy Spirit<br>Incarnation of God's Son,Virgin birth (miraculous)<br>Created like Adam by God's word
Ministry,Not recognized officially,"Teaching, miracles, calling disciples<br>Fulfilling Old Testament law/prophecy",Teaching pure monotheism<br>Given the Injil (Gospel)<br>Performed miracles by Allah's permission
Death,"If historical, died by Roman crucifixion",Died by crucifixion<br>Atoning sacrifice for sins,Did not die on cross<br>Made to appear so<br>Raised to heaven alive
Resurrection,Did not occur,Rose on third day<br>Appeared to disciples<br>Central to faith,"No death, no resurrection<br>Will return at end times"
Current status,Deceased (if historical),Ascended to heaven<br>Seated at right hand of God<br>Active Head of Church,Raised to heaven<br>Will return before Judgment Day
Return,Not applicable,Will return in Second Coming<br>Final judgment,Will return to earth<br>Kill Dajjal (Antichrist)<br>Rule according to Islam
Teachings status,Not authoritative if contradicts Torah,Authoritative<br>New Covenant teachings,Original teachings were true<br>Later corrupted by followers
Aspect,Judaism,Christianity,Islam
Primary scriptures,Tanakh:<br>- Torah (Law)<br>- Nevi'im (Prophets)<br>- Ketuvim (Writings),Bible:<br>- Old Testament<br>- New Testament,Quran
Secondary texts,Talmud (Mishnah & Gemara)<br>Midrash<br>Responsa literature,Church fathers<br>Councils<br>Varies by denomination,Hadith (sayings of Muhammad)<br>Sirah (biography)<br>Tafsir (commentary)
Text formation,Written over ~1000 years<br>Canon closed ~400-500 CE,New Testament written 50-100 CE<br>Canon finalized ~4th century,Revealed 610-632 CE<br>Compiled ~650 CE
Interpretation approach,Rabbinic interpretation<br>Multiple levels of meaning<br>Ongoing legal interpretation,"Various hermeneutics<br>Literal, allegorical, typological<br>Varies by denomination",Literal where possible<br>Scholar consensus important<br>Classical tafsir methodologies
Languages,"Hebrew, some Aramaic","Hebrew, Greek, Aramaic",Classical Arabic only
Preservation view,Human transmission with careful copying,Divine inspiration with human elements<br>Varies by denomination,Perfect preservation<br>Unchanged since revelation<br>Protected by Allah
Authority structure,Decentralized<br>Rabbinic consensus<br>Community traditions,Varies widely:<br>- Papal/Episcopal (Catholic/Orthodox)<br>- Congregational<br>- Individual interpretation,Scholarly consensus (ijma)<br>Legal schools (madhabs)<br>No formal clergy
Concept,Judaism,Christianity,Islam
Covenant,Multiple covenants:<br>- Noah<br>- Abraham<br>- Moses (primary)<br>- David,Old and New Covenants<br>New fulfills/replaces Old<br>Through Christ's blood,Multiple covenants with prophets<br>Muhammad brings final covenant
Chosenness,Jews as chosen people<br>For service and witness<br>Eternal covenant,Church as new Israel (many views)<br>Chosen in Christ,"Ummah (Muslim community)<br>""Best community brought forth"""
Faith vs. Works,Both important<br>Action emphasized<br>Covenant faithfulness,Varies by denomination:<br>- Faith alone (Protestant)<br>- Faith and works (Catholic/Orthodox),Faith and works both required<br>Intention (niyyah) crucial
