Biblical Texts Comprehensive Index,,,,,,,,,
ID,Title,Category,Canonical Status,Traditional Author,Date Written (Approx.),Oldest Manuscript (Approx.),Main Topics/Themes,Religious Traditions,Notes
70.0,2 Maccabees,Deuterocanonical,Deuterocanonical,Unknown,100 BCE,100 CE,"Martyrdom, resurrection","Catholic, Orthodox","Historical, theological"
71.0,Wisdom of Solomon,Deuterocanonical,Deuterocanonical,Unknown,100-50 BCE,100 CE,"Wisdom, immortality","Catholic, Orthodox",Wisdom literature
72.0,Sirach (Ecclesiasticus),Deuterocanonical,Deuterocanonical,Jesus ben Sira,180 BCE,150 BCE (DSS),"Practical wisdom, ethics","Catholic, Orthodox",Wisdom literature
73.0,Baruch,Deuterocanonical,Deuterocanonical,Baruch (disputed),200-100 BCE,100 CE,"Exile, repentance","Catholic, Orthodox",Prophetic
74.0,Letter of Jeremiah,Deuterocanonical,Deuterocanonical,Unknown,300-100 BCE,100 CE,Idolatry,"Catholic, Orthodox",Often part of Baruch
75.0,Additions to Daniel,Deuterocanonical,Deuterocanonical,Unknown,200-100 BCE,100 CE,Faithfulness under persecution,"Catholic, Orthodox","Includes Prayer of Azariah, Susanna, Bel and the Dragon"
76.0,Additions to Esther,Deuterocanonical,Deuterocanonical,Unknown,150-100 BCE,100 CE,Divine providence,"Catholic, Orthodox",Religious elements added to Esther
77.0,Prayer of Manasseh,Deuterocanonical,Deuterocanonical,Unknown,200-100 BCE,100 CE,"Repentance, mercy","Orthodox, some Catholic",Penitential prayer
78.0,1 Enoch,Pseudepigrapha,Non-canonical,Unknown,300-100 BCE,200 BCE (DSS),"Angels, apocalyptic visions",Ethiopian Orthodox,Jewish apocalyptic
79.0,Jubilees,Pseudepigrapha,Non-canonical,Unknown,160-150 BCE,150-100 BCE (DSS),"Rewritten Bible, calendar",Ethiopian Orthodox,Jewish reinterpretation
80.0,Testament of the Twelve Patriarchs,Pseudepigrapha,Non-canonical,Unknown,200 BCE-200 CE,900 CE,"Ethics, messianism",None,Jewish ethical teaching
81.0,Psalms of Solomon,Pseudepigrapha,Non-canonical,Unknown,63-45 BCE,900 CE,"Messiah, righteousness",None,Jewish psalms
82.0,4 Ezra (2 Esdras),Pseudepigrapha,Non-canonical,Unknown,70-100 CE,800 CE,Apocalyptic visions,Appendix in some Bibles,Jewish apocalyptic
83.0,2 Baruch,Pseudepigrapha,Non-canonical,Unknown,100 CE,600 CE,"Apocalyptic visions, messianic hope",None,Jewish apocalyptic
84.0,3 Baruch,Pseudepigrapha,Non-canonical,Unknown,100-300 CE,1100 CE,"Cosmology, afterlife",None,Jewish-Christian apocalyptic
85.0,Gospel of Thomas,Pseudepigrapha,Non-canonical,Unknown,100-150 CE,340 CE (Nag Hammadi),Sayings of Jesus,None,Gnostic gospel
86.0,Gospel of Peter,Pseudepigrapha,Non-canonical,Unknown,100-150 CE,800 CE,Passion narrative,None,Apocryphal gospel
87.0,Gospel of Mary,Pseudepigrapha,Non-canonical,Unknown,120-180 CE,500 CE,Jesus' teachings to Mary,None,Gnostic gospel
88.0,Infancy Gospel of James,Pseudepigrapha,Non-canonical,Unknown,150 CE,400 CE,"Mary's life, Jesus' birth",None,Apocryphal gospel
89.0,Infancy Gospel of Thomas,Pseudepigrapha,Non-canonical,Unknown,150-200 CE,400 CE,Jesus' childhood miracles,None,Apocryphal gospel
90.0,Acts of Paul,Pseudepigrapha,Non-canonical,Unknown,160-180 CE,300 CE,Paul's adventures,None,Apocryphal acts
91.0,Acts of Peter,Pseudepigrapha,Non-canonical,Unknown,150-200 CE,300 CE,"Peter's miracles, martyrdom",None,Apocryphal acts
92.0,Acts of John,Pseudepigrapha,Non-canonical,Unknown,150-200 CE,300 CE,John's miracles,None,Apocryphal acts
93.0,Acts of Thomas,Pseudepigrapha,Non-canonical,Unknown,200-225 CE,300 CE,Thomas in India,None,Apocryphal acts
94.0,Shepherd of Hermas,Apocrypha,Non-canonical,Hermas,100-150 CE,200 CE,"Visions, repentance",None,Early Christian apocalyptic
95.0,Didache,Apocrypha,Non-canonical,Unknown,50-120 CE,1056 CE,"Church order, ethics",None,Early Christian manual
96.0,1 Clement,Pseudepigrapha,Non-canonical,Clement of Rome,95-96 CE,400 CE,"Church unity, obedience",None,Apostolic Father
97.0,Epistle of Barnabas,Apocrypha,Non-canonical,Unknown,70-132 CE,300 CE,Allegorical interpretation,None,Apostolic Father
98.0,Apocalypse of Peter,Pseudepigrapha,Non-canonical,Unknown,100-150 CE,700 CE,"Afterlife, punishment, reward",None,Christian apocalyptic
99.0,Gospel of the Egyptians,Apocrypha,Non-canonical,Unknown,150 CE,Fragmentary,Asceticism,None,Lost gospel
100.0,Apocalypse of Paul,Apocrypha,Non-canonical,Unknown,380-400 CE,500 CE,Heavenly journey,None,Christian apocalyptic
101.0,Book of Adam,Pseudepigrapha,Non-canonical,Unknown,100-400 CE,900 CE,Adam's life after Eden,None,"Also known as ""Testament of Adam"" in some traditions"
102.0,Book of Lamech,Pseudepigrapha,Non-canonical,Unknown,Unknown,Lost,Ancestral narratives,None,Mentioned in some lists but lost
103.0,Eldad and Modad,Pseudepigrapha,Non-canonical,Unknown,Unknown,Fragmentary,Prophecy,None,Mentioned in Numbers 11:26-29
104.0,Assumption of Moses,Pseudepigrapha,Non-canonical,Unknown,1st century CE,Fragmentary,"Moses' death, succession",None,Different from Testament of Moses
105.0,Ascension of Isaiah,Pseudepigrapha,Non-canonical,Unknown,100-300 CE,500 CE,"Isaiah's heavenly journey, martyrdom",None,Jewish-Christian apocalyptic
106.0,Apocalypse of Zechariah,Pseudepigrapha,Non-canonical,Unknown,Unknown,Lost,Apocalyptic visions,None,Different from canonical Zechariah
107.0,Apocalyptic Ezra,Pseudepigrapha,Non-canonical,Unknown,Unknown,Lost,Apocalyptic visions,None,Possibly refers to 4 Ezra/2 Esdras
108.0,History of James,Pseudepigrapha,Non-canonical,Unknown,200-300 CE,Fragmentary,"James' life, ministry",None,Different from Infancy Gospel of James
109.0,Itinerary and Teaching of the Apostles,Pseudepigrapha,Non-canonical,Unknown,100-300 CE,Lost,"Apostolic travels, teachings",None,May refer to a collection of apostolic teachings
110.0,2 Clement,Pseudepigrapha,Non-canonical,Unknown (not Clement),140-160 CE,1056 CE,"Christian living, judgment",None,Early Christian homily
111.0,Didascalia of Clement,Pseudepigrapha,Non-canonical,Unknown (not Clement),200-300 CE,Fragmentary,Church order,None,Church instructions attributed to Clement
112.0,Didascalia of Ignatius,Pseudepigrapha,Non-canonical,Unknown (not Ignatius),200-300 CE,Fragmentary,Church order,None,Church instructions attributed to Ignatius
113.0,Didascalia of Polycarp,Pseudepigrapha,Non-canonical,Unknown (not Polycarp),200-300 CE,Fragmentary,Church order,None,Church instructions attributed to Polycarp
114.0,Gospel of Barnabas,Pseudepigrapha,Non-canonical,Unknown (not Barnabas),14th-16th century CE,16th century,Islamic view of Jesus,None,Medieval composition with Islamic themes
115.0,Acts of Andrew,Pseudepigrapha,Non-canonical,Unknown,150-200 CE,300 CE,Andrew's missionary journeys,None,Apocryphal acts
116.0,Acts of Andrew and Matthias,Apocrypha,Non-canonical,Unknown,200-300 CE,400 CE,Andrew and Matthias in Anthropophagi,None,Apocryphal acts
117.0,Acts of Barnabas,Pseudepigrapha,Non-canonical,Unknown,300-500 CE,500 CE,Barnabas in Cyprus,None,Apocryphal acts
118.0,Acts of Bartholomew,Pseudepigrapha,Non-canonical,Unknown,300-500 CE,500 CE,Bartholomew's mission,None,Apocryphal acts
119.0,Acts of Matthias,Pseudepigrapha,Non-canonical,Unknown,300-500 CE,500 CE,Matthias' ministry,None,Apocryphal acts
120.0,Acts of Philip,Pseudepigrapha,Non-canonical,Unknown,300-400 CE,500 CE,Philip's missionary activities,None,Apocryphal acts
121.0,Acts of Thaddaeus,Pseudepigrapha,Non-canonical,Unknown,200-400 CE,500 CE,Thaddaeus and King Abgar,None,Apocryphal acts
122.0,Acts of the Martyrs,Pseudepigrapha,Non-canonical,Various,100-500 CE,Various,Martyrdom accounts,None,Collection of martyrdom narratives
123.0,Apocalypse of Abraham,Pseudepigrapha,Non-canonical,Unknown,70-150 CE,1300 CE (Slavonic),"Abraham's vision, idolatry",None,Jewish apocalyptic
124.0,Apocalypse of Adam,Apocrypha,Non-canonical,Unknown,100-400 CE,350 CE (Nag Hammadi),Adam's revelation to Seth,None,Gnostic apocalyptic
125.0,Apocalypse of James (First),Apocrypha,Non-canonical,Unknown,100-300 CE,350 CE (Nag Hammadi),Jesus' teachings to James,None,Gnostic text
126.0,Apocalypse of James (Second),Apocrypha,Non-canonical,Unknown,100-300 CE,350 CE (Nag Hammadi),Jesus' teachings to James,None,Gnostic text
127.0,Apocalypse of Moses,Pseudepigrapha,Non-canonical,Unknown,1st century CE,1000 CE,Adam and Eve's life after Eden,None,Greek version of Life of Adam and Eve
128.0,Apocalypse of Stephen,Pseudepigrapha,Non-canonical,Unknown,Unknown,Lost,Stephen's visions,None,May refer to parts of Acts or later composition
129.0,Book of Jasher,Pseudepigrapha,Non-canonical,Unknown,Medieval (modern version),1625 CE (printed),Elaborated biblical narratives,None,"Referenced in Joshua 10:13, 2 Samuel 1:18"
130.0,Correspondence of Paul and Seneca,Pseudepigrapha,Non-canonical,Unknown,300-400 CE,900 CE,Letters between Paul and Seneca,None,Forged correspondence
131.0,Epistle of the Apostles,Apocrypha,Non-canonical,Unknown,150-180 CE,500 CE,Jesus' post-resurrection teachings,None,Anti-gnostic polemic
132.0,Epistle to the Laodiceans,Apocrypha,Non-canonical,Unknown (not Paul),200-300 CE,546 CE,Pauline-style exhortation,None,Referenced in Colossians 4:16
133.0,Gospel of the Ebionites,Apocrypha,Non-canonical,Unknown,100-200 CE,Fragmentary,Harmonized synoptic gospels,None,Used by Jewish-Christian sect
134.0,Gospel of the Nazarenes,Apocrypha,Non-canonical,Unknown,100-200 CE,Fragmentary,Hebrew/Aramaic Matthew,None,Used by Jewish-Christian sect
135.0,Gospel of the Twelve,Apocrypha,Non-canonical,Unknown,100-200 CE,Lost,Apostolic teaching,None,May be same as Gospel of the Ebionites
136.0,History of Joseph the Carpenter,Pseudepigrapha,Non-canonical,Unknown,400-500 CE,600 CE,Joseph's life and death,None,Later Christian composition
137.0,Joseph and Aseneth,Pseudepigrapha,Non-canonical,Unknown,100 BCE-200 CE,1000 CE,Joseph's marriage to Aseneth,None,Jewish romance
138.0,Letter of Aristeas,Pseudepigrapha,Non-canonical,Pseudo-Aristeas,200-100 BCE,1000 CE,Origin of Septuagint,None,Hellenistic Jewish work
139.0,Letter of Peter to Philip,Apocrypha,Non-canonical,Unknown,200 CE,350 CE (Nag Hammadi),"Peter's letter, gnostic teaching",None,Gnostic text
140.0,Lives of the Prophets,Pseudepigrapha,Non-canonical,Unknown,1st century CE,900 CE,Biographies of prophets,None,Jewish hagiography
141.0,Martyrdom and Ascension of Isaiah,Pseudepigrapha,Non-canonical,Unknown,100-300 CE,500 CE,"Isaiah's martyrdom, visions",None,Composite work
142.0,Odes of Solomon,Pseudepigrapha,Non-canonical,Unknown,100-200 CE,900 CE,Christian hymns,None,Early Christian poetry
143.0,Pseudo-Philo,Pseudepigrapha,Non-canonical,Unknown,70-100 CE,1100 CE,Biblical retellings,None,"Also called ""Biblical Antiquities"""
144.0,Pseudo-Phocylides,Pseudepigrapha,Non-canonical,Unknown,100 BCE-100 CE,1000 CE,Ethical maxims,None,Hellenistic Jewish ethics
145.0,Sibylline Oracles,Pseudepigrapha,Non-canonical,Various,200 BCE-500 CE,500 CE,Prophetic verses,None,Jewish and Christian prophecies
146.0,Testament of Abraham,Apocrypha,Non-canonical,Unknown,100 BCE-100 CE,900 CE,Abraham's tour of judgment,None,Jewish-Christian apocalyptic
147.0,Testament of Isaac,Apocrypha,Non-canonical,Unknown,100-300 CE,900 CE,"Isaac's final words, visions",None,Jewish-Christian apocalyptic
148.0,Testament of Jacob,Apocrypha,Non-canonical,Unknown,100-300 CE,900 CE,"Jacob's final words, visions",None,Jewish-Christian apocalyptic
149.0,Testament of Job,Apocrypha,Non-canonical,Unknown,100 BCE-100 CE,1000 CE,"Job's sufferings, testament",None,Jewish hagiography
150.0,Testament of Solomon,Apocrypha,Non-canonical,Unknown,100-300 CE,1100 CE,"Solomon's magic, demonology",None,Jewish-Christian magical text
151.0,Testament of the Three Patriarchs,Pseudepigrapha,Non-canonical,Unknown,100-500 CE,1000 CE,"Abraham, Isaac, Jacob testaments",None,Collection of individual testaments
152.0,Acts of Peter and the Twelve,Apocrypha,Non-canonical,Unknown,200-300 CE,350 CE (Nag Hammadi),Peter and apostles meet Jesus disguised,None,Gnostic Christian text
153.0,Prayer of Joseph,Pseudepigrapha,Non-canonical,Unknown,1st century CE,Fragmentary,Joseph's prayer,None,Referenced by Origen
154.0,3 Maccabees,Apocrypha,Deuterocanonical,Unknown,100-50 BCE,200-300 CE,Jewish persecution under Ptolemy IV,Eastern Orthodox,Not about Maccabean revolt despite name
155.0,4 Maccabees,Apocrypha,Appendix,Unknown,20-50 CE,300 CE,"Martyrdom, reason vs. passion",Eastern Orthodox (appendix),Philosophical treatise on martyrdom
156.0,Psalm 151,Poetic,Deuterocanonical,David (tradition),Unknown,100 BCE (DSS),David's selection by God,Eastern Orthodox,"Found in Septuagint, DSS"
157.0,Prayer of Azariah,Deuterocanonical,Deuterocanonical,Unknown,200-100 BCE,100 BCE,Prayer in fiery furnace,"Catholic, Orthodox",Insertion in Daniel 3
158.0,Song of the Three Holy Children,Deuterocanonical,Deuterocanonical,Unknown,200-100 BCE,100 BCE,Praise in fiery furnace,"Catholic, Orthodox",Follows Prayer of Azariah in Daniel
159.0,3 Esdras (1 Esdras),Apocrypha,Varying status,Unknown,200-100 BCE,100 CE,Temple rebuilding,"Orthodox, appendix in Catholic","Parallels parts of Ezra, Nehemiah, Chronicles"
160.0,4 Esdras (2 Esdras),Apocrypha,Non-canonical,Unknown,70-100 CE,800 CE,Apocalyptic visions,Appendix in some Bibles,Already included in previous list as 4 Ezra
161.0,5 Ezra,Apocrypha,Non-canonical,Unknown,100-200 CE,800 CE,Divine judgment,None,Chapters 1-2 of Latin 2 Esdras
162.0,6 Ezra,Apocrypha,Non-canonical,Unknown,100-200 CE,800 CE,Apocalyptic visions,None,Chapters 15-16 of Latin 2 Esdras
163.0,Additions to Esther (detailed),Deuterocanonical,Deuterocanonical,Unknown,150-100 BCE,100 CE,"Dreams, prayers, edicts","Catholic, Orthodox",Six passages inserted into Esther
164.0,Rest of Esther,Deuterocanonical,Deuterocanonical,Unknown,150-100 BCE,100 CE,Divine providence,"Catholic, Orthodox",Alternative name for Additions to Esther
165.0,Epistle to the Hebrews (Ethiopic),Apocrypha,Non-canonical,Unknown,Unknown,1400 CE,Theological arguments,Ethiopian Orthodox,Different from canonical Hebrews
166.0,Gospel of the Hebrews,Apocrypha,Non-canonical,Unknown,100-150 CE,Fragmentary,Jesus traditions,None,Jewish-Christian gospel
167.0,1 Enoch (detailed parts),Pseudepigrapha,Deuterocanonical (Ethiopia),Unknown,300-100 BCE,200 BCE (DSS),"Fallen angels, cosmology, judgment",Ethiopian Orthodox,Five distinct sections with different origins
168.0,Book of Giants,Pseudepigrapha,Non-canonical,Unknown,100 BCE,DSS fragments,Nephilim legends,None,Related to Enochic literature
169.0,Syriac Apocalypse of Baruch,Pseudepigrapha,Non-canonical,Unknown,100 CE,600 CE,"Fall of Jerusalem, messianic hope",None,Same as 2 Baruch in previous list
170.0,Greek Apocalypse of Baruch,Pseudepigrapha,Non-canonical,Unknown,100-200 CE,1100 CE,Cosmological journey,None,Same as 3 Baruch in previous list
171.0,Gospel of Judas,Gnostic,Non-canonical,Unknown,150-200 CE,300 CE,Jesus-Judas relationship,None,Gnostic text discovered in 1970s
172.0,Gospel of Philip,Gnostic,Non-canonical,Unknown,150-300 CE,350 CE (Nag Hammadi),"Sacraments, spiritual marriage",None,Gnostic collection of teachings
173.0,Gospel of Truth,Gnostic,Non-canonical,Valentinus (possibly),140-180 CE,350 CE (Nag Hammadi),Salvation through gnosis,None,Valentinian homily or meditation
174.0,Pistis Sophia,Gnostic,Non-canonical,Unknown,250-350 CE,500-800 CE,Jesus' post-resurrection teachings,None,Complex Gnostic cosmology
175.0,Book of Thomas the Contender,Gnostic,Non-canonical,Unknown,150-225 CE,350 CE (Nag Hammadi),Jesus-Thomas dialogues,None,Gnostic ascetic teaching
176.0,Trimorphic Protennoia,Gnostic,Non-canonical,Unknown,200-300 CE,350 CE (Nag Hammadi),Divine revelation,None,Sethian Gnostic text
177.0,On the Origin of the World,Gnostic,Non-canonical,Unknown,200-300 CE,350 CE (Nag Hammadi),Gnostic cosmogony,None,Creation account with Sophia
178.0,Hypostasis of the Archons,Gnostic,Non-canonical,Unknown,200-300 CE,350 CE (Nag Hammadi),"Creation, archons",None,Gnostic exegesis of Genesis
179.0,Apocryphon of John,Gnostic,Non-canonical,Unknown,120-180 CE,350 CE (Nag Hammadi),Secret teachings to John,None,Central Sethian Gnostic text
180.0,Apocalypse of Moses,Pseudepigrapha,Non-canonical,Unknown,1st century CE,1000 CE,Adam and Eve narrative,None,Greek Life of Adam and Eve
181.0,Vita Adae et Evae,Pseudepigrapha,Non-canonical,Unknown,100-400 CE,900 CE,Adam and Eve narrative,None,Latin Life of Adam and Eve
182.0,Cave of Treasures,Pseudepigrapha,Non-canonical,Ephrem Syrus (attributed),400-600 CE,600 CE,"Biblical history, cave as tomb",Syriac Christianity,History from Creation to Christ
