Parables and Stories in the Quran,,,,,,,,
The People of Pharaoh,"7, 10, 26, 28, 40, 43, 44",Multiple verses across these surahs,"Pharaoh, Haman, Moses","The tyranny of Pharaoh, his claim to divinity, persecution of Children of Israel, rejection of Moses, plagues, and drowning in the Red Sea.",,,,
The Story of David,"2, 21, 34, 38","2:251, 21:78-80, 34:10-11, 38:17-26","David, Goliath","David defeated Goliath, was given kingdom and wisdom, mountains and birds glorified Allah with him, and he was skilled in making armor.",,,,
The Story of Solomon,"21, 27, 34, 38","21:78-82, 27:15-44, 34:12-14, 38:30-40","Solomon, Queen of Sheba, Jinns, Hoopoe bird","Solomon inherited David's kingdom, understood animal language, commanded wind and jinns, and had interaction with the Queen of Sheba who eventually embraced monotheism.",,,,
The Companions of the Elephant,105.0,105:1-5,"Abraha, his army","Abraha, the Abyssinian ruler of Yemen, marched with elephants to destroy the Ka'bah but was defeated by birds dropping stones of baked clay.",,,,
The Story of Jonah,"10, 21, 37, 68","10:98, 21:87-88, 37:139-148, 68:48-50","Jonah (Yunus), people of Nineveh","Jonah left his people in anger, was swallowed by a whale, glorified Allah from its belly, was forgiven and cast ashore, and his people ultimately believed.",,,,
The Story of Job,"21, 38","21:83-84, 38:41-44",Job (Ayyub),"Job was afflicted with disease and loss of wealth and family but remained patient. He eventually called to Allah who restored his health, family, and wealth.",,,,
The Story of Dhul-Qarnayn,18.0,18:83-98,Dhul-Qarnayn,"A righteous king who traveled to the far west and east, establishing justice, and built a barrier between two mountains to protect people from Gog and Magog.",,,,
The Story of Uzair (Ezra),2.0,06:19:00,Uzair,"A man (identified in tradition as Uzair) passed by a ruined town and wondered how Allah would resurrect it. Allah caused him to die for 100 years, then revived him to witness resurrection firsthand.",,,,
The Parable of the Two Gardens,18.0,18:32-44,Two men (unnamed),"Two men, one with two lush gardens who became arrogant and ungrateful, and another who reminded him of Allah. The ungrateful man's gardens were destroyed.",,,,
The Parable of Light,24.0,"1 day, 0:35:00",-,"Allah is described as the Light of the heavens and earth, likened to a lamp in a glass, the glass like a brilliant star, lit from a blessed olive tree.",,,,
The People of the Town,36.0,36:13-32,"Messengers, a man from the farthest part of city",Three messengers were sent to a town; people rejected them; a believing man from the outskirts came to support the messengers but was killed; the town was destroyed.,,,,
The Parable of the Spider,29.0,"1 day, 5:41:00",-,"Those who take protectors other than Allah are likened to a spider taking a web as a home, which is the weakest of homes.",,,,
The Parable of the Dog,7.0,7:175-176,Unnamed man,A man given Allah's signs but who rejected them is compared to a dog that pants whether left alone or driven away.,,,,
The Story of Maryam (Mary),2025-03-19 00:00:00,"3:35-47, 19:16-34","Maryam, Zakariya, Jesus","Maryam's birth, dedication to temple, miraculous sustenance, angelic visitation, virgin birth of Jesus, and defense against accusations.",,,,
The Story of Jesus,2019-03-05 00:00:00,"3:45-59, 5:110-118, 19:27-33","Jesus, Maryam, Disciples","Jesus' miraculous birth, speaking from the cradle, performing miracles, gathering disciples, ascension to heaven, and future return.",,,,
The Story of Zakariya and Yahya,2021-03-19 00:00:00,"3:38-41, 19:2-15, 21:89-90","Zakariya (Zechariah), Yahya (John)","Zakariya's old-age prayer for an heir, miraculous birth of Yahya, and Yahya's righteousness and prophethood.",,,,
The Parable of the Good Word,14.0,14:24-26,-,"A good word is compared to a good tree with firm roots and branches reaching to the sky, bearing fruit in all seasons.",,,,
The People of the Sabbath,2007-02-04 00:00:00,"2:65-66, 4:47, 7:163-166",Children of Israel,People who violated the Sabbath by fishing when prohibited were transformed into apes as punishment for their transgression.,,,,
The Parable of the Donkey,62.0,62:5,-,Those who were entrusted with the Torah but failed to uphold it are likened to a donkey carrying books without understanding them.,,,,
The Parable of the Blind and Deaf,6.0,08:02:00,-,"One who was spiritually dead and given life (faith) is contrasted with one walking in darkness, like comparing the seeing to the blind.",,,,
The Story of the People of the Ditch,85.0,85:1-10,"Believers, king (unnamed)",A tyrannical king dug ditches of fire to burn believers who refused to renounce their faith.,,,,
The Story of Luqman,31.0,31:12-19,Luqman,"A wise man given wisdom by Allah who advised his son about monotheism, prayer, patience, and good conduct.",,,,
Motif Type,Proto-Indo-European (PIE) Mythology,Direct Quranic Examples (Surah:Verse),Comparison Notes,,,,,
Three Sisters,"- Triple goddesses (e.g., Fates, Norns, Hinds) symbolizing fate, nature, or sovereignty.","- Al-Lat, Al-Uzza, Manat (53:19-20) – Pre-Islamic ""daughters of Allah"" condemned as false gods.","The Quran rejects the ""three sisters"" as idols but acknowledges their existence in Arabian paganism.",,,,,
Three Trials,"- Hero must pass three tests (e.g., Hercules’ labors, Odin’s sacrifices).","1. Abraham’s trials:
- Rejection by his people (37:83-98)
- Command to sacrifice his son (37:100-107)
- Building the Kaaba (2:127).
2. Moses’ trials:
- Confronting Pharaoh (20:45-79)
- The Golden Calf (20:85-97)
- Rebellion of Korah (28:76-82).
3. Job’s suffering (38:41-44).",The Quranic trials emphasize faith in God rather than heroic feats.,,,,,
Divine Triads,"- PIE gods often appear in threes (e.g., Trimurti, Zeus-Poseidon-Hades).","- Explicit rejection of the Trinity (5:73): ""Do not say 'Three'... Allah is but One God.""
- Condemnation of the three Meccan goddesses (53:19-23).",The Quran denies triadic divinity but acknowledges its cultural presence.,,,,,
Dragon/Serpent Slaying,"- Indra vs. Vritra, Thor vs. Jörmungandr – chaos monsters defeated.","- Dhu al-Qarnayn vs. Gog and Magog (18:94-98) – a barrier contains chaotic forces.
- Pharaoh as a tyrant (28:4) but no direct dragon battle.",The Quran uses metaphorical chaos figures rather than literal dragons.,,,,,
Death & Resurrection,"- Cyclical rebirth (e.g., Baldr, Persephone).","- Jesus’ revival of the dead (3:49, 5:110) – but not a resurrection myth.
- Day of Judgment (75:3-4) – universal resurrection.","The Quran focuses on linear eschatology, not cyclical returns.",,,,,
Sacred Cow,"- Primordial cow in PIE myths (e.g., Audumla in Norse, Kamadhenu in Hindu).","- The Cow of the Israelites (2:67-73) – a test of faith, not a divine being.","The Quranic cow is a ritual object, not a cosmic entity.",,,,,
Title,Surah (Chapter),Verse Numbers,Main Figures,Description,Zoroastrian Influence,Biblical Parallels,Other Influences,Notable Discrepancies
The Story of Adam,"2, 7, 15, 17, 18, 20, 38","2:30-39, 7:11-25, 15:26-44, 17:61-65, 18:50, 20:115-124, 38:71-85","Adam, Hawwa (Eve), Iblis (Satan), Angels","The creation of Adam from clay, his elevation above angels, Iblis's refusal to prostrate, temptation in Paradise, and the fall to Earth.",Possible elements in Iblis's refusal to bow (comparable to Ahriman in dualistic cosmology),Genesis 1-3,Some elements may reflect Talmudic and Midrashic traditions,In Quran: Angels prostrate to Adam; Satan/Iblis refuses out of pride not jealousy; no apple mentioned; both Adam and Eve are equally blamed; no curse of pain in childbirth
The Parable of the Garden,68.0,68:17-33,Unnamed owners of garden,Owners of a garden planned to harvest without sharing with the poor; their garden was destroyed overnight. A parable about greed and charity.,No clear influence,Similar themes in Biblical parables (Luke 12:16-21 - Rich Fool),May reflect Arabian moral traditions about charity,Unique to Quranic narrative
The People of the Cave (Seven Sleepers),18.0,18:9-26,Young believers,Young men flee persecution for their faith and take refuge in a cave where Allah causes them to sleep for 309 years.,No direct influence,Not in Biblical canon,"Christian tradition: ""Seven Sleepers of Ephesus""; may reflect Eastern Christian traditions circulating in Near East","Quran is ambiguous about number (mentions ""some say 3, others 5, others 7""); includes a dog; specifies 309 years of sleep"
The Story of Noah,"7, 10, 11, 23, 26, 29, 37, 54, 71","7:59-64, 10:71-73, 11:25-49, 23:23-30, 26:105-122, 29:14-15, 37:75-82, 54:9-15, 71:1-28","Noah, his people","Noah preaches to his people for 950 years, they reject him, Allah commands him to build an ark, the flood comes, and believers are saved.",Possible parallels with Yima's vara (enclosure) in Avesta,Genesis 6-9; Book of Enoch,"Mesopotamian flood stories (Epic of Gilgamesh, Atrahasis)",Quran: Noah's son refuses to board ark and drowns; emphasis on Noah as prophet not just righteous man; flood presented as local punishment; no mention of rainbow covenant
The People of 'Ad and Prophet Hud,"7, 11, 26, 41, 46, 54","7:65-72, 11:50-60, 26:123-140, 41:15-16, 46:21-26, 54:18-21","Hud, people of 'Ad","The people of 'Ad were powerful but arrogant. Prophet Hud called them to Allah, but they rejected him and were destroyed by a violent wind.",No clear influence,No direct Biblical parallel; some thematic similarity to Tower of Babel,May reflect pre-Islamic Arabian historical traditions of lost tribes,Unique to Quranic tradition; Hud not mentioned in Bible or other ancient texts
The People of Thamud and Prophet Salih,"7, 11, 26, 27, 54","7:73-79, 11:61-68, 26:141-159, 27:45-53, 54:23-31","Salih, people of Thamud",Salih was sent to Thamud who demanded a miracle; a she-camel emerged from rock but they killed it and were destroyed by an earthquake/thunderbolt.,No clear influence,Thamud briefly mentioned in extra-Biblical sources; no Biblical parallel for Salih,Historical Thamudic civilization known in Arabian peninsula,Unique to Quranic narrative; archaeological evidence confirms Thamudic civilization existed
The Story of Abraham,"2, 6, 11, 14, 15, 16, 19, 21, 26, 29, 37, 51, 60",Multiple verses across these surahs,"Abraham, Nimrod, Sarah, Hagar, Ishmael, Isaac","Abraham's search for truth, breaking idols, being thrown in fire but saved, sacrificing his son, building the Ka'bah, and being the patriarch of monotheism.",Possible elements in fire ordeal,Genesis 12-25; Book of Jubilees,"Talmudic and Midrashic accounts about idol-breaking, Nimrod",Quran: Ambiguous about which son was to be sacrificed; emphasis on Abraham's discovery of monotheism through observation; building Ka'bah with Ishmael in Mecca; direct confrontation with father over idolatry
The People of Lot,"7, 11, 15, 26, 27, 29, 37, 54","7:80-84, 11:77-83, 15:57-77, 26:160-175, 27:54-58, 29:28-35, 37:133-138, 54:33-40","Lot, his people, his family","Lot preached against homosexuality and immorality; his people rejected him and were destroyed by a rain of stones, while he and believers were saved.",No clear influence,Genesis 19; References in New Testament,May reflect broader Near Eastern traditions,Quran: Lot portrayed as prophet rather than just Abraham's nephew; more emphasis on Lot's preaching; wife's betrayal more explicit than merely looking back; angels appear as young men but no attempted assault by townspeople
The People of Madyan and Prophet Shu'ayb,"7, 11, 26, 29","7:85-93, 11:84-95, 26:176-191, 29:36-37","Shu'ayb, people of Madyan",Shu'ayb called his people to stop cheating in trade and economic injustice; they were destroyed by an earthquake/thunderbolt.,No clear influence,"Midian in Bible (Exodus); Jethro, Moses' father-in-law",May reflect historical Midianite civilization,Quran: Shu'ayb portrayed as prophet to Midian with emphasis on economic justice; traditionally identified with Jethro though not explicitly stated in Quran
The Story of Joseph,12.0,12:3-101,"Joseph, Jacob, Joseph's brothers, Aziz, Aziz's wife","The most complete narrative in a single surah, covering Joseph's dream, betrayal by brothers, slavery in Egypt, temptation, imprisonment, rise to power, and family reunion.",No clear influence,Genesis 37-50,"Possibly influenced by ""Qisas al-Anbiya"" (Stories of the Prophets) traditions",Quran: More details about wife's attempted seduction and Egyptian women cutting hands; prison companion's dreams more detailed; explicit acknowledgment of Joseph's beauty; no mention of blessing given to Judah
The Story of Moses,"2, 7, 10, 20, 26, 28, 79",Multiple verses across these surahs,"Moses, Aaron, Pharaoh, Children of Israel","Moses' birth, upbringing in Pharaoh's palace, exile to Madyan, calling at Mount Tur, confrontation with Pharaoh, exodus, and receiving the Torah.",Possible elements in the encounter with fire,"Exodus, Numbers, Deuteronomy",Midrashic accounts; Egyptian historical elements,Quran: Moses more reluctant in mission; more dialogue with Pharaoh; specific magicians who convert; Pharaoh's claimed divinity emphasized; Moses' speech impediment mentioned but Aaron not designated as primary speaker; Pharaoh's repentance attempt at drowning
The Parable of the Cow,2.0,2:67-73,"Moses, Children of Israel",Children of Israel were ordered to sacrifice a cow with specific attributes to solve a murder case; the dead man was struck with part of the sacrificed cow and revived to identify his killer.,No clear influence,Numbers 19 (red heifer); Deuteronomy 21 (unsolved murder ritual),May reflect Midrashic elaborations,Quran: Links cow sacrifice directly to solving a murder; resurrection element absent from Biblical account; strong emphasis on Israelites' reluctance and repeated questioning
The Story of Qarun (Korah),"28, 29, 40","28:76-82, 29:39, 40:24","Qarun, Moses, Children of Israel",Qarun was extremely wealthy from Moses' people but became arrogant. He was swallowed by the earth along with his treasures as punishment.,No clear influence,Numbers 16 (Korah's rebellion),May reflect Talmudic elaborations on Korah's wealth,Quran: Emphasis on extreme wealth and arrogance; portrayed as economic oppressor; no mention of priestly leadership dispute from Biblical account; presented as individual rebellion rather than group conspiracy
The People of Pharaoh,"7, 10, 26, 28, 40, 43, 44",Multiple verses across these surahs,"Pharaoh, Haman, Moses","The tyranny of Pharaoh, his claim to divinity, persecution of Children of Israel, rejection of Moses, plagues, and drowning in the Red Sea.",No clear influence,Exodus,Egyptian historical elements,Quran: Includes Haman as Pharaoh's minister (name from later Biblical period); mentions preservation of Pharaoh's body as sign; fewer plagues described; more emphasis on Pharaoh's claim of divinity; presents believer from Pharaoh's family who defends Moses
The Story of David,"2, 21, 34, 38","2:251, 21:78-80, 34:10-11, 38:17-26","David, Goliath","David defeated Goliath, was given kingdom and wisdom, mountains and birds glorified Allah with him, and he was skilled in making armor.",No clear influence,1 Samuel 17; 2 Samuel; Psalms,May reflect Talmudic traditions about David,Quran: Less detail about David's life; mountains and birds praised with him; given skill with iron; judicial case differs from Biblical Bathsheba narrative; milder treatment of David's error
The Story of Solomon,"21, 27, 34, 38","21:78-82, 27:15-44, 34:12-14, 38:30-40","Solomon, Queen of Sheba, Jinns, Hoopoe bird","Solomon inherited David's kingdom, understood animal language, commanded wind and jinns, and had interaction with the Queen of Sheba who eventually embraced monotheism.",Possible elements in control over supernatural beings,1 Kings 10; 2 Chronicles 9,Talmudic traditions; Ethiopian Kebra Nagast,"Quran: More supernatural elements (control of wind, jinn); communication with animals; Queen of Sheba converts to monotheism; detailed account of hoopoe bird as messenger; no romantic relationship implied"
The Companions of the Elephant,105.0,105:1-5,"Abraha, his army","Abraha, the Abyssinian ruler of Yemen, marched with elephants to destroy the Ka'bah but was defeated by birds dropping stones of baked clay.",No clear influence,No Biblical parallel,Historical event c.570 CE recorded in Arabian traditions; possibly refers to smallpox outbreak,Unique to Islamic tradition; historically documented attempt by Abraha to attack Mecca around the time of Prophet Muhammad's birth
The Story of Jonah,"10, 21, 37, 68","10:98, 21:87-88, 37:139-148, 68:48-50","Jonah (Yunus), people of Nineveh","Jonah left his people in anger, was swallowed by a whale, glorified Allah from its belly, was forgiven and cast ashore, and his people ultimately believed.",No clear influence,Book of Jonah,May reflect Near Eastern traditions about Nineveh,"Quran: Presents Jonah's leaving as impatience not disobedience; specific praise formula mentioned (La ilaha illa anta, subhanaka inni kuntu min al-zalimin); less detail about Nineveh's repentance; no mention of Jonah's displeasure at God's mercy"
The Story of Job,"21, 38","21:83-84, 38:41-44",Job (Ayyub),"Job was afflicted with disease and loss of wealth and family but remained patient. He eventually called to Allah who restored his health, family, and wealth.",No clear influence,Book of Job,May reflect broader Near Eastern traditions about righteous suffering,Quran: Much briefer account; no dialogues with friends; no divine speech; emphasis on patience and mercy; specific mention of cool water spring and herb remedy; no questioning of divine justice
The Story of Dhul-Qarnayn,18.0,18:83-98,Dhul-Qarnayn,"A righteous king who traveled to the far west and east, establishing justice, and built a barrier between two mountains to protect people from Gog and Magog.",Possible connection to Avestan figure Kavi Haosravah,Ezekiel 38-39 (Gog and Magog),Alexander Romance traditions; Syriac Alexander Legend,Unique synthesis in Quranic narrative; traditionally associated with Alexander the Great though not named explicitly; emphasizes monotheistic faith of the king; barrier against Gog and Magog more developed than Biblical mention
The Story of Uzair (Ezra),2.0,06:19:00,Uzair,"A man (identified in tradition as Uzair) passed by a ruined town and wondered how Allah would resurrect it. Allah caused him to die for 100 years, then revived him to witness resurrection firsthand.",No clear influence,Book of Ezra (though story not present there); some parallels to Nehemiah viewing Jerusalem,May reflect Jewish traditions about Ezra,Quran: Doesn't name the man explicitly as Ezra in the text; focuses on resurrection demonstration; includes food and drink preservation; emphasizes personal experience of resurrection
The Parable of the Two Gardens,18.0,18:32-44,Two men (unnamed),"Two men, one with two lush gardens who became arrogant and ungrateful, and another who reminded him of Allah. The ungrateful man's gardens were destroyed.",No clear influence,Some thematic similarity to Biblical parables of rich fools,Possible reflection of Arabian moral traditions,Unique to Quranic narrative
The Parable of Light,24.0,"1 day, 0:35:00",-,"Allah is described as the Light of the heavens and earth, likened to a lamp in a glass, the glass like a brilliant star, lit from a blessed olive tree.",Some similar imagery found in Zoroastrian light symbolism,Biblical light imagery (Genesis 1; John 1:4-9),Neoplatonic conceptions of divine light; possible influence from Eastern Christian light theology,Unique Quranic synthesis of light imagery as divine metaphor
The Parable of the Spider,29.0,"1 day, 5:41:00",-,"Those who take protectors other than Allah are likened to a spider taking a web as a home, which is the weakest of homes.",No clear influence,Similar metaphorical structure to some Biblical parables,Common natural observation adapted as spiritual metaphor,Unique to Quranic narrative; uses natural observation as symbolic teaching
The Parable of the Dog,7.0,7:175-176,Unnamed man,A man given Allah's signs but who rejected them is compared to a dog that pants whether left alone or driven away.,No clear influence,Some parallels to NT metaphors about return to sin (2 Peter 2:22),Common cultural observation turned metaphorical,Unique Quranic parable; distinctive use of dog behavior as metaphor for one who rejects guidance
The Story of Maryam (Mary),2025-03-19 00:00:00,"3:35-47, 19:16-34","Maryam, Zakariya, Jesus","Maryam's birth, dedication to temple, miraculous sustenance, angelic visitation, virgin birth of Jesus, and defense against accusations.",No clear influence,"Gospel infancy narratives (Matthew, Luke); Protevangelium of James",May reflect Eastern Christian traditions about Mary,Quran: More details about Mary's birth and upbringing; dedication to temple; Zachariah as guardian; miraculous food provision; retreat to eastern place for childbirth; speaking infant Jesus defends her honor; no Joseph mentioned
The Story of Jesus,2019-03-05 00:00:00,"3:45-59, 5:110-118, 19:27-33","Jesus, Maryam, Disciples","Jesus' miraculous birth, speaking from the cradle, performing miracles, gathering disciples, ascension to heaven, and future return.",No clear influence,Gospels; Acts,"Apocryphal Christian texts (e.g., Infancy Gospel of Thomas)","Quran: Jesus speaks in cradle; creates birds from clay; explicitly denies divinity; not crucified but raised to heaven; disciples called ""hawāriyyūn""; table from heaven sent as sign; no resurrection described"
The Story of Zakariya and Yahya,2021-03-19 00:00:00,"3:38-41, 19:2-15, 21:89-90","Zakariya (Zechariah), Yahya (John)","Zakariya's old-age prayer for an heir, miraculous birth of Yahya, and Yahya's righteousness and prophethood.",No clear influence,Luke 1,May reflect broader Near Eastern traditions,"Quran: Zakariya rendered temporarily mute; Yahya given wisdom as child; ascetic qualities emphasized; name ""Yahya"" specified as unique; no connection to baptism or Jesus' ministry described"
The Parable of the Good Word,14.0,14:24-26,-,"A good word is compared to a good tree with firm roots and branches reaching to the sky, bearing fruit in all seasons.",No clear influence,Matthew 7:17-18; 12:33 (good tree bears good fruit),Common agricultural metaphor in Middle Eastern context,Unique Quranic development; emphasis on word/speech rather than person; more elaborate tree description
The People of the Sabbath,2007-02-04 00:00:00,"2:65-66, 4:47, 7:163-166",Children of Israel,People who violated the Sabbath by fishing when prohibited were transformed into apes as punishment for their transgression.,No clear influence,Biblical Sabbath laws (Exodus 20:8-11); no transformation in Bible,May reflect Midrashic or Talmudic traditions,Quran: Transformation into apes as punishment; specific mention of fishing as violation; town by the sea setting; stratagem to catch fish on prohibited day
The Parable of the Donkey,62.0,62:5,-,Those who were entrusted with the Torah but failed to uphold it are likened to a donkey carrying books without understanding them.,No clear influence,Similar metaphorical structure to some Biblical parables,Common cultural observation as metaphor,Distinctive Quranic metaphor; focus on knowledge without implementation
The Parable of the Blind and Deaf,6.0,08:02:00,-,"One who was spiritually dead and given life (faith) is contrasted with one walking in darkness, like comparing the seeing to the blind.",No clear influence,John 9 (Jesus healing blind man as spiritual metaphor),Common metaphorical framework in Near Eastern religious thought,Unique Quranic formulation; emphasis on contrast between guidance and misguidance
The Story of the People of the Ditch,85.0,85:1-10,"Believers, king (unnamed)",A tyrannical king dug ditches of fire to burn believers who refused to renounce their faith.,No clear influence,No direct Biblical parallel,May refer to historical persecution of Christians in Najran by Jewish Himyarite king Dhu Nuwas (c.523 CE),Brief Quranic account; traditionally associated with Najran martyrs though not explicitly named; emphasizes steadfastness of believers against persecution
The Story of Luqman,31.0,31:12-19,Luqman,"A wise man given wisdom by Allah who advised his son about monotheism, prayer, patience, and good conduct.",Possible influence from Persian/Aramaic wisdom traditions,Biblical wisdom literature (Proverbs); no direct parallel,May reflect pre-Islamic Arabian wisdom figure; possible connections to Aesop,Unique to Quranic narrative; wisdom teachings presented in father-son framework; emphasizes theological and ethical principles
,,,,,,Jesus denies divinity (in Koran),Buddha denies divinity,
Surah (Chapter),Verse,Metaphor Type,Description,Quote,,,,
Al-Baqarah (2),17-20,Fire,Compares hypocrites to those who kindle a fire that is then extinguished,"""Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see.""",,,,
Al-Baqarah (2),257.0,Light vs. Darkness,Contrast between belief and disbelief,"""Allah is the ally of those who believe. He brings them out from darknesses into the light. And those who disbelieve - their allies are Taghut. They take them out of the light into darknesses.""",,,,
Al-Maidah (5),15-16,Light,Describes the Quran as a light from Allah,"""There has come to you from Allah a light and a clear Book. By which Allah guides those who pursue His pleasure to the ways of peace and brings them out from darknesses into the light, by His permission, and guides them to a straight path.""",,,,
Al-An'am (6),1.0,Light vs. Darkness,Creation metaphor,"""Praise is [due] to Allah, who created the heavens and the earth and made the darkness and the light.""",,,,
Al-An'am (6),122.0,Light,Compares faith to being given light to walk among people,"""And is one who was dead and We gave him life and made for him light by which to walk among the people like one who is in darkness, never to emerge therefrom?""",,,,
Al-A'raf (7),157.0,Light,"Describes the Torah and Gospel, and following Muhammad as following light","""Those who follow the Messenger, the unlettered prophet...who follows the light which was sent down with him.""",,,,
Al-Tawbah (9),32.0,Light,Allah's guidance as light that cannot be extinguished,"""They want to extinguish the light of Allah with their mouths, but Allah refuses except to perfect His light, although the disbelievers dislike it.""",,,,
Yunus (10),5.0,Light,"Moon described as light (nur), sun as lamp (diya)","""It is He who made the sun a shining light (diya) and the moon a light (nur) and determined for it phases.""",,,,
Ibrahim (14),1.0,Light vs. Darkness,Scripture leads from darkness to light,"""A Book which We have revealed to you, that you might bring mankind out of darknesses into the light.""",,,,
Al-Nur (24),35.0,Light,"The famous ""Light Verse"" with the lamp in a niche metaphor","""Allah is the Light of the heavens and the earth. The example of His light is like a niche within which is a lamp, the lamp is within glass, the glass as if it were a pearly [white] star lit from [the oil of] a blessed olive tree, neither of the east nor of the west, whose oil would almost glow even if untouched by fire. Light upon light. Allah guides to His light whom He wills.""",,,,
Al-Nur (24),40.0,Darkness,Describes layers of darkness in the deep sea,"""Or [they are] like darknesses within an unfathomable sea which is covered by waves, upon which are waves, over which are clouds - darknesses, some of them upon others. When one puts out his hand [therein], he can hardly see it.""",,,,
Al-Ahzab (33),43.0,Light,Allah and angels bringing believers from darkness to light,"""It is He who confers blessing upon you, and His angels [ask Him to do so] that He may bring you out from darknesses into the light.""",,,,
Fatir (35),20.0,Light vs. Darkness,Contrasting the seeing and the blind,"""Not equal are the blind and the seeing, Nor are the darknesses and the light.""",,,,
Al-Hadid (57),9.0,Light,Quran described as bringing people from darkness to light,"""It is He who sends down upon His Servant [Muhammad] verses of clear evidence that He may bring you out from darknesses into the light.""",,,,
Al-Hadid (57),2025-12-13 00:00:00,Light,Believers with light running before them,"""On the Day you see the believing men and believing women, their light proceeding before them and on their right.""",,,,
Al-Hadid (57),28.0,Light,Believers granted light to walk by,"""O you who have believed, fear Allah and believe in His Messenger; He will [then] give you a double portion of His mercy and make for you a light by which you will walk.""",,,,
Al-Tahrim (66),8.0,Light,Light running before believers on Judgment Day,"""On the Day when Allah will not disgrace the Prophet and those who believed with him. Their light will proceed before them and on their right.""",,,,
Al-Talaq (65),11.0,Light,Messenger bringing people from darkness to light,"""A Messenger [Muhammad] who recites to you the clear verses of Allah that He may bring out those who believe and do righteous deeds from darknesses into the light.""",,,,
Al-Saff (61),8.0,Light,Allah's light that disbelievers try to extinguish,"""They want to extinguish the light of Allah with their mouths, but Allah will perfect His light, although the disbelievers dislike it.""",,,,
Al-A'la (87),2025-12-13 00:00:00,Fire,Great Fire as punishment,"""He who will enter the great Fire, Neither dying therein nor living.""",,,,
Al-Humaza (104),2025-06-07 00:00:00,Fire,Description of Hellfire,"""It is the fire of Allah, ignited, Which mounts directed at the hearts.""",,,,
Al-Masad (111),2025-01-05 00:00:00,Fire,"Abu Lahab (meaning ""Father of Flame"") entering fire","""He will [enter to] burn in a Fire of [blazing] flame.""",,,,
