w,Year (CE),Role/Contribution,Oldest Source,Oldest Text Date (BCE/CE),Region,School/Tradition
Martha,? - 80 CE,Sister of Mary and Lazarus,Gospels,70-100 CE,,
Mary,18 BCE - 41 CE,Mother of Jesus,Gospels,70-100 CE,,
Mary Magdalene,? - 100 CE,Follower of Jesus,Gospels,70-100 CE,,
Matthew,? - 74 CE,Apostle and Gospel author,Matthew,80-90 CE,,
Melchizedek,?,King and priest of Salem,Genesis,1400-1200 BCE,,
Methuselah,3317 - 2348 BCE,Oldest person recorded in the Bible,Genesis,1400-1200 BCE,,
Micah,750 - 700 BCE,Prophet,Micah,700-600 BCE,,
Miriam,1400 BCE,Sister of Moses and Aaron,Exodus,1400-1200 BCE,,
Mordecai,500 BCE,Cousin and guardian of Esther,Esther,400-300 BCE,,
Moses,1500–1400 BCE,"Led Israelites out of Egypt, received Torah",Exodus,1400-1200,Egypt/Canaan,Judaism
Muhammad,570–632,"Final prophet in Islam, received the Quran",,,Arabia,Islam
Naaman,850 BCE,Syrian commander healed of leprosy,2 Kings,900-800 BCE,,
Naboth,850 BCE,Owner of vineyard coveted by Ahab,1 Kings,900-800 BCE,,
Nahum,650 BCE,Prophet,Nahum,600-500 BCE,,
Nathanael,? - 80 CE,Apostle of Jesus,John,90-100 CE,,
Nebuchadnezzar,634 - 562 BCE,King of Babylon who conquered Jerusalem,"Daniel, Jeremiah",600-500 BCE,,
Nehemiah,445 - 425 BCE,Governor of Judah who rebuilt Jerusalem's walls,Book of Nehemiah,400-300 BCE,,
Nicodemus,? - 50 CE,Pharisee who sought Jesus,John,90-100 CE,,
Noah,2962 - 2012,Built the ark; survived the flood,Genesis,1400-1200,,
Obadiah,850 BCE,Prophet,Obadiah,600-500 BCE,,
Paul,5 CE - 67 CE,Apostle to the Gentiles; wrote many epistles,"Acts, Epistles",50-60 CE,,
Peter,? - 67 CE,Apostle; leader of early Christian Church,"Gospels, Acts",70-100 CE,,
Philemon,?,Recipient of Paul's letter,Philemon,60-62 CE,,
Philip,? - 80 CE,Early Christian evangelist,Acts,70-100 CE,,
Pontius Pilate,? - 39 CE,Roman governor who presided over Jesus' trial,Gospels,70-100 CE,,
Potiphar,1900 BCE,Egyptian official who bought Joseph,Genesis,1400-1200 BCE,,
Priscilla,? - 65 CE,"Early Christian, wife of Aquila",Acts,70-100 CE,,
Queen of Sheba,950 BCE,Visited Solomon,1 Kings,1000-900 BCE,,
Rachel,1900 BCE,Second wife of Jacob,Genesis,1400-1200 BCE,,
Rahab,1400 BCE,Helped Israelite spies in Jericho,Joshua,1200-1000 BCE,,
Rebecca,1950 BCE,"Wife of Isaac, mother of Jacob and Esau",Genesis,1400-1200 BCE,,
Rehoboam,971 - 913 BCE,First king of Judah after kingdom split,1 Kings,1000-900 BCE,,
Saladin,1138–1193,"Muslim leader, reclaimed Jerusalem during Crusades",,,Egypt/Syria,Islam
Samson,1100 BCE,Judge known for his strength,Judges,1000-900 BCE,,
Sarah,2000 - 1900 BCE,"Wife of Abraham, mother of Isaac",Genesis,1400-1200 BCE,,
Saul (OT),1050 - 1010 BCE,First king of Israel,1 Samuel,1000-900 BCE,,
Shem,?,Son of Noah,Genesis,1400-1200 BCE,,
Silas,? - 65 CE,Companion of Paul,Acts,70-100 CE,,
Simeon,? - 20 CE,Devout man who blessed infant Jesus,Luke,80-90 CE,,
Simon of Cyrene,?,Carried Jesus' cross,Gospels,70-100 CE,,
Solomon,1000–931 BCE,Built the First Temple in Jerusalem,,,Israel,Judaism
Solomon,990 - 930,Built the First Temple; known for wisdom,1 Kings,1000-900,,
St. Charbel Makhlouf,1877–1968,"Lebanese monk, known for miracles",,,Lebanon,Christianity (Maronite)
St. Francis of Assisi,1182–1226,"Founder of the Franciscan Order, known for poverty and peace",,,Italy,Christianity (Catholic)
St. Teresa of Ávila,1492–1569,"Reformer of Carmelite order, mystical writings",,,Spain,Christianity (Catholic)
Stephen,? - 34 CE,First Christian martyr,Acts,70-100 CE,,
Tamar,1900 BCE,Daughter-in-law of Judah,Genesis,1400-1200 BCE,,
Thomas,? - 72 CE,Apostle of Jesus,Gospels,70-100 CE,,
Timothy,17 - 97 CE,Companion of Paul,Epistles to Timothy,50-60 CE,,
Titus,? - 96 CE,Companion of Paul,Titus,63-65 CE,,
Uriah,? - 1000 BCE,Husband of Bathsheba,2 Samuel,1000-900 BCE,,
Uzziah,792 - 740 BCE,King of Judah,2 Chronicles,400-300 BCE,,
Zechariah (NT),? - 5 BCE,Father of John the Baptist,Luke,80-90 CE,,
Zechariah (OT),520 BCE,Prophet,Zechariah,520-518 BCE,,
Zephaniah,640 - 621 BCE,Prophet,Zephaniah,640-609 BCE,,
