Comprehensive Table of Biblical Characters with Controversies,,,,,,
Name,Role,Era (Approx.),Relationship with God,Position/Status,Notable Drama/Controversy,Source Texts
Esther,Jewish queen,~480 BC,Not mentioned directly,Queen of Persia,Risked life to save Jews from genocide,Esther
Haman,Persian official,~480 BC,Enemy of God's people,Prime minister,"Plotted genocide of Jews, hanged on own gallows",Esther
Mordecai,Jewish exile,~480 BC,Faithful,Royal advisor,"Refused to bow to Haman, adopted Esther",Esther
Ezra,Priest/Scribe,~458 BC,Devoted to God's law,Priest,Led reform against intermarriage,Ezra
Nehemiah,Governor,~445 BC,Prayerful leader,Governor,Confronted nobles exploiting poor,Nehemiah
Job,Righteous sufferer,Unknown,"Tested, faithful",Wealthy landowner,Suffered extreme loss and illness as test,Job
Herod the Great,Judean King,~37-4 BC,Enemy of Messiah,King under Rome,"Massacred Bethlehem infants, killed wives and sons",Matthew 2
Zechariah,Priest,~5 BC,Righteous,Priest,Struck mute for doubting angel's message,Luke 1
John the Baptist,Final OT Prophet,~27-30 AD,Forerunner,Ascetic,Beheaded for condemning Herod Antipas' marriage,Gospels
Jesus Christ,Messiah/Savior,~4 BC-30 AD,Divine Son,King of Kings,Crucified for claiming divinity,"Gospels, Revelation"
Mary,Mother of Jesus,~20 BC-50 AD,"""Highly favored""",Virgin mother,Pregnant before marriage (divinely),Gospels
Joseph,Jesus' earthly father,~20 BC-?,"Righteous, obedient",Carpenter,Nearly divorced Mary secretly,"Matthew 1-2, Luke 1-2"
Herod Antipas,Tetrarch of Galilee,~4 BC-39 AD,Mocked Jesus,Tetrarch,"Beheaded John the Baptist, married brother's wife",Gospels
Herodias,Herod's wife,~20 BC-40 AD,Enemy of John,Tetrarch's wife,Arranged John the Baptist's execution,"Mark 6, Matthew 14"
Judas Iscariot,Disciple/Betrayer,~30 AD,Betrayer,Treasurer,"Betrayed Jesus for 30 silver pieces, committed suicide",Gospels
Caiaphas,High Priest,~18-36 AD,Rejected Messiah,High Priest,Led plot to kill Jesus,Gospels
Pontius Pilate,Roman governor,~26-36 AD,Delivered Jesus to death,Governor,Ordered Jesus' crucifixion despite finding no fault,Gospels
Peter,Apostle,~30-65 AD,Restored after denial,Fisherman to leader,"Denied Jesus three times, later martyred","Gospels, Acts, 1-2 Peter"
Ananias & Sapphira,Early church members,~35 AD,Punished for deception,Church members,"Lied about donation amount, struck dead",Acts 5
Paul (Saul),Apostle,~5-67 AD,Converted persecutor,Pharisee to apostle,Previously persecuted Christians,"Acts, Epistles"
Felix,Roman governor,~52-58 AD,Delayed decision,Governor,Kept Paul imprisoned hoping for bribe,Acts 24
Demas,Paul's companion,~60 AD,Abandoned faith,Ministry assistant,"Deserted Paul, ""loved this world""","Colossians 4:14, 2 Timothy 4:10"
Jezebel (Thyatira),False prophetess,~95 AD,False teacher,Church leader,Led believers into sexual immorality and idolatry,Revelation 2:20-23
