1. Bodhisattva Stages (Bhūmis),,,
Source: Avataṃsaka Sūtra (Huayan/Kegon),,,
"Unique Focus: Sudden awakening within gradual cultivation (""One is All, All is One"").",,,
,,,
3. Pure Land: 48 Vows of Amitābha,,,
Vow Group,Key Vows (#),Promise,Bodhisattva Emphasis
Rebirth Assurance,"18, 19, 20",Guaranteed rebirth in Sukhāvatī,Faith-based salvation
Bodhicitta Cultivation,22.0,"Attain ""non-retrogression""",Irreversible progress
Compassionate Activity,35.0,Transform into male form (patriarchal context),Gender transcendence
Ultimate Realization,48.0,Hear Buddha's name → attain Bodhi,Direct awakening through nembutsu
,,,
Key Vows:,,,
,,,
Vow 18: Rebirth via sincere faith (10 recitations),,,
,,,
Vow 19: Post-death welcome by Amitābha,,,
,,,
Vow 48: Hear name → Bodhicitta arises spontaneously,,,
,,,
Source: Larger Sukhāvatīvyūha Sūtra,,,
Unique Focus: Other-power (tariki) reliance merges faith with Bodhicitta.,,,
,,,
Comparative Analysis,,,
Tradition,Path Structure,Timeframe,Key Text
Theravada,10 Perfections,3 incalculable eons,Buddhavaṃsa
Zen/Huayan,52 Stages,Instantaneous-gradual,Avataṃsaka Sūtra
Pure Land,48 Vows,Single lifetime (via faith),Sukhāvatīvyūha
,,,
Contrasts:,,,
,,,
"Theravada: Self-power, perfection-based",,,
,,,
"Zen: Non-dual, stage-transcending",,,
,,,
"Pure Land: Devotional, grace-dependent",,,
