Comprehensive Database of Jesus's Life Episodes,,,,,,
Episode,Summary,Gospel Sources,Variations Between Accounts,Historical Context,Cultural Significance,Connected Episodes
Arrest,Jesus taken by temple guards after Judas' betrayal,Matthew 26:47-56; Mark 14:43-52; Luke 22:47-53; John 18:2-12,John: soldiers fall back; Peter cuts ear,Gethsemane,Voluntary surrender; rejection of violent resistance,Trials
Peter's Denial,Peter denies knowing Jesus three times,"Matthew 26:69-75; Mark 14:66-72; Luke 22:54-62; John 18:15-18, 25-27",John: two settings; others slightly different sequences,Courtyard of high priest,Human weakness; contrast to Jesus' faithfulness,Restoration after Resurrection
Jewish Trial,"Jesus before Annas, Caiaphas, Sanhedrin","Matthew 26:57-68; Mark 14:53-65; Luke 22:54, 63-71; John 18:13-24",Different emphases on which Jewish authorities,"Jerusalem, night/early morning",Religious rejection of messianic claims,Roman Trial
Roman Trial,Jesus before Pilate (and Herod in Luke),Matthew 27:11-26; Mark 15:1-15; Luke 23:1-25; John 18:28-19:16,Luke: includes Herod; John: extended dialogue,"Jerusalem, Praetorium",Political dimension of crucifixion; Roman/Jewish tensions,Crucifixion
Crucifixion,Jesus executed on cross outside Jerusalem,Matthew 27:32-56; Mark 15:21-41; Luke 23:26-49; John 19:17-37,Different emphases on sayings from cross,Golgotha/Calvary,Central event of Christian faith; atonement theology,"Burial, Resurrection"
Seven Last Words,Sayings of Jesus from the cross,Various Gospel accounts,Different Gospels record different sayings,From the cross,Deeply influential in Christian devotion and art,Crucifixion
Burial,Jesus' body placed in Joseph of Arimathea's tomb,Matthew 27:57-61; Mark 15:42-47; Luke 23:50-56; John 19:38-42,John: adds Nicodemus bringing spices,Garden tomb near Golgotha,Fulfillment of prophecy; verification of death,Resurrection
RESURRECTION AND APPEARANCES,,,,,,
Empty Tomb Discovery,Women find tomb empty; angel announces resurrection,Matthew 28:1-8; Mark 16:1-8; Luke 24:1-12; John 20:1-10,"Variations in which women, number of angels","Garden tomb, early morning",Foundation of resurrection faith; women as first witnesses,Resurrection Appearances
Mary Magdalene Encounter,Risen Jesus appears to Mary Magdalene,John 20:11-18; Mark 16:9-11,John: detailed dialogue; Mark: brief mention,Garden tomb,"First resurrection witness; ""apostle to the apostles""",Other Appearances
Emmaus Road,"Jesus walks with two disciples, revealed in breaking bread",Luke 24:13-35,Only in Luke,"Road to Emmaus, evening",Eucharistic symbolism; gradual recognition,Jerusalem Appearances
Jerusalem Appearances,"Jesus appears to disciples, shows wounds",Luke 24:36-49; John 20:19-23,Luke: emphasizes physicality; John: giving of Holy Spirit,"Upper Room, Jerusalem",Verification of bodily resurrection; commissioning,Thomas Episode
Thomas Episode,Doubting disciple convinced by seeing Jesus' wounds,John 20:24-29,Only in John,"Jerusalem, ""eight days later""",Faith without seeing praised; dealing with doubt,Galilean Appearances
Galilean Appearances,Jesus meets disciples by lake; miraculous catch,John 21:1-14,Only in John,Sea of Galilee,Echo of earlier call; verification of resurrection,Peter's Restoration
Peter's Restoration,"Jesus reinstates Peter with ""feed my sheep""",John 21:15-19,Only in John,Sea of Galilee,Restoration after denial; pastoral commission,Great Commission
Great Commission,Final instructions to make disciples of all nations,Matthew 28:16-20; Mark 16:15-18,Different emphases and wording,Galilee (Matthew); unspecified (Mark),Foundation for Christian mission; ongoing presence,Ascension
Ascension,Jesus taken up to heaven before disciples,Mark 16:19-20; Luke 24:50-53; Acts 1:6-11,Luke/Acts: most detailed; absent in Matthew/John,Near Bethany (Luke); Mount of Olives (Acts),Completion of earthly ministry; enthronement,Pentecost (in Acts)
