"Below is a comprehensive table of the major and minor early Buddhist schools and sects you listed, including year founded (numeric), location, main founders or origin, empire/dynasty context, philosophical distinctions, and core texts. This table is based on the most authoritative modern sources and your supplied list13568.",,,,,,
,,,,,,
School/Sect,Year Founded,Location,Main Founder/Origin,Empire/Royal Line,Philosophical Distinctions,Core Texts/Canonical Works
Vaibhāṣika,c. 2nd c. BCE,"Kashmir, India",Sarvāstivāda branch,Kushan,"Defended orthodox ""all exists"" doctrine, detailed Abhidharma",Mahāvibhāṣa Śāstra
Mahāsāṃghika,c. 350 BCE,"Pataliputra, India",Majority at 2nd Council,Magadha,"Liberal Vinaya, Buddha as supramundane, basis for Mahāyāna","Mahāsāṃghika Vinaya, Mahāvastu"
Ekavyahārikas,c. 250 BCE,India,Mahāsāṃghika branch,Maurya (Ashoka),"""One teaching,"" Buddha's omniscience",Mahāsāṃghika texts
Lokottaravāda,c. 200 BCE,"Mathura, India",Mahāsāṃghika branch,Regional kingdoms,Buddha as transcendent (lokottara) being,Mahāvastu
Gokulika/Kukkutika,c. 250 BCE,"Gokul, India",Mahāsāṃghika branch,Maurya (Ashoka),Ascetic practice emphasis,Mahāsāṃghika texts
Bahuśrutīya,c. 200 BCE,"Andhra, India",Mahāsāṃghika branch,Satavahana,Both conventional and ultimate teaching,Bahuśrutīya texts
Prajñaptivāda,c. 200 BCE,India,Mahāsāṃghika branch,Satavahana,Focus on conceptual designation (prajñapti),Mahāsāṃghika texts
Caitika,c. 50 BCE,"Andhra, India",Mahāsāṃghika branch,Satavahana,Forest-dwelling monasticism,Caitika texts
Apara Śaila,c. 50 BCE,"Andhra, India",Caitika branch,Satavahana,"""Western Hill"" school, regional variant",Caitika texts
Uttara Śaila,c. 50 BCE,"Andhra, India",Caitika branch,Satavahana,"""Northern Hill"" school, regional variant",Caitika texts
,,,,,,
Notes:,,,,,,
,,,,,,
Dates are approximate; some sects' origins overlap due to gradual schism processes1368.,,,,,,
,,,,,,
"""Main Founder/Origin"" often refers to a leading figure or the branch from which the school split.",,,,,,
,,,,,,
"""Empire/Royal Line"" is the dominant polity at the time/location of the school's formation.",,,,,,
,,,,,,
"""Core Texts"" lists the main canonical or doctrinal works associated with the school.",,,,,,
,,,,,,
"Theravāda is the only Nikāya school surviving today, with the Pali Canon as its scriptural foundation4.",,,,,,
,,,,,,
"This table covers all the early Buddhist schools and sub-sects you listed, along with their key historical and doctrinal context.",,,,,,
Citations:,,,,,,
https://en.wikipedia.org/wiki/Early_Buddhist_schools,,,,,,
https://www.worldhistory.org/article/492/a-short-history-of-the-buddhist-schools/,,,,,,
https://en.wikipedia.org/wiki/Schools_of_Buddhism,,,,,,
https://tricycle.org/beginners/buddhism/early-buddhist-history-the-councils/,,,,,,
https://palisuttas.com/2016/08/27/the-early-buddhist-schools/,,,,,,
https://encyclopediaofbuddhism.org/wiki/Early_Buddhist_schools,,,,,,
https://saraniya.com/2018/a-short-history-of-the-buddhist-schools/,,,,,,
https://discourse.suttacentral.net/t/a-timeline-of-early-buddhist-sectarianism/4610,,,,,,
,,,,,,
Answer from Perplexity: pplx.ai/share,,,,,,
