Era / Date (Approx.),Myth Name / Tradition,Name of the Tree (Language),Core Narrative & Theme,Key Figures / Deities,Primary Source(s) & Citations,Notes / Comparative Motifs
c. 1200 BCE – c. 600 BCE,Ancient Israelite / Canaanite,Asherah (Hebrew: אשרה),Sacred tree/pole as symbol of fertility and goddess worship; menorah as stylized almond tree in Temple,"Asherah, Yahweh","Lachish ewer, Kuntillet Ajrud, Exodus 25:31–361",Tree flanked by ibexes; menorah as tree of life in later Jewish tradition
c. 900 BCE – c. 600 BCE,Assyrian / Babylonian,Stylized Tree (Akkadian: isu),"Stylized tree attended by genies/kings; axis mundi and symbol of divine blessing, fertility, and kingship","Kings, Apkallu (genies)",Assyrian palace reliefs17,"Iconic, geometric tree-no direct name in texts, but central in royal ideology"
c. 700 BCE – c. 100 BCE,Greek,Tree of the Hesperides (Greek: δένδρον των Εσπερίδων),"Golden apple tree in Hera’s garden, guarded by Ladon; apples grant immortality, sought by gods and heroes","Hera, Hesperides, Ladon, Heracles","Hesiod, Theogony; Apollodorus, Bibliotheca; Herodotus1",Garden of the Hesperides likened to Eden; apples as symbols of immortality
c. 300 BCE – c. 400 CE,Celtic,Crann Bethadh (Irish: Crann Bethadh),"Sacred tree at center of settlement; axis mundi, source of wisdom, gateway to otherworld, symbol of harmony","Druids, tribal ancestors","Irish folklore, medieval manuscripts497","Oak, ash, or birch commonly venerated; cutting enemy’s tree seen as spiritual attack"
c. 200 CE – c. 400 CE,Manichaean / Gnostic,Tree of Life (Greek: ξύλον της ζωής),"Tree of Life as source of gnosis and salvation; helps Adam attain knowledge, identified with Jesus","Jesus, Adam",Manichaean texts; Nag Hammadi Library1,Tree as cosmic axis and source of spiritual enlightenment
c. 400 CE – c. 1200 CE,Norse / Germanic,Yggdrasill (Old Norse: Yggdrasill),"World ash tree connecting nine worlds; source of fate, wisdom, and cosmic order; gods assemble at its roots","Odin, Norns, gods, creatures","Poetic Edda, Prose Edda2567","Ash tree; roots in underworld, branches in heavens; apples of Iðunn grant immortality"
c. 4th century BCE – c. 2nd century BCE; Journey to the West c. 1592 CE,Chinese,"Fusang (扶桑), Peach Tree (桃树 Táoshù)","Fusang: mythical mulberry tree in the east; Peach Tree of Immortality in Xi Wangmu’s garden, fruit grants immortality","Xi Wangmu, Jade Emperor, Eight Immortals",Shan Hai Jing; Journey to the West57,"Peaches ripen every 3,000 years; tree often guarded by spirits or animals"
c. 563 BCE – c. 483 BCE (lifetime of Buddha),Buddhist / Indian,Bodhi Tree (Sanskrit: बोधिवृक्ष Bodhivṛkṣa),Buddha attains enlightenment under the Bodhi Tree at Bodh Gaya; tree becomes symbol of awakening and spiritual life,Gautama Buddha,Buddhist scriptures; Mahavamsa; archaeological evidence57,Ficus religiosa (sacred fig); site of pilgrimage and meditation
c. 3000 BCE – present,Uralic / Turkic,"Baiterek (Kazakh: Бәйтерек), Ulukayın (Old Turkic)","World tree connects earth, sky, and underworld; source of life, fertility, and divine favor","Tengri (Sky God), shamanic spirits",Oral traditions; petroglyphs; carpets167,"Central in Turkic, Siberian, and Finno-Ugric mythologies; often depicted with birds or animals at branches/roots"
c. 1600 CE – present (oral older),"Native American (Iroquois, Ojibwe, Lakota)","The Great Tree (Oneida: unknown, Ojibwe: Nookomis Giizhig, Lakota: Wakȟáŋ Čháŋ)","Tree in Sky World, source of light and fruit; fall of Sky Woman leads to creation of earth on turtle’s back","Sky Woman, Turtle, animals",Iroquois oral tradition; Black Elk Speaks; Ojibwe and Lakota stories17,Tree of life as axis mundi and source of creation; central to cosmology and ritual
