Date,Event,Description
1475 CE,Vlad’s Release,Vlad III is released from imprisonment.
1476 CE,Vlad III’s Final Reign,Vlad III returns to power for his third and final reign as Voivode of Wallachia.
Late 1476 or Early 1477 CE,Death of Vlad III,Vlad the Impaler dies in battle.
1477-1482 CE,Basarab Laiotă cel Bătrân's Rule,"Basarab Laiotă rules Wallachia intermittently, alternating with Basarab Țepeluș cel Tânăr."
1482-1495 CE,Vlad Călugărul's Reign,"Vlad the Monk, half-brother of Vlad the Impaler, rules Wallachia."
1495-1508 CE,Radu cel Mare's Rule,"Radu the Great governs Wallachia, focusing on cultural and religious development."
1508-1510 CE,Mihnea cel Rău's Reign,"Mihnea the Evil, son of Vlad the Impaler, rules briefly before being deposed."
1512-1521 CE,Neagoe Basarab's Rule,Period of cultural flourishing under Neagoe Basarab's reign.
1521 CE,Ottoman Occupation,Wallachia experiences a four-month Ottoman military occupation.
1522-1529 CE,Radu de la Afumați's Rule,"Radu de la Afumați rules intermittently, fighting against Ottoman influence."
1545 CE,Loss of Brăila,Radu Paisie cedes the port of Brăila to Ottoman administration.
1545-1554 CE,Mircea Ciobanul's First Reign,Mircea Ciobanul rules as an Ottoman-backed prince.
1558-1559 CE,Mircea Ciobanul's Second Reign,Mircea Ciobanul returns to power briefly.
1599-1600 CE,Michael the Brave's Unification,"Michael the Brave briefly unites Wallachia, Moldavia, and Transylvania."
1632-1654 CE,Matei Basarab's Rule,Long period of relative peace under Matei Basarab's reign.
1653 CE,Battle of Finta,Matei Basarab defeats Moldavian prince Vasile Lupu.
1658-1659 CE,Ottoman Intervention,Mehmed IV's troops crush attempts at independence from Ottoman rule.
1678-1688 CE,Șerban Cantacuzino's Rule,"Șerban Cantacuzino becomes prince, marking the rise of the Cantacuzino family."
1716 CE,Phanariot Rule Begins,The Ottoman Empire imposes Phanariot Greek governors in Wallachia.
1768-1774 CE,Russo-Turkish War,First Russian occupation of Wallachia during the war.
1774 CE,Treaty of Küçük Kaynarca,Russia gains the right to intervene in Wallachian affairs.
1789 CE,Habsburg Occupation,Austrian troops enter Wallachia during the Russo-Turkish-Austrian War.
1821 CE,End of Phanariot Rule,Russia oversees administration; Phanariot rule ends as native Romanian rulers gain influence.
1834 CE,Organic Statute,Wallachia and Moldavia adopt a unified basic constitution.
1819 CE,"""The Vampyre"" Published","John Polidori's novella, the first prose vampire story in English."
1848 CE,Wallachian Revolution,Revolutionaries overthrow ruler Gheorge Bibescu and implement progressive reforms2.
1856 CE,End of Russian Protectorate,European powers end Russia's protectorate after the Crimean War4.
1859 CE,United Principalities,Wallachia unites with Moldavia to form the United Principalities3.
1866 CE,Name Change,The United Principalities adopt the name Romania3.
1877-1878 CE,Russo-Turkish War,Romania gains independence from the Ottoman Empire4.
1881 CE,Kingdom of Romania,Romania officially becomes a kingdom3.
1897 CE,"""Dracula"" Published","Bram Stoker’s novel, linking vampire lore to Vlad the Impaler."
1916-1918 CE,World War I,Romania enters WWI on the side of the Allies6.
1918 CE,Greater Romania,"Bukovina, Transylvania, and parts of Banat, Crișana, and Maramureș join Romania3."
1940-1944 CE,World War II,"Romania initially allies with Nazi Germany, later switches sides to the Allies6."
1947 CE,Communist Takeover,The Romanian People's Republic is established6.
1965 CE,Ceaușescu Era Begins,Nicolae Ceaușescu becomes leader of Romania6.
1989 CE,Romanian Revolution,Ceaușescu regime is overthrown; Romania transitions to democracy6.
1991 CE,New Constitution,Romania adopts a new democratic constitution6.
2004 CE,NATO Membership,Romania joins NATO6.
2007 CE,EU Membership,Romania becomes a member of the European Union6.
2025 CE,Present Day,Romania continues as a democratic state within the EU1.
,,
,,
,,
,,
,,
,,
,,
Here are additional recorded cases of vampires to add to the table:,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"These earlier cases demonstrate that vampire-like beliefs existed long before the more famous 17th and 18th-century cases. The terminology and specific characteristics varied by region and time period, but many core elements remained consistent: recently deceased returning from the grave, causing harm to the living (often through blood consumption), and special disposal methods needed to permanently end the threat.",,
,,
"It's worth noting that many of these earlier accounts weren't labeled as ""vampires"" specifically, as that term gained prominence mainly in the 18th century. Instead, they were described using regional terms like draugr, nachzehrer, strigoi, or simply as revenants or walking dead.",,
