Buddhist Numbered Lists,,,,
1.0,,,,
Right Livelihood,Earning a living ethically,,,
Right Effort,Cultivating wholesome states,,,
Right Mindfulness,"Awareness of body, feelings, mind, and phenomena",,,
Right Concentration,Meditative absorption (Jhana),,,
,,,,
(Partial table shown - would continue with remaining lists in same format),,,,
,,,,
3 Marks of Existence,,,,
Element,Description,,,
Impermanence (Anicca),All conditioned phenomena are transient,,,
Suffering (Dukkha),Unsatisfactory nature of conditioned existence,,,
Non-Self (Anatta),"Absence of permanent, independent identity",,,
3 Poisons,,,,
Element,Description,,,
Greed (Raga),Attachment and craving,,,
Hatred (Dvesa),Aversion and anger,,,
Delusion (Moha),Ignorance of true reality,,,
4 Brahma Viharas (Divine Abodes),,,,
Element,Description,,,
Loving-kindness (Metta),Unconditional goodwill,,,
Compassion (Karuna),Desire to relieve others' suffering,,,
Sympathetic Joy (Mudita),Happiness at others' success,,,
Equanimity (Upekkha),Balanced mind in all circumstances,,,
5 Aggregates (Skandhas),,,,
Element,Description,,,
Form (Rupa),Physical body and senses,,,
Feeling (Vedana),Pleasant/unpleasant/neutral sensations,,,
Perception (Samjna),Recognition and labeling,,,
Mental Formations (Samskara),Thoughts and volitions,,,
Consciousness (Vijnana),Awareness of objects,,,
5 Hindrances,,,,
Element,Description,,,
Sensual Desire,Craving for pleasure,,,
Ill Will,Anger and aversion,,,
Sloth-Torpor,Laziness and dullness,,,
Restlessness-Worry,Mental agitation,,,
Doubt,Skepticism about the path,,,
6 Perfections (Paramitas),,,,
Element,Description,,,
Generosity (Dana),Giving without attachment,,,
Morality (Sila),Ethical conduct,,,
Patience (Ksanti),Endurance of hardship,,,
Energy (Virya),Persistent effort,,,
Meditation (Dhyana),Concentration,,,
Wisdom (Prajna),Insight into reality,,,
7 Factors of Enlightenment,,,,
Element,Description,,,
Mindfulness (Sati),Awareness of present moment,,,
Investigation (Dhamma Vicaya),Inquiry into phenomena,,,
Energy (Viriya),Persistent effort,,,
Joy (Piti),Rapturous happiness,,,
Tranquility (Passaddhi),Peace of body/mind,,,
Concentration (Samadhi),Focused attention,,,
Equanimity (Upekkha),Balanced acceptance,,,
8 Worldly Winds,,,,
Element,Description,,,
Gain and Loss,Of possessions/status,,,
Praise and Blame,From others,,,
Fame and Disrepute,Reputation,,,
Pleasure and Pain,Physical/mental experiences,,,
10 Fetters,,,,
Element,Description,,,
Belief in Self,Identity view,,,
Doubt,In the path,,,
Attachment to Rites,Ritualistic practice,,,
Sensual Desire,Craving for pleasures,,,
Ill Will,Aversion,,,
Desire for Form,Rebirth in material realms,,,
Desire for Formless,Rebirth in immaterial realms,,,
Conceit,Egoism,,,
Restlessness,Mental agitation,,,
Ignorance,Of true nature,,,
12 Links of Dependent Origination,,,,
Element,Description,,,
Ignorance,Not seeing reality clearly,,,
Volitional Formations,Karmic conditioning,,,
Consciousness,Awareness with object,,,
Name-Form,Mental-physical existence,,,
Six Sense Bases,Faculties of perception,,,
Contact,Sense object meeting sense faculty,,,
Feeling,Pleasant/unpleasant/neutral,,,
Craving,Desire for experience,,,
Clinging,Attachment to existence,,,
Becoming,Process of rebirth,,,
Birth,Emergence in a realm,,,
Aging-Death,Inevitable decay,,,
18 Dhatus (Elements),,,,
Element,Description,,,
Eye + Visual Object + Eye Consciousness,Visual perception,,,
Ear + Sound + Ear Consciousness,Auditory perception,,,
Nose + Smell + Nose Consciousness,Olfactory perception,,,
Tongue + Taste + Tongue Consciousness,Gustatory perception,,,
Body + Touch + Body Consciousness,Tactile perception,,,
Mind + Mental Objects + Mind Consciousness,Mental perception,,,
,,,,
6 Perfections (Mahayana Paramitas),,,,
#,Element (Sanskrit),Description,Practice,
1.0,Dāna (Generosity),Giving without attachment,Material/teaching/fearlessness gifts,
2.0,Śīla (Ethics),Moral discipline,"Precepts, bodhisattva vows",
3.0,Kṣānti (Patience),Forbearance,"Tolerance of hardship, non-anger",
4.0,Vīrya (Diligence),Energized effort,Joyful perseverance,
5.0,Dhyāna (Meditation),Concentration,Shamatha-Vipashyana,
6.0,Prajñā (Wisdom),Insight into emptiness,"Analysis, direct realization",
5 Paths (Mahayana Stages),,,,
#,Path,Description,Realization,
1.0,Accumulation,Merit & wisdom gathering,Outer preliminaries,
2.0,Preparation,Heat/peak of realization,Conceptual understanding,
3.0,Seeing,Direct emptiness insight,First bhumi (arhat),
4.0,Meditation,Cultivating realization,Bhumi 2-10,
5.0,No-More-Learning,Buddhahood,Complete enlightenment,
10 Ox-Herding Pictures (Zen),,,,
#,Stage,Symbolism,,
1.0,Searching for Ox,Seeker begins path,,
2.0,Seeing Tracks,Glimpses of nature,,
3.0,Glimpsing Ox,Direct experience,,
4.0,Catching Ox,Initial realization,,
5.0,Taming Ox,Stabilization,,
6.0,Riding Ox Home,Effortless practice,,
7.0,Ox Forgotten,Non-duality,,
8.0,Both Ox & Self Gone,Emptiness,,
9.0,Returning to Source,Suchness,,
10.0,Entering Marketplace,Compassionate activity,,
6 Nails of Niguma (Shangpa Kagyu),,,,
#,Nail,Pith Instruction,,
1.0,Body,Posture like an arrow,,
2.0,Speech,Breath like wind in a tube,,
3.0,Mind,Non-distraction like an old man watching,,
4.0,Awareness,Naked awareness like a child looking,,
5.0,Dharma,View like a mountain,,
6.0,Realization,Meditation like an ocean,,
4 Yogas of Mahamudra (Kagyu),,,,
#,Yoga,Realization,,
1.0,One-Pointedness,Calm abiding,,
2.0,Simplicity,Seeing emptiness,,
3.0,One Taste,Non-duality,,
4.0,Non-Meditation,Spontaneous presence,,
5 Golden Teachings (Dzogchen),,,,
#,Teaching,Key Point,,
1.0,View,Rigpa (pristine awareness),,
2.0,Meditation,Non-fabrication,,
3.0,Action,Spontaneous compassion,,
4.0,Fruit,Rainbow body attainment,,
5.0,Samaya,Unbroken awareness,,
4 Empowerments (Vajrayana),,,,
#,Empowerment,Blessing,,
1.0,Vase,Body purification,,
2.0,Secret,Speech purification,,
3.0,Wisdom,Mind purification,,
4.0,Word,Wisdom-awareness,,
36 Tattvas (Kashmir Shaivism),,,,
Key #,Tattva (Reality),Level,,
1.0,Śiva,Pure consciousness,,
5.0,Māyā,Veiling power,,
11.0,Puruṣa,Individual soul,,
24.0,Pṛthvī (Earth),Gross element,,
36.0,Earth (Final),Most condensed,,
3 Statements of Garab Dorje (Dzogchen),,,,
#,Statement,Meaning,,
1.0,Direct Introduction,Pointing out rigpa,,
2.0,No Doubt,Clarifying nature,,
3.0,Continue in Confidence,Stabilizing realization,,
9 Yanas (Nyingma Vehicles),,,,
#,Yana,Key Practice,,
1.0,Śrāvakayāna,Four Noble Truths,,
6.0,Yogatantra,Deity visualization,,
9.0,Atiyoga (Dzogchen),Trekchö/Tögal,,
Comparative Framework,,,,
Tradition,Key Numbered System,Purpose,,
Zen,10 Ox-Herding,Stages of awakening,,
Kagyu,4 Yogas of Mahamudra,Direct mind realization,,
Nyingma,9 Yanas,Progressive paths,,
Shangpa,6 Niguma Nails,Essence meditation,,
Kashmir Shaivism,36 Tattvas,Map of consciousness,,
Key Features:,,,,
,,,,
Dzogchen & Mahamudra Numbered Systems,,,,
6 Vajra Verses (Dzogchen),,,,
#,Verse,Key Instruction,,
1.0,"""Mind is not mind""",Transcend conceptual mind,,
2.0,"""The nature of mind is clear light""",Recognize innate luminosity,,
3.0,"""Non-dual perfection""",Beyond subject-object duality,,
4.0,"""Spontaneously accomplished""",Effortless presence,,
5.0,"""Beyond all limits""",Infinite openness,,
6.0,"""Present in ground, path, fruit""",Primordial buddhahood,,
4 Lights of Thögal (Dzogchen),,,,
#,Light,Realization Stage,,
1.0,Direct Vision,Seeing light channels,,
2.0,Increasing Experience,Visions of buddha realms,,
3.0,Full Maturity,Rainbow body signs,,
4.0,Exhaustion into Dharmakaya,Final dissolution,,
3 Words of Garab Dorje (Dzogchen),,,,
#,Word,Essence,,
1.0,Direct Introduction,Pointing-out instruction,,
2.0,No Doubt,Clarifying misconceptions,,
3.0,Continue Confidently,Integration in daily life,,
5 Buddha Families (Vajrayana),,,,
#,Family,Wisdom,Poison,Symbol
1.0,Vairocana,Dharmadhātu,Ignorance,Wheel
2.0,Akshobhya,Mirror-like,Anger,Vajra
3.0,Ratnasambhava,Equanimity,Pride,Jewel
4.0,Amitābha,Discriminating,Desire,Lotus
5.0,Amoghasiddhi,All-Accomplishing,Jealousy,Sword
Mahamudra & Advanced Tantra,,,,
4 Mudras (Mahamudra),,,,
#,Mudra,Meaning,,
1.0,Karma Mudra,Action (physical consort),,
2.0,Dharmamudra,Reality (symbolic consort),,
3.0,Samaya Mudra,Commitment (visualization),,
4.0,Mahamudra,Great Seal (non-dual),,
6 Yogas of Nāropa (Kagyu),,,,
#,Yoga,Practice,,
1.0,Inner Heat (Tummo),Channel energy,,
2.0,Illusory Body,Perception as dream,,
3.0,Dream Yoga,Lucid dreaming,,
4.0,Clear Light,Sleep consciousness,,
5.0,Bardo,Transition states,,
6.0,Phowa,Consciousness transfer,,
5 Stages of Guhyasamāja Tantra,,,,
#,Stage,Realization,,
1.0,Isolation of Body,Purify physical,,
2.0,Isolation of Speech,Purify energy,,
3.0,Isolation of Mind,Purify mental,,
4.0,Illusory Body,Relative truth,,
5.0,Clear Light,Absolute truth,,
Kashmir Shaivism & Syncretic Systems,,,,
5 Acts of Śiva (Shaivism),,,,
#,Act,Cosmic Function,,
1.0,Emanation,Creation,,
2.0,Sustenance,Preservation,,
3.0,Dissolution,Destruction,,
4.0,Concealment,Veiling truth,,
5.0,Grace,Revelation,,
7 Chakras (Shaiva-Vajrayana Synthesis),,,,
#,Chakra,Element,Deity,
1.0,Muladhara,Earth,Ganesha,
4.0,Anahata,Air,Vishnu,
6.0,Ajna,Light,Shiva,
7.0,Sahasrara,Void,Guru,
4 States of Consciousness (Māṇḍūkya Upaniṣad),,,,
#,State,Experience,,
1.0,Waking,Gross reality,,
2.0,Dream,Subtle reality,,
3.0,Deep Sleep,Causal void,,
4.0,Turīya,Non-dual,,
Pith Instruction Sets,,,,
4 Thoughts (Ngöndro Preliminaries),,,,
#,Thought,Contemplation,,
1.0,Precious Human Birth,Rarity of opportunity,,
2.0,Impermanence,Death certainty,,
3.0,Karma,Cause-effect,,
4.0,Samsara,Suffering of cycles,,
3 Roots (Vajrayana Refuge),,,,
#,Root,Role,,
1.0,Guru,Blessings,,
2.0,Yidam,Accomplishment,,
3.0,Dakini,Activity,,
6 Bardos (Tibetan Transition States),,,,
#,Bardo,Opportunity,,
1.0,Life,Practice now,,
4.0,Dharmata,Recognize lights,,
6.0,Rebirth,Choose favorable rebirth,,
Comparative Framework: Realization Methods,,,,
Tradition,Key Numbered System,Purpose,,
Dzogchen,4 Lights of Thögal,Rainbow body attainment,,
Kagyu,6 Yogas of Nāropa,Energy mastery,,
Nyingma,6 Bardos,Liberation in dying,,
Shaivism,5 Acts of Śiva,Cosmic cycles,,
Syncretic,7 Chakras,Energy awakening,,
,,,,
,,,,
Dzogchen & Advanced Tantric Systems,,,,
11 Vajra Topics (Dzogchen),,,,
#,Topic,Key Point,Practice,
1.0,Base,Primordial purity,Recognizing rigpa,
4.0,Path,Trekchö (cutting through),Non-meditation,
7.0,Signs,Rainbow body symptoms,Thögal visions,
11.0,Fruit,Dharmakaya unification,Spontaneous presence,
4 Reliances (Maitreya's Teachings),,,,
#,Reliance,Meaning,,
1.0,"Dharma, not person",Truth over personality,,
2.0,"Meaning, not words",Essence over rhetoric,,
3.0,Definitive meaning,Over provisional,,
4.0,Wisdom mind,Over ordinary mind,,
5 Tsigshik (Dzogchen Mind Training),,,,
#,Instruction,Essence,,
1.0,"""Don't recall""",Past thoughts,,
3.0,"""Don't imagine""",Future thoughts,,
5.0,"""Rest naturally""",Present awareness,,
7 Auspicious Examples (Dzogchen),,,,
Example,Symbolism,,,
Mirror,Reflective clarity,,,
Crystal,Unobstructed luminosity,,,
Sky,Boundless space,,,
Mahamudra & Secret Mantra,,,,
8 Worldly Dharmas,,,,
#,Pair,Trap,,
1.0,Pleasure/Pain,Attachment/Aversion,,
4.0,Praise/Blame,Ego inflation/deflation,,
5 Pure Lights (Tantra),,,,
Color,Element,Wisdom,,
White,Water,Mirror-like,,
Red,Fire,Discriminating,,
3 Kayas in Practice,,,,
Kaya,Meditation,Realization,,
Nirmanakaya,Deity yoga,Form,,
Sambhogakaya,Light yoga,Energy,,
Dharmakaya,Empty awareness,Space,,
Kashmir Shaivism & Syncretic Systems,,,,
12 Kalis (Timeless Wisdom),,,,
#,Kali,Function,,
1.0,Para,Transcendent,,
6.0,Chanda,Creative impulse,,
12.0,Mahakala,Dissolution,,
4 Upayas (Means to Liberation),,,,
#,Upaya,Method,,
1.0,Anavopaya,Body-centered,,
4.0,Anupaya,Non-method,,
Bön & Nyingma Esoterica,,,,
9 Vehicles of Bön,,,,
#,Vehicle,Focus,,
3.0,Shen of Magic,Rituals,,
7.0,Direct Path,Dzogchen,,
9.0,Supreme Vehicle,Yangti,,
5 Nails of Space (Dzogchen),,,,
Nail,Function,,,
View,Cutting doubt,,,
Meditation,Natural rest,,,
Pith Instruction Collections,,,,
4 Seals of Dharma,,,,
Seal,Meaning,,,
All compounded is impermanent,Anicca,,,
All emotions are pain,Dukkha,,,
All phenomena are empty,Śūnyatā,,,
Nirvana is peace,Liberation,,,
3 Vital Points (Tsalung),,,,
Point,Practice,,,
Body,Posture,,,
Breath,Energy control,,,
Mind,Non-distraction,,,
Comparative Framework: Realization Maps,,,,
Tradition,Numbered System,Purpose,,
Dzogchen,11 Vajra Topics,Complete path to rainbow body,,
Mahamudra,4 Mudras,Symbolic to non-dual realization,,
Shaivism,12 Kalis,Cosmic creative cycles,,
Bön,9 Vehicles,Graduated path to Yangti,,
