Darius II (Ochus),Parysatis (his half-sister),"Artaxerxes II, Cyrus the Younger, Artostes, Oxendras, Ostanes",Natural causes (404 BCE),"Ruled 423-404 BCE; born illegitimate as ""Ochus""; gained throne through violence; dealt with numerous revolts; heavily influenced by his wife Parysatis",,,,,,,,,,,,,,,,,,,,,
Parysatis,Darius II,"Artaxerxes II, Cyrus the Younger, Artostes, Oxendras, Ostanes",Unknown (after 400 BCE),Extremely powerful and ambitious queen; favored her son Cyrus over Artaxerxes; infamous for cruelty and revenge against enemies,,,,,,,,,,,,,,,,,,,,,
Cyrus the Younger,"Aspasia of Phocaea, others","Several children, names uncertain",Killed in battle (401 BCE at Cunaxa),"Satrap of Lydia; rebelled against brother Artaxerxes II; subject of Xenophon's ""Anabasis""",,,,,,,,,,,,,,,,,,,,,
Artaxerxes II,"Stateira I (chief wife), Tiridatis, Cosmartidene, over 300 concubines according to Plutarch","Darius (crown prince), Ariaspes, Artaxerxes III (Ochus), Atossa (daughter-wife), Apama, Sisygambis, Amestris, Rhodogune, Ocha, over 115 sons according to ancient sources",Natural causes (358 BCE),"Ruled 404-358 BCE; longest-reigning Achaemenid king; faced Cyrus' rebellion; lost Egypt; portrayed in Plutarch's biography; known as ""Mnemon"" (The Mindful)",,,,,,,,,,,,,,,,,,,,,
Stateira I,Artaxerxes II,"Darius (crown prince), possibly others",Poisoned by Parysatis (c. 400 BCE),Murdered by Cyrus' mother Parysatis after the Battle of Cunaxa,,,,,,,,,,,,,,,,,,,,,
Darius (son of Artaxerxes II),Unknown,No confirmed children,Executed (executed 366 BCE),Crown prince who conspired against his father; executed with 50 co-conspirators,,,,,,,,,,,,,,,,,,,,,
Ariaspes,Unknown,"Several children, names uncertain",Suicide (c. 359 BCE),Second son of Artaxerxes II; driven to suicide by his brother Ochus,,,,,,,,,,,,,,,,,,,,,
Atossa (daughter of Artaxerxes II),"Artaxerxes II (her father), later Artaxerxes III","Several children, identities uncertain",Unknown,Daughter-wife of Artaxerxes II; later married her brother Artaxerxes III; suffered from illness according to Plutarch,,,,,,,,,,,,,,,,,,,,,
Artaxerxes III (Ochus),"Atossa (his sister), Stateira (relative)","Artaxerxes IV (Arses), Bisthanes, several other sons executed by Bagoas",Poisoned (338 BCE by the eunuch Bagoas),Ruled 358-338 BCE; ruthless; executed numerous relatives to secure throne; reconquered Egypt; crushed rebellions; poisoned with his sons by Bagoas,,,,,,,,,,,,,,,,,,,,,
Artaxerxes IV (Arses),"Unknown, several wives",Two infant sons (killed by Bagoas),Poisoned (336 BCE by Bagoas),Ruled 338-336 BCE as a puppet of Bagoas; attempted to poison Bagoas but failed,,,,,,,,,,,,,,,,,,,,,
Bagoas (eunuch),None (eunuch),None,Forced to drink poison by Darius III (336 BCE),Powerful court eunuch and kingmaker; not royal blood but effective ruler during Artaxerxes IV's reign,,,,,,,,,,,,,,,,,,,,,
Darius III,Stateira I (cousin/wife),"Stateira II, Drypetis, Ochus (son)",Killed by his cousin Bessus (330 BCE),Ruled 336-330 BCE; last Achaemenid king; defeated by Alexander the Great at Issus and Gaugamela; abandoned at Ecbatana,,,,,,,,,,,,,,,,,,,,,
Stateira I (wife of Darius III),Darius III,"Stateira II, Drypetis",Died in childbirth or illness (333 BCE),Renowned for beauty; captured by Alexander after Battle of Issus; treated with respect,,,,,,,,,,,,,,,,,,,,,
Stateira II,Alexander the Great (after Persian defeat),None,Possibly murdered after Alexander's death (323 BCE),Daughter of Darius III; married Alexander in 324 BCE at Susa Weddings,,,,,,,,,,,,,,,,,,,,,
Drypetis,Hephaestion (Alexander's general),None,Possibly murdered after Alexander's death (323 BCE),Younger daughter of Darius III; married at Susa Weddings,,,,,,,,,,,,,,,,,,,,,
Ochus (son of Darius III),Too young for marriage,None,Fate unknown (possibly executed),Young son of Darius III; mentioned in histories but fate unrecorded,,,,,,,,,,,,,,,,,,,,,
Artaxerxes V (Bessus),Unknown,No confirmed children,Executed by Alexander (329 BCE),"Satrap of Bactria; killed Darius III; proclaimed himself king as ""Artaxerxes V""; captured and executed by Alexander",,,,,,,,,,,,,,,,,,,,,
Sisygambis (mother of Darius III),Unknown,"Darius III, Oxathres",Suicide by starvation after Alexander's death (323 BCE),Mother of Darius III; captured after Battle of Issus; respected by Alexander; chose death upon hearing of Alexander's death,,,,,,,,,,,,,,,,,,,,,
Oxathres,Unknown,"Several children, names uncertain",Unknown,Brother of Darius III; fought at Issus and Gaugamela; later joined Alexander's entourage,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dates are approximate as ancient Persian chronologies have inconsistencies,,,,,,,,,,,,,,,,,,,,,,,,,
"Some relationships, particularly in the early dynasty, are semi-legendary",,,,,,,,,,,,,,,,,,,,,,,,,
"Biblical connections (Esther, Vashti, etc.) are mentioned but disputed by historians",,,,,,,,,,,,,,,,,,,,,,,,,
"Many consorts and children, especially of later kings with large harems, are not recorded by name in historical sources",,,,,,,,,,,,,,,,,,,,,,,,,
Ancient sources sometimes conflict on genealogical details,,,,,,,,,,,,,,,,,,,,,,,,,
