Date (BCE/CE),Event / Theme,Details,Metadata / Sources,,,
500 CE,The period during which the Saka are recorded to have lived in the Eurasian Steppe and the Tarim Basin came to an end.,,,,,
600 CE,Turkic adoption of Cian legacy,Göktürks claim Saka (Scythian) lineage; adopt “Heavenly God” ideology and nomadic military tactics rooted in Cian traditions.,Orkhon inscriptions; Chinese annals,,,
600s,Tang campaigns under Emperor Taizong (r. 626–649) reassert Chinese suzerainty over Khotan.,,,,,
700–800s,"Khotan changes hands between Tang and Tibetan Empires. Khotanese-Saka documents (Buddhist texts, medical treatises) produced.",,,,,
900 BCE,Earliest estimated time for the emergence of the Saka in the Eurasian Steppe and Tarim Basin.,,,,,
900s,Khotanese-Saka royal rescripts reflect Iranian linguistic influence.,,,,,
1000s,"Kara-Khanid Khanate conquers Khotan (~11th century), leading to Turkification and Islamization. Tarim Basin fully linguistically Turkified by end of century.",,,,,
1200 CE,Mongols adopt Cian tactics,"Mongols refine horse archery, mobility, and concentrated firepower, building on Cian/Scythian military innovations.",Secret History of the Mongols,,,
1800 CE,Russian/Chinese suppression,"Nomadic cultures dismantled; Ossetians (Alans), descendants of Cians, preserve Cian language and epic traditions (Nart Sagas).",Modern ethnography; Beckwith interview,,,
2008 CE,South Ossetia War,Ossetians (Cian descendants) clash with Georgia/Russia; preserve oral traditions maintaining Cian cultural memory.,News archives; Beckwith interview,,,
