150 BCE,"Butkara Stupa, Swat",Buddhist,Gandhara,Stupa,,Hellenistic influence,,,,,,,,,,,,,,,,,,,
125 BCE,Sanchi Stupa No. 2,Buddhist,MP,Stupa,Shunga/Satavahana,Earliest decorated stupa.,,,,,,,,,,,,,,,,,,,
115 BCE,Bharhut Stupa,Buddhist,MP,Stupa,Shunga,Noted for sculptural railings.,,,,,,,,,,,,,,,,,,,
100 BCE,Sanchi Stupa No. 3,Buddhist,MP,Stupa,Shunga/Satavahana,Contains relics of Sariputta & Mahamougalayana.,,,,,,,,,,,,,,,,,,,
100 BCE,Jamal Garhi,Buddhist,Gandhara,"Monastery, Stupa",,Rich sculpture,,,,,,,,,,,,,,,,,,,
100 BCE,Takht-i-Bahi,Gandhara,"Monastery, Stupa",Buddhist,"Monumental, UNESCO World Heritage Site",,,,,,,,,,,,,,,,,,,,
100 BCE,Samanar Malai,Jain,"Near Madurai, Tamil Nadu","Caves, monuments",Early historic,Ancient Jain caves and inscriptions.,,,,,,,,,,,,,,,,,,,
60 BCE,Bodh Gaya Stupa,Buddhist,Bihar,Stupa,Shunga/Satavahana,"Decorated stupa, site of Buddha's enlightenment.",,,,,,,,,,,,,,,,,,,
50 BCE,Mathura (Kankali Tila),Jain,"Uttar Pradesh, India","Stupa, ayagapatas","Shunga, Kushan","Jain stupa, reliefs showing stupa design.",,,,,,,,,,,,,,,,,,,
1st–3rd c. CE,"Termez (Fayaz Tepe, Kara Tepe)",Buddhist,Bactria,"Monasteries, Stupas",,Major Buddhist center,,,,,,,,,,,,,,,,,,,
100 CE,Takht Bhai,Buddhist,"Mardan, Khyber-Pakhtunkhwa","Monastery, stupa",Kushan,"Major monastic complex, UNESCO World Heritage Site.",,,,,,,,,,,,,,,,,,,
100 CE,Sehri-Bahlol,Buddhist,"Mardan, Khyber-Pakhtunkhwa","Monastery, stupa",Kushan,Well-preserved monastic ruins.,,,,,,,,,,,,,,,,,,,
150 CE,Loriyan Tangai Stupas,Buddhist,Pakistan,Stupa,Kushan,"Gandhara region, rich decoration.",,,,,,,,,,,,,,,,,,,
150 CE,Peshawar (Kanishka Stupa),Buddhist,"Peshawar, Pakistan",Stupa,Kushan (Kanishka I),"Legendary 13-storey stupa, described by Chinese pilgrims.",,,,,,,,,,,,,,,,,,,
3rd c. CE,Anzhina-Tepe,Buddhist,Bactria,Archaeological Site,,Kharosthi inscriptions,,,,,,,,,,,,,,,,,,,
200 CE,"Barikot ""Street of Temples""",Buddhist,"Swat Valley, Pakistan","Temples, stupas","Indo-Greek, Kushan",Multiple sanctuaries along main road.,,,,,,,,,,,,,,,,,,,
250 CE,Nagarjunakonda Stupas,Buddhist,Andhra Pradesh,Stupa,Ikshvaku,Major Buddhist center.,,,,,,,,,,,,,,,,,,,
300 CE,Bamiyan,Buddhist,"Bamiyan, Afghanistan","Monastery, giant Buddhas","Kushan, Hephthalite, Sassanian","Two colossal Buddha statues (destroyed in 2001), cave monasteries.",,,,,,,,,,,,,,,,,,,
400 CE,"Murti, near Choa Saidan Shah",Jain,"Punjab, Pakistan",Temple (ruins),5th c. CE,Sculptural remains in Lahore Museum.,,,,,,,,,,,,,,,,,,,
500 CE,Gilgit,Buddhist,"Gilgit-Baltistan, Pakistan","Manuscripts, monastery","Kushan, later","Sarvastivadin Buddhist texts, monasteries.",,,,,,,,,,,,,,,,,,,
500 CE,Harwan Monastery,Buddhist,Kashmir,Monastery,,Terracotta tiles,,,,,,,,,,,,,,,,,,,
700 CE,Parihaspora,"Buddhist, Hindu",Kashmir,"City, Temples, Stupas",,Ancient capital,,,,,,,,,,,,,,,,,,,
1200 CE,Nagarparkar Jain Temples,Jain,"Nagarparkar, Sindh, Pakistan","Temples, stupa",12th–15th c. CE,Cluster of exquisitely carved Jain temples.,,,,,,,,,,,,,,,,,,,
1800 CE,"Jain Temple, Thari Bhabrian",Jain,"Lahore, Punjab, Pakistan",Temple,19th c. CE,"Surviving structure, now repurposed.",,,,,,,,,,,,,,,,,,,
1800 CE,"Jain Digambar Temple, Old Anarkali",Jain,"Lahore, Punjab, Pakistan",Temple,19th c. CE,"Destroyed in 1992 riots, now an Islamic school.",,,,,,,,,,,,,,,,,,,
1800 CE,Sadh Belo,Mixed,"Sukkur, Sindh, Pakistan",Temple complex,19th c. CE,Hindu and Jain shrines.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Continued Buddhst and Jain Sites without dates,,,,,,,,,,,,,,,,,,,,,,,,,
Dating,Site Name,Religion,Location,Type,Period,Description,,,,,,,,,,,,,,,,,,,
Unknown,"Viravah, Sindh",Jain,"Sindh, Pakistan",Temple (ruins),Ancient,Described in early surveys.,,,,,,,,,,,,,,,,,,,
Unknown,"Gori, Sindh",Jain,"Sindh, Pakistan",Temple (ruins),Ancient,Early Jain remains.,,,,,,,,,,,,,,,,,,,
Unknown,"Jain Stupa, Sindh",Jain,"Sindh, Pakistan",Stupa,Ancient,Rare Jain stupa.,,,,,,,,,,,,,,,,,,,
Various,Bala Hisar Fort,Buddhist,"Peshawar, Pakistan","Fort, monastery",Various,Archaeological layers include Buddhist occupation.,,,,,,,,,,,,,,,,,,,
Various,Gandhara,Buddhist,"NW Pakistan, NE Afghanistan","Region, multiple",Mauryan–Kushan (3rd c. BCE–5th c. CE),Center of Greco-Buddhist art and learning.,,,,,,,,,,,,,,,,,,,
Various,Udyana,Buddhist,"Swat, Pakistan","Region, monasteries","Kushan, later (1st–5th c. CE)","Fabled Buddhist land, many sites.",,,,,,,,,,,,,,,,,,,
Various,Kabul,Buddhist/Jain,"Kabul, Afghanistan","Monastery, statues","Kushan, later (3rd–7th c. CE)","Buddhist monasteries, Jain statues found.",,,,,,,,,,,,,,,,,,,
Various,Chakdara,Buddhist,"Lower Dir, Khyber-Pakhtunkhwa","Monastery, stupa","Kushan, later (1st–5th c. CE)",Buddhist remains.,,,,,,,,,,,,,,,,,,,
Various,"Ayodhya, Rajgir, Vaishali, Pava, etc.",Buddhist,"Bihar/UP, India","Stupas, monasteries",Various (5th c. BCE onward),Original Buddha relic stupas and early monastic sites.,,,,,,,,,,,,,,,,,,,
Various,"Taxila (Dharmarajika, Jaulian, Mohra Moradu, Sirkap, etc.)",Buddhist,"Taxila, Punjab, Pakistan","Monasteries, stupas, temples","Mauryan, Indo-Greek, Kushan (3rd c. BCE–5th c. CE)",Major ancient university and Buddhist center.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Jewish Sites,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Name/Location,Religion,Region,Type,Dynasty/Ruler,Notes,,,,,,,,,,,,,,,,,,,
ca. 50 BCE,Modi'in (Umm el-Umdan),Jewish,"Shephelah, Judaea",Synagogue,Hasmonean,Early synagogue with adjacent mikveh; continuous use until 132 CE.,,,,,,,,,,,,,,,,,,,
ca. 50 BCE,"Wadi Qelt Synagogue, Tulul Abu el-Alayiq",Jewish,"Near Jericho, Judaea",Synagogue,Hasmonean,Strongly contested identification; destroyed by earthquake.,,,,,,,,,,,,,,,,,,,
ca. 50 BCE,Gamla,Jewish,Golan Heights,Synagogue,Hasmonean,Among earliest known synagogues; destroyed during Jewish Revolt.,,,,,,,,,,,,,,,,,,,
ca. 50 BCE,Modi'in Illit (Khirbet Badd 'Isa),Jewish,"Shephelah, Judaea",Synagogue,Hasmonean,Less published than Umm el-Umdan; near modern Modi'in.,,,,,,,,,,,,,,,,,,,
ca. 30 BCE,Masada,Jewish,Judaean Desert,Synagogue,Herodian,Used by Sicarii during siege; includes genizah.,,,,,,,,,,,,,,,,,,,
ca. 20 BCE,Theodotus Synagogue (City of David/Silwan),Jewish,Jerusalem,Synagogue,Herodian,Known from inscription; provided hostel for pilgrims.,,,,,,,,,,,,,,,,,,,
ca. 30 CE,Capernaum (basalt synagogue),Jewish,Galilee,Synagogue,Roman,Foundation of synagogue where Jesus preached; later white synagogue built above.,,,,,,,,,,,,,,,,,,,
ca. 30 CE,Migdal Synagogue (Magdala),Jewish,Galilee,Synagogue,Roman,Discovered 2009; another 1st-century synagogue found nearby in 2021.,,,,,,,,,,,,,,,,,,,
ca. 50 CE,Khirbet Wadi Hamam (Nahal Arbel),Jewish,Galilee,Synagogue,Roman,"Excavated 2007–2012; near Hamaam, Israel.",,,,,,,,,,,,,,,,,,,
ca. 50 CE,Tel Rekhesh/Tell el-Mukharkhash,Jewish,"Tabor Valley, Galilee",Synagogue,Roman,"""First rural synagogue"" of the period; at Jewish farmstead.",,,,,,,,,,,,,,,,,,,
ca. 150 CE,Catacombs of Praetextatus,Christian,"Rome, Italy",Catacomb,Roman,"Built end of 2nd century; later Christian use, houses martyrs’ tombs.",,,,,,,,,,,,,,,,,,,
ca. 150 CE,Catacombs of San Callisto,Christian,"Rome, Italy",Catacomb,Roman,"Built after 150 CE; major official cemetery for Roman Church, 16 popes buried.",,,,,,,,,,,,,,,,,,,
ca. 180 CE,Catacombs of Priscilla,Christian,"Rome, Italy",Catacomb,Roman,Expanded from family crypt; contains early Christian art.,,,,,,,,,,,,,,,,,,,
ca. 250 CE,Catacombs of San Sebastiano,Christian,"Rome, Italy",Catacomb,Roman,Burial site of St. Sebastian and other martyrs; major pilgrimage site.,,,,,,,,,,,,,,,,,,,
ca. 300 CE,Catacombs of Commodilla,Christian,"Rome, Italy",Catacomb,Roman,Contains early image of bearded Christ; relics of Saints Felix and Adauctus.,,,,,,,,,,,,,,,,,,,
ca. 300 CE,Catacombs of Generosa,Christian,"Rome, Italy",Catacomb,Roman,"Resting place of Simplicius, Faustinus, and Beatrix, martyrs of Diocletian persecution.",,,,,,,,,,,,,,,,,,,
ca. 300 CE,Catacombs of San Lorenzo,Christian,"Rome, Italy",Catacomb/Church,Roman,Burial site of St. Lawrence; church later built above.,,,,,,,,,,,,,,,,,,,
ca. 300 CE,Kfar Baram Synagogue,Jewish,"Galilee, Israel",Synagogue,Roman,One of Israel’s oldest synagogues; remains visible today.,,,,,,,,,,,,,,,,,,,
ca. 400 CE,Beth Alpha Synagogue,Jewish,"Gilboa, Israel",Synagogue,Byzantine,Rich mosaics; prayer hall facing Jerusalem.,,,,,,,,,,,,,,,,,,,
ca. 400 CE,Capernaum (white synagogue),Jewish,Galilee,Synagogue,Byzantine,Built above earlier basalt synagogue; elaborate construction.,,,,,,,,,,,,,,,,,,,
ca. 400 CE,Anim Synagogue,Jewish,"Negev, Israel",Synagogue,Byzantine,"Excavated 1987; prayer hall, portico, courtyard, mosaic evidence.",,,,,,,,,,,,,,,,,,,
ca. 500 CE,Church of St. Agnes,Christian,"Rome, Italy",Church,Roman/Byzantine,Built over St. Agnes’ burial site; rebuilt in 7th century.,,,,,,,,,,,,,,,,,,,
ca. 550 CE,Arbel Synagogue,Jewish,"Galilee, Israel",Synagogue,Byzantine,Remains include prayer hall and stone benches.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
🌞 Solar Temples & Monuments,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Name/Location,Religion,Region,Type,Dynasty/Ruler,Notes,,,,,,,,,,,,,,,,,,,
2600 BCE,Sun Temple of Niuserre,Egyptian,"Abusir, Egypt",Temple,Fifth Dynasty,Dedicated to Ra; monumental ruins.,,,,,,,,,,,,,,,,,,,
1250 BCE,Temple of Karnak,Egyptian,"Thebes, Egypt",Temple Complex,New Kingdom,Major religious center; aligned with solar events.,,,,,,,,,,,,,,,,,,,
1050 BCE,Temple of Amun-Ra,Egyptian,"Karnak, Egypt",Temple,21st Dynasty,Central to Egyptian solar worship.,,,,,,,,,,,,,,,,,,,
1000 BCE,Temple of Ra-Horakhty,Egyptian,"Heliopolis, Egypt",Temple,Late Period,Dedicated to the sun god Ra.,,,,,,,,,,,,,,,,,,,
300 BCE,Konark Sun Temple,Hindu,"Odisha, India",Temple,Eastern Ganga Dynasty,Known for its chariot wheel design; UNESCO World Heritage Site.,,,,,,,,,,,,,,,,,,,
1000 CE,Surya Mandir,Hindu,"Arasavalli, India",Temple,Eastern Chalukya Dynasty,One of the oldest Surya temples in India.,,,,,,,,,,,,,,,,,,,
12th c. CE,Modhera Sun Temple,Hindu,"Gujarat, India",Temple Complex,Solanki Dynasty,Renowned for its architectural alignment with the sun.,,,,,,,,,,,,,,,,,,,
4th c. CE,Sun Temple of Abu Ghosh,Jewish,"Abu Ghosh, Israel",Temple,Byzantine Empire,Associated with solar worship; Byzantine period.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Summary Table: Key Religious Site Types with Numeric Dates,,,,,,,,,,,,,,,,,,,,,,,,,
Tradition,Date Range (BCE/CE),Site Types,Notable Locations/Examples,,,,,,,,,,,,,,,,,,,,,,
Median,800–600 BCE,"Open-air altars, fire cult sites",NW Iran (general),,,,,,,,,,,,,,,,,,,,,,
Saka-Scythian,700 BCE–100 CE,"Kurgans (burial mounds), fire altars, petroglyph sanctuaries","Issyk, Shilikty, Cholpon-Ata",,,,,,,,,,,,,,,,,,,,,,
Mazdaism/Zoroastrian,550 BCE–present,"Fire temples (Atashkadeh), chahartaq, Towers of Silence, mountain shrines","Yazd, Kashmar, Isfahan, Neyasar, Pir-e Sabz",,,,,,,,,,,,,,,,,,,,,,
Manichaean,250–700 CE,"Temples, monasteries (few remains)","Ctesiphon, Babylon, Samarkand (lost sites)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Mithraea,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Name/Location,Region,Notes/Details,Main Source(s),,,,,,,,,,,,,,,,,,,,,
148CE,Caesarea Maritima Mithraeum,"Caesarea, Israel",Earliest dateable Mithraeum outside Italy; archaeological and inscriptional evidence.,1.0,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the Baths of Mithras (Terme del Mitra) (I,XVII,2)","Ostia Antica, Italy","Located in baths complex; painted landscapes, truncated tufa pyramids (symbolizing Mithras’ birth from rock), bull-slaying statue in situ.",Coarelli 1983; De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the Painted Walls (Mitreo delle Pareti Dipinte) (III,I,6)","Ostia Antica, Italy",Known for well-preserved painted wall decorations; late 2nd century CE construction/modifications.,De Maria 1997; Turcan 1996,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the Animals (Mitreo degli Animali) (IV,II,11)","Ostia Antica, Italy","Mosaic depicting naked man, cock, raven, scorpion, snake, bull’s head; symbolic animals in Mithraic iconography.",De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the Seven Gates (Mitreo delle Sette Porte) (IV,V,13)","Ostia Antica, Italy",Mosaic floor with seven gates symbolizing the seven planetary spheres/initiation grades of Mithraism.,Turcan 1996; Beck 2006,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the Seven Spheres (Mitreo delle Sette Sfere) (II,VIII,6)","Ostia Antica, Italy","Black-and-white mosaics of planets, zodiac signs, and Mithraic initiation symbols; key for understanding Mithraic cosmology.",Beck 2006; De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of Felicissimus (V,IX,1)","Ostia Antica, Italy","Mosaic depicting Mithraic grades; inscription mentioning Felicissimus, a Mithraic initiate.",Turcan 1996; De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the Footprint (Mitreo dell’Impronta) (III,XVII,2)","Ostia Antica, Italy",Named for a footprint impression found in situ; details limited but typical Mithraic layout.,De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of the House of Diana (Mitreo della Casa di Diana) (I,III,3-4)","Ostia Antica, Italy",Located inside the House of Diana; typical Mithraic features and layout.,De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of Lucretius Menander (Mitreo di Lucrezio Menandro) (I,III,5)","Ostia Antica, Italy",Located in the House of Lucretius Menander; typical Mithraic iconography and layout.,De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,"Mithraeum of Fructosus (Mitreo di Fructosus) (I,X,4)","Ostia Antica, Italy",Associated with guild of stuppatores (mat-makers); shrine adapted from earlier structure.,Turcan 1996,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,Mithraeum of the Imperial Palace (Mitreo del Palazzo Imperiale),"Ostia Antica, Italy",Located in the Imperial Palace complex; reflects elite patronage of Mithraism.,De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,Mithraeum “Fagan”,"Ostia Antica, Italy",Discovered in 20th century; details limited; typical Mithraic cult features.,De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,Mithraeum of the Seven Gates (alternative site),"Ostia Antica, Italy",Sometimes counted separately due to mosaic complexity; emphasizes Mithraic initiation symbolism.,Beck 2006,,,,,,,,,,,,,,,,,,,,,
150CE–250CE,Additional small Mithraea (various minor locations),"Ostia Antica, Italy",Archaeological evidence of smaller or fragmentary mithraea scattered in Ostia’s urban fabric.,De Maria 1997,,,,,,,,,,,,,,,,,,,,,
150CE–300CE,Tienen Mithraeum,"Tienen, Belgium",Well-preserved; features tauroctony relief and ritual artifacts.,1.0,,,,,,,,,,,,,,,,,,,,,
2nd–3rd c. CE,Mithraeum of Carrawburgh,"Hadrian's Wall, UK",Located along Hadrian's Wall; features Mithras slaying the bull.,Mithraeum,Roman Empire,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Jajce Mithraeum,"Jajce, Bosnia",Noted for its tauroctony relief; one of the best-preserved in the Balkans.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Konjic Mithraeum,"Konjic, Bosnia",Discovered near the Neretva River; typical Mithraic layout.,1.0,,,,,,,,,,,,,,,,,,,,,
150CE–300CE,Alexandria Mithraeum,"Alexandria, Egypt","Archaeological evidence and papyri referencing Mithraic cult (e.g., P. Oxy. 1802); papyri detail initiatory rites.",1.0,,,,,,,,,,,,,,,,,,,,,
150CE–300CE,Memphis Mithraeum,"Memphis, Egypt",Archaeological and papyrological evidence; P. Oxy. 1802 and related texts.,1.0,,,,,,,,,,,,,,,,,,,,,
150CE–300CE,Oxyrhynchus Mithraeum,"Oxyrhynchus, Egypt","Papyri evidence (notably P. Oxy. 1802) describes Mithraic rituals, grades, and possibly liturgy.",1.0,,,,,,,,,,,,,,,,,,,,,
150CE–300CE,Hermopolis Mithraeum,"Hermopolis, Egypt","Archaeological remains; no specific papyri cited, but cult presence attested.",1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Angers Mithraeum,"Angers, France",Archaeological site; typical Mithraic iconography.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Biesheim Mithraeum,"Biesheim, France",Well-preserved; features tauroctony and dedications.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mackwiller Mithraeum,"Mackwiller, France",Noted for its reliefs and inscriptions.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mariana Mithraeum,"Mariana, France",Archaeological site; details limited.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Sarrebourg Mithraeum,"Sarrebourg, France",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Strasbourg (Koenigshoffen) Mithraeum,"Strasbourg, France",Located in Koenigshoffen district; notable for reliefs and dedications.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Cologne Mithraeum,"Cologne, Germany",Important urban Mithraeum; features altars and dedications.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Dieburg/Darmstadt Mithraeum,"Dieburg/Darmstadt, Germany",Mithraeum relics displayed in Freiburg museum.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Frankfurt-Heddernheim Mithraeum,"Frankfurt, Germany",Notable for multiple Mithraic finds and altars.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Freiburg (Riegel am Kaiserstuhl) Mithraeum,"Riegel, Germany",Relics displayed in Freiburg museum; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Gimmeldingen Mithraeum,"Gimmeldingen, Germany",Archaeological site; local significance.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Güglingen Mithraeum,"Güglingen, Germany",Well-preserved; notable for local dedications.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Hanau Mithraeum,"Hanau, Germany",Archaeological site; typical Mithraic layout.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Heidelberg Mithraeum (Kurpfälzisches Museum),"Heidelberg, Germany",Mithraeum artifacts displayed in museum.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Königsbrunn Mithraeum (near Augsburg),"Königsbrunn, Germany",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mainz Mithraeum (Mogontiacum),"Mainz, Germany",Consecration altars and dedications; major urban Mithraeum.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Neuss Mithraeum (Castra Novaesia),"Neuss, Germany",Located at Roman legionary camp; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Osterburken Mithraeum,"Osterburken, Germany",Archaeological site; typical Mithraic layout.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Saalburg Mithraeum,"Saalburg, Germany",Located at reconstructed Roman fort; open to public.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Saarbrücken Mithraeum,"Saarbrücken, Germany",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Schwarzerden Mithraeum,"Schwarzerden, Germany",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Wiesloch Mithraeum,"Wiesloch, Germany",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Aquincum Mithraeum (of Victorinus),"Budapest, Hungary",Remains open within Aquincum Archaeological Park; well-preserved.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Savaria Mithraeum,"Szombathely, Hungary",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Fertőrákos Mithraeum,"Fertőrákos, Hungary",Archaeological site; well-preserved.,1.0,,,,,,,,,,,,,,,,,,,,,
2nd–3rd c. CE,Mithraeum of Sabratha,"Sabratha, Libya",Notable for its well-preserved frescoes and inscriptions.,Mithraeum,Roman Empire,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Jerusalem (Via Dolorosa) Mithraic find,"Jerusalem, Israel",Possible Mithraeum near Second Station; two vases with Mithraic iconography excavated.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of the Circus Maximus,"Rome, Italy",Large urban Mithraeum; open by appointment.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Barberini Mithraeum,"Rome, Italy",Well-preserved; open by appointment.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of San Clemente,"Rome, Italy",Under the basilica of San Clemente; open to public.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of the Baths of Caracalla,"Rome, Italy",Open by appointment; significant urban Mithraeum.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Castra Peregrinorum Mithraeum (Santo Stefano Rotondo),"Rome, Italy",Under the church of Santo Stefano Rotondo; open by appointment.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum under Santa Prisca,"Rome, Italy",Under the basilica of Santa Prisca; famous frescoes of Mithraic initiates.,13.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of Santa Maria Capua Vetere,"Campania, Italy",Large and well-preserved; one of the most significant in southern Italy.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of Naples,"Naples, Italy",Well-preserved; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
