"Timeline of Major and Minor Prophets, Hero Figures, and Miracle Workers Across Traditions",,,,,,,,,
c. 765-700 BCE,Isaiah,Judaism/Christianity,Judah,"Messianic prophecy, social justice",Book of Isaiah (parts),Prophetic visions,Court prophet in Jerusalem,Yes (tradition: sawn in half),Kingdom of Judah (Uzziah to Hezekiah)
c. 750-725 BCE,Hosea,Judaism/Christianity,Northern Israel,Faithful love despite unfaithfulness,Book of Hosea,Prophetic symbolic actions,Prophet whose personal life symbolized Israel's relationship with God,Unknown,"Last kings of Israel, Assyrian invasion"
c. 740-700 BCE,Micah,Judaism/Christianity,Judah,"Social justice, messianic prophecy",Book of Micah,Prophetic visions,Rural prophet from Moresheth,Unknown,Kingdom of Judah (Jotham to Hezekiah)
c. 650-570 BCE,Jeremiah,Judaism/Christianity,Judah,"Warning of judgment, future restoration","Book of Jeremiah, Lamentations","Prophetic visions, symbolic actions",Prophet during Jerusalem's fall,No (died in Egypt),"Last kings of Judah, Neo-Babylonian Empire"
c. 620-570 BCE,Ezekiel,Judaism/Christianity,Babylon,"Divine presence beyond Jerusalem, future restoration",Book of Ezekiel,"Dramatic visions, transportation in spirit",Priest-prophet among exiles in Babylon,No,Neo-Babylonian Empire (Nebuchadnezzar II)
c. 600-530 BCE,Daniel,Judaism/Christianity,"Babylon, Persia",Divine sovereignty over empires,Book of Daniel,"Interpretation of dreams, survival in lions' den",Jewish exile who rose to high position in foreign courts,No,Neo-Babylonian and Persian Empires
c. 628-551 BCE,Zarathustra (Zoroaster),Zoroastrianism,Persia/Central Asia,"Cosmic dualism, ethical monotheism, free will",Gathas (hymns in the Avesta),"Visions of Ahura Mazda, miracles against demons",Priest who received divine revelation at age 30,Uncertain (some traditions say murdered),Early Achaemenid Dynasty or earlier
c. 600-550 BCE,Mahavira,Jainism,Eastern India,"Ahimsa (non-violence), anekantavada (many-sidedness of truth)",Jain Agamas (attributed),"Omniscience, supernatural powers","Born to royal family, renounced wealth at 30",No,Haryanka Dynasty (Magadha)
c. 566-486 BCE,Siddhartha Gautama (Buddha),Buddhism,Northern India,"Four Noble Truths, Eightfold Path",Tripitaka (attributed sayings),"Psychic powers, walking on water, multiplying food",Prince who renounced wealth to seek enlightenment,No,Later Haryanka Dynasty (Magadha)
c. 551-479 BCE,Confucius,Confucianism,China,"Social harmony, proper relationships, virtue",Analects (compiled by disciples),None claimed,Teacher and failed government official,No,Zhou Dynasty (Spring and Autumn Period)
c. 500-430 BCE,Parshvanatha,Jainism,Eastern India,Four vows of Jainism,Teachings preserved by tradition,"Supernatural knowledge, conversion of serpent deity",Prince who became ascetic,No,Haryanka Dynasty (Magadha)
c. 490-410 BCE,Protagoras,Greek Philosophy,Greece,"Relativism, humanism",Various works (mostly lost),"Teaching wisdom, rhetoric",Traveling sophist philosopher,No,"Athenian Democracy, Persian Empire"
c. 469-399 BCE,Socrates,Greek Philosophy,Athens,"Ethical inquiry, self-knowledge",None authored (known through Plato's dialogues),"Divine sign (daimonion), trance states",Stonemason turned philosopher,Yes (execution by hemlock),Athenian Democracy
c. 372-289 BCE,Mencius,Confucianism,China,"Innate human goodness, virtuous government",Book of Mencius,None claimed,"Confucian scholar, attempted to advise rulers",No,Zhou Dynasty (Warring States Period)
c. 340-278 BCE,Epicurus,Greek Philosophy,Greece,"Pleasure as absence of pain, materialism",Letters and maxims,None claimed,Founded philosophical school in Athens,No,"Macedonian Empire, early Hellenistic period"
c. 304-232 BCE,Ashoka,Buddhism,India,"Non-violence, dharma, religious tolerance",Rock and pillar edicts,Conversion after warfare,Emperor who embraced Buddhism after violent conquest,No,Mauryan Empire
c. 300-200 BCE,Laozi (traditional dating),Daoism,China,"Wu-wei (non-action), naturalness",Daodejing (traditionally attributed),"Immortality, disappearance to the west",Possibly legendary court archivist,No,Zhou Dynasty (later tradition places him earlier)
c. 6-4 BCE - 30-33 CE,Jesus Christ/Isa,Christianity/Islam,Palestine,"Love, forgiveness, kingdom of God",None authored (teachings in Gospels/mentioned in Quran),"Healing sick, raising dead, water to wine, feeding multitudes, resurrection","Born in Bethlehem, ministry in Galilee and Judea",Yes (crucifixion),Roman Empire (Augustus and Tiberius)
c. 3 BCE - 70 CE,Paul of Tarsus,Christianity,Eastern Mediterranean,"Salvation by faith, gentile inclusion",Epistles in New Testament,"Healing, surviving shipwreck and snakebite",Jewish persecutor turned Christian missionary,Yes (beheaded in Rome),Roman Empire (Tiberius to Nero)
c. 570-632 CE,Muhammad,Islam,Arabia,"Tawhid (monotheism), submission to God",Quran (received revelation),"Night Journey to Jerusalem/Heaven, splitting the moon",Merchant who received revelations at 40,No,"Byzantine and Sassanid Empires, then early Caliphate"
c. 480-573 CE,Bodhidharma,Buddhism (Chan/Zen),India to China,"Direct mind transmission, meditation",Various treatises attributed,"Wall-gazing for nine years, crossing Yangtze on reed",Indian monk who brought Chan Buddhism to China,No,Northern and Southern Dynasties (China)
c. 570-636 CE,Isidore of Seville,Christianity,Spain,"Encyclopedia of knowledge, Church unity",Etymologiae (encyclopedia),None significant reported,"Bishop, scholar, church administrator",No,Visigothic Kingdom
c. 788-820 CE,Padmasambhava,Tibetan Buddhism,"Tibet, India","Tantric Buddhism, subjugation of local spirits",Hidden treasure texts (terma),"Subduing demons, flying, immortality",Indian tantric master who helped establish Buddhism in Tibet,No,Tibetan Empire (Trisong Detsen)
1182-1226 CE,Francis of Assisi,Christianity,Italy,"Poverty, nature, simplicity","Canticle of the Sun, various rules","Stigmata, healing, preaching to animals",Wealthy merchant's son who renounced wealth,No,Holy Roman Empire (Frederick II)
1098-1179 CE,Hildegard of Bingen,Christianity,Germany,"Divine visions, music as spirituality","Scivias, musical compositions","Prophetic visions, healing","Benedictine abbess, polymath",No,Holy Roman Empire (various rulers)
1207-1273 CE,Rumi,Islam (Sufism),Persia/Anatolia,"Divine love, universal spirituality","Masnavi, Divan-e Shams","Spiritual ecstasy, poetic inspiration",Scholar who became mystical poet after meeting Shams,No,Seljuk Sultanate of Rum
1225-1274 CE,Thomas Aquinas,Christianity,Italy,Synthesis of faith and reason,Summa Theologica,"Levitation, miraculous knowledge",Dominican friar and scholar,No,"Holy Roman Empire (Frederick II, interregnum)"
1336-1405 CE,Timur (Tamerlane),Islam,Central Asia,Imperial conquest in name of Islam,None authored,"Military genius, prophetic dreams",Conqueror who claimed descent from Genghis Khan,No,Timurid Empire (founder)
1347-1380 CE,Catherine of Siena,Christianity,Italy,"Direct dialogue with God, Church reform",Dialogue of Divine Providence,"Stigmata, extended fasting",Mystic who influenced popes,No,Various Italian states
1433-1499 CE,Guru Nanak,Sikhism,Punjab,"One God, equality of all, rejection of ritual",Compositions in Guru Granth Sahib,Various miraculous accounts,Founder of Sikhism,No,"Delhi Sultanate, early Mughal Empire"
1469-1539 CE,Mirabai,Hinduism,India,Devotion to Krishna,Devotional poems,"Mystical visions, survival of poison",Princess who renounced royal life for spiritual devotion,No (some traditions say disappeared into idol),"Delhi Sultanate, early Mughal Empire"
1483-1546 CE,Martin Luther,Christianity (Protestantism),Germany,"Salvation by faith alone, Bible authority","95 Theses, Bible translation",None claimed,Monk who sparked Protestant Reformation,No,Holy Roman Empire (Charles V)
1542-1591 CE,Teresa of Ávila,Christianity,Spain,"Interior Castle of the soul, mystical prayer","Interior Castle, autobiography","Levitation, transverberation of heart",Carmelite nun and mystical writer,No,Spanish Habsburg Dynasty (Philip II)
1564-1616 CE,Galileo Galilei,Scientific Revolution,Italy,"Heliocentrism, empirical observation",Dialogue Concerning Two World Systems,None claimed (scientific discoveries),"Mathematician, astronomer, physicist",No (but faced Inquisition),"Grand Duchy of Tuscany, Papal States"
1628-1703 CE,Shabdrung Ngawang Namgyal,Tibetan Buddhism,Bhutan,"Unification of Bhutan, Buddhist governance","Legal codes, religious texts","Subduing demons, weather control",Tibetan lama who unified Bhutan,No,Founder of Bhutanese state
1879-1950 CE,Albert Einstein,Modern Physics,Germany/Switzerland/USA,"Relativity, quantum foundations",Scientific papers on relativity,None claimed (scientific insights),Patent clerk turned world-famous physicist,No,"German Empire, Weimar Republic, Nazi Germany, USA"
1869-1948 CE,Mohandas Gandhi,Hinduism/Political,India,"Non-violence (ahimsa), truth (satya), civil disobedience","Autobiography, political writings",None claimed (moral influence),Lawyer who became independence leader,Yes (assassination),British Raj
1887-1986 CE,Mother Teresa,Christianity,India,"Service to ""poorest of the poor""",No major works,Healing miracles attributed posthumously,Albanian nun who worked in Calcutta slums,No,"British Raj, Republic of India"
1929-1968 CE,Martin Luther King Jr.,Christianity/Civil Rights,USA,"Racial equality, non-violence","""Letter from Birmingham Jail,"" speeches",None claimed (moral/political influence),Baptist minister and civil rights leader,Yes (assassination),United States (Eisenhower to Johnson administrations)
1931-present,14th Dalai Lama,Tibetan Buddhism,Tibet/India,"Compassion, non-violence, interfaith harmony",Numerous books on Buddhism and ethics,Identified as reincarnation through tests,Tibetan Buddhist leader in exile,No,"Communist China, Indian Republic (exile)"
,,,,,,,,,
Expanded Timeline of Prophets and Miracle Workers Including Hellenic Traditions,,,,,,,,,
Date,Name,Tradition,Region,Key Teachings,Notable Works/Texts,Reported Miracles/Powers,Biographical Information,Martyrdom,Ruling Dynasty/Power
c. 1400-1200 BCE,Orpheus,Orphic Mysteries,Thrace/Greece,"Soul immortality, ritual purification",Hymns (attributed),"Charming animals with music, journey to underworld, moving stones and trees","Mythical poet-prophet, son of a Muse",Yes (torn apart by Maenads),Mycenaean Greece
c. 1200-1100 BCE,Musaeus,Greek Mystery Religion,Greece,"Purification rituals, prophecy",Oracles (lost),"Prophetic abilities, healing","Student or son of Orpheus, legendary poet-prophet",Unknown,Late Bronze Age Greece
c. 1100-1000 BCE,Trophonius,Greek Chthonic cult,"Boeotia, Greece",Underworld wisdom,None extant,"Oracular cave, prophetic dreams",Hero-architect deified after death,Consumed by earth,Dark Age Greece
c. 800-700 BCE,Hesiod,Greek Religious Poetry,Greece,"Divine order, ethics, work","Theogony, Works and Days",Divine inspiration from Muses,Farmer turned poet after divine visitation,Unknown,"Archaic Greece, various poleis"
c. 700-600 BCE,Epimenides of Crete,Greek Purification Rites,Crete,"Ritual purification, divination",Various works (lost),"Slept for 57 years, miraculous longevity, purifying Athens of plague",Cretan seer who purified Athens,No,Early Archaic Greek city-states
c. 680-572 BCE,Aristeas of Proconnesus,Greek Shamanism,Black Sea region,"Apollonian mysteries, shamanic journey",Arimaspea (lost),"Soul-travel, shapeshifting into raven, bilocation, appearing after death","Follower of Apollo, traveler to northern lands",No (disappearance),Archaic Greek colonies
c. 624-547 BCE,Thales of Miletus,Early Greek Philosophy,Ionia,"Water as primary substance, natural causes",None survive,"Predicted solar eclipse, diverted river",First philosopher of Western tradition,No,"Lydian Kingdom, Persian Empire"
c. 610-547 BCE,Zalmoxis,Thracian/Dacian,Thrace,"Soul immortality, afterlife",None extant,"Disappearance and reappearance after 3 years, underground dwelling",Former slave who became divine figure to Getae,No (deified),Thracian tribes
c. 580-500 BCE,Pythagoras,Pythagoreanism,Samos/S. Italy,"Mathematical order of cosmos, transmigration of souls",None authored (teachings preserved by followers),"Golden thigh, bilocation, memory of past lives, speaking to animals",Philosopher who founded religious community,Yes (some accounts),"Various Greek tyrants, Persian Empire"
c. 570-495 BCE,Abaris the Hyperborean,Greek/Scythian,Northern Europe/Greece,Apollonian prophecy,None extant,"Flying on an arrow, fasting, healing, weather control",Northern shaman-prophet who served Apollo,Unknown,Archaic Greek city-states
c. 550-490 BCE,Parmenides,Greek Philosophy,"Elea, Italy","Unity of being, truth vs. appearance",On Nature,"Divine guidance, journey to goddess of Truth",Founder of Eleatic school of philosophy,No,Western Greek colonies
c. 535-475 BCE,Heraclitus,Greek Philosophy,Ephesus,"Universal flux, logos",On Nature (fragments),"None specifically, but divine wisdom",Aristocrat who rejected conventional society,No,Persian Empire rule of Ionia
c. 500-428 BCE,Anaxagoras,Greek Philosophy,Athens,Mind (nous) as ordering principle,On Nature (lost),"Predicted meteorite fall, weather prediction","First philosopher in Athens, teacher of Pericles",No (exiled),"Athenian Democracy, Persian Empire"
c. 495-429 BCE,Empedocles,Greek Philosophy/Religion,Sicily,"Four elements, cosmic cycles of love and strife","On Nature, Purifications","Weather control, healing the sick, stopping winds, raising the dead","Philosopher, healer, political figure",Possibly (leapt into volcano in some accounts),Greek colonies in Sicily
c. 469-399 BCE,Socrates,Greek Philosophy,Athens,"Ethical inquiry, self-knowledge",None authored (known through Plato's dialogues),"Divine sign (daimonion), trance states",Stonemason turned philosopher,Yes (execution by hemlock),Athenian Democracy
c. 450-420 BCE,Diagoras of Melos,Greek Atheism,Athens,"Rejection of gods, criticism of religion",Various works (lost),None (famous for denying miracles),Poet who became atheist after injustice,No (fled Athens),Athenian Democracy
c. 425-348 BCE,Plato,Greek Philosophy,Athens,"Forms, soul immortality, ideal state","Dialogues (Republic, Symposium, etc.)",None claimed but mystical visions described,"Student of Socrates, founded Academy",No,"Late Athenian Democracy, Macedonian rise"
c. 405-335 BCE,Aeschines of Sphettus,Greek Philosophy,Athens,"Socratic dialogue, virtue",Works mentioned but lost,No specific miracles,Socratic philosopher,No,"Athenian Democracy, Macedonian Empire"
c. 380-330 BCE,Heraclides Ponticus,Greek Philosophy,Heraclea/Athens,"Soul immortality, rotation of Earth",Various works (lost),Reported revival of apparently dead woman,"Plato's student, astronomer and philosopher",No,"Late Classical Athens, Macedonian Empire"
c. 375-315 BCE,Xenocrates,Greek Philosophy,Athens,"Platonism, ethics, demonology",Various works (lost),"Taming wild birds, incorruptibility",Head of Platonic Academy,No,Macedonian Empire
c. 360-280 BCE,Crantor,Greek Philosophy,Athens,"Platonic ethics, commentary on Timaeus",On Grief (lost),None reported,"Academic philosopher, first commentator on Plato",No,Early Hellenistic kingdoms
c. 341-270 BCE,Epicurus,Greek Philosophy,Athens,"Atomic theory, pleasure ethics","Letters, maxims",None claimed (denied divine intervention),Founded Garden school in Athens,No,Early Hellenistic kingdoms
c. 334-262 BCE,Zeno of Citium,Stoicism,Athens,Virtue as living according to nature,Various works (lost),None claimed,Merchant who founded Stoic school after shipwreck,No,Early Hellenistic kingdoms
c. 310-230 BCE,Arcesilaus,Greek Philosophy,Athens,Academic skepticism,None survive,None claimed,Head of Platonic Academy,No,Hellenistic kingdoms
c. 300-200 BCE,Euhemerus,Greek Philosophy,Macedonia/Sicily,Gods as deified humans,Sacred History (lost),None claimed (explained away others' miracles),Court philosopher under Cassander,No,Early Hellenistic kingdoms
c. 276-194 BCE,Eratosthenes,Greek Science,Alexandria,"Mathematics, geography",Various scientific works,None claimed (scientific discoveries),Chief librarian of Alexandria,No,Ptolemaic Egypt
c. 262-190 BCE,Apollonius of Perga,Greek Mathematics,Alexandria,Conic sections,Conics,None claimed (mathematical discoveries),"Mathematician called ""The Great Geometer""",No,Ptolemaic Egypt
c. 250-180 BCE,Chrysippus,Stoicism,Athens,"Stoic logic, ethics, determinism",Hundreds of works (mostly lost),None claimed,Systematic developer of Stoicism,No,Hellenistic kingdoms
c. 214-129 BCE,Carneades,Greek Philosophy,Athens,Radical skepticism,None survive,None claimed (argued against certainty),Head of Platonic Academy,No,Roman Republic expansion
c. 135-51 BCE,Posidonius,Stoicism,Rhodes,"Cosmic sympathy, astronomy",Various works (fragments),None claimed (scientific knowledge),"Polymath, teacher of Cicero",No,Late Hellenistic/Early Roman period
c. 115-50 BCE,Nigidius Figulus,Roman Pythagoreanism,Rome,"Divination, astrology, Pythagoreanism",Various works (lost),"Magical practices, prophecies",Roman senator and scholar,No,Late Roman Republic (Marian-Sullan era)
c. 40 BCE - 15 CE,Tiberius Claudius Thrasyllus,Pythagoreanism/Platonism,Rhodes/Rome,"Astrology, divination",Works on astrology (lost),Astrological predictions,Court astrologer to Emperor Tiberius,No,Late Roman Republic/Early Empire
c. 30 BCE - 50 CE,Philo of Alexandria,Hellenistic Judaism,Alexandria,"Allegorical interpretation, Logos theology",Various philosophical treatises,None claimed (mystical experiences),Jewish philosopher syncretizing Greek and Jewish thought,No,Early Roman Empire (Augustus to Claudius)
c. 15-95 CE,Apollonius of Tyana,Neo-Pythagoreanism,"Anatolia, wider Mediterranean","Ascetic Pythagoreanism, divine wisdom",None survive,"Healing, raising the dead, bilocation, prophecy, disappearing from court",Charismatic philosopher and wonder-worker,No,Early Roman Empire (Tiberius to Domitian)
c. 50-120 CE,Plutarch,Platonism,Greece,"Ethical philosophy, religious syncretism","Parallel Lives, Moralia",None claimed (priest of Apollo),"Priest at Delphi, biographer, philosopher",No,Roman Empire (Nero to Hadrian)
c. 30-100 CE,Simon Magus,Gnosticism,Samaria/Rome,"Divine humanity, magical power",None survive,"Levitation, transformations, magical contests",Religious figure opposed by early Christians,Yes (fell during flight attempt in some accounts),Early Roman Empire
c. 100-170 CE,Numenius of Apamea,Neo-Pythagoreanism/Platonism,Syria,Synthesis of Plato and Eastern thought,Various works (fragments),None claimed,Forerunner of Neoplatonism,No,Roman Empire (Trajan to Marcus Aurelius)
c. 125-180 CE,Apuleius,Platonism/Mystery cults,North Africa,"Mystery initiations, demonology","Metamorphoses (The Golden Ass), On the God of Socrates",None claimed (accused of magic),Initiate of multiple mystery cults,No,Roman Empire (Hadrian to Commodus)
c. 175-242 CE,Ammonius Saccas,Neoplatonism,Alexandria,Synthesis of Plato and Aristotle,None authored,None claimed (divine wisdom),"Teacher of Plotinus, ""theodidaktos"" (god-taught)",No,Roman Empire (Marcus Aurelius to Gordian III)
c. 203-270 CE,Plotinus,Neoplatonism,Egypt/Rome,"The One, emanation, mystical ascent",Enneads,"Union with the divine, clairvoyance, healing",Founder of Neoplatonism,No,Roman Empire (Severan Dynasty to Gallienus)
c. 232-305 CE,Porphyry,Neoplatonism,Tyre/Rome,"Vegetarianism, anti-Christianity, logic","Various works, edited Enneads",None claimed (mystical experiences),"Student of Plotinus, polymath",No,Roman Empire (Crisis of the Third Century)
c. 245-325 CE,Iamblichus,Theurgic Neoplatonism,Syria,"Theurgy, ritual magic, divine hierarchy",On the Mysteries,"Levitation during prayer, evocation of gods",Syrian philosopher who introduced theurgy to Neoplatonism,No,Late Roman Empire (Diocletian to Constantine)
c. 355-415 CE,Hypatia,Neoplatonism,Alexandria,"Mathematical harmony, rational inquiry",Mathematical works (lost),None claimed (mathematical knowledge),Female philosopher and mathematician,Yes (killed by Christian mob),Late Roman Empire (Theodosius I)
c. 410-485 CE,Proclus,Neoplatonism,Athens,"Systematic theology, theurgy","Elements of Theology, Platonic Theology","Weather control, healing through prayer",Last major Athenian Neoplatonist,No,"Late Roman Empire, Byzantine Empire"
c. 430-500 CE,Asclepiodotus,Neoplatonism,Alexandria/Aphrodisias,Scientific Neoplatonism,Various works (lost),None claimed (scientific inquiry),"Student of Proclus, focus on natural science",No,Byzantine Empire (Theodosius II to Anastasius I)
c. 445-520 CE,Hierocles of Alexandria,Neoplatonism,Alexandria,"Providence, harmony of Plato and Aristotle",Commentary on Golden Verses,None claimed,Attempted to reconcile philosophical traditions,No,Byzantine Empire (Marcian to Justin I)
c. 480-540 CE,Damascius,Neoplatonism,Athens,"Ineffable first principle, skeptical theology","Problems and Solutions, Life of Isidore",None claimed (mystical experiences),Last head of Platonic Academy before closure,No (exiled),Byzantine Empire (Zeno to Justinian I)
c. 490-570 CE,Simplicius of Cilicia,Neoplatonism,Athens/Persia,Commentaries on Aristotle,Extensive commentaries,None claimed (philosophical insights),Preserved Greek philosophy after Academy closure,No (exiled),Byzantine Empire (Anastasius I to Justin II)
