132.0,Psa 78:1-2,He would teach in parables,Matt 13:34-35,,,
133.0,Psa 78:2b,To speak the Wisdom of God with authority,Matt 7:29,,,
134.0,Psa 80:17,The Man of God’s right hand,Mark 14:61-62,,,
135.0,Psa 88,The Suffering and Reproach of Calvary,Matt 27:26-50,,,
136.0,Psa 88:8,They stood afar off and watched,Luke 23:49,,,
137.0,Psa 89:27,Firstborn,Col 1:15-18,,,
138.0,Psa 89:27,Emmanuel to be higher than earthly kings,Luke 1:32-33,,,
139.0,Psa 89:35-37,"David’s Seed, throne, kingdom endure forever",Luke 1:32-33,,,
140.0,Psa 89:36-37,His character-Faithfulness,Rev 1:5; 19:11,,,
141.0,Psa 90:2,He is from everlasting (Micah 5:2),John 1:1,,,
142.0,Psa 91:11-12,"Identified as Messianic, used to tempt Christ",Luke 4:10-11,,,
143.0,Psa 97:9,His exaltation predicted,Acts 1:11; Eph 1:20,,,
144.0,Psa 100:5,His character-Goodness,Matt 19:16-17,,,
145.0,Psa 102:1-11,The Suffering and Reproach of Calvary,John 19:16-30,,,
146.0,Psa 102:25-27,Messiah is the Preexistent Son,Heb 1:10-12,,,
147.0,Psa 109:25,Ridiculed,Matt 27:39,,,
148.0,Psa 110:1,Son of David,Matt 22:42-43,,,
149.0,Psa 110:1,To ascend to the right-hand of the Father,Mark 16:19,,,
150.0,Psa 110:1,David’s son called Lord,Matt 22:44-45,,,
151.0,Psa 110:4,A priest after Melchizedek’s order,Heb 6:20,,,
152.0,Psa 112:4,"His character-Compassionate, Gracious, et al",Matt 9:36,,,
153.0,Psa 118:17-18,Messiah’s Resurrection assured,Luke 24:5-7; 1 Cor 15:20,,,
154.0,Psa 118:22-23,The rejected stone is Head of the corner,Matt 21:42-43,,,
155.0,Psa 118:26a,The Blessed One presented to Israel,Matt 21:9,,,
156.0,Psa 118:26b,To come while Temple standing,Matt 21:12-15,,,
157.0,Psa 132:11,The Seed of David (the fruit of His Body),Luke 1:32; Act 2:30,,,
158.0,Psa 129:3,He was scourged,Matt 27:26,,,
159.0,Psa 138:1-6,The supremacy of David’s Seed amazes kings,Matt 2:2-6,,,
160.0,Psa 147:3-6,The earthly ministry of Christ described,Luke 4:18,,,
161.0,Prov 1:23,He will send the Spirit of God,John 16:7,,,
162.0,Prov 8:23,Foreordained from everlasting,Rev 13:8; 1 Pet 1:19-20,,,
163.0,Song 5:16,The altogether lovely One,John 1:17,,,
164.0,Isa 2:3,He shall teach all nations,John 4:25,,,
165.0,Isa 2:4,He shall judge among the nations,John 5:22,,,
166.0,Isa 6:1,When Isaiah saw His glory,John 12:40-41,,,
167.0,Isa 6:8,The One Sent by God,John 12:38-45,,,
168.0,Isa 6:9-10,Parables fall on deaf ears,Matt 13:13-15,,,
169.0,Isa 6:9-12,Blinded to Christ and deaf to His words,Acts 28:23-29,,,
170.0,Isa 7:14,To be born of a virgin,Luke 1:35,,,
171.0,Isa 7:14,To be Emmanuel-God with us,Matt 1:18-23; 1 Tim 3:16,,,
172.0,Isa 8:8,Called Emmanuel,Matt 28:20,,,
173.0,Isa 8:14,"A stone of stumbling, a Rock of offense",1 Pet 2:8,,,
174.0,Isa 9:1-2,His ministry to begin in Galilee,Matt 4:12-17,,,
175.0,Isa 9:6,A child born-Humanity,Luke 1:31,,,
176.0,Isa 9:6,A Son given-Deity,Luke 1:32; John 1:14; 1 Tim 3:16,,,
177.0,Isa 9:6,Declared to be the Son of God with power,Rom 1:3-4,,,
178.0,Isa 9:6,"The Wonderful One, Peleh",Luke 4:22,,,
179.0,Isa 9:6,"The Counselor, Yaatz",Matt 13:54,,,
180.0,Isa 9:6,"The Mighty God, El Gibor",1 Cor 1:24; Titus 2:3,,,
181.0,Isa 9:6,"The Everlasting Father, Avi Adth",John 8:58; 10:30,,,
182.0,Isa 9:6,"The Prince of Peace, Sar Shalom",John 16:33,,,
183.0,Isa 9:7,To establish an everlasting kingdom,Luke 1:32-33,,,
184.0,Isa 9:7,His Character-Just,John 5:30,,,
185.0,Isa 9:7,"No end to his Government, Throne, and Peace",Luke 1:32-33,,,
186.0,Isa 11:1,"Called a Nazarene-the Branch, Netzer",Matt 2:23,,,
187.0,Isa 11:1,A rod out of Jesse-Son of Jesse,Luke 3:23-32,,,
188.0,Isa 11:2,Anointed One by the Spirit,Matt 3:16-17; Acts 10:38,,,
189.0,Isa 11:2,"His Character-Wisdom, Knowledge, et al",Col 2:3,,,
190.0,Isa 11:3,He would know their thoughts,Luke 6:8; John 2:25,,,
191.0,Isa 11:4,Judge in righteousness,Acts 17:31,,,
192.0,Isa 11:4,Judges with the sword of His mouth,"Rev 2:16; 19:11, 15",,,
193.0,Isa 11:5,Character: Righteous & Faithful,Rev 19:11,,,
194.0,Isa 11:10,The Gentiles seek Him,John 12:18-21,,,
195.0,Isa 12:2,Called Jesus-Yeshua,Matt 1:21,,,
196.0,Isa 22:22,The One given all authority to govern,Rev 3:7,,,
197.0,Isa 25:8,The Resurrection predicted,1 Cor 15:54,,,
198.0,Isa 26:19,His power of Resurrection predicted,Matt 27:50-54,,,
199.0,Isa 28:16,The Messiah is the precious corner stone,Acts 4:11-12,,,
200.0,Isa 28:16,The Sure Foundation,1 Cor 3:11; Matt 16:18,,,
201.0,Isa 29:13,He indicated hypocritical obedience to His Word,Matt 15:7-9,,,
202.0,Isa 29:14,The wise are confounded by the Word,1 Cor 1:18-31,,,
203.0,Isa 32:2,A Refuge-A man shall be a hiding place,Matt 23:37,,,
204.0,Isa 35:4,He will come and save you,Matt 1:21,,,
205.0,Isa 35:5-6,To have a ministry of miracles,Matt 11:2-6,,,
206.0,Isa 40:3-4,Preceded by forerunner,John 1:23,,,
207.0,Isa 40:9,“Behold your God”,John 1:36; 19:14,,,
208.0,Isa 40:10,He will come to reward,Rev 22:12,,,
209.0,Isa 40:11,A shepherd-compassionate life-giver,John 10:10-18,,,
210.0,Isa 42:1-4,"The Servant-as a faithful, patient redeemer",Matt 12:18-21,,,
211.0,Isa 42:2,Meek and lowly,Matt 11:28-30,,,
212.0,Isa 42:3,He brings hope for the hopeless,John 4,,,
213.0,Isa 42:4,The nations shall wait on His teachings,John 12:20-26,,,
214.0,Isa 42:6,The Light (salvation) of the Gentiles,Luke 2:32,,,
215.0,Isa 42:1-6,His is a worldwide compassion,Matt 28:19-20,,,
216.0,Isa 42:7,Blind eyes opened,John 9:25-38,,,
217.0,Isa 43:11,He is the only Savior,Acts 4:12,,,
218.0,Isa 44:3,He will send the Spirit of God,John 16:7-13,,,
219.0,Isa 45:21-25,He is Lord and Savior,Phil 3:20; Titus 2:13,,,
220.0,Isa 45:23,He will be the Judge,John 5:22; Rom 14:11,,,
221.0,Isa 46:9-10,Declares things not yet done,John 13:19,,,
222.0,Isa 48:12,The First and the Last,"John 1:30; Rev 1:8, 17",,,
223.0,Isa 48:16-17,He came as a Teacher,John 3:2,,,
224.0,Isa 49:1,Called from the womb-His humanity,Matt 1:18,,,
225.0,Isa 49:5,A Servant from the womb,Luke 1:31; Phil 2:7,,,
226.0,Isa 49:6,He will restore Israel,Acts 3:19-21; 15:16-17,,,
227.0,Isa 49:6,He is Salvation for Israel,Luke 2:29-32,,,
228.0,Isa 49:6,He is the Light of the Gentiles,John 8:12; Acts 13:47,,,
229.0,Isa 49:6,He is Salvation unto the ends of the earth,Acts 15:7-18,,,
230.0,Isa 49:7,He is despised of the Nation,John 1:11; 8:48-49; 19:14-15,,,
231.0,Isa 50:3,Heaven is clothed in black at His humiliation,Luke 23:44-45,,,
232.0,Isa 50:4,He is a learned counselor for the weary,Matt 7:29; 11:28-29,,,
233.0,Isa 50:5,The Servant bound willingly to obedience,Matt 26:39,,,
234.0,Isa 50:6a,“I gave my back to those who struck Me”,Matt 27:26,,,
235.0,Isa 50:6b,He was smitten on the cheeks,Matt 26:67,,,
236.0,Isa 50:6c,He was spat upon,Matt 27:30,,,
237.0,Isa 52:7,Published good tidings upon mountains,Matt 5:12; 15:29; 28:16,,,
238.0,Isa 52:13,The Servant exalted,Acts 1:8-11; Eph 1:19-22; Phil 2:5-9,,,
239.0,Isa 52:14,The Servant shockingly abused,Luke 18:31-34; Matt 26:67-68,,,
240.0,Isa 52:15,Nations startled by message of the Servant,Luke 18:31-34; Matt 26:67-68,,,
241.0,Isa 52:15,His blood shed sprinkles nations,Heb 9:13-14; Rev 1:5,,,
242.0,Isa 53:1,His people would not believe Him,John 12:37-38,,,
243.0,Isa 53:2,Appearance of an ordinary man,Phil 2:6-8,,,
244.0,Isa 53:3a,Despised,Luke 4:28-29,,,
245.0,Isa 53:3b,Rejected,Matt 27:21-23,,,
246.0,Isa 53:3c,Great sorrow and grief,Matt 26:37-38; Luke 19:41; Heb 4:15,,,
247.0,Isa 53:3d,Men hide from being associated with Him,Mark 14:50-52,,,
248.0,Isa 53:4a,He would have a healing ministry,Matt 8:16-17,,,
249.0,Isa 53:4b,Thought to be cursed by God,Matt 26:66; 27:41-43,,,
250.0,Isa 53:5a,Bears penalty for mankind’s iniquities,2 Cor 5:21; Heb 2:9,,,
251.0,Isa 53:5b,His sacrifice provides peace between man and God,Col 1:20,,,
252.0,Isa 53:5c,His sacrifice would heal man of sin,1 Pet 2:24,,,
253.0,Isa 53:6a,He would be the sin-bearer for all mankind,1 John 2:2; 4:10,,,
254.0,Isa 53:6b,God’s will that He bear sin for all mankind,Gal 1:4,,,
255.0,Isa 53:7a,Oppressed and afflicted,Matt 27:27-31,,,
256.0,Isa 53:7b,Silent before his accusers,Matt 27:12-14,,,
257.0,Isa 53:7c,Sacrificial lamb,John 1:29; 1 Pet 1:18-19,,,
258.0,Isa 53:8a,Confined and persecuted,Matt 26:47-27:31,,,
259.0,Isa 53:8b,He would be judged,John 18:13-22,,,
260.0,Isa 53:8c,Killed,Matt 27:35,,,
261.0,Isa 53:8d,Dies for the sins of the world,1 John 2:2,,,
262.0,Isa 53:9a,Buried in a rich man’s grave,Matt 27:57,,,
263.0,Isa 53:9b,Innocent and had done no violence,Luke 23:41; John 18:38,,,
264.0,Isa 53:9c,No deceit in his mouth,1 Pet 2:22,,,
265.0,Isa 53:10a,God’s will that He die for mankind,John 18:11,,,
266.0,Isa 53:10b,An offering for sin,Matt 20:28; Gal 3:13,,,
267.0,Isa 53:10c,Resurrected and live forever,Rom 6:9,,,
268.0,Isa 53:10d,He would prosper,John 17:1-5,,,
269.0,Isa 53:11a,God fully satisfied with His suffering,John 12:27,,,
270.0,Isa 53:11b,God’s servant would justify man,"Rom 5:8-9, 18-19",,,
271.0,Isa 53:11c,The sin-bearer for all mankind,Heb 9:28,,,
272.0,Isa 53:12a,Exalted by God because of his sacrifice,Matt 28:18,,,
273.0,Isa 53:12b,He would give up his life to save mankind,Luke 23:46,,,
274.0,Isa 53:12c,Numbered with the transgressors,Mark 15:27-28,,,
275.0,Isa 53:12d,Sin-bearer for all mankind,1 Pet 2:24,,,
276.0,Isa 53:12e,Intercede to God in behalf of mankind,Luke 23:34; Rom 8:34,,,
277.0,Isa 55:3,Resurrected by God,Acts 13:34,,,
278.0,Isa 55:4a,A witness,John 18:37,,,
279.0,Isa 55:4b,He is a leader and commander,Heb 2:10,,,
280.0,Isa 55:5,God would glorify Him,Acts 3:13,,,
281.0,Isa 59:16a,Intercessor between man and God,Matt 10:32,,,
282.0,Isa 59:16b,He would come to provide salvation,John 6:40,,,
283.0,Isa 59:20,He would come to Zion as their Redeemer,Luke 2:38,,,
284.0,Isa 60:1-3,He would show light to the Gentiles,Acts 26:23,,,
285.0,Isa 61:1a,The Spirit of God upon him,Matt 3:16-17,,,
286.0,Isa 61:1b,The Messiah would preach the good news,Luke 4:16-21,,,
287.0,Isa 61:1c,Provide freedom from the bondage of sin,John 8:31-36,,,
288.0,Isa 61:1-2a,Proclaim a period of grace,Gal 4:4-5,,,
289.0,Jer 23:5-6,Descendant of David,Luke 3:23-31,,,
290.0,Jer 23:5-6,The Messiah would be both God and Man,John 13:13; 1 Tim 3:16,,,
291.0,Jer 31:22,Born of a virgin,Matt 1:18-20,,,
292.0,Jer 31:31,The Messiah would be the new covenant,Matt 26:28,,,
293.0,Jer 33:14-15,Descendant of David,Luke 3:23-31,,,
294.0,Ezek 34:23-24,Descendant of David,Matt 1:1,,,
295.0,Ezek 37:24-25,Descendant of David,Luke 1:31-33,,,
296.0,Dan 2:44-45,The Stone that shall break the kingdoms,Matt 21:44,,,
297.0,Dan 7:13-14a,He would ascend into heaven,Acts 1:9-11,,,
298.0,Dan 7:13-14b,Highly exalted,Eph 1:20-22,,,
299.0,Dan 7:13-14c,His dominion would be everlasting,Luke 1:31-33,,,
300.0,Dan 9:24a,To make an end to sins,Gal 1:3-5,,,
301.0,Dan 9:24a,To make reconciliation for iniquity,Rom 5:10; 2 Cor 5:18-21,,,
302.0,Dan 9:24b,He would be holy,Luke 1:35,,,
303.0,Dan 9:25,His announcement,John 12:12-13,,,
304.0,Dan 9:26a,Cut off,Matt 16:21; 21:38-39,,,
305.0,Dan 9:26b,Die for the sins of the world,Heb 2:9,,,
306.0,Dan 9:26c,Killed before the destruction of the temple,Matt 27:50-51,,,
307.0,Dan 10:5-6,Messiah in a glorified state,Rev 1:13-16,,,
308.0,Hos 11:1,He would be called out of Egypt,Matt 2:15,,,
309.0,Hos 13:14,He would defeat death,1 Cor 15:55-57,,,
310.0,Joel 2:32,Offer salvation to all mankind,Rom 10:9-13,,,
311.0,Jonah 1:17,Death and resurrection of Christ,Matt 12:40; 16:4,,,
312.0,Mic 5:2a,Born in Bethlehem,Matt 2:1-6,,,
313.0,Mic 5:2b,Ruler in Israel,Luke 1:33,,,
314.0,Mic 5:2c,From everlasting,John 8:58,,,
315.0,Hag 2:6-9,He would visit the second Temple,Luke 2:27-32,,,
316.0,Hag 2:23,Descendant of Zerubbabel,Luke 2:27-32,,,
317.0,Zech 3:8,God’s servant,John 17:4,,,
318.0,Zech 6:12-13,Priest and King,Heb 8:1,,,
319.0,Zech 9:9a,Greeted with rejoicing in Jerusalem,Matt 21:8-10,,,
320.0,Zech 9:9b,Beheld as King,John 12:12-13,,,
321.0,Zech 9:9c,The Messiah would be just,John 5:30,,,
322.0,Zech 9:9d,The Messiah would bring salvation,Luke 19:10,,,
323.0,Zech 9:9e,The Messiah would be humble,Matt 11:29,,,
324.0,Zech 9:9f,Presented to Jerusalem riding on a donkey,Matt 21:6-9,,,
325.0,Zech 10:4,The cornerstone,Eph 2:20,,,
326.0,Zech 11:4-6a,"At His coming, Israel to have unfit leaders",Matt 23:1-4,,,
327.0,Zech 11:4-6b,Rejection causes God to remove His protection,Luke 19:41-44,,,
328.0,Zech 11:4-6c,Rejected in favor of another king,John 19:13-15,,,
329.0,Zech 11:7,"Ministry to “poor,” the believing remnant",Matt 9:35-36,,,
330.0,Zech 11:8a,Unbelief forces Messiah to reject them,Matt 23:33,,,
331.0,Zech 11:8b,Despised,Matt 27:20,,,
332.0,Zech 11:9,Stops ministering to those who rejected Him,Matt 13:10-11,,,
333.0,Zech 11:10-11a,Rejection causes God to remove protection,Luke 19:41-44,,,
334.0,Zech 11:10-11b,The Messiah would be God,John 14:7,,,
335.0,Zech 11:12-13a,Betrayed for thirty pieces of silver,Matt 26:14-15,,,
336.0,Zech 11:12-13b,Rejected,Matt 26:14-15,,,
337.0,Zech 11:12-13c,Thirty pieces of silver cast in the house of the Lord,Matt 27:3-5,,,
338.0,Zech 11:12-13d,The Messiah would be God,John 12:45,,,
339.0,Zech 12:10a,The Messiah’s body would be pierced,John 19:34-37,,,
340.0,Zech 12:10b,The Messiah would be both God and man,John 10:30,,,
341.0,Zech 12:10c,The Messiah would be rejected,John 1:11,,,
342.0,Zech 13:7a,God’s will He die for mankind,John 18:11,,,
343.0,Zech 13:7b,A violent death,Mark 14:27,,,
344.0,Zech 13:7c,Both God and man,John 14:9,,,
345.0,Zech 13:7d,Israel scattered as a result of rejecting Him,Matt 26:31-56,,,
346.0,Zech 14:4,He would return to the Mt. of Olives,Acts 1:11-12,,,
347.0,Mal 3:1a,Messenger to prepare the way for Messiah,Mark 1:1-8,,,
348.0,Mal 3:1b,Sudden appearance at the temple,Mark 11:15-16,,,
349.0,Mal 3:1c,Messenger of the new covenant,Luke 4:43,,,
350.0,Mal 4:5,Forerunner in spirit of Elijah,Matt 3:1-3; 11:10-14; 17:11-13,,,
351.0,Mal 4:6,Forerunner would turn many to righteousness,Luke 1:16-17,,,
,,,,,,
,,,,,,
,,,,,,
Order,Passage,Prophecy,Date (Approx.),Era,Fulfillment,Notes
1.0,Gen 3:15,Seed of Eve,~4000 BC,Early Patriarchs,Jesus' victory over Satan (Rev 12:9),First messianic prophecy; Christ’s defeat of evil17.
2.0,Gen 12:3,Seed of Abraham,~2000 BC,Patriarchs,"Jesus, blessing to all nations (Gal 3:16)",Messianic lineage through Abraham17.
3.0,Gen 17:19,Seed of Isaac,~1900 BC,Patriarchs,"Jesus, descendant of Isaac (Rom 9:7)",Confirms messianic line17.
4.0,Gen 28:14,Seed of Jacob,~1850 BC,Patriarchs,"Jesus, descendant of Jacob (Luke 3:34)",Lineage continues17.
5.0,Gen 49:10,Tribe of Judah,~1800 BC,Patriarchs,Jesus from Judah (Luke 3:33),Messiah’s tribe identified17.
6.0,Ps 22:16; Zech 12:10,Hands and feet pierced,~1000-500 BC,United Kingdom/Persian,Crucifixion (John 19:37; 20:27),Crucifixion described centuries prior17.
7.0,Ps 22:18,Cast lots for garments,~1000 BC,United Kingdom,Soldiers cast lots (John 19:23-24),Fulfilled at the cross17.
8.0,Ps 16:10; Isa 53:10-11,Resurrection,~1000-700 BC,United Kingdom/Assyrian,Jesus’ resurrection (Acts 2:31; Matt 28:6),Messiah’s victory over death17.
