Leviathan,Demon/Chaos Beast,Primordial Serpent,"Jewish, Christian",Hebrew Bible,~6th century BCE,Symbol of chaos; eschatological foe.,"Job 41, Isaiah 27:1, Psalms 74:14",,,,
Metadata Expansion Options,,,,,,,,,,,
,,,,,,,,,,,
"To make this fully comprehensive, you could add:",,,,,,,,,,,
,,,,,,,,,,,
"Alternative Names (e.g., Satan = Iblis = Samael in some traditions).",,,,,,,,,,,
,,,,,,,,,,,
"Iconography (e.g., Michael with a sword, Lilith with long hair).",,,,,,,,,,,
,,,,,,,,,,,
"Feast Days (e.g., Michaelmas on September 29).",,,,,,,,,,,
,,,,,,,,,,,
"Cultural Adaptations (e.g., Lilith in feminist theology).",,,,,,,,,,,
,,,,,,,,,,,
"Cross-References to grimoires (e.g., The Lesser Key of Solomon for demons like Asmodeus).",,,,,,,,,,,
Key Sources by Tradition,,,,,,,,,,,
,,,,,,,,,,,
"Jewish: Hebrew Bible, Talmud, Zohar, Sefer Yetzirah, The Book of Enoch (1 Enoch).",,,,,,,,,,,
,,,,,,,,,,,
"Christian: New Testament, Pseudepigrapha (e.g., Testament of Solomon), Malleus Maleficarum.",,,,,,,,,,,
,,,,,,,,,,,
"Muslim: Quran, Hadith, Kitab al-Miraj (ascension literature).",,,,,,,,,,,
,,,,,,,,,,,
"Syncretic: The Lesser Key of Solomon, Dictionnaire Infernal.",,,,,,,,,,,
,,,,,,,,,,,
"Would you like me to focus on a specific tradition or expand the list with lesser-known entities (e.g., Kabbalistic angels like Sandalphon, or obscure demons from the Ars Goetia)?",,,,,,,,,,,
"can you include all of this data and expand the list? Graph Table: Angels & Demons in Abrahamic Traditions (Sample Entries – Expandable Framework) Name Type (Angel/Demon) Rank/Role Tradition(s) First Appearance (Text) Year (Est.) Description Associated Texts Michael Archangel Leader of Heavenly Host Jewish, Christian, Muslim Book of Daniel (Hebrew Bible) ~165 BCE Protector of Israel, defeats Satan in Revelation. Daniel 10:13, Revelation 12:7, Quran 2:98 Gabriel Archangel Divine Messenger Jewish, Christian, Muslim Book of Daniel (Hebrew Bible) ~165 BCE Annunciator (e.g., to Mary in Luke). Called Jibril in Islam. Daniel 8:16, Luke 1:26, Quran 2:97 Samael Angel/Demon Accuser, Destroyer Jewish, Christian 1 Enoch (Apocrypha) ~300–100 BCE Often linked to Satan or the serpent. 1 Enoch, Talmud, Zohar Azazel Fallen Angel/Demon Corrupter of Humanity Jewish, Christian Book of Enoch ~300–100 BCE Taught forbidden arts; bound in desert. 1 Enoch 8:1, Leviticus 16:8 (scapegoat) Iblis Demon (Jinn) Tempter, Refuser of Adam Muslim Quran 7th century CE Analogous to Satan; refused to bow to Adam. Quran 7:11–18, 15:28–44 Lilith Demon Night Spirit, Adam's ""first wife"" Jewish, Christian Alphabet of Ben Sira ~700–1000 CE Associated with infant mortality and seduction. Talmud, Zohar, medieval Kabbalah Metatron Archangel Heavenly Scribe Jewish, Christian 3 Enoch (Heb. Merkabah) ~5th century CE Transformed prophet Enoch into an angel. 3 Enoch, Kabbalistic texts Beelzebub Demon ""Lord of the Flies"" Christian, Jewish New Testament 1st century CE Philistine god later demonized; prince of demons. Matthew 12:24, Mark 3:22 Harut & Marut Fallen Angels Testers of Humanity Muslim Quran 7th century CE Taught magic in Babylon as a test. Quran 2:102 Leviathan Demon/Chaos Beast Primordial Serpent Jewish, Christian Hebrew Bible ~6th century BCE Symbol of chaos; eschatological foe. Job 41, Isaiah 27:1, Psalms 74:14 Metadata Expansion Options To make this fully comprehensive, you could add: Alternative Names (e.g., Satan = Iblis = Samael in some traditions). Iconography (e.g., Michael with a sword, Lilith with long hair). Feast Days (e.g., Michaelmas on September 29). Cultural Adaptations (e.g., Lilith in feminist theology).",,,,,,,,,,,
,,,,,,,,,,,
"Below is an expanded and detailed graph table of angels and demons from Jewish, Christian, and Muslim traditions, including metadata, alternative names, iconography, feast days, cultural adaptations, and source texts.",,,,,,,,,,,
,,,,,,,,,,,
Comprehensive Graph Table: Angels & Demons in Abrahamic Traditions,,,,,,,,,,,
Name,Type,Rank/Role,Traditions,First Appearance (Text),Year (Est.),Alternative Names,Iconography,Feast Days,Cultural Adaptations,Description,Associated Texts
Michael,Archangel,Leader of Heavenly Host,"Jewish, Christian, Muslim",Book of Daniel (Hebrew Bible),~165 BCE,"Mikha’el (Hebrew), Mika’il (Islam)",Armored warrior w/ sword & scales,Sept 29 (Michaelmas),"Patron of police, soldiers",Protector of Israel; defeats Satan in Revelation.,"Dan 10:13, Rev 12:7, Quran 2:98"
Gabriel,Archangel,Divine Messenger,"Jewish, Christian, Muslim",Book of Daniel (Hebrew Bible),~165 BCE,"Jibril (Islam), Gavriel (Hebrew)",Holding a lily or scroll,March 24 (Annunciation),Islamic revelation angel,"Annunciator (e.g., to Mary in Luke). Called Jibril in Islam.","Dan 8:16, Luke 1:26, Quran 2:97"
Samael,Angel/Demon,"Accuser, Destroyer","Jewish, Christian",1 Enoch,~300–100 BCE,"Satanel, Sammael, Angel of Death","Serpent, dark wings, venomous",None,Gnostic demiurge,Often linked to Satan or the serpent.,"1 Enoch, Talmud, Zohar"
Azazel,Fallen Angel/Demon,Corrupter of Humanity,"Jewish, Christian",Book of Enoch,~300–100 BCE,"Azael, Azzael","Goat-headed, desert-bound",Yom Kippur (scapegoat),Occult knowledge,Taught forbidden arts; bound in desert.,"1 Enoch 8:1, Lev 16:8"
Iblis,Demon (Jinn),"Tempter, Refuser of Adam",Muslim,Quran,7th century CE,"Shaytan, Satan (Christian/Jewish)","Horned, fiery, serpent-like",None,Islamic theology,Refused to bow to Adam; analogous to Satan.,"Quran 7:11–18, 15:28–44"
Lilith,Demon,"Night Spirit, Adam’s ""first wife""","Jewish, Christian",Alphabet of Ben Sira,~700–1000 CE,"Lilitu (Akkadian), Lilit (Hebrew)","Long-haired, winged, seductive",None,Feminist reclaiming,Associated with infant mortality and seduction.,"Talmud, Zohar, Kabbalah"
Metatron,Archangel,Heavenly Scribe,"Jewish, Christian",3 Enoch (Merkabah),~5th century CE,"Lesser YHWH, Enoch transformed","Fiery, many-eyed, celestial scribe",None,Mystical Judaism,Transformed prophet Enoch into an angel.,"3 Enoch, Kabbalah"
Beelzebub,Demon,"""Lord of the Flies""","Christian, Jewish",New Testament,1st century CE,"Baal Zebub, Lord of Filth","Fly-headed, decaying",None,Demonology,Philistine god later demonized; prince of demons.,"Matt 12:24, Mark 3:22"
Harut & Marut,Fallen Angels,Testers of Humanity,Muslim,Quran,7th century CE,None,Two angels bound in Babylon,None,Islamic ethics,Taught magic in Babylon as a test.,Quran 2:102
Leviathan,Demon/Chaos Beast,Primordial Serpent,"Jewish, Christian",Hebrew Bible,~6th century BCE,"Lotan (Ugaritic), Tannin","Sea dragon, coiled serpent",None,Apocalyptic symbol,Symbol of chaos; eschatological foe.,"Job 41, Isa 27:1, Ps 74:14"
Raphael,Archangel,"Healer, Guide","Jewish, Christian, Muslim",Book of Tobit (Deuterocanon),~200 BCE,"Israfil (Islam), Rafa’il (Coptic)","Staff, fish, traveler’s cloak",Sept 29 (w/ Michael),Guardian of travelers,Healed Tobit’s blindness; guides souls.,"Tobit 12:15, 1 Enoch"
Uriel,Archangel,Angel of Repentance,"Jewish, Christian","1 Enoch, 4 Esdras",~300 BCE–100 CE,"Phanuel, Auriel","Flame, book, stern gaze",None,Esoteric Christianity,Watches over repentance; sometimes excluded.,"1 Enoch, 4 Esdras"
Asmodeus,Demon,King of Lust & Wrath,"Jewish, Christian, Muslim",Book of Tobit,~200 BCE,"Ashmedai (Talmud), Aeshma (Zoroastrian)","Three-headed (man, ram, bull)",None,Occult demonology,Killed Sarah’s husbands; bound by Raphael.,"Tobit 3:8, Testament of Solomon"
Mastema,Demon,Chief of Persecution,Jewish,Book of Jubilees,~150 BCE,"Satan, Belial","Shadowy, whispering tempter",None,Apocryphal Satan,Requests demons to test humanity.,Jubilees 10:8
Sandalphon,Archangel,Angel of Prayer,"Jewish, Christian","Talmud, Kabbalah",~3rd–6th cent. CE,None,"Giant, weaving prayers into crowns",None,Mystical Judaism,Twin of Metatron; gathers prayers.,Talmud (Chagigah 13b)
Belial,Demon,Lawless One,"Jewish, Christian",Dead Sea Scrolls,~2nd cent. BCE,"Beliar, Belyal","Corrupt nobleman, chains",None,Gnostic evil,Embodiment of wickedness; opposes divine law.,"2 Cor 6:15, DSS (War Scroll)"
Azrael,Angel of Death,Soul-Taker,"Jewish, Muslim","Talmud, Islamic tradition",~7th–9th cent. CE,Malak al-Maut (Islam),"Hooded, scroll of names",None,Sufi mysticism,Gently separates souls from bodies.,"Hadith, Kabbalah"
Jophiel,Archangel,Angel of Wisdom,"Christian, Jewish",Medieval angelology,~12th cent. CE,"Iophiel, Zophiel","Fiery sword, book of wisdom",None,Renaissance art,Teaches discernment; expelled Adam & Eve.,Pseudo-Dionysius
Leviathan & Behemoth,Chaos Beasts,Primordial Monsters,"Jewish, Christian",Hebrew Bible,~6th cent. BCE,None,"Sea serpent (Leviathan), land beast (Behemoth)",None,Apocalyptic battle,Will fight at the end of days.,"Job 40–41, 2 Esdras 6:52"
,,,,,,,,,,,
1. Obscure Demons (Ars Goetia & Beyond),,,,,,,,,,,
,,,,,,,,,,,
"(From medieval grimoires, demonology, and occult traditions)",,,,,,,,,,,
,,,,,,,,,,,
Name,,Rank,Appearance,Powers,First Attestation,Source Texts,,,,,
Paimon,,King of Hell,Camel-riding crowned man,"Teaches arts, sciences, secrets",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Baphomet,,Symbolic Idol,Goat-headed hermaphrodite,"Occult wisdom, duality",14th cent. (Templar trials),Dogme et Rituel de la Haute Magie,,,,,
Asmodeus,,King of Lust,"Three-headed (man, ram, bull)","Destroys marriages, teaches math",~200 BCE (Tobit),Testament of Solomon,,,,,
Astaroth,,Duke of Hell,Naked angel on a dragon,"Reveals past/future, sciences",15th cent. (Goetia),Pseudomonarchia Daemonum,,,,,
Belphegor,,Demon of Sloth,"Beard, phallic symbols","Invents laziness, fake riches",16th cent. (Christian lore),De Plancy’s Dictionnaire Infernal,,,,,
Vassago,,Prince of Hell,Old man with lion’s head,"Finds lost things, predicts war",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Marchosias,,Marquis of Hell,Wolf with gryphon wings,"Grants combat skills, loyal",17th cent. (Goetia),Ars Goetia,,,,,
Andras,,Marquis of Hell,Owl-headed warrior,"Sows discord, murder",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
Ose,,President of Hell,Leopard-man,"Delusions, shapeshifting",17th cent. (Goetia),Pseudomonarchia Daemonum,,,,,
Zepar,,Duke of Hell,Soldier in red armor,"Causes love, infertility",17th cent. (Goetia),The Lesser Key of Solomon,,,,,
,,,,,,,,,,,
2. Kabbalistic Angels (Shem HaMephorash & Beyond),,,,,,,,,,,
,,,,,,,,,,,
"(From Jewish mysticism, Merkabah, and Kabbalah)",,,,,,,,,,,
,,,,,,,,,,,
Name,Sefirah,Role,Appearance,First Attestation,Source Texts,,,,,,
Raziel,Chokmah (Wisdom),Keeper of divine secrets,"Blue flame, celestial book",~12th cent. (Zohar),Sefer Raziel HaMalakh,,,,,,
Tzaphkiel,Binah (Understanding),Angel of contemplation,"Veiled, throne-like",~13th cent. (Kabbalah),"Zohar, Sefer Yetzirah",,,,,,
Metatron,Keter (Crown),Heavenly scribe,"Fiery, many-eyed",~5th cent. (3 Enoch),Merkabah texts,,,,,,
Sandalphon,Malkuth (Kingdom),Angel of prayers,"Giant, weaving prayers",~3rd–6th cent. (Talmud),Talmud (Chagigah 13b),,,,,,
Haniel,Netzach (Victory),"Angel of Venus, grace","Rose-gold light, chalice",~12th cent. (Kabbalah),Sefer HaBahir,,,,,,
Camael,Geburah (Strength),Angel of divine justice,"Armored, flaming sword",~13th cent. (Kabbalah),Pseudo-Dionysius,,,,,,
Jophiel,Tiferet (Beauty),Angel of wisdom,"Fiery book, golden light",Medieval angelology,Christian mysticism,,,,,,
Azrael,Hod (Glory),Angel of death (Islam/Judaism),"Hooded, scroll of names",~7th–9th cent. (Sufi texts),"Hadith, Kabbalah",,,,,,
Raguel,Chesed (Mercy),Angel of fairness,"Scales, white robes",1 Enoch (~300 BCE),Book of Enoch,,,,,,
Sariel,Tipheret (Harmony),Angel of guidance,"Moon-crowned, silver wings",Dead Sea Scrolls,War Scroll (DSS),,,,,,
3. Islamic Jinn (Quran & Folklore),,,,,,,,,,,
,,,,,,,,,,,
(Hierarchy of jinn in Islamic theology and mythology),,,,,,,,,,,
,,,,,,,,,,,
Name,Type,Role,Appearance,First Attestation,Source Texts,,,,,,
Iblis,Shaytan (Satan),Leader of rebellious jinn,"Horned, fiery-eyed",Quran (7th cent.),Quran 7:11–18,,,,,,
Ifrit,Noble Jinn,"Powerful, often malicious","Smoke/fire-formed, giant",Quran (7th cent.),Quran 27:39,,,,,,
Marid,Sea Jinn,"Most powerful, arrogant","Watery, shifting forms",Arabian Nights,Folklore,,,,,,
Hinn,Animalistic Jinn,"Haunt deserts, take animal forms","Dog-like, serpentine",Pre-Islamic poetry,Kitab al-Aghani,,,,,,
Ghoul,Shapeshifting Jinn,"Eats corpses, lures travelers","Hyena-woman, decayed",Arabian Nights,Hadith,,,,,,
Si’lat,Female Jinn,"Seductive, vampiric","Beautiful, hollow back",Pre-Islamic lore,Folklore,,,,,,
Qarinah,Personal Jinn,Twin/companion to humans,"Shadowy, whispering",Quran (43:36),Islamic theology,,,,,,
Shiqq,Deformed Jinn,"Half-formed, monstrous","One-armed, one-legged",Arabian Nights,Folklore,,,,,,
Palis,Possessing Jinn,"Causes madness, illness","Invisible, whispering",Medicine of the Prophet,Islamic exorcism texts,,,,,,
Jann,Earth Jinn,Guardians of nature,"Serpentine, earthy",Pre-Islamic poetry,Quran 15:27,,,,,,
4. Christian Saints vs. Demons,,,,,,,,,,,
,,,,,,,,,,,
(Saints who battled demons in hagiography and art),,,,,,,,,,,
,,,,,,,,,,,
Saint,Demon Fought,Battle Description,Iconography,Feast Day,Source Texts,,,,,,
St. Michael,Satan (Dragon),Casts Satan out of Heaven (Revelation),"Armored, spear vs. dragon",Sept 29 (Michaelmas),Revelation 12:7,,,,,,
St. George,Dragon (Tiamat?),Slays dragon terrorizing a city,"Knight on horse, lance",2025-04-23 00:00:00,Golden Legend,,,,,,
St. Anthony,Legion of Demons,Tempted in the desert by demonic visions,"Old man, pig, fire",2025-01-17 00:00:00,Life of St. Anthony,,,,,,
St. Margaret,Belial (Dragon),"Swallowed by dragon, bursts out",Emerging from dragon,2025-07-20 00:00:00,Golden Legend,,,,,,
St. Benedict,Satan (Raven),Crushes poisoned bread sent by demon,"Raven, broken cup",2025-07-11 00:00:00,Dialogues of Gregory the Great,,,,,,
St. Cyprian,All Demons,Ex-sorcerer who converted and exorcized,"Burning books, cross",Sept 26,Acts of Cyprian,,,,,,
St. Dunstan,Devil (Tongs),Pinched the Devil’s nose with tongs,"Blacksmith, tongs",2025-05-19 00:00:00,Medieval hagiography,,,,,,
St. Ignatius,Legion of Demons,Exorcized demons while martyred,"Lions, Eucharistic host",2025-10-17 00:00:00,Letters of Ignatius,,,,,,
St. Philomena,Demon of Lust,Broke chains of temptation,"Anchor, lily, palm",2025-08-11 00:00:00,*19th-century devotion*,,,,,,
St. Padre Pio,Satan (Apparitions),Physically fought demonic attacks,"Stigmata, crucifix",Sept 23,Modern Catholic records,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Next Steps?,,,,,,,,,,,
,,,,,,,,,,,
72 Angels of Shem HaMephorash (Kabbalistic angelic keys),,,,,,,,,,,
,,,,,,,,,,,
Hierarchy of Hell (Dante’s Inferno vs. Ars Goetia),,,,,,,,,,,
,,,,,,,,,,,
Islamic Exorcism (Ruqya) and Jinn Types,,,,,,,,,,,
,,,,,,,,,,,
Christian Demonology in the Malleus Maleficarum,,,,,,,,,,,
,,,,,,,,,,,
Let me know which list you'd like expanded further!,,,,,,,,,,,
"This response is AI-generated, for reference only.",,,,,,,,,,,
next work on these: 72 Angels of Shem HaMephorash (Kabbalistic angelic keys) Hierarchy of Hell (Dante’s Inferno vs. Ars Goetia) Islamic Exorcism (Ruqya) and Jinn Types Christian Demonology in the Malleus Maleficarum,,,,,,,,,,,
,,,,,,,,,,,
"Here are the four requested expansions, structured for deep reference:",,,,,,,,,,,
,,,,,,,,,,,
1. 72 Angels of the Shem HaMephorash,,,,,,,,,,,
,,,,,,,,,,,
"*(Kabbalistic angels derived from Exodus 14:19-21, each governing 5° of the zodiac)*",,,,,,,,,,,
,,,,,,,,,,,
Angel,Zodiac Degree,Psalm,Divine Attribute,Human Virtue,Invocation Purpose,Sigil/Symbol,,,,,
Vehuiah,0°–5° Aries,Ps 3:4,Divine Will,Initiative,"New beginnings, courage",Flaming sword,,,,,
Jeliel,5°–10° Aries,Ps 22:20,Divine Love,Compassion,"Love, protection in battle",Heart with wings,,,,,
Sitael,10°–15° Aries,Ps 91:2,Divine Concealment,Patience,Overcoming enemies,Shield with eye,,,,,
Elemiah,15°–20° Aries,Ps 6:4,Divine Majesty,Leadership,"Safe travel, clarity",Crowned scepter,,,,,
Mahasiah,20°–25° Aries,Ps 34:5,Divine Salvation,Wisdom,Spiritual growth,Open book,,,,,
Lelahel,25°–30° Aries,Ps 9:2,Divine Light,Joy,"Healing, creativity",Sunburst,,,,,
Achaiah,0°–5° Taurus,Ps 103:8,Divine Patience,Tolerance,Emotional balance,Olive branch,,,,,
Cahetel,5°–10° Taurus,Ps 95:7,Divine Nourishment,Gratitude,"Abundance, fertility",Sheaf of wheat,,,,,
Haziel,10°–15° Taurus,Ps 25:6,Divine Mercy,Forgiveness,Reconciliation,Dove with scroll,,,,,
Aladiah,15°–20° Taurus,Ps 33:22,Divine Grace,Serenity,Protection from curses,Moon cradling star,,,,,
... (cont.),...,...,...,...,...,...,,,,,
Mumiah,25°–30° Pisces,Ps 116:7,Divine Endings,Transformation,"Liberation, death transitions",Phoenix rising,,,,,
,,,,,,,,,,,
Key Sources:,,,,,,,,,,,
,,,,,,,,,,,
Sefer Raziel HaMalakh (13th cent.),,,,,,,,,,,
,,,,,,,,,,,
The Kabbalah of the Angels (R. Abulafia),,,,,,,,,,,
,,,,,,,,,,,
"Renaissance grimoires (e.g., Arbatel)",,,,,,,,,,,
2. Hierarchy of Hell: Dante’s Inferno vs. Ars Goetia,,,,,,,,,,,
Circle/Type,Dante’s Inferno (1314),Demons & Sins,Ars Goetia (17th cent.),Demons & Roles,,,,,,,
1 (Limbo),Virtuous pagans,–,–,–,,,,,,,
2 (Lust),Minos judges sinners,Astaroth (seduction),Dukes of Hell,Zepar (love magic),,,,,,,
3 (Gluttony),Cerberus torments souls,Beelzebub (decay),Marquises of Hell,Marchosias (gluttony),,,,,,,
4 (Greed),Plutus guards hoarders,Mammon (avarice),Presidents of Hell,Bifrons (grave robbery),,,,,,,
5 (Wrath),Phlegyas ferries the angry,Amdusias (storms),Kings of Hell,Andras (discord),,,,,,,
6 (Heresy),Burning tombs,Belial (false idols),Princes of Hell,Paimon (occult arts),,,,,,,
7 (Violence),"River of blood, harpies",Abaddon (destruction),Knights of Hell,Vassago (violence),,,,,,,
8 (Fraud),Malebolge (10 pits of deceit),Geryon (hypocrisy),Earls of Hell,Ose (deception),,,,,,,
9 (Treachery),Frozen lake (Satan eats Judas),Lucifer (betrayal),Emperor of Hell,Asmodeus (revenge),,,,,,,
,,,,,,,,,,,
Key Contrasts:,,,,,,,,,,,
,,,,,,,,,,,
Dante focuses on moral allegory (sins → punishments).,,,,,,,,,,,
,,,,,,,,,,,
Ars Goetia is a practical demonology (demons as tools for magicians).,,,,,,,,,,,
3. Islamic Exorcism (Ruqya) & Jinn Types,,,,,,,,,,,
A. Jinn Classes in Ruqya,,,,,,,,,,,
Type,Nature,Exorcism Method,Quranic Reference,,,,,,,,
Ifrit,"Fire-born, powerful",Recite Ayat al-Kursi (Q2:255),Quran 27:39,,,,,,,,
Marid,"Water-born, arrogant",Olive oil + Surah Al-Ikhlas,Hadith (Ibn Majah),,,,,,,,
Ghoul,"Shapeshifting, corpse-eater",Salt + Surah Al-Falaq,Pre-Islamic poetry,,,,,,,,
Qarin,"Personal ""shadow jinn""",Constant dhikr (remembrance),Quran 43:36,,,,,,,,
Hinn,"Animalistic, desert-dweller",Burn oud (agarwood),Kitab al-Aghani,,,,,,,,
B. Ruqya Ritual Steps,,,,,,,,,,,
,,,,,,,,,,,
"Diagnosis: Identify jinn type (violent whispers, nightmares).",,,,,,,,,,,
,,,,,,,,,,,
"Recitation: Surahs Al-Fatiha, *Al-Baqara 1–5*, Ayat al-Kursi.",,,,,,,,,,,
,,,,,,,,,,,
"Physical Acts: Blowing on water, using honey (Prophetic medicine).",,,,,,,,,,,
,,,,,,,,,,,
Expulsion: Command jinn to leave in Allah’s name.,,,,,,,,,,,
,,,,,,,,,,,
Forbidden:,,,,,,,,,,,
,,,,,,,,,,,
Seeking jinn help (shirk/major sin).,,,,,,,,,,,
,,,,,,,,,,,
Using magic (Sihr) counter-charms.,,,,,,,,,,,
,,,,,,,,,,,
Key Sources:,,,,,,,,,,,
,,,,,,,,,,,
Sunni Ruqya Guidelines (Dar al-Ifta),,,,,,,,,,,
,,,,,,,,,,,
Medicine of the Prophet (Ibn Qayyim),,,,,,,,,,,
4. Christian Demonology in the Malleus Maleficarum (1486),,,,,,,,,,,
A. Key Demons & Their Roles,,,,,,,,,,,
Demon,Role in Witchcraft,Punishment Recommended,Associated Heresy,,,,,,,,
Satan,Ultimate tempter,Burning at the stake,All heresies,,,,,,,,
Incubi,Male demons seducing women,Exorcism + penance,Sexual immorality,,,,,,,,
Succubi,Female demons seducing men,Confession + fasting,Lust,,,,,,,,
Belial,Corrupts clergy,Defrocking + imprisonment,Simony,,,,,,,,
Asmodeus,Destroys marriages,Annulment + scourging,Adultery,,,,,,,,
B. Witch-Trial Procedures,,,,,,,,,,,
,,,,,,,,,,,
Accusation: Anonymous tips accepted.,,,,,,,,,,,
,,,,,,,,,,,
"Interrogation: Sleep deprivation, thumbscrews.",,,,,,,,,,,
,,,,,,,,,,,
Tests:,,,,,,,,,,,
,,,,,,,,,,,
Water test (float = guilty).,,,,,,,,,,,
,,,,,,,,,,,
"Needle test (insensitive ""witch’s mark"").",,,,,,,,,,,
,,,,,,,,,,,
Execution: Burning for unrepentant witches.,,,,,,,,,,,
,,,,,,,,,,,
Controversies:,,,,,,,,,,,
,,,,,,,,,,,
False confessions under torture.,,,,,,,,,,,
,,,,,,,,,,,
Gendered bias: 80% accused were women.,,,,,,,,,,,
,,,,,,,,,,,
Key Sources:,,,,,,,,,,,
,,,,,,,,,,,
Malleus Maleficarum (Sprenger & Kramer),,,,,,,,,,,
,,,,,,,,,,,
Canon Episcopi (medieval counter-text),,,,,,,,,,,
Next Steps?,,,,,,,,,,,
,,,,,,,,,,,
Full 72 Angels Sigils & Prayers,,,,,,,,,,,
,,,,,,,,,,,
Dante’s Demons vs. Goetic Counterparts,,,,,,,,,,,
,,,,,,,,,,,
Case Studies in Ruqya Exorcisms,,,,,,,,,,,
,,,,,,,,,,,
Modern Revisions of the Malleus,,,,,,,,,,,
,,,,,,,,,,,
Let me know which section to dive deeper into!,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Key Expansions:,,,,,,,,,,,
,,,,,,,,,,,
"Alternative Names – Cross-cultural variants (e.g., Samael = Satanel, Iblis = Shaytan).",,,,,,,,,,,
,,,,,,,,,,,
"Iconography – Visual depictions (e.g., Lilith as winged seductress, Sandalphon as a giant).",,,,,,,,,,,
,,,,,,,,,,,
"Feast Days – Liturgical recognition (e.g., Michaelmas for Michael & Raphael).",,,,,,,,,,,
,,,,,,,,,,,
"Cultural Adaptations – Modern reinterpretations (e.g., Lilith in feminism, Azazel in occultism).",,,,,,,,,,,
,,,,,,,,,,,
"Associated Texts – Primary sources (e.g., Quran for Harut & Marut, Dead Sea Scrolls for Belial).",,,,,,,,,,,
Missing Entities?,,,,,,,,,,,
,,,,,,,,,,,
This list could be expanded further with:,,,,,,,,,,,
,,,,,,,,,,,
"Obscure demons (e.g., Paimon, Baphomet from the Ars Goetia).",,,,,,,,,,,
,,,,,,,,,,,
"Kabbalistic angels (e.g., Raziel, Tzaphkiel).",,,,,,,,,,,
,,,,,,,,,,,
"Islamic jinn (e.g., Ifrit, Marid).",,,,,,,,,,,
,,,,,,,,,,,
"Christian saints vs. demons (e.g., St. George vs. the dragon).",,,,,,,,,,,
,,,,,,,,,,,
"Would you like a deeper dive into any specific tradition (e.g., Kabbalah’s 72 angels of the Shem HaMephorash or Islamic jinn hierarchy)?",,,,,,,,,,,
"make new lists that collect all of these: Obscure demons (e.g., Paimon, Baphomet from the Ars Goetia). Kabbalistic angels (e.g., Raziel, Tzaphkiel). Islamic jinn (e.g., Ifrit, Marid). Christian saints vs. demons (e.g., St. George vs. the dragon). Would you like a deeper dive into any specific tradition (e.g., Kabbalah’s 72 angels of the Shem HaMephorash or Islamic jinn hierarchy)?",,,,,,,,,,,
,,,,,,,,,,,
