"🕉️ Proto-Indo-European Myths, Tales, Fables, and Stories",,,,,,
Reconstructed Title,Theme/Focus,Associated Deities/Figures,Key Motifs & Cross-Cultural Parallels,Sources/Scholarly Notes,,
Parable of the Weeds,Jewish/Christian,"Wheat and weeds grow together, separated at harvest",Jesus (as storyteller),"Matthew 13:24–30, 36–43",Allegory of good and evil2.,
Parable of the Mustard Seed,Jewish/Christian,"Small seed grows into large tree, symbolizing the kingdom of heaven",Jesus (as storyteller),Matthew 13:31–32,"Simple, image-based teaching2.",
Parable of the Hidden Treasure,Jewish/Christian,"Treasure hidden in a field, found and valued above all",Jesus (as storyteller),Matthew 13:44,Teaches about the value of the kingdom2.,
Parable of the Net,Jewish/Christian,"Net catches good and bad fish, sorted at the end",Jesus (as storyteller),Matthew 13:47–48,Sorting of righteous and wicked2.,
Nathan’s Parable of the Lamb,Jewish,Story of rich man stealing poor man’s lamb to confront King David,"Nathan, King David",2 Samuel 12:1–7,Parable as a prophetic device2.,
Allegory of the Eagles & Vine,Jewish,"Two eagles and a vine, symbolizing Israel and its fate",Ezekiel (as storyteller),"Ezekiel 17:3–10, 17:11–21",Allegorical interpretation follows2.,
Fable of the Trees,Jewish,"Trees seek a king, choose thornbush",Jotham (as storyteller),Judges 9:8–15,Example of mashal (fable) in Hebrew scripture2.,
Death and Resurrection Motif,"Indo-European, Near East",God/hero dies and returns from the dead,"Yemo, Jesus, Inanna/Ishtar, Ara",Rigveda 10.13; Matthew 28; Descent of Inanna; Armenian folklore3,"Shared motif of death, underworld, and return3.",
Parable of the Cooking Pot,Jewish,"Jerusalem as a cooking pot, symbolizing coming judgment",Ezekiel (as storyteller),Ezekiel 24:3–5,"Vivid, allegorical warning2.",
Fable of the Thornbush,Jewish,"Thornbush boasts to cedar, is trampled",Jehoash (as storyteller),2 Kings 14:9–10,Political allegory2.,
Key,,,,,,
"Chapter & Verse/Source Citation: Where possible, direct references to canonical texts or chapters are provided.",,,,,,
"Comparative Motifs: Many myths and parables share themes across Eurasia, such as the chaoskampf (hero vs. serpent/dragon), death and resurrection, and the use of parables for moral or spiritual teaching123.",,,,,,
