Approximate Date,Characters,,Source Text,,Involvement of Bull/Ocean/Serpent,,,Oldest Extant Texts/PIE Derived Pantheon,,Theme
Date of Origin,Myth Name,Characters,Textual Origin,Civilization/Religion,Key Characters/Story Elements,,,,,
,,,,,,,,,,
"c. 4,000–2,000 BCE",,Yemo (Proto-Indo-European),Reconstructed through comparative mythology,Proto-Indo-European,Yemo is the twin of Manu (the first man) and is often seen as the first mortal who is sacrificed to give rise to the world. His death symbolizes the creation of the universe in Proto-Indo-European myths.,,,,,
c. 1500–1200 BCE,,Yama (Vedic),"Rigveda (Book 10, Hymn 14)",Hinduism (Vedic),"Yama is the god of death and the ruler of the afterlife. He is considered the first mortal who died and became the guide of the dead. His twin sister is Yami, and he is linked to concepts of righteousness and death.",,,,,
c. 1500–500 BCE,,Manu (Vedic),"Shatapatha Brahmana, Mahabharata, Manusmriti",Hinduism (Vedic),"Manu is the progenitor of humanity and the first king in Hindu myths. He is the counterpart of Yama and is responsible for the preservation of life after a great flood, making him a culture hero like Noah in the Bible.",,,,,
c. 1500–1200 BCE,,Aryaman (Vedic),"Rigveda (Book 7, Hymn 36)",Hinduism (Vedic),"Aryaman is a Vedic deity associated with hospitality, friendship, and the protector of marriage contracts. He is often invoked alongside Mitra and Varuna in Vedic hymns.",,,,,
c. 1200–1000 BCE,,Yima (Avestan),"Avesta (Yasht 19, Vendidad)",Zoroastrianism,"Yima, also known as Jamshid in later Persian tradition, is a mythic king who ruled during a golden age. He is connected to Yama in Indo-Iranian myths and is known for creating a shelter for humanity during a deadly winter.",,,,,
c. 1400–1200 BCE,,Yam (Ugaritic/Canaanite),"Baʿal Cycle (Tablets from Ras Shamra, Ugarit)",Canaanite,"Yam is the god of the sea and chaos in Canaanite mythology, often depicted as a rival of Baʿal. He represents the primordial waters and chaos that are subdued by the storm god Baʿal.",,,,,
c. 13th century CE (older oral traditions),,Immir/Imir/Ymir (Norse),"Poetic Edda, Prose Edda",Norse Mythology,"Ymir is the primordial giant whose body was used to create the world in Norse mythology. He is a primeval being similar to Yemo and is killed by Odin and his brothers to form the earth, sky, and sea.",,,,,
c. 1st century CE (Tacitus mentions),,Manu (Germanic/Scandinavian),Reconstructed through comparative mythology,Proto-Germanic/Norse,"Manu (Mannus) is considered the ancestor of the Germanic peoples. In the work of Tacitus (Germania), he is mentioned as the son of the god Tuisto, sharing similarities with the Vedic Manu as a culture hero.",,,,,
c. 3rd–2nd millennium BCE,,Mannu (Elamite),Elamite Texts and Inscriptions,Elamite,"Mannu was a figure in Elamite mythology, mentioned in texts related to kingship and possibly connected to the concept of the first man or ruler, similar to Indo-European Manu.",,,,,
c. 3rd century CE,,Jima (Manichaeism),"Shabuhragan (lost, but referenced in various texts)",Manichaeism,"Jima in Manichaean cosmology represents a figure similar to Yima and Yama, associated with the myth of the first ruler who also plays a role in the soul's journey after death.",,,,,
c. 1st century BCE – 1st century CE,,Gemini Twins (Roman),"Astronomical Works, Roman Mythology",Roman/Greco-Roman,"The twins Castor and Pollux, often seen as divine twins, have parallels to the duality of Yemo and Manu in Indo-European myths, representing mortality (Castor) and immortality (Pollux).",,,,,
c. 1st century BCE – 1st century CE,,"Manu and Yemo (Romulus and Remus, Roman)","Livy, Plutarch",Roman,"Romulus and Remus, the founders of Rome, are seen as the Roman version of the twin myth. Like Yemo and Manu, their story involves themes of fraternal conflict and sacrifice, with Romulus ultimately founding the city after Remus's death.",,,,,
,,,,,,,,,,
Date of Origin,Myth Name,Characters,Textual Origin,Civilization/Religion,Key Characters/Story Elements,,,,,
3000 BCE,Creation of the World,"Anu, Ki, Enlil, Enki",Sumerian mythology (Various Sumerian texts),Sumerian,Father Sky God: Anu; Mother Earth Goddess: Ki; First Priest: Enki; First King: Enlil; Cosmic Struggles: Enlil overthrows primordial chaos.,,,,,
2400-2200 BCE,Osiris Myth,"Ra, Nut, Osiris, Set, Horus","Pyramid Texts, Coffin Texts",Egyptian,"Father Sky God: Ra; Mother Earth Goddess: Nut; First King: Osiris; First Warrior: Set; Battle: Set kills Osiris, Horus avenges Osiris and defeats Set.",,,,,
2000-1600 BCE,Enuma Elish,"Anu, Marduk, Tiamat, Ea (Enki)",Enuma Elish,Babylonian-Akkadian,Father Sky God: Anu; Mother Goddess: Tiamat (primordial chaos); First King: Marduk; Cosmic Battle: Marduk defeats Tiamat and creates the world.,,,,,
1800 BCE,Yima Myth,"Ahura Mazda, Ahriman, Yima","Avestan texts, Yasna",Iranian/Avestan/Zoroastrian,"Father Sky God: Ahura Mazda; First King: Yima (Yama); Cosmic Battle: Ahura Mazda battles Ahriman, the embodiment of chaos.",,,,,
1700-1500 BCE,Indra and Vṛtrá,"Dyēus Pitr, Dyaus Pitr, Indra, Yama",Vedas (Rigveda),Vedic,Father Sky God: Dyaus Pitr; Mother Earth Goddess: Prithvi Mata; First King: Yama; First Warrior: Indra; Cosmic Struggles: Indra defeats Vṛtrá (serpent of chaos).,,,,,
1500 BCE,Titanomachy,"Zeus, Cronus, Ouranos, Gaia",Theogony by Hesiod,Greek,"Father Sky God: Ouranos, then Cronus, then Zeus; Mother Earth Goddess: Gaia; Generations: Zeus overthrows Cronus, who overthrew Ouranos; Cosmic Battle: Zeus defeats the Titans.",,,,,
1400-1200 BCE,Kumarbi Cycle,"Kumarbi, Tarhun, Teshub, Illuyanka",Kumarbi Cycle,Hurrian/Hittite,Father Sky God: Kumarbi; First King: Tarhun (Teshub); First Warrior: Tarhun; Cosmic Battle: Tarhun defeats the serpent Illuyanka.,,,,,
1200-1000 BCE,Baal Cycle,"El, Baal, Yam, Mot, Asherah",Ugaritic texts (Ras Shamra tablets),Canaanite,Father Sky God: El; First King: Baal; Cosmic Battle: Baal defeats Yam (sea god) and battles Mot (death god).,,,,,
1000-500 BCE,Genesis Creation Myth,"Yahweh, Elohim, Adam, Noah, Cain","Hebrew Bible (Old Testament, Genesis)",Israelite,Father Sky God: Yahweh; First Priest: Adam; First King: Cain/Abel; Cosmic Struggles: Yahweh battles chaos (represented by Yam/Sea in ancient texts).,,,,,
1000-500 BCE,Manu and Yemo,"Trito, Yemos, Manu, Tuisto",Proto-Indo-European oral traditions,Proto-Indo-European,Father Sky God: Dyēus Pitr; First Priest: Manu; First King: Yemos (Twin); First Warrior: Trito; Cosmic Battle: Trito defeats the three-headed serpent.,,,,,
800-500 BCE,Romulus and Remus,"Romulus, Remus, Mars, Venus","Roman mythology (Livy, Virgil)",Roman,Father Sky God: Mars; Mother Goddess: Venus (later); First King: Romulus; Cosmic Struggles: Romulus kills Remus and founds Rome.,,,,,
700 BCE,Ymir Creation Myth,"Odin, Thor, Ymir, Tyr","Poetic Edda, Prose Edda",Germanic/Norse,"Father Sky God: Odin; First King: Ymir (giant); First Warrior: Thor; Cosmic Battle: Odin, Thor, and brothers slay Ymir, creating the world from his body.",,,,,
600 BCE,Enuma Elish,"Tiamat, Marduk, Anu",Enuma Elish,Babylonian-Akkadian,Father Sky God: Anu; Mother Goddess: Tiamat; First King: Marduk; Cosmic Battle: Marduk slays Tiamat and creates the cosmos from her remains.,,,,,
500 BCE,Yima Myth,"Ahura Mazda, Yima, Ahriman",Avesta,Zoroastrian/Iranian,"Father Sky God: Ahura Mazda; First King: Yima; Cosmic Battle: Ahura Mazda fights Ahriman, the evil spirit of chaos.",,,,,
400 BCE,Indra and Vṛtrá,"Indra, Vṛtrá, Soma","Vedas, Mahabharata",Vedic/Hindu,"Father Sky God: Indra; First Warrior: Indra; Cosmic Battle: Indra slays Vṛtrá (serpent of chaos) and releases the waters, ensuring life.",,,,,
300 BCE,Orphic Theogony,"Phanes, Nyx, Zeus, Dionysus","Orphic Mysteries (Hymns, Theogony)",Greek (Orphic Mysteries),"Primordial Deity: Phanes; First King: Zeus; Cosmic Struggles: Zeus swallows Phanes, becomes ruler; Dionysus later inherits Zeus’s cosmic role.",,,,,
100 CE,Revelation,"Jesus, Satan, Yahweh, Gabriel","New Testament, Book of Revelation",Christian,"Father Sky God: Yahweh (Father); First Warrior: Jesus; Cosmic Struggles: Jesus battles Satan, cosmic battle between good and evil for the final judgment.",,,,,
300 CE,Mithraic Mysteries,"Mithra, Ahura Mazda, Angra Mainyu","Mithraic Mysteries, Avestan texts",Persian/Zoroastrian (Mithraic Mysteries),Father Sky God: Ahura Mazda; First Warrior: Mithra; Cosmic Battle: Mithra fights alongside Ahura Mazda against Ahriman (Angra Mainyu).,,,,,
400 CE,Ragnarök,"Odin, Loki, Jörmungandr, Thor","Poetic Edda, Prose Edda",Germanic/Norse,"Father Sky God: Odin; First Warrior: Thor; Cosmic Battle: Thor fights Jörmungandr (Midgard Serpent) at Ragnarök, the end of the world.",,,,,
