"Apollonius of Tyana’s life, with historical sources, parable-like episodes, and documentation of attributed parables. All sources are cited in standard academic form.",,,,,
,,,,,
Date/Period,Episode/Event,Summary/Parable-like Elements,Primary Sources,Parables/Teachings,Notes/Variations
272 CE,Aurelian’s Vision,Emperor Aurelian spares Tyana after vision of Apollonius.,"Philostratus, VA 8.30; Historia Augusta, Aurelian 24.2",-,Historical event with legendary embellishment.
3rd–4th c. CE,Posthumous Influence,Letters attributed to Apollonius circulate; revered as sage and healer.,Epistolae Apollonii; Arabic Book of Balinas,“Wisdom is the only wealth that cannot be stolen.”,Many letters are considered spurious or pseudepigraphal.
4th c. CE,Christian Critique,"Eusebius compares Apollonius to Jesus, challenges miracle accounts.","Eusebius, Contra Hieroclem",-,Apollonius used as pagan counterpoint to Christ in polemics.
Parable-Like Episodes and Attributed Parables,,,,,
,,,,,
"Here is a more complete table of parables and parable-like teachings attributed to Apollonius of Tyana, based on your list and expanded with additional relevant material from primary sources and scholarly summaries:",,,,,
,,,,,
Parable / Episode Name,Source / Reference,Quotation / Description,,,
Parable of the Physician,"Philostratus, VA 1.16","“The wise man should resemble the physician, whose first duty is to heal himself.”",,,
Parable of the Gardener,VA 5.34,"“A good ruler is like a gardener: he must prune, not destroy.”",,,
Parable of the Sun,VA 6.11,"“As the sun shines on both the just and the unjust, so should the wise man’s charity.”",,,
Parable of the Shadow,VA 7.35,“Injustice is like a shadow: it flees before the light of truth.”,,,
Parable of the Cage,VA 4.45,"“The soul is imprisoned by the passions, as a bird by a cage.”",,,
Parable of the Soul’s Journey,VA 8.30,"“The soul’s journey is not ended by death, but by ignorance.”",,,
Parable of the Sacrifice,VA 3.41,"“The gods do not need sacrifices, but a pure mind.”",,,
Resurrection of the Bride,VA 4.45–4.48,"Apollonius revives a Roman bride, interpreted as a sign of spiritual awakening and purity.",,,
Indian Sages’ Simplicity,VA 2.35–3.41,Apollonius learns from Indian sages that virtue and wisdom are higher than ritual and material wealth.,,,
Miraculous Escapes,VA 8.8,His vanishing at Domitian’s court is presented as a parable of the triumph of innocence over tyranny.,,,
Parable of the Sacred Spring,VA 1.63,"A spring brings justice to perjurers and refreshment to the virtuous, symbolizing the impartiality of divine justice.",,,
Parable of the Brother’s Correction,VA 1.133,"Apollonius gives his inheritance to his wayward brother, saying, “I will heal him of these bad passions,” showing virtue over kinship.",,,
Parable of the Upright Guest,VA 1.123,“The gods love men of virtue and welcome them without any instructions.”,,,
Parable of Simplicity in Food,VA 1.313,"Prefers wild herbs to artificial garden produce, teaching natural simplicity over luxury.",,,
Parable of the Vow of Silence,Theosophy Trust8,"Only those who have kept a four-year vow of silence may learn his secret rites, symbolizing discipline and spiritual readiness.",,,
Parable of Memory and Time,Theosophy Trust8,"“Everything is worn and withered away by time, whereas time itself never ages, but remains immortal because of memory.”",,,
Parable of Asking and Teaching,Theosophy Trust8,"“Because I asked questions when I was a lad; and it is not my business to ask questions now, but to teach people what I have discovered.”",,,
Parable of the Fable,Wigowsky2,"Apollonius praises Aesop: “Aesop, who wrote all those fables, always included a moral truth to his short stories or parables.”",,,
,,,,,
"This table includes both direct parables and parable-like sayings or episodes, reflecting Apollonius’s style of teaching through metaphor, moral example, and symbolic action. The references to Philostratus’s Life of Apollonius of Tyana (VA) are the principal ancient source for these teachings, supplemented by summaries and interpretations from modern and secondary sources238.",,,,,
Citations:,,,,,
https://en.wikipedia.org/wiki/Apollonius_of_Tyana,,,,,
http://wigowsky.com/Chapters/apollonius/apollonius2.htm,,,,,
https://topostext.org/work/223,,,,,
http://gnosis.org/library/grs-mead/apollonius/apollonius_mead_08.htm,,,,,
https://www.newworldencyclopedia.org/entry/Apollonius_of_Tyana,,,,,
https://rsarchive.org/Lectures/GA203/English/Singles/19210328p01.html,,,,,
https://en.wikipedia.org/wiki/Life_of_Apollonius_of_Tyana,,,,,
https://theosophytrust.org/230-apollonius-of-tyana,,,,,
https://www.room207press.com/2016/06/written-in-water-7-taller-than-jesus.html,,,,,
