Early Christian Writers (1st-5th Centuries),,,,,,,,,,,,,,,,,,,,,,,,,
From ,Era,To,Era,Figure,Major Works,Core Philosophy/Theology,Influences/Affiliations,,,,,,,,,,,,,,,,,,
296.0,CE,373.0,CE,Athanasius of Alexandria,"On the Incarnation, Life of Anthony, Orations Against the Arians","Nicene Trinitarian theology, defender against Arianism","Egyptian monasticism, supporter of desert ascetics",,,,,,,,,,,,,,,,,,
300s,CE,,CE,Macarius Magnes,Apocriticus,Apologetics,Unknown,,,,,,,,,,,,,,,,,,
300.0,CE,368.0,CE,Hilary of Poitiers,"On the Trinity, Commentary on Matthew",Western defender of Nicene theology,"Exiled for orthodoxy, ""Athanasius of the West""",,,,,,,,,,,,,,,,,,
306.0,CE,373.0,CE,Ephraim the Syrian,"Prose Refutations of Mani, Marcion and Bardaisan","Anti-heretical polemics, hymns",Syriac Christian tradition,,,,,,,,,,,,,,,,,,
310.0,CE,391.0,CE,Pacian of Barcelona,"Letters, Treatise on Penance",Anti-Novatian polemic,Western orthodox tradition,,,,,,,,,,,,,,,,,,
310.0,CE,403.0,CE,Epiphanius of Salamis,"Weights and Measures, Panarion",Anti-heretical polemics,"Jewish traditions, orthodox Christianity",,,,,,,,,,,,,,,,,,
313.0,CE,398.0,CE,Didymus the Blind,"On the Holy Spirit, Commentary on Zechariah","Alexandrian theology, biblical interpretation","Blind scholar, combination of Origen and Athanasius",,,,,,,,,,,,,,,,,,
329.0,CE,390.0,CE,Gregory Nazianzen,"Orations, Invectives Against Julian","Trinitarian theology, poetry","Hellenistic education, Basil",,,,,,,,,,,,,,,,,,
330.0,CE,379.0,CE,Basil the Great,Address to Young Men on Greek Literature,"Cappadocian theology, monastic rules","Greek classical education, Neoplatonism",,,,,,,,,,,,,,,,,,
335.0,CE,395.0,CE,Gregory of Nyssa,Life of St. Macrina,"Cappadocian theology, mysticism","Origen, Platonism, Basil (brother)",,,,,,,,,,,,,,,,,,
340.0,CE,397.0,CE,Ambrose of Milan,Letters,"Western theology, episcopal authority","Cicero, Greek Fathers",,,,,,,,,,,,,,,,,,
345.0,CE,399.0,CE,Evagrius Ponticus,"Praktikos, Chapters on Prayer, On Thoughts","Monastic spirituality, eight principal vices","Desert spirituality, condemned as Origenist",,,,,,,,,,,,,,,,,,
345.0,CE,411.0,CE,Rufinus of Aquileia,"Translations of Greek works, Church History",Transmitter of Eastern theology to West,"Defended Origen, friend then opponent of Jerome",,,,,,,,,,,,,,,,,,
347.0,CE,407.0,CE,John Chrysostom,"Four Discourses, Homilies","Moral exegesis, social ethics",Antiochene school of interpretation,,,,,,,,,,,,,,,,,,
347.0,CE,420.0,CE,Jerome,"Biblical Prefaces, Letters, Chronicle","Biblical translation, asceticism","Classical education, Hebrew studies",,,,,,,,,,,,,,,,,,
350.0,CE,410.0,CE,Asterius of Amasea,Sermons,Practical Christian ethics,Anti-Arian stance,,,,,,,,,,,,,,,,,,
350.0,CE,428.0,CE,Theodore of Mopsuestia,Commentary on Nicene Creed,Literal-historical exegesis,Antiochene school,,,,,,,,,,,,,,,,,,
354.0,CE,430.0,CE,Augustine,"Confessions, City of God, Enchiridion","Original sin, grace, predestination","Neoplatonism, Ambrose, Cicero",,,,,,,,,,,,,,,,,,
360.0,CE,435.0,CE,John Cassian,"Conferences, Institutes","Monastic guidelines, semi-Pelagian tendencies",Bridge between Eastern and Western monasticism,,,,,,,,,,,,,,,,,,
363.0,CE,425.0,CE,Palladius,"Lausiac History, Dialogue on Chrysostom",Monastic history,Desert Fathers tradition,,,,,,,,,,,,,,,,,,
368.0,CE,439.0,CE,Philostorgius,Ecclesiastical History,Anomoean (radical Arian) perspective,Eunomius of Cyzicus,,,,,,,,,,,,,,,,,,
370s,CE,,CE,Optatus of Milevis,Against the Donatists,Anti-schismatic polemic,North African tradition,,,,,,,,,,,,,,,,,,
376.0,CE,444.0,CE,Cyril of Alexandria,"Five Tomes Against Nestorius, Commentary on Luke","Christological unity, Theotokos",Alexandrian tradition,,,,,,,,,,,,,,,,,,
,CE,445.0,CE,Vincent of Lérins,Commonitorium,"Doctrinal development theory, orthodoxy criteria","Western orthodox tradition, Lérins monastery",,,,,,,,,,,,,,,,,,
386.0,CE,450.0,CE,Nestorius,Bazaar of Heracleides,Christological dualism,"Antiochene school, Theodore of Mopsuestia",,,,,,,,,,,,,,,,,,
393.0,CE,458.0,CE,Theodoret of Cyrus,"Ecclesiastical History, Compendium of Heretical Fables, Biblical commentaries",Moderate Antiochene theology,"Rehabilitated at Chalcedon, friend of Nestorius",,,,,,,,,,,,,,,,,,
400.0,CE,461.0,CE,Leo the Great (Pope Leo I),"Tome of Leo, Sermons","Christology, papal primacy, Roman liturgy","Defeated Attila the Hun, defined Chalcedonian theology",,,,,,,,,,,,,,,,,,
400.0,CE,490.0,CE,Salvian,On the Government of God,"Divine providence, social critique",Augustine's influence,,,,,,,,,,,,,,,,,,
406.0,CE,450.0,CE,Peter Chrysologus,Sermons,"Pastoral theology, Marian devotion","Western patristic preaching, Archbishop of Ravenna",,,,,,,,,,,,,,,,,,
407.0,CE,,CE,Chromatius of Aquileia,Sermons on Matthew,Biblical exegesis,Western orthodox tradition,,,,,,,,,,,,,,,,,,
420.0,CE,,CE,Marutha of Maiperqat,On the Council of Nicaea,Conciliar theology,Syriac tradition,,,,,,,,,,,,,,,,,,
430.0,CE,489.0,CE,Sidonius Apollinaris,Letters,Gallo-Roman Christianity,Classical Roman education,,,,,,,,,,,,,,,,,,
435.0,CE,,CE,Rabbula,Admonitions to the monks,Asceticism,"Anti-Nestorian, pro-Cyrilline",,,,,,,,,,,,,,,,,,
455.0,CE,535.0,CE,Eugippius,Life of St. Severinus,Hagiography,Western monastic tradition,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Later Christian Writers (6th-9th Centuries),,,,,,,,,,,,,,,,,,,,,,,,,
Dates,,,,Author,Major Works,Core Philosophy/Theology,Influences/Affiliations,,,,,,,,,,,,,,,,,,
early 6th century,,,,Pseudo-Dionysius,"Divine Names, Mystical Theology, Celestial Hierarchy","Christian Neoplatonism, mysticism","Proclus, Neoplatonism",,,,,,,,,,,,,,,,,,
fl. 507 CE,,,,Joshua the Stylite,Chronicle,Syrian historical perspective,Syriac Christianity,,,,,,,,,,,,,,,,,,
c. 470-544 CE,,,,Dionysius Exiguus,On Easter (Paschal Cycle),Calendar computation,Western church traditions,,,,,,,,,,,,,,,,,,
451-521 CE,,,,Jacob of Serûgh,Homilies,"Syriac poetics, anti-Chalcedonian",Ephrem the Syrian,,,,,,,,,,,,,,,,,,
c. 500-570 CE,,,,Gildas the Wise,The Ruin of Britain,"British history, moral decline",Celtic monasticism,,,,,,,,,,,,,,,,,,
440-523 CE,,,,Philoxenus of Hierapolis,Ascetic Discourses,"Syrian mysticism, anti-Chalcedonian",Monophysite tradition,,,,,,,,,,,,,,,,,,
536-594 CE,,,,Evagrius Scholasticus,Ecclesiastical History,"Church history, Chalcedonian",Byzantine tradition,,,,,,,,,,,,,,,,,,
477 CE,,,,Timothy Aelurus,Patristic testimonia,Anti-Chalcedonian,Alexandrian tradition,,,,,,,,,,,,,,,,,,
465-538 CE,,,,Severus of Antioch,"Letters, Sermons",Anti-Chalcedonian theology,"Neoplatonism, Alexandria",,,,,,,,,,,,,,,,,,
507-589 CE,,,,John of Ephesus,Ecclesiastical History,Miaphysite perspective,Syrian tradition,,,,,,,,,,,,,,,,,,
465-536 CE,,,,Zacharias Rhetor,Syriac Chronicle,Miaphysite history,Syrian tradition,,,,,,,,,,,,,,,,,,
6th century,,,,Cosmas Indicopleustes,Christian Topography,Biblical cosmology,Nestorian connections,,,,,,,,,,,,,,,,,,
540-604 CE,,,,Gregory the Great,Dialogues,"Pastoral theology, hagiography","Benedict, Roman tradition",,,,,,,,,,,,,,,,,,
390-459 CE,,,,Simeon Stylites,Letters,Ascetic practice,Syrian monasticism,,,,,,,,,,,,,,,,,,
late 6th century,,,,John of Epiphania,Fragments of History,Byzantine history,Byzantine tradition,,,,,,,,,,,,,,,,,,
late 6th century,,,,Licinian,Letters,Anti-superstition,Spanish Christianity,,,,,,,,,,,,,,,,,,
610-685 CE,,,,Ananias of Shirak,"On Easter, On Christmas",Calendar calculations,Armenian tradition,,,,,,,,,,,,,,,,,,
early 7th century,,,,Antiochus Strategos,Capture of Jerusalem,Historical account,Byzantine perspective,,,,,,,,,,,,,,,,,,
7th century,,,,Theodore Syncellus,Homily on the siege of Constantinople,Byzantine patriotism,Orthodox tradition,,,,,,,,,,,,,,,,,,
560-636 CE,,,,Isidore of Seville,"Chronicon, Etymologies","Encyclopedia, chronology",Classical and patristic learning,,,,,,,,,,,,,,,,,,
7th century,,,,John of Nikiu,Chronicle,Egyptian perspective,Coptic tradition,,,,,,,,,,,,,,,,,,
490-570 CE,,,,John Philoponus,On the astrolabe,Christian Aristotelianism,Alexandrian Neoplatonism,,,,,,,,,,,,,,,,,,
667 CE,,,,Severus Sebokht,Description of the astrolabe,Scientific knowledge,Syriac scholarly tradition,,,,,,,,,,,,,,,,,,
640-708 CE,,,,James of Edessa,Continuation of Chronicle of Eusebius,Chronography,Syrian Orthodox tradition,,,,,,,,,,,,,,,,,,
8th century,,,,Ghewond,History,Armenian historical perspective,Armenian church,,,,,,,,,,,,,,,,,,
727-823 CE,,,,Timothy I,Apology for Christianity,"Nestorianism, interreligious dialogue",Church of the East,,,,,,,,,,,,,,,,,,
810-893 CE,,,,Photius of Constantinople,Bibliotheca/Myriobiblion,"Literary criticism, anti-Roman",Byzantine scholarship,,,,,,,,,,,,,,,,,,
10th century,,,,Agapius of Hierapolis,Universal History,Melkite historical perspective,Byzantine orthodox tradition,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical and Late Antique Pagan Authors,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,,,,Author,Major Works,Core Philosophy,Influences/Affiliations,,,,,,,,,,,,,,,,,,
110-25 BCE,,,,Cornelius Nepos,Lives of Eminent Commanders,Biographical history,Roman historiography,,,,,,,,,,,,,,,,,,
38-104 CE,,,,Martial,Epigrams,Satirical poetry,Roman literary tradition,,,,,,,,,,,,,,,,,,
c. 55-127 CE,,,,Juvenal,Satires,Social criticism,Roman satire tradition,,,,,,,,,,,,,,,,,,
2nd century CE,,,,Justinus,Epitome of Pompeius Trogus,Historical abbreviation,Hellenistic historiography,,,,,,,,,,,,,,,,,,
c. 170-240 CE,,,,Herodian,Roman Histories,Political history,Greek historiographic tradition,,,,,,,,,,,,,,,,,,
234-305 CE,,,,Porphyry,"Against the Christians, On Abstinence",Neoplatonism,"Plotinus, Pythagoreanism",,,,,,,,,,,,,,,,,,
331-363 CE,,,,Julian the Apostate,"Orations, Against the Galileans","Neoplatonism, pagan revival","Iamblichus, Eleusinian Mysteries",,,,,,,,,,,,,,,,,,
314-394 CE,,,,Libanius,"Orations, Letters to Julian","Rhetoric, pagan tradition",Classical education,,,,,,,,,,,,,,,,,,
4th century,,,,Eutropius,Abridgment of Roman History,Imperial history,Roman historical tradition,,,,,,,,,,,,,,,,,,
346-414 CE,,,,Eunapius,Lives of Philosophers and Sophists,Pagan biography,Neoplatonism,,,,,,,,,,,,,,,,,,
330-395 CE,,,,Ammianus Marcellinus,Roman History,Military history,"Tacitus, Roman tradition",,,,,,,,,,,,,,,,,,
412-485 CE,,,,Proclus,"Hymns, Commentary on Chaldaean Oracles",Systematic Neoplatonism,"Plotinus, Iamblichus, Theurgy",,,,,,,,,,,,,,,,,,
5th-6th century,,,,Zosimus,The New History,Anti-Christian history,"Eunapius, pagan perspective",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Collections and Anonymous Works,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,Author,Major Works,Content Type,Tradition/Perspective,,,,,,,,,,,,,,,,,,
2nd century,,,,,Unknown authors,Biblical introduction,Marcionite Christianity,,,,,,,,,,,,,,,,,,
2nd-3rd century,,,,,Anti-Marcionite prologues to the Gospels,Biblical introduction,Anti-heretical orthodoxy,,,,,,,,,,,,,,,,,,
354 CE,,,,,Chronography of 354,"Calendar, chronology",Roman imperial Christianity,,,,,,,,,,,,,,,,,,
6th century,,,,,Chronicle of Edessa,Local history,Syriac Christianity,,,,,,,,,,,,,,,,,,
6th century,,,,,Chronicle of Arbela,Local history,Church of the East,,,,,,,,,,,,,,,,,,
early 8th century,,,,,Whitby Life of St. Gregory,Hagiography,Anglo-Saxon Christianity,,,,,,,,,,,,,,,,,,
early 9th century,,,,,Syriac Fragment: Chronicle 754-813 AD,Chronicle,Syriac perspective,,,,,,,,,,,,,,,,,,
Late Antiquity,,,,,Pagan exorcism text,Ritual text,Greco-Roman paganism,,,,,,,,,,,,,,,,,,
4th century,,,,,Origin of the Roman People,Legendary history,Roman nationalism,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Important Categories,,,,,,,,,,,,,,,,,,,,,,,,,
Category,,,,Author,Major Works,Significance,,,,,,,,,,,,,,,,,,,
Anonymous Works,,,,Unknown authors,"Didache (c. 50-120 CE), Epistle to Diognetus (2nd c.), Shepherd of Hermas (2nd c.)","Early church practice, apologetics, visionary literature",,,,,,,,,,,,,,,,,,,
Apostolic Fathers,,,,Various,"Epistle of Barnabas, Martyrdom of Polycarp",Bridge between apostolic and patristic ages,,,,,,,,,,,,,,,,,,,
Gnostic Authors,,,,"Valentinus (c. 100-160 CE), Basilides (c. 117-138 CE)","Fragments preserved in heresiological works, Nag Hammadi texts","Alternative Christian theologies, complex cosmologies",,,,,,,,,,,,,,,,,,,
Important Women,,,,"Perpetua (203 CE), Macrina the Younger (c. 330-379 CE), Melania the Elder and Younger (4th-5th c.)","Passion of Perpetua, influence on Cappadocians","Female asceticism, martyrdom accounts",,,,,,,,,,,,,,,,,,,
Desert Fathers & Mothers,,,,"Anthony the Great (251-356 CE), Pachomius (292-348 CE), Mary of Egypt (c. 344-421 CE)","Sayings of the Desert Fathers, monastic rules","Foundations of Christian monasticism, ascetic practice",,,,,,,,,,,,,,,,,,,
