"Timeline of Zoroastrian, Magian, and Related Prophets and Religious Figures",,,,,,,,,
Date,Name,Tradition,Region,Key Teachings,Notable Works/Texts,Reported Miracles/Powers,Biographical Information,Martyrdom,Ruling Dynasty/Power
c. 522-486 BCE,Darius I,Persian State Religion,Persian Empire,"Imperial Zoroastrianism, Ahura Mazda as supreme",Behistun Inscription,"Divine selection, victory through divine favor",Emperor who formalized state religion,No,Achaemenid Dynasty
c. 500-400 BCE,Jamasp,Zoroastrianism,Persian Empire,"Prophetic wisdom, astrology",Jamasp Namag (later text),"Prophecy, astrological knowledge",Traditional wise counselor to Vishtaspa,No,Achaemenid Empire
c. 500-350 BCE,Magi Tradition Formation,Zoroastrian/Magian,Persian Empire,"Ritual purification, fire veneration",Ritual texts in Avesta,"Divination, dream interpretation",Development of formal priesthood,No,Achaemenid Empire
c. 400-300 BCE,Theopompus,Greek account of Persian religion,Greece/Persia,Cyclical cosmology,Philippica (fragments),None (historian),Greek historian reporting on Zoroastrian beliefs,No,Late Achaemenid/Early Hellenistic
c. 330-250 BCE,Early Hellenistic Magi,Syncretic Zoroastrianism,Persian/Greek territories,Integration of Greek elements,None surviving,"Astrology, alchemy, divination",Adaptation following Alexander's conquests,No,Seleucid Empire
c. 250-226 BCE,Arsacid Religious Leaders,Parthian Zoroastrianism,Parthian Empire,Local Zoroastrian traditions,Oral traditions,Ritual powers,Religious specialists under Parthian rule,No,Parthian (Arsacid) Empire
c. 224-240 CE,Tansar,Zoroastrianism,Sassanid Persia,"Orthodox revival, religious authority",Letter of Tansar,"Religious authority, divine knowledge",High priest under Ardashir I,No,Early Sassanid Empire
c. 240-276 CE,Mani,Manichaeism,Sassanid Persia,"Radical dualism, universal religion","Shabuhragan, Arzhang (Book of Pictures)","Visions, miraculous healing, astral journeys",Prophet who synthesized religions,"Yes (imprisoned, died)",Sassanid Empire (Shapur I)
c. 240-300 CE,Kartir,Zoroastrianism,Sassanid Persia,"Orthodox Zoroastrianism, religious persecution",Rock inscriptions,"Afterlife journey, divine authority",Powerful high priest who persecuted minorities,No,Sassanid Empire
c. 300-330 CE,Early Zurvanite Priests,Zurvanism (Zoroastrian sect),Sassanid Persia,Time (Zurvan) as supreme deity,None surviving directly,Cosmological knowledge,Theological movement within Zoroastrianism,No,Sassanid Empire
c. 330-379 CE,Adurbad Mahraspandan,Zoroastrianism,Sassanid Persia,"Ritual purity, ethical guidance",Andarz (wisdom literature),Survived molten metal ordeal,High priest under Shapur II,No,Sassanid Empire
c. 430-490 CE,Yazdegerd II,State Zoroastrianism,Sassanid Persia,"Anti-Christian policies, fire cult",None authored,Divine rulership,Sassanid Emperor who enforced Zoroastrianism,No,Sassanid Empire
c. 490-530 CE,Mazdak,Mazdakism,Sassanid Persia,"Communal property, social reform",None surviving,"Miraculous charisma, visions",Revolutionary religious leader,Yes (executed with followers),Sassanid Empire (Kavad I)
c. 531-579 CE,Khosrow I,State Zoroastrianism,Sassanid Persia,"Orthodox restoration, anti-Mazdakite",None authored,Divine kingship,Emperor who suppressed Mazdakite movement,No,Sassanid Empire
c. 590-628 CE,Khosrow II,State Zoroastrianism,Sassanid Persia,"Imperial glory, fire temples",None authored,Divine fortune (khvarenah),Emperor who expanded empire temporarily,"Yes (overthrown, executed)",Sassanid Empire
c. 620-650 CE,Final Sassanid Mobads,Zoroastrianism,Sassanid Persia,Preservation of tradition,Collection of Avesta texts,Ritual efficacy,Last generation of state-supported priests,Some (during Islamic conquest),Late Sassanid Empire
c. 700-900 CE,Early Dasturs of Iran,Post-conquest Zoroastrianism,Iran under Islamic rule,Adaptation to minority status,"Pahlavi texts, commentaries",Preservation of sacred fire,Priests maintaining tradition under Islam,Some (during persecutions),Umayyad/Abbasid Caliphates
c. 750-850 CE,Zoroastrian Scholars of Baghdad,"""Scientific"" Zoroastrianism",Abbasid Caliphate,"Astronomy, medicine, translation",Scientific treatises,Scientific knowledge,Integrated into Islamic intellectual life,No,Abbasid Caliphate
c. 815-880 CE,Zadspram,Zoroastrianism,Southern Iran,Systematic theology,Selections of Zadspram,Theological insight,Priest and theologian,No,Abbasid Caliphate
c. 820-900 CE,Manuščihr,Zoroastrianism,Iran,"Ritual law, purity codes",Epistles,Legal interpretation,High priest and brother of Zadspram,No,Abbasid Caliphate
c. 850-950 CE,Compilers of Denkard,Zoroastrianism,Iran,Encyclopedia of faith,Denkard (9 books),Preservation of knowledge,Priests preserving traditional knowledge,No,Abbasid Caliphate
c. 900-1000 CE,Authors of Bundahishn,Zoroastrianism,Iran,"Cosmogony, eschatology",Bundahishn,Cosmological knowledge,Compilers of traditional cosmology,No,Abbasid Caliphate
c. 1020-1090 CE,Migration to India Leaders,Parsi Zoroastrianism,"Gujarat, India",Tradition preservation,Qissa-i Sanjan,"Safe passage to India, establishing fire",Leaders of refugee community,No,Gujarat Hindu kingdoms
c. 1090-1200 CE,Early Parsi Priests,Parsi Zoroastrianism,India,Adaptation to Indian context,Rivayats (epistolary exchanges),Maintaining sacred fires,Establishing priesthood in India,No,Hindu kingdoms of Gujarat
c. 1478-1551 CE,Dastur Mobad Neryosang Dhaval,Parsi Zoroastrianism,India,Sanskrit translations,Translations of Avestan texts,Scholarly preservation,Scholar-priest,No,Gujarat Sultanate
c. 1640-1700 CE,Dastur Darab,Parsi Zoroastrianism,India,Persian revival,Persian Rivayats,Ritual knowledge,Leader during Mughal period,No,Mughal Empire
c. 1700-1780 CE,Jamasp Vilayati,Iranian Zoroastrianism,Iran/India,Ritual authority,Letters to Indian Parsis,Ritual purity expertise,Iranian priest who advised Indian Parsis,No,Late Safavid/Zand Dynasty
c. 1750-1830 CE,Mulla Firuz,Parsi Zoroastrianism,India,Historical research,"George-Namah, scholarly works",Scholarly insights,First modern Parsi scholar,No,British East India Company
c. 1829-1908 CE,Kharshedji Rustamji Cama,Zoroastrian Reformism,India,Textual scholarship,Avestan studies,Scholarly authority,Western-educated reformist scholar,No,British Raj
c. 1840-1920 CE,Jivanji Jamshedji Modi,Zoroastrian Scholarship,India,Anthropological approach,Religious Ceremonies and Customs of the Parsees,Scholarly insights,Pioneer in scientific study of Zoroastrianism,No,British Raj
c. 1881-1943 CE,Maneckji Nusserwanji Dhalla,Progressive Zoroastrianism,India/Pakistan,Modernist interpretation,"Zoroastrian Theology, History of Zoroastrianism",Reinterpretation for modern era,High priest who integrated Western scholarship,No,British Raj
