Group/Heresy,Founder,Dates Existing,Key Belief
Monarchianism,Various,180-300,Emphasized the unity of God; split into Modalistic and Dynamic branches.
Adoptionists,Theodotus of Byzantium,190-300,Believed Jesus was a mere man adopted as God's Son at baptism.
Dynamic Monarchianism (Adoptionism),Theodotus of Byzantium,190-300,"Rejected Christ's divinity, claiming He was adopted as God's Son at His baptism."
Modalistic Monarchianism,Sabellius,200-300,"Taught Father, Son, and Spirit were modes of one divine person, not distinct."
Patripassianism,Praxeas,200-300,Believed God the Father suffered on the cross.
Melchisedechians,Unknown,200-400,Worshiped Melchizedek as a heavenly power superior to Christ.
Sabellianism,Sabellius,220-300,"Denied the Trinity, taught modalism (God as one person with three modes)."
Origenism,Origen,230-553,"Speculative theology including pre-existence of souls, universal salvation."
Manichaeism,Mani,240-700,"Dualistic religion combining elements of Christianity, Zoroastrianism, and Buddhism."
Borborites,Unknown,250-400,Gnostic sect accused of practicing ritual impurity and libertine rites.
Novatianism,Novatian,251-400,Refused forgiveness for Christians who lapsed during persecution.
Lucianists,Lucian of Antioch,280-320,Precursor to Arianism; emphasized Christ's created nature.
Audians,Audius,300-400,Rejected Nicene orthodoxy; adhered to anthropomorphic views of God.
Collyridianism,Unknown,300-400,"Worshiped Mary as a goddess, offering bread sacrifices to her."
Melitians,Meletius of Lycopolis,306-400,Schismatic group rejecting the authority of bishops who lapsed during persecution.
Donatism,Donatus Magnus,311-600,Believed only morally pure clergy could administer sacraments validly.
Arianism,Arius,318-700,"Denied the full divinity of Christ, claiming He was created by God."
Marcellians,Marcellus of Ancyra,330-380,"Denied the eternal nature of Christ's kingdom, accused of Sabellian tendencies."
Semi-Arianism,Various,340-380,"Compromise position that Christ was ""like"" God but not ""one in being"" with God."
Anomoeanism,Aetius of Antioch,340-381,"Radical form of Arianism, teaching Christ was ""unlike"" (anomoios) God in essence."
Homoiousians,Basil of Ancyra,350-380,"Middle position in Arian controversy, teaching Christ was ""of similar substance"" to God."
Macedonianism,Macedonius I of Constantinople,350-380,Denied divinity of Holy Spirit but accepted Christ's divinity.
Pneumatomachians,Macedonius I,350-380,"""Spirit-fighters"" who denied the divinity of the Holy Spirit."
"Apollinarianism, Apollinarism",Apollinaris of Laodicea,350-381,"Taught that Jesus lacked a human mind or soul, replaced by divine Logos. Taught Christ had a human body but divine mind/spirit."
Eunomianism,Eunomius,360-380,Extreme Arian view claiming Christ's essence was fundamentally different from God's.
Euchites (Messalians),Unknown,360-700,"Taught that constant prayer was the only path to salvation, rejecting sacraments."
Luciferians,Lucifer of Cagliari,370-400,Opposed leniency toward Arian clergy who repented after the Council of Nicea (325).
Priscillianism,Priscillian,370-500,Ascetic movement in Spain and Gaul.
Pelagianism,Pelagius,410-431,"Denied original sin, emphasized human free will and moral effort for salvation."
Semi-Pelagianism,John Cassian,420-529,Modified Pelagianism allowing both human will and divine grace in salvation.
Nestorianism,Nestorius,428-500,Separated Christ's divine and human natures into two distinct persons.
Eutychianism,Eutyches,450-500,"Extreme form of Monophysitism, denying Christ's human nature entirely."
Monophysitism,Eutyches,450-600,"Believed Christ had only one nature (divine), rejecting dual nature doctrine."
Judaizers,Unknown,50-100,"Advocated adherence to Jewish law (e.g., circumcision) as necessary for Christians."
Simonians,Simon Magus,50-100,Early Gnostic sect; Simon claimed to be an incarnation of divine power.
Antinomianism,Various,50-present,Belief that Christians are freed from moral law by grace.
Three Chapters Controversy,Various figures,530-600,Dispute over writings seen as Nestorian; condemned by the Church.
Monothelitism,Sergius I of Constantinople,630-680,"Claimed Christ had two natures but one will. Taught that Christ had only one will (divine), not two wills (divine and human)."
Paulicianism,Constantine of Mananali,650-900,Dualistic movement rejecting material world and Old Testament God.
Nicolaitans,Unknown,70-100,Antinomian views; mentioned in Book of Revelation.
Docetism,Unknown,70-200,Belief that Jesus only appeared to be human.
Ebionites,Unknown,70-500,Denied the deity of Christ; viewed Jesus as a unique man equipped by God to be the Messiah.
Iconoclasm,Leo III (imperial support),726-843,"Opposed use of religious images, claiming it was idolatry."
Gnosticism,Various leaders,80-400,Complex system teaching salvation through secret knowledge.
Tondrakians,Smbat of Zarehavan,830-1000,Armenian dualistic sect rejecting Church hierarchy and sacraments.
Cerinthians,Cerinthus,90-150,Combined elements of Judaism with Christian beliefs.
Bogomilism,Bogomil,950-1500,Dualistic sect rejecting material world and Orthodox Church; precursor to Catharism.
