Reference/Source,Book,Date (BCE/CE),Visionary/Recipient,Chariot/Wheel Motif,Four Winds,Four Beasts/Living Creatures,Four Wings,Four Angels/Chariot Bearers,Related Merkabah/Hekhalot Themes/Symbolism,
Exodus 33:18-23,Exodus,c. -1000 to -500,Moses,Moses asks to see God's glory; sees God's back but not face,,,,,"God's transcendence, mediated revelation",
"Ezekiel 1, 10",Ezekiel,c. -600,Ezekiel,"Divine chariot (merkabah), wheels within wheels, throne above firmament",Implied (spirit/wind moves chariot),"Four living creatures (cherubim, each with four faces)",Each creature has four wings,Four living creatures (cherubim),"Foundational merkabah vision: heavenly throne, chariot, angelic hosts, mystical ascent",
"Ezekiel 1, 8, 10, 37, 40–48",Ezekiel,c. -600,Ezekiel,"Multiple: throne vision (cherubim, wheels), abominations in temple, valley of dry bones, new temple",,,,,"God's glory, judgment, restoration, eschatological hope",
Genesis 28 (Jacob’s Ladder),,c. -1000 to -500,Jacob,"Ladder (not chariot, but ascent motif)",Not explicit,Angels ascending/descending,Not explicit,Angelic hosts,"Early ascent motif, divine encounter, precursor to later ascent traditions",
Genesis 28:12-15,Genesis,c. -1000 to -500,Jacob,Ladder to heaven; angels ascending/descending; God at the top,,,,,"Divine-human connection, reaffirmation of Abrahamic covenant, God's ongoing presence and promise",
"Hekhalot Rabbati, Hekhalot Zutarti, 3 Enoch",Hekhalot,c. 200 to 700,Early Jewish mystics,"Detailed descriptions of merkabah, chariot, angelic throne bearers",Four winds sometimes referenced,"Angelic beasts, living creatures",Angelic beings with multiple wings,"Angelic chariot bearers (Ophanim, Hayyot, Seraphim)","Expansion of Ezekiel’s vision; mystical ascent, angelic hierarchies, heavenly palaces (hekhalot), throne mysticism",
Isaiah 6,Isaiah,c. -800,Isaiah,Throne vision (not chariot),Not explicit,Seraphim (angelic beings),Each has six wings,Not explicit,"Throne vision, purification, angelic praise, precursor to later throne mysticism",
Isaiah 6:1-8,Isaiah,c. -800,Isaiah,"The Lord enthroned, seraphim, temple filled with smoke, Isaiah's commission",,,,,"Divine majesty, purification, prophetic calling",
Jeremiah 1:11-14,Jeremiah,c. -700 to -600,Jeremiah,"Almond branch (watchfulness), boiling pot (impending disaster from the north)",,,,,"Imminence of judgment, God's vigilance",
Jeremiah 49:36,Jeremiah,c. -700 to -600,Jeremiah,"No chariot, but wind motif",Four winds of heaven to scatter Elam,No,No,No,Four winds as agents of divine judgment; motif reappears in apocalyptic and merkabah literature,
Maaseh Merkabah,,c. 200 to 700,Mystics,"Detailed chariot vision, ritual ascent",Not explicit,Angelic hosts,Not explicit,Angelic chariot bearers,"Ritual ascent, angelic adjuration, transformation, throne mysticism",
Matthew 17:1-9,Matthew,c. 100,"Peter, James, John","Transfiguration: Jesus in glory, Moses & Elijah appear, divine voice",,,,,"Christ's divinity, fulfillment of Law and Prophets, divine sonship",
Moses 1 (LDS/Restoration),,Modern retelling,Moses,"Ascent to heavenly temple, vision of creation and fall",Not explicit,Not explicit,Not explicit,Not explicit,"Stepwise ascent, vision of God, creation, fall, atonement, return to presence (theosis)",
Psalm 104:3,Psalm,c. -1000 to -500,Psalmist,"God makes clouds His chariot, walks on wings of the wind",Wings of the wind,No,No,No,Poetic precursor to chariot/wind motifs in later visions,
Psalm 68:17,Psalm,c. -1000 to -500,Psalmist,Chariots of God are myriads,No,No,No,No,Multitude of divine chariots; heavenly host imagery,
"Revelation 1, 4–5, 6–22",Revelation,c. 100,John of Patmos,"Series of apocalyptic visions: Christ among lampstands, throne room, seals, trumpets, beasts, New Jerusalem",,,,,"Eschatological judgment, cosmic conflict, ultimate restoration, symbolic imagery",
Revelation 4–7,Revelation,c. 100,John of Patmos,Throne with four living creatures around it,Four angels hold back four winds,Four living creatures,Each has six wings (but four creatures),Four angels (Rev 7:1),"Combines Ezekiel’s living creatures, Daniel’s beasts, and apocalyptic winds; key source for Hekhalot literature",
"Talmud, Hagigah 12–16a",,c. 200 to 500,"Rabbis (Akiva, Ishmael)",No explicit chariot,No,No,No,No,"Ascent, dangers, “two powers,” mystical speculation, throne visions",
Zechariah 1–6,Zechariah,c. -600,Zechariah,"Eight night visions: horses, horns, measuring line, high priest, lampstand, flying scroll, woman in basket, four chariots","Restoration, spiritual cleansing, judgment, messianic hope, cosmic sovereignty",,,,,
Zechariah 6:1–8,Zechariah,c. -600,Zechariah,Four chariots between two mountains,Four spirits/winds of heaven,Not explicit,Not explicit,Four chariot-driving angels,Angelic chariot bearers; four winds as cosmic agents; apocalyptic and merkabah themes,
