Comprehensive Developmental and Consciousness Models,,,,,,,
Year,Model Name,Creator(s),Major Works / Sources,Supporters & Related Thinkers,Critics & Criticisms,Main Concepts / Focus,Stages / Steps (with Descriptions)
-400.0,Hippocratic Humoral Theory,"Hippocrates, Galen (later)","Hippocratic Corpus, Galen's works","Medieval medicine, temperament theories","Scientific limitations, oversimplification",States of health and consciousness based on humoral balance,"""Not strictly developmental, but states:<br>1. Sanguine (blood, air, warm-moist)<br>2. Choleric (yellow bile, fire, warm-dry)<br>3. Melancholic (black bile, earth, cold-dry)<br>4. Phlegmatic (phlegm, water, cold-moist)<br>With ideal being perfect balance"""
-350.0,Aristotelian Soul Development,Aristotle,"De Anima, Nicomachean Ethics","Scholastics, Virtue ethicists","Hierarchical bias, teleological assumptions",Progressive development of soul's capacities,"""1. Vegetative soul (nutrition, growth)<br>2. Sensitive soul (perception, desire, locomotion)<br>3. Rational soul (thought, contemplation)<br>With contemplative life as highest achievement"""
-300.0,Epicurean Ataraxia Path,Epicurus,"Letters, fragments, Lucretius' De Rerum Natura","Hellenistic philosophers, modern materialists",Hedonistic misinterpretations,Progressive freedom from disturbance,"""1. Physics understanding (natural vs supernatural)<br>2. Canonic understanding (valid knowledge)<br>3. Ethical practice (pleasure/pain discernment)<br>4. Ataraxia (freedom from disturbance)<br>5. Contemplation of cosmos with tranquility"""
-300.0,Stoic Progress,"Zeno of Citium, later Stoics","Works of Seneca, Epictetus, Marcus Aurelius","Roman philosophers, modern Stoicism","Emotional suppression critique, determinism",Progression toward virtuous wisdom,"""1. Vice (ignorance of virtue)<br>2. Progress (prokoptōn, advancing student)<br>3. Sage (perfect wisdom and virtue)<br>With subcategories of progress"""
-300.0,Megarian Paradoxes,"Euclid of Megara, Eubulides",Fragments in later sources,"Dialecticians, logical paradox theorists","Abstract, not systematized",Development through logical paradox resolution,"""Not strictly stage-based, but involves:<br>1. Conventional understanding<br>2. Confrontation with paradox<br>3. Dissolution of rigid categories<br>4. Higher logical understanding"""
-250.0,Skeptic Epoché,"Pyrrho, later Skeptics",Works of Sextus Empiricus,"Hellenistic philosophers, modern skeptics",Practical limitations of total suspension,Progressive suspension of judgment,"""1. Dogmatic assertion/belief<br>2. Recognition of equipollence of opposing views<br>3. Suspension of judgment (epoché)<br>4. Tranquility (ataraxia) as result"""
-200.0,Jewish Merkabah Mysticism,Early Jewish mystics,Hekhalot literature,"Kabbalists, Jewish mystics","Esoteric, visionary focus",Ascent through heavenly palaces,"""1. Preparation and purification<br>2. Passage through seven heavenly palaces (hekhalot)<br>3. Dangers and guardians at each level<br>4. Vision of the divine chariot throne (merkabah)<br>5. Return with prophetic vision"""
-150.0,Anacyclosis,Polybius,"""Histories"" (Polybius)","Machiavelli, Montesquieu","Seen as deterministic, too cyclical",Cyclical evolution of political regimes,"""1. Monarchy → 2. Tyranny → 3. Aristocracy → 4. Oligarchy → 5. Democracy → 6. Ochlocracy (mob rule), then cycle repeats"""
50.0,Hermetic Path,Attributed to Hermes Trismegistus,Corpus Hermeticum,"Alchemists, Renaissance mages, Rosicrucians","Syncretic, varied interpretations",Spiritual transformation toward divine consciousness,"""1. Separation from ignorance<br>2. Dissolution of lower nature<br>3. Conjunction with divine principles<br>4. Fixation of divine consciousness<br>5. Multiplication of wisdom<br>6. Projection into world as healed/healing presence"""
100.0,Gnostic Ascent,Various Gnostic schools,"Nag Hammadi texts, Pistis Sophia","Some early Christians, modern esotericists","Condemned as heretical, dualistic",Soul's escape from material imprisonment,"""1. Hylic (material) consciousness<br>2. Psychic (soul) consciousness<br>3. Pneumatic (spiritual) consciousness<br>With ascent through planetary spheres shedding material aspects"""
200.0,Clement's Spiritual Progress,Clement of Alexandria,"Protrepticus, Paedagogus, Stromata",Early Christian theologians,Limited to Christian framework,Progressive spiritual education,"""1. Conversion from paganism (Protrepticus)<br>2. Moral instruction (Paedagogus)<br>3. Higher spiritual knowledge (Stromata)<br>With ultimate goal of divinization (theosis)"""
250.0,Plotinian Ascent,Plotinus,Enneads,"Neo-Platonists, Christian mystics","Abstract intellectualism, complex",Return of soul to the One,"""1. Physical/sensory world<br>2. Lower soul (discursive reasoning)<br>3. Higher soul (intellectual intuition)<br>4. Divine Intellect/nous (contemplation of Forms)<br>5. The One/Good (mystical union beyond intellect)"""
300.0,Iamblichean Theurgy,Iamblichus,On the Mysteries,"Later Neo-Platonists, ritual magicians",Complex ritual requirements,Ascent through ritual and symbolic action,"""1. Material rituals/offerings<br>2. Intermediate daemonic attunement<br>3. Angelic communication<br>4. Divine contact/henosis<br>With specific ritual practices for each level"""
400.0,Proclus' Metaphysical Hierarchy,Proclus,"Elements of Theology, Platonic Theology","Byzantine philosophers, Renaissance Platonists","Highly abstract, complex",Emanation and return through metaphysical levels,"""1. The One (ineffable source)<br>2. Henads (divine unities)<br>3. Being-Life-Intellect triad<br>4. Soul (divine, demonic, human)<br>5. Nature<br>6. Body<br>With return journey upward"""
400.0,Dionysius' Mystical Theology,Pseudo-Dionysius,"Mystical Theology, Divine Names","Christian mystics, apophatic theologians","Authorship questions, esotericism",Mystical ascent through negation,"""1. Purgative way (katharsis)<br>2. Illuminative way (photismos)<br>3. Unitive way (henosis)<br>With positive (cataphatic) and negative (apophatic) approaches"""
400.0,Augustine's Stages of Faith,Augustine of Hippo,"Confessions, De Doctrina Christiana","Catholic theologians, Western Christianity",Limited to Christian framework,Progressive Christian development,"""1. Infancy of faith (moral reformation)<br>2. Childhood of faith (basic doctrine)<br>3. Adolescence of faith (rational understanding)<br>4. Maturity of faith (wisdom)<br>5. Perfection of faith (contemplative vision)<br>6. Transformation in eternity (beatific vision)"""
450.0,Boethius' Consolation,Boethius,Consolation of Philosophy,"Medieval philosophers, Christian humanists","Abstract personification, limited practice",Ascent from Fortune to Providence,"""1. Attachment to Fortune's gifts<br>2. Recognition of Fortune's instability<br>3. Understanding of true good beyond Fortune<br>4. Recognition of Providence's order<br>5. Reconciliation of Providence with free will"""
500.0,John Climacus' Ladder,John Climacus,The Ladder of Divine Ascent,Eastern Orthodox spirituality,"Monastic focus, rigorous",Spiritual ascent through virtues,"""1-3. Break with world<br>4-7. Basic virtues<br>8-17. Battle with vices<br>18-26. Advanced virtues<br>27-30. Union with God through stillness, prayer, and love"""
529.0,Benedictine Spiritual Growth,Benedict of Nursia,Rule of St. Benedict,Western monastic traditions,Institutional focus,Spiritual growth through humble obedience,"""1. Fear of God<br>2. Renunciation of self-will<br>3. Obedience to superiors<br>4. Patient endurance in difficulties<br>5. Confession of faults<br>6. Contentment with simplicity<br>7. Self-abasement<br>8-12. Further degrees culminating in humility of heart"""
700.0,Buddhist Stages of Insight,Traditional Buddhism,"Visuddhimagga, various suttas","Buddhist practitioners, contemplative scientists","Religious context, difficult to verify",Progressive stages toward enlightenment,"""1. Nama-rupa-pariccheda-ñana (mind-body distinction)→2. Paccaya-pariggaha-ñana (cause-effect relationships)→3. Sammasana-ñana (impermanence, suffering, no-self)→4. Udayabbaya-ñana (arising and passing)→5-12. Further stages leading to Nibbana"""
700.0,Buddhist Stages of Insight,Traditional Buddhism,"Visuddhimagga, various suttas","Buddhist practitioners, contemplative scientists","Religious context, difficult to verify",Progressive stages toward enlightenment,"""1. Nama-rupa-pariccheda-ñana (mind-body distinction)<br>2. Paccaya-pariggaha-ñana (cause-effect relationships)<br>3. Sammasana-ñana (impermanence, suffering, no-self)<br>4. Udayabbaya-ñana (arising and passing)<br>5-12. Further stages leading to Nibbana"""
750.0,Dzogchen Nine Vehicles,Tibetan Buddhism,"Nyingma texts, Dzogchen tantras","Tibetan Buddhists, Western practitioners","Religious context, complexity",Progressive vehicles of spiritual practice,"""1-3. Sutra vehicles (Shravakayana, Pratyekabuddhayana, Bodhisattvayana)<br>4-6. Outer Tantras (Kriyayoga, Charyayoga, Yogatantra)<br>7-9. Inner Tantras (Mahayoga, Anuyoga, Atiyoga/Dzogchen)<br>With substages in each"""
800.0,Islamic Maqamat,"Sufi tradition, al-Qushayri","Risala (al-Qushayri), various Sufi texts","Sufi orders, Islamic mystics","Religious context, varying systems",Spiritual stations of the Sufi path,"""1. Tawba (repentance)<br>2. Wara (abstinence)<br>3. Zuhd (renunciation)<br>4. Faqr (poverty)<br>5. Sabr (patience)<br>6. Tawakkul (trust)<br>7. Rida (acceptance)<br>With additional stations in some systems"""
850.0,Al-Kindi's Intellect Theory,Al-Kindi,On the Intellect,"Islamic philosophers, scholastics","Abstract, intellectual focus",Development of intellect,"""1. Potential intellect (dormant capacity)<br>2. Actual intellect (activated knowledge)<br>3. Acquired intellect (habitual knowledge)<br>4. Agent intellect (divine illumination)"""
900.0,Ibn Sina's Intellect Theory,Ibn Sina (Avicenna),"Book of Healing, Canon of Medicine",Islamic and Christian scholastics,Complex metaphysics,Development through intellectual forms,"""1. Material intellect (pure potentiality)<br>2. Habitual intellect (basic principles)<br>3. Actual intellect (engaged reasoning)<br>4. Acquired intellect (contemplative knowledge)<br>5. Active intellect (divine illumination)"""
1050.0,Ibn Gabirol's Emanation,Solomon Ibn Gabirol,Fons Vitae,"Jewish philosophers, Christian scholastics","Complex metaphysics, abstract",Emanation from divine will through matter and form,"""1. Divine Will (source)<br>2. Universal Matter and Form<br>3. Universal Intellect<br>4. World Soul<br>5. Nature<br>6. Corporeal world<br>With return journey through contemplation"""
1150.0,10 Oxherding Pictures (Zen Buddhism),Kakuan (Chinese Ch'an/Zen master),"""Ten Oxherding Pictures""","Zen teachers, D.T. Suzuki","Symbolic, not universal",Allegorical stages of enlightenment,"""1. Searching for the Ox→2. Seeing the Tracks→3. Seeing the Ox→4. Catching the Ox→5. Taming the Ox→6. Riding the Ox Home→7. Ox Forgotten, Self Alone→8. Both Forgotten→9. Return to Origin→10. Entering the Marketplace"""
1200.0,Maimonides' Levels of Prophecy,Moses Maimonides,Guide for the Perplexed,"Jewish philosophers, rationalists",Intellectual emphasis,Gradations of prophetic ability,"""1. Divine assistance in secular matters<br>2. Divine inspiration for moral strength<br>3. Allegorical dreams/visions<br>4. Prophetic dreams with clear message<br>5. Waking visions with allegory<br>6. Angel speaking in vision<br>7. Appearance of divine in vision<br>8. Symbolic vision with clarity<br>9. Hearing divine words without vision<br>10. Seeing angel/messenger<br>11. Moses' direct communion without images"""
1200.0,Seven Valleys,"Attributed to Attar, later Baha'u'llah","Conference of the Birds (Attar), Seven Valleys (Baha'u'llah)","Sufi poets, Baha'i followers","Religious context, poetic language",Journey of soul toward divine,"""1. Valley of Search<br>2. Valley of Love<br>3. Valley of Knowledge<br>4. Valley of Unity<br>5. Valley of Contentment<br>6. Valley of Wonderment<br>7. Valley of True Poverty and Absolute Nothingness"""
1250.0,Bonaventure's Mind's Journey,Bonaventure,The Mind's Journey into God,"Franciscan spirituality, Christian mystics",Christian-specific framework,Journey of contemplation toward divine union,"""1. Contemplation through material world<br>2. Contemplation through sensory experience<br>3. Contemplation through rational powers<br>4. Contemplation reformed by grace<br>5. Contemplation of divine unity<br>6. Contemplation of Trinity<br>7. Mystical ecstasy beyond intellect"""
1265.0,Dante's Divine Comedy Journey,Dante Alighieri,Divine Comedy,"Literary scholars, Christian thinkers","Poetic allegory, medieval cosmology",Soul's journey through afterlife realms,"""1. Inferno (9 circles of Hell - recognition of sin)<br>2. Purgatorio (7 terraces - purification from vice)<br>3. Paradiso (9 celestial spheres - ascent to divine vision)<br>With specific transformations at each level"""
1300.0,Eckhart's Birth of God,Meister Eckhart,"Sermons, treatises","Christian mystics, perennialists",Condemned as heretical in parts,Journey to divine ground within soul,"""1. Detachment (Abgeschiedenheit)<br>2. Release (Gelassenheit)<br>3. Breakthrough (Durchbruch)<br>4. Birth of God in the soul<br>5. Unity in the Godhead beyond distinctions"""
1330.0,Stages in Cloud of Unknowing,Anonymous,The Cloud of Unknowing,Christian contemplatives,"Apophatic emphasis, difficult",Contemplative ascent through unknowing,"""1. Awareness of sin and repentance<br>2. Active rejection of sin<br>3. Simple awareness of self in relation to God<br>4. Cloud of forgetting (creatures)<br>5. Cloud of unknowing (between soul and God)<br>6. Darkness of contemplation<br>7. Unity with divine through love"""
1400.0,Nicholas of Cusa's Docta Ignorantia,Nicholas of Cusa,On Learned Ignorance,"Renaissance philosophers, later mystics","Abstract, mathematical focus",Ascent through learned ignorance,"""1. Sensible world (ratio)<br>2. Mathematical objects (intellectus)<br>3. Theological paradoxes (coincidence of opposites)<br>4. Learned ignorance<br>5. Vision of God beyond comprehension"""
1450.0,Julian of Norwich's Showings,Julian of Norwich,Revelations of Divine Love,"Christian mystics, feminist theologians",Limited to Christian framework,Progression of divine revelations,"""Not strictly sequential, but includes:<br>1. Bodily vision<br>2. Spiritual vision<br>3. Intellectual vision<br>4. Integration of visions with theology<br>5. Understanding of divine love"""
1535.0,Teresa of Avila's Interior Castle,Teresa of Avila,Interior Castle,"Catholic mystics, contemplatives",Female perspective in male tradition,Soul's journey through seven mansions,"""1. Self-knowledge and basic prayer<br>2. Practice of virtues<br>3. Recollection and preparation<br>4. Prayer of quiet (infused contemplation begins)<br>5. Prayer of union<br>6. Ecstatic union (spiritual betrothal)<br>7. Transforming union (spiritual marriage)"""
1550.0,John of the Cross's Dark Night,John of the Cross,"Dark Night of the Soul, Ascent of Mount Carmel","Christian contemplatives, modern psychology","Intense asceticism, difficult",Soul's purification through darkness,"""1. Active night of senses (sensory detachment)<br>2. Passive night of senses (divine withdrawal)<br>3. Active night of spirit (mental detachment)<br>4. Passive night of spirit (divine purgation)<br>5. Illumination and union"""
1575.0,Kabbalah Four Worlds,"Isaac Luria, earlier Kabbalists","Zohar, Lurianic writings","Jewish mystics, Western esotericists","Esoteric, complex symbolism",Creation and soul's journey through four worlds,"""1. Atziluth (World of Emanation)<br>2. Beriah (World of Creation)<br>3. Yetzirah (World of Formation)<br>4. Assiah (World of Action/Material)<br>With corresponding levels in human soul"""
1600.0,Jacob Boehme's Seven Properties,Jacob Boehme,"Aurora, Signatura Rerum","Theosophists, German idealists","Complex, idiosyncratic language",Divine self-manifestation through properties,"""1. Contraction/desire<br>2. Mobility/attraction<br>3. Anguish/rotation<br>4. Fire/flash (transformation point)<br>5. Light/love<br>6. Sound/intelligence<br>7. Corporeality/wisdom<br>With corresponding human spiritual transformations"""
1650.0,Cambridge Platonists' Ascent,"Ralph Cudworth, Henry More",Various treatises,"Christian Platonists, Transcendentalists",Intellectual emphasis,Intellectual-spiritual ascent,"""1. Sensory knowledge<br>2. Logical reasoning<br>3. Recognition of innate ideas<br>4. Intellectual intuition of eternal truths<br>5. Divine illumination"""
1700.0,Swedenborg's Regeneration,Emanuel Swedenborg,"Arcana Coelestia, Divine Providence","New Church, spiritual seekers","Visionary claims, complexity",Process of spiritual rebirth,"""1. Natural state (external focus)<br>2. Recognition of spiritual reality<br>3. Spiritual temptations and combats<br>4. External reformation<br>5. Internal regeneration<br>6. Celestial state (love-governed)"""
1700.0,Rosicrucian Initiation,Various Rosicrucian orders,"Rosicrucian manifestos, later teachings",Western mystery tradition,"Secrecy, varied systems",Alchemical transformation of consciousness,"""1. Neophyte (introduction to mysteries)<br>2. Zelator (elemental purification)<br>3. Theoricus (study of hidden principles)<br>4. Practicus (practical application)<br>5. Philosophus (philosophical understanding)<br>6-10. Higher degrees (varying by system)"""
1770.0,Martines de Pasqually's Reintegration,Martines de Pasqually,Treatise on the Reintegration of Beings,"Illuminist tradition, Martinism","Complex cosmology, limited texts",Soul's return to divine state,"""1. Fall from divine state<br>2. Recognition of divine origin<br>3. Theurgic operations and purifications<br>4. Communication with spiritual agents<br>5. Reconciliation<br>6. Reintegration with divine source"""
1845.0,Kierkegaard's Stages of Life,Søren Kierkegaard,"""Either/Or"" (1843), ""Fear and Trembling"" (1843)","Existentialists, theologians","Abstract, not empirically based",Existential progression toward religious faith,"""1. Aesthetic (pleasure-seeking)→2. Ethical (moral responsibility)→3. Religious (faith, transcendence)"""
1905.0,Steiner's Anthroposophy,Rudolf Steiner,Various works,"Waldorf educators, biodynamic practitioners","Esoteric, difficult to verify",Spiritual development through consciousness evolution,"""1. Physical body→2. Etheric body→3. Astral body→4. Ego/I→5. Spirit self→6. Life spirit→7. Spirit human"""
1936.0,Piaget's Cognitive Development,Jean Piaget,"""The Origins of Intelligence in Children"" (1936)","Jerome Bruner, Lev Vygotsky","Underestimates children's abilities, stage rigidity",Stages of cognitive development in children,"""1. Sensorimotor (0-2, object permanence)→2. Preoperational (2-7, symbolic thought)→3. Concrete Operational (7-11, logical reasoning)→4. Formal Operational (12+, abstract reasoning)"""
1943.0,Maslow's Hierarchy of Needs,Abraham Maslow,"""A Theory of Human Motivation"" (1943), ""Motivation and Personality"" (1954)","Carl Rogers, Humanistic Psychologists","Criticized for lack of empirical support, cultural bias",Human motivation as a hierarchy of needs,"""1. Physiological (basic survival needs)→2. Safety (security, stability)→3. Love/Belonging (relationships, affection)→4. Esteem (achievement, respect)→5. Self-actualization (personal growth, fulfillment)→(Later: 6. Self-transcendence)"""
1949.0,Gebser's Structures of Consciousness,Jean Gebser,"""The Ever-Present Origin"" (1949)","Ken Wilber, Integral theorists","Criticized for lack of empirical evidence, abstractness",Evolution of consciousness in discrete structures,"""1. Archaic (undifferentiated)→2. Magic (animistic, pre-logic)→3. Mythic (symbolic, narrative)→4. Mental (rational, abstract)→5. Integral (integration of previous structures)"""
1949.0,Campbell's Hero's Journey,Joseph Campbell,"""The Hero with a Thousand Faces"" (1949)","Mythologists, storytellers, filmmakers",Not strictly developmental,Universal pattern in myths with developmental implications,"""1. Departure/Separation→2. Initiation/Transformation→3. Return/Integration→Each with substages"""
1950.0,Erikson's Psychosocial Stages,Erik Erikson,"""Childhood and Society"" (1950)","Joan Erikson, John Bowlby","Cultural bias, stages may overlap",Psychosocial crises across lifespan,"""1. Trust vs. Mistrust (infancy)→2. Autonomy vs. Shame (early childhood)→3. Initiative vs. Guilt (preschool)→4. Industry vs. Inferiority (school age)→5. Identity vs. Role Confusion (adolescence)→6. Intimacy vs. Isolation (young adult)→7. Generativity vs. Stagnation (adulthood)→8. Integrity vs. Despair (old age)"""
1954.0,Teilhard de Chardin's Evolution of Consciousness,Pierre Teilhard de Chardin,"""The Phenomenon of Man"" (1955)","Integral thinkers, religious evolutionists",Metaphysical speculation,Evolution of consciousness toward Omega Point,"""1. Geosphere (inanimate matter)→2. Biosphere (life)→3. Noosphere (human thought)→4. Christosphere/Omega Point (ultimate consciousness)"""
1958.0,Kohlberg's Moral Development,Lawrence Kohlberg,"""The Philosophy of Moral Development"" (1981)","James Rest, Thomas Lickona","Carol Gilligan (critic, related work)",Moral reasoning develops in stages,"""1. Preconventional (obedience/punishment, self-interest)→2. Conventional (conformity, law-and-order)→3. Postconventional (social contract, universal ethics)"""
1965.0,Vygotsky's Sociocultural Theory,Lev Vygotsky,"""Thought and Language"" (published posthumously)",Sociocultural psychologists,Not strictly stage-based,Development through social interaction,"""Not strictly stage-based, but proposes:→1. Zone of Proximal Development→2. Scaffolding→3. Cultural mediation→With developmental implications"""
1968.0,Gendlin's Focusing Steps,Eugene Gendlin,"""Focusing"" (1978)","Person-centered therapists, body-oriented therapists",Limited to therapeutic context,Process of accessing felt sense,"""1. Clearing a space→2. Felt sense→3. Handle/quality→4. Resonating→5. Asking→6. Receiving"""
1968.0,Transcendental Meditation Stages,Maharishi Mahesh Yogi,Various teachings,TM practitioners,Religious context,States of consciousness through meditation,"""1. Waking consciousness→2. Transcendental consciousness→3. Cosmic consciousness→4. God consciousness→5. Unity consciousness→6. Brahman consciousness→7. Supreme knowledge"""
1969.0,Kübler-Ross's Stages of Grief,Elisabeth Kübler-Ross,"""On Death and Dying"" (1969)","Thanatologists, grief counselors","Not universal, stages may overlap",Emotional response to loss,"""1. Denial→2. Anger→3. Bargaining→4. Depression→5. Acceptance"""
1970.0,Perry's Scheme of Intellectual Development,William G. Perry,"""Forms of Intellectual and Ethical Development in the College Years"" (1970)","Marcia Baxter Magolda, Patricia King","Limited to college students, Western bias",Cognitive development in college students,"""1. Dualism/Received Knowledge→2. Multiplicity/Subjective Knowledge→3. Relativism/Procedural Knowledge→4. Commitment/Constructed Knowledge"""
1970.0,Almaas's Diamond Approach,A.H. Almaas (Hameed Ali),Various books since 1980s,"Spiritual seekers, depth psychologists","Complex, esoteric",Integration of spiritual and psychological development,"""Not strictly linear stages, but facets including:→1. Essence realization→2. Personality transformation→3. Integration of Being→4. Nondual realization"""
1975.0,Tibetan Buddhist Stages of Meditation,Various teachers,Traditional texts,Buddhist practitioners,Religious context,Progressive stages of meditation mastery,"""1. Shamatha (calming)→2. Vipashyana (insight)→3. Mahamudra/Dzogchen (nondual awareness)→With multiple substages"""
1976.0,Bandura's Social Learning Theory,Albert Bandura,"""Social Learning Theory"" (1977)","Educational psychologists, behaviorists",Not strictly developmental,Learning through observation and modeling,"""Not strictly stage-based, but proposes:→1. Attention→2. Retention→3. Reproduction→4. Motivation→With developmental implications"""
1976.0,Transpersonal Psychology Models,"Stanislav Grof, Ken Wilber",Various works,Transpersonal psychologists,Metaphysical assumptions,Development beyond conventional ego,"""Various models including:→1. Pre-personal→2. Personal→3. Transpersonal→Often with multiple substages"""
1978.0,Loevinger's Ego Development,Jane Loevinger,"""Ego Development"" (1976)","Susanne Cook-Greuter, Robert Kegan","Complex measurement, cross-cultural validity",Progressive stages of ego maturity,"""1. Presocial/Symbiotic→2. Impulsive→3. Self-protective→4. Conformist→5. Self-aware→6. Conscientious→7. Individualistic→8. Autonomous→9. Integrated"""
