Expanded Historical Table (Hellenistic Judaism & Early Christianity),20.0,,,,,,,,,,,
Year(s),,,,Key Events,Political/Religious Impact,Evidence & Sources,Event Category,Group,Location,Occupation/Role,Extra Data,Type
175.0,BCE,150.0,BCE,Aristobulus of Paneas – Allegorical Torah interpretation,Early attempt to harmonize Judaism with Stoic/Platonic thought,Fragments in Eusebius,Jewish Philosophy,Hellenic Jews,Paneas (Caesarea),Philosopher,Possibly same as Aristobulus of Alexandria,Person
175.0,BCE,170.0,BCE,Jason/Joshua – Hellenizing high priest in Jerusalem,"Introduced Greek gymnasium, provoked Maccabean revolt",2 Maccabees 4,Hellenization Crisis,Hellenic Jews,Jerusalem,High Priest,Replaced by Menelaus,Person
171.0,BCE,161.0,BCE,"Menelaus – Extreme Hellenizer, collaborator with Antiochus IV","Accelerated suppression of Jewish practices, leading to Maccabean revolt",2 Maccabees 4-5,Hellenization Crisis,Hellenic Jews,Jerusalem,High Priest,Executed Onias III,Person
167.0,BCE,,,Antiochus IV Epiphanes desecrates the Temple (Abomination of Desolation),Sparked the Maccabean Revolt against Seleucid rule,"1 Maccabees 1:54, Josephus (Antiquities 12.250)",Seleucid Persecution,Judeans,Jerusalem,Seleucid King,- Prohibition of Jewish practices,13.0
166.0,BCE,,,Judas Maccabeus leads the revolt,Military successes against Seleucid forces,"1 Maccabees 3-9, Josephus (Antiquities 12.281-327)",Maccabean Revolt,Judeans,Judea,Military Leader,- Purification of the Temple (Hanukkah),13.0
164.0,BCE,,,Rededication of the Temple (Hanukkah),Symbol of Jewish resistance and religious freedom,"1 Maccabees 4:36-59, 2 Maccabees 10:1-8",Hasmonean Era Begins,Judeans,Jerusalem,Religious/Military Victory,- Commemorated annually,13.0
162.0,BCE,159.0,BCE,Alcimus – Hellenized high priest under Seleucid rule,"Opposed Maccabees, temporarily restored Seleucid control",1 Maccabees 7-9,Hasmonean Era,Hellenic Jews,Jerusalem,High Priest,Died during temple purification,Person
150.0,BCE,100.0,BCE,Ezekiel the Tragedian – Wrote Greek tragedies on Exodus,Demonstrated Jewish cultural adaptation to Greek literary forms,Fragments in Eusebius,Jewish Literature,Hellenic Jews,Alexandria?,Poet/Playwright,Exagōgē (Exodus drama),Person
150.0,BCE,120.0,BCE,Eupolemus – Wrote Greek history of Jewish kings,Positioned Jewish history within Hellenistic frameworks,Fragments in Eusebius and Clement,Jewish Historiography,Hellenic Jews,Judea?,Historian,Possibly connected to Judas Maccabeus,Person
150.0,BCE,100.0,BCE,Ezekiel the Tragedian – Wrote Greek tragedies on Exodus,Demonstrated Jewish cultural adaptation to Greek literary forms,Fragments in Eusebius,Jewish Literature,Hellenic Jews,Alexandria?,Poet/Playwright,Exagōgē (Exodus drama),Person
140.0,BCE,100.0,BCE,Artapanus – Wrote syncretic history blending Moses with Greek culture,"Claimed Moses taught Orpheus, influenced later Hellenistic Jewish apologetics",Fragments in Eusebius,Jewish Historiography,Hellenic Jews,Egypt,Historian,Exaggerated Jewish contributions to civilization,Person
140.0,BCE,100.0,BCE,Jason of Cyrene – Source for 2 Maccabees,Provided historical account of Maccabean revolt from Hellenistic Jewish perspective,2 Maccabees 2:23,Jewish Historiography,Hellenic Jews,Cyrene (Libya),Historian,Original work lost; summarized in 2 Maccabees,Person
140.0,BCE,100.0,BCE,Artapanus – Wrote syncretic history blending Moses with Greek culture,"Claimed Moses taught Orpheus, influenced later Hellenistic Jewish apologetics",Fragments in Eusebius,Jewish Historiography,Hellenic Jews,Egypt,Historian,Exaggerated Jewish contributions to civilization,Person
140.0,BCE,100.0,BCE,Jason of Cyrene – Source for 2 Maccabees,Provided historical account of Maccabean revolt from Hellenistic Jewish perspective,2 Maccabees 2:23,Jewish Historiography,Hellenic Jews,Cyrene (Libya),Historian,Original work lost; summarized in 2 Maccabees,Person
139.0,BCE,67.0,BCE,Salome Alexandra – Queen of Judea,Balanced Pharisaic influence with Hellenistic diplomacy,Josephus (Antiquities 13.405-432),Hasmonean Rule,Hellenic Jews,Judea,Political Leader,Only Hasmonean queen,Person
120.0,BCE,40.0,BCE,Simon ben Shetach – Introduced Greek education methods,Strengthened Pharisaic scholarship while resisting full Hellenization,Talmud (Kiddushin 66a),Pharisaic Leadership,Hellenic Jews,Judea,Religious Leader,Brother of Queen Salome,Person
104.0,BCE,103.0,BCE,Judah Aristobulus I – First Hasmonean king,"Adopted Greek title ""king"" while claiming priestly authority",Josephus (Antiquities 13.301),Hasmonean Rule,Hellenic Jews,Judea,Political/Religious Leader,"Called ""Philhellene"" (Greek-lover)",Person
100.0,BCE,50.0,BCE,Boethus – Founder of Boethusians (Hellenized Sadducees),"Promoted Temple-centric, elite-focused Judaism with Greek influences",Talmud (Pesahim 57a),Sadducean Sect,Hellenic Jews,Jerusalem,Religious Leader,Associated with Herod’s later appointees,Person
100.0,BCE,50.0,BCE,Cleodemus Malchus – Linked Abraham to Greek heroes,Argued for Jewish precedence in Greek myths,Fragments in Josephus (Antiquities 1.239),Jewish-Greek Mythology,Hellenic Jews?,Historian,"Also known as ""Malchus""",Person,
100.0,BCE,50.0,BCE,Boethus – Founder of Boethusians (Hellenized Sadducees),"Promoted Temple-centric, elite-focused Judaism with Greek influences",Talmud (Pesahim 57a),Sadducean Sect,Hellenic Jews,Jerusalem,Religious Leader,Associated with Herod’s later appointees,Person
100.0,BCE,50.0,BCE,Cleodemus Malchus – Linked Abraham to Greek heroes,Argued for Jewish precedence in Greek myths,Fragments in Josephus (Antiquities 1.239),Jewish-Greek Mythology,Hellenic Jews,?,Historian,"Also known as ""Malchus""",Person
64.0,BCE,4.0,CE,Nicolaus of Damascus – Advisor to Herod the Great,Wrote biographies of Herod and Augustus (lost),"Josephus (Antiquities 14.9, 16.183)",Herodian Court,Hellenic Jews,Damascus/Rome,Historian/Advisor,Tutor to Cleopatra’s children,Person
50.0,BCE,50.0,CE,Pseudo-Phocylides – Wrote Greek ethical poetry,Blended Jewish morality with Greek gnomic verse,Sentences of Pseudo-Phocylides,Jewish Literature,Hellenic Jews,Alexandria?,Poet,Misattributed to Phocylides (6th c. BCE Greek poet),Person
20.0,BCE,50.0,CE,Philo of Alexandria – Synthesized Platonism and Judaism,Major influence on early Christian theology (Logos doctrine),"Allegorical Commentary, On the Creation",Jewish Philosophy,Hellenic Jews,"Alexandria, Egypt",Philosopher,Embassy to Caligula (40 CE),Person
10.0,BCE,44.0,CE,Agrippa I – Hellenized Jewish king allied with Rome,Temporarily restored Judean autonomy; persecuted early Christians (Acts 12),"Josephus (Antiquities 19), Acts 12",Herodian Dynasty,Hellenic Jews,Judea/Rome,Political Leader,Grandson of Herod the Great,Person
10.0,BCE,45.0,CE,"Alexander the Alabarch – Wealthy Alexandrian official, brother of Philo",Mediated between Jewish community and Roman authorities,"Josephus (Antiquities 18.159-160, 19.276)",Roman Administration,Hellenic Jews,"Alexandria, Egypt",Political Official,Father of Tiberius Julius Alexander (Roman general),Person
10.0,BCE,45.0,CE,"Alexander the Alabarch – Wealthy Alexandrian official, brother of Philo",Mediated between Jewish community and Roman authorities,"Josephus (Antiquities 18.159-160, 19.276)",Roman Administration,Hellenic Jews,"Alexandria, Egypt",Political Official,Father of Tiberius Julius Alexander (Roman general),Person
10.0,BCE,44.0,CE,Agrippa I – Hellenized Jewish king allied with Rome,Temporarily restored Judean autonomy; persecuted early Christians (Acts 12),"Josephus (Antiquities 19), Acts 12",Herodian Dynasty,Hellenic Jews,Judea/Rome,Political Leader,Grandson of Herod the Great,Person
4.0,BCE,30.0,CE,"Jesus of Nazareth – Teachings, crucifixion, resurrection",Foundation of Christianity; split from Judaism,"Gospels, Josephus (Antiquities 18.63-64), Tacitus (Annals 15.44)",Christianity,Christianity,Judea,Religious Leader,Crucified under Pontius Pilate,Person
4.0,BCE,30.0,CE,"Jesus of Nazareth – Teachings, crucifixion, resurrection",Foundation of Christianity; split from Judaism,"Gospels, Josephus (Antiquities 18.63-64), Tacitus (Annals 15.44)",Christianity,Christianity,Judea,Religious Leader,Crucified under Pontius Pilate,Person
5.0,CE,64.0,CE,"Paul of Tarsus – Missionary, Epistles",Spread Christianity to Gentiles; theological framework,"Acts, Pauline Epistles",Christianity,Christianity,Asia Minor/Rome,Missionary/Theologian,Executed under Nero,Person
5.0,CE,67.0,CE,"Peter – Apostle, first Bishop of Rome",Symbolic foundation of Papacy; martyrdom in Rome,"Gospels, Acts, 1-2 Peter, Clement of Rome",Christianity,Christianity,Rome/Judea,Religious Leader,Crucified upside-down (tradition),Person
5.0,CE,64.0,CE,"Paul of Tarsus – Missionary, Epistles",Spread Christianity to Gentiles; theological framework,"Acts, Pauline Epistles",Christianity,Christianity,Asia Minor/Rome,Missionary/Theologian,Executed under Nero,Person
5.0,CE,67.0,CE,"Peter – Apostle, first Bishop of Rome",Symbolic foundation of Papacy; martyrdom in Rome,"Gospels, Acts, 1-2 Peter, Clement of Rome",Christianity,Christianity,Rome/Judea,Religious Leader,Crucified upside-down (tradition),Person
10.0,CE,70.0,CE,"Tiberius Julius Alexander – Nephew of Philo, Roman prefect of Egypt",Abandoned Judaism; suppressed Jewish revolt in Alexandria (66 CE),"Josephus (Jewish War 2.487–498, 5.45–46)",Roman Administration,Hellenic Jews/Roman Elite,Alexandria/Egypt,Roman Official,Served under Nero and Vespasian,Person
15.0,CE,65.0,CE,Dositheus the Samaritan – Founded Hellenized Samaritan sect,Blended Samaritan theology with Greek philosophy,"Origen (Contra Celsum 6.11), Patristic references",Samaritan Sect,Hellenic Jews/Samaritans,Samaria,Religious Leader,Rival to early Christianity,Person
23.0,CE,68.0,CE,Ananus ben Ananus – Hellenized high priest,Orchestrated execution of James the Just (62 CE); opposed early Christians,"Josephus (Antiquities 20.197–203), Acts 4:6",Jewish High Priesthood,Hellenic Jews,Jerusalem,High Priest,Removed by Agrippa II,Person
27.0,CE,100.0,CE,Agrippa II – Last Herodian king,Mediated between Rome and Jews; witnessed Temple destruction (70 CE),"Josephus (Jewish War 2.245–247, Life 359)",Herodian Dynasty,Hellenic Jews,Judea/Rome,Political Leader,Brother of Berenice (mistress of Titus),Person
33.0,CE,107.0,CE,"Ignatius of Antioch – Bishop, martyr",Defined episcopal authority; opposed Docetism,"Letters of Ignatius (e.g., To the Smyrnaeans)",Early Church Fathers,Christianity,Antioch/Rome,Bishop/Theologian,Fed to lions under Trajan,Person
35.0,CE,100.0,CE,Justus of Tiberias – Rival to Josephus,Wrote lost history of Jewish kings from Hellenistic perspective,Josephus (Life 336–367),Jewish Historiography,Hellenic Jews,Tiberias,Historian,Critical of Josephus’ pro-Roman bias,Person
35.0,CE,99.0,CE,Clement of Rome – Fourth Pope,Early papal authority; addressed Corinthian schism,1 Clement,Early Church Fathers,Christianity,Rome,Bishop,Martyred (tradition),Person
37.0,CE,100.0,CE,"Josephus – Wrote Jewish War, Antiquities",Shaped Roman and Christian views of Judaism; Flavians’ propagandist,"Jewish War, Antiquities, Life",Jewish Historiography,Hellenic Jews,Rome/Judea,Historian,Defected to Rome during Jewish revolt,Person
64.0,CE,,,Neronian Persecution – Christians blamed for Great Fire of Rome,First state-sponsored persecution; martyrdoms of Peter/Paul (tradition),"Tacitus (Annals 15.44), 1 Clement 5–6",Roman Persecution,Christianity,Rome,State Violence,Nero used Christians as scapegoats,Event
66.0,CE,73.0,CE,First Jewish Revolt – Siege and Destruction of Jerusalem (70 CE),Ended Temple Judaism; Temple destroyed; Jewish Christians fled to Pella; rabbinic Judaism ascendant; solidified rabbinic and Christian trajectories,"Josephus (Jewish War), Tacitus (Histories 5)",Jewish-Roman War,Jews/Christians,Judea,Political-Military Conflict,Masada fell in 73 CE,Event
67.0,CE,,,Vespasian appointed to crush revolt,Josephus defects; becomes Flavian historian,"Josephus (Life 72), Suetonius (Vespasian 4)",Flavian Rise,Roman State,Judea/Rome,Political-Military,Vespasian declared emperor in 69 CE,Event
68.0,CE,,,"Year of Four Emperors (Galba, Otho, Vitellius, Vespasian)",Chaos delayed Roman response to Jewish revolt,"Tacitus (Histories 1–3), Cassius Dio 64",Roman Civil War,Roman State,Rome,Political Crisis,Vespasian stabilized empire,Event
69.0,CE,,,Vespasian becomes emperor,Secured legitimacy through Jewish War victory,"Josephus (Jewish War 4.592–620), Tacitus (Histories 2)",Flavian Dynasty,Roman State,Rome,Political Leader,Founded Flavian dynasty,Event
69.0,CE,155.0,CE,"Polycarp of Smyrna – Disciple of John, martyr",Linked apostolic and later generations; martyred under Marcus Aurelius,"Martyrdom of Polycarp, Irenaeus (Against Heresies 3.3.4)",Early Church Fathers,Christianity,Smyrna (Asia Minor),Bishop,Burned at stake (155 CE),Person
70.0,CE,,,Titus destroys Jerusalem and Temple,"Jewish Christianity marginalized; ""parting of ways"" accelerated","Josephus (JW 6–7), Gospels (Matt 24:2, Luke 21:20–24)",Jewish-Roman War,Jews/Christians,Jerusalem,Military Conquest,Arch of Titus commemorates victory,Event
70.0,CE,117.0,CE,Lukuas (Andreas) – Led Diaspora Revolt (115–117 CE),"Jewish uprisings in Cyrene, Egypt, Cyprus crushed by Rome","Cassius Dio 68.32, Eusebius (HE 4.2)",Jewish Resistance,Hellenic Jews,North Africa/Egypt,Rebel Leader,Part of Kitos War,Person
71.0,CE,,,Flavian Triumph – Titus parades Jewish spoils,Judea branded provincia capta; menorah looted,"Josephus (JW 7.5), Arch of Titus",Roman Triumph,Roman State,Rome,Propaganda Event,Simon bar Giora executed,Event
73.0,CE,,,Masada falls – Sicarii suicide,Ended militant Jewish resistance; Essenes likely destroyed,Josephus (JW 7.8–9),Jewish Resistance,Jews,Masada (Judea),Military Defeat,Symbol of Jewish defiance,Event
73.0,CE,4.0,BCE,Herod the Great – Hellenized Jewish king,Rebuilt Temple; balanced Roman loyalty with Jewish identity,"Josephus (Antiquities 15–17), Matt 2:1",Herodian Rule,Hellenic Jews,Judea,Political Leader,Ordered Massacre of Innocents (Gospel tradition),Person
75.0,CE,79.0,CE,Fiscus Judaicus – Tax on Jews for Jupiter Capitolinus,Jewish Christians pressured to renounce identity or pay,"Suetonius (Domitian 12), Cassius Dio 66.7",Roman Policy,Roman State,Empire-wide,Economic Repression,Extended to Christians under Domitian,Event
79.0,CE,,,Titus becomes emperor; Vesuvius erupts (Pompeii destroyed),Brief reign (79–81 CE); possible leniency toward Christians (no recorded persecution),"Suetonius (Titus 10), Pliny the Younger (Letters 6.16, 6.20)",Imperial Succession,Roman State,Rome/Campania,Emperor,"""I have lost a day"" (Titus on failures)",Person
80.0,CE,,,Colosseum inaugurated (funded by Judean spoils),Later Christian tradition linked martyrdoms to Colosseum (no evidence under Titus),"Martial (Liber Spectaculorum), Jerome (Chronicon)",Roman Infrastructure,Roman State,Rome,Monument,"Held 50,000 spectators",Event
80.0,CE,117.0,CE,"Julian and Pappos – Led Kitos War (Diaspora Revolt, 115–117 CE)","Jewish uprisings in Cyprus, Egypt, Cyrene crushed by Trajan","Cassius Dio 68.32, Eusebius (HE 4.2)",Jewish Resistance,Hellenic Jews,Cyrene/Egypt,Rebel Leaders,Trajan’s general Lusius Quietus suppressed revolt,Person
81.0,CE,,,"Domitian demands worship as Dominus et Deus (""Lord and God"")","Christians refusing cult persecuted (Rev 13:4–7; Irenaeus links to ""Beast"")","Cassius Dio 67.4, Revelation 2:10, Irenaeus (AH 5.30.3)",Imperial Cult,Roman State,Rome,Emperor,Paranoid purge of senators,Person
85.0,CE,,,Alexandria riots (Hellenistic Jews vs. Christians),"John’s Gospel (1:17) contrasts Moses/Jesus, reflecting intra-Jewish debates","John 1:17, Acts 6:1 (Hellenist/Hebrew tensions)",Jewish-Christian Tensions,Hellenic Jews/Christians,Alexandria,Sectarian Conflict,Prefigured later Christian-Jewish polemics,Event
85.0,CE,95.0,CE,"Domitian executes Flavius Clemens (cousin) for ""atheism"" (likely Christianity)",Early Christian tradition names Clemens as martyr (1st-century Roman leader),"Cassius Dio 67.14, Suetonius (Domitian 15)",Persecution,Christianity,Rome,Martyr,Wife Flavia Domitilla exiled,Person
89.0,CE,,,Revolt of Saturninus – Domitian purges Senate,"Executions include ""atheists"" (possibly Christians)","Suetonius (Domitian 10), Pliny (Letters 10.96",Roman Purges,Roman State,Germania/Rome,Political Repression,Linked to Domitian’s paranoia,Event
93.0,CE,,,"Josephus publishes Antiquities (includes ""Testimonium Flavianum"")",Debate over authenticity; used by Christians to validate Jesus,"Josephus (Antiquities 18.3.3), Eusebius (HE 1.11",Jewish Historiography,Hellenic Jews,Rome,Historian,Likely interpolated by Christians,Event
