Constantine I,306 - 337 CE,"Christianity, Sol Invictus","Converted to Christianity, issued Edict of Milan",,,,,,,,,,,,,,,,,,,,,,
Constantine II,337–340 CE,Christianity,Christian emperor; continued his father's policies but had tensions with his brothers.,,,,,,,,,,,,,,,,,,,,,,
Constans,337–350 CE,Christianity,Strongly pro-Christian; opposed Arianism and supported Nicene Christianity.,,,,,,,,,,,,,,,,,,,,,,
Constantius II,337–361 CE,Christianity,Arian Christian; persecuted pagan practices and some Nicene Christians.,,,,,,,,,,,,,,,,,,,,,,
"Julian (""the Apostate"")",361–363 CE,Paganism (Hellenism),"Attempted to restore pagan religions, opposed Christianity, and tolerated Judaism.",,,,,,,,,,,,,,,,,,,,,,
Jovian,363–364 CE,Christianity,Restored Nicene Christianity as the dominant faith after Julian’s pagan revival.,,,,,,,,,,,,,,,,,,,,,,
Valentinian I,364–375 CE,Christianity,Tolerant of religious diversity; allowed pagan practices but supported Christianity.,,,,,,,,,,,,,,,,,,,,,,
Valens,364–378 CE,Arian Christianity,Supported Arianism and suppressed Nicene Christians.,,,,,,,,,,,,,,,,,,,,,,
Gratian,375–383 CE,Christianity,Removed pagan symbols from public life; rejected the title of Pontifex Maximus.,,,,,,,,,,,,,,,,,,,,,,
Valentinian II,375–392 CE,Christianity,Supported Nicene Christianity but faced opposition from pagans and Arians.,,,,,,,,,,,,,,,,,,,,,,
"Theodosius I (""the Great"")",379–395 CE,Christianity,Made Nicene Christianity the state religion; banned pagan sacrifices and temples. - Last emperor of united Rome; split empire (East/West),,,,,,,,,,,,,,,,,,,,,,
Arcadius,395–408 CE,Christianity,Continued Theodosius I's policies; suppressed paganism further in the Eastern Empire.,,,,,,,,,,,,,,,,,,,,,,
Honorius,395–423 CE,Christianity,Promoted Nicene Christianity; banned pagan rituals in the Western Empire.,,,,,,,,,,,,,,,,,,,,,,
Theodosius II,408–450 CE,Christianity,"Codified laws against heresies, pagans, and Jews in the Theodosian Code.",,,,,,,,,,,,,,,,,,,,,,
Marcian,450–457 CE,Christianity,Convened the Council of Chalcedon to address Christological disputes within Christianity.,,,,,,,,,,,,,,,,,,,,,,
"Leo I (""the Thracian"")",457–474 CE,Christianity,Supported Chalcedonian orthodoxy and opposed Monophysitism.,,,,,,,,,,,,,,,,,,,,,,
Zeno,474–491 CE,Christianity,"Issued the Henotikon to reconcile Chalcedonian and Monophysite factions, but faced resistance.",,,,,,,,,,,,,,,,,,,,,,
Romulus Augustulus,475–476 CE,Christianity,- Puppet ruler; no notable religious policies,- Deposed by Odoacer; traditional end of Western Empire,,,,,,,,,,,,,,,,,,,,,
Leontius,695–698,Deposed Justinian II; no significant religious policies noted,,,,,,,,,,,,,,,,,,,,,,,
Tiberius III,698–705,Focused on military matters; no major religious changes,,,,,,,,,,,,,,,,,,,,,,,
Justinian II (restored),705–711,Continued support for Orthodox Christianity,,,,,,,,,,,,,,,,,,,,,,,
Philippicus Bardanes,711–713,"Supported Monothelitism, opposed by the Church",,,,,,,,,,,,,,,,,,,,,,,
Anastasius II,713–715,"Restored Orthodoxy, rejected Monothelitism",,,,,,,,,,,,,,,,,,,,,,,
Theodosius III,715–717,"Brief reign, no significant religious policies",,,,,,,,,,,,,,,,,,,,,,,
Leo III the Isaurian,717–741,"Initiated Iconoclasm, banning religious images",,,,,,,,,,,,,,,,,,,,,,,
Constantine V,741–775,Continued and intensified Iconoclasm,,,,,,,,,,,,,,,,,,,,,,,
Leo IV the Khazar,775–780,"Maintained Iconoclasm, but less strictly",,,,,,,,,,,,,,,,,,,,,,,
Constantine VI,780–797,"Initially Iconoclast, later supported icon veneration",,,,,,,,,,,,,,,,,,,,,,,
Irene,797–802,"Restored icon veneration, convened Second Council of Nicaea",,,,,,,,,,,,,,,,,,,,,,,
Nicephorus I,802–811,"Maintained religious tolerance, focused on fiscal reforms",,,,,,,,,,,,,,,,,,,,,,,
Michael I Rangabe,811–813,"Strongly pro-Orthodox, opposed Iconoclasm",,,,,,,,,,,,,,,,,,,,,,,
Leo V the Armenian,813–820,Revived Iconoclasm,,,,,,,,,,,,,,,,,,,,,,,
Michael II the Amorian,820–829,"Moderate Iconoclast, allowed some icon veneration",,,,,,,,,,,,,,,,,,,,,,,
Theophilus,829–842,"Last Iconoclast emperor, persecuted icon venerators",,,,,,,,,,,,,,,,,,,,,,,
Michael III,842–867,"Ended Iconoclasm, restored Orthodox practices",,,,,,,,,,,,,,,,,,,,,,,
Basil I the Macedonian,867–886,"Supported Orthodox Church, missionary work",,,,,,,,,,,,,,,,,,,,,,,
Leo VI the Wise,886–912,"Wrote religious treatises, reformed church law",,,,,,,,,,,,,,,,,,,,,,,
Constantine VII Porphyrogenitus,913–959,Promoted Christian learning and literature,,,,,,,,,,,,,,,,,,,,,,,
Romanos II,959–963,No significant religious policies noted,,,,,,,,,,,,,,,,,,,,,,,
Nicephorus II Phocas,963–969,"Supported monasticism, considered sainthood",,,,,,,,,,,,,,,,,,,,,,,
John I Tzimiskes,969–976,Promoted Orthodox Christianity in conquered territories,,,,,,,,,,,,,,,,,,,,,,,
Basil II Bulgaroctonus,976–1025,Expanded Orthodox influence in newly conquered lands,,,,,,,,,,,,,,,,,,,,,,,
Constantine VIII,1025–1028,Maintained Orthodox policies,,,,,,,,,,,,,,,,,,,,,,,
Romanos III Argyros,1028–1034,"Supported the Church, built monasteries",,,,,,,,,,,,,,,,,,,,,,,
Michael IV the Paphlagonian,1034–1041,Sought religious absolution for his sins,,,,,,,,,,,,,,,,,,,,,,,
Michael V Calaphates,1041–1042,"Brief reign, no significant religious policies",,,,,,,,,,,,,,,,,,,,,,,
Constantine IX Monomachos,1042–1055,Involved in the Great Schism of 1054,,,,,,,,,,,,,,,,,,,,,,,
Theodora,1055–1056,Supported Orthodox Church,,,,,,,,,,,,,,,,,,,,,,,
Michael VI Stratiotikos,1056–1057,"Brief reign, no notable religious policies",,,,,,,,,,,,,,,,,,,,,,,
Isaac I Komnenos,1057–1059,Attempted to reduce Church's economic power,,,,,,,,,,,,,,,,,,,,,,,
Constantine X Doukas,1059–1067,Supported Orthodox theology,,,,,,,,,,,,,,,,,,,,,,,
Romanos IV Diogenes,1068–1071,"Focused on military matters, no major religious changes",,,,,,,,,,,,,,,,,,,,,,,
Michael VII Doukas,1071–1078,Maintained Orthodox policies,,,,,,,,,,,,,,,,,,,,,,,
Nicephorus III Botaneiates,1078–1081,No significant religious policies noted,,,,,,,,,,,,,,,,,,,,,,,
Alexios I Komnenos,1081–1118,"Dealt with heresies, initiated First Crusade",,,,,,,,,,,,,,,,,,,,,,,
John II Komnenos,1118–1143,"Supported Orthodox Church, opposed Bogomilism",,,,,,,,,,,,,,,,,,,,,,,
Manuel I Komnenos,1143–1180,Attempted to reunite Eastern and Western Churches,,,,,,,,,,,,,,,,,,,,,,,
Alexios II Komnenos,1180–1183,"Brief reign under regency, no notable policies",,,,,,,,,,,,,,,,,,,,,,,
Andronikos I Komnenos,1183–1185,Opposed Church's political influence,,,,,,,,,,,,,,,,,,,,,,,
Isaac II Angelos,"1185–1195, 1203–1204","Supported Orthodox Church, faced Fourth Crusade",,,,,,,,,,,,,,,,,,,,,,,
Alexios III Angelos,1195–1203,No significant religious policies noted,,,,,,,,,,,,,,,,,,,,,,,
Alexios IV Angelos,1203–1204,Brief reign during Fourth Crusade,,,,,,,,,,,,,,,,,,,,,,,
Alexios V Doukas,1204.0,"Very brief reign, fall of Constantinople to Crusaders",,,,,,,,,,,,,,,,,,,,,,,
Anastasius I,491–518 CE,Monophysite Christianity; pursued policies favoring Monophysites,,,,,,,,,,,,,,,,,,,,,,,
Justin I,518–527 CE,Chalcedonian Christianity; reversed Anastasius' pro-Monophysite policies,,,,,,,,,,,,,,,,,,,,,,,
Justinian I,527–565 CE,"Chalcedonian Christianity; attempted to reconcile Christian factions, codified church law, suppressed paganism",,,,,,,,,,,,,,,,,,,,,,,
Justin II,565–574 CE,Chalcedonian Christianity; supported Orthodox Church against Monophysites,,,,,,,,,,,,,,,,,,,,,,,
Tiberius II Constantine,574–582 CE,Chalcedonian Christianity; maintained religious policies of predecessors,,,,,,,,,,,,,,,,,,,,,,,
Maurice,582–602 CE,"Chalcedonian Christianity; supported Orthodox Church, dealt with Monophysite issues",,,,,,,,,,,,,,,,,,,,,,,
Phocas,602–610 CE,"Chalcedonian Christianity; recognized Pope as ""head of all churches""",,,,,,,,,,,,,,,,,,,,,,,
Heraclius,610–641 CE,Chalcedonian Christianity; attempted to reconcile Monophysites with Monothelitism,,,,,,,,,,,,,,,,,,,,,,,
Constantine III,641 CE,Brief reign; maintained Orthodox policies,,,,,,,,,,,,,,,,,,,,,,,
Heraklonas,641 CE,Brief reign; no significant religious policies noted,,,,,,,,,,,,,,,,,,,,,,,
Constans II,641–668 CE,Chalcedonian Christianity; issued Typos edict to halt Monothelite controversy,,,,,,,,,,,,,,,,,,,,,,,
Constantine IV,668–685 CE,"Chalcedonian Christianity; convened Sixth Ecumenical Council, condemned Monothelitism",,,,,,,,,,,,,,,,,,,,,,,
Justinian II (first reign),685–695 CE,"Chalcedonian Christianity; strongly supported Orthodox Church, persecuted Manichaeans",,,,,,,,,,,,,,,,,,,,,,,
Baldwin I,1204–1205,Imposed Latin Rite Catholicism,,Latin Empire (Constantinople),,,,,,,,,,,,,,,,,,,,,
Henry of Flanders,1205–1216,More tolerant of Orthodox practices,,Latin Empire (Constantinople),,,,,,,,,,,,,,,,,,,,,
Theodore I Lascaris,1205–1221,Defended Orthodoxy against Latin influence,,Empire of Nicaea,,,,,,,,,,,,,,,,,,,,,
John III Doukas Vatatzes,1221–1254,"Supported Orthodox Church, resisted union with Rome",,Empire of Nicaea,,,,,,,,,,,,,,,,,,,,,
Theodore II Lascaris,1254–1258,Continued Orthodox policies,,Empire of Nicaea,,,,,,,,,,,,,,,,,,,,,
John IV Lascaris,1258–1261,"Brief reign, deposed by Michael VIII",,Empire of Nicaea,,,,,,,,,,,,,,,,,,,,,
Michael VIII Palaeologus,1261–1282,Attempted reunion with Catholic Church,,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
Andronikos II Palaeologus,1282–1328,"Reversed union policies, supported Orthodoxy",,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
Andronikos III Palaeologus,1328–1341,Maintained Orthodox policies,,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
John V Palaeologus,1341–1391,Converted to Catholicism for political reasons,,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
John VI Kantakouzenos,1347–1354,"Co-emperor, later became a monk",,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
Manuel II Palaeologus,1391–1425,"Sought Western aid, maintained Orthodoxy",,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
John VIII Palaeologus,1425–1448,Attempted union with Catholic Church,,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
Constantine XI Palaeologus,1449–1453,"Last Byzantine Emperor, maintained Orthodoxy",,Restored Byzantine Empire,,,,,,,,,,,,,,,,,,,,,
Mehmed II,1453–1481,"Conquered Constantinople, established Ottoman rule",,Ottoman Empire,,,,,,,,,,,,,,,,,,,,,
Subsequent Ottoman Sultans,1481–1922,"Ruled as Caliphs, maintained Islam as state religion",,Ottoman Empire,,,,,,,,,,,,,,,,,,,,,
Republic of Turkey,1923–present,"Secular state, no official state religion",,Ottoman Empire,,,,,,,,,,,,,,,,,,,,,
