Sibylline Oracles: Historical Development and Legends,,,,,
c. 500 BCE - 83 BCE,Rome,First Sibylline Collection,Original collection of oracles consulted during crises; kept in Temple of Jupiter on Capitoline Hill.,References in Roman historians,"Core of Roman state religion, consulted only by special priests"
c. 500 BCE - 400 BCE,Persia/Babylon,Persian/Babylonian/Chaldean Sibyl,"Prophesied Alexander's conquests, daughter of Berossus; connected to Jewish-Babylonian syncretism.","Varro, Lactantius",Represents Eastern influences on Sibylline tradition
c. 400 BCE - 200 BCE,Tibur (Tivoli),Tiburtine Sibyl (Albunea),Worshipped as goddess at Tibur; oracle center with stream and sacred grove.,"Varro, Lactantius, inscriptions",Important Latin Sibyl outside Rome proper
c. 300 BCE - 100 CE,Egypt/Judea,Hebrew/Egyptian Sibyl,Syncretistic figure claiming to be Noah's daughter-in-law; bridges pagan and Jewish prophecy.,Sibylline Oracles Books 3-5,Key figure in Hellenistic Jewish appropriation of Sibyl tradition
c. 200 BCE - 100 CE,Various/Alexandria,Compilation of Jewish Sibylline Oracles,"Hellenistic Jewish authors composing oracles in Sibyl's voice predicting doom for pagan nations, triumph of monotheism.",Sibylline Oracles Books 3-5,Jewish adaptation of pagan prophetic tradition
83 BCE,Rome,Destruction of Original Books,Fire at Temple of Jupiter destroys original Sibylline collection.,Roman historical accounts,Crisis in Roman religious authority
c. 76 BCE - 70 BCE,Rome,Reconstruction of Collection,Senate sends envoys throughout Mediterranean to recreate lost Sibylline collection.,"Tacitus, Lactantius",Second-generation collection less authoritative than original
c. 50 BCE - 400 CE,Rome,Roman Sibylline College,Quindecimviri Sacris Faciundis (Fifteen men for performing sacred rites) as guardians and interpreters of Sibylline Books.,Roman historical and legal texts,Institutionalization of Sibylline authority
c. 40 BCE - 20 BCE,Rome,Virgil's Sibyl,"Aeneid portrayal of Cumaean Sibyl guiding hero to underworld; Fourth Eclogue with ""Messianic"" prophecies.","Virgil's Aeneid, Eclogues",Literary immortalization of Sibyl figure
c. 30 BCE - 20 CE,Anatolia,Anatolian Sibyl Temples,Archaeological evidence of temples to various Sibyls throughout Asia Minor.,Archaeological remains,Physical manifestation of Sibyl worship
c. 100 CE - 300 CE,Christian/Pagan,Christian Appropriation,"Christians interpret pagan Sibyls as unwitting prophets of Christ, especially Virgil's Fourth Eclogue.","Justin Martyr, Lactantius",Sibyl as bridge between pagan and Christian prophecy
c. 200 CE - 500 CE,Various,Christian Sibylline Oracles,"Composition of Christian passages in Sibylline collections predicting Christ, apocalypse.",Sibylline Oracles Books 6-8,Christian continuation of Jewish adaptation
312 CE,Rome,Constantine's Vision,Legend of Tiburtine Sibyl showing Constantine vision of Virgin and Child before battle of Milvian Bridge.,Later medieval texts,Connecting Sibylline tradition to Christian imperial power
c. 400 CE,Rome,Last Official Consultation,Last recorded official consultation of Sibylline Books under Emperor Honorius.,Historical references,End of formal pagan Sibylline tradition
405 CE,Rome,Stilicho Burns Books,General Stilicho allegedly burns remaining Sibylline Books.,Rutilius Namatianus,Symbolic end of pagan prophetic authority
c. 500 CE - 1000 CE,Byzantine Empire,Byzantine Preservation,Byzantine scholars preserve and transmit Sibylline material.,Byzantine manuscripts,Transmission of tradition to medieval era
c. 600 CE - 1200 CE,Medieval Europe,Sibilla legend,Queen of Sheba as Sibyl figure in medieval European imagination.,"Medieval romances, cathedral art",Syncretic evolution of Sibyl concept
c. 800 CE - 1200 CE,Medieval Europe,Sibyl in Dies Irae,"""Teste David cum Sibylla"" in famous hymn, pairing biblical and pagan prophecy.",Medieval liturgical texts,Integration of Sibyl into Christian liturgy
c. 1000 CE - 1400 CE,Europe,Ordo Prophetarum,Liturgical drama featuring Sibyl among biblical prophets predicting Christ.,Medieval church records,Sibyl fully incorporated into Christian tradition
c. 1300 CE - 1600 CE,Renaissance Italy,Renaissance Sibyls,Michelangelo's Sistine Chapel Sibyls depicted alongside biblical prophets.,"Renaissance art, especially Vatican",Artistic apotheosis of Christianized Sibyls
c. 1400 CE - 1600 CE,Europe,"""Sibylline"" Prophecies",Various medieval and Renaissance political prophecies attributed to Sibyls.,Medieval manuscripts,Political use of Sibylline authority
c. 1800 CE - present,Scholarship,Modern Recovery,"Academic recovery and analysis of Sibylline texts, archaeological investigation of sites.","Scholarly editions, excavations",Scientific study of historical Sibylline phenomenon
,,,,,
Key Legendary Attributes of Sibyls:,,,,,
,,,,,
Extremely long life (often hundreds or thousands of years),,,,,
Direct divine inspiration (usually from Apollo),,,,,
Virginity and independence from male authority,,,,,
Prophetic frenzies during which oracles were delivered,,,,,
"Cryptic, often ambiguous prophecies requiring interpretation",,,,,
"Connection to caves, underground spaces, and vapor emissions",,,,,
Prophecies written on leaves that would scatter if door opened,,,,,
"Physical transformation (shrinking body, preserved in bottle)",,,,,
Rejection of Apollo's advances (in some traditions),,,,,
"Prophecies focusing on disasters, wars, and cosmic events",,,,,
,,,,,
Cross-Cultural Connections:,,,,,
,,,,,
"The Sibylline tradition represents a bridge between Greek, Roman, Jewish, and Christian prophetic traditions.",,,,,
Sibyls functioned as female counterparts to male prophets in patriarchal religious systems.,,,,,
"The physical Sibylline Books became one of Rome's most sacred possessions, consulted only in times of crisis.",,,,,
Jewish adaptations of Sibylline tradition represented early attempts to communicate monotheistic ideas in Hellenistic cultural forms.,,,,,
"Christian appropriation of Sibyls as ""pagan prophets of Christ"" allowed incorporation of classical wisdom into Christian framework.",,,,,
Renaissance depictions of Sibyls alongside biblical prophets represents culmination of syncretistic tradition joining pagan and Judeo-Christian prophecy.,,,,,
Modern archaeological discoveries continue to reveal historical sites associated with actual Sibylline cult practices.,,,,,
,,,,,
,,,,,
Table of Sibylline Content and Primary Sources,,,,,
Content/Theme,Date/Event Context,Primary Source(s) (Academic Citation),Notes,,
Prophecies of the Trojan War,Attributed to Erythraean Sibyl,"Pausanias, Description of Greece 10.12.1; Heraclides Ponticus, fragments27",Early Greek oracular content; links Sibyl to major mythic events,,
"Genealogies from Noah, Flood",Hellenistic period,"Sibylline Oracles I.298, III.827 (ed. Geffcken 1902; trans. Buitenwerf 2003)49",Sibyl claims descent from Noah; Jewish and Christian interpolations,,
Doom of Rome and Apocalyptic Visions,2nd c. BCE – 2nd c. CE,Sibylline Oracles Book III (ed. Geffcken 1902)97,"Eschatological prophecies, fall of Rome, moralizing tone",,
Messianic Prophecies (Christian),1st–4th c. CE,"Sibylline Oracles Book VIII; Justin Martyr, First Apology 20; Lactantius, Divinae Institutiones 4.1517",Christians cite Sibyl as foretelling Christ and the apocalypse,,
Prophecies on Pagan Nations,Hellenistic/Jewish,Sibylline Oracles Books III–V (ed. Geffcken 1902; Collins 1974)7910,"Predicts downfall of pagan nations, triumph of monotheism",,
Oracles on Natural Disasters & Prodigies,Roman Republican & Imperial,"Livy, Ab Urbe Condita 1.56; Dionysius Halicarnassus, Roman Antiquities 4.62; Tacitus, Annals 6.12117",Consulted in times of crisis; content often prescriptive for rituals,,
Guidance for Rituals and State Policy,Roman state use,"Livy, Ab Urbe Condita; Dionysius Halicarnassus, Roman Antiquities; Tacitus, Annals117",Used to justify or mandate state religious actions,,
"Literary Portrayals (e.g., Aeneid)",Augustan Rome,"Virgil, Aeneid VI.268ff; Ovid, Metamorphoses 14; Petronius, Satyricon 48.811","Cumaean Sibyl guides Aeneas, appears in Roman literature",,
Oracles on the End Times,Late Antiquity (Christian),"Sibylline Oracles Books VI–VIII (ed. Geffcken 1902); Lactantius, Divinae Institutiones 7.1871","Christianized apocalyptic content, predicts Christ’s return",,
Integration into Liturgy (Dies Irae),Medieval,"Dies Irae hymn, “Teste David cum Sibylla”6",Sibyl paired with David as prophet in Christian liturgy,,
Political Prophecies (Medieval/Renaissance),14th–16th c.,"Manuscript collections; see Rzach (1891), Alexandre (1841–56, 1869)4","Used for political legitimation, attributed to Sibyls",,
"Artistic Depictions (Sistine Chapel, etc.)",Renaissance,"Visual sources: Sistine Chapel frescoes, Vatican art56","Not textual, but reflects enduring influence of Sibylline content in Western imagination",,
Key Academic Editions and Translations,,,,,
,,,,,
"Geffcken, J. (1902). Die Oracula Sibyllina. Leipzig: Teubner.9",,,,,
,,,,,
"Buitenwerf, R. (2003). Book III of the Sibylline Oracles and Its Social Setting. Leiden: Brill.9",,,,,
,,,,,
"Collins, J. J. (1974). The Sibylline Oracles of Ancient Judaism. Missoula: Scholars Press.10",,,,,
,,,,,
"Rzach, A. (1891). Sibyllinische Blätter. Vienna.4",,,,,
,,,,,
"Alexandre, C. (1841–56, 1869). Oracula Sibyllina. Paris.4",,,,,
,,,,,
"Note: All primary sources are cited according to standard academic practice, with critical editions and translations where available. Literary and historical references are included for context; for full text, consult cited editions.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sibylline Oracles: Historical Development and Legends,,,,,
**Date/Period,Location/Tradition,Sibyl/Oracle,Key Details,Primary Sources,Historical Significance/Notes**
c. 1400 BCE - 1200 BCE,Anatolia/Troy,Trojan Sibyl (Marpessa),"Earliest attested prophetic figure later classified as Sibyl, associated with Apollo's temple.",Fragments in later texts,Possible historical origin of Sibylline tradition
c. 1200 BCE - 800 BCE,Erythrae (Ionia),Erythraean Sibyl (Herophile),"Claimed to be oldest of Sibyls, prophesied Trojan War; later claimed to be mother or daughter of Trojan Sibyl.","Fragments, references in Pausanias","Often considered most authoritative Sibyl, claimed authorship of many oracles"
c. 900 BCE - 700 BCE,Samos,Samian Sibyl,"Associated with temple of Hera, considered among earliest Greek oracular figures.","References in Pausanias, Eusebius",Connected to early Greek colonization narratives
c. 800 BCE - 600 BCE,Delphi,Delphic Sibyl (Pythia),Often confused with Pythia priestess; represented older oracular tradition predating Apollo at Delphi.,"Plutarch, Pausanias",Represents transition between chthonic and Apollonian oracular traditions
c. 800 BCE - 500 BCE,Cumae (Italy),Cumaean Sibyl (Amalthea),"Most famous Roman Sibyl, sold prophetic books to Tarquinius Superbus, guided Aeneas to underworld.","Virgil's Aeneid, Livy",Central to Roman religious imagination and foundation myths
c. 700 BCE - 500 BCE,Marpessus/Hellespont,Hellespontine Sibyl,"Associated with Apollo's temple near Troy, sometimes identified with Trojan Sibyl.",References in Heraclides of Pontus,Connected to Anatolian oracular traditions
c. 600 BCE - 400 BCE,Libya,Libyan Sibyl,"Daughter of Zeus and Lamia, brought prophecies from North Africa to Delphi.","References in Euripides, Pausanias",Represents Greek conception of African prophetic traditions
c. 600 BCE - 300 BCE,Cimmeria,Cimmerian Sibyl,Associated with underworld oracle at Lake Avernus near Cumae.,"References in Varro, Lactantius","Often confused with Cumaean Sibyl, associated with death prophecies"
c. 500 BCE,Rome,Acquisition of Sibylline Books,Legend of Tarquinius Superbus purchasing 3 of 9 prophetic books from Cumaean Sibyl after she burned the others.,"Livy, Dionysius of Halicarnassus",Foundation of Roman state oracle system
c. 500 BCE - 83 BCE,Rome,First Sibylline Collection,Original collection of oracles consulted during crises; kept in Temple of Jupiter on Capitoline Hill.,References in Roman historians,"Core of Roman state religion, consulted only by special priests"
c. 500 BCE - 400 BCE,Persia/Babylon,Persian/Babylonian/Chaldean Sibyl,"Prophesied Alexander's conquests, daughter of Berossus; connected to Jewish-Babylonian syncretism.","Varro, Lactantius",Represents Eastern influences on Sibylline tradition
c. 400 BCE - 200 BCE,Tibur (Tivoli),Tiburtine Sibyl (Albunea),Worshipped as goddess at Tibur; oracle center with stream and sacred grove.,"Varro, Lactantius, inscriptions",Important Latin Sibyl outside Rome proper
c. 300 BCE - 100 CE,Egypt/Judea,Hebrew/Egyptian Sibyl,Syncretistic figure claiming to be Noah's daughter-in-law; bridges pagan and Jewish prophecy.,Sibylline Oracles Books 3-5,Key figure in Hellenistic Jewish appropriation of Sibyl tradition
c. 200 BCE - 100 CE,Various/Alexandria,Compilation of Jewish Sibylline Oracles,"Hellenistic Jewish authors composing oracles in Sibyl's voice predicting doom for pagan nations, triumph of monotheism.",Sibylline Oracles Books 3-5,Jewish adaptation of pagan prophetic tradition
83 BCE,Rome,Destruction of Original Books,Fire at Temple of Jupiter destroys original Sibylline collection.,Roman historical accounts,Crisis in Roman religious authority
c. 76 BCE - 70 BCE,Rome,Reconstruction of Collection,Senate sends envoys throughout Mediterranean to recreate lost Sibylline collection.,"Tacitus, Lactantius",Second-generation collection less authoritative than original
c. 50 BCE - 400 CE,Rome,Roman Sibylline College,Quindecimviri Sacris Faciundis (Fifteen men for performing sacred rites) as guardians and interpreters of Sibylline Books.,Roman historical and legal texts,Institutionalization of Sibylline authority
c. 40 BCE - 20 BCE,Rome,Virgil's Sibyl,"Aeneid portrayal of Cumaean Sibyl guiding hero to underworld; Fourth Eclogue with ""Messianic"" prophecies.","Virgil's Aeneid, Eclogues",Literary immortalization of Sibyl figure
c. 30 BCE - 20 CE,Anatolia,Anatolian Sibyl Temples,Archaeological evidence of temples to various Sibyls throughout Asia Minor.,Archaeological remains,Physical manifestation of Sibyl worship
c. 100 CE - 300 CE,Christian/Pagan,Christian Appropriation,"Christians interpret pagan Sibyls as unwitting prophets of Christ, especially Virgil's Fourth Eclogue.","Justin Martyr, Lactantius",Sibyl as bridge between pagan and Christian prophecy
c. 200 CE - 500 CE,Various,Christian Sibylline Oracles,"Composition of Christian passages in Sibylline collections predicting Christ, apocalypse.",Sibylline Oracles Books 6-8,Christian continuation of Jewish adaptation
312 CE,Rome,Constantine's Vision,Legend of Tiburtine Sibyl showing Constantine vision of Virgin and Child before battle of Milvian Bridge.,Later medieval texts,Connecting Sibylline tradition to Christian imperial power
c. 400 CE,Rome,Last Official Consultation,Last recorded official consultation of Sibylline Books under Emperor Honorius.,Historical references,End of formal pagan Sibylline tradition
405 CE,Rome,Stilicho Burns Books,General Stilicho allegedly burns remaining Sibylline Books.,Rutilius Namatianus,Symbolic end of pagan prophetic authority
c. 500 CE - 1000 CE,Byzantine Empire,Byzantine Preservation,Byzantine scholars preserve and transmit Sibylline material.,Byzantine manuscripts,Transmission of tradition to medieval era
c. 600 CE - 1200 CE,Medieval Europe,Sibilla legend,Queen of Sheba as Sibyl figure in medieval European imagination.,"Medieval romances, cathedral art",Syncretic evolution of Sibyl concept
c. 800 CE - 1200 CE,Medieval Europe,Sibyl in Dies Irae,"""Teste David cum Sibylla"" in famous hymn, pairing biblical and pagan prophecy.",Medieval liturgical texts,Integration of Sibyl into Christian liturgy
c. 1000 CE - 1400 CE,Europe,Ordo Prophetarum,Liturgical drama featuring Sibyl among biblical prophets predicting Christ.,Medieval church records,Sibyl fully incorporated into Christian tradition
c. 1300 CE - 1600 CE,Renaissance Italy,Renaissance Sibyls,Michelangelo's Sistine Chapel Sibyls depicted alongside biblical prophets.,"Renaissance art, especially Vatican",Artistic apotheosis of Christianized Sibyls
c. 1400 CE - 1600 CE,Europe,"""Sibylline"" Prophecies",Various medieval and Renaissance political prophecies attributed to Sibyls.,Medieval manuscripts,Political use of Sibylline authority
c. 1800 CE - present,Scholarship,Modern Recovery,"Academic recovery and analysis of Sibylline texts, archaeological investigation of sites.","Scholarly editions, excavations",Scientific study of historical Sibylline phenomenon
,,,,,
Key Legendary Attributes of Sibyls:,,,,,
,,,,,
Extremely long life (often hundreds or thousands of years),,,,,
Direct divine inspiration (usually from Apollo),,,,,
Virginity and independence from male authority,,,,,
Prophetic frenzies during which oracles were delivered,,,,,
"Cryptic, often ambiguous prophecies requiring interpretation",,,,,
"Connection to caves, underground spaces, and vapor emissions",,,,,
Prophecies written on leaves that would scatter if door opened,,,,,
"Physical transformation (shrinking body, preserved in bottle)",,,,,
Rejection of Apollo's advances (in some traditions),,,,,
"Prophecies focusing on disasters, wars, and cosmic events",,,,,
,,,,,
Cross-Cultural Connections:,,,,,
,,,,,
"The Sibylline tradition represents a bridge between Greek, Roman, Jewish, and Christian prophetic traditions.",,,,,
Sibyls functioned as female counterparts to male prophets in patriarchal religious systems.,,,,,
"The physical Sibylline Books became one of Rome's most sacred possessions, consulted only in times of crisis.",,,,,
Jewish adaptations of Sibylline tradition represented early attempts to communicate monotheistic ideas in Hellenistic cultural forms.,,,,,
"Christian appropriation of Sibyls as ""pagan prophets of Christ"" allowed incorporation of classical wisdom into Christian framework.",,,,,
Renaissance depictions of Sibyls alongside biblical prophets represents culmination of syncretistic tradition joining pagan and Judeo-Christian prophecy.,,,,,
Modern archaeological discoveries continue to reveal historical sites associated with actual Sibylline cult practices.,,,,,
,,,,,
,,,,,
,Erythraean Sibyl,,,,
,prophetess of classical antiquity,,,,
,Wikidata ID: Q1121944,,,,
,"Author, TitleAelian, Varia HistoriaPlutarch, Why the Pythian Priestess No Longer Gives Oracles In Verse, MoraliaSibylline OraclesSolinus, PolyhistorSt. Jerome, ChroniconSuda EncyclopediaZosimus, New History",,,,
,Categoryhistorymyth-literaturenaturereference,,,,
,Typeperson,,,,
,LanguageGRLA,,,,
,Show 2550100All entries,,,,
,Search:,,,,
,"Author, Title",Text,Date,,
,"St. Jerome, Chronicon",§B743 Eumelus of Corinth the versifier is well known; also the Erythrean Sybil. [743 BCE],-743.0,,
,"Plutarch, Why the Pythian Priestess No Longer Gives Oracles In Verse, Moralia","§14 Corinthian was afterwards called from her father's name Cleobule; and Herophyle of the city of Erythrae, skilful in divination, was called",-1.0,,
,"Plutarch, Why the Pythian Priestess No Longer Gives Oracles In Verse, Moralia","§14 of the city of Erythrae, skilful in divination, was called Sibylla. And the grammarians will tell you that Leda herself",-1.0,,
,"Aelian, Varia Historia","§12.35 Cypsellus, the third a son of Cimon: Four Sibyls; the Erythraean, the Samian, the Egyptian, and the Sardinian. Others add",-1.0,,
,"Solinus, Polyhistor","§2.14 her verses into his work. Several years after her came Herophile of Erythrae, who was also called Sibyl, because of the",-1.0,,
,Suda Encyclopedia,"§si.361 the Italian Sibyl, born in Italian Kimmeria. Fifth was the Erythraian Sibyl, who prophesied about the Trojan War. Sixth was the",-1.0,,
,"Zosimus, New History","§2.36 interpret them, discovered an oracle, which is attributed to the Erythraean Sibyl, or Phaenno of Epirus. Nicomedes the son of Prusias",400.0,,
,Sibylline Oracles,"§p.2 Pan which is called the Lupercal. The fifth was the Erythraean, who predicted the Trojan War, and of whom Apollodorus",500.0,,
,Sibylline Oracles,§p.3 to all. But those that were written by the Erythraean Sibyl have the name that was given her from the place;,500.0,,
,Showing 1 to 9 of 9 entries,,,,
,Previous1Next,,,,
