Attribute,Greek,"Hindu, Rigvedic",Roman,Egyptian,Persian/Avestan/Zarathustrian,"Mahayana, Vajrayana Buddhism",Japanese Buddhist,Shinto,Theravadan Buddhism,Japanese Buddhism Counterpart(s),Maya,Armenian,Israelite,Islam,Canaanite,Celtic,Norse,Chinese,Guanche,Incan,Aztec,Native American,Irish,Jain,Slavic,Sumerian,African,Yoruba,
Cosmic Law (Dharma Wheel),Logos,Vishnu (upholds dharma),"Lego, Logos","Ma'at (goddess of truth, justice, and cosmic order)",,"Vairocana, Kalachakra, Dharmapalas",Vairocana with Dharma Wheel,,The teachings of the Buddha (Dhamma),"Dainichi Nyorai,  the teachings of the Buddha",Itzamná,,,,,,,,,,,,,,,,,"Orunmila,  Ifa divination system",
Crafts arts,"Hephaestus, Athena","Vishvakarman, Tvastar",Minerva,"Ptah,  Khnum,  Thoth",,"Vishvakarma, specific craft deities",,,"Vishvakarma (Hindu deity sometimes incorporated),  local craft deities","Vishvakarma (Hindu deity sometimes incorporated),  various patron deities of crafts","Ixchel,  Ah Chuy Kak, Itzamna",,,,Kothar,Brigid,,,,,,,Brigid,,Svarog,Ninurta,,"Ogun,  Oshun",
Crossroads magic,Hecate,,Trivia,"Heka (god of magic),  Thoth (god of knowledge and writing)",,"Dharmapalas, Dakinis, Simhamukha",,,"Spirits associated with specific places,  sometimes with magical qualities","Dōsojin (roadside deities),  some may be associated with magic or protection","Ah Puch,  Wayob",,,,,,,,,,,,,,,,,Eshu Elegbara,
Dawn,Eos,Ushas (dawn),Aurora,Khepri (scarab god who rolls the sun across the sky),,"Tara, Marici",,Ame-no-Uzume,Devas associated with the sun or morning,"Amaterasu (Shinto sun goddess),  Kannon Bosatsu (associated with the dawn)",Venus (as morning star),,,,Astarte,Brigid,Baldur,Yue Lao,,Mama Quilla,Metztli,,,,"Stribog, Zorya",Nanna,Yemaya,"No direct equivalent, but associated with Obatala and the beginning of things",
Daylight,Hemera,Surya (daylight),Dies,"Ra,  Horus",,"Vairocana, Surya",,Amaterasu,"Surya (Sun God),  the Buddha (metaphorically as ""the light of the world"")","Amaterasu,  Dainichi Nyorai",Kinich Ahau,,,,Shapash,Lugh,Baldur,Taiyang Shen,,Inti,Tonatiuh,,,,Dazhbog,Shamash,Ra,"Orunmila,  associated with knowledge and clarity",
Divine Nectar,"Ambrosia, Nectar","Amrita, Soma","Ambrosia, Nectar","No direct equivalent, but perhaps the milk of Hathor or sacred oils used in rituals",Haoma,Amrita,,,Amrita (symbolically in blessings),Amrita (symbolically in rituals and visualizations),Balché (ritual drink),,,,,,Mead of Poetry,Xianjiu,,Chicha,Pulque,,,,,,,"No direct equivalent, but perhaps palm wine used in rituals",
Divine Order/Justice,Themis,Dharma,Justitia,"Ma'at,  Thoth,  Osiris",,"Vairocana, Yama, Dharmapalas, Manjushri",Monju,Takemikazuchi,"The law of Karma,  devas associated with justice","Dainichi Nyorai,  Emma-Ō,  Shichifukujin (Seven Lucky Gods, some associated with justice)",Itzamná,,,,El,Morrigan,Forseti,Zhong Kui,,Viracocha,,,Nuada,,Svarog,Nammu,Ma'at,"Olodumare,  Shango,  Orunmila",
Dragon/Rain Deity,"Typhon, Ladon","Varuna (water), Nagas",Typhon,"No direct dragon equivalent, but rain is associated with Tefnut and  Hapi (Nile god)",,"Nagas, local water deities",Ryūjin,Ryūjin (Sea Dragon God),"Nagas,  Phaya Naga (King of Nagas),  local rain deities","Ryūjin (dragon god),  various dragon deities associated with water",Chaac,,,,,,,,,,,,,,,,,"Oshun (river goddess),  Shango (thunder and lightning)",
Dusk,Astraeus,Sandhya (twilight),Astraeus,"No direct equivalent, but associated with the journey of Ra through the underworld",,"Dharmapalas, Dakinis, Kurukulla",,,Spirits associated with twilight or transitions,"No direct equivalent, but associated with transitions and the evening",Ixtab,,,,Baal,Brigid,Njord,Hun Dun,,Pachamama,,,Nuada,,Svarog,Enki,Shango,"No direct equivalent, but associated with Oya and the transition between worlds",
Earth nature,Gaia,Prithvi,Terra,"Geb,  Aker",,"Vasudhara, Bhumi Devi, lPrthivi (Earth Goddess), Kṣitigarbha, local earth deities",Jizō (protector of Earth and travelers),Suijin (Water deity),"Phra Mae Thorani,  local earth spirits,  tree spirits","Kichijōten,  various earth deities and spirits","Yum Kaaxm, Ix Chel",,,,,Danu,Jörð,Houtu,,Pachamama,Tlaltecuhtli,,Danu,,Mat Zemlya,Ki,,"Ile,  Onile (earth owner)",
Earth/Cthonic Underworld Goddess,"Gaia, Demeter",,"Terra, Ceres",Nephthys,,"Vasudhara, Dharmapalas",Jizō (protector of Earth and travelers),Izanami,Phra Mae Thorani (in her earth aspect),Izanami (Shinto goddess of creation and death),Ixtab,,,,,,,,,,,,,,,,,"Nana Buluku,  Oya (in her aspect as a goddess of the underworld)",
Endurance/Strength,Atlas,Hanuman (strength),Atlas,"Shu,  Sekhmet,  Montu",,"Vajrapani, Acala, Dharmapalas",,Takeminakata,"Vajrapani (though less prominent in Theravada),  local guardian spirits","Shōmen Kongō (Wisdom King),  Fudō Myōō (Immovable Wisdom King),  various guardian deities","Zipacna,  Cabrakan",,,,Baal,Dagda,Thor,Zhong Kui,,Pachamama,Huitzilopochtli,,Nuada,,Svarog,Enlil,Ogun,"Ogun,  Shango",
Fate,"Ananke Moirai (Fates: Clotho, Lachesis, Atropos)","Kali (time, death), Maya (illusion)",Parcae,"Shai,  Renenutet,  the Seven Hathors",,"Karma, Three Jewels",,,Karma,"Karma,  the concept of dependent origination",No direct equivalent,,,,Melechresh,"Brigid, Morrigan",Norns,Nüwa,,,,White Buffalo Woman,Morrigan,,"Rod, Rozanitsy",Ningal,"Anansi, Fates","Ori,  one's personal destiny",
Death,Thanatos,Yama (death),Mors,"Osiris,  Anubis,  Nephthys,  Sokar",,"Yama, Mara, Chöd deities, Dharmapalas",,Izanami,"Yama,  Mṛtyu (death god),  Pretas (hungry ghosts)","Emma-Ō (king of hell),  Shinigami (death gods),  Jizō Bosatsu (guides souls in the afterlife)","Ah Puch,  Cizin,  Ixtab",,,,Mot,Morrigan,Hel,Hei Di,,,Mictlantecuhtli,,Nuada,,Morana,Ereshkigal,Anubis,"Oya,  Iku,  Egungun (ancestors)",
Fear,"Deimus, Phobus",Rudra (fear),"Metus, Formido","Apep,  Seth,  Ammit",,"Wrathful deities, Dharmapalas",,Raijin,"Mara,  ghosts,  demons","Fudō Myōō,  Acala (Wisdom King who subdues fear),  various wrathful deities","Ah Puch, Kukulkan",,,,Mot,,Fenrir,,,,,Thunderbird,Morrigan,,Morana,Nergal,Shango,"Eshu Elegbara,  Oya",
Ferryman of Souls,Charon,Vaitarani (river of souls),Charon,"Wepwawet,  Anubis",,"Yama, Dharmapalas",Jizō,,Yama,"Jizō Bosatsu,  Shinigami","Ah Puch,  Ixtab, Itzamna",,,,Molech,,Hodmimir,,,,,White Buffalo Woman,,,,,,"Iku,  Egungun",
Fertility,Dione,Lakshmi (fertility),Dione,"Isis,  Hathor,  Min,  Taweret",,"Tara, Ushnishavijaya, Hariti, earth deities",Kannon,Amaterasu,"Phra Mae Thorani,  Rice Goddess,  local fertility deities","Benzaiten,  Kichijōten,  Inari Ōkami","Ixchel,  Ix Tab",,,,Asherah,Danu,Frigg,Guan Yin,,Pachamama,Tlazolteotl,,Danu,,Stribog,Ninhursag,Oshun,"Oshun,  Yemoja",
"Fire, forge","Hephaestus, Prometheus",Agni,Vulcan,"Ptah,  Sekhmet",,"Agni, Acala, wrathful deities, Blacksmith deities","Kōjin, Fudō Myōō (Acala)",Kagu-tsuchi,"Agni (Fire God),  blacksmith spirits","Kagu-tsuchi (Shinto god of fire),  Acala (associated with fire)",Hurukan,,,,,Brigid,,Zhu Rong,,,Xiuhtecuhtli,,Brigid,,Svarog,Gibil,,"Ogun,  Shango",
Force/Power,Bia,Durga (force),Vis,"Ra,  Amun,  Seth,  Sekhmet",,"Vajrapani, Acala, Wrathful Deities, Dharmapalas",,Susanoo,"Indra,  powerful devas,  the Buddha's power (through Dhamma)","Fudō Myōō,  Shōmen Kongō,  various Wisdom Kings and wrathful deities","Itzamná,  Chaac",,,,Ba'al,Taranis,Thor,Shangdi,,,,Thunderbird,Lugh,,Perun,Enlil,Shango,"Shango,  Ogun,  Oya",
Forethought,Epimetheus,Prajapati (creator),Epimetheus,"Thoth,  Seshat,  Sia",,"Manjushri, Avalokiteshvara, Prajnaparamita",,,"Devas associated with wisdom,  developed through meditation","Manjushri,  Fugen Bosatsu (Samantabhadra)",Itzamná,,,,Mot,Dagda,Odin,Zhong Kui,,Viracocha,Quetzalcoatl,,Nuada,,Svarog,Enki,Anansi,"Orunmila,  Obatala",
Freshwater,Tethys,Ganga (freshwater),Tethys,"Hapi (Nile god),  Anuket",,"Nagas, local water deities",,Suijin,"Nagas,  local water spirits","Suijin (water deities),  Ryūjin (in his association with water)",Chaac,,,,Astarte,Danu,Njord,Houtu,,Pachamama,Chalchiuhtlicue,,Danu,,Svarog,Enki,Yemaya,"Oshun,  Yemoja,  Olokun (in his aspect as a freshwater deity)",
Giants,"Gigantes, Cyclopes, Hekatonkheires",,,"Isfet (personification of chaos),  some demons and underworld creatures",,"Dharmapalas, local spirits",,,"Yaksas,  certain powerful spirits","Oni (demons),  tengu (sometimes depicted as giants),  various mythical creatures","Zipacna,  Cabrakan",,,,,,Jötnar,,,,,,Fomorians,,,,,"No direct equivalent, but some Orishas have immense power",
Grace/Beauty,Charites,Lakshmi (beauty),Gratiae,"Hathor,  Nefertem,  Bastet",,"Tara, Kurukulla, Ushnishavijaya, Sarasvati, Dakinis",Kannon,,"Mae Kwan Yin,  Apsaras (celestial nymphs)","Benzaiten,  Kichijōten,  Kannon Bosatsu",Ixchel,,,,Asherah,Brigid,Freyja,Xi Wangmu,,,,,Aine,,Lada,Inanna,Oshun,"Oshun,  Yemoja",
Guardian of Travelers,Hermes (as protector of travelers),,,"Wepwawet,  Anubis,  Thoth",,"Avalokiteshvara, Dharmapalas, local protectors",Jizō (protector of travelers),Sarutahiko Ōkami,"Local guardian spirits,  devas associated with safe journeys","Jizō Bosatsu,  Dōsojin,  Kōshin (protector of travelers and against demons)",Ek Chuah,,,,,,,,,,,,,,,,,"Eshu Elegbara,  Ogun",
Guards of the Underworld,Cerberus,"Mithūdṛśā: Shavara, Shyama",Cerberus,"Anubis,  Wepwawet,  the Four Sons of Horus",,,,,"Yama's assistants,  hell guardians","Emma-Ō's assistants,  various hell guardians",Xoloitzcuintli (dog god),,,,,,"Geri and Freki, Garmr",,,,,,,,,Nergal,,"Egungun,  Oya",
Harmony,Harmonia,Rta,,"Ma'at,  Hathor",,"Avalokiteshvara, Tara, Amitabha, peaceful deities",,,"Devas associated with peace and harmony,  achieved through meditation","Kannon Bosatsu,  Jizō Bosatsu,  Aizen Myōō (Wisdom King who transforms passion into enlightenment)",Itzamná,,,,,,,,,,,,,,,,,"Obatala,  Oshun",
Harvest,Demeter,,,"Osiris,  Renenutet",,"Vasudhara, Bhumi Devi, local harvest deities","Inari Ōkami (agriculture, rice)",Inari Ōkami,"Phra Mae Thorani,  Rice Goddess,  local harvest deities","Inari Ōkami,  Toshigami","Yum Kaax,  Ah Mun",,,,,,,,,,,,,,,,,"Oko,  Orisha Oko",
Healing/Medicine,"Asclepius, Apollo",Dhanvantari (healing deity),Aesculapius,"Sekhmet,  Thoth,  Isis",,"Bhaisajyaguru, Medicine Buddha, Tara, Ushnishavijaya, Parnashavari",Yakushi Nyorai (Bhaisajyaguru),,"Bhaisajyaguru (Medicine Buddha),  devas associated with healing,  traditional healers","Yakushi Nyorai (Medicine Buddha),  Kannon Bosatsu,  various healing deities","Ixchel,  Ahau Chamahez",,,,Eshmun,"Airmed, Diancecht",Eir,,,,Ixtlilton,White Buffalo Woman,Diancecht,,Veles,"Ningishzida, Ninazu",Osanyin,"Osanyin,  Aroni,  Oshun",
Hearth home,Hestia,Agni,Vesta,"Bes,  Tawaret,  Bastet",,"Local household deities, Palden Lhamo, Vajrayogini",,,"House spirits (e.g.,  Chao Thi,  Phra Phum),  ancestors","Kamado-gami (kitchen god),  various household deities",Ixchel,,,,,Brigid,,Zao Jun,,,,,Brigid,,,,,"Oshun,  Egungun (ancestral spirits)",
Heavenly Deities,The Moirai (fates),Dikpālas,,"Ra,  Nut,  Shu,  Tefnut,  many others",,"Devas, Buddhas, Bodhisattvas, Lokapālas",Four Heavenly Kings (Shitennō),Bonten (Brahma),"Devas,  Brahma,  Indra","Tennin (celestial beings),  various Buddhas and Bodhisattvas residing in heavenly realms","Itzamná,  many others",,,,,,,,,,,,,,,,,"All Orishas,  but especially Olodumare and Obatala",
Heroes,"Heracles, Achilles, Odysseus, Dioscuri",Hanuman (strength),Hercules,"Horus,  Ra,  Osiris,  pharaohs who upheld Ma'at",,"Bodhisattvas, historical figures, Gesars",,,"The Buddha,  enlightened disciples,  figures from Jataka tales (stories of the Buddha's past lives)","Myōken Bosatsu,  Shōtoku Taishi (historical figure revered as a Bodhisattva),  figures from Buddhist legends and stories",Hunahpu and Xbalanque,,,,,,,,,,,,,,,Gilgamesh,,"Shango,  Ogun,  Orunmila,  ancestors who performed great deeds",
Hunt,Artemis,,Diana,"Neith,  Anhur,  Pakhet",,"Dharmapalas, local hunting deities",,,"Local hunting deities,  spirits of the forest","No specific deity, but hunting may be associated with certain mountain or forest spirits","Yum Kaax,  Ah Mun",,,,,Flidais,Ullr,,,,Mixcoatl,,Flidais,,Devana,,,"Ogun,  Osoosi",
Inspiration/Poetry,Calliope,Saraswati (poetry),Calliope,"Hathor,  Thoth,  Seshat",,"Sarasvati, Manjushri, Dakinis",Monju (wisdom),,"Brahma,  Sarasvati,  devas associated with creativity","Benzaiten,  Sarasvati,  various deities associated with the arts",Ah Chuy Kak,,,,Shapash,Brigid,Odin,Zhong Rong,,,,,Ogma,,,Ningishzida,Anansi,"Oshun,  Orunmila,  Egungun (especially those who were poets or artists in life)",
Intelligence,Coeus,Brihaspati (intellect),Polus,"Thoth,  Sia,  Isis",,"Manjushri, Avalokiteshvara",Monju,Omoikane,"Manjushri (though less prominent in Theravada),  devas associated with wisdom","Manjushri,  Benzaiten",Itzamná,,,,El,Dagda,Odin,Zhong Kui,,Viracocha,,,Nuada,,Svarog,Enki,Orunmila,"Orunmila,  Obatala",
Islands,The Nesoi,Varuna (sea/islands),Insulae,"No direct equivalent, but islands could be associated with the afterlife or distant lands",,"Tara (earth/sea), Hidden lands, places of retreat",,Okinagatarashi-hime,Spirits associated with islands or water,"No specific deity, but islands may be associated with certain mythical realms or places of spiritual significance",No direct equivalent,,,,Astarte,Danu,Njord,Houtu,,Pachamama,Tlazolteotl,,Danu,,Svarog,Enki,Yemaya,"No direct equivalent, but islands could be associated with Yemoja and Olokun",
"Justice, Fairness","Dike, Themis","Yama, Dharma (law, justice)","Iustitia, Justitia","Ma'at,  Thoth,  Osiris",,"Yama, Dharmapalas, Vajrapani (law)",,"Omoikane, Takemikazuchi","The law of Karma,  Yama,  devas associated with justice","Emma-Ō,  Shichifukujin (Seven Lucky Gods, some associated with justice)",Itzamná,,,,Molech,"Lugh, Brigid",Forseti,"Xiwangmu, Bao Zheng",,,,White Buffalo Woman,Lugh,,"Pravda, Svarog",Nanshe,Anansi,"Shango,  Orunmila,  Olodumare",
Longevity,,,,"Ra,  Osiris,  Isis,  Ankh (symbol of life)",,"Amitayus, White Tara, Ushnishavijaya",(No direct equivalent in Buddhism),Fukurokuju,"Devas associated with long life,  achieved through merit and good deeds","Jurojin (god of longevity),  Fukurokuju (god of happiness, wealth, and longevity)",Ixchel,,,,,,,,,,,,,,,,,"Olodumare,  ancestors",
"Love, desire, beauty, fertility","Aphrodite, Eros","Lakshmi, Kama (Love and Desire)",Venus,"Hathor,  Bastet",,"Tara, Kurukulla, Ushnishavijaya, Dakinis, Rāgarāja (transformation of desire), Tara (compassion)","Aizen Myōō (love, lust), Kannon",Benzaiten,"Mae Kwan Yin,  Apsaras,  local love deities","Aizen Myōō (transforms passion into enlightenment),  Benzaiten,  Kichijōten",Ixchel,Astghik,,,"Astarte, Ashtoreth",Brigid,Freyja,Xi Wangmu,Chaxiraxi,,Xochiquetzal,,Áine,,Lada,Inanna,Oshun,Oshun,
Marriage,"Hera, Hymen",,Juno,"Isis and Osiris,  Hathor",,"Buddhas, Bodhisattvas (especially those associated with harmony)",,,"No specific deity, but blessings sought from monks and auspicious deities","No specific deity, but marriage may be blessed by Kannon Bosatsu or other benevolent deities","Ixchel,  Itzamná",,,,,,Frigg,,,,,,,,Lada,,,"Oshun,  Obatala",
Memory,Mnemosyne,Saraswati (knowledge),Mnemosyne,"Seshat,  Thoth",,"Manjushri, Jambhala",Monju,Omoikane,Devas associated with wisdom and knowledge,"No specific deity, but memory may be associated with wisdom and knowledge",Ah Chuy Kak,,,,El,Dagda,Odin,Zhong Kui,,Viracocha,,,Nuada,,Svarog,Enki,Orunmila,"Egungun (ancestors),  Orunmila",
Messenger communication,Hermes,Narada,Mercury,"Thoth,  Anubis,  winged deities",,"Dakinis, winged deities, local messengers",,,"Devas,  spirits who act as intermediaries","Tennyo (celestial maidens),  various messenger deities",No direct equivalent,,,,,Ogma,,,,,,,Ogma,,,Nabu,Eshu,"Eshu Elegbara,  the divine messenger",
Monsters,"Typhon, Echidna",,,"Apep,  Ammit,  various demons and underworld creatures",,"Wrathful deities, Dharmapalas, Rakshasas",,,"Asura,  Rakshasas,  Pretas,  mythical creatures","Oni,  tengu,  various demons and mythical creatures","Zipacna,  Cizin,  Seven Macaw",,,,,,"Fenrir, Jörmungandr",,,,,,,,,Humbaba,,"Aje (witches),  certain spirits or creatures associated with chaos and danger",
Moon,"Phoebe, Artemis, Selene","Chandra, Soma","Luna, Diana","Khonsu,  Thoth",,"Chandra, Dakinis",Gachirin,Tsukuyomi-no-Mikoto,Chandra (Moon God),"Tsukiyomi (moon god),  Gakkō Bosatsu (moon Bodhisattva)",Ixchel,Lusin,,,"Astarte, Yarikh","Brigid, Rhiannon, Artio",Mani,"Yue Lao, Chang'e",Achuhucanac,Mama Quilla,"Metztli, Coyolxauhqui",Kokopelli (moon),Áine,,"Stribog, Mesyats, Svetovid","Nanna, Sin",Yemaya,"No direct equivalent, but the moon can be associated with feminine energy and cycles",
Night,"Nyx, Erebus",Ratri,Nox,"Nut,  Khonsu,  dark deities associated with the underworld",,"Dakinis, certain Dharmapalas",,Izanami,"Spirits associated with the night,  night deities","Tsukiyomi,  Kokūzō Bosatsu (Bodhisattva of the night sky),  various night deities and spirits",Ixtab,,,,Mot,Morrigan,Fenrir,Hei Di,,,Metztli,,Nuada,,Morana,Nergal,Anansi,"Oya,  certain spirits associated with darkness and mystery",
Mortality,Iapetus,Yama (mortality),Iapetus,All beings except the gods,,"Yama, Mara, Chöd deities",,,All beings except Buddhas and Arahants,All beings except Buddhas and those who have attained enlightenment,Ah Puch,,,,Mot,Morrigan,Hel,Hei Di,,,Mictlantecuhtli,,Nuada,,Morana,Ereshkigal,Anansi,All beings except the Orishas,
Motherhood,"Rhea, Gaia, Cybele","Parvati, Aditi, Prithvi (earth goddess)",Ops,"Isis,  Hathor,  Mut,  Tawaret",,"Tara, Hariti, female Dharmapalas","Kannon, Goddess Kichijoten","Kishimojin, Amaterasu, Kuni no Tokotachi","Phra Mae Thorani,  Mae Kwan Yin,  local mother goddesses","Kannon Bosatsu,  Hariti (goddess of children)",Ixchel,,,,Asherah,Danu,"Frigg, Jord","Guan Yin, Houtu",,Pachamama,"Coatlicue, Tlazolteotl",White Buffalo Woman,Danu,,"Mokosh, Stribog, Mokoš",Ninhursag,"Oshun, Yemaya","Yemoja,  Oshun",
Mountains,The Ourea,Himalayas,Mons,"Hathor (associated with certain mountains),  mountains as places of divine power",,"Dharmapalas, local mountain deities, yaksas",,Oyamatsumi,"Spirits associated with mountains,  sacred mountains like Mount Meru","Various mountain deities and spirits,  mountains as sacred places","Cabrakan,  mountains as sacred places",,,,Mot,Danu,Njord,Tai Shan,,Pachamama,,,Danu,,Svarog,Enki,Shango,"Olumo Rock (sacred to Ogun),  mountains as places of power and spiritual retreat",
Music poetry,"Apollo, Euterpe, Calliope",Saraswati,,"Hathor,  Bastet,  Thoth",,"Sarasvati, Manjushri, Dakinis",,,"Brahma,  Sarasvati,  devas associated with the arts","Benzaiten,  Sarasvati",Ah Chuy Kak,,,,,,Bragi,,,,,,,,,,,"Oshun,  Orunmila,  Egungun",
North Wind,Boreas,Vayu (wind god),Aquilo,Qeb-Hwt (god of the North Wind),,"Vayu (Wind God),  local wind deities",,Fūjin,Vayu (Wind God),Fuujin (god of wind),Pauahtun (associated with winds),,,,,Sulis,Njord,Fengbo,,,,Four Winds,,,Stribog,Enlil,Oya,"Oya,  associated with winds and storms",
Peace,Eirene,Shanti (peace),Pax,"Ma'at,  Hathor,  Nefertem",,"Avalokiteshvara, Tara, Amitabha, peaceful deities",Monju,Hachiman,"The Buddha,  devas associated with peace and tranquility","Kannon Bosatsu,  Jizō Bosatsu,  peaceful Buddhas and Bodhisattvas",Itzamná,,,,Astarte,Brigid,Freyja,Bao Zheng,,,,White Buffalo Woman,Nuada,,Lada,Inanna,Oshun,"Obatala,  Oshun",
Personification of Testing/Temptation,Eris,Maya,Discordia,"Seth,  Apep",,"Mara, Yama, Wrathful Deities",Mara,,"Mara,  demons","Mara,  tengu,  various demons","Seven Macaw,  Wayob",,,,,,,,,,,,,,,,,"Eshu Elegbara,  Aje",
Primordial chaos,Kaos,,Kháos,"Nun,  Apep",,"Unstructured state before creation, sometimes symbolized by wrathful deities",,,"No direct equivalent, but may be related to the concept of ignorance (Avijja)","No direct equivalent, but perhaps the state before creation in certain myths",,,,,,,,Hundun,,,,,,,Chernobog,Tiamat,,"No direct equivalent, but perhaps the state before Olodumare created the world",
