1480 CE,Appointment of first Spanish inquisitors,"Seville, Spain",Tomás de Torquemada,Royal decree,Establishment of the first tribunal of the Spanish Inquisition in Seville.,,,,,,,,,,,,,,,,,,,,
1481 CE,First auto-da-fé in Seville,"Seville, Spain","Miguel de Morillo, Juan de San Martín",Inquisition records,Six people burned at the first public auto-da-fé of the Spanish Inquisition.,,,,,,,,,,,,,,,,,,,,
1483 CE,Torquemada appointed Inquisitor General,Spain,"Tomás de Torquemada, Ferdinand and Isabella",Royal appointment,"Centralization of the Spanish Inquisition under Torquemada, who established uniform procedures and expanded its reach.",,,,,,,,,,,,,,,,,,,,
1484 CE,Papal Bull Summis Desiderantes Affectibus,Papal States,Pope Innocent VIII,Summis Desiderantes Affectibus,Recognized the existence of witches and authorized inquisitors Heinrich Kramer and Jacob Sprenger to prosecute witchcraft in Germany.,,,,,,,,,,,,,,,,,,,,
1486 CE,Publication of Malleus Maleficarum,Holy Roman Empire,"Heinrich Kramer, Jacob Sprenger",Malleus Maleficarum (The Hammer of Witches),"Influential treatise on identifying and prosecuting witches, became a key text for witch hunts throughout Europe.",,,,,,,,,,,,,,,,,,,,
1492 CE,Expulsion of Jews from Spain,Spain,Ferdinand and Isabella,Alhambra Decree,"Forced approximately 200,000 Jews to convert or leave Spain, increasing the scrutiny of conversos by the Inquisition.",,,,,,,,,,,,,,,,,,,,
1497 CE,Forced conversion of Portuguese Jews,Portugal,King Manuel I,Royal decree,"Forcible conversion of Jews in Portugal, creating a new population of crypto-Jews who would later be targeted by the Portuguese Inquisition.",,,,,,,,,,,,,,,,,,,,
1498 CE,Execution of Girolamo Savonarola,"Florence, Italy","Girolamo Savonarola, Pope Alexander VI",None,Hanging and burning of the Dominican friar who had criticized church corruption and briefly ruled Florence as a theocracy.,,,,,,,,,,,,,,,,,,,,
1502 CE,Forced conversion of Granada Muslims,Spain,Cardinal Jiménez de Cisneros,Royal pragmatics,"Forced conversion of Granada's Muslims to Christianity, creating the Morisco population that would be scrutinized by the Inquisition.",,,,,,,,,,,,,,,,,,,,
1517 CE,Luther's 95 Theses,"Wittenberg, Holy Roman Empire",Martin Luther,Ninety-five Theses,"Beginning of the Protestant Reformation, leading to intensified efforts against heresy in Catholic territories.",,,,,,,,,,,,,,,,,,,,
1520 CE,Excommunication of Martin Luther,"Rome, Papal States","Pope Leo X, Martin Luther",Exsurge Domine,"Papal bull threatening Luther with excommunication, followed by formal excommunication in 1521 with Decet Romanum Pontificem.",,,,,,,,,,,,,,,,,,,,
1521 CE,Edict of Worms,"Worms, Holy Roman Empire","Emperor Charles V, Martin Luther",Edict of Worms,Imperial diet that declared Luther an outlaw and banned his writings throughout the Holy Roman Empire.,,,,,,,,,,,,,,,,,,,,
1525-1526 CE,Execution of Lutheran heretics,"Brussels, Austrian Netherlands",Charles V,None,"First executions of Protestants in the Low Countries, beginning decades of religious persecution.",,,,,,,,,,,,,,,,,,,,
1527 CE,Sack of Rome,"Rome, Papal States",Emperor Charles V,None,"Imperial troops pillaged Rome, seen by some as divine judgment on papal corruption and influencing religious politics.",,,,,,,,,,,,,,,,,,,,
1531 CE,Foundation of Portuguese Inquisition,Portugal,"King João III, Pope Clement VII",Papal bull Cum ad nihil magis,"Establishment of the Portuguese Inquisition modeled after the Spanish Inquisition, targeting primarily New Christians of Jewish origin.",,,,,,,,,,,,,,,,,,,,
1534 CE,Act of Supremacy,England,King Henry VIII,Act of Supremacy,"Established the English monarch as head of the Church of England, beginning the English Reformation and subsequent persecution of Catholics.",,,,,,,,,,,,,,,,,,,,
1536 CE,Execution of Anne Boleyn,"London, England","Anne Boleyn, King Henry VIII",None,"Execution of Henry VIII's second wife on charges of treason, adultery, and incest, illustrating the intertwining of political and religious authority.",,,,,,,,,,,,,,,,,,,,
1536 CE,Calvin's Institutes of the Christian Religion,"Basel, Switzerland",John Calvin,Institutes of the Christian Religion,Publication of Calvin's systematic theology that would influence Protestant persecution of dissidents including Michael Servetus.,,,,,,,,,,,,,,,,,,,,
1540 CE,Establishment of Roman Inquisition,"Rome, Papal States",Pope Paul III,Licet ab initio,Papal bull establishing the Supreme Sacred Congregation of the Roman and Universal Inquisition (Holy Office) to combat Protestant heresy in Italy.,,,,,,,,,,,,,,,,,,,,
1542 CE,First Roman Inquisition trial,"Rome, Papal States",Cardinal Caraffa,Inquisition records,Beginning of formal proceedings by the Roman Inquisition against suspected Protestants in Italian states.,,,,,,,,,,,,,,,,,,,,
1545-1563 CE,Council of Trent,"Trent, Holy Roman Empire (now Italy)","Pope Paul III, Pope Julius III, Pope Pius IV",Council decrees,"Counter-Reformation council that clarified Catholic doctrine and strengthened institutional responses to Protestantism, including inquisitorial methods.",,,,,,,,,,,,,,,,,,,,
1553 CE,Execution of Michael Servetus,"Geneva, Switzerland","Michael Servetus, John Calvin",Christianismi Restitutio,"Burning of the Spanish theologian for denying the Trinity, showing that Protestant authorities also used execution to enforce religious orthodoxy.",,,,,,,,,,,,,,,,,,,,
1555 CE,Peace of Augsburg,Holy Roman Empire,Emperor Charles V,Peace of Augsburg,"Agreement allowing German princes to choose Catholicism or Lutheranism for their territories, established principle of cuius regio, eius religio (ruler determines religion).",,,,,,,,,,,,,,,,,,,,
1556 CE,Abdication of Charles V,"Brussels, Habsburg Netherlands",Emperor Charles V,Act of Abdication,"Division of Habsburg territories between Philip II (Spain, Netherlands, Italian territories) and Ferdinand I (Austria, Holy Roman Empire).",,,,,,,,,,,,,,,,,,,,
1557 CE,Establishment of Index of Forbidden Books,"Rome, Papal States",Pope Paul IV,Index Librorum Prohibitorum,"First official index of books prohibited by the Catholic Church, a key tool of intellectual control.",,,,,,,,,,,,,,,,,,,,
1559 CE,Auto-da-fé of Valladolid,"Valladolid, Spain","Bartolomé Carranza, Fernando de Valdés",Inquisition records,"Major public ceremony targeting Protestant circles in Spain, attended by the royal family and resulting in numerous executions.",,,,,,,,,,,,,,,,,,,,
1560 CE,Conspiracy of Amboise,"Amboise, France",Huguenot conspirators,None,"Failed Protestant plot against the Catholic Guise family, intensifying religious tensions in France.",,,,,,,,,,,,,,,,,,,,
1562-1598 CE,French Wars of Religion,France,"Catherine de' Medici, Huguenot leaders",Various edicts and peace treaties,Series of civil wars between Catholics and Protestants culminating in the Edict of Nantes granting limited toleration to Huguenots.,,,,,,,,,,,,,,,,,,,,
1566-1573 CE,Dutch Revolt begins,Habsburg Netherlands,"Philip II, William of Orange",None,Beginning of the Eighty Years' War triggered partly by Spanish attempts to suppress Protestantism in the Low Countries.,,,,,,,,,,,,,,,,,,,,
1568 CE,Execution of Egmont and Hoorn,"Brussels, Habsburg Netherlands","Duke of Alba, Counts of Egmont and Hoorn",None,Execution of Dutch nobles that intensified resistance to Spanish rule and religious persecution.,,,,,,,,,,,,,,,,,,,,
1570 CE,Excommunication of Elizabeth I,"Rome, Papal States","Pope Pius V, Queen Elizabeth I",Regnans in Excelsis,"Papal bull excommunicating Elizabeth I and releasing her subjects from allegiance, intensifying persecution of Catholics in England.",,,,,,,,,,,,,,,,,,,,
1572 CE,St. Bartholomew's Day Massacre,Paris and other French cities,"Catherine de' Medici, Charles IX",None,Mass killing of French Protestants (Huguenots) that shocked Europe and intensified religious conflicts.,,,,,,,,,,,,,,,,,,,,
1580 CE,Union of Spanish and Portuguese crowns,Iberian Peninsula,Philip II,None,"Personal union that brought Portugal under Spanish control, including coordination between the Spanish and Portuguese Inquisitions.",,,,,,,,,,,,,,,,,,,,
1580-1640 CE,Peak of witch hunt activity in Europe,Various European regions,Various authorities,Various demonological treatises,"Period of most intensive witch prosecutions, often involving inquisitorial methods and torture.",,,,,,,,,,,,,,,,,,,,
1588 CE,Defeat of Spanish Armada,English Channel,"Philip II, Elizabeth I",None,Failed Spanish invasion attempt against England that weakened Spain's ability to enforce religious orthodoxy internationally.,,,,,,,,,,,,,,,,,,,,
1598 CE,Edict of Nantes,France,King Henry IV,Edict of Nantes,"Granted limited religious freedoms to French Protestants, temporarily ending the French Wars of Religion.",,,,,,,,,,,,,,,,,,,,
1600 CE,Execution of Giordano Bruno,"Rome, Papal States","Giordano Bruno, Cardinal Robert Bellarmine",Various works by Bruno,"Burning of the philosopher for heresy by the Roman Inquisition after a seven-year trial, making him a symbol of intellectual freedom.",,,,,,,,,,,,,,,,,,,,
1604 CE,Fawkes Gunpowder Plot,"London, England","Guy Fawkes, Robert Catesby",None,"Failed Catholic conspiracy to blow up Parliament and kill King James I, leading to increased persecution of English Catholics.",,,,,,,,,,,,,,,,,,,,
1609 CE,Expulsion of Moriscos,Spain,Philip III,Royal decree,"Forced expulsion of approximately 300,000 Moriscos (Muslim converts to Christianity) from Spain, ending the main focus of the Spanish Inquisition on this group.",,,,,,,,,,,,,,,,,,,,
1614 CE,Last execution of relapsed Jewish converts,Spain,Spanish Inquisition,Inquisition records,"Burning of the last convicted ""Judaizers"" in Spain, as the Inquisition shifted focus to other offenses.",,,,,,,,,,,,,,,,,,,,
1616 CE,Galileo's first trial,"Rome, Papal States","Galileo Galilei, Cardinal Robert Bellarmine",Injunction of the Holy Office,"Roman Inquisition ordered Galileo to abandon Copernicanism, beginning his conflict with church authorities.",,,,,,,,,,,,,,,,,,,,
1618-1648 CE,Thirty Years' War,Central Europe,Various leaders,Peace of Westphalia,Devastating religious-political conflict that eventually established the principle of religious coexistence in the Holy Roman Empire.,,,,,,,,,,,,,,,,,,,,
1622 CE,Establishment of the Congregation for the Propagation of the Faith,"Rome, Papal States",Pope Gregory XV,Papal bull Inscrutabili Divinae,"Creation of the congregation tasked with missionary work, a shift toward conversion rather than coercion in spreading Catholicism.",,,,,,,,,,,,,,,,,,,,
1633 CE,Galileo's second trial,"Rome, Papal States","Galileo Galilei, Pope Urban VIII",Sentence of the Inquisition,"Galileo forced to recant his support for heliocentrism and placed under house arrest, exemplifying the conflict between science and religious authority.",,,,,,,,,,,,,,,,,,,,
1642-1651 CE,English Civil War,England,"Oliver Cromwell, King Charles I",Various parliamentary acts,Conflict with strong religious dimensions leading to brief Puritan rule and religious persecution of Catholics and Anglican loyalists.,,,,,,,,,,,,,,,,,,,,
1648 CE,Peace of Westphalia,"Münster and Osnabrück, Holy Roman Empire",Various European powers,Peace treaties,"End of the Thirty Years' War establishing the principle of state sovereignty in religious matters, weakening papal and imperial authority.",,,,,,,,,,,,,,,,,,,,
1656 CE,Excommunication of Baruch Spinoza,"Amsterdam, Dutch Republic","Baruch Spinoza, Amsterdam Jewish community",Cherem (ban) document,"Expulsion of the philosopher from the Jewish community for heretical views, illustrating that religious persecution was not limited to Christian authorities.",,,,,,,,,,,,,,,,,,,,
1680 CE,Great Auto-da-fé of Madrid,"Madrid, Spain",Charles II of Spain,Inquisition records,"Massive public ceremony of the Spanish Inquisition attended by the king, an elaborate demonstration of the institution's power.",,,,,,,,,,,,,,,,,,,,
1685 CE,Revocation of the Edict of Nantes,France,Louis XIV,Edict of Fontainebleau,"Ended religious toleration for French Protestants, leading to persecution and mass emigration of Huguenots.",,,,,,,,,,,,,,,,,,,,
1687 CE,Publication of Newton's Principia,England,Isaac Newton,Philosophiæ Naturalis Principia Mathematica,Scientific work that contributed to the Enlightenment worldview that would eventually challenge the authority of religious institutions.,,,,,,,,,,,,,,,,,,,,
1692-1693 CE,Salem witch trials,"Massachusetts, English America",Various accusers and magistrates,Court records,Colonial American witch panic influenced by European precedents and religious tensions.,,,,,,,,,,,,,,,,,,,,
1701 CE,Act of Settlement,England,English Parliament,Act of Settlement,"Barred Catholics from the English throne, codifying religious discrimination in the constitutional order.",,,,,,,,,,,,,,,,,,,,
1717-1721 CE,Establishment of Freemasonry,"England, France",Grand Lodge of London,Masonic constitutions,Spread of fraternal organization that would become a target of the Inquisition and papal condemnation for its secrecy and alleged irreligion.,,,,,,,,,,,,,,,,,,,,
1724 CE,Last execution by the Spanish Inquisition,"Valencia, Spain",Spanish Inquisition,Inquisition records,"Burning of a Crypto-Jew, marking the decline of the Inquisition's most severe punishments.",,,,,,,,,,,,,,,,,,,,
1738 CE,Papal condemnation of Freemasonry,"Rome, Papal States",Pope Clement XII,In Eminenti Apostolatus,First papal bull explicitly condemning Freemasonry and excommunicating Catholic members.,,,,,,,,,,,,,,,,,,,,
1759 CE,Expulsion of Jesuits from Portugal,Portugal,Marquis of Pombal,Royal decree,"Expulsion of the Jesuit order from Portugal and its colonies, reflecting growing secularism and anti-clerical sentiment.",,,,,,,,,,,,,,,,,,,,
1761 CE,Execution of Gabriel Malagrida,"Lisbon, Portugal","Portuguese Inquisition, Marquis of Pombal",None,"Jesuit missionary executed for heresy and false prophecy, one of the last executions by the Portuguese Inquisition.",,,,,,,,,,,,,,,,,,,,
1762 CE,Calas Affair,"Toulouse, France","Jean Calas, Voltaire",Treatise on Tolerance by Voltaire,"Execution of a Protestant accused of murdering his son to prevent conversion to Catholicism, became cause célèbre for Enlightenment critics of religious intolerance.",,,,,,,,,,,,,,,,,,,,
1767 CE,Expulsion of Jesuits from Spain,Spain,Charles III of Spain,Pragmatic Sanction,"Expulsion of the Jesuit order from Spain and its colonies, reflecting royal absolutism and anticlerical trends.",,,,,,,,,,,,,,,,,,,,
1773 CE,Suppression of the Jesuit Order,Catholic world,Pope Clement XIV,Dominus ac Redemptor,"Papal brief dissolving the Society of Jesus, responding to pressure from Catholic monarchs.",,,,,,,,,,,,,,,,,,,,
1775-1783 CE,American Revolution,British North America,Various leaders,"Declaration of Independence, U.S. Constitution",Established first modern secular state with constitutional protection for religious freedom.,,,,,,,,,,,,,,,,,,,,
1778 CE,Last Portuguese auto-da-fé execution,"Lisbon, Portugal",Portuguese Inquisition,Inquisition records,Last execution by burning carried out by the Portuguese Inquisition.,,,,,,,,,,,,,,,,,,,,
1789-1799 CE,French Revolution,France,Various revolutionary leaders,Declaration of the Rights of Man and of the Citizen,"Political upheaval that targeted the Catholic Church, confiscated church property, and persecuted clergy who refused the Civil Constitution of the Clergy.",,,,,,,,,,,,,,,,,,,,
1791 CE,First Amendment to U.S. Constitution,United States,U.S. Congress,First Amendment,Constitutional protection of religious freedom and prohibition of established religion in the United States.,,,,,,,,,,,,,,,,,,,,
1798 CE,Roman Republic established,"Rome, Papal States",French revolutionary forces,None,Temporary end of papal temporal power and arrest of Pope Pius VI by French forces.,,,,,,,,,,,,,,,,,,,,
1808 CE,Suppression of Spanish Inquisition under Joseph Bonaparte,Spain,Joseph Bonaparte,Royal decree,Temporary abolition of the Spanish Inquisition during Napoleonic rule of Spain.,,,,,,,,,,,,,,,,,,,,
1813 CE,Final suppression of Spanish Inquisition,Spain,Cortes of Cádiz,Constitution of 1812,Abolition of the Spanish Inquisition by Spain's liberal constitutional government.,,,,,,,,,,,,,,,,,,,,
1814 CE,Restoration of Spanish Inquisition,Spain,Ferdinand VII,Royal decree,Reestablishment of the Spanish Inquisition after the restoration of Ferdinand VII.,,,,,,,,,,,,,,,,,,,,
1814 CE,Restoration of the Jesuit Order,Catholic world,Pope Pius VII,Sollicitudo omnium ecclesiarum,Papal bull reversing the 1773 suppression of the Jesuits.,,,,,,,,,,,,,,,,,,,,
1820 CE,Final abolition of Spanish Inquisition,Spain,Spanish revolutionaries,None,Permanent abolition of the Spanish Inquisition following the liberal revolution of 1820.,,,,,,,,,,,,,,,,,,,,
1821 CE,Abolition of Portuguese Inquisition,Portugal,Portuguese Cortes,Legislative act,Final dissolution of the Portuguese Inquisition following the Liberal Revolution of 1820.,,,,,,,,,,,,,,,,,,,,
1829 CE,Catholic Emancipation Act,United Kingdom,"Daniel O'Connell, Duke of Wellington",Catholic Relief Act,Removed most legal disabilities for Catholics in the United Kingdom.,,,,,,,,,,,,,,,,,,,,
1834 CE,Abolition of Spanish Inquisition confirmed,Spain,Queen Regent Maria Christina,Royal decree,Final legal confirmation of the abolition of the Spanish Inquisition.,,,,,,,,,,,,,,,,,,,,
1846-1878 CE,Pontificate of Pius IX,"Papal States, Vatican",Pope Pius IX,Various encyclicals and the Syllabus of Errors,"Conservative papacy that issued the Syllabus of Errors condemning liberalism, modernism, and religious pluralism.",,,,,,,,,,,,,,,,,,,,
1854 CE,Immaculate Conception dogma,Catholic world,Pope Pius IX,Ineffabilis Deus,"First exercise of papal infallibility, strengthening papal authority in doctrinal matters.",,,,,,,,,,,,,,,,,,,,
1858-1859 CE,Mortara case,Papal States,"Pope Pius IX, Edgardo Mortara",None,"Controversy over papal authorities removing a Jewish boy from his family because he had been secretly baptized, causing international outrage.",,,,,,,,,,,,,,,,,,,,
1864 CE,Syllabus of Errors,Catholic world,Pope Pius IX,Syllabus Errorum,"Papal document condemning 80 ""errors"" of modern thought including rationalism, liberalism, and religious pluralism.",,,,,,,,,,,,,,,,,,,,
1869-1870 CE,First Vatican Council,Vatican,Pope Pius IX,Pastor Aeternus,"Council that defined papal infallibility, strengthening centralized control over doctrine.",,,,,,,,,,,,,,,,,,,,
1870 CE,Italian capture of Rome,Rome,King Victor Emmanuel II,None,"End of the Papal States as the Italian unification movement captured Rome, confining papal sovereignty to the Vatican.",,,,,,,,,,,,,,,,,,,,
1878-1903 CE,Pontificate of Leo XIII,Vatican,Pope Leo XIII,Rerum Novarum and other encyclicals,Papacy marked by diplomatic engagement with the modern world while maintaining doctrinal conservatism.,,,,,,,,,,,,,,,,,,,,
1897 CE,Dreyfus Affair,France,"Alfred Dreyfus, Catholic anti-Semitic press",None,"Political scandal involving false accusation of treason against a Jewish army officer, supported by conservative Catholic elements in France.",,,,,,,,,,,,,,,,,,,,
1903-1914 CE,Pontificate of Pius X,Vatican,Pope Pius X,"Pascendi Dominici Gregis, Anti-Modernist Oath",Papacy marked by strong opposition to theological modernism and required loyalty oaths from clergy.,,,,,,,,,,,,,,,,,,,,
1908 CE,Reorganization of the Holy Office,Vatican,Pope Pius X,Sapienti Consilio,"Renamed the former Inquisition as the ""Supreme Sacred Congregation of the Holy Office"" with continued responsibility for doctrinal matters.",,,,,,,,,,,,,,,,,,,,
1910 CE,Anti-Modernist Oath,Catholic world,Pope Pius X,Anti-Modernist Oath,"Required oath of loyalty from all priests opposing modernist theological trends, creating atmosphere of suspicion and self-censorship.",,,,,,,,,,,,,,,,,,,,
1917 CE,Promulgation of the Code of Canon Law,Catholic world,Pope Benedict XV,Codex Juris Canonici,"First comprehensive codification of Catholic canon law, standardizing church discipline and procedures.",,,,,,,,,,,,,,,,,,,,
1922-1939 CE,Pontificate of Pius XI,Vatican,Pope Pius XI,"Various encyclicals, Lateran Treaties",Papacy that established Vatican City as a sovereign state and navigated the rise of totalitarian regimes.,,,,,,,,,,,,,,,,,,,,
1925 CE,"Scopes ""Monkey"" Trial","Tennessee, USA","John T. Scopes, William Jennings Bryan",None,"Famous trial over teaching evolution, highlighting ongoing tension between religious authority and scientific education.",,,,,,,,,,,,,,,,,,,,
1929 CE,Lateran Treaties,"Italy, Vatican","Pope Pius XI, Benito Mussolini",Lateran Treaties,Established Vatican City as a sovereign state and regularized church-state relations in Italy.,,,,,,,,,,,,,,,,,,,,
1933 CE,Concordat with Nazi Germany,"Germany, Vatican","Pope Pius XI, Adolf Hitler",Reichskonkordat,Controversial agreement between the Holy See and Nazi Germany protecting church rights while legitimizing the Nazi regime.,,,,,,,,,,,,,,,,,,,,
1937 CE,Mit brennender Sorge encyclical,"Nazi Germany, Vatican",Pope Pius XI,Mit brennender Sorge,"Papal encyclical condemning Nazi ideology and violations of the concordat, smuggled into Germany and read from pulpits.",,,,,,,,,,,,,,,,,,,,
1938 CE,Kristallnacht,Nazi Germany,Nazi authorities,None,"Organized pogrom against Jews in Germany, met with limited Vatican protest.",,,,,,,,,,,,,,,,,,,,
