"Kashmir Shaivism and Trika Lineage: Gurus, Texts, and Teachings",,,,,,
Mythical and Divine Lineage,,,,,,
Yogarāja,c. 1025-1075 CE,Disciple of Abhinavagupta,Paramārthasāravivaraṇa,Clarification of essential teachings,Limited information,"Historical figure, commentator (Bansat-Boudon, 2011)"
Jayaratha,c. 1150-1200 CE,Later lineage holder,Tantrālokaviveka (commentary on Tantrāloka),Detailed explanations of Tantrāloka,Limited information,"Historical figure, important commentator (Rastogi, 1987)"
Śivopādhyāya,c. 1725-1775 CE,Later commentator,Vivṛti on Vijñānabhairava,Revival of Kashmir Shaiva teachings,Limited information,"Historical figure, commentator (Singh, 1979)"
Later Tradition and Modern Revival,,,,,,
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Swami Lakshman Joo,1907-1991 CE,Modern reviver,"Kashmir Shaivism: The Secret Supreme, commentaries on classical texts",Modernized interpretations of classical teachings,Considered last living master in direct lineage,"Historical figure, teacher of scholars (Baumer, 2011)"
Baba Muktananda,1908-1982 CE,Modern popularizer,"Play of Consciousness, various books","Kundalini awakening, Shaktipat",Siddha guru with supernatural powers,"Historical figure, founded Siddha Yoga (Brooks et al., 1997)"
Gopi Krishna,1903-1984 CE,Modern experiential teacher,Kundalini: The Evolutionary Energy in Man,"Kundalini experiences, evolutionary spirituality",Spontaneous kundalini awakening,"Historical figure, autobiographical accounts (Krishna, 1971)"
Jaideva Singh,1893-1986 CE,Modern scholar-practitioner,"Translations of Śiva Sūtras, Spanda Kārikās, Vijñāna Bhairava, Pratyabhijñāhṛdayam",Accessible translations with commentary,Limited information,"Historical figure, important translator (Singh, 1979)"
Central Doctrines and Concepts,,,,,,
Metaphysical Framework,,,,,,
"Anuttara: The Absolute, beyond which nothing exists",,,,,,
Paramaśiva: Supreme consciousness as unified reality,,,,,,
"Prakāśa: Light of consciousness, self-illuminating awareness",,,,,,
"Vimarśa: Self-awareness, reflexive consciousness",,,,,,
Svātantrya: Absolute freedom of consciousness,,,,,,
Cicchakti: Power of consciousness to manifest reality,,,,,,
Spanda: Divine vibration or pulsation of consciousness,,,,,,
Cosmological Process,,,,,,
Ābhāsavāda: Doctrine of manifestation as appearance,,,,,,
36 Tattvas: Principles of manifestation from Śiva to Earth,,,,,,
Māyā: Creative power that generates differentiation,,,,,,
"Trika: Three-fold division: Śiva, Śakti, Nara (individual)",,,,,,
Krama: Sequential unfoldment of consciousness,,,,,,
"Five Acts (Pañcakṛtya): Creation, maintenance, dissolution, concealment, grace",,,,,,
Spiritual Practice,,,,,,
Pratyabhijñā: Recognition of one's identity with Śiva,,,,,,
Śaktipāta: Descent of divine grace,,,,,,
"Upāyas (means): Ānava (individual), Śākta (energetic), Śāmbhava (divine), Anupāya (no-means)",,,,,,
Kaula: Embodied practice integrating all aspects of experience,,,,,,
Kula: Total integration of reality in consciousness,,,,,,
"Khecari Mudrā: ""Sky-walker"" consciousness, transcendent awareness",,,,,,
Textual Categories,,,,,,
Āgamas: Revealed scriptures,,,,,,
Spanda Texts: Focusing on divine vibration,,,,,,
Pratyabhijñā Texts: Focusing on recognition philosophy,,,,,,
Krama Texts: Focusing on sequential realization,,,,,,
Kula Texts: Focusing on embodied totality,,,,,,
Source Texts,,,,,,
Principal Tantras,,,,,,
Mālinīvijayottara Tantra: Primary source text for Trika,,,,,,
Svacchanda Tantra: Important for ritual elements,,,,,,
Netra Tantra: Focuses on protective practices and subtle anatomy,,,,,,
Vijñāna Bhairava: 112 meditation techniques,,,,,,
Rudrayāmala Tantra: Early source for Trika-Kaula synthesis,,,,,,
Parātriṃśikā: Concise revelation on supreme reality,,,,,,
Kubjikā Tantras: Related goddess-focused tradition,,,,,,
Primary Philosophical Works,,,,,,
Śiva Sūtras: Revealed aphorisms attributed to Śiva via Vasugupta,,,,,,
Spandakārikā: Verses on divine vibration by Vasugupta/Kallata,,,,,,
Śivadṛṣṭi: Somānanda's foundational text on divine perception,,,,,,
Īśvarapratyabhijñākārikā: Utpaladeva's verses on recognition,,,,,,
Tantrāloka: Abhinavagupta's comprehensive 37-chapter masterwork,,,,,,
Pratyabhijñāhṛdaya: Kṣemarāja's concise summary in 20 sutras,,,,,,
Academic Sources on Kashmir Shaivism,,,,,,
"Baumer, B. (2011). Abhinavagupta's Hermeneutics of the Absolute. Indian Institute of Advanced Study.",,,,,,
"Dyczkowski, M.S.G. (1987). The Doctrine of Vibration. State University of New York Press.",,,,,,
"Dyczkowski, M.S.G. (1992). The Stanzas on Vibration. State University of New York Press.",,,,,,
"Flood, G. (1993). Body and Cosmology in Kashmir Śaivism. Edwin Mellen Press.",,,,,,
"Gnoli, R. (1999). Luce delle Sacre Scritture (Tantraloka) di Abhinavagupta. Unione Tipografico-Editrice Torinese.",,,,,,
"Hanneder, J. (1998). Abhinavagupta's Philosophy of Revelation. Egbert Forsten.",,,,,,
"Lawrence, D.P. (1999). Rediscovering God with Transcendental Argument: A Contemporary Interpretation of Monistic Kashmiri Śaiva Philosophy. State University of New York Press.",,,,,,
"Muller-Ortega, P.E. (1989). The Triadic Heart of Śiva: Kaula Tantricism of Abhinavagupta in the Non-Dual Shaivism of Kashmir. State University of New York Press.",,,,,,
"Pandey, K.C. (1963). Abhinavagupta: An Historical and Philosophical Study. Chowkhamba Sanskrit Series Office.",,,,,,
"Rastogi, N. (1987). Introduction to the Tantraloka: A Study in Structure. Motilal Banarsidass.",,,,,,
"Rastogi, N. (2002). The Krama Tantricism of Kashmir. Motilal Banarsidass.",,,,,,
"Sanderson, A. (1985). ""Purity and Power among the Brahmans of Kashmir."" In M. Carrithers, S. Collins, & S. Lukes (Eds.), The Category of the Person: Anthropology, Philosophy, History (pp. 190-216). Cambridge University Press.",,,,,,
"Sanderson, A. (1988). ""Śaivism and the Tantric Traditions."" In S. Sutherland et al. (Eds.), The World's Religions (pp. 660-704). Routledge.",,,,,,
"Sanderson, A. (2007). ""The Śaiva Exegesis of Kashmir."" In D. Goodall & A. Padoux (Eds.), Mélanges tantriques à la mémoire d'Hélène Brunner (pp. 231-442). Institut Français de Pondichéry.",,,,,,
"Silburn, L. (1975). Hymnes aux Kālī: La roue des énergies divines. Institut de Civilisation Indienne.",,,,,,
"Singh, J. (1979). Śiva Sūtras: The Yoga of Supreme Identity. Motilal Banarsidass.",,,,,,
"Singh, J. (1980). Spanda Kārikās: The Divine Creative Pulsation. Motilal Banarsidass.",,,,,,
"Torella, R. (2002). The Īśvarapratyabhijñākārikā of Utpaladeva with the Author's Vṛtti. Motilal Banarsidass.",,,,,,
Transmission Lineage Diagram,,,,,,
DIVINE TRANSMISSION,,,,,,
Śiva (Primordial Source),,,,,,
↓,,,,,,
Bhairava,,,,,,
↓,,,,,,
Śrīkaṇṭha → Durvāsas,,,,,,
↓,,,,,,
Tryambaka,,,,,,
↓,,,,,,
Amardaka → Śrīnātha,,,,,,
↓,,,,,,
(Several generations),,,,,,
↓,,,,,,
HISTORICAL LINEAGE,,,,,,
Sangamaditya,,,,,,
↓,,,,,,
"Vasugupta (c. 800-850 CE, received Śiva Sūtras)",,,,,,
↓,,,,,,
├── Bhatta Kallata (Spanda School) → Pradyumna Bhatta → Prajñārjuna,,,,,,
│                                        ↓,,,,,,
│                                   (Spanda lineage),,,,,,
│,,,,,,
└── Somānanda (Pratyabhijñā School),,,,,,
↓,,,,,,
Utpaladeva,,,,,,
↓,,,,,,
Lakṣmaṇagupta,,,,,,
↓,,,,,,
PARALLEL KRAMA LINEAGE        KULA LINEAGE,,,,,,
Jñānanetra/Śivananda  ←→      (South Indian Kaula masters),,,,,,
↓                              ↓,,,,,,
Keyūravati                     Sambhunatha,,,,,,
↓                              ↓,,,,,,
Govindarāja,,,,,,
↓,,,,,,
Bhaṭṭa Damodara,,,,,,
↓                              ↓,,,,,,
SYNTHESIS UNDER ABHINAVAGUPTA (c. 950-1025 CE),,,,,,
(Received initiations in all lineages),,,,,,
↓,,,,,,
Kṣemarāja (c. 1000-1050 CE) → Yogarāja → (Various disciples),,,,,,
↓,,,,,,
(Several generations),,,,,,
↓,,,,,,
Jayaratha (c. 1150-1200 CE),,,,,,
↓,,,,,,
(Lineage partially obscured during medieval period),,,,,,
↓,,,,,,
Śivopādhyāya (c. 1725-1775 CE),,,,,,
↓,,,,,,
(Lineage continues in Kashmir families),,,,,,
↓,,,,,,
MODERN REVIVAL,,,,,,
Swami Lakshman Joo (1907-1991),,,,,,
↓,,,,,,
Modern scholars and practitioners,,,,,,
