1314.0,Battle of Bannockburn,Robert the Bruce (King of Scots),Edward II (King of England),Scottish clans and allies from France and Ireland.,,Scots (Robert the Bruce),English (Edward II),
1320.0,Declaration of Arbroath,Robert the Bruce,Pope John XXII,Scottish nobility,English crown,-,-,
1328.0,Treaty of Edinburgh-Northampton,Robert the Bruce,Edward III of England,Scottish negotiators,English negotiators,Scotland (independence recognized),England (relinquishes claims),
1332.0,Second War of Scottish Independence begins,Edward Balliol,David II of Scotland,"""Disinherited"" Scottish nobles",Loyalist Scots,-,-,
1357.0,Treaty of Berwick ends Second War of Scottish Independence,David II of Scotland,Edward III of England,Scottish negotiators,English negotiators,-,-,
1371.0,Robert II becomes first Stewart king,Robert II,,Scottish nobility,-,,,
1390.0,Robert III succeeds to the throne,Robert III,-,Scottish nobility,-,,,
1406.0,James I becomes king while captive in England,James I,Henry IV of England,Scottish loyalists,English crown,,,
1437.0,James I assassinated,James I,Sir Robert Graham,Royal household,Disaffected nobles,,,
1451.0,University of Glasgow founded,James II of Scotland,-,Scottish intellectuals,-,-,-,
1460.0,James III becomes king,James III,-,Scottish nobility,-,,,
1472.0,Orkney and Shetland annexed to Scotland,James III of Scotland,Christian I of Denmark,Scottish crown,Norse settlers,Scotland,Denmark-Norway,
1488.0,Battle of Sauchieburn,James III,Rebel lords led by his son,Loyalist nobles,Rebel Scottish lords,,,
1495.0,University of Aberdeen founded,William Elphinstone,-,Scottish intellectuals and clergy,-,-,-,
1513.0,Battle of Flodden,James IV,Henry VIII of England,Scottish army,English army,,,
1542.0,"Mary, Queen of Scots ascends",Mary,-,Catholic supporters,Protestant lords,,,
1560.0,Scottish Reformation Parliament,Lords of the Congregation,Mary of Guise,Protestant reformers,Catholic Church,Protestant reformers,Catholic hierarchy,
1567.0,Mary forced to abdicate,Mary,Protestant lords,Catholic nobles,Protestant faction,,,
1567.0,James VI becomes king of Scotland,James VI,-,Protestant supporters,-,,,
1603.0,Union of the Crowns,James VI and I,-,English and Scottish supporters,-,,,
,,,,,,,,
1642.0,English Civil War begins,Charles I,Parliament,Royalists,Parliamentarians,,,
1649.0,Execution of Charles I,Charles I,Oliver Cromwell,Royalists,Parliamentarians,,,
1660.0,Restoration of the monarchy,Charles II,-,Royalists,-,,,
1685.0,James II and VII becomes king,James II and VII,-,"Tories, Catholics",-,,,
1688.0,Glorious Revolution,James II and VII,,Jacobites,Williamites,,,
1702.0,Anne becomes queen,Anne,-,Tories,Whigs,,,
1707.0,Acts of Union,Anne,-,Pro-union Scots and English,Anti-union factions,,,
,,,,,,,,
1714.0,"End of Stuart rule, Hanoverian succession",George I,,Hanoverian supporters,Jacobites,,,
1745.0,Jacobite Rising,Charles Edward Stuart,,Highland clans,British government forces,,,
1807.0,Abolition of slave trade in British Empire,-,,Abolitionists,Slave traders,,,
1837.0,"Victoria becomes queen, ending Hanoverian male line",Victoria,,-,-,,,
1901.0,"Death of Victoria, accession of Edward VII",Edward VII,,-,-,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Description
,,,,,,,,
Key Developments in Religion,,,,,,,,
83.0,Battle of Mons Graupius,Agricola (Roman Governor),Calgacus (Pictish Leader),Roman Legions,Pictish tribes,Romans (Agricola),Picts (Calgacus),
112.0,Construction of Hadrian's Wall begins,Hadrian (Emperor),Various Pictish leaders,Roman engineers and soldiers,Pictish tribes,Romans (Hadrian),Pictish raiders,
142.0,Antonine Wall built further north,Antoninus Pius (Emperor),Various Pictish leaders,Roman legions and auxiliaries,Pictish confederation,Romans (Antoninus Pius),Picts and allied tribes,
297.0,First written mention of Picts by Roman orator Eumenius,Eumenius,Pictish raiders,Roman Empire,Pictish tribes,-,-,
360.0,Picts and Scots raid Roman Britain,Pictish and Scottish leaders,Roman garrison,Pictish and Scottish warriors,Roman soldiers,Picts and Scots,Romans,
367.0,Barbarian Conspiracy attacks Roman Britain,Valentinian I (Emperor),Tribal leaders of coalition forces,"Roman garrisons in Britain, loyal Britons",Barbarian tribes,"Coalition (Picts, Scots, Saxons, Franks)",Romans (Valentinian I),
410.0,Romans withdraw from Britain permanently,,,,,Local Britons and tribes emerge as powers in a vacuum created by Rome's exit.,,
563.0,St. Columba begins missionary work among the Picts. Christianity begins to spread in northern Scotland.,,,,,,,
597.0,St. Augustine's mission to convert Anglo-Saxons begins,St. Augustine,Pagan Anglo-Saxon leaders,Christian missionaries,Traditional Anglo-Saxon religious leaders,-,-,
685.0,Battle of Dun Nechtain (Dunnichen),Bridei III (King of the Picts),Ecgfrith (King of Northumbria),"Pictish clans and allies, Britons from Strathclyde",Northumbrian army,Picts (Bridei III),Angles of Northumbria (Ecgfrith),
731.0,"Bede completes ""Ecclesiastical History of the English People""",Bede,-,Northumbrian monks,-,-,-,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Here is an expansive timeline table of England's history from 600–300 BCE, including royal lines, wars, and significant events, formatted to include key figures, supporters, and outcomes:",,,,,,,,
,,,,,,,,
Year (BCE),Event/Battle,Key Figure 1,Key Opponent 2,Supporters of Figure 1,Supporters of Opponent,Winners,Losers,
600.0,Construction of large hill forts begins,Local Celtic chieftains,Rival tribes and factions,Tribal warriors and artisans,Competing tribes,-,-,
575.0,Brythonic Celts dominate southern Britain,Brythonic chieftains,Pre-Celtic inhabitants (possibly Beaker people descendants),Celtic tribes migrating from mainland Europe,Indigenous groups in Britain,Brythonic Celts,Indigenous groups,
550.0,Ironworking spreads across Britain,Local smiths and artisans,Older Bronze Age cultures,Celtic technological advancements,Older Bronze Age traditions,Iron Age culture,Bronze Age culture,
500.0,Hill forts expand into fortified tribal centers,"Tribal kings (e.g., Dumnonii, Catuvellauni)",Rival tribes and raiders from other regions of Britain or Gaul,Local warriors and druids,Competing tribes or raiders from Gaul or Ireland,Fortified tribes in southern Britain,Unfortified groups,
450.0,Emergence of La Tène culture in Britain (Celtic art and weaponry),La Tène artisans and leaders in Britain,Older Hallstatt cultural remnants in Britain and Gaul,"La Tène artisans, warriors, and traders from Gaul",Hallstatt cultural adherents in Britain and Gaul,La Tène culture in Britain and Gaul spreads widely.,Hallstatt traditions decline.,
400.0,Increased trade with continental Europe (especially Gaul) begins to enrich southern Britain. Tin from Cornwall becomes a key export. Evidence of Greek and Etruscan goods found in British hoards.,"Tribal leaders in southern Britain (e.g., Dumnonii) managing trade routes with Brittany and Gaul.",Competing tribes controlling trade routes in Brittany or Gaul.,"Cornish miners, merchants, druids supporting trade networks. Greek merchants indirectly involved. Veneti of Brittany control shipping routes. Roman Republic begins monitoring trade networks. Southern British tribes gain wealth and influence through trade networks. Competing tribes lose access to resources or control of trade routes.",,,,
390 Swords replace daggers as primary weapons among British Celts.,Tribal warriors adopting new weaponry.,Tribes using older weaponry.,Blacksmiths producing swords.,Tribes lagging behind technologically.,Tribes with swords gain military advantage.,Tribes with daggers lose influence.,,
600.0,"Brythonic Celts begin to arrive in Britain, bringing Iron Age culture1",,,,,,,
575.0,Celtic language becomes dominant in Britain1,,,,,,,
550.0,Iron working becomes widespread in southern Britain,,,,,,,
500.0,Large hill forts begin to be constructed across Britain8,,,,,,,
450.0,Emergence of distinct regional pottery styles in Britain,,,,,,,
400.0,"Increased trade with continental Europe, especially Gaul",,,,,,,
350.0,Development of more advanced agricultural techniques,,,,,,,
325.0,Growth of tribal confederacies and larger political units,,,,,,,
300.0,Expansion of settlement into previously uninhabited areas,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"This timeline covers the key developments in Britain (which would later become England) during the period from 600 BC to 300 BIt's important to note that specific historical records for this period are limited, and much of our understanding comes from archaeological evidence. The events listed reflect the gradual development of Celtic culture, technological advancements, and societal changes in Britain during this time18.",,,,,,,,
Citations:,,,,,,,,
https://citizendium.org/wiki/History_of_England/Timelines,,,,,,,,
https://www.softschools.com/timelines/the_british_empire_timeline/166/,,,,,,,,
https://en.wikipedia.org/wiki/History_of_England,,,,,,,,
https://en.wikipedia.org/wiki/History_of_Anglo-Saxon_England,,,,,,,,
https://www.oxfordreference.com/display/10.1093/acref/9780191736315.timeline.0001,,,,,,,,
https://www.english-heritage.org.uk/learn/story-of-england/,,,,,,,,
https://www.historyofengland.net/kings-and-queens/the-dark-ages-complete,,,,,,,,
https://www.britannica.com/place/United-Kingdom/Ancient-Britain,,,,,,,,
,,,,,,,,
Answer from Perplexity: pplx.ai/share,,,,,,,,
