Comprehensive Historical Timeline of Turan and Danavas,,,,
500-300 BCE,Danavas portrayed as half-brothers to devas and daityas; growing complexity in their portrayal begins.,,,
400-200 BCE,Composition of early Puranic literature elaborates on Danava genealogy and myths.,,,
300 BCE-100 CE,"Son of Emperor Fereydun (Tūr/Turaj) established as founder of Turanians in Iranian mythology. Fraternal conflict between Tūr and Īraj creates Iran-Turan rivalry. Turan comprises Kopet Dag region, Atrek valley, parts of Bactria, Sogdia, and Margiana. Growing complexity in portrayal of Danavas in Hindu texts, with some depicted as virtuous and others as malevolent.",,,
300 BCE–100 CE,"Growing complexity in portrayal of Danavas in Hindu texts, with some depicted as virtuous and others malevolent.",,,
100 BCE-100 CE,"Development of Buddhist Asura myths, influenced by earlier Vedic concepts4.",,,
100-400 CE,"Growing distinction between Danavas and devas in later Puranic literature, though boundaries remain complex. Some Danavas described as devotees of Shiva or Vishnu. Individual Danavas given more nuanced characterizations. Development of stories where some Danavas receive boons from major deities. Ambiguous moral status maintained for certain Danava figures.",,,
200-400 CE,Composition of Natyashastra. Danavas depicted as evil demons interfering with sacred performances4.,,,
400-600 CE,"Sassanian Empire defines Turan in opposition to Iran. Turan designated as land of enemies to the northeast. Memory of Turanians kept alive through nomadic invasions. Danavas firmly established as opposing Hindu deities in Puranic literature, though exceptions exist. Development of stories where Danavas challenge the cosmic order but sometimes serve important cosmic functions.",,,
500-600 CE,"Turks pushed westward by other tribes. First contact between Iranians and Turks. Continuing development of Danava mythology with stories of confrontations with major Hindu gods like Indra, Vishnu, and Shiva.",,,
500-700 CE,Expansion of Gupta Empire. Possible influence on portrayal of Danavas in Hindu mythology3.,,,
600-700 CE,"Identification of Turanians with Turks develops. Some Danavas portrayed as receiving redemption or elevation through devotion to particular deities, showing evolution from purely antagonistic portrayal.",,,
700-1000 CE,"Persians identify lands northeast of Khorasan beyond Oxus as Turan. ""Turk"" and ""Turanian"" used interchangeably in Islamic Era texts. Al-Masudi clarifies Afrasiyab was not a Turk. Further development of regional variations in Danava stories across different parts of India.",,,
700-500 BCE,Development of Zoroastrian texts. Possible influence on later conceptions of Danavas as adversaries5.,,,
800-1000 CE,Development of Tantric traditions. Some Danavas incorporated into esoteric practices3.,,,
900-1000 CE,Myth of Afrasiyab adopted by the Qarakhanid dynasty. Turkic self-identification with Turanian heritage begins. Increasing incorporation of Danavas into sectarian Hindu mythologies with some Danavas becoming important devotees in Shaiva and Vaishnava traditions.,,,
900–1000 CE,Turkic self-identification with Turanian heritage begins under Qarakhanid dynasty.,,,
1000-1500 CE,Complex relationship between Danavas and Hindu deities fully develops in later Hindu texts. Distinction becomes more nuanced than simple opposition. Some Danavas venerated in local traditions. Danava ancestry claimed by certain regional dynasties or communities in South Asia.,,,
1100-1300 CE,Composition of later Puranas. Further elaboration of Danava myths and characters3.,,,
1500-1700 CE,"Term ""Turan"" used to refer to the domain of the Uzbek empire. Geopolitical concept in conflict with Safavids. Continued evolution of Danava mythology in regional Hindu traditions with some Danavas portrayed as moral exemplars or teachers.",,,
1500-1700 CE,Bhakti movement influences portrayal of some Danavas as devotees7.,,,
1756-1758,"""Histoire Générale des Huns, des Turcs, des Mongols"" by Joseph de Guignes published. Early European conception of Turkish/Turanian peoples.",,,
1800s,"Max Müller identifies ""Turanian language family."" Groups non-Indo-European, non-Semitic languages. Includes Altaic, Dravidian, Uralic, Japanese, Korean languages. Academic study of Hindu mythology begins to systematize understanding of Danavas.",,,
1800-1900 CE,Colonial-era scholarship begins systematic study of Danava myths2.,,,
1838.0,"J.W. Jackson describes ""Turanid race."" Depicts Turanians as ""impersonation of material power.""",,,
1843.0,"German ""Map of Iran and Turan"" produced. Shows Turan encompassing modern Central Asia.",,,
1867.0,"Ármin Vámbéry's ""Sketches of Central Asia"" published. Proposes common origins of Turkic groups as one race.",,,
1896.0,"""L'histoire de l'Asie"" by Leon Cahun published. Stresses role of Turks in ""carrying civilization to Europe.""",,,
Late 1800s-Early 1900s,"Term borrowed into Western languages as designation for Central Asia. ""Turan Plain"" becomes geographical term. Hungarian Turanism develops. Western scholarship begins comparative studies of Indo-Iranian and Indo-Aryan mythologies, noting parallels between Danu/Danavas and Turan concepts.",,,
Early 1900s-Present,"Turkish nationalists adopt ""Turanian"" for pan-Turkic ideology. Important aspect of Turkish Nationalist Movement Party ideology. Term largely obsolete in academic linguistics. Survives in names (Turan, Turaj) and cultural references. Modern Hindu traditions continue to present complex portraits of Danavas, with some regional temples and festivals dedicated to specific Danava figures once seen as adversaries but now venerated. Academic studies highlight the shifting nature of deity-asura relationships throughout Hindu mythological history.",,,
Early 1900s-Present,"Modern Hindu traditions reinterpret certain Danava figures, presenting them positively.",,,
1900-2000 CE,Comparative mythology studies link Danu/Danava concepts to other Indo-European traditions5.,,,
2000-Present,Modern reinterpretations of Danava myths in popular culture and contemporary Hinduism7.,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Here's a revised timeline table with numeric date labels, removing circa marks and including known sources as citations:",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Additional notes:,,,,
,,,,
"The earliest written records of Turkish languages date back to the 8th century CE, found in the Orkhon Inscriptions9.",,,,
,,,,
"The Proto-Turkic language, ancestor of all Turkic languages, is estimated to have originated in Asia around 500 BCE1.",,,,
,,,,
"Old Turkic, the first attested form of Turkic, has its earliest known records dating to the 7th century CE1.",,,,
,,,,
"The name ""Türk"" was first used as a political identity during the Göktürk Khaganate period in the 6th century CE7.",,,,
,,,,
Tarsus is mentioned in Xenophon's Anabasis (around 400 BCE) as a great and wealthy city8.,,,,
,,,,
The linguistic history of Turkic languages can be followed in written sources from the 8th century CE onward10.,,,,
,,,,
"This timeline demonstrates the evolution of Turkic-related terms and place names across different regions and time periods, reflecting the complex linguistic and cultural interactions throughout Eurasia.",,,,
Citations:,,,,
https://renaissance-translations.com/turkish-language-history/,,,,
http://www.bibleorigins.net/tarshishtarsus.html,,,,
https://scholarzest.com/index.php/ejhea/article/view/2979,,,,
"https://en.wikipedia.org/wiki/Tarsus,_Mersin",,,,
https://talkpal.ai/vocabulary/etymological-vocabulary-in-the-turkish-language/,,,,
https://www.worldhistory.org/Tarsus/,,,,
https://en.wikipedia.org/wiki/Turkic_history,,,,
https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0064%3Aentry%3Dtarsus-geo,,,,
https://turacoon.com/en/blogs/the-origins-of-turkish-language,,,,
https://www.britannica.com/topic/Turkic-languages,,,,
,,,,
Answer from Perplexity: pplx.ai/share,,,,
,,,,
,,,,
,,,,
,,,,
"Here's a revised timeline table with numeric date labels, removing circa marks and including known sources as citations:",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"This timeline demonstrates the evolution of Turkic-related terms and place names across different regions and time periods, reflecting the complex linguistic and cultural interactions throughout Eurasia.",,,,
Citations:,,,,
https://renaissance-translations.com/turkish-language-history/,,,,
http://www.bibleorigins.net/tarshishtarsus.html,,,,
https://scholarzest.com/index.php/ejhea/article/view/2979,,,,
"https://en.wikipedia.org/wiki/Tarsus,_Mersin",,,,
https://talkpal.ai/vocabulary/etymological-vocabulary-in-the-turkish-language/,,,,
https://www.worldhistory.org/Tarsus/,,,,
https://en.wikipedia.org/wiki/Turkic_history,,,,
https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0064%3Aentry%3Dtarsus-geo,,,,
https://turacoon.com/en/blogs/the-origins-of-turkish-language,,,,
https://www.britannica.com/topic/Turkic-languages,,,,
,,,,
Answer from Perplexity: pplx.ai/share,,,,
,,,,
Answer from Perplexity: pplx.ai/share,,,,
,,,,
,,,,
"Here is the expanded timeline table with all subevents listed as new rows, formatted in the original style:",,,,
,,,,
,,,,
"This timeline now includes all subevents chronologically, offering a detailed academic resource for understanding the interconnected developments related to the Danavas, Turanians, and their broader mythological and historical contexts.",,,,
Citations:,,,,
https://en.wikipedia.org/wiki/Danava_(Hinduism),,,,
https://en.wikipedia.org/wiki/Vedic_period,,,,
https://www.academia.edu/98766587/An_Outline_of_Indian_Chronology,,,,
https://pressbooks.wmich.edu/seeingtheworldthroughreligionandculture/chapter/timeline-of-hinduism/,,,,
https://www.vedanet.com/vedic-origins-of-the-europeans-the-children-of-danu/,,,,
https://www.britannica.com/topic/Vedic-religion,,,,
https://www.northeasternchronicle.in/news/the-danava-dynasty-exploring/,,,,
http://veda.wikidot.com/hindu-timeline,,,,
,,,,
Answer from Perplexity: pplx.ai/share,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Comprehensive Historical Timeline of Turan and Danavas,,,,
Date Period,Key Developments,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Here's a timeline table of the history of Tarquinia:,,,,
,,,,
Date,Event,,,
900 BCE,"Earliest archaeological remains found at Pian di Civita, the urban site of Tarquinia3",,,
800 BCE,"Etruscan civilization emerges in central Italy, including Tarquinia4",,,
700-300 BCE,Tarquinia flourishes as a major Etruscan trading and manufacturing center1,,,
600-500 BCE,Tarquinia reaches its peak of urban development and territorial expansion3,,,
540-530 BCE,Construction of the Etruscan Tomb of the Bulls in Tarquinia1,,,
530-520 BCE,Construction of the Etruscan Tomb of the Lionesses in Tarquinia1,,,
510 BCE,Construction of the Etruscan Tomb of the Baron in Tarquinia1,,,
509 BCE,Tarquinia supports Tarquinius Superbus in his attempt to regain the Roman throne2,,,
480 BCE,Construction of the Etruscan Tomb of the Bigas in Tarquinia1,,,
470 BCE,Construction of the Etruscan Tomb of the Dead Man in Tarquinia1,,,
420-400 BCE,Construction of the Etruscan Tomb of the Blue Demons in Tarquinia1,,,
400-300 BCE,Construction of massive defensive walls around Tarquinia23,,,
356 BCE,307 Roman prisoners sacrificed in Tarquinia's forum14,,,
351 BCE,Tarquinia signs a 40-year truce with Rome5,,,
308 BCE,Tarquinia renews its truce with Rome5,,,
280 BCE,Romans conquer Tarquinia14,,,
181 BCE,"Graviscae, Tarquinia's port, becomes a Roman colony2",,,
89 BCE,Tarquinia is demoted to the status of a Roman municipium1,,,
456 CE,First mention of a bishop of Tarquinia2,,,
1250 CE,Last historical references to Tarquinia under its ancient name7,,,
1922 CE,The name of the town is officially changed back to Tarquinia from Corneto7,,,
,,,,
"This timeline showcases the long and rich history of Tarquinia, from its Etruscan origins through Roman conquest and into the modern era.",,,,
Citations:,,,,
https://www.worldhistory.org/timeline/Tarquinia/,,,,
https://en.wikipedia.org/wiki/Tarquinia,,,,
https://tarquiniaturismo.com/tarquinia-history/?lang=en,,,,
https://digitalmapsoftheancientworld.com/ancient-history/ancient-history-timelines/timeline-of-the-etruscans/,,,,
https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0006%3Aentry%3Dtarquinii,,,,
https://www.romecabs.com/blog/docs/etruscan-enigma-tarquinia-tuscania-journey-into-civilizataion-mystery/,,,,
https://www.cameredelre.com/en/project/tarquinia/,,,,
https://whc.unesco.org/en/list/1158/,,,,
,,,,
Answer from Perplexity: pplx.ai/share,,,,
,,,,
,,,,
,,,,
,,,,
"Timeline Index: The Origins of ""Tuscan"" and the Tuscan People",,,,
Date,Event,Details,Linguistic Evolution,
,,,,
,,,,
,,,,
,,,,
,,,,
First Attestation,Word/Term,Geographic Area,Etymology/Context,Source
2000 BCE,Tarsus,Anatolia,"Hittite ""Tarsa"", possibly derived from storm god Tarḫunz",4.0
1500 BCE,Taurus,Anatolia,"From Proto-Indo-European *tau-ro- (""strong"")",
900 BCE,Rise of the Etruscan Civilization,"The Etruscans establish city-states in central Italy (modern Tuscany, Umbria, Lazio).",-,
750 BCE,Tyrrhenoi (Greek),Greek Contact,"Greeks refer to the Etruscans as Tyrrhenoi, influencing later names.",
700 BCE,Etruscus → Tuscus (Latin),Early Latin Usage,Latin speakers begin referring to the Etruscans as Etrusci and Tusci.,
600 BCE,Etrusci (Latin),Etruscans Dominate Italy,"Etruscans expand influence, including Rome.",
535 BCE,Tarquinius,Central Italy,"Etruscan name, possibly meaning ""of Tarquinia""",
509 BCE,Roman Republic Founded,Rome starts resisting Etruscan rule.,Tusci (Latin) appears,
500 BCE,Turan,Central Asia,Old Persian term for lands north of Iran,
,Tarsus is mentioned in Xenophon's Anabasis (around 400 BCE) as a great and wealthy city8.,,,
,"The Proto-Turkic language, ancestor of all Turkic languages, is estimated to have originated in Asia around 500 BCE1.",,,
396 BCE,Rome Conquers Veii,Major Etruscan city falls to Rome.,Tuscānus (Latin) develops from Tusci,
283 BCE,Battle of Lake Vadimo,Rome defeats last major Etruscan coalition.,Tuscānus solidifies in Latin,
27 BCE,Augustus Forms Regio VII Etruria,The region is fully Romanized.,Tuscānus → Toscana (Latin → Italian),
476.0,Fall of Western Roman Empire,Tuscany under Ostrogothic rule.,-,
551 CE,Türük,Central Asia,"First political use of ""Türk"" in Orkhon inscriptions",7.0
500 CE,"The name ""Türk"" was first used as a political identity during the Göktürk Khaganate period in the 6th century CE7.",,,
565 CE,Tourkos,Anatolia/Balkans,"Greek form of ""Turk"", entering European languages",7.0
568.0,Lombard Invasion,"Tuscany ruled by Lombards, later by the Franks.",-,
600 CE,Turcus,Europe,"Latin form of ""Turk""",
600 CE,"Old Turkic, the first attested form of Turkic, has its earliest known records dating to the 7th century CE1.",,,
700 CE,"The earliest written records of Turkish languages date back to the 8th century CE, found in the Orkhon Inscriptions9.",,,
700 CE,The linguistic history of Turkic languages can be followed in written sources from the 8th century CE onward10.,,,
1100.0,Tuscany as a Distinct Region,"Emergence of medieval city-states like Florence, Pisa, and Siena.",Toscano (Medieval Latin),
1200 CE,Tatar/Tartar,Central Asia/Eastern Europe,Originally referred to Mongol-Turkic groups,
1200.0,Transition to Modern Name,Toscano becomes the common name for the region.,Toscano (Medieval Latin → Italian),
1300 CE,Turkey,Anatolia,"From Medieval Latin ""Turchia"" (land of the Turks)",
1500 CE,Turkish,Anatolia/Balkans,English term for language and people of Turkey,
1569.0,Grand Duchy of Tuscany Established,The Medici family consolidates power.,Toscana (Italian),
1861.0,Tuscany Joins Unified Italy,The region officially becomes part of Italy.,Tuscan (English) borrowed from Toscano,
1924 CE,Turkmenistan,Central Asia,"Combination of ""Turkmen"" and Persian ""-stan"" (land)",
,,,,
Additional notes:,,,,
,,,,
,,,,
,,,,
Word/Term,First Attestation,Geographic Area,Etymology/Context,Source
Tarsus,2000 BCE,Anatolia,"Hittite ""Tarsa"", possibly derived from storm god Tarḫunz",4.0
Taurus,1500 BCE,Anatolia,"From Proto-Indo-European *tau-ro- (""strong"")",
Tarquinius,535 BCE,Central Italy,"Etruscan name, possibly meaning ""of Tarquinia""",
Turan,500 BCE,Central Asia,Old Persian term for lands north of Iran,
Türük,551 CE,Central Asia,"First political use of ""Türk"" in Orkhon inscriptions",7.0
Tourkos,565 CE,Anatolia/Balkans,"Greek form of ""Turk"", entering European languages",7.0
Turcus,600 CE,Europe,"Latin form of ""Turk""",
Tatar/Tartar,1200 CE,Central Asia/Eastern Europe,Originally referred to Mongol-Turkic groups,
Turkey,1300 CE,Anatolia,"From Medieval Latin ""Turchia"" (land of the Turks)",
Turkish,1500 CE,Anatolia/Balkans,English term for language and people of Turkey,
Turkmenistan,1924 CE,Central Asia,"Combination of ""Turkmen"" and Persian ""-stan"" (land)",
