PIE Deity,Role/Function,Greek,Roman,Vedic,Norse (Scandinavia and Iceland),Slavic,Baltic,Buddhist (Sanskrit),Pronunciation (English Approx.),Gauls,Celts,Albanian,Armenia,Iran,Ossetia,Ireland,Wales,Other groups,Notes
*Manu-,"Ancestor of mankind, first man",-,Romulus,Manu,Mannus,-,-,Manu,MAH-noo,,,,,,,,,-,"Possibly related to *Yemo-, but distinct role unclear."
*Meh₁not,"Moon deity, ruler of the night","Selene, Menae",Luna,Chandra,Máni,"Myesyats, Mēness","Mėnuo, Mēness",,MEH-not,,,Hëna,—,Mah (Zoroastrian),,,,"Albanian: Hënë, Phrygian: Men, Hittite: Kašku","Personification of the Moon, often in a sibling relationship with the Sun."
*Ngʷhi,"Three-headed serpent, enemy of *Trito, cattle thief",Python (in some myths),Hydra,Vṛtra,Jörmungandr,—,—,Nāga,Ngoo-whee,—,—,—,—,Aži Dahāka,—,—,—,—,The three-headed serpent who steals the cattle from *Trito. Represents chaos and the cosmic struggle between gods and heroes. Trito defeats *Ngʷhi and returns the cattle to the priest.
*Péh₂usōn,"Guardian of herds, protector",Pan,Faunus,Pūshān,Freyr (partially),Veles,—,—,PEH-hoo-son,—,—,,,,,,,—,"Pūshān in the Vedic tradition is the protector of roads and herds, often associated with journeys."
*Perkʷūnos,Thunder god,Zeus (thunder aspects),Jupiter (thunder aspects),Parjanya/Indra,Thor,Perun,Perkūnas,—,PERR-koo-nos,—,—,,,,,,,Hittite: Tarhunt,"Often depicted holding a weapon, linked to oak trees and mountains. Indra, born from Dyaus and Prithvi, takes on this role in Vedic tradition, akin to Zeus in Greek myth, ruling storms and thunder."
*Seh₂ul,"Sun deity, god(dess) of light and life",Helios,"Sol, Sol Invictus",Surya,Sól (Sunna),Dazhbog,Saulė,—,Seh-ul,—,Sulis,Dielli,—,Hvare-khshaeta (Zoroastrian),—,—,—,"Etruscan: Usil, Hittite: UTU-liya, Hittite: Ištanu","Deity of the Sun, associated with the solar disk, light, warmth, and life. Frequently depicted driving a chariot across the sky. Celebrated on Sunday."
*Trih₂tōn,Sea god,Triton,Triton,—,Njord,—,—,—,TRI-tawn,—,—,,,,,,,—,A sea deity with thematic echoes in Greek Triton and Roman mythology.
*Trito,"Warrior hero, slayer of serpent, Third brother, dragon-slayer",—,—,Trita Aptya,"Thor (Serpent-slaying aspect), Þórr",—,—,—,TREE-toh,—,—,,,,,,,Avestan: Thraētaona,A mythic hero who recovers cattle from a serpent; Trita in the Vedic tradition reflects this.
*Tvastr/*H₂ekmōn,"Smith god, craftsman",Hephaestus,Vulcan,Tvastr,Wayland the Smith,Svarog,Teliavelis,—,"TWAH-str (Tvastr), HEK-mon",—,—,,,,,,,—,"The Proto-Indo-European smith god is not fully reconstructed, but examples include Tvastr in Vedic myth, Hephaestus in Greek myth, Wayland in Germanic tradition, and Svarog in Slavic lore. Smiths were often associated with creating the chief gods' weapons, such as Indra's Vajra or Zeus's lightning bolt. Smith figures were frequently depicted as lame, like Hephaestus and Wayland. They also shared motifs of crafting powerful items and even inventing mechanical wings, as seen in Daedalus and Wayland."
*Welnos,Underworld god,Hades,Pluto,Varuna (later),Ullr,Veles,Velnias,,,,,,,,,,,-,"God of the underworld, often associated with cattle, magic, and oaths."
"*Welnos, Wélṇos","Cattle god, God of the night sky, rain, poetry, and fertility",Uranus,Caelus,Varuna,—,Veles,Velnias,—,WELL-nos,—,—,,,,,,,—,"Wélṇos is the younger brother of Dyēus Pətḗr and the king of the Ánsūs (chthonic deities). He is associated with the night sky and the chthonic aspects of fertility. His most well-known descendants are the Greek Uranus (Ouranos) and the Vedic Varuna. In mythology, Uranus is famously castrated by his son Cronus, which parallels some PIE mythological themes. Veles is a Slavic god of cattle, wealth, and the underworld."
*Yemo-,Primordial twin,-,Remus,Yama,Ymir,-,Jumis,Yama,,,,,,,,,,Avestan: Yima,"First mortal, often sacrificed to create the world."
Ápōm Népōts,"Water god, associated with oceans and storms",Poseidon,Neptune,Apām Nápāt,—,—,—,—,AH-pom NEH-pots,,,,,,,,,,"Ápōm Népōts is the god of oceans and storms, the brother of Dyēus. In Vedic tradition, he is known as Apām Nápāt, a fire god associated with water."
Áusōs,"Dawn goddess, light, youth, and spring",Eos,Aurora,Ushas,—,Zorya,Aušrinė,Ame-no-Uzume,AH-wsos,—,—,,,,,,,—,"Áusōs, daughter of Dyeus, is the personification of dawn. Described as ""reddish-mantled,"" ""golden-armed,"" and ""golden-haired."" She rises from the ocean and heralds her sister Sāwḷ, the Sun. In some traditions, Áusōs is considered a mother of the Diwós Súnū.  Her children, the Diwós Súnū, are twin horse gods who pull the chariots of Sāwḷ (Sun) and Mḗnōts (Moon). Her mythological descendants include Eos (Greek), Aurora (Roman), and Ushas (Vedic)."
Bel,,Belos,,Mahabali,,Bile,,,,,,,"Bel, Beli, Barsamin",,Bliago (?),,Beli,,
Cóuwindā,"Goddess of fertility, prosperity, and cows",Hera,—,—,—,—,—,—,KOO-win-dah,,,,,,,,,,"Cóuwindā is one of the Children of Dā́nu, associated with the fertility and prosperity of the herd."
Deh₂nu,"Goddess of water, fertility, and rivers","Tethys, Danaos, Danaoi, Danaids, Danae, Danaans",,"Dānu, Danava","Dan, Danes, Njǫrðr",Danu,Dôn,,DEH-noo,,Tuatha Dé Danann,,"ari, epithet of Hayk,Ara (?)",Danava,"Donbettyr, Danube river, Don, Dnieper, Dniester",,,,"Mallory and Adams propose Deh₂nu as a lexical correspondence for river deities, but there’s limited evidence of a specific PIE river goddess. Seen as the mother of Deh₂newyóes. Linked to various river names and mythological tribes, including the Vedic Danavas and the Irish Tuatha Dé Danann. Associated with rivers like the Danube."
Dʰéǵʰōm,"Earth mother, paired with Dyḗws","Demeter, Gaia",Terra Mater,"Prithvi, Bhūmi",Jörð,Mat Zemlya,Žemyna,Bhūmi,DHEH-ghom,,,,,,,,,,Personification of the earth. She is the consort of Dyḗws in many traditions and is depicted as a mother figure. Examples include Demeter in Greek mythology and Prithvi in Vedic myth.
Dyēus,"Realm of the gods, the sky, ether, upper air, assembly of deities",,Caelus,Devas,—,Dievas,Dievs,Devas,Dye-OOS,,,,,,,,,,"Dyēus represents the realm of the gods and the upper sky, sometimes called Áḱmōn or Wḗis. It is the ether, or the air that gods breathe, which is poisonous to humans. Dyēus connects with the Milky Way (Swélcṃs) and is the home of the divine assembly where the gods sit on a golden seat (Sédlom Ausinā Deiwṓm). Beyond Dyēus lies Ghā́wos, the primordial void or chaos. Dyēus is begotten from the skull of Yemós and is closely associated with the divine and cosmic order."
Dyḗws,Daylight sky personified as a male deity,Zeus,Jupiter,Dyáuṣ,Týr,Zojz,Dievas,—,DYE-uhs,,,,,,,,,,"The chief deity, associated with justice, honor, and the daylight sky. Often paired with the earth mother, Dʰéǵʰōm. Descendants include the Vedic Dyáuṣ and Greek Zeus."
Érā,Primordial earth goddess,Gaia,Terra Mater,Prithvi,Jörð,Mat Zemlya,Zemyna,Bhūmi,AIR-ah,,,,,,,,,,"Érā is the earth goddess in Proto-Indo-European mythos, representing fertility and abundance. She is the counterpart to Áḱmōn, the sky god."
Fates (*bhreh₂tih₁s),Three primordial goddesses in charge of fate,"Moirai (Clotho, Lachesis, Atropos)","Parcae (Nona, Decima, Morta)",Tridevi,Norns,"Rozhanitsy, Sudice (fate goddesses)",Laima,—,BHREH-tee-s,,,,,,,,,,"Depicted as three goddesses controlling destiny and fate, often depicted as spinning the threads of life."
H₂epom Nepōts,Underwater fire god,—,Neptune,Apam Napat,—,—,—,—,H2-EH-pom NEH-pots,,,,,,,,,,"A god of water and underwater fire, often tied to fertility and purification. Appears in Vedic as Apam Napat and Roman Neptune."
H₂éwsōs,"Goddess of dawn, brings light",Eos,Aurora,Ushas,Aurvandill,Zorya,Aušrinė,—,HWAH-sos,,,,,,,,,,"The dawn goddess, daughter of Dyḗws. Brings light to the world each day, reflected as Eos in Greek mythology and Ushas in Vedic tradition."
H₂nḗrtos,,"Andromeda, Alexandros",,"nṛtama, epithet of Indra",Njǫrðr,,,,,,,,"ari, epithet of Hayk,Ara (?)",Narava,Nart,,,,
H₂weh₁-yú,God of wind and storm,Aeolus,Venti,Vayu,Kári,Stribog,Vėjas,—,HWAH-yoo,,,,,,,,,,"Represents the wind, a deity of air and storm. Seen in Vedic traditions as Vayu, and in Roman mythology as Venti."
Ḱolyo,"Goddess of death, responsible for life and death",Hel,Morta,"Śarva, Mṛtyu",—,"Morana, Mara",—,—,KOHL-yo,,,,,,,,,,"Goddess of death and the underworld, found in various traditions, including the Norse Hel and Slavic Morana."
Ḷbhús (Twṛktḗr and/or Wḷkā́nos),"God of fire and forge, creator of divine tools and weapons",Hephaestus,Vulcanus,"Ṛbhú, Tvaṣṭṛ",Loki (fire aspect),Svarog,Teliavelis,—,Luh-BHUS,,,,,,,,,,"Son of Dyēus Pətḗr and Diwónā, Ḷbhús is the god of fire, the forge, and craftsmanship. He is lame and considered unattractive, but he created the Golden Seat of the gods, Sāwḷ's chariot, and Perqū́nos's bronze axe and lightning bolts. Known to teach shaman-smiths how to smelt copper. Similar deities include Kothar-wa-Khasis (Egyptian) and Kagu-tsuchi (Japanese), though they are likely unrelated."
Mitra-Varuna,"Cosmic law and order, contracts, and governance of waters",—,Mithras,"Mitra, Varuna",—,Rod,—,—,MEET-ros WEH-ru-nos,,,,,,,,,,"A pair of deities responsible for law, contracts, and order in the cosmos, akin to Mitra and Varuna in the Vedic tradition."
Pā́usōn,"God of boundaries, associated with the planet Mercury and Wednesday",Hermes,Mercury,—,—,—,—,—,PAH-oo-son,,,,,,,,,,"Pā́usōn, also known as Ōkúsōn, is associated with boundaries and the planet Mercury. He shares similarities with Hermes and Mercury, who are also gods of boundaries and associated with Wednesday."
Peh₂usōn,"Pastoral god, protector of roads and herds",Pan,Faunus,Pūṣan,Freyr,Veles,—,—,PEH-hoo-son,,,,,,,,,,"God of roads, herds, and protector of travelers. Found in Vedic myth as Pūṣan and Roman myth as Faunus."
Perkʷunos,"Thunder god, associated with lightning and war",Zeus (thunder),Jupiter (thunder),"Indra, Parjanya",Thor,Perun,Perkūnas,—,PERR-koo-nos,,,,,,,,,,"The god of thunder and storms, often wielding a weapon like Zeus’ thunderbolt or Thor’s hammer. Appears in Vedic, Baltic, and Slavic mythologies."
PriHyéh₂,"Goddess of gardens, love, and fertility",Frigg,Venus,Parvati,Freyja,—,—,—,PREE-yah,,,,,,,,,,"Goddess of gardens and love, reflecting deities like Frigg in Norse mythology and Parvati in Vedic tradition."
Séwətōr,"God of seed, agriculture, and creation",Cronus,Saturn,Prajapati,—,—,—,—,SEH-wuh-tor,,,,,,,,,,"Séwətōr represents the fertile principle of creation and agriculture, involved in the propagation of life."
Wélṇos,God of cattle and livestock,Pluto,Pluto,Vṛṣabha,"Ullr (Wuldor), Veles",Veles,Velnias,—,WELL-nos,,,,,,,,,,"God of cattle, wealth, and fertility, often linked to Veles in Slavic mythology and Velnias in Baltic traditions."
