Date/Period,Culture/Tradition,Event/Myth/Legend,Key Details,Primary Sources,Secondary Sources
100 BCE-100 CE,Jewish (Hellenistic),Pseudo-Philo,"Elaborates on Babel narrative: attributes tower's construction to 83 leaders including Nimrod, Joktan, and Phenech; 12 men including Abraham refuse to help; tower reaches 463 cubits before God causes language confusion through 83 angels.","Biblical Antiquities 4:1-17: ""Let us make bricks, and let each one of us write our names on our bricks... And the whole earth heard the summons, and 83 men gathered from all lands and began to build a tower... And there were among the peoples 12 men who did not wish to build... among whom was Abram.""","Jacobson, H. (1996). A Commentary on Pseudo-Philo's Liber Antiquitatum Biblicarum; Harrington, D.J. (1983). ""Pseudo-Philo,"" in The Old Testament Pseudepigrapha, Vol. 2"
30-100 CE,Christian,Pentecost (Reversal of Babel),"At Pentecost, the Holy Spirit descends on Christ's followers, enabling them to speak in many languages understood by people from across the known world, symbolically reversing Babel's curse and restoring spiritual unity.","Acts 2:1-12: ""When the day of Pentecost arrived, they were all together in one place... And suddenly there came from heaven a sound like a mighty rushing wind... And they were all filled with the Holy Spirit and began to speak in other tongues as the Spirit gave them utterance... And at this sound the multitude came together, and they were bewildered, because each one was hearing them speak in his own language...""","Conzelmann, H. (1987). Acts of the Apostles; Witherington, B. (1998). The Acts of the Apostles: A Socio-Rhetorical Commentary"
100-600 CE,Rabbinic Jewish,Midrashic Expansions,Elaborates on Babel narrative: tower builders intended to wage war against God; had divisions of labor among workers; became so obsessed they mourned deaths of workers but not babies; some builders transformed into monkeys and demons as punishment.,"Genesis Rabbah 38:1-11: ""Rabbi Simeon bar Yohai taught: They said [the builders], 'Let us build a tower, ascend to heaven, and cleave it with axes, that its waters might gush forth.' ... If a man fell and died, they paid no attention to him, but if a brick fell, they sat and wept, saying, 'When will another come up in its stead?'""; Tanhuma Buber, Noah 28; Pirke De-Rabbi Eliezer 24","Neusner, J. (1985). Genesis Rabbah: The Judaic Commentary to the Book of Genesis; Bialik, H.N. & Ravnitzky, Y.H. (1992). The Book of Legends"
400-900 CE,Armenian,Tower of Babel/Language Confusion,"Giants build a tower after the Flood; God destroys it with a mighty wind containing ""unknown words,"" causing linguistic confusion and scattering. Hayk, Armenian progenitor, leads his people away from the tyranny of Bel (Nimrod).","Movses Khorenatsi, History of Armenia 1.9: ""After the confusion of tongues at the Tower of Babel, when the human race was scattered over the face of the earth, among the seventeen descendants of Japhet who received territories in the northern regions was Togarmah, who had ten sons including Hayk... After the destruction of the tower and the confusion of tongues, a giant of immense strength named Nimrod... established himself as ruler in Babylon.""","Thomson, R.W. (1978). Moses Khorenats'i: History of the Armenians; Garsoïan, N. (1997). ""The Emergence of Armenia,"" in The Armenian People from Ancient to Modern Times"
300-800 CE,Central Asian (Turkic),Nuh's Tower,"In this variant, after the Flood, the prophet Nuh (Noah) builds a tower to prevent another deluge. When it reaches a great height, God sends a wind that blows off the upper portion, causing the people's languages to be confused and forcing their dispersal.","Referenced in Al-Tabari's Tarikh (History), Vol. 1; Ibn al-Athir's Al-Kamil fi al-Tarikh","Bosworth, C.E. (1991). The History of al-Tabari, Vol. 2; Golden, P. (1992). An Introduction to the History of the Turkic Peoples"
500-1500 CE,Indigenous Australian,Warrambool and Kulin People's Tower,"People build a tower of stones to reach the heaven-dwelling creator Baiame. The tower collapses and the people scatter, developing different languages.","Oral tradition recorded by K. Langloh Parker in Australian Legendary Tales (1896): ""The people said, 'Let us build towers to reach Baiame's sky country.' They piled stones and climbed, but the stones tumbled down, and those who were climbing were killed. After that, they all spoke different tongues.""","Dixon, R.B. (1916). ""Oceanic Mythology,"" in The Mythology of All Races, Vol. 9; Charlesworth, M. (2005). Aboriginal Religions in Australia"
600-900 CE,Maya,Tower of Babel/Cholula Pyramid,"After a great flood, survivors (giants) build a tall tower/pyramid to reach heaven in case of another flood. The gods, angered by human presumption, destroy the tower with fire/lightning and confound the builders' language, causing them to scatter.","Referenced in the Popol Vuh (though not directly as a tower narrative); Diego Durán's Historia de las Indias de Nueva España (16th century) records indigenous traditions: ""They decided to build a tower so tall that its summit would reach the heavens... When they had nearly reached the heavens, the Lord of the Heights became angry and said to the inhabitants of heaven: 'Have you observed how the people of earth have built a tower to reach us?'... Then the gods struck the tower with lightning, destroying the edifice...""","Christenson, A.J. (2007). Popol Vuh: The Sacred Book of the Maya; Durán, D. (1994). The History of the Indies of New Spain"
600-1500 CE,Quechua (Inca),Tower of Confusion,"After a great flood, people build a tower to reach heaven and escape future floods. When it nears completion, the sun deity sends fire to destroy it and causes the people to speak different languages, leading to their dispersal.","Pedro Sarmiento de Gamboa, Historia de los Incas (1572): ""The natives of the valley of Cuzco affirm that... after the deluge had passed... they determined to build a tower high enough to reach heaven in case another flood should come. But when it reached its greatest height, the Supreme God cast it down, causing different languages to arise among them.""","Bierhorst, J. (1988). The Mythology of South America; Sullivan, W. (1996). The Secret of the Incas"
700-1800 CE,Shilluk (Nilotic),Tower of the Creator,"People of the Upper Nile build a tower to reach Juok (the creator). As they near heaven, the structure collapses, causing language confusion and dispersal of peoples.","Oral tradition recorded by Wilhelm Hofmayr in Die Schilluk (1925): ""The people who dwell in the land said: 'Let us build a mound that shall reach to heaven.' They gathered poles and built and built... Then Juok (God) said: 'The people have one language, and they have begun to do this. Now, nothing will be impossible for them.' So Juok confused their language so they could not understand each other...""","Evans-Pritchard, E.E. (1956). Nuer Religion; Lienhardt, G. (1961). Divinity and Experience: The Religion of the Dinka"
800-1800 CE,Toltec/Nahua,Zacuali/Cholula Pyramid,"After the great flood of Atonatiuh, survivors build a pyramid called Zacuali under their leader Xelhua to reach heaven. The gods, angered by human pride, destroy the tower with heavenly fire and confound the workers' language, causing them to scatter.","Codex Vaticanus A (Ríos), folio 30v describes the tower-building; Bernardino de Sahagún, Florentine Codex, Book 3 records: ""And after this, [the giants] built a tower, very high and excellent, to defend themselves when the second world should be destroyed. At the time when the building had reached its highest, the lord of the heavens, angered, said to its inhabitants: 'Have you noticed how they of the earth have built a tower to reach us?'... Then the lord of the heavens hurled lightning at the building, destroying it.""","León-Portilla, M. (1963). Aztec Thought and Culture; Davies, N. (1977). The Toltecs: Until the Fall of Tula"
900-1900 CE,Kongo,Wanji Tower,"Ancestors attempted to build a tower to heaven using iron and copper tools. The tower collapsed when it reached a great height, causing linguistic confusion and the dispersal of peoples.","Recorded in missionary accounts from 17th-19th centuries; Rev. Holman Bentley, Dictionary and Grammar of the Kongo Language (1887)","MacGaffey, W. (1986). Religion and Society in Central Africa; Janzen, J.M. (1982). Lemba, 1650-1930: A Drum of Affliction in Africa and the New World"
1000-1800 CE,Polynesian (Tuamotu),Rata's Tower,"After surviving a great flood, chief Rata and his sons build a tower to reach the creator god and prevent future catastrophes. When near completion, the god destroys the tower and confuses the builders' speech, forcing them to settle on different islands.","Recorded in oral traditions transcribed by J.F. Stimson in Tuamotuan Legends (1937): ""Rata and his sons... they built upward toward Kui-the-Blind, lord of heaven, but he blew with his breath and scattered them, giving to each a different tongue.""","Stimson, J.F. & Marshall, D.S. (1964). A Dictionary of Some Tuamotuan Dialects of the Polynesian Language; Luomala, K. (1949). Maui-of-a-Thousand-Tricks: His Oceanic and European Biographers"
1100-1900 CE,K'iche' Maya,Nacxit Tower,"After surviving a mythic flood, the four progenitors of humanity build a tower to prevent future disasters. The sky deities destroy it and confuse their language, causing the original K'iche' lineages to disperse.","Implied in Popol Vuh, though not directly as a tower narrative; mentioned in Title of the Lords of Totonicapán: ""The language of all was the same; they heard and understood one another well. They determined to go to the East... They arrived at a place called Pa Tulán Pa Civán... Then their language was confused; they no longer understood each other. They separated, going to different parts of the world.""","Carmack, R.M. (1973). Quichean Civilization; Christenson, A.J. (2007). Popol Vuh: The Sacred Book of the Maya"
1200-1900 CE,Karbi/Mikir (Northeast India),Pyramid to Heaven,"Ancestors built a bamboo pyramid/tower to reach heaven when the sky was closer to earth. The creator deity, fearing an invasion of heaven, destroyed the structure and scattered the people, who then developed different languages.","Oral tradition recorded by Edward Stack in The Mikirs (1908): ""There was a time when men were of one speech and lived together in one community. They built a tower of wood that nearly reached the sky. God (Arnam), fearing they would invade heaven, destroyed the tower and scattered the people, who thereafter spoke different tongues.""","Gurdon, P.R.T. (1914). The Khasis; Lyall, C. (1908). The Mikirs: From the Papers of Edward Stack"
1500-1900 CE,Gaikho/Karen (Burma),Blessed Pagoda,"Led by patriarchs, people attempt to build a pagoda to heaven to recover lost knowledge. When it reaches great height, God (Y'wa) destroys it with fire/wind and confuses their language, causing tribal dispersions.","Oral tradition recorded by Francis Mason in ""Religious Beliefs of the Karens"" (1868): ""The elders said, 'We will build a pagoda to reach heaven.' They began to build, but when the pagoda was about to reach heaven, Y'wa came down and confused their language. They became enemies to each other and scattered.""","Mason, F. (1868). ""On Dwellings, Works of Art, Laws, etc. of the Karens,"" Journal of the Asiatic Society of Bengal, 37(2); Marshall, H.I. (1922). The Karen People of Burma"
1600-1800 CE,Hopi/Pueblo,Emergence and Tower,"After emerging from the underworld through a reed, some ancestors built a tall structure to reach the upper worlds. Spider Woman warned against this pride; the tower was destroyed, causing linguistic confusion and tribal dispersal.","Oral tradition recorded by Frank Waters in Book of the Hopi (1963): ""There were those who remembered the previous worlds, who sought to reach the upper worlds and the Creator by building. Their tower could not stand, and the clans were given separate speech and dispersed to the four directions, each now with their own language.""","Waters, F. (1963). Book of the Hopi; Courlander, H. (1971). The Fourth World of the Hopis"
1800-1900 CE,Tonga,Tu'i Tonga's Tower,"The Tu'i Tonga (sacred king) orders the building of a stone tower to reach heaven and speak with the gods. When nearly complete, it collapses, killing many workers, and causing the survivors to speak different languages and disperse to different islands.","Oral tradition recorded by ethnographer Edward Winslow Gifford in Tongan Society (1929): ""The tower that once was being built to reach Langi [heaven] collapsed, killing many. After this, people no longer understood one another's speech.""","Gifford, E.W. (1929). Tongan Society; Rutherford, N. (1977). Friendly Islands: A History of Tonga"
500-1900 CE,Luhya/Bukusu (Kenya),Cumba Tower,"After migration from Egypt, ancestors build a tower of iron to reach God. When it nears heaven, it collapses due to weight, causing linguistic confusion among the builders and their dispersal throughout East Africa.","Oral tradition recorded by G.W. Wagner in The Bantu of Western Kenya (1949): ""The people built a great tower called Cumba of iron that they might go up to God. But when it was very high, it fell down. After this, the people all spoke different languages and scattered throughout the land.""","Wagner, G. (1949). The Bantu of Western Kenya; Were, G.S. (1967). A History of the Abaluyia of Western Kenya"
,,,,,
Date/Period,Culture/Tradition,Event/Myth/Legend,Key Details,Primary Sources,Secondary Sources
2000-1200 BCE,Mesopotamian,Etana's Celestial Journey,"King Etana of Kish, aided by an eagle, ascends to heaven to obtain the ""plant of birth."" As they rise, the earth appears smaller, and the sea like a garden ditch. At great height, Etana becomes afraid, and they plummet toward earth before apparently recovering. Later traditions suggest his flight ended in disaster.","The Etana Epic (K.1547 + K.2606): ""Let me mount your back that you may carry me to heaven, to Anu... After he had borne him aloft one league, the eagle said to him, to Etana: 'Look, my friend, how the land appears! Examine the sea, look for its boundaries! The land has indeed become a mere hill, the wide sea like a tub!'... After he had borne him aloft a third league... 'Look, my friend, the land has turned into a gardener's ditch!'""","Dalley, S. (2000). Myths from Mesopotamia: Creation, the Flood, Gilgamesh, and Others; Horowitz, W. (1998). Mesopotamian Cosmic Geography"
1700-700 BCE,Canaanite/Ugaritic,Athtar's Failed Ascension,"Athtar attempts to claim Ba'al's throne on Mount Zaphon but is unable to reach the proper height. His feet do not reach Ba'al's footstool, and his head does not reach Ba'al's seat, symbolizing his inadequacy and forcing him to descend to rule the earth instead.","Baal Cycle (KTU 1.6.I.53-65): ""Then Athtar the Terrible ascended the heights of Zaphon. He sat on the seat of Mightiest Ba'al. [But] his feet did not reach the footstool; his head did not reach its top. Then Athtar the Terrible said: 'I will not reign on the heights of Zaphon!' Athtar the Terrible descended, descended from the seat of Mightiest Ba'al, and he reigned over the earth, god of it all.""","Smith, M.S. (1994). The Ugaritic Baal Cycle; Pardee, D. (2002). Ritual and Cult at Ugarit"
1400-400 BCE,Hindu,Trishanku's Suspended Heaven,"King Trishanku desires to ascend to heaven in his mortal body. The sage Vishvamitra attempts to elevate him through sacrifice, but the gods reject him. Trishanku falls headfirst until Vishvamitra creates a separate heaven for him, where he hangs upside down for eternity.","Ramayana (1.57-60): ""King Trishanku desired to go to heaven with his mortal body. Sage Vishvamitra undertook a great sacrifice to send him bodily to heaven. As he rose toward heaven, Indra and the gods rejected him, saying, 'There is no place for men with mortal bodies in heaven.' He was hurled back toward earth, crying out to his guru for protection. Vishvamitra, in his rage, began creating a new heaven for Trishanku. The gods, alarmed, offered a compromise—Trishanku would remain suspended in the sky, head downward, shining as a constellation.""","Doniger, W. (1975). Hindu Myths: A Sourcebook; Goldman, R.P. (1984). The Ramayana of Valmiki: An Epic of Ancient India"
750-650 BCE,Greek,Phaethon's Chariot Ride,"Phaethon, son of the sun god Helios, insists on driving his father's solar chariot. Unable to control the divine horses, he flies too high (causing cold) then too low (causing burning), until Zeus strikes him down with a thunderbolt to prevent universal conflagration.","Euripides, fragment from Phaethon; Ovid, Metamorphoses 1.750-2.400: ""The youth seized the reins; he stood amazed at having what he'd sought. Soon the four-footed horses of the Sun, filling the air with fiery snortings, beat at the barriers with their hooves... They leave the traveled track; then truly Phaethon felt fear, with no idea which way to turn the reins entrusted to him... What should he do?... Now, for the first time, the frigid Bears tried to plunge into forbidden waters. Now the Snake, lying languid and harmless by the frozen pole, felt the heat and conceived new angers... The Father Almighty... hurled the lightning bolt he grasped... knocking Phaethon from the chariot and from life.""","Hansen, W. (2004). Handbook of Classical Mythology; Nagy, G. (1990). Greek Mythology and Poetics"
700-500 BCE,Greek,Bellerophon & Pegasus,"Hero Bellerophon, mounted on the winged horse Pegasus, attempts to fly to Mount Olympus uninvited. Zeus sends a gadfly to sting Pegasus, who bucks, throwing Bellerophon to earth. He survives but lives as a crippled, wandering outcast.","Homer, Iliad 6.200-205: ""But when Bellerophon came to be hated by all the gods, then verily he wandered alone over the Aleian plain, devouring his own soul, and avoiding the paths of men""; Pindar, Isthmian 7.44-47: ""With winged Pegasus, he once sought to enter the habitations of heaven and the company of Zeus. But a bitter end awaited him. Shaken off, Bellerophon suffered misery that was made for him alone.""","Gantz, T. (1993). Early Greek Myth: A Guide to Literary and Artistic Sources; Graves, R. (1955). The Greek Myths"
700-500 BCE,Greek,Icarus & Daedalus,"Imprisoned in Crete, master craftsman Daedalus creates wings of feathers, wax, and twine for himself and his son Icarus. Despite warnings, Icarus flies too close to the sun; the wax melts, and he plunges into the sea and drowns.","Ovid, Metamorphoses 8.183-235: ""The boy began to delight in his daring flight, and abandoning his guide, drawn by desire for the heavens, soared higher. The proximity of the scorching sun softened the fragrant wax that bound his wings. The wax melted; he flapped his bare arms, but lacking wings, could take no hold on the air... His father cried, 'Icarus!' 'Icarus!' he cried. 'Where are you? In what place shall I seek you? Icarus!' he called again. Then he spied the feathers on the water, and cursed his art.""","Powell, B.B. (2001). Classical Myth; Morford, M.P.O. & Lenardon, R.J. (2003). Classical Mythology"
600-400 BCE,Chinese,Chang'e's Flight to Moon,"In various versions, Chang'e (wife of archer Yi) consumes an elixir of immortality either to protect it from thieves or through greed. She floats upward to the moon, where she is transformed or trapped, unable to return to her husband on earth.","Classic of Mountains and Seas (Shan Hai Jing, 6th century BCE); Tang dynasty poem by Li Shangyin: ""Chang'e should regret having stolen the elixir; the green sea and blue sky—endless night—must be hard to bear""; Huainanzi (2nd century BCE): ""Yi obtained the drug of immortality from Xiwangmu, but Chang'e stole it and fled to the moon. She was transformed into a toad and is condemned to live there eternally.""","Birrell, A. (1993). Chinese Mythology: An Introduction; Yang, L. & An, D. (2005). Handbook of Chinese Mythology"
500-400 BCE,Greek,Tantalus's Overreach,"Tantalus, a favored guest of the gods, steals ambrosia and nectar from their table to share with mortals and/or attempts to test divine omniscience by offering them his son as food. For these transgressions against divine order, he is eternally punished in Tartarus.","Homer, Odyssey 11.582-592: ""And I saw Tantalus too, bearing endless torture. He stood in a pool of water reaching to his chin, tormented by thirst, but unable to drink. For whenever the old man tried to stoop and drink, the water would vanish, swallowed up, and black earth appeared at his feet, parched by some god.""; Pindar, Olympian 1.54-64","Burkert, W. (1985). Greek Religion; Sourvinou-Inwood, C. (1986). ""Crime and Punishment: Tityos, Tantalos and Sisyphos in Odyssey 11,"" Bulletin of the Institute of Classical Studies 33"
500-300 BCE,Greek,Salmoneus's False Lightning,King Salmoneus impiously imitates Zeus by creating artificial thunder and lightning (dragging bronze kettles behind his chariot and throwing torches). Zeus strikes him with genuine lightning for his hubris.,"Apollodorus, Library 1.9.7: ""Salmoneus at first dwelt in Thessaly, but afterwards he came to Elis and there founded a city. And being arrogant and wishing to put himself on an equality with Zeus, he was punished for his impiety; for he said that he was Zeus, and he took away the sacrifices of the god and ordered them to be offered to himself... He was dragging bronze kettles behind his chariot and saying they were thunder, and flinging lighted torches into the air and saying they were lightning. But Zeus struck him with a thunderbolt, and destroyed the city he had founded with all its inhabitants.""","Fontenrose, J. (1959). Python: A Study of Delphic Myth and Its Origins; Kirk, G.S. (1970). Myth: Its Meaning and Functions in Ancient and Other Cultures"
200 BCE-100 CE,Jewish,Enoch Metatron Legend,"While not a fall myth, represents a successful heavenly ascent. Enoch is taken to heaven and transformed into the angel Metatron. Later traditions emphasize the danger of such mystical ascents, with warnings about those who ""enter but do not leave"" the divine realm.","1 Enoch 14:8-25: ""And the vision was shown to me thus: Behold, in the vision clouds invited me and a mist summoned me, and the course of the stars and the lightnings sped and hastened me, and the winds in the vision caused me to fly and lifted me upward, and bore me into heaven."" 3 Enoch 3-15: ""As soon as I saw him, I fell upon my face... Rabbi Ishmael said: Metatron, Prince of the Divine Presence, said to me: 'I am Enoch, son of Jared...'""","Alexander, P. (1983). ""3 Enoch and the Talmud,"" Journal for the Study of Judaism 18; Schäfer, P. (2009). The Origins of Jewish Mysticism"
200 BCE-100 CE,Roman,Perdix's Fall,"Daedalus, jealous of his nephew's inventiveness (inventor of the saw, compass), pushes him from the Acropolis. Athena transforms the falling boy into a partridge (perdix), which avoids heights due to its memory of falling.","Ovid, Metamorphoses 8.236-259: ""Daedalus envied his nephew's talent... and hurled him headlong from Minerva's sacred citadel, claiming he'd fallen by accident. But Pallas Minerva, who favors ingenuity, caught him and changed him to a bird, clothing him with feathers in mid-air... Though transformed to a bird, the wings it gained did not make it seek the heights. It flies close to the ground, and lays its eggs in hedgerows; and mindful of its ancient fall, it avoids high places.""","Forbes Irving, P.M.C. (1990). Metamorphosis in Greek Myths; Segal, C. (1998). ""Ovid's Metamorphic Bodies: Art, Gender, and Violence in the Metamorphoses,"" Arion 5.3"
100 BCE-100 CE,Norse,Hræsvelgr/Corpse-Swallower,"A giant in eagle form sits at the edge of the world and creates the winds with his wings. Not exactly a fall myth, but represents the dangerous power of flying too high and controlling cosmic forces.","Poetic Edda, Vafþrúðnismál 37: ""Hræsvelgr is the name of the giant who sits at the edge of heaven in eagle's form; from his wings, they say, the wind blows over all mankind.""","Lindow, J. (2001). Norse Mythology: A Guide to the Gods, Heroes, Rituals, and Beliefs; Simek, R. (1993). Dictionary of Northern Mythology"
100 BCE-100 CE,Jewish/Early Christian,Simon Magus's Flight,"Simon the Magician attempts to fly in Rome to demonstrate his divine power. Peter prays against him, causing Simon to crash to the ground, breaking his legs. He dies after physicians attempt surgery.","Acts of Peter (Apocryphal, 2nd-3rd century CE): ""Simon... stood in a high place before all and began to speak: 'As I am about to go up to heaven... I command you in the power of my craft to take me up to heaven...' And already he was lifted up into the air... Then Peter, looking steadfastly upon him, and remembering his earlier temptation... said: '...Fall from your height, Simon, worker of evil!'... Suddenly the power about Simon weakened, and he was crushed together and fell headlong from height to the third milestone on the Via Sacra... and was divided into four parts.""","Schneemelcher, W. (1991). New Testament Apocrypha, Vol. 2; Elliott, J.K. (1993). The Apocryphal New Testament"
100-500 CE,Norse,Völund/Wayland the Smith,"Master smith Völund, captured and hamstrung by King Níðuð, creates wings from feathers and escapes by flying, after taking revenge. Unlike other Icarus figures, his flight succeeds, but it follows imprisonment and violence.","Poetic Edda, Völundarkviða 29-31: ""Said Völund: 'Well, have I now avenged my injuries... I will rise on the wings which I have made myself and soar into the sky.' Laughing, Völund rose into the air; weeping, Böðvildr [the king's daughter] left the island, mourning her lover's fate and her father's wrath.""","Davidson, H.R.E. (1988). Myths and Symbols in Pagan Europe; Dronke, U. (1997). The Poetic Edda: Volume II: Mythological Poems"
300-600 CE,Celtic/Irish,Fall of Mongán,"In some variants of the Mongán tales, the hero attempts to reach the Otherworld through bird transformation but fails and falls back to earth when his powers prove insufficient for complete transcendence.",Fragmentary references in the Ulster Cycle and Cycle of Kings; Book of Fermoy (14th-15th century manuscript of earlier material),"Nagy, J.F. (1997). Conversing with Angels and Ancients: Literary Myths of Medieval Ireland; Ó hÓgáin, D. (1991). Myth, Legend & Romance: An Encyclopædia of the Irish Folk Tradition"
